# _root_ Στην αρχή υπήρξαν , επίσης , προβλήματα στην κατανομή των πόρων του προγράμματος στις εθνικές υπηρεσίες .
#goldHeads=3,1,0,5,3,5,3,7,8,11,9,13,11,9,16,14,0,
#predictedHeads=3,1,0,5,3,5,3,3,8,11,9,13,11,9,16,14,0,
(4,9),-0.368392 # DEPENDENCYPART_ARC
(4,10),-0.675668 # DEPENDENCYPART_ARC
(4,11),-0.683613 # DEPENDENCYPART_ARC
(4,12),-0.801212 # DEPENDENCYPART_ARC
(4,13),-1.02288 # DEPENDENCYPART_ARC
(4,14),-0.0943117 # DEPENDENCYPART_ARC
(4,15),-0.654681 # DEPENDENCYPART_ARC
(4,16),-0.968352 # DEPENDENCYPART_ARC
(4,17),-0.205817 # DEPENDENCYPART_ARC
(5,1),-0.120278 # DEPENDENCYPART_ARC
(5,2),-0.427871 # DEPENDENCYPART_ARC
(5,3),-0.132867 # DEPENDENCYPART_ARC
(5,4),1.43658 # DEPENDENCYPART_ARC
(5,6),0.96794 # DEPENDENCYPART_ARC
(5,7),0.489122 # DEPENDENCYPART_ARC
(5,8),-0.360547 # DEPENDENCYPART_ARC
(5,9),-0.638766 # DEPENDENCYPART_ARC
(5,10),-0.629705 # DEPENDENCYPART_ARC
(5,11),-1.08403 # DEPENDENCYPART_ARC
(5,12),-0.727426 # DEPENDENCYPART_ARC
(5,13),-0.925171 # DEPENDENCYPART_ARC
(5,14),-0.299762 # DEPENDENCYPART_ARC
(5,15),-1.27518 # DEPENDENCYPART_ARC
(5,16),-2.21335 # DEPENDENCYPART_ARC
(5,17),-0.326178 # DEPENDENCYPART_ARC
(6,1),-0.533272 # DEPENDENCYPART_ARC
(6,2),-0.35396 # DEPENDENCYPART_ARC
(6,3),-0.336793 # DEPENDENCYPART_ARC
(6,4),0.100715 # DEPENDENCYPART_ARC
(6,5),0.0920011 # DEPENDENCYPART_ARC
(6,7),0.557706 # DEPENDENCYPART_ARC
(6,8),0.000482507 # DEPENDENCYPART_ARC
(6,9),-0.0320001 # DEPENDENCYPART_ARC
(6,10),-0.610784 # DEPENDENCYPART_ARC
(6,11),-0.298282 # DEPENDENCYPART_ARC
(6,12),-0.730489 # DEPENDENCYPART_ARC
(6,13),-0.940683 # DEPENDENCYPART_ARC
(6,14),-0.213202 # DEPENDENCYPART_ARC
(6,15),-0.704388 # DEPENDENCYPART_ARC
(6,16),-0.92138 # DEPENDENCYPART_ARC
(6,17),0.00670568 # DEPENDENCYPART_ARC
(7,1),-2.11452 # DEPENDENCYPART_ARC
(7,2),-2.05596 # DEPENDENCYPART_ARC
(7,3),-2.38007 # DEPENDENCYPART_ARC
(7,4),-0.160778 # DEPENDENCYPART_ARC
(7,5),0.393076 # DEPENDENCYPART_ARC
(7,6),0.871922 # DEPENDENCYPART_ARC
(7,8),1.43863 # DEPENDENCYPART_ARC
(7,9),1.05515 # DEPENDENCYPART_ARC
(7,10),-0.337557 # DEPENDENCYPART_ARC
(7,11),0.718801 # DEPENDENCYPART_ARC
(7,12),-0.771948 # DEPENDENCYPART_ARC
(7,13),-0.103834 # DEPENDENCYPART_ARC
(7,14),0.364728 # DEPENDENCYPART_ARC
(7,15),-0.119972 # DEPENDENCYPART_ARC
(7,16),-2.42431 # DEPENDENCYPART_ARC
(7,17),1.00629 # DEPENDENCYPART_ARC
(8,1),-1.17121 # DEPENDENCYPART_ARC
(8,2),-2.10722 # DEPENDENCYPART_ARC
(8,3),-2.08016 # DEPENDENCYPART_ARC
(8,4),-0.185859 # DEPENDENCYPART_ARC
(8,5),-0.0597836 # DEPENDENCYPART_ARC
(8,6),0.021473 # DEPENDENCYPART_ARC
(8,7),-1.26056 # DEPENDENCYPART_ARC
(8,9),3.51574 # DEPENDENCYPART_ARC
(8,10),-0.86857 # DEPENDENCYPART_ARC
(8,11),-1.00807 # DEPENDENCYPART_ARC
(8,12),-1.27166 # DEPENDENCYPART_ARC
(8,13),-2.13865 # DEPENDENCYPART_ARC
(8,14),-0.950713 # DEPENDENCYPART_ARC
(8,15),-1.39167 # DEPENDENCYPART_ARC
(8,16),-2.51875 # DEPENDENCYPART_ARC
(8,17),-0.652754 # DEPENDENCYPART_ARC
(9,1),-1.6692 # DEPENDENCYPART_ARC
(9,2),-2.25022 # DEPENDENCYPART_ARC
(9,3),-4.28643 # DEPENDENCYPART_ARC
(9,4),-1.25441 # DEPENDENCYPART_ARC
(9,5),-1.40713 # DEPENDENCYPART_ARC
(9,6),-1.02535 # DEPENDENCYPART_ARC
(9,7),-1.30284 # DEPENDENCYPART_ARC
(9,8),0.309282 # DEPENDENCYPART_ARC
(9,10),0.600586 # DEPENDENCYPART_ARC
(9,11),2.45975 # DEPENDENCYPART_ARC
(9,12),-0.292901 # DEPENDENCYPART_ARC
(9,13),0.834366 # DEPENDENCYPART_ARC
(9,14),0.882349 # DEPENDENCYPART_ARC
(9,15),-0.64301 # DEPENDENCYPART_ARC
(9,16),-1.08616 # DEPENDENCYPART_ARC
(9,17),0.23323 # DEPENDENCYPART_ARC
(10,1),-2.14375 # DEPENDENCYPART_ARC
(10,2),-2.76923 # DEPENDENCYPART_ARC
(10,3),-2.45238 # DEPENDENCYPART_ARC
(10,4),-1.17345 # DEPENDENCYPART_ARC
(10,5),-1.15506 # DEPENDENCYPART_ARC
(10,6),-1.03394 # DEPENDENCYPART_ARC
(10,7),-1.58871 # DEPENDENCYPART_ARC
(10,8),-1.43227 # DEPENDENCYPART_ARC
(10,9),-1.38055 # DEPENDENCYPART_ARC
(10,11),0.100014 # DEPENDENCYPART_ARC
(10,12),-0.871716 # DEPENDENCYPART_ARC
(10,13),-0.643476 # DEPENDENCYPART_ARC
(10,14),-1.0954 # DEPENDENCYPART_ARC
(10,15),-1.74153 # DEPENDENCYPART_ARC
(10,16),-1.91592 # DEPENDENCYPART_ARC
(10,17),-0.68816 # DEPENDENCYPART_ARC
(11,1),-2.91964 # DEPENDENCYPART_ARC
(11,2),-3.98686 # DEPENDENCYPART_ARC
(11,3),-2.5856 # DEPENDENCYPART_ARC
(11,4),-0.844478 # DEPENDENCYPART_ARC
(11,5),-1.01336 # DEPENDENCYPART_ARC
(11,6),-0.601411 # DEPENDENCYPART_ARC
(11,7),-2.23946 # DEPENDENCYPART_ARC
(11,8),-2.10309 # DEPENDENCYPART_ARC
(11,9),-1.59596 # DEPENDENCYPART_ARC
(11,10),3.80772 # DEPENDENCYPART_ARC
(11,12),-0.0119453 # DEPENDENCYPART_ARC
(11,13),2.32842 # DEPENDENCYPART_ARC
(11,14),0.339988 # DEPENDENCYPART_ARC
(11,15),0.0725032 # DEPENDENCYPART_ARC
(11,16),-0.551211 # DEPENDENCYPART_ARC
(11,17),0.0832604 # DEPENDENCYPART_ARC
(12,1),-2.03483 # DEPENDENCYPART_ARC
(12,2),-2.85781 # DEPENDENCYPART_ARC
(12,3),-2.61792 # DEPENDENCYPART_ARC
(12,4),-1.31417 # DEPENDENCYPART_ARC
(12,5),-1.14601 # DEPENDENCYPART_ARC
(12,6),-1.21122 # DEPENDENCYPART_ARC
(12,7),-2.30331 # DEPENDENCYPART_ARC
(12,8),-1.58277 # DEPENDENCYPART_ARC
(12,9),-2.10079 # DEPENDENCYPART_ARC
(12,10),-0.37357 # DEPENDENCYPART_ARC
(12,11),-0.802151 # DEPENDENCYPART_ARC
(12,13),0.674561 # DEPENDENCYPART_ARC
(12,14),-0.730581 # DEPENDENCYPART_ARC
(12,15),-1.53514 # DEPENDENCYPART_ARC
(12,16),-1.17681 # DEPENDENCYPART_ARC
(12,17),-0.701192 # DEPENDENCYPART_ARC
(13,1),-2.29637 # DEPENDENCYPART_ARC
(13,2),-4.27683 # DEPENDENCYPART_ARC
(13,3),-2.82286 # DEPENDENCYPART_ARC
(13,4),-0.787902 # DEPENDENCYPART_ARC
(13,5),-1.10097 # DEPENDENCYPART_ARC
(13,6),-0.909598 # DEPENDENCYPART_ARC
(13,7),-3.57957 # DEPENDENCYPART_ARC
(13,8),-1.68423 # DEPENDENCYPART_ARC
(13,9),-2.67864 # DEPENDENCYPART_ARC
(13,10),0.125486 # DEPENDENCYPART_ARC
(13,11),-0.109758 # DEPENDENCYPART_ARC
(13,12),3.36896 # DEPENDENCYPART_ARC
(13,14),0.689504 # DEPENDENCYPART_ARC
(13,15),0.256338 # DEPENDENCYPART_ARC
(13,16),0.337358 # DEPENDENCYPART_ARC
(13,17),0.292405 # DEPENDENCYPART_ARC
(14,1),-1.65221 # DEPENDENCYPART_ARC
(14,2),-2.44141 # DEPENDENCYPART_ARC
(14,3),-2.06812 # DEPENDENCYPART_ARC
(14,4),-0.599046 # DEPENDENCYPART_ARC
(14,5),-0.709807 # DEPENDENCYPART_ARC
(14,6),-0.705254 # DEPENDENCYPART_ARC
(14,7),-1.83456 # DEPENDENCYPART_ARC
(14,8),-1.18785 # DEPENDENCYPART_ARC
(14,9),-2.01525 # DEPENDENCYPART_ARC
(14,10),-0.404351 # DEPENDENCYPART_ARC
(14,11),-1.39155 # DEPENDENCYPART_ARC
(14,12),-0.6243 # DEPENDENCYPART_ARC
(14,13),-1.49562 # DEPENDENCYPART_ARC
(14,15),1.81974 # DEPENDENCYPART_ARC
(14,16),3.04929 # DEPENDENCYPART_ARC
(14,17),0.379305 # DEPENDENCYPART_ARC
(15,1),-2.71746 # DEPENDENCYPART_ARC
(15,2),-3.30152 # DEPENDENCYPART_ARC
(15,3),-3.88764 # DEPENDENCYPART_ARC
(15,4),-1.68238 # DEPENDENCYPART_ARC
(15,5),-1.83833 # DEPENDENCYPART_ARC
(15,6),-1.50151 # DEPENDENCYPART_ARC
(15,7),-1.89817 # DEPENDENCYPART_ARC
(15,8),-2.19706 # DEPENDENCYPART_ARC
(15,9),-2.57305 # DEPENDENCYPART_ARC
(15,10),-0.402872 # DEPENDENCYPART_ARC
(15,11),-1.7518 # DEPENDENCYPART_ARC
(15,12),-0.915466 # DEPENDENCYPART_ARC
(15,13),-1.15085 # DEPENDENCYPART_ARC
(15,14),-0.771359 # DEPENDENCYPART_ARC
(15,16),0.30895 # DEPENDENCYPART_ARC
(15,17),0.0627867 # DEPENDENCYPART_ARC
(16,1),-1.43797 # DEPENDENCYPART_ARC
(16,2),-2.38888 # DEPENDENCYPART_ARC
(16,3),-3.10124 # DEPENDENCYPART_ARC
(16,4),-0.510577 # DEPENDENCYPART_ARC
(16,5),-1.0517 # DEPENDENCYPART_ARC
(16,6),-0.486583 # DEPENDENCYPART_ARC
(16,7),-1.26122 # DEPENDENCYPART_ARC
(16,8),-1.15179 # DEPENDENCYPART_ARC
(16,9),-1.16501 # DEPENDENCYPART_ARC
(16,10),-0.607919 # DEPENDENCYPART_ARC
(16,11),-0.441659 # DEPENDENCYPART_ARC
(16,12),-0.400039 # DEPENDENCYPART_ARC
(16,13),-0.693698 # DEPENDENCYPART_ARC
(16,14),0.66147 # DEPENDENCYPART_ARC
(16,15),4.07162 # DEPENDENCYPART_ARC
(16,17),0.314885 # DEPENDENCYPART_ARC
(17,1),-3.38043 # DEPENDENCYPART_ARC
(17,2),-2.64916 # DEPENDENCYPART_ARC
(17,3),-2.47397 # DEPENDENCYPART_ARC
(17,4),-1.97949 # DEPENDENCYPART_ARC
(17,5),-1.75747 # DEPENDENCYPART_ARC
(17,6),-1.83853 # DEPENDENCYPART_ARC
(17,7),-2.21121 # DEPENDENCYPART_ARC
(17,8),-2.06198 # DEPENDENCYPART_ARC
(17,9),-2.05994 # DEPENDENCYPART_ARC
(17,10),-1.88719 # DEPENDENCYPART_ARC
(17,11),-2.06698 # DEPENDENCYPART_ARC
(17,12),-1.78455 # DEPENDENCYPART_ARC
(17,13),-1.92289 # DEPENDENCYPART_ARC
(17,14),-1.36797 # DEPENDENCYPART_ARC
(17,15),-1.39922 # DEPENDENCYPART_ARC
(17,16),-1.67756 # DEPENDENCYPART_ARC
