# _root_ Τα νέα κτίσματα των τελευταίων ετών , που ανεγέρθηκαν κυρίως κοντά στις παραλίες , είναι μονόροφα ή διώροφα κυκλαδίτικα σπίτια τα περισσότερα με ιδιωτικές πισίνες .
#goldHeads=3,3,15,6,6,3,9,9,3,11,9,11,12,9,0,17,20,17,20,15,22,20,20,25,23,0,
#predictedHeads=3,3,15,6,6,3,9,9,3,9,9,11,12,15,0,17,20,20,20,15,22,20,22,25,23,0,
(1,4),-1.07581 # DEPENDENCYPART_ARC
(1,5),-1.98583 # DEPENDENCYPART_ARC
(1,6),-0.921004 # DEPENDENCYPART_ARC
(1,7),-0.459005 # DEPENDENCYPART_ARC
(1,8),-1.45897 # DEPENDENCYPART_ARC
(1,9),-2.49779 # DEPENDENCYPART_ARC
(1,10),-1.16843 # DEPENDENCYPART_ARC
(1,11),-1.14336 # DEPENDENCYPART_ARC
(1,12),-1.83089 # DEPENDENCYPART_ARC
(1,13),-2.29595 # DEPENDENCYPART_ARC
(1,14),-1.18085 # DEPENDENCYPART_ARC
(1,15),-2.7018 # DEPENDENCYPART_ARC
(1,16),-2.80718 # DEPENDENCYPART_ARC
(1,17),-1.13865 # DEPENDENCYPART_ARC
(1,18),-2.92376 # DEPENDENCYPART_ARC
(1,19),-2.89822 # DEPENDENCYPART_ARC
(1,20),-2.28585 # DEPENDENCYPART_ARC
(1,21),-2.29639 # DEPENDENCYPART_ARC
(1,22),-2.81145 # DEPENDENCYPART_ARC
(1,23),-1.74917 # DEPENDENCYPART_ARC
(1,24),-3.0412 # DEPENDENCYPART_ARC
(1,25),-2.59717 # DEPENDENCYPART_ARC
(1,26),-1.50357 # DEPENDENCYPART_ARC
(2,1),1.8539 # DEPENDENCYPART_ARC
(2,3),-0.178685 # DEPENDENCYPART_ARC
(2,4),-0.715249 # DEPENDENCYPART_ARC
(2,5),-0.694993 # DEPENDENCYPART_ARC
(2,6),-0.334889 # DEPENDENCYPART_ARC
(2,7),-0.539778 # DEPENDENCYPART_ARC
(2,8),-1.60755 # DEPENDENCYPART_ARC
(2,9),-1.49788 # DEPENDENCYPART_ARC
(2,10),-1.1887 # DEPENDENCYPART_ARC
(2,11),-1.18822 # DEPENDENCYPART_ARC
(2,12),-1.02107 # DEPENDENCYPART_ARC
(2,13),-2.8193 # DEPENDENCYPART_ARC
(2,14),-0.98486 # DEPENDENCYPART_ARC
(2,15),-2.61869 # DEPENDENCYPART_ARC
(2,16),-2.05173 # DEPENDENCYPART_ARC
(2,17),-0.746185 # DEPENDENCYPART_ARC
(2,18),-3.01655 # DEPENDENCYPART_ARC
(2,19),-2.92184 # DEPENDENCYPART_ARC
(2,20),-2.91224 # DEPENDENCYPART_ARC
(2,21),-2.26149 # DEPENDENCYPART_ARC
(2,22),-3.01467 # DEPENDENCYPART_ARC
(2,23),-1.74449 # DEPENDENCYPART_ARC
(2,24),-3.45426 # DEPENDENCYPART_ARC
(2,25),-3.33178 # DEPENDENCYPART_ARC
(2,26),-1.40373 # DEPENDENCYPART_ARC
(3,1),4.08547 # DEPENDENCYPART_ARC
(3,2),4.33861 # DEPENDENCYPART_ARC
(3,4),-0.0410097 # DEPENDENCYPART_ARC
(3,5),1.28041 # DEPENDENCYPART_ARC
(3,6),1.45027 # DEPENDENCYPART_ARC
(3,7),0.570075 # DEPENDENCYPART_ARC
(3,8),-1.41245 # DEPENDENCYPART_ARC
(3,9),1.10263 # DEPENDENCYPART_ARC
(3,10),-0.293284 # DEPENDENCYPART_ARC
(3,11),-0.142812 # DEPENDENCYPART_ARC
(3,12),-1.20466 # DEPENDENCYPART_ARC
(3,13),-1.86846 # DEPENDENCYPART_ARC
(3,14),-0.00936637 # DEPENDENCYPART_ARC
(3,15),-1.04497 # DEPENDENCYPART_ARC
(3,16),-0.56509 # DEPENDENCYPART_ARC
(3,17),-0.144969 # DEPENDENCYPART_ARC
(3,18),-0.985649 # DEPENDENCYPART_ARC
(3,19),-1.05884 # DEPENDENCYPART_ARC
(3,20),-2.65169 # DEPENDENCYPART_ARC
(3,21),-1.97949 # DEPENDENCYPART_ARC
(3,22),-0.424515 # DEPENDENCYPART_ARC
(3,23),-0.950485 # DEPENDENCYPART_ARC
(3,24),-1.17609 # DEPENDENCYPART_ARC
(3,25),-3.00066 # DEPENDENCYPART_ARC
(3,26),-0.0369205 # DEPENDENCYPART_ARC
(4,1),-0.358074 # DEPENDENCYPART_ARC
(4,2),-1.36218 # DEPENDENCYPART_ARC
(4,3),-0.632935 # DEPENDENCYPART_ARC
(4,5),-0.727639 # DEPENDENCYPART_ARC
(4,6),0.0845388 # DEPENDENCYPART_ARC
(4,7),-0.263998 # DEPENDENCYPART_ARC
(4,8),-1.99683 # DEPENDENCYPART_ARC
(4,9),-1.92971 # DEPENDENCYPART_ARC
(4,10),-1.06166 # DEPENDENCYPART_ARC
(4,11),-1.16381 # DEPENDENCYPART_ARC
(4,12),-1.63347 # DEPENDENCYPART_ARC
(4,13),-2.15791 # DEPENDENCYPART_ARC
(4,14),-0.951798 # DEPENDENCYPART_ARC
(4,15),-2.45279 # DEPENDENCYPART_ARC
(4,16),-2.73526 # DEPENDENCYPART_ARC
(4,17),-0.842089 # DEPENDENCYPART_ARC
(4,18),-2.62107 # DEPENDENCYPART_ARC
(4,19),-2.59065 # DEPENDENCYPART_ARC
(4,20),-2.21799 # DEPENDENCYPART_ARC
(4,21),-1.92506 # DEPENDENCYPART_ARC
(4,22),-2.45814 # DEPENDENCYPART_ARC
(4,23),-1.53676 # DEPENDENCYPART_ARC
(4,24),-2.65038 # DEPENDENCYPART_ARC
(4,25),-2.40574 # DEPENDENCYPART_ARC
(4,26),-1.47273 # DEPENDENCYPART_ARC
(5,1),0.53698 # DEPENDENCYPART_ARC
(5,2),-0.542688 # DEPENDENCYPART_ARC
(5,3),-0.372594 # DEPENDENCYPART_ARC
(5,4),1.98801 # DEPENDENCYPART_ARC
(5,6),0.954234 # DEPENDENCYPART_ARC
(5,7),-0.518275 # DEPENDENCYPART_ARC
(5,8),-1.38328 # DEPENDENCYPART_ARC
(5,9),-1.09679 # DEPENDENCYPART_ARC
(5,10),-1.41571 # DEPENDENCYPART_ARC
(5,11),-1.33371 # DEPENDENCYPART_ARC
(5,12),-1.29343 # DEPENDENCYPART_ARC
(5,13),-2.79593 # DEPENDENCYPART_ARC
(5,14),-1.13007 # DEPENDENCYPART_ARC
(5,15),-2.26807 # DEPENDENCYPART_ARC
(5,16),-2.35695 # DEPENDENCYPART_ARC
(5,17),-1.05491 # DEPENDENCYPART_ARC
(5,18),-3.15798 # DEPENDENCYPART_ARC
(5,19),-3.1228 # DEPENDENCYPART_ARC
(5,20),-2.59576 # DEPENDENCYPART_ARC
(5,21),-2.21794 # DEPENDENCYPART_ARC
(5,22),-3.14947 # DEPENDENCYPART_ARC
(5,23),-1.69128 # DEPENDENCYPART_ARC
(5,24),-3.57113 # DEPENDENCYPART_ARC
(5,25),-3.27888 # DEPENDENCYPART_ARC
(5,26),-1.55325 # DEPENDENCYPART_ARC
(6,1),1.29023 # DEPENDENCYPART_ARC
(6,2),0.296266 # DEPENDENCYPART_ARC
(6,3),-0.827755 # DEPENDENCYPART_ARC
(6,4),3.48124 # DEPENDENCYPART_ARC
(6,5),3.16142 # DEPENDENCYPART_ARC
(6,7),0.0415638 # DEPENDENCYPART_ARC
(6,8),-2.35533 # DEPENDENCYPART_ARC
(6,9),0.800797 # DEPENDENCYPART_ARC
(6,10),-1.02173 # DEPENDENCYPART_ARC
(6,11),-1.0311 # DEPENDENCYPART_ARC
(6,12),-1.97307 # DEPENDENCYPART_ARC
(6,13),-2.54408 # DEPENDENCYPART_ARC
(6,14),-0.850734 # DEPENDENCYPART_ARC
(6,15),-1.92415 # DEPENDENCYPART_ARC
(6,16),-1.33231 # DEPENDENCYPART_ARC
(6,17),-0.725352 # DEPENDENCYPART_ARC
(6,18),-1.65525 # DEPENDENCYPART_ARC
(6,19),-1.58933 # DEPENDENCYPART_ARC
(6,20),-3.51614 # DEPENDENCYPART_ARC
(6,21),-2.31111 # DEPENDENCYPART_ARC
(6,22),-1.27223 # DEPENDENCYPART_ARC
(6,23),-1.89365 # DEPENDENCYPART_ARC
(6,24),-1.53785 # DEPENDENCYPART_ARC
(6,25),-3.67033 # DEPENDENCYPART_ARC
(6,26),-0.906306 # DEPENDENCYPART_ARC
(7,1),-0.682643 # DEPENDENCYPART_ARC
(7,2),-0.580282 # DEPENDENCYPART_ARC
(7,3),-0.305021 # DEPENDENCYPART_ARC
(7,4),-0.279175 # DEPENDENCYPART_ARC
(7,5),-0.243665 # DEPENDENCYPART_ARC
(7,6),-0.12436 # DEPENDENCYPART_ARC
(7,8),-0.124813 # DEPENDENCYPART_ARC
(7,9),0.156323 # DEPENDENCYPART_ARC
(7,10),-0.105866 # DEPENDENCYPART_ARC
(7,11),-0.297269 # DEPENDENCYPART_ARC
(7,12),-0.284005 # DEPENDENCYPART_ARC
(7,13),-0.6441 # DEPENDENCYPART_ARC
(7,14),0.406315 # DEPENDENCYPART_ARC
(7,15),-0.841535 # DEPENDENCYPART_ARC
(7,16),-0.709738 # DEPENDENCYPART_ARC
(7,17),-0.0884564 # DEPENDENCYPART_ARC
(7,18),-0.714355 # DEPENDENCYPART_ARC
(7,19),-0.583377 # DEPENDENCYPART_ARC
(7,20),-1.01828 # DEPENDENCYPART_ARC
(7,21),-1.05537 # DEPENDENCYPART_ARC
(7,22),-0.668758 # DEPENDENCYPART_ARC
(7,23),-0.368323 # DEPENDENCYPART_ARC
(7,24),-0.57442 # DEPENDENCYPART_ARC
(7,25),-1.02214 # DEPENDENCYPART_ARC
(7,26),0.0952449 # DEPENDENCYPART_ARC
(8,1),-0.492606 # DEPENDENCYPART_ARC
(8,2),0.0251123 # DEPENDENCYPART_ARC
(8,3),-1.78388 # DEPENDENCYPART_ARC
(8,4),0.133376 # DEPENDENCYPART_ARC
(8,5),-0.472838 # DEPENDENCYPART_ARC
(8,6),-1.10983 # DEPENDENCYPART_ARC
(8,7),0.183116 # DEPENDENCYPART_ARC
(8,9),0.0554791 # DEPENDENCYPART_ARC
(8,10),-0.983914 # DEPENDENCYPART_ARC
(8,11),-1.16403 # DEPENDENCYPART_ARC
(8,12),-2.10332 # DEPENDENCYPART_ARC
(8,13),-2.50733 # DEPENDENCYPART_ARC
(8,14),-1.07727 # DEPENDENCYPART_ARC
(8,15),-1.90977 # DEPENDENCYPART_ARC
(8,16),-1.26526 # DEPENDENCYPART_ARC
(8,17),-1.1548 # DEPENDENCYPART_ARC
(8,18),-1.22933 # DEPENDENCYPART_ARC
(8,19),-1.40842 # DEPENDENCYPART_ARC
(8,20),-2.79603 # DEPENDENCYPART_ARC
(8,21),-2.84822 # DEPENDENCYPART_ARC
(8,22),-0.789833 # DEPENDENCYPART_ARC
(8,23),-1.54232 # DEPENDENCYPART_ARC
(8,24),-2.51427 # DEPENDENCYPART_ARC
(8,25),-3.29362 # DEPENDENCYPART_ARC
(8,26),-1.40182 # DEPENDENCYPART_ARC
(9,1),-1.83209 # DEPENDENCYPART_ARC
(9,2),-0.975936 # DEPENDENCYPART_ARC
(9,3),0.298887 # DEPENDENCYPART_ARC
(9,4),-2.09592 # DEPENDENCYPART_ARC
(9,5),-2.0461 # DEPENDENCYPART_ARC
(9,6),-2.53514 # DEPENDENCYPART_ARC
(9,7),1.27151 # DEPENDENCYPART_ARC
(9,8),4.86294 # DEPENDENCYPART_ARC
(9,10),2.18714 # DEPENDENCYPART_ARC
(9,11),2.00694 # DEPENDENCYPART_ARC
(9,12),1.92279 # DEPENDENCYPART_ARC
(9,13),0.0309527 # DEPENDENCYPART_ARC
(9,14),1.10435 # DEPENDENCYPART_ARC
(9,15),-1.69049 # DEPENDENCYPART_ARC
(9,16),0.0688546 # DEPENDENCYPART_ARC
(9,17),0.393116 # DEPENDENCYPART_ARC
(9,18),-1.25116 # DEPENDENCYPART_ARC
(9,19),-1.60357 # DEPENDENCYPART_ARC
(9,20),-0.77094 # DEPENDENCYPART_ARC
(9,21),-2.81312 # DEPENDENCYPART_ARC
(9,22),-1.379 # DEPENDENCYPART_ARC
(9,23),-0.255058 # DEPENDENCYPART_ARC
(9,24),-2.07877 # DEPENDENCYPART_ARC
(9,25),-1.89631 # DEPENDENCYPART_ARC
(9,26),0.0782623 # DEPENDENCYPART_ARC
(10,1),-0.160617 # DEPENDENCYPART_ARC
(10,2),-1.11488 # DEPENDENCYPART_ARC
(10,3),-0.608272 # DEPENDENCYPART_ARC
(10,4),0.0282739 # DEPENDENCYPART_ARC
(10,5),-0.69168 # DEPENDENCYPART_ARC
(10,6),-0.565558 # DEPENDENCYPART_ARC
(10,7),-0.334131 # DEPENDENCYPART_ARC
(10,8),-0.671862 # DEPENDENCYPART_ARC
(10,9),-0.144301 # DEPENDENCYPART_ARC
(10,11),-0.0375632 # DEPENDENCYPART_ARC
(10,12),-0.0323949 # DEPENDENCYPART_ARC
(10,13),-0.943007 # DEPENDENCYPART_ARC
(10,14),-0.504027 # DEPENDENCYPART_ARC
(10,15),-0.819866 # DEPENDENCYPART_ARC
(10,16),-1.59382 # DEPENDENCYPART_ARC
(10,17),-1.16237 # DEPENDENCYPART_ARC
(10,18),-1.77185 # DEPENDENCYPART_ARC
(10,19),-1.79278 # DEPENDENCYPART_ARC
(10,20),-2.23265 # DEPENDENCYPART_ARC
(10,21),-2.06355 # DEPENDENCYPART_ARC
(10,22),-1.99412 # DEPENDENCYPART_ARC
(10,23),-1.88614 # DEPENDENCYPART_ARC
(10,24),-2.31974 # DEPENDENCYPART_ARC
(10,25),-2.78622 # DEPENDENCYPART_ARC
(10,26),-1.54481 # DEPENDENCYPART_ARC
(11,1),0.103174 # DEPENDENCYPART_ARC
(11,2),-0.7611 # DEPENDENCYPART_ARC
(11,3),-0.34101 # DEPENDENCYPART_ARC
(11,4),0.351971 # DEPENDENCYPART_ARC
(11,5),-0.459333 # DEPENDENCYPART_ARC
(11,6),-0.333144 # DEPENDENCYPART_ARC
(11,7),0.0977351 # DEPENDENCYPART_ARC
(11,8),-0.665901 # DEPENDENCYPART_ARC
(11,9),-0.289272 # DEPENDENCYPART_ARC
(11,10),2.09041 # DEPENDENCYPART_ARC
(11,12),2.03969 # DEPENDENCYPART_ARC
(11,13),0.691379 # DEPENDENCYPART_ARC
(11,14),0.926664 # DEPENDENCYPART_ARC
(11,15),0.310969 # DEPENDENCYPART_ARC
(11,16),-0.300792 # DEPENDENCYPART_ARC
(11,17),-0.0892032 # DEPENDENCYPART_ARC
(11,18),-0.720517 # DEPENDENCYPART_ARC
(11,19),-0.727718 # DEPENDENCYPART_ARC
(11,20),-1.25926 # DEPENDENCYPART_ARC
(11,21),-0.962968 # DEPENDENCYPART_ARC
(11,22),-0.992458 # DEPENDENCYPART_ARC
(11,23),-0.326632 # DEPENDENCYPART_ARC
(11,24),-1.36839 # DEPENDENCYPART_ARC
(11,25),-1.76702 # DEPENDENCYPART_ARC
(11,26),-0.204713 # DEPENDENCYPART_ARC
(12,1),-1.25286 # DEPENDENCYPART_ARC
(12,2),-1.3238 # DEPENDENCYPART_ARC
(12,3),-1.92266 # DEPENDENCYPART_ARC
(12,4),-1.07823 # DEPENDENCYPART_ARC
(12,5),-1.17481 # DEPENDENCYPART_ARC
(12,6),-1.71704 # DEPENDENCYPART_ARC
(12,7),-0.408587 # DEPENDENCYPART_ARC
(12,8),-1.60583 # DEPENDENCYPART_ARC
(12,9),-1.55355 # DEPENDENCYPART_ARC
(12,10),0.0250578 # DEPENDENCYPART_ARC
(12,11),0.31176 # DEPENDENCYPART_ARC
(12,13),3.49286 # DEPENDENCYPART_ARC
(12,14),0.405417 # DEPENDENCYPART_ARC
(12,15),-0.421972 # DEPENDENCYPART_ARC
(12,16),-0.535985 # DEPENDENCYPART_ARC
(12,17),-0.629891 # DEPENDENCYPART_ARC
(12,18),-1.02803 # DEPENDENCYPART_ARC
(12,19),-0.949686 # DEPENDENCYPART_ARC
(12,20),-1.39241 # DEPENDENCYPART_ARC
(12,21),-1.8685 # DEPENDENCYPART_ARC
(12,22),-1.52811 # DEPENDENCYPART_ARC
(12,23),-1.58969 # DEPENDENCYPART_ARC
(12,24),-1.18554 # DEPENDENCYPART_ARC
(12,25),-1.82842 # DEPENDENCYPART_ARC
(12,26),-0.922114 # DEPENDENCYPART_ARC
(13,1),-2.32468 # DEPENDENCYPART_ARC
(13,2),-3.10049 # DEPENDENCYPART_ARC
(13,3),-3.2506 # DEPENDENCYPART_ARC
(13,4),-1.50001 # DEPENDENCYPART_ARC
(13,5),-2.73025 # DEPENDENCYPART_ARC
(13,6),-2.3043 # DEPENDENCYPART_ARC
(13,7),-1.68337 # DEPENDENCYPART_ARC
(13,8),-1.88059 # DEPENDENCYPART_ARC
(13,9),-2.6037 # DEPENDENCYPART_ARC
(13,10),-0.863256 # DEPENDENCYPART_ARC
(13,11),-0.115339 # DEPENDENCYPART_ARC
(13,12),0.433036 # DEPENDENCYPART_ARC
(13,14),0.216077 # DEPENDENCYPART_ARC
(13,15),0.316453 # DEPENDENCYPART_ARC
(13,16),-0.509784 # DEPENDENCYPART_ARC
(13,17),-0.130891 # DEPENDENCYPART_ARC
(13,18),-1.03406 # DEPENDENCYPART_ARC
(13,19),-1.2221 # DEPENDENCYPART_ARC
(13,20),-2.61357 # DEPENDENCYPART_ARC
(13,21),-2.15552 # DEPENDENCYPART_ARC
(13,22),-1.22797 # DEPENDENCYPART_ARC
(13,23),-0.651545 # DEPENDENCYPART_ARC
(13,24),-1.20396 # DEPENDENCYPART_ARC
(13,25),-2.91606 # DEPENDENCYPART_ARC
(13,26),-0.841654 # DEPENDENCYPART_ARC
(14,1),-1.04852 # DEPENDENCYPART_ARC
(14,2),-0.966641 # DEPENDENCYPART_ARC
(14,3),-1.19523 # DEPENDENCYPART_ARC
(14,4),-0.944171 # DEPENDENCYPART_ARC
(14,5),-0.887325 # DEPENDENCYPART_ARC
(14,6),-1.27214 # DEPENDENCYPART_ARC
(14,7),-0.789207 # DEPENDENCYPART_ARC
(14,8),-0.73156 # DEPENDENCYPART_ARC
(14,9),-0.488245 # DEPENDENCYPART_ARC
(14,10),-0.280653 # DEPENDENCYPART_ARC
(14,11),-0.194412 # DEPENDENCYPART_ARC
(14,12),-0.0858514 # DEPENDENCYPART_ARC
(14,13),0.151713 # DEPENDENCYPART_ARC
(14,15),-0.210369 # DEPENDENCYPART_ARC
(14,16),-0.873303 # DEPENDENCYPART_ARC
(14,17),-0.577336 # DEPENDENCYPART_ARC
(14,18),-1.10924 # DEPENDENCYPART_ARC
(14,19),-1.1025 # DEPENDENCYPART_ARC
(14,20),-1.26105 # DEPENDENCYPART_ARC
(14,21),-1.69102 # DEPENDENCYPART_ARC
(14,22),-1.43874 # DEPENDENCYPART_ARC
(14,23),-0.76583 # DEPENDENCYPART_ARC
(14,24),-1.23088 # DEPENDENCYPART_ARC
(14,25),-1.50652 # DEPENDENCYPART_ARC
(14,26),-0.510604 # DEPENDENCYPART_ARC
(15,1),-0.562856 # DEPENDENCYPART_ARC
(15,2),-0.638002 # DEPENDENCYPART_ARC
(15,3),0.956281 # DEPENDENCYPART_ARC
(15,4),-1.21851 # DEPENDENCYPART_ARC
(15,5),-2.02893 # DEPENDENCYPART_ARC
(15,6),-1.96981 # DEPENDENCYPART_ARC
(15,7),0.977407 # DEPENDENCYPART_ARC
(15,8),2.02488 # DEPENDENCYPART_ARC
(15,9),-2.44184 # DEPENDENCYPART_ARC
(15,10),0.554419 # DEPENDENCYPART_ARC
(15,11),0.772101 # DEPENDENCYPART_ARC
(15,12),1.05067 # DEPENDENCYPART_ARC
(15,13),0.584755 # DEPENDENCYPART_ARC
(15,14),1.69195 # DEPENDENCYPART_ARC
(15,16),2.60553 # DEPENDENCYPART_ARC
(15,17),1.40011 # DEPENDENCYPART_ARC
(15,18),-0.0729621 # DEPENDENCYPART_ARC
(15,19),-0.772811 # DEPENDENCYPART_ARC
(15,20),1.83725 # DEPENDENCYPART_ARC
(15,21),-2.19909 # DEPENDENCYPART_ARC
(15,22),-1.05378 # DEPENDENCYPART_ARC
(15,23),0.142162 # DEPENDENCYPART_ARC
(15,24),-2.21322 # DEPENDENCYPART_ARC
(15,25),0.570194 # DEPENDENCYPART_ARC
(15,26),0.207575 # DEPENDENCYPART_ARC
(16,1),-0.92956 # DEPENDENCYPART_ARC
(16,2),-1.30164 # DEPENDENCYPART_ARC
(16,3),-1.64534 # DEPENDENCYPART_ARC
(16,4),-0.66629 # DEPENDENCYPART_ARC
(16,5),-1.14372 # DEPENDENCYPART_ARC
(16,6),-1.87144 # DEPENDENCYPART_ARC
(16,7),-1.34385 # DEPENDENCYPART_ARC
(16,8),-2.27956 # DEPENDENCYPART_ARC
(16,9),-2.9147 # DEPENDENCYPART_ARC
(16,10),-1.07641 # DEPENDENCYPART_ARC
(16,11),-0.884229 # DEPENDENCYPART_ARC
(16,12),-1.28394 # DEPENDENCYPART_ARC
(16,13),-1.59657 # DEPENDENCYPART_ARC
(16,14),-0.458211 # DEPENDENCYPART_ARC
(16,15),-1.67671 # DEPENDENCYPART_ARC
(16,17),0.271852 # DEPENDENCYPART_ARC
(16,18),-1.2102 # DEPENDENCYPART_ARC
(16,19),-1.62617 # DEPENDENCYPART_ARC
(16,20),-1.09196 # DEPENDENCYPART_ARC
(16,21),-1.4187 # DEPENDENCYPART_ARC
(16,22),-2.15081 # DEPENDENCYPART_ARC
(16,23),-0.519102 # DEPENDENCYPART_ARC
(16,24),-2.60728 # DEPENDENCYPART_ARC
(16,25),-1.94092 # DEPENDENCYPART_ARC
(16,26),-0.368271 # DEPENDENCYPART_ARC
(17,1),-0.436867 # DEPENDENCYPART_ARC
(17,2),0.238165 # DEPENDENCYPART_ARC
(17,3),-0.302891 # DEPENDENCYPART_ARC
(17,4),-0.28448 # DEPENDENCYPART_ARC
(17,5),0.398245 # DEPENDENCYPART_ARC
(17,6),-0.142263 # DEPENDENCYPART_ARC
(17,7),0.0275313 # DEPENDENCYPART_ARC
(17,8),0.997059 # DEPENDENCYPART_ARC
(17,9),-0.192323 # DEPENDENCYPART_ARC
(17,10),0.297843 # DEPENDENCYPART_ARC
(17,11),0.448343 # DEPENDENCYPART_ARC
(17,12),0.55352 # DEPENDENCYPART_ARC
(17,13),0.961843 # DEPENDENCYPART_ARC
(17,14),1.30041 # DEPENDENCYPART_ARC
(17,15),1.2853 # DEPENDENCYPART_ARC
(17,16),3.05164 # DEPENDENCYPART_ARC
(17,18),2.71866 # DEPENDENCYPART_ARC
(17,19),2.06416 # DEPENDENCYPART_ARC
(17,20),-0.0241968 # DEPENDENCYPART_ARC
(17,21),-0.350299 # DEPENDENCYPART_ARC
(17,22),0.563573 # DEPENDENCYPART_ARC
(17,23),0.345207 # DEPENDENCYPART_ARC
(17,24),0.841208 # DEPENDENCYPART_ARC
(17,25),-1.12016 # DEPENDENCYPART_ARC
(17,26),0.578354 # DEPENDENCYPART_ARC
(18,1),-1.27848 # DEPENDENCYPART_ARC
(18,2),-1.16664 # DEPENDENCYPART_ARC
(18,3),-1.65094 # DEPENDENCYPART_ARC
(18,4),-1.17946 # DEPENDENCYPART_ARC
(18,5),-1.15644 # DEPENDENCYPART_ARC
(18,6),-2.00968 # DEPENDENCYPART_ARC
(18,7),-1.49468 # DEPENDENCYPART_ARC
(18,8),-1.76838 # DEPENDENCYPART_ARC
(18,9),-3.75662 # DEPENDENCYPART_ARC
(18,10),-0.998184 # DEPENDENCYPART_ARC
(18,11),-0.879564 # DEPENDENCYPART_ARC
(18,12),-1.50795 # DEPENDENCYPART_ARC
(18,13),-1.79999 # DEPENDENCYPART_ARC
(18,14),-0.988215 # DEPENDENCYPART_ARC
(18,15),-3.55911 # DEPENDENCYPART_ARC
(18,16),1.09168 # DEPENDENCYPART_ARC
(18,17),0.336935 # DEPENDENCYPART_ARC
(18,19),-0.291308 # DEPENDENCYPART_ARC
(18,20),-0.054157 # DEPENDENCYPART_ARC
(18,21),-0.533143 # DEPENDENCYPART_ARC
(18,22),-1.34577 # DEPENDENCYPART_ARC
(18,23),-0.172099 # DEPENDENCYPART_ARC
(18,24),-2.00233 # DEPENDENCYPART_ARC
(18,25),-1.73333 # DEPENDENCYPART_ARC
(18,26),-0.202056 # DEPENDENCYPART_ARC
(19,1),-0.806702 # DEPENDENCYPART_ARC
(19,2),-0.594969 # DEPENDENCYPART_ARC
(19,3),-1.23719 # DEPENDENCYPART_ARC
(19,4),-0.716866 # DEPENDENCYPART_ARC
(19,5),-0.564357 # DEPENDENCYPART_ARC
(19,6),-1.65054 # DEPENDENCYPART_ARC
(19,7),-1.10421 # DEPENDENCYPART_ARC
(19,8),-1.3668 # DEPENDENCYPART_ARC
(19,9),-3.44632 # DEPENDENCYPART_ARC
(19,10),-0.643628 # DEPENDENCYPART_ARC
(19,11),-0.588069 # DEPENDENCYPART_ARC
(19,12),-1.07856 # DEPENDENCYPART_ARC
(19,13),-1.54958 # DEPENDENCYPART_ARC
(19,14),-0.670558 # DEPENDENCYPART_ARC
(19,15),-3.34584 # DEPENDENCYPART_ARC
(19,16),0.881717 # DEPENDENCYPART_ARC
(19,17),0.377664 # DEPENDENCYPART_ARC
(19,18),1.95631 # DEPENDENCYPART_ARC
(19,20),0.681061 # DEPENDENCYPART_ARC
(19,21),-0.259564 # DEPENDENCYPART_ARC
(19,22),-1.16533 # DEPENDENCYPART_ARC
(19,23),-0.0532747 # DEPENDENCYPART_ARC
(19,24),-1.8112 # DEPENDENCYPART_ARC
(19,25),-1.55526 # DEPENDENCYPART_ARC
(19,26),-0.195602 # DEPENDENCYPART_ARC
(20,1),-0.385798 # DEPENDENCYPART_ARC
(20,2),-0.900633 # DEPENDENCYPART_ARC
