# _root_ Η περιοχή ( ανάμεσα στη Σαγιάδα , το Ράγιο και την Ηγουμενίτσα ) φιλοξενεί έναν από τους σημαντικότερους υγροβιότοπους της Ελλάδας , στον οποίο βρίσκουν προστασία σπάνια είδη πουλιών και λουλουδιών .
#goldHeads=2,14,4,2,4,10,10,9,10,5,12,10,4,0,14,15,19,19,16,21,19,25,25,23,15,25,28,25,30,28,30,0,
#predictedHeads=2,10,4,2,4,5,10,9,10,14,12,10,14,0,14,15,19,19,16,21,19,25,25,23,19,25,28,25,30,28,30,0,
(1,10),-0.187249 # DEPENDENCYPART_ARC
(1,19),-2.42978 # DEPENDENCYPART_ARC
(1,26),-2.59467 # DEPENDENCYPART_ARC
(1,27),-1.71404 # DEPENDENCYPART_ARC
(1,28),-2.59723 # DEPENDENCYPART_ARC
(1,29),-2.2929 # DEPENDENCYPART_ARC
(1,30),-1.05412 # DEPENDENCYPART_ARC
(1,31),-2.24843 # DEPENDENCYPART_ARC
(2,1),3.4343 # DEPENDENCYPART_ARC
(2,3),0.639757 # DEPENDENCYPART_ARC
(2,4),0.39998 # DEPENDENCYPART_ARC
(2,5),0.0923713 # DEPENDENCYPART_ARC
(2,6),-0.501816 # DEPENDENCYPART_ARC
(2,7),-0.379804 # DEPENDENCYPART_ARC
(2,8),-1.62837 # DEPENDENCYPART_ARC
(2,9),-1.68668 # DEPENDENCYPART_ARC
(2,10),0.646039 # DEPENDENCYPART_ARC
(2,11),-1.47598 # DEPENDENCYPART_ARC
(2,12),-2.19136 # DEPENDENCYPART_ARC
(2,13),-0.719213 # DEPENDENCYPART_ARC
(2,14),-1.6128 # DEPENDENCYPART_ARC
(2,15),-1.20439 # DEPENDENCYPART_ARC
(2,16),-1.76498 # DEPENDENCYPART_ARC
(2,17),-2.08478 # DEPENDENCYPART_ARC
(2,18),-2.70134 # DEPENDENCYPART_ARC
(2,19),-4.07259 # DEPENDENCYPART_ARC
(2,20),-2.04004 # DEPENDENCYPART_ARC
(2,21),-2.71586 # DEPENDENCYPART_ARC
(2,22),-1.88869 # DEPENDENCYPART_ARC
(2,23),-1.47124 # DEPENDENCYPART_ARC
(2,24),-3.66686 # DEPENDENCYPART_ARC
(2,25),-2.15131 # DEPENDENCYPART_ARC
(2,26),-5.07219 # DEPENDENCYPART_ARC
(2,27),-1.64253 # DEPENDENCYPART_ARC
(2,28),-5.48065 # DEPENDENCYPART_ARC
(2,29),-4.20437 # DEPENDENCYPART_ARC
(2,30),0.344187 # DEPENDENCYPART_ARC
(2,31),-4.59932 # DEPENDENCYPART_ARC
(2,32),-1.18652 # DEPENDENCYPART_ARC
(3,2),0.483461 # DEPENDENCYPART_ARC
(3,4),0.172865 # DEPENDENCYPART_ARC
(3,5),0.278603 # DEPENDENCYPART_ARC
(3,6),0.512024 # DEPENDENCYPART_ARC
(3,7),0.260991 # DEPENDENCYPART_ARC
(3,9),-0.240774 # DEPENDENCYPART_ARC
(3,10),0.293968 # DEPENDENCYPART_ARC
(3,12),-0.383689 # DEPENDENCYPART_ARC
(3,13),0.703398 # DEPENDENCYPART_ARC
(3,14),-0.273815 # DEPENDENCYPART_ARC
(3,15),-0.782776 # DEPENDENCYPART_ARC
(3,16),-0.829909 # DEPENDENCYPART_ARC
(3,18),-0.947124 # DEPENDENCYPART_ARC
(3,19),-1.04075 # DEPENDENCYPART_ARC
(3,21),-0.868941 # DEPENDENCYPART_ARC
(3,22),-1.26885 # DEPENDENCYPART_ARC
(3,23),-1.29852 # DEPENDENCYPART_ARC
(3,24),-1.80325 # DEPENDENCYPART_ARC
(3,25),-1.04513 # DEPENDENCYPART_ARC
(3,26),-1.37912 # DEPENDENCYPART_ARC
(3,27),-0.915725 # DEPENDENCYPART_ARC
(3,28),-1.31009 # DEPENDENCYPART_ARC
(3,29),-1.27008 # DEPENDENCYPART_ARC
(3,30),-0.708184 # DEPENDENCYPART_ARC
(3,31),-1.34559 # DEPENDENCYPART_ARC
(3,32),-1.38316 # DEPENDENCYPART_ARC
(4,1),-0.0390565 # DEPENDENCYPART_ARC
(4,2),-0.0653067 # DEPENDENCYPART_ARC
(4,3),1.11768 # DEPENDENCYPART_ARC
(4,5),1.24048 # DEPENDENCYPART_ARC
(4,6),0.701364 # DEPENDENCYPART_ARC
(4,7),0.978024 # DEPENDENCYPART_ARC
(4,8),-0.423182 # DEPENDENCYPART_ARC
(4,9),-0.104009 # DEPENDENCYPART_ARC
(4,10),0.341146 # DEPENDENCYPART_ARC
(4,11),-1.00976 # DEPENDENCYPART_ARC
(4,12),-1.24021 # DEPENDENCYPART_ARC
(4,13),0.421711 # DEPENDENCYPART_ARC
(4,14),-0.460012 # DEPENDENCYPART_ARC
(4,15),-1.17613 # DEPENDENCYPART_ARC
(4,16),-0.670928 # DEPENDENCYPART_ARC
(4,17),-1.48544 # DEPENDENCYPART_ARC
(4,18),-1.47464 # DEPENDENCYPART_ARC
(4,19),-2.23094 # DEPENDENCYPART_ARC
(4,20),-1.49302 # DEPENDENCYPART_ARC
(4,21),-1.66249 # DEPENDENCYPART_ARC
(4,22),-0.394393 # DEPENDENCYPART_ARC
(4,23),-1.09223 # DEPENDENCYPART_ARC
(4,24),-1.95934 # DEPENDENCYPART_ARC
(4,25),-1.35714 # DEPENDENCYPART_ARC
(4,26),-2.76499 # DEPENDENCYPART_ARC
(4,27),-1.27652 # DEPENDENCYPART_ARC
(4,28),-2.7467 # DEPENDENCYPART_ARC
(4,29),-2.36007 # DEPENDENCYPART_ARC
(4,30),-1.07156 # DEPENDENCYPART_ARC
(4,31),-2.46238 # DEPENDENCYPART_ARC
(4,32),-1.11393 # DEPENDENCYPART_ARC
(5,2),-1.51544 # DEPENDENCYPART_ARC
(5,3),0.479652 # DEPENDENCYPART_ARC
(5,4),0.776466 # DEPENDENCYPART_ARC
(5,6),3.43102 # DEPENDENCYPART_ARC
(5,7),0.242395 # DEPENDENCYPART_ARC
(5,9),-1.44541 # DEPENDENCYPART_ARC
(5,10),0.0277244 # DEPENDENCYPART_ARC
(5,12),-1.53065 # DEPENDENCYPART_ARC
(5,13),-0.578504 # DEPENDENCYPART_ARC
(5,14),-3.2851 # DEPENDENCYPART_ARC
(5,16),-1.9019 # DEPENDENCYPART_ARC
(5,18),-3.16116 # DEPENDENCYPART_ARC
(5,19),-4.25495 # DEPENDENCYPART_ARC
(5,21),-5.37848 # DEPENDENCYPART_ARC
(5,22),-1.49479 # DEPENDENCYPART_ARC
(5,24),-1.65211 # DEPENDENCYPART_ARC
(5,25),-4.35991 # DEPENDENCYPART_ARC
(5,26),-5.46915 # DEPENDENCYPART_ARC
(5,27),-2.39989 # DEPENDENCYPART_ARC
(5,28),-7.33548 # DEPENDENCYPART_ARC
(5,29),-8.70938 # DEPENDENCYPART_ARC
(5,30),-2.29548 # DEPENDENCYPART_ARC
(5,31),-8.95504 # DEPENDENCYPART_ARC
(5,32),-2.03993 # DEPENDENCYPART_ARC
(6,1),0.0696047 # DEPENDENCYPART_ARC
(6,2),-1.93834 # DEPENDENCYPART_ARC
(6,3),-0.702587 # DEPENDENCYPART_ARC
(6,4),-0.459151 # DEPENDENCYPART_ARC
(6,5),0.221514 # DEPENDENCYPART_ARC
(6,7),-0.0216386 # DEPENDENCYPART_ARC
(6,8),-0.97227 # DEPENDENCYPART_ARC
(6,9),-1.16408 # DEPENDENCYPART_ARC
(6,10),0.100457 # DEPENDENCYPART_ARC
(6,11),-1.3302 # DEPENDENCYPART_ARC
(6,12),-2.24691 # DEPENDENCYPART_ARC
(6,13),-0.684496 # DEPENDENCYPART_ARC
(6,14),-1.44706 # DEPENDENCYPART_ARC
(6,15),-1.63209 # DEPENDENCYPART_ARC
(6,16),-1.56846 # DEPENDENCYPART_ARC
(6,17),-2.28089 # DEPENDENCYPART_ARC
(6,18),-2.40514 # DEPENDENCYPART_ARC
(6,19),-3.68459 # DEPENDENCYPART_ARC
(6,20),-1.94752 # DEPENDENCYPART_ARC
(6,21),-2.54091 # DEPENDENCYPART_ARC
(6,22),-1.70315 # DEPENDENCYPART_ARC
(6,23),-1.38489 # DEPENDENCYPART_ARC
(6,24),-2.99427 # DEPENDENCYPART_ARC
(6,25),-1.83969 # DEPENDENCYPART_ARC
(6,26),-4.82736 # DEPENDENCYPART_ARC
(6,27),-1.82463 # DEPENDENCYPART_ARC
(6,28),-5.47476 # DEPENDENCYPART_ARC
(6,29),-4.11618 # DEPENDENCYPART_ARC
(6,30),-1.21418 # DEPENDENCYPART_ARC
(6,31),-4.52289 # DEPENDENCYPART_ARC
(6,32),-1.15354 # DEPENDENCYPART_ARC
(7,2),-0.111197 # DEPENDENCYPART_ARC
(7,3),0.109811 # DEPENDENCYPART_ARC
(7,4),-0.0788178 # DEPENDENCYPART_ARC
(7,5),0.0147825 # DEPENDENCYPART_ARC
(7,6),0.844382 # DEPENDENCYPART_ARC
(7,9),0.491339 # DEPENDENCYPART_ARC
(7,10),0.334556 # DEPENDENCYPART_ARC
(7,12),-0.0619829 # DEPENDENCYPART_ARC
(7,13),0.649274 # DEPENDENCYPART_ARC
(7,14),-0.371541 # DEPENDENCYPART_ARC
(7,15),-0.87538 # DEPENDENCYPART_ARC
(7,16),-0.734511 # DEPENDENCYPART_ARC
(7,18),-1.32104 # DEPENDENCYPART_ARC
(7,19),-1.01564 # DEPENDENCYPART_ARC
(7,21),-1.11627 # DEPENDENCYPART_ARC
(7,22),-0.703838 # DEPENDENCYPART_ARC
(7,23),-1.58621 # DEPENDENCYPART_ARC
(7,24),-2.0728 # DEPENDENCYPART_ARC
(7,25),-0.925538 # DEPENDENCYPART_ARC
(7,26),-1.63139 # DEPENDENCYPART_ARC
(7,27),-0.886143 # DEPENDENCYPART_ARC
(7,28),-1.68411 # DEPENDENCYPART_ARC
(7,29),-1.66472 # DEPENDENCYPART_ARC
(7,30),-0.975854 # DEPENDENCYPART_ARC
(7,31),-1.72523 # DEPENDENCYPART_ARC
(7,32),-0.99944 # DEPENDENCYPART_ARC
(8,2),-1.81012 # DEPENDENCYPART_ARC
(8,4),-1.23677 # DEPENDENCYPART_ARC
(8,6),-1.50542 # DEPENDENCYPART_ARC
(8,9),0.248344 # DEPENDENCYPART_ARC
(8,10),-0.0608915 # DEPENDENCYPART_ARC
(8,19),-2.34309 # DEPENDENCYPART_ARC
(8,26),-2.32217 # DEPENDENCYPART_ARC
(8,27),-1.53117 # DEPENDENCYPART_ARC
(8,28),-2.34438 # DEPENDENCYPART_ARC
(8,29),-2.07353 # DEPENDENCYPART_ARC
(8,30),-1.3608 # DEPENDENCYPART_ARC
(8,31),-2.20668 # DEPENDENCYPART_ARC
(9,1),-0.837392 # DEPENDENCYPART_ARC
(9,2),-2.22988 # DEPENDENCYPART_ARC
(9,3),-0.916204 # DEPENDENCYPART_ARC
(9,4),-0.772007 # DEPENDENCYPART_ARC
(9,5),-1.33441 # DEPENDENCYPART_ARC
(9,6),-1.67454 # DEPENDENCYPART_ARC
(9,7),-0.103443 # DEPENDENCYPART_ARC
(9,8),3.35849 # DEPENDENCYPART_ARC
(9,10),0.521312 # DEPENDENCYPART_ARC
(9,11),-1.03305 # DEPENDENCYPART_ARC
(9,12),-0.306798 # DEPENDENCYPART_ARC
(9,13),-0.397431 # DEPENDENCYPART_ARC
(9,14),-1.35881 # DEPENDENCYPART_ARC
(9,15),-1.54142 # DEPENDENCYPART_ARC
(9,16),-1.52329 # DEPENDENCYPART_ARC
(9,17),-2.42579 # DEPENDENCYPART_ARC
(9,18),-2.01775 # DEPENDENCYPART_ARC
(9,19),-3.22528 # DEPENDENCYPART_ARC
(9,20),-2.55334 # DEPENDENCYPART_ARC
(9,21),-1.86661 # DEPENDENCYPART_ARC
(9,22),-1.4484 # DEPENDENCYPART_ARC
(9,23),-1.72678 # DEPENDENCYPART_ARC
(9,24),-3.04947 # DEPENDENCYPART_ARC
(9,25),-2.5216 # DEPENDENCYPART_ARC
(9,26),-3.76141 # DEPENDENCYPART_ARC
(9,27),-1.6239 # DEPENDENCYPART_ARC
(9,28),-4.6761 # DEPENDENCYPART_ARC
(9,29),-3.64692 # DEPENDENCYPART_ARC
(9,30),-1.31451 # DEPENDENCYPART_ARC
(9,31),-4.36926 # DEPENDENCYPART_ARC
(9,32),-1.10152 # DEPENDENCYPART_ARC
(10,1),0.051941 # DEPENDENCYPART_ARC
(10,2),1.26962 # DEPENDENCYPART_ARC
(10,3),0.253502 # DEPENDENCYPART_ARC
(10,4),0.118013 # DEPENDENCYPART_ARC
(10,5),0.533254 # DEPENDENCYPART_ARC
(10,6),1.72256 # DEPENDENCYPART_ARC
(10,7),1.79993 # DEPENDENCYPART_ARC
(10,8),0.868931 # DEPENDENCYPART_ARC
(10,9),2.82391 # DEPENDENCYPART_ARC
(10,11),0.241029 # DEPENDENCYPART_ARC
(10,12),2.14413 # DEPENDENCYPART_ARC
(10,13),0.683042 # DEPENDENCYPART_ARC
(10,14),0.818041 # DEPENDENCYPART_ARC
(10,15),-0.528901 # DEPENDENCYPART_ARC
(10,16),-0.297205 # DEPENDENCYPART_ARC
(10,17),-1.33506 # DEPENDENCYPART_ARC
(10,18),-0.565492 # DEPENDENCYPART_ARC
(10,19),-0.47471 # DEPENDENCYPART_ARC
(10,20),-1.15823 # DEPENDENCYPART_ARC
(10,21),-1.01382 # DEPENDENCYPART_ARC
(10,22),-0.472008 # DEPENDENCYPART_ARC
(10,23),-0.731992 # DEPENDENCYPART_ARC
(10,24),-0.947525 # DEPENDENCYPART_ARC
(10,25),-0.841848 # DEPENDENCYPART_ARC
(10,26),-2.06485 # DEPENDENCYPART_ARC
(10,27),-0.50876 # DEPENDENCYPART_ARC
(10,28),-2.0599 # DEPENDENCYPART_ARC
(10,29),-2.46465 # DEPENDENCYPART_ARC
(10,30),-1.13717 # DEPENDENCYPART_ARC
(10,31),-2.49672 # DEPENDENCYPART_ARC
(10,32),-0.745782 # DEPENDENCYPART_ARC
(11,2),-2.38837 # DEPENDENCYPART_ARC
(11,4),-1.65218 # DEPENDENCYPART_ARC
(11,6),-2.038 # DEPENDENCYPART_ARC
(11,9),-1.84078 # DEPENDENCYPART_ARC
(11,10),-0.465896 # DEPENDENCYPART_ARC
(11,19),-2.47369 # DEPENDENCYPART_ARC
(11,26),-2.49953 # DEPENDENCYPART_ARC
(11,27),-1.92664 # DEPENDENCYPART_ARC
(11,28),-2.68063 # DEPENDENCYPART_ARC
(11,29),-2.26917 # DEPENDENCYPART_ARC
(11,30),-1.23824 # DEPENDENCYPART_ARC
(11,31),-2.38041 # DEPENDENCYPART_ARC
(12,1),-1.7777 # DEPENDENCYPART_ARC
(12,2),-2.81271 # DEPENDENCYPART_ARC
(12,3),-1.25963 # DEPENDENCYPART_ARC
(12,4),-1.60159 # DEPENDENCYPART_ARC
(12,5),-1.27003 # DEPENDENCYPART_ARC
(12,6),-1.76852 # DEPENDENCYPART_ARC
(12,7),-1.28519 # DEPENDENCYPART_ARC
(12,8),-1.07051 # DEPENDENCYPART_ARC
(12,9),-1.52098 # DEPENDENCYPART_ARC
(12,10),0.0635827 # DEPENDENCYPART_ARC
(12,11),2.57535 # DEPENDENCYPART_ARC
(12,13),-0.267381 # DEPENDENCYPART_ARC
(12,14),-0.932414 # DEPENDENCYPART_ARC
(12,15),-1.44288 # DEPENDENCYPART_ARC
(12,16),-1.63288 # DEPENDENCYPART_ARC
(12,17),-2.28477 # DEPENDENCYPART_ARC
(12,18),-2.5354 # DEPENDENCYPART_ARC
(12,19),-2.95708 # DEPENDENCYPART_ARC
(12,20),-2.18769 # DEPENDENCYPART_ARC
(12,21),-1.70299 # DEPENDENCYPART_ARC
(12,22),-1.64791 # DEPENDENCYPART_ARC
(12,23),-1.61361 # DEPENDENCYPART_ARC
(12,24),-2.87763 # DEPENDENCYPART_ARC
(12,25),-1.81782 # DEPENDENCYPART_ARC
(12,26),-4.00533 # DEPENDENCYPART_ARC
(12,27),-1.74188 # DEPENDENCYPART_ARC
(12,28),-4.65743 # DEPENDENCYPART_ARC
(12,29),-3.10286 # DEPENDENCYPART_ARC
(12,30),-1.1788 # DEPENDENCYPART_ARC
(12,31),-3.55249 # DEPENDENCYPART_ARC
(12,32),-1.37984 # DEPENDENCYPART_ARC
(13,2),-1.1178 # DEPENDENCYPART_ARC
(13,3),-0.545216 # DEPENDENCYPART_ARC
(13,4),-0.624168 # DEPENDENCYPART_ARC
(13,5),-0.759932 # DEPENDENCYPART_ARC
(13,6),-0.568957 # DEPENDENCYPART_ARC
(13,7),-0.522972 # DEPENDENCYPART_ARC
(13,9),-0.657665 # DEPENDENCYPART_ARC
(13,10),-0.31502 # DEPENDENCYPART_ARC
(13,12),-0.349422 # DEPENDENCYPART_ARC
(13,14),-0.00281832 # DEPENDENCYPART_ARC
(13,15),-0.799806 # DEPENDENCYPART_ARC
(13,16),-0.816055 # DEPENDENCYPART_ARC
(13,18),-1.3276 # DEPENDENCYPART_ARC
(13,19),-1.37133 # DEPENDENCYPART_ARC
(13,21),-1.49532 # DEPENDENCYPART_ARC
(13,22),-0.864511 # DEPENDENCYPART_ARC
(13,23),-1.29045 # DEPENDENCYPART_ARC
(13,24),-2.20421 # DEPENDENCYPART_ARC
(13,25),-1.3264 # DEPENDENCYPART_ARC
(13,26),-1.84397 # DEPENDENCYPART_ARC
(13,27),-1.25047 # DEPENDENCYPART_ARC
(13,28),-1.74227 # DEPENDENCYPART_ARC
(13,29),-1.86308 # DEPENDENCYPART_ARC
(13,30),-0.759391 # DEPENDENCYPART_ARC
(13,31),-1.74006 # DEPENDENCYPART_ARC
(13,32),-1.13593 # DEPENDENCYPART_ARC
(14,1),-1.76477 # DEPENDENCYPART_ARC
(14,2),-0.539896 # DEPENDENCYPART_ARC
(14,3),0.05988 # DEPENDENCYPART_ARC
(14,4),0.0803126 # DEPENDENCYPART_ARC
(14,5),-0.681331 # DEPENDENCYPART_ARC
(14,6),-2.05023 # DEPENDENCYPART_ARC
(14,7),0.812831 # DEPENDENCYPART_ARC
(14,8),-0.547482 # DEPENDENCYPART_ARC
(14,9),0.579432 # DEPENDENCYPART_ARC
(14,10),0.43332 # DEPENDENCYPART_ARC
(14,11),-0.716154 # DEPENDENCYPART_ARC
(14,12),-0.102634 # DEPENDENCYPART_ARC
(14,13),1.01017 # DEPENDENCYPART_ARC
(14,15),2.30498 # DEPENDENCYPART_ARC
(14,16),1.13487 # DEPENDENCYPART_ARC
(14,17),-0.833829 # DEPENDENCYPART_ARC
(14,18),-0.820291 # DEPENDENCYPART_ARC
(14,19),0.703443 # DEPENDENCYPART_ARC
(14,20),-2.32296 # DEPENDENCYPART_ARC
(14,21),-1.9815 # DEPENDENCYPART_ARC
(14,22),0.934864 # DEPENDENCYPART_ARC
(14,23),0.138253 # DEPENDENCYPART_ARC
(14,24),-1.46228 # DEPENDENCYPART_ARC
(14,25),-1.99685 # DEPENDENCYPART_ARC
(14,26),-1.31629 # DEPENDENCYPART_ARC
(14,27),-0.435893 # DEPENDENCYPART_ARC
(14,28),-2.4775 # DEPENDENCYPART_ARC
(14,29),-4.14753 # DEPENDENCYPART_ARC
(14,30),0.523395 # DEPENDENCYPART_ARC
(14,31),-4.74353 # DEPENDENCYPART_ARC
(14,32),0.252903 # DEPENDENCYPART_ARC
(15,1),-0.698195 # DEPENDENCYPART_ARC
(15,4),-0.258641 # DEPENDENCYPART_ARC
(15,8),-0.3084 # DEPENDENCYPART_ARC
(15,10),-0.0568018 # DEPENDENCYPART_ARC
(15,11),-0.397418 # DEPENDENCYPART_ARC
(15,14),-1.71132 # DEPENDENCYPART_ARC
(15,16),2.22074 # DEPENDENCYPART_ARC
(15,17),0.109764 # DEPENDENCYPART_ARC
(15,18),-0.870659 # DEPENDENCYPART_ARC
(15,20),0.0790495 # DEPENDENCYPART_ARC
(15,25),-1.39105 # DEPENDENCYPART_ARC
(15,27),-0.302041 # DEPENDENCYPART_ARC
(15,30),-0.820165 # DEPENDENCYPART_ARC
(16,1),-1.49817 # DEPENDENCYPART_ARC
(16,2),-2.03777 # DEPENDENCYPART_ARC
(16,3),-1.01155 # DEPENDENCYPART_ARC
(16,4),-1.24225 # DEPENDENCYPART_ARC
(16,6),-1.93489 # DEPENDENCYPART_ARC
(16,7),-0.834673 # DEPENDENCYPART_ARC
(16,8),-1.31879 # DEPENDENCYPART_ARC
(16,9),-1.81829 # DEPENDENCYPART_ARC
(16,10),-0.843491 # DEPENDENCYPART_ARC
(16,11),-1.01965 # DEPENDENCYPART_ARC
(16,12),-1.58046 # DEPENDENCYPART_ARC
(16,13),-0.515924 # DEPENDENCYPART_ARC
(16,14),-0.700953 # DEPENDENCYPART_ARC
(16,15),-0.0536472 # DEPENDENCYPART_ARC
(16,17),0.588951 # DEPENDENCYPART_ARC
(16,18),1.54227 # DEPENDENCYPART_ARC
(16,19),2.21179 # DEPENDENCYPART_ARC
(16,20),-0.54687 # DEPENDENCYPART_ARC
(16,21),0.48787 # DEPENDENCYPART_ARC
(16,22),0.302397 # DEPENDENCYPART_ARC
(16,24),0.098428 # DEPENDENCYPART_ARC
(16,25),-0.746599 # DEPENDENCYPART_ARC
(16,26),-1.69908 # DEPENDENCYPART_ARC
(16,27),-0.871073 # DEPENDENCYPART_ARC
(16,28),-2.74705 # DEPENDENCYPART_ARC
(16,29),-3.4619 # DEPENDENCYPART_ARC
(16,30),-0.618047 # DEPENDENCYPART_ARC
(16,31),-3.84318 # DEPENDENCYPART_ARC
(16,32),-0.78012 # DEPENDENCYPART_ARC
(17,2),-3.04868 # DEPENDENCYPART_ARC
(17,4),-2.27842 # DEPENDENCYPART_ARC
(17,6),-2.79354 # DEPENDENCYPART_ARC
(17,9),-2.84398 # DEPENDENCYPART_ARC
(17,10),-1.76785 # DEPENDENCYPART_ARC
(17,19),-0.192842 # DEPENDENCYPART_ARC
(17,26),-2.25315 # DEPENDENCYPART_ARC
(17,27),-1.06746 # DEPENDENCYPART_ARC
(17,28),-2.2289 # DEPENDENCYPART_ARC
(17,29),-1.82208 # DEPENDENCYPART_ARC
(17,30),-0.0482705 # DEPENDENCYPART_ARC
(17,31),-1.8255 # DEPENDENCYPART_ARC
(18,1),-2.23498 # DEPENDENCYPART_ARC
(18,2),-2.80146 # DEPENDENCYPART_ARC
(18,3),-1.40038 # DEPENDENCYPART_ARC
(18,4),-1.21451 # DEPENDENCYPART_ARC
(18,5),-2.1384 # DEPENDENCYPART_ARC
(18,6),-2.99589 # DEPENDENCYPART_ARC
(18,7),-1.46458 # DEPENDENCYPART_ARC
(18,8),-1.96812 # DEPENDENCYPART_ARC
(18,9),-1.95103 # DEPENDENCYPART_ARC
(18,10),-1.29257 # DEPENDENCYPART_ARC
(18,11),-1.83912 # DEPENDENCYPART_ARC
(18,12),-2.46174 # DEPENDENCYPART_ARC
(18,13),-1.01472 # DEPENDENCYPART_ARC
(18,14),-2.83661 # DEPENDENCYPART_ARC
(18,15),-0.00946847 # DEPENDENCYPART_ARC
(18,16),-0.12427 # DEPENDENCYPART_ARC
(18,17),1.0719 # DEPENDENCYPART_ARC
(18,19),0.311838 # DEPENDENCYPART_ARC
(18,20),-0.592793 # DEPENDENCYPART_ARC
(18,21),0.203276 # DEPENDENCYPART_ARC
(18,22),-0.387444 # DEPENDENCYPART_ARC
(18,23),0.169614 # DEPENDENCYPART_ARC
(18,24),-1.00508 # DEPENDENCYPART_ARC
(18,25),-2.93912 # DEPENDENCYPART_ARC
(18,26),-2.06322 # DEPENDENCYPART_ARC
(18,27),-1.29404 # DEPENDENCYPART_ARC
(18,28),-2.50333 # DEPENDENCYPART_ARC
(18,29),-1.87961 # DEPENDENCYPART_ARC
(18,30),-0.618321 # DEPENDENCYPART_ARC
(18,31),-2.22396 # DEPENDENCYPART_ARC
(18,32),-1.06865 # DEPENDENCYPART_ARC
(19,1),-3.20135 # DEPENDENCYPART_ARC
(19,2),-3.52528 # DEPENDENCYPART_ARC
(19,3),-0.95922 # DEPENDENCYPART_ARC
(19,4),-1.08161 # DEPENDENCYPART_ARC
(19,5),-2.25645 # DEPENDENCYPART_ARC
(19,6),-2.68059 # DEPENDENCYPART_ARC
(19,7),-1.11371 # DEPENDENCYPART_ARC
(19,8),-2.78679 # DEPENDENCYPART_ARC
(19,9),-2.69638 # DEPENDENCYPART_ARC
(19,10),-0.583778 # DEPENDENCYPART_ARC
(19,11),-1.20824 # DEPENDENCYPART_ARC
(19,12),-2.13156 # DEPENDENCYPART_ARC
(19,13),-0.789638 # DEPENDENCYPART_ARC
(19,14),-1.96571 # DEPENDENCYPART_ARC
(19,15),-0.501012 # DEPENDENCYPART_ARC
(19,16),0.00159185 # DEPENDENCYPART_ARC
(19,17),3.17954 # DEPENDENCYPART_ARC
(19,18),4.40491 # DEPENDENCYPART_ARC
(19,20),0.00566509 # DEPENDENCYPART_ARC
(19,21),2.7632 # DEPENDENCYPART_ARC
(19,22),0.323432 # DEPENDENCYPART_ARC
(19,23),0.164895 # DEPENDENCYPART_ARC
(19,24),-0.56168 # DEPENDENCYPART_ARC
(19,25),0.834851 # DEPENDENCYPART_ARC
(19,26),-1.68067 # DEPENDENCYPART_ARC
(19,27),-0.164399 # DEPENDENCYPART_ARC
(19,28),-2.87076 # DEPENDENCYPART_ARC
(19,29),-1.3954 # DEPENDENCYPART_ARC
(19,30),-0.0954069 # DEPENDENCYPART_ARC
(19,31),-2.11637 # DEPENDENCYPART_ARC
(19,32),-0.127098 # DEPENDENCYPART_ARC
(20,2),-2.73714 # DEPENDENCYPART_ARC
(20,4),-1.78142 # DEPENDENCYPART_ARC
(20,6),-2.96444 # DEPENDENCYPART_ARC
(20,9),-2.64097 # DEPENDENCYPART_ARC
