# _root_ Για παράδειγμα , η κατάθλιψη αυξάνει την δραστηριότητα των αιμοπεταλίων , των κυττάρων που προάγουν την θρόμβωση .
#goldHeads=6,1,6,5,6,0,8,6,10,11,8,13,11,15,13,17,15,0,
#predictedHeads=6,1,6,5,6,0,8,6,10,8,15,13,8,15,13,17,15,0,
(6,14),-2.02999 # DEPENDENCYPART_ARC
(6,15),-2.41444 # DEPENDENCYPART_ARC
(6,16),-2.12748 # DEPENDENCYPART_ARC
(6,17),-1.36793 # DEPENDENCYPART_ARC
(6,18),0.158291 # DEPENDENCYPART_ARC
(7,1),-1.27419 # DEPENDENCYPART_ARC
(7,2),-1.76708 # DEPENDENCYPART_ARC
(7,3),-1.35596 # DEPENDENCYPART_ARC
(7,4),-0.756319 # DEPENDENCYPART_ARC
(7,5),-1.51589 # DEPENDENCYPART_ARC
(7,6),-1.84315 # DEPENDENCYPART_ARC
(7,8),-0.212367 # DEPENDENCYPART_ARC
(7,9),-0.722814 # DEPENDENCYPART_ARC
(7,10),-0.862305 # DEPENDENCYPART_ARC
(7,11),-0.636345 # DEPENDENCYPART_ARC
(7,12),-1.31066 # DEPENDENCYPART_ARC
(7,13),-1.56029 # DEPENDENCYPART_ARC
(7,14),-2.70944 # DEPENDENCYPART_ARC
(7,15),-2.90733 # DEPENDENCYPART_ARC
(7,16),-1.86411 # DEPENDENCYPART_ARC
(7,17),-2.31033 # DEPENDENCYPART_ARC
(7,18),-1.25496 # DEPENDENCYPART_ARC
(8,1),-1.03228 # DEPENDENCYPART_ARC
(8,2),-1.69503 # DEPENDENCYPART_ARC
(8,3),-0.973908 # DEPENDENCYPART_ARC
(8,4),0.119891 # DEPENDENCYPART_ARC
(8,5),-1.2497 # DEPENDENCYPART_ARC
(8,6),-1.4004 # DEPENDENCYPART_ARC
(8,7),3.52538 # DEPENDENCYPART_ARC
(8,9),0.631289 # DEPENDENCYPART_ARC
(8,10),2.73062 # DEPENDENCYPART_ARC
(8,11),0.41158 # DEPENDENCYPART_ARC
(8,12),-0.230114 # DEPENDENCYPART_ARC
(8,13),0.731808 # DEPENDENCYPART_ARC
(8,14),-2.69651 # DEPENDENCYPART_ARC
(8,15),0.289997 # DEPENDENCYPART_ARC
(8,16),-1.16954 # DEPENDENCYPART_ARC
(8,17),-2.04777 # DEPENDENCYPART_ARC
(8,18),-0.135269 # DEPENDENCYPART_ARC
(9,1),-1.32416 # DEPENDENCYPART_ARC
(9,2),-2.54404 # DEPENDENCYPART_ARC
(9,3),-1.4425 # DEPENDENCYPART_ARC
(9,4),-1.91497 # DEPENDENCYPART_ARC
(9,5),-2.48801 # DEPENDENCYPART_ARC
(9,6),-1.70455 # DEPENDENCYPART_ARC
(9,7),-1.2524 # DEPENDENCYPART_ARC
(9,8),-1.54834 # DEPENDENCYPART_ARC
(9,10),0.277352 # DEPENDENCYPART_ARC
(9,11),-0.514048 # DEPENDENCYPART_ARC
(9,12),-0.943536 # DEPENDENCYPART_ARC
(9,13),-0.828183 # DEPENDENCYPART_ARC
(9,14),-2.32111 # DEPENDENCYPART_ARC
(9,15),-2.31564 # DEPENDENCYPART_ARC
(9,16),-2.08362 # DEPENDENCYPART_ARC
(9,17),-2.21828 # DEPENDENCYPART_ARC
(9,18),-1.19322 # DEPENDENCYPART_ARC
(10,1),-1.06637 # DEPENDENCYPART_ARC
(10,2),-3.78259 # DEPENDENCYPART_ARC
(10,3),-1.30867 # DEPENDENCYPART_ARC
(10,4),-3.24409 # DEPENDENCYPART_ARC
(10,5),-3.35537 # DEPENDENCYPART_ARC
(10,6),-1.90455 # DEPENDENCYPART_ARC
(10,7),-1.56727 # DEPENDENCYPART_ARC
(10,8),-2.20155 # DEPENDENCYPART_ARC
(10,9),3.64556 # DEPENDENCYPART_ARC
(10,11),0.0463889 # DEPENDENCYPART_ARC
(10,12),-0.509192 # DEPENDENCYPART_ARC
(10,13),-0.118014 # DEPENDENCYPART_ARC
(10,14),-2.99629 # DEPENDENCYPART_ARC
(10,15),0.683474 # DEPENDENCYPART_ARC
(10,16),-1.96353 # DEPENDENCYPART_ARC
(10,17),-2.11808 # DEPENDENCYPART_ARC
(10,18),-0.894941 # DEPENDENCYPART_ARC
(11,1),-0.45866 # DEPENDENCYPART_ARC
(11,2),-0.070239 # DEPENDENCYPART_ARC
(11,3),-0.528578 # DEPENDENCYPART_ARC
(11,4),-0.398108 # DEPENDENCYPART_ARC
(11,5),-0.146457 # DEPENDENCYPART_ARC
(11,6),-0.0760932 # DEPENDENCYPART_ARC
(11,7),0.00666711 # DEPENDENCYPART_ARC
(11,8),0.579666 # DEPENDENCYPART_ARC
(11,9),0.262729 # DEPENDENCYPART_ARC
(11,10),0.87977 # DEPENDENCYPART_ARC
(11,12),0.346954 # DEPENDENCYPART_ARC
(11,13),0.797659 # DEPENDENCYPART_ARC
(11,14),-0.554172 # DEPENDENCYPART_ARC
(11,15),0.218589 # DEPENDENCYPART_ARC
(11,16),-0.803683 # DEPENDENCYPART_ARC
(11,17),-0.486546 # DEPENDENCYPART_ARC
(11,18),0.159645 # DEPENDENCYPART_ARC
(12,1),-1.48848 # DEPENDENCYPART_ARC
(12,2),-2.75751 # DEPENDENCYPART_ARC
(12,3),-1.6217 # DEPENDENCYPART_ARC
(12,4),-2.29107 # DEPENDENCYPART_ARC
(12,5),-2.77386 # DEPENDENCYPART_ARC
(12,6),-2.12773 # DEPENDENCYPART_ARC
(12,7),-1.98788 # DEPENDENCYPART_ARC
(12,8),-2.53005 # DEPENDENCYPART_ARC
(12,9),-0.0534007 # DEPENDENCYPART_ARC
(12,10),-0.777273 # DEPENDENCYPART_ARC
(12,11),-0.354533 # DEPENDENCYPART_ARC
(12,13),0.341561 # DEPENDENCYPART_ARC
(12,14),-1.30391 # DEPENDENCYPART_ARC
(12,15),-1.70593 # DEPENDENCYPART_ARC
(12,16),-1.76006 # DEPENDENCYPART_ARC
(12,17),-1.68913 # DEPENDENCYPART_ARC
(12,18),-0.96685 # DEPENDENCYPART_ARC
(13,1),-1.37459 # DEPENDENCYPART_ARC
(13,2),-4.25543 # DEPENDENCYPART_ARC
(13,3),-1.55698 # DEPENDENCYPART_ARC
(13,4),-3.98271 # DEPENDENCYPART_ARC
(13,5),-4.13145 # DEPENDENCYPART_ARC
(13,6),-2.45027 # DEPENDENCYPART_ARC
(13,7),-3.13502 # DEPENDENCYPART_ARC
(13,8),-3.58605 # DEPENDENCYPART_ARC
(13,9),1.2871 # DEPENDENCYPART_ARC
(13,10),-0.157066 # DEPENDENCYPART_ARC
(13,11),0.0664422 # DEPENDENCYPART_ARC
(13,12),3.4651 # DEPENDENCYPART_ARC
(13,14),0.277961 # DEPENDENCYPART_ARC
(13,15),2.15443 # DEPENDENCYPART_ARC
(13,16),-0.58227 # DEPENDENCYPART_ARC
(13,17),0.0262356 # DEPENDENCYPART_ARC
(13,18),0.152805 # DEPENDENCYPART_ARC
(14,1),-1.58427 # DEPENDENCYPART_ARC
(14,2),-3.17356 # DEPENDENCYPART_ARC
(14,3),-1.24115 # DEPENDENCYPART_ARC
(14,4),-1.63176 # DEPENDENCYPART_ARC
(14,5),-2.74172 # DEPENDENCYPART_ARC
(14,6),-3.00945 # DEPENDENCYPART_ARC
(14,7),-1.60037 # DEPENDENCYPART_ARC
(14,8),-2.9081 # DEPENDENCYPART_ARC
(14,9),0.0074191 # DEPENDENCYPART_ARC
(14,10),-1.56286 # DEPENDENCYPART_ARC
(14,11),-0.528559 # DEPENDENCYPART_ARC
(14,12),1.00932 # DEPENDENCYPART_ARC
(14,13),-0.585677 # DEPENDENCYPART_ARC
(14,15),-0.849692 # DEPENDENCYPART_ARC
(14,16),-2.56234 # DEPENDENCYPART_ARC
(14,17),-2.23116 # DEPENDENCYPART_ARC
(14,18),-1.33952 # DEPENDENCYPART_ARC
(15,1),-0.0922857 # DEPENDENCYPART_ARC
(15,2),-3.07633 # DEPENDENCYPART_ARC
(15,3),-0.163505 # DEPENDENCYPART_ARC
(15,4),-2.50048 # DEPENDENCYPART_ARC
(15,5),-0.958634 # DEPENDENCYPART_ARC
(15,6),-2.8892 # DEPENDENCYPART_ARC
(15,7),-1.97387 # DEPENDENCYPART_ARC
(15,8),-1.96016 # DEPENDENCYPART_ARC
(15,9),-1.5541 # DEPENDENCYPART_ARC
(15,10),-2.54583 # DEPENDENCYPART_ARC
(15,11),0.594374 # DEPENDENCYPART_ARC
(15,12),-0.925368 # DEPENDENCYPART_ARC
(15,13),-1.19272 # DEPENDENCYPART_ARC
(15,14),4.08839 # DEPENDENCYPART_ARC
(15,16),-0.692606 # DEPENDENCYPART_ARC
(15,17),2.34687 # DEPENDENCYPART_ARC
(15,18),0.776419 # DEPENDENCYPART_ARC
(16,1),-1.59705 # DEPENDENCYPART_ARC
(16,2),-2.20302 # DEPENDENCYPART_ARC
(16,3),-1.81978 # DEPENDENCYPART_ARC
(16,4),-1.5588 # DEPENDENCYPART_ARC
(16,5),-2.34994 # DEPENDENCYPART_ARC
(16,6),-3.42342 # DEPENDENCYPART_ARC
(16,7),-0.955245 # DEPENDENCYPART_ARC
(16,8),-1.84857 # DEPENDENCYPART_ARC
(16,9),-1.92612 # DEPENDENCYPART_ARC
(16,10),-2.39519 # DEPENDENCYPART_ARC
(16,11),-1.44561 # DEPENDENCYPART_ARC
(16,12),-1.60107 # DEPENDENCYPART_ARC
(16,13),-1.9984 # DEPENDENCYPART_ARC
(16,14),-1.36194 # DEPENDENCYPART_ARC
(16,15),-1.97634 # DEPENDENCYPART_ARC
(16,17),-0.144814 # DEPENDENCYPART_ARC
(16,18),-0.392634 # DEPENDENCYPART_ARC
(17,1),-1.40103 # DEPENDENCYPART_ARC
(17,2),-2.86517 # DEPENDENCYPART_ARC
(17,3),-1.69113 # DEPENDENCYPART_ARC
(17,4),-3.29947 # DEPENDENCYPART_ARC
(17,5),-2.93456 # DEPENDENCYPART_ARC
(17,6),-3.26981 # DEPENDENCYPART_ARC
(17,7),-1.626 # DEPENDENCYPART_ARC
(17,8),-1.94148 # DEPENDENCYPART_ARC
(17,9),-2.80163 # DEPENDENCYPART_ARC
(17,10),-2.98443 # DEPENDENCYPART_ARC
(17,11),-1.22422 # DEPENDENCYPART_ARC
(17,12),-1.70049 # DEPENDENCYPART_ARC
(17,13),-2.02095 # DEPENDENCYPART_ARC
(17,14),-1.47232 # DEPENDENCYPART_ARC
(17,15),-1.83021 # DEPENDENCYPART_ARC
(17,16),3.41342 # DEPENDENCYPART_ARC
(17,18),0.449744 # DEPENDENCYPART_ARC
(18,1),-3.12889 # DEPENDENCYPART_ARC
(18,2),-2.95866 # DEPENDENCYPART_ARC
(18,3),-2.4883 # DEPENDENCYPART_ARC
(18,4),-2.37363 # DEPENDENCYPART_ARC
(18,5),-2.97968 # DEPENDENCYPART_ARC
(18,6),-2.23437 # DEPENDENCYPART_ARC
(18,7),-2.19348 # DEPENDENCYPART_ARC
(18,8),-2.62085 # DEPENDENCYPART_ARC
(18,9),-2.05237 # DEPENDENCYPART_ARC
(18,10),-2.59402 # DEPENDENCYPART_ARC
(18,11),-1.94781 # DEPENDENCYPART_ARC
(18,12),-1.99716 # DEPENDENCYPART_ARC
(18,13),-2.2505 # DEPENDENCYPART_ARC
(18,14),-1.90941 # DEPENDENCYPART_ARC
(18,15),-1.67361 # DEPENDENCYPART_ARC
(18,16),-1.39375 # DEPENDENCYPART_ARC
(18,17),-1.72406 # DEPENDENCYPART_ARC
