# _root_ Ωστόσο , έχουμε παράλληλα επίγνωση του γεγονότος ότι η παρούσα οδηγία είναι μεν σημαντική και ενδιαφέρουσα , αλλά δεν λύνει δυστυχώς ακόμα όλα τα προβλήματα .
#goldHeads=0,3,1,3,3,7,5,7,11,11,12,18,12,15,12,15,18,8,20,18,20,20,25,25,20,0,
#predictedHeads=0,1,1,3,3,7,5,5,11,11,12,8,14,15,18,15,18,12,20,18,20,23,25,25,20,0,
(1,12),0.733795 # DEPENDENCYPART_ARC
(1,13),-0.882419 # DEPENDENCYPART_ARC
(1,14),-1.39645 # DEPENDENCYPART_ARC
(1,15),-0.590004 # DEPENDENCYPART_ARC
(1,16),-1.31623 # DEPENDENCYPART_ARC
(1,17),-0.430459 # DEPENDENCYPART_ARC
(1,18),-0.331718 # DEPENDENCYPART_ARC
(1,19),-1.22145 # DEPENDENCYPART_ARC
(1,20),-0.206379 # DEPENDENCYPART_ARC
(1,21),-1.086 # DEPENDENCYPART_ARC
(1,22),-1.32053 # DEPENDENCYPART_ARC
(1,23),-2.03508 # DEPENDENCYPART_ARC
(1,24),-1.97257 # DEPENDENCYPART_ARC
(1,25),-2.84582 # DEPENDENCYPART_ARC
(1,26),-0.698148 # DEPENDENCYPART_ARC
(2,1),-0.388963 # DEPENDENCYPART_ARC
(2,3),-0.251331 # DEPENDENCYPART_ARC
(2,4),-1.18558 # DEPENDENCYPART_ARC
(2,5),-1.03314 # DEPENDENCYPART_ARC
(2,7),-1.40725 # DEPENDENCYPART_ARC
(2,8),-0.940247 # DEPENDENCYPART_ARC
(2,10),-1.75557 # DEPENDENCYPART_ARC
(2,11),-2.04739 # DEPENDENCYPART_ARC
(2,12),-1.45503 # DEPENDENCYPART_ARC
(2,13),-1.4971 # DEPENDENCYPART_ARC
(2,14),-1.85342 # DEPENDENCYPART_ARC
(2,15),-1.42067 # DEPENDENCYPART_ARC
(2,16),-1.7686 # DEPENDENCYPART_ARC
(2,17),-0.894702 # DEPENDENCYPART_ARC
(2,18),-1.48884 # DEPENDENCYPART_ARC
(2,20),-1.60573 # DEPENDENCYPART_ARC
(2,21),-1.58822 # DEPENDENCYPART_ARC
(2,22),-1.55366 # DEPENDENCYPART_ARC
(2,23),-1.88204 # DEPENDENCYPART_ARC
(2,25),-2.49948 # DEPENDENCYPART_ARC
(2,26),-1.35218 # DEPENDENCYPART_ARC
(3,1),0.817446 # DEPENDENCYPART_ARC
(3,2),1.1677 # DEPENDENCYPART_ARC
(3,4),1.80434 # DEPENDENCYPART_ARC
(3,5),1.98539 # DEPENDENCYPART_ARC
(3,6),-2.83293 # DEPENDENCYPART_ARC
(3,7),-1.27934 # DEPENDENCYPART_ARC
(3,8),0.536289 # DEPENDENCYPART_ARC
(3,9),-3.52178 # DEPENDENCYPART_ARC
(3,10),-2.01479 # DEPENDENCYPART_ARC
(3,11),-1.08281 # DEPENDENCYPART_ARC
(3,12),-4.30245 # DEPENDENCYPART_ARC
(3,13),-0.397697 # DEPENDENCYPART_ARC
(3,14),-2.16662 # DEPENDENCYPART_ARC
(3,15),-0.478264 # DEPENDENCYPART_ARC
(3,16),-2.40883 # DEPENDENCYPART_ARC
(3,17),0.35575 # DEPENDENCYPART_ARC
(3,18),-0.218785 # DEPENDENCYPART_ARC
(3,19),-1.2678 # DEPENDENCYPART_ARC
(3,20),-4.92962 # DEPENDENCYPART_ARC
(3,21),-1.27587 # DEPENDENCYPART_ARC
(3,22),-1.43994 # DEPENDENCYPART_ARC
(3,23),-2.2923 # DEPENDENCYPART_ARC
(3,24),-3.1161 # DEPENDENCYPART_ARC
(3,25),-2.00696 # DEPENDENCYPART_ARC
(3,26),-0.00810542 # DEPENDENCYPART_ARC
(4,1),-0.457761 # DEPENDENCYPART_ARC
(4,2),-0.305147 # DEPENDENCYPART_ARC
(4,3),-0.100257 # DEPENDENCYPART_ARC
(4,5),0.813005 # DEPENDENCYPART_ARC
(4,6),-0.20938 # DEPENDENCYPART_ARC
(4,7),-0.127494 # DEPENDENCYPART_ARC
(4,8),-0.25639 # DEPENDENCYPART_ARC
(4,9),-1.44371 # DEPENDENCYPART_ARC
(4,10),-1.62708 # DEPENDENCYPART_ARC
(4,11),-1.71684 # DEPENDENCYPART_ARC
(4,12),-1.04724 # DEPENDENCYPART_ARC
(4,13),-1.53101 # DEPENDENCYPART_ARC
(4,14),-2.1932 # DEPENDENCYPART_ARC
(4,15),-1.46467 # DEPENDENCYPART_ARC
(4,16),-2.3914 # DEPENDENCYPART_ARC
(4,17),-1.38019 # DEPENDENCYPART_ARC
(4,18),-1.39915 # DEPENDENCYPART_ARC
(4,19),-1.76558 # DEPENDENCYPART_ARC
(4,20),-2.02605 # DEPENDENCYPART_ARC
(4,21),-1.74566 # DEPENDENCYPART_ARC
(4,22),-1.68159 # DEPENDENCYPART_ARC
(4,23),-2.04398 # DEPENDENCYPART_ARC
(4,24),-2.33937 # DEPENDENCYPART_ARC
(4,25),-2.94754 # DEPENDENCYPART_ARC
(4,26),-1.92804 # DEPENDENCYPART_ARC
(5,1),-0.376626 # DEPENDENCYPART_ARC
(5,2),-0.307849 # DEPENDENCYPART_ARC
(5,3),-1.7265 # DEPENDENCYPART_ARC
(5,4),1.18052 # DEPENDENCYPART_ARC
(5,6),0.29486 # DEPENDENCYPART_ARC
(5,7),2.72208 # DEPENDENCYPART_ARC
(5,8),0.899515 # DEPENDENCYPART_ARC
(5,9),-0.77661 # DEPENDENCYPART_ARC
(5,10),-0.118819 # DEPENDENCYPART_ARC
(5,11),-1.10464 # DEPENDENCYPART_ARC
(5,12),-1.5522 # DEPENDENCYPART_ARC
(5,13),-0.625467 # DEPENDENCYPART_ARC
(5,14),-1.00483 # DEPENDENCYPART_ARC
(5,15),-0.328696 # DEPENDENCYPART_ARC
(5,16),-1.0666 # DEPENDENCYPART_ARC
(5,17),-0.462464 # DEPENDENCYPART_ARC
(5,18),-0.861178 # DEPENDENCYPART_ARC
(5,19),-1.28723 # DEPENDENCYPART_ARC
(5,20),-2.79612 # DEPENDENCYPART_ARC
(5,21),-1.46411 # DEPENDENCYPART_ARC
(5,22),-1.37751 # DEPENDENCYPART_ARC
(5,23),-1.75791 # DEPENDENCYPART_ARC
(5,24),-1.91399 # DEPENDENCYPART_ARC
(5,25),-3.40006 # DEPENDENCYPART_ARC
(5,26),-0.514786 # DEPENDENCYPART_ARC
(6,1),-1.0541 # DEPENDENCYPART_ARC
(6,4),-0.623863 # DEPENDENCYPART_ARC
(6,5),-1.3926 # DEPENDENCYPART_ARC
(6,7),0.731691 # DEPENDENCYPART_ARC
(6,11),-1.16362 # DEPENDENCYPART_ARC
(6,13),-1.21922 # DEPENDENCYPART_ARC
(6,15),-0.864451 # DEPENDENCYPART_ARC
(6,18),-0.976307 # DEPENDENCYPART_ARC
(6,21),-1.38873 # DEPENDENCYPART_ARC
(6,22),-1.58751 # DEPENDENCYPART_ARC
(6,25),-2.22874 # DEPENDENCYPART_ARC
(7,1),-0.88945 # DEPENDENCYPART_ARC
(7,2),-0.724322 # DEPENDENCYPART_ARC
(7,3),-1.85287 # DEPENDENCYPART_ARC
(7,4),-0.186431 # DEPENDENCYPART_ARC
(7,5),-1.65133 # DEPENDENCYPART_ARC
(7,6),3.28086 # DEPENDENCYPART_ARC
(7,8),0.733419 # DEPENDENCYPART_ARC
(7,9),-0.641522 # DEPENDENCYPART_ARC
(7,10),-0.412913 # DEPENDENCYPART_ARC
(7,11),-0.401805 # DEPENDENCYPART_ARC
(7,12),-1.98733 # DEPENDENCYPART_ARC
(7,13),-1.31463 # DEPENDENCYPART_ARC
(7,14),-1.55629 # DEPENDENCYPART_ARC
(7,15),-0.998631 # DEPENDENCYPART_ARC
(7,16),-1.61379 # DEPENDENCYPART_ARC
(7,17),-0.954549 # DEPENDENCYPART_ARC
(7,18),-1.44851 # DEPENDENCYPART_ARC
(7,19),-1.9683 # DEPENDENCYPART_ARC
(7,20),-3.7393 # DEPENDENCYPART_ARC
(7,21),-2.06179 # DEPENDENCYPART_ARC
(7,22),-2.05941 # DEPENDENCYPART_ARC
(7,23),-2.15315 # DEPENDENCYPART_ARC
(7,24),-2.17187 # DEPENDENCYPART_ARC
(7,25),-3.58312 # DEPENDENCYPART_ARC
(7,26),-1.16458 # DEPENDENCYPART_ARC
(8,1),-1.21782 # DEPENDENCYPART_ARC
(8,2),-0.955682 # DEPENDENCYPART_ARC
(8,3),-1.17156 # DEPENDENCYPART_ARC
(8,4),-1.22801 # DEPENDENCYPART_ARC
(8,6),-0.554028 # DEPENDENCYPART_ARC
(8,9),0.0612214 # DEPENDENCYPART_ARC
(8,10),0.779698 # DEPENDENCYPART_ARC
(8,12),2.70036 # DEPENDENCYPART_ARC
(8,13),-0.291686 # DEPENDENCYPART_ARC
(8,14),-0.861394 # DEPENDENCYPART_ARC
(8,15),0.147312 # DEPENDENCYPART_ARC
(8,16),-1.08686 # DEPENDENCYPART_ARC
(8,17),-0.149763 # DEPENDENCYPART_ARC
(8,18),0.364196 # DEPENDENCYPART_ARC
(8,19),-0.96327 # DEPENDENCYPART_ARC
(8,20),0.374916 # DEPENDENCYPART_ARC
(8,21),-0.459921 # DEPENDENCYPART_ARC
(8,22),-0.532277 # DEPENDENCYPART_ARC
(8,23),-1.40098 # DEPENDENCYPART_ARC
(8,24),-1.45949 # DEPENDENCYPART_ARC
(8,26),-0.444774 # DEPENDENCYPART_ARC
(9,1),-1.62881 # DEPENDENCYPART_ARC
(9,4),-1.73064 # DEPENDENCYPART_ARC
(9,5),-2.15685 # DEPENDENCYPART_ARC
(9,7),-1.94596 # DEPENDENCYPART_ARC
(9,11),-0.622143 # DEPENDENCYPART_ARC
(9,13),-0.960901 # DEPENDENCYPART_ARC
(9,15),-0.536625 # DEPENDENCYPART_ARC
(9,18),-0.716591 # DEPENDENCYPART_ARC
(9,21),-1.28771 # DEPENDENCYPART_ARC
(9,22),-1.32327 # DEPENDENCYPART_ARC
(9,25),-2.56817 # DEPENDENCYPART_ARC
(10,1),-1.27521 # DEPENDENCYPART_ARC
(10,2),-1.46853 # DEPENDENCYPART_ARC
(10,3),-3.64442 # DEPENDENCYPART_ARC
(10,4),-1.14815 # DEPENDENCYPART_ARC
(10,5),-2.47957 # DEPENDENCYPART_ARC
(10,6),-0.517736 # DEPENDENCYPART_ARC
(10,7),-1.46403 # DEPENDENCYPART_ARC
(10,8),-0.476547 # DEPENDENCYPART_ARC
(10,9),1.37179 # DEPENDENCYPART_ARC
(10,11),0.131652 # DEPENDENCYPART_ARC
(10,12),-1.08948 # DEPENDENCYPART_ARC
(10,13),-0.794104 # DEPENDENCYPART_ARC
(10,14),-1.76347 # DEPENDENCYPART_ARC
(10,15),-0.839396 # DEPENDENCYPART_ARC
(10,16),-2.02803 # DEPENDENCYPART_ARC
(10,17),-0.83283 # DEPENDENCYPART_ARC
(10,18),-0.865095 # DEPENDENCYPART_ARC
(10,19),-1.34444 # DEPENDENCYPART_ARC
(10,20),-2.36989 # DEPENDENCYPART_ARC
(10,21),-1.29068 # DEPENDENCYPART_ARC
(10,22),-1.24426 # DEPENDENCYPART_ARC
(10,23),-2.5632 # DEPENDENCYPART_ARC
(10,24),-2.25145 # DEPENDENCYPART_ARC
(10,25),-3.07305 # DEPENDENCYPART_ARC
(10,26),-1.22182 # DEPENDENCYPART_ARC
(11,1),-1.04745 # DEPENDENCYPART_ARC
(11,2),-0.771789 # DEPENDENCYPART_ARC
(11,3),-3.39217 # DEPENDENCYPART_ARC
(11,4),-0.532709 # DEPENDENCYPART_ARC
(11,5),-1.45297 # DEPENDENCYPART_ARC
(11,6),-0.682557 # DEPENDENCYPART_ARC
(11,7),-0.864063 # DEPENDENCYPART_ARC
(11,8),-0.433251 # DEPENDENCYPART_ARC
(11,9),3.45611 # DEPENDENCYPART_ARC
(11,10),3.6739 # DEPENDENCYPART_ARC
(11,12),-0.658617 # DEPENDENCYPART_ARC
(11,13),-0.470125 # DEPENDENCYPART_ARC
(11,14),-1.17572 # DEPENDENCYPART_ARC
(11,15),-0.653045 # DEPENDENCYPART_ARC
(11,16),-1.50083 # DEPENDENCYPART_ARC
(11,17),-0.839967 # DEPENDENCYPART_ARC
(11,18),-1.0081 # DEPENDENCYPART_ARC
(11,19),-1.80296 # DEPENDENCYPART_ARC
(11,20),-3.05942 # DEPENDENCYPART_ARC
(11,21),-1.61286 # DEPENDENCYPART_ARC
(11,22),-1.89248 # DEPENDENCYPART_ARC
(11,23),-2.99555 # DEPENDENCYPART_ARC
(11,24),-2.63709 # DEPENDENCYPART_ARC
(11,25),-2.88215 # DEPENDENCYPART_ARC
(11,26),-1.00057 # DEPENDENCYPART_ARC
(12,1),-0.0289903 # DEPENDENCYPART_ARC
(12,2),-0.141829 # DEPENDENCYPART_ARC
(12,3),-1.74456 # DEPENDENCYPART_ARC
(12,4),-0.242235 # DEPENDENCYPART_ARC
(12,5),-0.463046 # DEPENDENCYPART_ARC
(12,6),-1.33892 # DEPENDENCYPART_ARC
(12,7),-1.57215 # DEPENDENCYPART_ARC
(12,8),-0.0379493 # DEPENDENCYPART_ARC
(12,9),-0.92568 # DEPENDENCYPART_ARC
(12,10),0.612737 # DEPENDENCYPART_ARC
(12,11),2.31767 # DEPENDENCYPART_ARC
(12,13),1.3083 # DEPENDENCYPART_ARC
(12,14),2.19258 # DEPENDENCYPART_ARC
(12,15),0.388666 # DEPENDENCYPART_ARC
(12,16),1.00556 # DEPENDENCYPART_ARC
(12,17),0.488202 # DEPENDENCYPART_ARC
(12,18),0.572392 # DEPENDENCYPART_ARC
(12,19),-0.746156 # DEPENDENCYPART_ARC
(12,20),-2.18283 # DEPENDENCYPART_ARC
(12,21),-0.958415 # DEPENDENCYPART_ARC
(12,22),-1.09126 # DEPENDENCYPART_ARC
(12,23),-1.7591 # DEPENDENCYPART_ARC
(12,24),-2.83481 # DEPENDENCYPART_ARC
(12,25),-1.60343 # DEPENDENCYPART_ARC
(12,26),-0.381377 # DEPENDENCYPART_ARC
(13,1),-1.10446 # DEPENDENCYPART_ARC
(13,2),-1.0929 # DEPENDENCYPART_ARC
(13,3),-1.61569 # DEPENDENCYPART_ARC
(13,4),-0.763361 # DEPENDENCYPART_ARC
(13,5),-1.60506 # DEPENDENCYPART_ARC
(13,6),-0.95689 # DEPENDENCYPART_ARC
(13,7),-1.32169 # DEPENDENCYPART_ARC
(13,8),-1.02931 # DEPENDENCYPART_ARC
(13,9),-1.03161 # DEPENDENCYPART_ARC
(13,10),-1.09337 # DEPENDENCYPART_ARC
(13,11),-0.993819 # DEPENDENCYPART_ARC
(13,12),-0.204565 # DEPENDENCYPART_ARC
(13,14),0.100594 # DEPENDENCYPART_ARC
(13,15),0.165706 # DEPENDENCYPART_ARC
(13,16),-0.857854 # DEPENDENCYPART_ARC
(13,17),-0.177699 # DEPENDENCYPART_ARC
(13,18),-0.329875 # DEPENDENCYPART_ARC
(13,19),-0.90995 # DEPENDENCYPART_ARC
(13,20),-1.06859 # DEPENDENCYPART_ARC
(13,21),-1.22893 # DEPENDENCYPART_ARC
(13,22),-1.23889 # DEPENDENCYPART_ARC
(13,23),-1.35669 # DEPENDENCYPART_ARC
(13,24),-1.84757 # DEPENDENCYPART_ARC
(13,25),-1.91356 # DEPENDENCYPART_ARC
(13,26),-1.15235 # DEPENDENCYPART_ARC
(14,1),-1.0214 # DEPENDENCYPART_ARC
(14,2),-1.05452 # DEPENDENCYPART_ARC
(14,3),-3.38458 # DEPENDENCYPART_ARC
(14,4),-0.921629 # DEPENDENCYPART_ARC
(14,5),-2.43251 # DEPENDENCYPART_ARC
(14,6),-0.76235 # DEPENDENCYPART_ARC
(14,7),-1.79723 # DEPENDENCYPART_ARC
(14,8),-0.744423 # DEPENDENCYPART_ARC
(14,9),0.0390786 # DEPENDENCYPART_ARC
(14,10),-0.591956 # DEPENDENCYPART_ARC
(14,11),-1.32643 # DEPENDENCYPART_ARC
(14,12),-2.44409 # DEPENDENCYPART_ARC
(14,13),1.57399 # DEPENDENCYPART_ARC
(14,15),0.676178 # DEPENDENCYPART_ARC
(14,16),-0.389747 # DEPENDENCYPART_ARC
(14,17),0.104937 # DEPENDENCYPART_ARC
(14,18),-0.0992003 # DEPENDENCYPART_ARC
(14,19),-0.49443 # DEPENDENCYPART_ARC
(14,20),-1.39753 # DEPENDENCYPART_ARC
(14,21),-0.834584 # DEPENDENCYPART_ARC
(14,22),-0.83266 # DEPENDENCYPART_ARC
(14,23),-2.10508 # DEPENDENCYPART_ARC
(14,24),-1.90464 # DEPENDENCYPART_ARC
(14,25),-2.46089 # DEPENDENCYPART_ARC
(14,26),-0.646142 # DEPENDENCYPART_ARC
(15,1),-0.713874 # DEPENDENCYPART_ARC
(15,2),-0.825981 # DEPENDENCYPART_ARC
(15,3),0.00386548 # DEPENDENCYPART_ARC
(15,4),-0.0900917 # DEPENDENCYPART_ARC
(15,5),-0.192679 # DEPENDENCYPART_ARC
(15,6),-0.393785 # DEPENDENCYPART_ARC
(15,7),0.244777 # DEPENDENCYPART_ARC
(15,8),0.160145 # DEPENDENCYPART_ARC
(15,9),-0.137093 # DEPENDENCYPART_ARC
(15,10),0.494878 # DEPENDENCYPART_ARC
(15,11),0.464683 # DEPENDENCYPART_ARC
(15,12),1.01974 # DEPENDENCYPART_ARC
(15,13),0.608741 # DEPENDENCYPART_ARC
(15,14),2.65033 # DEPENDENCYPART_ARC
(15,16),2.74331 # DEPENDENCYPART_ARC
(15,17),0.389843 # DEPENDENCYPART_ARC
(15,18),0.399745 # DEPENDENCYPART_ARC
(15,19),-0.351509 # DEPENDENCYPART_ARC
(15,20),0.735822 # DEPENDENCYPART_ARC
(15,21),-0.228062 # DEPENDENCYPART_ARC
(15,22),-0.430577 # DEPENDENCYPART_ARC
(15,23),-0.369377 # DEPENDENCYPART_ARC
(15,24),-1.32359 # DEPENDENCYPART_ARC
(15,25),-1.23481 # DEPENDENCYPART_ARC
(15,26),-0.0277935 # DEPENDENCYPART_ARC
(16,1),-0.929047 # DEPENDENCYPART_ARC
(16,2),-1.00648 # DEPENDENCYPART_ARC
(16,3),-3.44519 # DEPENDENCYPART_ARC
(16,4),-0.960246 # DEPENDENCYPART_ARC
(16,5),-2.64241 # DEPENDENCYPART_ARC
(16,6),-0.702891 # DEPENDENCYPART_ARC
(16,7),-1.80358 # DEPENDENCYPART_ARC
(16,8),-0.833502 # DEPENDENCYPART_ARC
(16,9),-0.132738 # DEPENDENCYPART_ARC
(16,10),-0.979172 # DEPENDENCYPART_ARC
(16,11),-1.63984 # DEPENDENCYPART_ARC
(16,12),-3.13146 # DEPENDENCYPART_ARC
(16,13),0.388357 # DEPENDENCYPART_ARC
(16,14),0.610141 # DEPENDENCYPART_ARC
(16,15),0.835677 # DEPENDENCYPART_ARC
(16,17),0.146742 # DEPENDENCYPART_ARC
(16,18),-0.0859234 # DEPENDENCYPART_ARC
(16,19),-0.448121 # DEPENDENCYPART_ARC
(16,20),-1.21202 # DEPENDENCYPART_ARC
(16,21),-1.1161 # DEPENDENCYPART_ARC
(16,22),-1.0039 # DEPENDENCYPART_ARC
(16,23),-2.32503 # DEPENDENCYPART_ARC
(16,24),-2.22435 # DEPENDENCYPART_ARC
(16,25),-2.91909 # DEPENDENCYPART_ARC
(16,26),-0.825702 # DEPENDENCYPART_ARC
(17,1),-0.435892 # DEPENDENCYPART_ARC
(17,2),-1.12531 # DEPENDENCYPART_ARC
(17,3),-0.433279 # DEPENDENCYPART_ARC
(17,4),-0.711823 # DEPENDENCYPART_ARC
(17,5),-0.895352 # DEPENDENCYPART_ARC
(17,7),-0.818527 # DEPENDENCYPART_ARC
(17,8),-0.202934 # DEPENDENCYPART_ARC
(17,10),-0.919221 # DEPENDENCYPART_ARC
(17,11),-0.684564 # DEPENDENCYPART_ARC
(17,12),-0.16069 # DEPENDENCYPART_ARC
(17,13),-0.261651 # DEPENDENCYPART_ARC
(17,14),-0.356258 # DEPENDENCYPART_ARC
(17,15),-0.013355 # DEPENDENCYPART_ARC
(17,16),0.257524 # DEPENDENCYPART_ARC
(17,18),0.182892 # DEPENDENCYPART_ARC
(17,20),-0.246522 # DEPENDENCYPART_ARC
(17,21),-0.966476 # DEPENDENCYPART_ARC
(17,22),-1.03479 # DEPENDENCYPART_ARC
(17,23),-1.0419 # DEPENDENCYPART_ARC
(17,25),-1.32182 # DEPENDENCYPART_ARC
(17,26),-0.504139 # DEPENDENCYPART_ARC
(18,1),-0.067678 # DEPENDENCYPART_ARC
(18,2),-0.166457 # DEPENDENCYPART_ARC
(18,3),1.37241 # DEPENDENCYPART_ARC
(18,4),0.157619 # DEPENDENCYPART_ARC
(18,5),0.0387265 # DEPENDENCYPART_ARC
(18,6),-0.572993 # DEPENDENCYPART_ARC
(18,7),-0.00210299 # DEPENDENCYPART_ARC
(18,8),0.451414 # DEPENDENCYPART_ARC
(18,9),-0.232009 # DEPENDENCYPART_ARC
(18,10),-0.287852 # DEPENDENCYPART_ARC
(18,11),0.344956 # DEPENDENCYPART_ARC
(18,12),2.43123 # DEPENDENCYPART_ARC
(18,13),0.377714 # DEPENDENCYPART_ARC
(18,14),0.33452 # DEPENDENCYPART_ARC
(18,15),0.595154 # DEPENDENCYPART_ARC
(18,16),0.947616 # DEPENDENCYPART_ARC
(18,17),1.84605 # DEPENDENCYPART_ARC
(18,19),0.458237 # DEPENDENCYPART_ARC
(18,20),2.17152 # DEPENDENCYPART_ARC
(18,21),0.0189511 # DEPENDENCYPART_ARC
(18,22),-0.338367 # DEPENDENCYPART_ARC
(18,23),-0.449022 # DEPENDENCYPART_ARC
(18,24),-1.0202 # DEPENDENCYPART_ARC
(18,25),-0.787645 # DEPENDENCYPART_ARC
(18,26),0.441987 # DEPENDENCYPART_ARC
(19,2),-1.3231 # DEPENDENCYPART_ARC
(19,5),-1.66536 # DEPENDENCYPART_ARC
(19,6),-1.38542 # DEPENDENCYPART_ARC
(19,7),-1.65165 # DEPENDENCYPART_ARC
(19,9),-1.20219 # DEPENDENCYPART_ARC
(19,11),-1.5156 # DEPENDENCYPART_ARC
(19,17),-0.222513 # DEPENDENCYPART_ARC
(19,24),-1.17008 # DEPENDENCYPART_ARC
(19,25),-1.34411 # DEPENDENCYPART_ARC
(19,26),-0.512287 # DEPENDENCYPART_ARC
(20,1),-0.456218 # DEPENDENCYPART_ARC
(20,2),-0.86261 # DEPENDENCYPART_ARC
(20,3),-2.78977 # DEPENDENCYPART_ARC
(20,4),-0.913649 # DEPENDENCYPART_ARC
(20,5),-1.86132 # DEPENDENCYPART_ARC
(20,6),-1.70499 # DEPENDENCYPART_ARC
(20,7),-2.91771 # DEPENDENCYPART_ARC
(20,8),-0.490685 # DEPENDENCYPART_ARC
(20,9),-1.98829 # DEPENDENCYPART_ARC
(20,10),-1.6228 # DEPENDENCYPART_ARC
(20,11),0.30544 # DEPENDENCYPART_ARC
(20,12),-3.222 # DEPENDENCYPART_ARC
(20,13),-0.471162 # DEPENDENCYPART_ARC
(20,14),-0.992782 # DEPENDENCYPART_ARC
(20,15),-0.173947 # DEPENDENCYPART_ARC
(20,16),-0.550902 # DEPENDENCYPART_ARC
(20,17),0.386021 # DEPENDENCYPART_ARC
(20,18),0.550127 # DEPENDENCYPART_ARC
(20,19),2.57416 # DEPENDENCYPART_ARC
(20,21),1.67935 # DEPENDENCYPART_ARC
(20,22),1.23506 # DEPENDENCYPART_ARC
(20,23),0.11419 # DEPENDENCYPART_ARC
(20,24),-1.32876 # DEPENDENCYPART_ARC
(20,25),1.06159 # DEPENDENCYPART_ARC
(20,26),0.3019 # DEPENDENCYPART_ARC
(21,1),-0.921806 # DEPENDENCYPART_ARC
(21,2),-0.509519 # DEPENDENCYPART_ARC
(21,3),-1.14825 # DEPENDENCYPART_ARC
(21,4),-0.482221 # DEPENDENCYPART_ARC
(21,5),-1.40439 # DEPENDENCYPART_ARC
(21,6),-0.891313 # DEPENDENCYPART_ARC
(21,7),-1.24053 # DEPENDENCYPART_ARC
(21,8),-0.905999 # DEPENDENCYPART_ARC
(21,9),-1.20831 # DEPENDENCYPART_ARC
(21,10),-1.40424 # DEPENDENCYPART_ARC
(21,11),-1.26571 # DEPENDENCYPART_ARC
(21,12),-0.909192 # DEPENDENCYPART_ARC
(21,13),-0.242078 # DEPENDENCYPART_ARC
(21,14),-1.12878 # DEPENDENCYPART_ARC
(21,15),-0.432968 # DEPENDENCYPART_ARC
(21,16),-1.01926 # DEPENDENCYPART_ARC
(21,17),-0.147427 # DEPENDENCYPART_ARC
(21,18),-0.35283 # DEPENDENCYPART_ARC
(21,19),0.187003 # DEPENDENCYPART_ARC
(21,20),0.108603 # DEPENDENCYPART_ARC
(21,22),0.409143 # DEPENDENCYPART_ARC
(21,23),0.199525 # DEPENDENCYPART_ARC
(21,24),-0.699269 # DEPENDENCYPART_ARC
(21,25),-0.677883 # DEPENDENCYPART_ARC
(21,26),-0.495175 # DEPENDENCYPART_ARC
(22,1),-1.11918 # DEPENDENCYPART_ARC
(22,2),-0.534769 # DEPENDENCYPART_ARC
(22,3),-0.99456 # DEPENDENCYPART_ARC
(22,4),-0.365424 # DEPENDENCYPART_ARC
(22,5),-1.35809 # DEPENDENCYPART_ARC
(22,6),-0.837838 # DEPENDENCYPART_ARC
(22,7),-1.12848 # DEPENDENCYPART_ARC
(22,8),-0.860076 # DEPENDENCYPART_ARC
(22,9),-1.24131 # DEPENDENCYPART_ARC
(22,10),-1.39257 # DEPENDENCYPART_ARC
(22,11),-1.20934 # DEPENDENCYPART_ARC
(22,12),-0.942815 # DEPENDENCYPART_ARC
