# _root_ Σε ποσοστό 76,73% οι Ισπανοί είπαν ηχηρό " ναι " υπέρ του Ευρωπαϊκού Συντάγματος , στο δημοψήφισμα που διενεργήθηκε την Κυριακή .
#goldHeads=6,1,2,5,6,0,9,9,6,9,9,14,14,11,6,6,16,19,17,21,19,0,
#predictedHeads=6,1,2,5,6,0,6,9,6,9,6,14,14,11,11,6,16,19,17,21,19,0,
(6,7),1.41782 # DEPENDENCYPART_ARC
(6,8),0.615847 # DEPENDENCYPART_ARC
(6,9),0.955147 # DEPENDENCYPART_ARC
(6,10),0.3699 # DEPENDENCYPART_ARC
(6,11),0.840428 # DEPENDENCYPART_ARC
(6,12),-3.15721 # DEPENDENCYPART_ARC
(6,13),-3.46577 # DEPENDENCYPART_ARC
(6,14),-1.93768 # DEPENDENCYPART_ARC
(6,15),0.119135 # DEPENDENCYPART_ARC
(6,16),0.73143 # DEPENDENCYPART_ARC
(6,17),-1.48879 # DEPENDENCYPART_ARC
(6,18),-2.35702 # DEPENDENCYPART_ARC
(6,19),-3.56061 # DEPENDENCYPART_ARC
(6,20),-2.6934 # DEPENDENCYPART_ARC
(6,21),-0.55442 # DEPENDENCYPART_ARC
(6,22),-0.713417 # DEPENDENCYPART_ARC
(7,1),-0.387802 # DEPENDENCYPART_ARC
(7,2),-0.788515 # DEPENDENCYPART_ARC
(7,3),-0.0623674 # DEPENDENCYPART_ARC
(7,4),0.892756 # DEPENDENCYPART_ARC
(7,5),-0.10083 # DEPENDENCYPART_ARC
(7,6),-1.15963 # DEPENDENCYPART_ARC
(7,8),0.693494 # DEPENDENCYPART_ARC
(7,9),0.474413 # DEPENDENCYPART_ARC
(7,10),0.440289 # DEPENDENCYPART_ARC
(7,11),0.20263 # DEPENDENCYPART_ARC
(7,12),-1.06224 # DEPENDENCYPART_ARC
(7,13),-0.789608 # DEPENDENCYPART_ARC
(7,14),-0.0660982 # DEPENDENCYPART_ARC
(7,15),-0.0696292 # DEPENDENCYPART_ARC
(7,16),-0.578983 # DEPENDENCYPART_ARC
(7,17),-1.63271 # DEPENDENCYPART_ARC
(7,18),-1.84722 # DEPENDENCYPART_ARC
(7,19),-1.49129 # DEPENDENCYPART_ARC
(7,20),-1.95869 # DEPENDENCYPART_ARC
(7,22),-0.590359 # DEPENDENCYPART_ARC
(8,1),-0.964351 # DEPENDENCYPART_ARC
(8,2),-0.855626 # DEPENDENCYPART_ARC
(8,3),-0.883102 # DEPENDENCYPART_ARC
(8,5),-0.695915 # DEPENDENCYPART_ARC
(8,6),-0.482262 # DEPENDENCYPART_ARC
(8,7),-0.0317585 # DEPENDENCYPART_ARC
(8,9),-0.238504 # DEPENDENCYPART_ARC
(8,10),-0.358929 # DEPENDENCYPART_ARC
(8,11),-0.46908 # DEPENDENCYPART_ARC
(8,13),-0.606918 # DEPENDENCYPART_ARC
(8,14),-1.1016 # DEPENDENCYPART_ARC
(8,15),-0.525865 # DEPENDENCYPART_ARC
(8,16),-0.846294 # DEPENDENCYPART_ARC
(8,17),-1.27195 # DEPENDENCYPART_ARC
(8,18),-1.65318 # DEPENDENCYPART_ARC
(8,19),-0.732328 # DEPENDENCYPART_ARC
(8,22),-1.13766 # DEPENDENCYPART_ARC
(9,1),0.0244025 # DEPENDENCYPART_ARC
(9,2),-0.106033 # DEPENDENCYPART_ARC
(9,3),-0.115695 # DEPENDENCYPART_ARC
(9,4),0.434262 # DEPENDENCYPART_ARC
(9,5),0.0182163 # DEPENDENCYPART_ARC
(9,6),0.0700123 # DEPENDENCYPART_ARC
(9,7),0.958884 # DEPENDENCYPART_ARC
(9,8),1.90038 # DEPENDENCYPART_ARC
(9,10),1.51526 # DEPENDENCYPART_ARC
(9,11),0.418023 # DEPENDENCYPART_ARC
(9,12),0.242358 # DEPENDENCYPART_ARC
(9,13),0.39777 # DEPENDENCYPART_ARC
(9,14),0.630998 # DEPENDENCYPART_ARC
(9,15),0.62109 # DEPENDENCYPART_ARC
(9,16),-0.321496 # DEPENDENCYPART_ARC
(9,17),-0.629564 # DEPENDENCYPART_ARC
(9,18),-1.0777 # DEPENDENCYPART_ARC
(9,19),-0.233237 # DEPENDENCYPART_ARC
(9,20),-1.50984 # DEPENDENCYPART_ARC
(9,21),-0.813093 # DEPENDENCYPART_ARC
(9,22),-0.298508 # DEPENDENCYPART_ARC
(10,1),-0.971242 # DEPENDENCYPART_ARC
(10,2),-1.20903 # DEPENDENCYPART_ARC
(10,3),-0.979474 # DEPENDENCYPART_ARC
(10,5),-1.24455 # DEPENDENCYPART_ARC
(10,6),-0.902816 # DEPENDENCYPART_ARC
(10,7),-0.813632 # DEPENDENCYPART_ARC
(10,8),-0.503124 # DEPENDENCYPART_ARC
(10,9),-0.293517 # DEPENDENCYPART_ARC
(10,11),-0.788998 # DEPENDENCYPART_ARC
(10,13),-0.855405 # DEPENDENCYPART_ARC
(10,14),-1.10673 # DEPENDENCYPART_ARC
(10,15),-0.957771 # DEPENDENCYPART_ARC
(10,16),-1.34464 # DEPENDENCYPART_ARC
(10,17),-1.71011 # DEPENDENCYPART_ARC
(10,18),-2.08484 # DEPENDENCYPART_ARC
(10,19),-1.09262 # DEPENDENCYPART_ARC
(10,22),-1.50668 # DEPENDENCYPART_ARC
(11,1),-0.893466 # DEPENDENCYPART_ARC
(11,2),-1.5368 # DEPENDENCYPART_ARC
(11,3),-0.984068 # DEPENDENCYPART_ARC
(11,4),-1.01287 # DEPENDENCYPART_ARC
(11,5),-1.51027 # DEPENDENCYPART_ARC
(11,6),-1.00123 # DEPENDENCYPART_ARC
(11,7),-0.966832 # DEPENDENCYPART_ARC
(11,8),0.059548 # DEPENDENCYPART_ARC
(11,9),0.0551891 # DEPENDENCYPART_ARC
(11,10),0.554554 # DEPENDENCYPART_ARC
(11,12),0.815668 # DEPENDENCYPART_ARC
(11,13),1.6099 # DEPENDENCYPART_ARC
(11,14),2.21438 # DEPENDENCYPART_ARC
(11,15),0.937928 # DEPENDENCYPART_ARC
(11,17),0.689263 # DEPENDENCYPART_ARC
(11,18),-0.160821 # DEPENDENCYPART_ARC
(11,19),-0.306354 # DEPENDENCYPART_ARC
(11,20),-1.09052 # DEPENDENCYPART_ARC
(11,21),0.041245 # DEPENDENCYPART_ARC
(11,22),-0.121158 # DEPENDENCYPART_ARC
(12,2),-2.82359 # DEPENDENCYPART_ARC
(12,9),-1.35806 # DEPENDENCYPART_ARC
(12,14),0.503163 # DEPENDENCYPART_ARC
(12,17),-0.65282 # DEPENDENCYPART_ARC
(13,1),-1.49772 # DEPENDENCYPART_ARC
(13,2),-2.24265 # DEPENDENCYPART_ARC
(13,3),-1.25427 # DEPENDENCYPART_ARC
(13,4),-0.926754 # DEPENDENCYPART_ARC
(13,5),-2.09136 # DEPENDENCYPART_ARC
(13,6),-3.07881 # DEPENDENCYPART_ARC
(13,7),-2.77611 # DEPENDENCYPART_ARC
(13,8),-0.952982 # DEPENDENCYPART_ARC
(13,9),-1.05119 # DEPENDENCYPART_ARC
(13,10),-0.561189 # DEPENDENCYPART_ARC
(13,11),-0.297165 # DEPENDENCYPART_ARC
(13,12),1.09383 # DEPENDENCYPART_ARC
(13,14),0.881072 # DEPENDENCYPART_ARC
(13,15),-0.664858 # DEPENDENCYPART_ARC
(13,16),-1.34673 # DEPENDENCYPART_ARC
(13,17),-1.51337 # DEPENDENCYPART_ARC
(13,18),-2.33078 # DEPENDENCYPART_ARC
(13,19),-1.8959 # DEPENDENCYPART_ARC
(13,20),-2.47735 # DEPENDENCYPART_ARC
(13,22),-1.27843 # DEPENDENCYPART_ARC
(14,1),-1.32982 # DEPENDENCYPART_ARC
(14,2),-2.88831 # DEPENDENCYPART_ARC
(14,3),-1.1114 # DEPENDENCYPART_ARC
(14,4),-2.05789 # DEPENDENCYPART_ARC
(14,5),-2.92488 # DEPENDENCYPART_ARC
(14,6),-2.86709 # DEPENDENCYPART_ARC
(14,7),-2.16597 # DEPENDENCYPART_ARC
(14,8),0.159765 # DEPENDENCYPART_ARC
(14,9),-0.679078 # DEPENDENCYPART_ARC
(14,10),0.374487 # DEPENDENCYPART_ARC
(14,11),-0.139577 # DEPENDENCYPART_ARC
(14,12),2.92495 # DEPENDENCYPART_ARC
(14,13),2.99796 # DEPENDENCYPART_ARC
(14,15),0.0092839 # DEPENDENCYPART_ARC
(14,16),-0.345606 # DEPENDENCYPART_ARC
(14,17),-0.732188 # DEPENDENCYPART_ARC
(14,18),-3.13917 # DEPENDENCYPART_ARC
(14,19),0.431575 # DEPENDENCYPART_ARC
(14,20),-1.91589 # DEPENDENCYPART_ARC
(14,21),-1.34726 # DEPENDENCYPART_ARC
(14,22),-1.09849 # DEPENDENCYPART_ARC
(15,1),-0.707926 # DEPENDENCYPART_ARC
(15,2),-0.819855 # DEPENDENCYPART_ARC
(15,3),-0.696001 # DEPENDENCYPART_ARC
(15,5),-0.795458 # DEPENDENCYPART_ARC
(15,6),-0.578302 # DEPENDENCYPART_ARC
(15,7),-0.683937 # DEPENDENCYPART_ARC
(15,8),-0.122965 # DEPENDENCYPART_ARC
(15,9),-0.278386 # DEPENDENCYPART_ARC
(15,10),-0.324965 # DEPENDENCYPART_ARC
(15,11),0.146548 # DEPENDENCYPART_ARC
(15,13),-0.0696523 # DEPENDENCYPART_ARC
(15,14),0.047514 # DEPENDENCYPART_ARC
(15,16),0.0153765 # DEPENDENCYPART_ARC
(15,17),0.148278 # DEPENDENCYPART_ARC
(15,18),-1.20659 # DEPENDENCYPART_ARC
(15,19),-0.453874 # DEPENDENCYPART_ARC
(15,22),-0.565938 # DEPENDENCYPART_ARC
(16,1),-1.40492 # DEPENDENCYPART_ARC
(16,2),-2.48096 # DEPENDENCYPART_ARC
(16,3),-1.55522 # DEPENDENCYPART_ARC
(16,5),-2.67785 # DEPENDENCYPART_ARC
(16,6),-2.9798 # DEPENDENCYPART_ARC
(16,7),-1.76526 # DEPENDENCYPART_ARC
(16,8),-0.887589 # DEPENDENCYPART_ARC
(16,9),-0.998512 # DEPENDENCYPART_ARC
(16,10),-0.915181 # DEPENDENCYPART_ARC
(16,11),-0.856447 # DEPENDENCYPART_ARC
(16,13),-1.18602 # DEPENDENCYPART_ARC
(16,14),-1.60892 # DEPENDENCYPART_ARC
(16,15),0.163966 # DEPENDENCYPART_ARC
(16,17),3.3132 # DEPENDENCYPART_ARC
(16,18),1.51775 # DEPENDENCYPART_ARC
(16,19),-1.14455 # DEPENDENCYPART_ARC
(16,21),-0.909982 # DEPENDENCYPART_ARC
(16,22),-0.538794 # DEPENDENCYPART_ARC
(17,1),-2.1865 # DEPENDENCYPART_ARC
(17,2),-2.81337 # DEPENDENCYPART_ARC
(17,3),-2.34568 # DEPENDENCYPART_ARC
(17,4),-3.48236 # DEPENDENCYPART_ARC
(17,5),-4.10026 # DEPENDENCYPART_ARC
(17,6),-4.56938 # DEPENDENCYPART_ARC
(17,7),-2.63621 # DEPENDENCYPART_ARC
(17,8),-1.27519 # DEPENDENCYPART_ARC
(17,9),-1.89839 # DEPENDENCYPART_ARC
(17,10),-1.32652 # DEPENDENCYPART_ARC
(17,11),-1.62448 # DEPENDENCYPART_ARC
(17,12),-0.405074 # DEPENDENCYPART_ARC
(17,13),-0.953802 # DEPENDENCYPART_ARC
(17,14),-1.00306 # DEPENDENCYPART_ARC
(17,15),-0.670091 # DEPENDENCYPART_ARC
(17,16),-0.126044 # DEPENDENCYPART_ARC
(17,18),0.878639 # DEPENDENCYPART_ARC
(17,19),2.53035 # DEPENDENCYPART_ARC
(17,20),-0.481675 # DEPENDENCYPART_ARC
(17,21),0.00474562 # DEPENDENCYPART_ARC
(17,22),-0.052664 # DEPENDENCYPART_ARC
(18,4),-1.53729 # DEPENDENCYPART_ARC
(18,6),-3.25158 # DEPENDENCYPART_ARC
(18,7),-3.70363 # DEPENDENCYPART_ARC
(18,8),-0.995226 # DEPENDENCYPART_ARC
(18,10),-0.928063 # DEPENDENCYPART_ARC
(18,12),-0.828325 # DEPENDENCYPART_ARC
(18,13),-2.32656 # DEPENDENCYPART_ARC
(18,15),-0.491451 # DEPENDENCYPART_ARC
(18,19),-0.486384 # DEPENDENCYPART_ARC
(18,20),-2.27873 # DEPENDENCYPART_ARC
(18,22),-1.30045 # DEPENDENCYPART_ARC
(19,1),-0.406515 # DEPENDENCYPART_ARC
(19,2),-2.57173 # DEPENDENCYPART_ARC
(19,3),-1.24613 # DEPENDENCYPART_ARC
(19,4),-3.824 # DEPENDENCYPART_ARC
(19,5),-1.08408 # DEPENDENCYPART_ARC
(19,6),-1.67848 # DEPENDENCYPART_ARC
(19,7),-1.60523 # DEPENDENCYPART_ARC
(19,8),-0.569281 # DEPENDENCYPART_ARC
(19,9),-0.34621 # DEPENDENCYPART_ARC
(19,10),-0.288667 # DEPENDENCYPART_ARC
(19,11),-0.102349 # DEPENDENCYPART_ARC
(19,12),-2.89717 # DEPENDENCYPART_ARC
(19,13),-2.99021 # DEPENDENCYPART_ARC
(19,14),-2.9903 # DEPENDENCYPART_ARC
(19,15),0.263648 # DEPENDENCYPART_ARC
(19,16),0.040862 # DEPENDENCYPART_ARC
(19,17),-0.660315 # DEPENDENCYPART_ARC
(19,18),4.32796 # DEPENDENCYPART_ARC
(19,20),-0.365934 # DEPENDENCYPART_ARC
(19,21),1.37131 # DEPENDENCYPART_ARC
(19,22),0.716883 # DEPENDENCYPART_ARC
(20,2),-2.23802 # DEPENDENCYPART_ARC
(20,9),-1.38452 # DEPENDENCYPART_ARC
(20,14),-2.13183 # DEPENDENCYPART_ARC
(20,17),-1.47433 # DEPENDENCYPART_ARC
(21,2),-0.853245 # DEPENDENCYPART_ARC
(21,4),0.132074 # DEPENDENCYPART_ARC
(21,7),-0.662593 # DEPENDENCYPART_ARC
(21,12),0.510246 # DEPENDENCYPART_ARC
(21,13),-0.470075 # DEPENDENCYPART_ARC
(21,14),-0.547456 # DEPENDENCYPART_ARC
(21,17),-0.32117 # DEPENDENCYPART_ARC
(21,20),2.64729 # DEPENDENCYPART_ARC
(22,1),-3.70343 # DEPENDENCYPART_ARC
(22,2),-3.07603 # DEPENDENCYPART_ARC
(22,3),-2.70138 # DEPENDENCYPART_ARC
(22,5),-3.13615 # DEPENDENCYPART_ARC
(22,6),-2.87539 # DEPENDENCYPART_ARC
(22,7),-2.89602 # DEPENDENCYPART_ARC
(22,8),-2.41338 # DEPENDENCYPART_ARC
(22,9),-2.42362 # DEPENDENCYPART_ARC
(22,10),-2.44268 # DEPENDENCYPART_ARC
(22,11),-2.80113 # DEPENDENCYPART_ARC
(22,13),-2.60705 # DEPENDENCYPART_ARC
(22,14),-2.79008 # DEPENDENCYPART_ARC
(22,15),-2.37105 # DEPENDENCYPART_ARC
(22,16),-2.4416 # DEPENDENCYPART_ARC
(22,17),-2.48873 # DEPENDENCYPART_ARC
(22,18),-2.43547 # DEPENDENCYPART_ARC
(22,19),-2.13681 # DEPENDENCYPART_ARC
