# _root_ Κύριε Πρόεδρε , στο πλαίσιο της προπαρασκευαστικής συζήτησης για την εκλογή του Προέδρου του Κοινοβουλίου , μου δόθηκε η ευκαιρία να διατυπώσω τις προσδοκίες που είχα από τον νέο Πρόεδρο .
#goldHeads=2,0,4,18,4,8,8,5,8,11,9,13,11,15,13,4,18,0,20,18,22,20,24,22,26,24,26,30,30,27,0,
#predictedHeads=2,0,2,2,4,8,8,5,8,11,9,13,11,15,13,18,18,13,20,18,22,20,24,22,26,24,26,30,30,27,0,
(4,25),-3.10692 # DEPENDENCYPART_ARC
(4,26),-4.41994 # DEPENDENCYPART_ARC
(4,27),-2.3393 # DEPENDENCYPART_ARC
(4,29),-3.14148 # DEPENDENCYPART_ARC
(4,30),-8.53949 # DEPENDENCYPART_ARC
(4,31),-1.83277 # DEPENDENCYPART_ARC
(5,1),-1.1891 # DEPENDENCYPART_ARC
(5,2),-1.35119 # DEPENDENCYPART_ARC
(5,3),-0.972695 # DEPENDENCYPART_ARC
(5,4),-0.484448 # DEPENDENCYPART_ARC
(5,6),0.386221 # DEPENDENCYPART_ARC
(5,7),0.644349 # DEPENDENCYPART_ARC
(5,8),1.92534 # DEPENDENCYPART_ARC
(5,9),0.473987 # DEPENDENCYPART_ARC
(5,10),-0.894947 # DEPENDENCYPART_ARC
(5,11),-0.71628 # DEPENDENCYPART_ARC
(5,12),-1.17281 # DEPENDENCYPART_ARC
(5,13),0.0940415 # DEPENDENCYPART_ARC
(5,14),-1.2299 # DEPENDENCYPART_ARC
(5,15),-0.651735 # DEPENDENCYPART_ARC
(5,16),-0.430869 # DEPENDENCYPART_ARC
(5,17),-2.42038 # DEPENDENCYPART_ARC
(5,18),0.239045 # DEPENDENCYPART_ARC
(5,19),-1.66215 # DEPENDENCYPART_ARC
(5,20),-2.98664 # DEPENDENCYPART_ARC
(5,21),-1.58034 # DEPENDENCYPART_ARC
(5,22),-1.66329 # DEPENDENCYPART_ARC
(5,23),-1.83368 # DEPENDENCYPART_ARC
(5,24),-4.18213 # DEPENDENCYPART_ARC
(5,25),-5.27161 # DEPENDENCYPART_ARC
(5,26),-2.19486 # DEPENDENCYPART_ARC
(5,27),-2.05129 # DEPENDENCYPART_ARC
(5,28),-2.39099 # DEPENDENCYPART_ARC
(5,29),-2.02608 # DEPENDENCYPART_ARC
(5,30),-3.97526 # DEPENDENCYPART_ARC
(5,31),-0.492643 # DEPENDENCYPART_ARC
(6,1),-2.07202 # DEPENDENCYPART_ARC
(6,2),-1.97119 # DEPENDENCYPART_ARC
(6,5),-1.23846 # DEPENDENCYPART_ARC
(6,8),0.040137 # DEPENDENCYPART_ARC
(6,11),-1.21059 # DEPENDENCYPART_ARC
(6,13),-1.39311 # DEPENDENCYPART_ARC
(6,15),-1.29205 # DEPENDENCYPART_ARC
(6,20),-2.32259 # DEPENDENCYPART_ARC
(6,24),-2.34842 # DEPENDENCYPART_ARC
(6,30),-2.71208 # DEPENDENCYPART_ARC
(7,1),-1.6588 # DEPENDENCYPART_ARC
(7,2),-1.47185 # DEPENDENCYPART_ARC
(7,3),-0.864159 # DEPENDENCYPART_ARC
(7,4),-1.12742 # DEPENDENCYPART_ARC
(7,5),-1.062 # DEPENDENCYPART_ARC
(7,6),0.57593 # DEPENDENCYPART_ARC
(7,8),0.749232 # DEPENDENCYPART_ARC
(7,9),-0.0263122 # DEPENDENCYPART_ARC
(7,10),-1.29969 # DEPENDENCYPART_ARC
(7,11),-1.99327 # DEPENDENCYPART_ARC
(7,12),-1.54777 # DEPENDENCYPART_ARC
(7,13),-1.62718 # DEPENDENCYPART_ARC
(7,14),-2.15094 # DEPENDENCYPART_ARC
(7,15),-2.23115 # DEPENDENCYPART_ARC
(7,16),-0.814358 # DEPENDENCYPART_ARC
(7,17),-2.25522 # DEPENDENCYPART_ARC
(7,18),-2.06415 # DEPENDENCYPART_ARC
(7,19),-2.60611 # DEPENDENCYPART_ARC
(7,20),-3.87689 # DEPENDENCYPART_ARC
(7,22),-2.93357 # DEPENDENCYPART_ARC
(7,23),-2.16568 # DEPENDENCYPART_ARC
(7,24),-3.83212 # DEPENDENCYPART_ARC
(7,25),-3.95333 # DEPENDENCYPART_ARC
(7,26),-2.37796 # DEPENDENCYPART_ARC
(7,27),-1.8279 # DEPENDENCYPART_ARC
(7,28),-2.78836 # DEPENDENCYPART_ARC
(7,29),-3.02656 # DEPENDENCYPART_ARC
(7,30),-4.29536 # DEPENDENCYPART_ARC
(7,31),-1.81937 # DEPENDENCYPART_ARC
(8,1),-1.69824 # DEPENDENCYPART_ARC
(8,2),-2.0856 # DEPENDENCYPART_ARC
(8,3),-0.594815 # DEPENDENCYPART_ARC
(8,4),-1.18759 # DEPENDENCYPART_ARC
(8,5),-1.5409 # DEPENDENCYPART_ARC
(8,6),2.94061 # DEPENDENCYPART_ARC
(8,7),3.16671 # DEPENDENCYPART_ARC
(8,9),1.35166 # DEPENDENCYPART_ARC
(8,10),-0.330943 # DEPENDENCYPART_ARC
(8,11),-0.557912 # DEPENDENCYPART_ARC
(8,12),-0.817832 # DEPENDENCYPART_ARC
(8,13),-0.211065 # DEPENDENCYPART_ARC
(8,14),-1.30958 # DEPENDENCYPART_ARC
(8,15),-0.985362 # DEPENDENCYPART_ARC
(8,16),-0.383392 # DEPENDENCYPART_ARC
(8,17),-2.43482 # DEPENDENCYPART_ARC
(8,18),-0.00948482 # DEPENDENCYPART_ARC
(8,19),-1.86227 # DEPENDENCYPART_ARC
(8,20),-3.59886 # DEPENDENCYPART_ARC
(8,21),-1.70451 # DEPENDENCYPART_ARC
(8,22),-1.43875 # DEPENDENCYPART_ARC
(8,23),-1.52628 # DEPENDENCYPART_ARC
(8,24),-4.25221 # DEPENDENCYPART_ARC
(8,25),-5.61179 # DEPENDENCYPART_ARC
(8,26),-1.33123 # DEPENDENCYPART_ARC
(8,27),-1.64056 # DEPENDENCYPART_ARC
(8,28),-2.23386 # DEPENDENCYPART_ARC
(8,29),-3.00021 # DEPENDENCYPART_ARC
(8,30),-5.45265 # DEPENDENCYPART_ARC
(8,31),-0.653072 # DEPENDENCYPART_ARC
(9,1),-1.71979 # DEPENDENCYPART_ARC
(9,2),-1.65978 # DEPENDENCYPART_ARC
(9,3),-0.667107 # DEPENDENCYPART_ARC
(9,5),-1.429 # DEPENDENCYPART_ARC
(9,6),-0.403922 # DEPENDENCYPART_ARC
(9,7),-0.483966 # DEPENDENCYPART_ARC
(9,8),-0.882469 # DEPENDENCYPART_ARC
(9,10),-0.0162203 # DEPENDENCYPART_ARC
(9,11),2.29357 # DEPENDENCYPART_ARC
(9,12),-0.945552 # DEPENDENCYPART_ARC
(9,13),-0.0251325 # DEPENDENCYPART_ARC
(9,14),-1.28344 # DEPENDENCYPART_ARC
(9,15),-1.60446 # DEPENDENCYPART_ARC
(9,16),-0.372898 # DEPENDENCYPART_ARC
(9,17),-0.846915 # DEPENDENCYPART_ARC
(9,18),-1.33776 # DEPENDENCYPART_ARC
(9,19),-1.89362 # DEPENDENCYPART_ARC
(9,20),-4.03476 # DEPENDENCYPART_ARC
(9,21),-1.80146 # DEPENDENCYPART_ARC
(9,22),-2.02164 # DEPENDENCYPART_ARC
(9,23),-2.12204 # DEPENDENCYPART_ARC
(9,24),-5.20654 # DEPENDENCYPART_ARC
(9,25),-2.64653 # DEPENDENCYPART_ARC
(9,26),-2.53831 # DEPENDENCYPART_ARC
(9,27),-1.67323 # DEPENDENCYPART_ARC
(9,28),-2.64745 # DEPENDENCYPART_ARC
(9,29),-2.3917 # DEPENDENCYPART_ARC
(9,30),-6.64793 # DEPENDENCYPART_ARC
(9,31),-1.90496 # DEPENDENCYPART_ARC
(10,1),-2.73482 # DEPENDENCYPART_ARC
(10,2),-2.78285 # DEPENDENCYPART_ARC
(10,5),-2.36764 # DEPENDENCYPART_ARC
(10,8),-2.02893 # DEPENDENCYPART_ARC
(10,11),-0.0549847 # DEPENDENCYPART_ARC
(10,13),-0.604169 # DEPENDENCYPART_ARC
(10,15),-0.970352 # DEPENDENCYPART_ARC
(10,20),-2.45252 # DEPENDENCYPART_ARC
(10,24),-2.50179 # DEPENDENCYPART_ARC
(10,30),-2.55457 # DEPENDENCYPART_ARC
(11,1),-1.96783 # DEPENDENCYPART_ARC
(11,2),-2.24589 # DEPENDENCYPART_ARC
(11,3),-1.21374 # DEPENDENCYPART_ARC
(11,4),-1.5621 # DEPENDENCYPART_ARC
(11,5),-1.32067 # DEPENDENCYPART_ARC
(11,6),0.211964 # DEPENDENCYPART_ARC
(11,7),-0.221108 # DEPENDENCYPART_ARC
(11,8),-0.947907 # DEPENDENCYPART_ARC
(11,9),0.204198 # DEPENDENCYPART_ARC
(11,10),3.31587 # DEPENDENCYPART_ARC
(11,12),0.37376 # DEPENDENCYPART_ARC
(11,13),2.62074 # DEPENDENCYPART_ARC
(11,14),-0.436106 # DEPENDENCYPART_ARC
(11,15),1.21769 # DEPENDENCYPART_ARC
(11,16),-0.0239946 # DEPENDENCYPART_ARC
(11,17),-1.36967 # DEPENDENCYPART_ARC
(11,18),0.783936 # DEPENDENCYPART_ARC
(11,19),-1.44703 # DEPENDENCYPART_ARC
(11,20),-2.40469 # DEPENDENCYPART_ARC
(11,21),-1.10977 # DEPENDENCYPART_ARC
(11,22),-0.95675 # DEPENDENCYPART_ARC
(11,23),-1.43234 # DEPENDENCYPART_ARC
(11,24),-3.0611 # DEPENDENCYPART_ARC
(11,25),-4.33585 # DEPENDENCYPART_ARC
(11,26),-1.26449 # DEPENDENCYPART_ARC
(11,27),-1.46753 # DEPENDENCYPART_ARC
(11,28),-2.00753 # DEPENDENCYPART_ARC
(11,29),-2.02739 # DEPENDENCYPART_ARC
(11,30),-3.20776 # DEPENDENCYPART_ARC
(11,31),-0.254278 # DEPENDENCYPART_ARC
(12,1),-1.76904 # DEPENDENCYPART_ARC
(12,2),-1.74446 # DEPENDENCYPART_ARC
(12,5),-2.23547 # DEPENDENCYPART_ARC
(12,8),-1.64167 # DEPENDENCYPART_ARC
(12,11),-1.32334 # DEPENDENCYPART_ARC
(12,13),0.250224 # DEPENDENCYPART_ARC
(12,15),-0.609474 # DEPENDENCYPART_ARC
(12,20),-2.39429 # DEPENDENCYPART_ARC
(12,24),-2.68881 # DEPENDENCYPART_ARC
(12,30),-2.46808 # DEPENDENCYPART_ARC
(13,1),-1.43477 # DEPENDENCYPART_ARC
(13,2),-1.83299 # DEPENDENCYPART_ARC
(13,3),-1.09394 # DEPENDENCYPART_ARC
(13,4),-1.89395 # DEPENDENCYPART_ARC
(13,5),-2.5873 # DEPENDENCYPART_ARC
(13,6),-0.765772 # DEPENDENCYPART_ARC
(13,7),-1.11505 # DEPENDENCYPART_ARC
(13,8),-1.35514 # DEPENDENCYPART_ARC
(13,9),-0.498902 # DEPENDENCYPART_ARC
(13,10),-0.549472 # DEPENDENCYPART_ARC
(13,11),-1.39303 # DEPENDENCYPART_ARC
(13,12),3.3365 # DEPENDENCYPART_ARC
(13,14),0.222094 # DEPENDENCYPART_ARC
(13,15),2.62929 # DEPENDENCYPART_ARC
(13,16),0.13954 # DEPENDENCYPART_ARC
(13,17),-0.468493 # DEPENDENCYPART_ARC
(13,18),1.02711 # DEPENDENCYPART_ARC
(13,19),-1.4844 # DEPENDENCYPART_ARC
(13,20),-1.33542 # DEPENDENCYPART_ARC
(13,21),-1.34443 # DEPENDENCYPART_ARC
(13,22),-1.34563 # DEPENDENCYPART_ARC
(13,23),-1.52739 # DEPENDENCYPART_ARC
(13,24),-2.63109 # DEPENDENCYPART_ARC
(13,25),-4.85852 # DEPENDENCYPART_ARC
(13,26),-1.11862 # DEPENDENCYPART_ARC
(13,27),-1.60147 # DEPENDENCYPART_ARC
(13,28),-1.79952 # DEPENDENCYPART_ARC
(13,29),-2.12277 # DEPENDENCYPART_ARC
(13,30),-2.59896 # DEPENDENCYPART_ARC
(13,31),-0.386231 # DEPENDENCYPART_ARC
(14,1),-1.96163 # DEPENDENCYPART_ARC
(14,2),-1.88434 # DEPENDENCYPART_ARC
(14,5),-2.08062 # DEPENDENCYPART_ARC
(14,8),-1.96324 # DEPENDENCYPART_ARC
(14,11),-2.1278 # DEPENDENCYPART_ARC
(14,13),-0.486263 # DEPENDENCYPART_ARC
(14,15),0.751743 # DEPENDENCYPART_ARC
(14,20),-1.93322 # DEPENDENCYPART_ARC
(14,24),-2.21952 # DEPENDENCYPART_ARC
(14,30),-2.31543 # DEPENDENCYPART_ARC
(15,1),-2.10751 # DEPENDENCYPART_ARC
(15,2),-2.70978 # DEPENDENCYPART_ARC
(15,3),-1.49137 # DEPENDENCYPART_ARC
(15,4),-1.8552 # DEPENDENCYPART_ARC
(15,5),-2.99489 # DEPENDENCYPART_ARC
(15,6),-2.54343 # DEPENDENCYPART_ARC
(15,7),-1.64558 # DEPENDENCYPART_ARC
(15,8),-2.61473 # DEPENDENCYPART_ARC
(15,9),-1.0358 # DEPENDENCYPART_ARC
(15,10),-2.22896 # DEPENDENCYPART_ARC
(15,11),-3.15512 # DEPENDENCYPART_ARC
(15,12),0.267067 # DEPENDENCYPART_ARC
(15,13),0.664669 # DEPENDENCYPART_ARC
(15,14),2.92654 # DEPENDENCYPART_ARC
(15,16),-0.30784 # DEPENDENCYPART_ARC
(15,17),-0.494173 # DEPENDENCYPART_ARC
(15,18),0.633121 # DEPENDENCYPART_ARC
(15,19),-1.8377 # DEPENDENCYPART_ARC
(15,20),-1.51255 # DEPENDENCYPART_ARC
(15,21),-2.07288 # DEPENDENCYPART_ARC
(15,22),-1.83851 # DEPENDENCYPART_ARC
(15,23),-2.15296 # DEPENDENCYPART_ARC
(15,24),-3.14659 # DEPENDENCYPART_ARC
(15,25),-4.86385 # DEPENDENCYPART_ARC
(15,26),-1.82648 # DEPENDENCYPART_ARC
(15,27),-2.39261 # DEPENDENCYPART_ARC
(15,28),-2.59902 # DEPENDENCYPART_ARC
(15,29),-2.76125 # DEPENDENCYPART_ARC
(15,30),-3.40242 # DEPENDENCYPART_ARC
(15,31),-1.49002 # DEPENDENCYPART_ARC
(16,1),-0.765195 # DEPENDENCYPART_ARC
(16,2),-1.01187 # DEPENDENCYPART_ARC
(16,3),-1.32523 # DEPENDENCYPART_ARC
(16,4),-0.663418 # DEPENDENCYPART_ARC
(16,5),-0.750317 # DEPENDENCYPART_ARC
(16,7),-0.577674 # DEPENDENCYPART_ARC
(16,8),-0.634469 # DEPENDENCYPART_ARC
(16,9),-0.271917 # DEPENDENCYPART_ARC
(16,11),-0.587092 # DEPENDENCYPART_ARC
(16,13),-0.196275 # DEPENDENCYPART_ARC
(16,15),-0.140591 # DEPENDENCYPART_ARC
(16,17),-0.534326 # DEPENDENCYPART_ARC
(16,18),-0.438242 # DEPENDENCYPART_ARC
(16,20),-0.895704 # DEPENDENCYPART_ARC
(16,21),-1.30984 # DEPENDENCYPART_ARC
(16,22),-1.36926 # DEPENDENCYPART_ARC
(16,24),-1.60994 # DEPENDENCYPART_ARC
(16,25),-2.42101 # DEPENDENCYPART_ARC
(16,26),-1.49654 # DEPENDENCYPART_ARC
(16,27),-1.56618 # DEPENDENCYPART_ARC
(16,29),-1.79163 # DEPENDENCYPART_ARC
(16,30),-1.62735 # DEPENDENCYPART_ARC
(16,31),-0.845169 # DEPENDENCYPART_ARC
(17,1),-1.78192 # DEPENDENCYPART_ARC
(17,2),-1.79316 # DEPENDENCYPART_ARC
(17,5),-2.23742 # DEPENDENCYPART_ARC
(17,7),-3.23023 # DEPENDENCYPART_ARC
(17,8),-1.47197 # DEPENDENCYPART_ARC
(17,11),-1.91895 # DEPENDENCYPART_ARC
(17,13),-1.23582 # DEPENDENCYPART_ARC
(17,15),-0.858958 # DEPENDENCYPART_ARC
(17,20),-1.19204 # DEPENDENCYPART_ARC
(17,24),-2.1709 # DEPENDENCYPART_ARC
(17,29),-2.22003 # DEPENDENCYPART_ARC
(17,30),-1.92225 # DEPENDENCYPART_ARC
(18,1),-0.541936 # DEPENDENCYPART_ARC
(18,2),-0.932636 # DEPENDENCYPART_ARC
(18,3),0.642084 # DEPENDENCYPART_ARC
(18,4),-0.0663468 # DEPENDENCYPART_ARC
(18,5),-1.45304 # DEPENDENCYPART_ARC
(18,6),-2.68407 # DEPENDENCYPART_ARC
(18,7),-2.49931 # DEPENDENCYPART_ARC
(18,8),-2.21366 # DEPENDENCYPART_ARC
(18,9),0.477378 # DEPENDENCYPART_ARC
(18,10),-2.09752 # DEPENDENCYPART_ARC
(18,11),-0.63816 # DEPENDENCYPART_ARC
(18,12),-2.64866 # DEPENDENCYPART_ARC
(18,13),-1.5871 # DEPENDENCYPART_ARC
(18,14),-1.59083 # DEPENDENCYPART_ARC
(18,15),-1.75318 # DEPENDENCYPART_ARC
(18,16),1.79798 # DEPENDENCYPART_ARC
(18,17),2.70075 # DEPENDENCYPART_ARC
(18,19),-0.974923 # DEPENDENCYPART_ARC
(18,20),2.85565 # DEPENDENCYPART_ARC
(18,21),0.145118 # DEPENDENCYPART_ARC
(18,22),1.13679 # DEPENDENCYPART_ARC
(18,23),-2.21506 # DEPENDENCYPART_ARC
(18,24),-1.31801 # DEPENDENCYPART_ARC
(18,25),-2.99875 # DEPENDENCYPART_ARC
(18,26),-3.11681 # DEPENDENCYPART_ARC
(18,27),0.238625 # DEPENDENCYPART_ARC
(18,28),-2.56514 # DEPENDENCYPART_ARC
(18,29),-2.56731 # DEPENDENCYPART_ARC
(18,30),-1.79349 # DEPENDENCYPART_ARC
(18,31),0.563701 # DEPENDENCYPART_ARC
(19,1),-2.63372 # DEPENDENCYPART_ARC
(19,2),-2.61131 # DEPENDENCYPART_ARC
(19,5),-2.50347 # DEPENDENCYPART_ARC
(19,8),-2.50211 # DEPENDENCYPART_ARC
(19,11),-2.27555 # DEPENDENCYPART_ARC
(19,13),-2.64884 # DEPENDENCYPART_ARC
(19,15),-2.18293 # DEPENDENCYPART_ARC
(19,20),-0.436083 # DEPENDENCYPART_ARC
(19,24),-2.08904 # DEPENDENCYPART_ARC
(19,30),-2.72811 # DEPENDENCYPART_ARC
(20,1),-3.36654 # DEPENDENCYPART_ARC
(20,2),-3.88894 # DEPENDENCYPART_ARC
(20,3),-1.73403 # DEPENDENCYPART_ARC
(20,4),-1.95492 # DEPENDENCYPART_ARC
(20,5),-3.3586 # DEPENDENCYPART_ARC
(20,6),-3.72537 # DEPENDENCYPART_ARC
(20,7),-1.64832 # DEPENDENCYPART_ARC
(20,8),-3.25842 # DEPENDENCYPART_ARC
(20,9),-1.26264 # DEPENDENCYPART_ARC
(20,10),-2.32584 # DEPENDENCYPART_ARC
(20,11),-2.72206 # DEPENDENCYPART_ARC
(20,12),-3.37331 # DEPENDENCYPART_ARC
(20,13),-2.75314 # DEPENDENCYPART_ARC
(20,14),-2.28937 # DEPENDENCYPART_ARC
(20,15),-2.05785 # DEPENDENCYPART_ARC
(20,16),-1.16051 # DEPENDENCYPART_ARC
(20,17),-1.26348 # DEPENDENCYPART_ARC
(20,18),-1.1015 # DEPENDENCYPART_ARC
(20,19),3.40376 # DEPENDENCYPART_ARC
(20,21),0.617641 # DEPENDENCYPART_ARC
(20,22),1.21914 # DEPENDENCYPART_ARC
(20,23),-0.617542 # DEPENDENCYPART_ARC
(20,24),-0.735535 # DEPENDENCYPART_ARC
(20,25),-1.43539 # DEPENDENCYPART_ARC
(20,26),0.0825913 # DEPENDENCYPART_ARC
(20,27),-0.71834 # DEPENDENCYPART_ARC
(20,28),-1.79173 # DEPENDENCYPART_ARC
(20,29),-2.21837 # DEPENDENCYPART_ARC
(20,30),-2.02504 # DEPENDENCYPART_ARC
(20,31),0.0357461 # DEPENDENCYPART_ARC
(21,1),-1.90719 # DEPENDENCYPART_ARC
(21,2),-1.91282 # DEPENDENCYPART_ARC
(21,3),-1.55416 # DEPENDENCYPART_ARC
(21,5),-1.90402 # DEPENDENCYPART_ARC
(21,6),-1.50577 # DEPENDENCYPART_ARC
(21,8),-1.99514 # DEPENDENCYPART_ARC
(21,10),-1.4354 # DEPENDENCYPART_ARC
(21,11),-1.87091 # DEPENDENCYPART_ARC
(21,12),-1.25196 # DEPENDENCYPART_ARC
(21,13),-1.78795 # DEPENDENCYPART_ARC
(21,14),-1.24311 # DEPENDENCYPART_ARC
(21,15),-1.69006 # DEPENDENCYPART_ARC
(21,16),-1.18776 # DEPENDENCYPART_ARC
(21,18),-1.04424 # DEPENDENCYPART_ARC
(21,19),-0.148048 # DEPENDENCYPART_ARC
(21,20),-0.521 # DEPENDENCYPART_ARC
(21,22),0.581024 # DEPENDENCYPART_ARC
(21,23),-0.569986 # DEPENDENCYPART_ARC
(21,24),-0.597608 # DEPENDENCYPART_ARC
(21,26),-0.902066 # DEPENDENCYPART_ARC
(21,28),-1.37157 # DEPENDENCYPART_ARC
(21,30),-1.50678 # DEPENDENCYPART_ARC
