# _root_ Από την δεκαετία του '70 , η Κως έχει μετατραπεί σε σημαντικό τουριστικό προορισμό και έχει δει το τοπίο της να αλλάζει , με την ανέγερση πολυτελών ξενοδοχειακών θερέτρων πάνω στις κατάλευκες αμμουδιές της .
#goldHeads=10,3,1,5,3,15,8,15,10,15,10,14,14,11,0,17,15,19,22,19,22,17,24,22,26,24,29,29,26,26,30,33,31,33,0,
#predictedHeads=10,3,1,5,3,10,8,3,10,15,10,14,14,11,0,17,15,19,17,19,22,19,24,22,26,24,29,29,26,29,30,33,31,33,0,
(12,31),-1.3358 # DEPENDENCYPART_ARC
(12,32),-3.05966 # DEPENDENCYPART_ARC
(12,33),-2.76796 # DEPENDENCYPART_ARC
(12,34),-1.91809 # DEPENDENCYPART_ARC
(12,35),-1.18606 # DEPENDENCYPART_ARC
(13,1),-0.957216 # DEPENDENCYPART_ARC
(13,2),-1.57975 # DEPENDENCYPART_ARC
(13,3),-2.34819 # DEPENDENCYPART_ARC
(13,4),-1.29974 # DEPENDENCYPART_ARC
(13,5),-1.05477 # DEPENDENCYPART_ARC
(13,6),-0.994963 # DEPENDENCYPART_ARC
(13,7),-1.04647 # DEPENDENCYPART_ARC
(13,8),-2.31797 # DEPENDENCYPART_ARC
(13,9),-4.60858 # DEPENDENCYPART_ARC
(13,10),-2.74397 # DEPENDENCYPART_ARC
(13,11),0.181413 # DEPENDENCYPART_ARC
(13,12),1.36036 # DEPENDENCYPART_ARC
(13,14),0.564832 # DEPENDENCYPART_ARC
(13,15),0.0947006 # DEPENDENCYPART_ARC
(13,16),-1.5377 # DEPENDENCYPART_ARC
(13,17),-2.04232 # DEPENDENCYPART_ARC
(13,18),-2.19602 # DEPENDENCYPART_ARC
(13,19),-2.22206 # DEPENDENCYPART_ARC
(13,20),-1.5486 # DEPENDENCYPART_ARC
(13,21),-1.35334 # DEPENDENCYPART_ARC
(13,22),-2.86294 # DEPENDENCYPART_ARC
(13,23),-0.964997 # DEPENDENCYPART_ARC
(13,24),-1.38542 # DEPENDENCYPART_ARC
(13,25),-2.39365 # DEPENDENCYPART_ARC
(13,26),-2.71685 # DEPENDENCYPART_ARC
(13,27),-1.81234 # DEPENDENCYPART_ARC
(13,28),-1.79177 # DEPENDENCYPART_ARC
(13,29),-1.80197 # DEPENDENCYPART_ARC
(13,30),-1.51474 # DEPENDENCYPART_ARC
(13,31),-1.47663 # DEPENDENCYPART_ARC
(13,32),-3.23883 # DEPENDENCYPART_ARC
(13,33),-3.06024 # DEPENDENCYPART_ARC
(13,34),-2.12992 # DEPENDENCYPART_ARC
(13,35),-1.36055 # DEPENDENCYPART_ARC
(14,1),-0.515632 # DEPENDENCYPART_ARC
(14,2),-1.23525 # DEPENDENCYPART_ARC
(14,3),-1.50946 # DEPENDENCYPART_ARC
(14,4),-1.14253 # DEPENDENCYPART_ARC
(14,5),-0.536234 # DEPENDENCYPART_ARC
(14,6),-0.346289 # DEPENDENCYPART_ARC
(14,7),0.30838 # DEPENDENCYPART_ARC
(14,8),-0.650329 # DEPENDENCYPART_ARC
(14,9),-1.91166 # DEPENDENCYPART_ARC
(14,10),-1.07718 # DEPENDENCYPART_ARC
(14,11),0.483356 # DEPENDENCYPART_ARC
(14,12),3.29449 # DEPENDENCYPART_ARC
(14,13),3.43203 # DEPENDENCYPART_ARC
(14,15),0.31269 # DEPENDENCYPART_ARC
(14,16),-0.64028 # DEPENDENCYPART_ARC
(14,17),-0.412459 # DEPENDENCYPART_ARC
(14,18),-1.83259 # DEPENDENCYPART_ARC
(14,19),-1.56429 # DEPENDENCYPART_ARC
(14,20),-1.69331 # DEPENDENCYPART_ARC
(14,21),-1.66283 # DEPENDENCYPART_ARC
(14,22),-2.45596 # DEPENDENCYPART_ARC
(14,23),-1.18423 # DEPENDENCYPART_ARC
