# _root_ Κύριε Πρόεδρε , καταρχάς θα ήθελα να συγχαρώ τους τρεις εισηγητές - τον κ. Χατζηδάκη , τον κ. van Dam και τον κ. Grosch - για το έργο τους .
#goldHeads=2,6,2,6,6,0,8,6,11,11,12,8,15,15,21,21,20,20,20,21,12,24,24,21,12,8,28,26,28,0,
#predictedHeads=2,6,6,6,6,0,8,6,11,11,8,8,15,15,21,21,20,20,20,21,8,24,24,21,8,8,28,26,28,0,
(1,13),-2.15275 # DEPENDENCYPART_ARC
(1,14),-1.85836 # DEPENDENCYPART_ARC
(1,15),-3.2887 # DEPENDENCYPART_ARC
(1,16),-1.05919 # DEPENDENCYPART_ARC
(1,17),-2.33586 # DEPENDENCYPART_ARC
(1,18),-2.10255 # DEPENDENCYPART_ARC
(1,19),-1.84483 # DEPENDENCYPART_ARC
(1,20),-1.57083 # DEPENDENCYPART_ARC
(1,21),-1.21817 # DEPENDENCYPART_ARC
(1,22),-2.39911 # DEPENDENCYPART_ARC
(1,23),-2.16134 # DEPENDENCYPART_ARC
(1,24),-1.81139 # DEPENDENCYPART_ARC
(1,25),-1.39757 # DEPENDENCYPART_ARC
(1,26),-1.06245 # DEPENDENCYPART_ARC
(1,27),-2.48459 # DEPENDENCYPART_ARC
(1,28),-4.97304 # DEPENDENCYPART_ARC
(1,29),-3.35896 # DEPENDENCYPART_ARC
(1,30),-1.12012 # DEPENDENCYPART_ARC
(2,1),3.25921 # DEPENDENCYPART_ARC
(2,3),0.752539 # DEPENDENCYPART_ARC
(2,4),-0.419415 # DEPENDENCYPART_ARC
(2,5),-0.338686 # DEPENDENCYPART_ARC
(2,6),-1.6361 # DEPENDENCYPART_ARC
(2,7),-1.03505 # DEPENDENCYPART_ARC
(2,8),-2.88809 # DEPENDENCYPART_ARC
(2,9),-1.72928 # DEPENDENCYPART_ARC
(2,10),-1.66464 # DEPENDENCYPART_ARC
(2,11),-2.76341 # DEPENDENCYPART_ARC
(2,12),-0.25439 # DEPENDENCYPART_ARC
(2,13),-1.97946 # DEPENDENCYPART_ARC
(2,14),-1.6825 # DEPENDENCYPART_ARC
(2,15),-2.90934 # DEPENDENCYPART_ARC
(2,16),-0.473699 # DEPENDENCYPART_ARC
(2,17),-1.93565 # DEPENDENCYPART_ARC
(2,18),-2.03007 # DEPENDENCYPART_ARC
(2,19),-1.6193 # DEPENDENCYPART_ARC
(2,20),-1.27621 # DEPENDENCYPART_ARC
(2,21),-0.893445 # DEPENDENCYPART_ARC
(2,22),-2.18421 # DEPENDENCYPART_ARC
(2,23),-1.8684 # DEPENDENCYPART_ARC
(2,24),-1.56279 # DEPENDENCYPART_ARC
(2,25),-1.00955 # DEPENDENCYPART_ARC
(2,26),-0.98761 # DEPENDENCYPART_ARC
(2,27),-2.27288 # DEPENDENCYPART_ARC
(2,28),-4.88898 # DEPENDENCYPART_ARC
(2,29),-2.92935 # DEPENDENCYPART_ARC
(2,30),-0.771878 # DEPENDENCYPART_ARC
(3,1),-0.171808 # DEPENDENCYPART_ARC
(3,2),0.65295 # DEPENDENCYPART_ARC
(3,4),0.576703 # DEPENDENCYPART_ARC
(3,5),-0.388772 # DEPENDENCYPART_ARC
(3,6),-0.207893 # DEPENDENCYPART_ARC
(3,7),-0.981858 # DEPENDENCYPART_ARC
(3,8),-1.11468 # DEPENDENCYPART_ARC
(3,9),-1.29876 # DEPENDENCYPART_ARC
(3,10),-1.00232 # DEPENDENCYPART_ARC
(3,11),-1.17 # DEPENDENCYPART_ARC
(3,12),-0.377634 # DEPENDENCYPART_ARC
(3,13),-1.39012 # DEPENDENCYPART_ARC
(3,14),-1.24033 # DEPENDENCYPART_ARC
(3,15),-1.19527 # DEPENDENCYPART_ARC
(3,16),-0.680701 # DEPENDENCYPART_ARC
(3,17),-1.4949 # DEPENDENCYPART_ARC
(3,18),-1.12116 # DEPENDENCYPART_ARC
(3,19),-1.08007 # DEPENDENCYPART_ARC
(3,20),-0.796678 # DEPENDENCYPART_ARC
(3,21),-0.433567 # DEPENDENCYPART_ARC
(3,22),-1.58266 # DEPENDENCYPART_ARC
(3,23),-0.981836 # DEPENDENCYPART_ARC
(3,24),-0.547838 # DEPENDENCYPART_ARC
(3,25),-0.892125 # DEPENDENCYPART_ARC
(3,26),-2.13834 # DEPENDENCYPART_ARC
(3,27),-1.81762 # DEPENDENCYPART_ARC
(3,28),-1.54707 # DEPENDENCYPART_ARC
(3,29),-2.1866 # DEPENDENCYPART_ARC
(3,30),-1.47638 # DEPENDENCYPART_ARC
(4,1),-0.743678 # DEPENDENCYPART_ARC
(4,2),-0.366102 # DEPENDENCYPART_ARC
(4,3),0.990768 # DEPENDENCYPART_ARC
(4,5),0.379149 # DEPENDENCYPART_ARC
(4,6),-0.656558 # DEPENDENCYPART_ARC
(4,7),-0.587543 # DEPENDENCYPART_ARC
(4,8),-1.80181 # DEPENDENCYPART_ARC
(4,9),-1.43361 # DEPENDENCYPART_ARC
(4,10),-1.90599 # DEPENDENCYPART_ARC
(4,11),-2.24102 # DEPENDENCYPART_ARC
(4,12),0.00672794 # DEPENDENCYPART_ARC
(4,13),-1.89607 # DEPENDENCYPART_ARC
(4,14),-1.17277 # DEPENDENCYPART_ARC
(4,15),-2.50369 # DEPENDENCYPART_ARC
(4,16),-0.299003 # DEPENDENCYPART_ARC
(4,17),-2.04442 # DEPENDENCYPART_ARC
(4,18),-1.60197 # DEPENDENCYPART_ARC
(4,19),-1.27229 # DEPENDENCYPART_ARC
(4,20),-1.11546 # DEPENDENCYPART_ARC
(4,21),-0.646899 # DEPENDENCYPART_ARC
(4,22),-2.03636 # DEPENDENCYPART_ARC
(4,23),-1.54195 # DEPENDENCYPART_ARC
(4,24),-1.1266 # DEPENDENCYPART_ARC
(4,25),-0.821694 # DEPENDENCYPART_ARC
(4,26),-0.48091 # DEPENDENCYPART_ARC
(4,27),-2.52663 # DEPENDENCYPART_ARC
(4,28),-4.48205 # DEPENDENCYPART_ARC
(4,29),-2.03238 # DEPENDENCYPART_ARC
(4,30),-0.608566 # DEPENDENCYPART_ARC
(5,1),-1.40228 # DEPENDENCYPART_ARC
(5,2),-1.19757 # DEPENDENCYPART_ARC
(5,3),-0.563188 # DEPENDENCYPART_ARC
(5,4),-0.567216 # DEPENDENCYPART_ARC
(5,6),0.297134 # DEPENDENCYPART_ARC
(5,7),-0.771047 # DEPENDENCYPART_ARC
(5,8),-0.805126 # DEPENDENCYPART_ARC
(5,9),-1.32549 # DEPENDENCYPART_ARC
(5,10),-1.27003 # DEPENDENCYPART_ARC
(5,11),-1.56776 # DEPENDENCYPART_ARC
(5,12),-0.65431 # DEPENDENCYPART_ARC
(5,13),-1.58349 # DEPENDENCYPART_ARC
(5,14),-1.41887 # DEPENDENCYPART_ARC
(5,15),-1.61235 # DEPENDENCYPART_ARC
(5,16),-0.845107 # DEPENDENCYPART_ARC
(5,17),-1.66215 # DEPENDENCYPART_ARC
(5,18),-1.54572 # DEPENDENCYPART_ARC
(5,19),-1.47426 # DEPENDENCYPART_ARC
(5,20),-1.44271 # DEPENDENCYPART_ARC
(5,21),-1.12506 # DEPENDENCYPART_ARC
(5,22),-1.71226 # DEPENDENCYPART_ARC
(5,23),-1.50292 # DEPENDENCYPART_ARC
(5,24),-1.59199 # DEPENDENCYPART_ARC
(5,25),-1.04117 # DEPENDENCYPART_ARC
(5,26),-1.63979 # DEPENDENCYPART_ARC
(5,27),-1.90632 # DEPENDENCYPART_ARC
(5,28),-1.88292 # DEPENDENCYPART_ARC
(5,29),-2.17991 # DEPENDENCYPART_ARC
(5,30),-1.20616 # DEPENDENCYPART_ARC
(6,1),0.997876 # DEPENDENCYPART_ARC
(6,2),0.799739 # DEPENDENCYPART_ARC
(6,3),1.0786 # DEPENDENCYPART_ARC
(6,4),0.649643 # DEPENDENCYPART_ARC
(6,5),3.0396 # DEPENDENCYPART_ARC
(6,7),1.06003 # DEPENDENCYPART_ARC
(6,8),4.23809 # DEPENDENCYPART_ARC
(6,9),-1.16487 # DEPENDENCYPART_ARC
(6,10),-0.764351 # DEPENDENCYPART_ARC
(6,11),-0.174028 # DEPENDENCYPART_ARC
(6,12),0.400206 # DEPENDENCYPART_ARC
(6,13),-1.55736 # DEPENDENCYPART_ARC
(6,14),-0.203496 # DEPENDENCYPART_ARC
(6,15),-0.902947 # DEPENDENCYPART_ARC
(6,16),0.19094 # DEPENDENCYPART_ARC
(6,17),-1.70615 # DEPENDENCYPART_ARC
(6,18),-0.409733 # DEPENDENCYPART_ARC
(6,19),-0.319043 # DEPENDENCYPART_ARC
(6,20),-0.307001 # DEPENDENCYPART_ARC
(6,21),0.550503 # DEPENDENCYPART_ARC
(6,22),-1.87939 # DEPENDENCYPART_ARC
(6,23),-0.656403 # DEPENDENCYPART_ARC
(6,24),-0.452622 # DEPENDENCYPART_ARC
(6,25),0.280975 # DEPENDENCYPART_ARC
(6,26),-0.159103 # DEPENDENCYPART_ARC
(6,27),-1.98345 # DEPENDENCYPART_ARC
(6,28),-3.17501 # DEPENDENCYPART_ARC
(6,29),-4.87226 # DEPENDENCYPART_ARC
(6,30),0.754964 # DEPENDENCYPART_ARC
(7,1),-1.77373 # DEPENDENCYPART_ARC
(7,2),-1.68792 # DEPENDENCYPART_ARC
(7,3),-1.21869 # DEPENDENCYPART_ARC
(7,4),-1.42939 # DEPENDENCYPART_ARC
(7,5),-0.634774 # DEPENDENCYPART_ARC
(7,6),-0.559798 # DEPENDENCYPART_ARC
(7,8),0.300946 # DEPENDENCYPART_ARC
(7,9),-0.833597 # DEPENDENCYPART_ARC
(7,10),-0.908844 # DEPENDENCYPART_ARC
(7,11),-0.948613 # DEPENDENCYPART_ARC
(7,12),-0.674362 # DEPENDENCYPART_ARC
(7,13),-1.4406 # DEPENDENCYPART_ARC
(7,14),-1.29444 # DEPENDENCYPART_ARC
(7,15),-1.50525 # DEPENDENCYPART_ARC
(7,16),-0.70324 # DEPENDENCYPART_ARC
(7,17),-1.5055 # DEPENDENCYPART_ARC
(7,18),-1.43446 # DEPENDENCYPART_ARC
(7,19),-1.42541 # DEPENDENCYPART_ARC
(7,20),-1.49164 # DEPENDENCYPART_ARC
(7,21),-0.883076 # DEPENDENCYPART_ARC
(7,22),-1.57402 # DEPENDENCYPART_ARC
(7,23),-1.60649 # DEPENDENCYPART_ARC
(7,24),-1.4789 # DEPENDENCYPART_ARC
(7,25),-0.844446 # DEPENDENCYPART_ARC
(7,26),-1.4585 # DEPENDENCYPART_ARC
(7,27),-1.77679 # DEPENDENCYPART_ARC
(7,28),-1.58898 # DEPENDENCYPART_ARC
(7,29),-2.13142 # DEPENDENCYPART_ARC
(7,30),-1.15613 # DEPENDENCYPART_ARC
(8,1),-0.249286 # DEPENDENCYPART_ARC
(8,2),-0.640111 # DEPENDENCYPART_ARC
(8,3),-0.420689 # DEPENDENCYPART_ARC
(8,4),-1.06102 # DEPENDENCYPART_ARC
(8,5),0.752219 # DEPENDENCYPART_ARC
(8,6),-0.823159 # DEPENDENCYPART_ARC
(8,7),2.60763 # DEPENDENCYPART_ARC
(8,9),0.236346 # DEPENDENCYPART_ARC
(8,10),0.932323 # DEPENDENCYPART_ARC
(8,11),1.38734 # DEPENDENCYPART_ARC
(8,12),0.875831 # DEPENDENCYPART_ARC
(8,13),-0.842111 # DEPENDENCYPART_ARC
(8,14),0.336481 # DEPENDENCYPART_ARC
(8,15),-0.00140053 # DEPENDENCYPART_ARC
(8,16),0.946851 # DEPENDENCYPART_ARC
(8,17),-1.20792 # DEPENDENCYPART_ARC
(8,18),0.243451 # DEPENDENCYPART_ARC
(8,19),0.226097 # DEPENDENCYPART_ARC
(8,20),0.178227 # DEPENDENCYPART_ARC
(8,21),0.860762 # DEPENDENCYPART_ARC
(8,22),-1.26427 # DEPENDENCYPART_ARC
(8,23),-0.0301263 # DEPENDENCYPART_ARC
(8,24),-0.0811652 # DEPENDENCYPART_ARC
(8,25),1.0222 # DEPENDENCYPART_ARC
(8,26),1.49155 # DEPENDENCYPART_ARC
(8,27),-1.58154 # DEPENDENCYPART_ARC
(8,28),-2.28023 # DEPENDENCYPART_ARC
(8,29),-4.44898 # DEPENDENCYPART_ARC
(8,30),0.911906 # DEPENDENCYPART_ARC
(9,1),-1.89962 # DEPENDENCYPART_ARC
(9,2),-1.83225 # DEPENDENCYPART_ARC
(9,3),-1.3483 # DEPENDENCYPART_ARC
(9,4),-1.45796 # DEPENDENCYPART_ARC
(9,5),-1.13173 # DEPENDENCYPART_ARC
(9,6),-2.49521 # DEPENDENCYPART_ARC
(9,7),-0.473732 # DEPENDENCYPART_ARC
(9,8),-1.51635 # DEPENDENCYPART_ARC
(9,10),-0.379786 # DEPENDENCYPART_ARC
(9,11),-0.28665 # DEPENDENCYPART_ARC
(9,12),-0.100316 # DEPENDENCYPART_ARC
(9,13),-1.1349 # DEPENDENCYPART_ARC
(9,14),-0.857346 # DEPENDENCYPART_ARC
(9,15),-1.36696 # DEPENDENCYPART_ARC
(9,16),-0.369783 # DEPENDENCYPART_ARC
(9,17),-1.39315 # DEPENDENCYPART_ARC
(9,18),-1.09968 # DEPENDENCYPART_ARC
(9,19),-0.998228 # DEPENDENCYPART_ARC
(9,20),-1.14319 # DEPENDENCYPART_ARC
(9,21),-0.330325 # DEPENDENCYPART_ARC
(9,22),-1.54549 # DEPENDENCYPART_ARC
(9,23),-1.15914 # DEPENDENCYPART_ARC
(9,24),-1.09625 # DEPENDENCYPART_ARC
(9,25),-0.687215 # DEPENDENCYPART_ARC
(9,26),-0.864329 # DEPENDENCYPART_ARC
(9,27),-1.45873 # DEPENDENCYPART_ARC
(9,28),-1.71777 # DEPENDENCYPART_ARC
(9,29),-1.93048 # DEPENDENCYPART_ARC
(9,30),-0.725149 # DEPENDENCYPART_ARC
(10,1),-1.54532 # DEPENDENCYPART_ARC
(10,2),-1.59086 # DEPENDENCYPART_ARC
(10,3),-0.936992 # DEPENDENCYPART_ARC
(10,4),-0.873782 # DEPENDENCYPART_ARC
(10,5),-0.393407 # DEPENDENCYPART_ARC
(10,6),-2.02894 # DEPENDENCYPART_ARC
(10,7),0.0114039 # DEPENDENCYPART_ARC
(10,8),-1.27505 # DEPENDENCYPART_ARC
(10,9),1.35398 # DEPENDENCYPART_ARC
(10,11),-0.0895032 # DEPENDENCYPART_ARC
(10,12),-0.0997095 # DEPENDENCYPART_ARC
(10,13),-0.82528 # DEPENDENCYPART_ARC
(10,14),-0.655228 # DEPENDENCYPART_ARC
(10,15),-1.02619 # DEPENDENCYPART_ARC
(10,16),-0.398671 # DEPENDENCYPART_ARC
(10,17),-1.30767 # DEPENDENCYPART_ARC
(10,18),-1.01362 # DEPENDENCYPART_ARC
(10,19),-1.05822 # DEPENDENCYPART_ARC
(10,20),-0.990297 # DEPENDENCYPART_ARC
(10,21),-0.718253 # DEPENDENCYPART_ARC
(10,22),-1.4262 # DEPENDENCYPART_ARC
(10,23),-1.19691 # DEPENDENCYPART_ARC
(10,24),-1.12877 # DEPENDENCYPART_ARC
(10,25),-0.558828 # DEPENDENCYPART_ARC
(10,26),-0.85372 # DEPENDENCYPART_ARC
(10,27),-1.36208 # DEPENDENCYPART_ARC
(10,28),-1.80379 # DEPENDENCYPART_ARC
(10,29),-1.39405 # DEPENDENCYPART_ARC
(10,30),-0.812611 # DEPENDENCYPART_ARC
(11,1),-0.550421 # DEPENDENCYPART_ARC
(11,2),-0.957975 # DEPENDENCYPART_ARC
(11,3),-0.721943 # DEPENDENCYPART_ARC
(11,4),-0.852757 # DEPENDENCYPART_ARC
(11,5),-0.139025 # DEPENDENCYPART_ARC
(11,6),-1.22092 # DEPENDENCYPART_ARC
(11,7),0.365937 # DEPENDENCYPART_ARC
(11,8),-1.05951 # DEPENDENCYPART_ARC
(11,9),3.5214 # DEPENDENCYPART_ARC
(11,10),3.24148 # DEPENDENCYPART_ARC
(11,12),0.544502 # DEPENDENCYPART_ARC
(11,13),-0.610871 # DEPENDENCYPART_ARC
(11,14),0.036369 # DEPENDENCYPART_ARC
(11,15),-0.016555 # DEPENDENCYPART_ARC
(11,16),-0.223879 # DEPENDENCYPART_ARC
(11,17),-1.40186 # DEPENDENCYPART_ARC
(11,18),-0.753927 # DEPENDENCYPART_ARC
(11,19),-0.527424 # DEPENDENCYPART_ARC
(11,20),-0.260566 # DEPENDENCYPART_ARC
(11,21),0.206604 # DEPENDENCYPART_ARC
(11,22),-1.67255 # DEPENDENCYPART_ARC
(11,23),-0.76415 # DEPENDENCYPART_ARC
(11,24),-0.496435 # DEPENDENCYPART_ARC
(11,25),-0.588781 # DEPENDENCYPART_ARC
(11,26),0.454182 # DEPENDENCYPART_ARC
(11,27),-1.93192 # DEPENDENCYPART_ARC
(11,28),-2.76234 # DEPENDENCYPART_ARC
(11,29),-1.13603 # DEPENDENCYPART_ARC
(11,30),-0.542498 # DEPENDENCYPART_ARC
(12,1),-0.354531 # DEPENDENCYPART_ARC
(12,2),-0.488631 # DEPENDENCYPART_ARC
(12,3),-0.132037 # DEPENDENCYPART_ARC
(12,4),-0.308814 # DEPENDENCYPART_ARC
(12,5),-0.0393835 # DEPENDENCYPART_ARC
(12,6),-0.091939 # DEPENDENCYPART_ARC
(12,7),0.12674 # DEPENDENCYPART_ARC
(12,8),0.0114968 # DEPENDENCYPART_ARC
(12,9),0.194571 # DEPENDENCYPART_ARC
(12,10),0.0837323 # DEPENDENCYPART_ARC
(12,11),0.722245 # DEPENDENCYPART_ARC
(12,13),0.183232 # DEPENDENCYPART_ARC
(12,14),0.269451 # DEPENDENCYPART_ARC
(12,15),0.616624 # DEPENDENCYPART_ARC
(12,16),0.211986 # DEPENDENCYPART_ARC
(12,17),-0.579632 # DEPENDENCYPART_ARC
(12,18),-0.157392 # DEPENDENCYPART_ARC
(12,19),-0.0190498 # DEPENDENCYPART_ARC
(12,20),0.0163303 # DEPENDENCYPART_ARC
(12,21),0.356667 # DEPENDENCYPART_ARC
(12,22),-0.572301 # DEPENDENCYPART_ARC
(12,23),-0.252034 # DEPENDENCYPART_ARC
(12,24),0.181303 # DEPENDENCYPART_ARC
(12,25),0.790638 # DEPENDENCYPART_ARC
(12,26),-0.382285 # DEPENDENCYPART_ARC
(12,27),-0.688521 # DEPENDENCYPART_ARC
(12,28),-0.538054 # DEPENDENCYPART_ARC
(12,29),-1.0321 # DEPENDENCYPART_ARC
(12,30),0.0302036 # DEPENDENCYPART_ARC
(13,1),-1.83716 # DEPENDENCYPART_ARC
(13,2),-1.81598 # DEPENDENCYPART_ARC
(13,3),-1.65576 # DEPENDENCYPART_ARC
(13,4),-2.30965 # DEPENDENCYPART_ARC
(13,5),-1.50825 # DEPENDENCYPART_ARC
(13,6),-3.47215 # DEPENDENCYPART_ARC
(13,7),-1.33199 # DEPENDENCYPART_ARC
(13,8),-3.19222 # DEPENDENCYPART_ARC
(13,9),-1.16758 # DEPENDENCYPART_ARC
(13,10),-0.797732 # DEPENDENCYPART_ARC
(13,11),-1.16003 # DEPENDENCYPART_ARC
(13,12),-0.188197 # DEPENDENCYPART_ARC
(13,14),0.0798349 # DEPENDENCYPART_ARC
(13,15),-0.152896 # DEPENDENCYPART_ARC
(13,16),-0.157462 # DEPENDENCYPART_ARC
(13,17),-1.00365 # DEPENDENCYPART_ARC
(13,18),-0.962781 # DEPENDENCYPART_ARC
(13,19),-1.00637 # DEPENDENCYPART_ARC
(13,20),-1.08102 # DEPENDENCYPART_ARC
(13,21),-0.419355 # DEPENDENCYPART_ARC
(13,22),-1.30429 # DEPENDENCYPART_ARC
(13,23),-1.13384 # DEPENDENCYPART_ARC
(13,24),-1.21846 # DEPENDENCYPART_ARC
(13,25),-0.545595 # DEPENDENCYPART_ARC
(13,26),-0.909507 # DEPENDENCYPART_ARC
(13,27),-1.20537 # DEPENDENCYPART_ARC
(13,28),-1.37932 # DEPENDENCYPART_ARC
(13,29),-2.37308 # DEPENDENCYPART_ARC
(13,30),-0.591755 # DEPENDENCYPART_ARC
(14,1),-1.83676 # DEPENDENCYPART_ARC
(14,2),-1.86251 # DEPENDENCYPART_ARC
(14,3),-1.54395 # DEPENDENCYPART_ARC
(14,4),-1.84278 # DEPENDENCYPART_ARC
(14,5),-1.22003 # DEPENDENCYPART_ARC
(14,6),-1.74495 # DEPENDENCYPART_ARC
(14,7),-1.12174 # DEPENDENCYPART_ARC
(14,8),-1.51023 # DEPENDENCYPART_ARC
(14,9),-0.301643 # DEPENDENCYPART_ARC
(14,10),-0.518216 # DEPENDENCYPART_ARC
(14,11),-0.905643 # DEPENDENCYPART_ARC
(14,12),-0.416869 # DEPENDENCYPART_ARC
(14,13),1.40305 # DEPENDENCYPART_ARC
(14,15),0.459354 # DEPENDENCYPART_ARC
(14,16),-0.343419 # DEPENDENCYPART_ARC
(14,17),-0.895543 # DEPENDENCYPART_ARC
(14,18),-0.707424 # DEPENDENCYPART_ARC
(14,19),-0.722229 # DEPENDENCYPART_ARC
(14,20),-0.800105 # DEPENDENCYPART_ARC
(14,21),-0.815741 # DEPENDENCYPART_ARC
(14,22),-1.38322 # DEPENDENCYPART_ARC
(14,23),-0.621824 # DEPENDENCYPART_ARC
(14,24),-0.474444 # DEPENDENCYPART_ARC
(14,25),-0.581505 # DEPENDENCYPART_ARC
(14,26),-0.957422 # DEPENDENCYPART_ARC
(14,27),-1.54426 # DEPENDENCYPART_ARC
(14,28),-1.2692 # DEPENDENCYPART_ARC
(14,29),-1.46315 # DEPENDENCYPART_ARC
(14,30),-0.67124 # DEPENDENCYPART_ARC
(15,1),-0.424013 # DEPENDENCYPART_ARC
(15,2),-1.02186 # DEPENDENCYPART_ARC
(15,3),-0.965903 # DEPENDENCYPART_ARC
(15,4),-2.57204 # DEPENDENCYPART_ARC
(15,5),-0.365473 # DEPENDENCYPART_ARC
(15,6),-1.82237 # DEPENDENCYPART_ARC
(15,7),-0.210377 # DEPENDENCYPART_ARC
(15,8),-1.75195 # DEPENDENCYPART_ARC
(15,9),-0.211723 # DEPENDENCYPART_ARC
(15,10),0.844928 # DEPENDENCYPART_ARC
(15,11),-0.522191 # DEPENDENCYPART_ARC
(15,12),0.530487 # DEPENDENCYPART_ARC
(15,13),2.8514 # DEPENDENCYPART_ARC
(15,14),2.04106 # DEPENDENCYPART_ARC
(15,16),-0.531597 # DEPENDENCYPART_ARC
(15,17),-1.4068 # DEPENDENCYPART_ARC
(15,18),-1.02853 # DEPENDENCYPART_ARC
(15,19),-1.01775 # DEPENDENCYPART_ARC
(15,20),-0.852888 # DEPENDENCYPART_ARC
(15,21),-0.751059 # DEPENDENCYPART_ARC
(15,22),-2.30696 # DEPENDENCYPART_ARC
(15,23),-1.46913 # DEPENDENCYPART_ARC
(15,24),-1.2445 # DEPENDENCYPART_ARC
(15,25),-1.36657 # DEPENDENCYPART_ARC
(15,26),-0.422114 # DEPENDENCYPART_ARC
(15,27),-2.43129 # DEPENDENCYPART_ARC
(15,28),-3.00824 # DEPENDENCYPART_ARC
(15,29),-1.95152 # DEPENDENCYPART_ARC
(15,30),-1.42659 # DEPENDENCYPART_ARC
(16,1),-0.368553 # DEPENDENCYPART_ARC
(16,2),-0.591166 # DEPENDENCYPART_ARC
(16,3),-0.455693 # DEPENDENCYPART_ARC
(16,4),-0.396727 # DEPENDENCYPART_ARC
(16,5),0.0871515 # DEPENDENCYPART_ARC
(16,6),-0.413779 # DEPENDENCYPART_ARC
(16,7),0.414515 # DEPENDENCYPART_ARC
(16,8),-0.132162 # DEPENDENCYPART_ARC
(16,9),-0.13884 # DEPENDENCYPART_ARC
(16,10),0.11053 # DEPENDENCYPART_ARC
(16,11),0.317818 # DEPENDENCYPART_ARC
(16,12),0.192068 # DEPENDENCYPART_ARC
(16,13),0.289609 # DEPENDENCYPART_ARC
(16,14),0.0920754 # DEPENDENCYPART_ARC
(16,15),0.85163 # DEPENDENCYPART_ARC
(16,17),0.0402023 # DEPENDENCYPART_ARC
(16,18),0.0812936 # DEPENDENCYPART_ARC
(16,19),0.285468 # DEPENDENCYPART_ARC
(16,20),0.21983 # DEPENDENCYPART_ARC
(16,21),0.342252 # DEPENDENCYPART_ARC
(16,22),-0.650426 # DEPENDENCYPART_ARC
(16,23),-0.0855285 # DEPENDENCYPART_ARC
(16,24),0.410411 # DEPENDENCYPART_ARC
(16,25),0.351787 # DEPENDENCYPART_ARC
(16,26),-0.376607 # DEPENDENCYPART_ARC
(16,27),-0.903824 # DEPENDENCYPART_ARC
(16,28),-0.364714 # DEPENDENCYPART_ARC
(16,29),-1.26541 # DEPENDENCYPART_ARC
(16,30),-0.219658 # DEPENDENCYPART_ARC
(17,1),-1.69537 # DEPENDENCYPART_ARC
(17,2),-1.69254 # DEPENDENCYPART_ARC
(17,3),-1.55201 # DEPENDENCYPART_ARC
(17,4),-2.33875 # DEPENDENCYPART_ARC
(17,5),-1.41267 # DEPENDENCYPART_ARC
(17,6),-3.36975 # DEPENDENCYPART_ARC
(17,7),-1.3266 # DEPENDENCYPART_ARC
(17,8),-3.11041 # DEPENDENCYPART_ARC
(17,9),-1.38176 # DEPENDENCYPART_ARC
