# _root_ 2580/2001 , χωρίς να υπάρχει προηγούμενη διαβούλευση με το Ευρωπαϊκό Κοινοβούλιο , το οποίο είχε εκφράσει την επιθυμία του να αποφανθεί σχετικά με αυτό το ζήτημα .
#goldHeads=0,3,0,5,3,7,5,7,11,11,8,5,14,16,16,11,18,16,18,21,18,21,22,26,26,23,0,
#predictedHeads=2,3,5,5,0,7,5,7,11,11,8,16,14,16,16,11,18,16,18,21,18,21,22,26,26,23,0,
(19,14),-1.55202 # DEPENDENCYPART_ARC
(19,15),-2.56876 # DEPENDENCYPART_ARC
(19,16),-2.11048 # DEPENDENCYPART_ARC
(19,17),-0.0175458 # DEPENDENCYPART_ARC
(19,18),-1.79085 # DEPENDENCYPART_ARC
(19,20),0.25327 # DEPENDENCYPART_ARC
(19,21),-1.12503 # DEPENDENCYPART_ARC
(19,22),-0.651911 # DEPENDENCYPART_ARC
(19,23),-0.741499 # DEPENDENCYPART_ARC
(19,24),-1.25884 # DEPENDENCYPART_ARC
(19,25),-2.16639 # DEPENDENCYPART_ARC
(19,26),-2.03218 # DEPENDENCYPART_ARC
(19,27),-0.785216 # DEPENDENCYPART_ARC
(20,1),-1.26095 # DEPENDENCYPART_ARC
(20,2),-1.28092 # DEPENDENCYPART_ARC
(20,3),-1.16521 # DEPENDENCYPART_ARC
(20,4),-1.22687 # DEPENDENCYPART_ARC
(20,5),-1.54892 # DEPENDENCYPART_ARC
(20,6),-1.72251 # DEPENDENCYPART_ARC
(20,7),-1.65872 # DEPENDENCYPART_ARC
(20,8),-1.07092 # DEPENDENCYPART_ARC
(20,9),-1.03472 # DEPENDENCYPART_ARC
(20,10),-1.6113 # DEPENDENCYPART_ARC
(20,11),-1.44741 # DEPENDENCYPART_ARC
(20,12),-1.06585 # DEPENDENCYPART_ARC
(20,13),-0.883847 # DEPENDENCYPART_ARC
(20,14),-1.2934 # DEPENDENCYPART_ARC
(20,15),-1.24723 # DEPENDENCYPART_ARC
(20,16),-0.996463 # DEPENDENCYPART_ARC
(20,17),-0.120871 # DEPENDENCYPART_ARC
(20,18),-0.591777 # DEPENDENCYPART_ARC
(20,19),0.324129 # DEPENDENCYPART_ARC
(20,21),0.332391 # DEPENDENCYPART_ARC
(20,22),-0.572293 # DEPENDENCYPART_ARC
(20,23),-0.680367 # DEPENDENCYPART_ARC
(20,24),-1.374 # DEPENDENCYPART_ARC
(20,25),-1.31722 # DEPENDENCYPART_ARC
(20,26),-1.36693 # DEPENDENCYPART_ARC
(20,27),-0.500681 # DEPENDENCYPART_ARC
(21,1),-0.973827 # DEPENDENCYPART_ARC
(21,2),-0.884153 # DEPENDENCYPART_ARC
(21,3),-0.484332 # DEPENDENCYPART_ARC
(21,4),-0.944746 # DEPENDENCYPART_ARC
(21,5),-3.42219 # DEPENDENCYPART_ARC
(21,6),-3.02618 # DEPENDENCYPART_ARC
(21,7),0.0249733 # DEPENDENCYPART_ARC
(21,8),-0.63761 # DEPENDENCYPART_ARC
(21,9),-2.09684 # DEPENDENCYPART_ARC
(21,10),-2.38013 # DEPENDENCYPART_ARC
(21,11),-2.07631 # DEPENDENCYPART_ARC
(21,12),-0.556075 # DEPENDENCYPART_ARC
(21,13),-1.75334 # DEPENDENCYPART_ARC
(21,14),-0.151346 # DEPENDENCYPART_ARC
(21,15),-2.12907 # DEPENDENCYPART_ARC
(21,16),-3.92134 # DEPENDENCYPART_ARC
(21,17),-1.62816 # DEPENDENCYPART_ARC
(21,18),-0.387474 # DEPENDENCYPART_ARC
(21,19),-1.85141 # DEPENDENCYPART_ARC
(21,20),2.3101 # DEPENDENCYPART_ARC
(21,22),1.92043 # DEPENDENCYPART_ARC
(21,23),1.38036 # DEPENDENCYPART_ARC
(21,24),-0.731063 # DEPENDENCYPART_ARC
(21,25),-1.25798 # DEPENDENCYPART_ARC
(21,26),0.674123 # DEPENDENCYPART_ARC
(21,27),0.460011 # DEPENDENCYPART_ARC
(22,1),-1.187 # DEPENDENCYPART_ARC
(22,2),-0.490251 # DEPENDENCYPART_ARC
(22,3),-0.911672 # DEPENDENCYPART_ARC
(22,4),-0.65528 # DEPENDENCYPART_ARC
(22,5),-1.16977 # DEPENDENCYPART_ARC
(22,6),-1.55048 # DEPENDENCYPART_ARC
(22,7),-1.44212 # DEPENDENCYPART_ARC
(22,8),-0.988836 # DEPENDENCYPART_ARC
(22,9),-1.09724 # DEPENDENCYPART_ARC
(22,10),-1.10792 # DEPENDENCYPART_ARC
(22,11),-1.27915 # DEPENDENCYPART_ARC
(22,12),-0.529468 # DEPENDENCYPART_ARC
(22,13),-0.870785 # DEPENDENCYPART_ARC
(22,14),-1.30269 # DEPENDENCYPART_ARC
(22,15),-1.11523 # DEPENDENCYPART_ARC
(22,16),-1.37069 # DEPENDENCYPART_ARC
(22,17),-0.770389 # DEPENDENCYPART_ARC
(22,18),-1.00883 # DEPENDENCYPART_ARC
(22,19),-1.01722 # DEPENDENCYPART_ARC
(22,20),0.293618 # DEPENDENCYPART_ARC
(22,21),-0.334113 # DEPENDENCYPART_ARC
(22,23),1.89784 # DEPENDENCYPART_ARC
(22,24),0.205696 # DEPENDENCYPART_ARC
(22,25),-0.37012 # DEPENDENCYPART_ARC
(22,26),-0.290615 # DEPENDENCYPART_ARC
(22,27),-0.186284 # DEPENDENCYPART_ARC
(23,1),-1.12305 # DEPENDENCYPART_ARC
(23,2),-0.911184 # DEPENDENCYPART_ARC
(23,3),-0.832181 # DEPENDENCYPART_ARC
(23,4),-0.92492 # DEPENDENCYPART_ARC
(23,5),-1.32499 # DEPENDENCYPART_ARC
(23,6),-1.5857 # DEPENDENCYPART_ARC
(23,7),-1.75985 # DEPENDENCYPART_ARC
(23,8),-0.690681 # DEPENDENCYPART_ARC
(23,9),-1.14819 # DEPENDENCYPART_ARC
(23,10),-1.56716 # DEPENDENCYPART_ARC
(23,11),-1.65643 # DEPENDENCYPART_ARC
(23,12),-0.621513 # DEPENDENCYPART_ARC
(23,13),-1.05405 # DEPENDENCYPART_ARC
(23,14),-1.23312 # DEPENDENCYPART_ARC
(23,15),-1.24824 # DEPENDENCYPART_ARC
(23,16),-1.1087 # DEPENDENCYPART_ARC
(23,17),-0.769212 # DEPENDENCYPART_ARC
(23,18),-1.22264 # DEPENDENCYPART_ARC
(23,19),-0.822804 # DEPENDENCYPART_ARC
(23,20),-0.268345 # DEPENDENCYPART_ARC
(23,21),-0.250629 # DEPENDENCYPART_ARC
(23,22),0.404911 # DEPENDENCYPART_ARC
(23,24),1.81527 # DEPENDENCYPART_ARC
(23,25),0.10838 # DEPENDENCYPART_ARC
(23,26),1.61449 # DEPENDENCYPART_ARC
(23,27),0.156535 # DEPENDENCYPART_ARC
(24,1),-2.16244 # DEPENDENCYPART_ARC
(24,2),-2.0579 # DEPENDENCYPART_ARC
(24,3),-2.13622 # DEPENDENCYPART_ARC
(24,4),-1.9668 # DEPENDENCYPART_ARC
(24,5),-3.95583 # DEPENDENCYPART_ARC
(24,6),-3.42837 # DEPENDENCYPART_ARC
(24,7),-3.49086 # DEPENDENCYPART_ARC
(24,8),-2.03358 # DEPENDENCYPART_ARC
(24,9),-2.24904 # DEPENDENCYPART_ARC
(24,10),-3.5053 # DEPENDENCYPART_ARC
(24,11),-3.46573 # DEPENDENCYPART_ARC
(24,12),-1.85999 # DEPENDENCYPART_ARC
(24,13),-1.67448 # DEPENDENCYPART_ARC
(24,14),-1.97413 # DEPENDENCYPART_ARC
(24,15),-3.69358 # DEPENDENCYPART_ARC
(24,16),-3.62711 # DEPENDENCYPART_ARC
(24,17),-1.83501 # DEPENDENCYPART_ARC
(24,18),-3.34157 # DEPENDENCYPART_ARC
(24,19),-1.77208 # DEPENDENCYPART_ARC
(24,20),-1.49601 # DEPENDENCYPART_ARC
(24,21),-3.17148 # DEPENDENCYPART_ARC
(24,22),-0.411454 # DEPENDENCYPART_ARC
(24,23),-0.319127 # DEPENDENCYPART_ARC
(24,25),-0.148359 # DEPENDENCYPART_ARC
(24,26),0.256771 # DEPENDENCYPART_ARC
(24,27),0.306717 # DEPENDENCYPART_ARC
(25,1),-1.79122 # DEPENDENCYPART_ARC
(25,2),-1.88855 # DEPENDENCYPART_ARC
(25,3),-1.72238 # DEPENDENCYPART_ARC
(25,4),-1.71475 # DEPENDENCYPART_ARC
(25,5),-3.30211 # DEPENDENCYPART_ARC
(25,6),-2.84472 # DEPENDENCYPART_ARC
(25,7),-2.54338 # DEPENDENCYPART_ARC
(25,8),-1.59664 # DEPENDENCYPART_ARC
(25,9),-1.18463 # DEPENDENCYPART_ARC
(25,10),-2.11181 # DEPENDENCYPART_ARC
(25,11),-1.93291 # DEPENDENCYPART_ARC
(25,12),-1.78138 # DEPENDENCYPART_ARC
(25,13),-1.38385 # DEPENDENCYPART_ARC
(25,14),-0.723783 # DEPENDENCYPART_ARC
(25,15),-3.27539 # DEPENDENCYPART_ARC
(25,16),-2.85433 # DEPENDENCYPART_ARC
(25,17),-1.40471 # DEPENDENCYPART_ARC
(25,18),-1.94031 # DEPENDENCYPART_ARC
(25,19),-1.39177 # DEPENDENCYPART_ARC
(25,20),-1.22625 # DEPENDENCYPART_ARC
(25,21),-2.57783 # DEPENDENCYPART_ARC
(25,22),-0.579267 # DEPENDENCYPART_ARC
(25,23),-0.537997 # DEPENDENCYPART_ARC
(25,24),1.11074 # DEPENDENCYPART_ARC
(25,26),0.250085 # DEPENDENCYPART_ARC
(25,27),-0.446384 # DEPENDENCYPART_ARC
(26,1),-1.6406 # DEPENDENCYPART_ARC
(26,2),-1.20067 # DEPENDENCYPART_ARC
(26,3),-1.16729 # DEPENDENCYPART_ARC
(26,4),-1.03028 # DEPENDENCYPART_ARC
(26,5),-3.20582 # DEPENDENCYPART_ARC
(26,6),-2.83005 # DEPENDENCYPART_ARC
(26,7),-3.42048 # DEPENDENCYPART_ARC
(26,8),-1.21619 # DEPENDENCYPART_ARC
(26,9),-2.20807 # DEPENDENCYPART_ARC
(26,10),-0.980592 # DEPENDENCYPART_ARC
(26,11),-2.07913 # DEPENDENCYPART_ARC
(26,12),-1.29231 # DEPENDENCYPART_ARC
(26,13),-2.15692 # DEPENDENCYPART_ARC
(26,14),-0.879162 # DEPENDENCYPART_ARC
(26,15),-2.61885 # DEPENDENCYPART_ARC
(26,16),-2.82573 # DEPENDENCYPART_ARC
(26,17),-0.989828 # DEPENDENCYPART_ARC
(26,18),-1.77403 # DEPENDENCYPART_ARC
(26,19),-1.27 # DEPENDENCYPART_ARC
(26,20),-0.460844 # DEPENDENCYPART_ARC
(26,21),-1.48307 # DEPENDENCYPART_ARC
(26,22),-0.0459666 # DEPENDENCYPART_ARC
(26,23),0.0770578 # DEPENDENCYPART_ARC
(26,24),3.69966 # DEPENDENCYPART_ARC
(26,25),3.62001 # DEPENDENCYPART_ARC
(26,27),0.311557 # DEPENDENCYPART_ARC
(27,1),-2.51919 # DEPENDENCYPART_ARC
(27,2),-3.07173 # DEPENDENCYPART_ARC
(27,3),-3.08141 # DEPENDENCYPART_ARC
(27,4),-1.86923 # DEPENDENCYPART_ARC
(27,5),-2.37966 # DEPENDENCYPART_ARC
(27,6),-2.54538 # DEPENDENCYPART_ARC
(27,7),-3.23703 # DEPENDENCYPART_ARC
(27,8),-2.55257 # DEPENDENCYPART_ARC
(27,9),-2.42303 # DEPENDENCYPART_ARC
(27,10),-2.45103 # DEPENDENCYPART_ARC
(27,11),-3.30934 # DEPENDENCYPART_ARC
(27,12),-2.66414 # DEPENDENCYPART_ARC
(27,13),-2.40192 # DEPENDENCYPART_ARC
(27,14),-2.0397 # DEPENDENCYPART_ARC
(27,15),-2.19086 # DEPENDENCYPART_ARC
(27,16),-2.14925 # DEPENDENCYPART_ARC
(27,17),-2.19034 # DEPENDENCYPART_ARC
(27,18),-2.44246 # DEPENDENCYPART_ARC
(27,19),-2.02092 # DEPENDENCYPART_ARC
(27,20),-1.51079 # DEPENDENCYPART_ARC
(27,21),-1.94018 # DEPENDENCYPART_ARC
(27,22),-1.7179 # DEPENDENCYPART_ARC
(27,23),-1.67203 # DEPENDENCYPART_ARC
(27,24),-1.6567 # DEPENDENCYPART_ARC
(27,25),-1.41294 # DEPENDENCYPART_ARC
(27,26),-1.73536 # DEPENDENCYPART_ARC
