# _root_ Επομένως όταν οι άνθρωποι βρίσκονται κοντά σε πηγές , ο οργανισμός τους αντιδρά , αυξάνοντας τον καρδιακό παλμό και την αρτηριακή πίεση ή προκαλώντας ορμονικές αλλαγές .
#goldHeads=13,13,4,5,2,5,6,7,2,11,13,11,0,23,23,18,18,19,15,22,22,19,13,23,26,24,0,
#predictedHeads=5,13,4,5,2,5,5,7,13,11,13,11,0,13,13,18,18,15,15,22,22,19,15,23,26,24,0,
(7,16),-1.81794 # DEPENDENCYPART_ARC
(7,17),-1.40789 # DEPENDENCYPART_ARC
(7,18),-2.71884 # DEPENDENCYPART_ARC
(7,19),-0.848709 # DEPENDENCYPART_ARC
(7,20),-1.94142 # DEPENDENCYPART_ARC
(7,21),-1.66949 # DEPENDENCYPART_ARC
(7,22),-3.65504 # DEPENDENCYPART_ARC
(7,23),-1.14971 # DEPENDENCYPART_ARC
(7,24),-2.45008 # DEPENDENCYPART_ARC
(7,25),-1.82275 # DEPENDENCYPART_ARC
(7,26),-4.18641 # DEPENDENCYPART_ARC
(7,27),-1.20036 # DEPENDENCYPART_ARC
(8,1),-1.57924 # DEPENDENCYPART_ARC
(8,2),-1.42514 # DEPENDENCYPART_ARC
(8,3),-1.51835 # DEPENDENCYPART_ARC
(8,4),-2.3932 # DEPENDENCYPART_ARC
(8,5),-2.41356 # DEPENDENCYPART_ARC
(8,6),-0.204302 # DEPENDENCYPART_ARC
(8,7),0.332831 # DEPENDENCYPART_ARC
(8,9),0.466357 # DEPENDENCYPART_ARC
(8,10),-0.621922 # DEPENDENCYPART_ARC
(8,11),-0.954847 # DEPENDENCYPART_ARC
(8,12),0.55615 # DEPENDENCYPART_ARC
(8,13),0.544161 # DEPENDENCYPART_ARC
(8,14),-0.531497 # DEPENDENCYPART_ARC
(8,15),-1.83456 # DEPENDENCYPART_ARC
(8,16),-1.92564 # DEPENDENCYPART_ARC
(8,17),-1.72008 # DEPENDENCYPART_ARC
(8,18),-2.44249 # DEPENDENCYPART_ARC
(8,19),-0.20675 # DEPENDENCYPART_ARC
(8,20),-1.95439 # DEPENDENCYPART_ARC
(8,21),-1.59434 # DEPENDENCYPART_ARC
(8,22),-3.26074 # DEPENDENCYPART_ARC
(8,23),-0.502111 # DEPENDENCYPART_ARC
(8,24),-3.16884 # DEPENDENCYPART_ARC
(8,25),-1.40296 # DEPENDENCYPART_ARC
(8,26),-4.03025 # DEPENDENCYPART_ARC
(8,27),-0.698128 # DEPENDENCYPART_ARC
(9,1),-0.392609 # DEPENDENCYPART_ARC
(9,2),-0.209489 # DEPENDENCYPART_ARC
(9,3),-0.476559 # DEPENDENCYPART_ARC
(9,4),-0.490685 # DEPENDENCYPART_ARC
(9,5),-0.166617 # DEPENDENCYPART_ARC
(9,6),0.148544 # DEPENDENCYPART_ARC
(9,7),0.234743 # DEPENDENCYPART_ARC
(9,8),0.871235 # DEPENDENCYPART_ARC
(9,10),-0.128062 # DEPENDENCYPART_ARC
(9,11),0.271463 # DEPENDENCYPART_ARC
(9,12),-0.827955 # DEPENDENCYPART_ARC
(9,13),-0.147492 # DEPENDENCYPART_ARC
(9,14),-0.199572 # DEPENDENCYPART_ARC
(9,15),-0.872919 # DEPENDENCYPART_ARC
(9,16),-1.33515 # DEPENDENCYPART_ARC
(9,17),-1.12007 # DEPENDENCYPART_ARC
(9,18),-1.06383 # DEPENDENCYPART_ARC
(9,19),-0.344203 # DEPENDENCYPART_ARC
(9,20),-1.47257 # DEPENDENCYPART_ARC
(9,21),-1.21655 # DEPENDENCYPART_ARC
(9,22),-1.22811 # DEPENDENCYPART_ARC
(9,23),-0.162601 # DEPENDENCYPART_ARC
(9,24),-0.681677 # DEPENDENCYPART_ARC
(9,25),-1.44135 # DEPENDENCYPART_ARC
(9,26),-1.31063 # DEPENDENCYPART_ARC
(9,27),-0.445649 # DEPENDENCYPART_ARC
(10,1),-1.48487 # DEPENDENCYPART_ARC
(10,2),-1.48185 # DEPENDENCYPART_ARC
(10,3),-1.50758 # DEPENDENCYPART_ARC
(10,4),-1.89916 # DEPENDENCYPART_ARC
(10,5),-3.34661 # DEPENDENCYPART_ARC
(10,6),-1.07678 # DEPENDENCYPART_ARC
(10,7),-0.849741 # DEPENDENCYPART_ARC
(10,8),-1.69519 # DEPENDENCYPART_ARC
(10,9),-0.395196 # DEPENDENCYPART_ARC
(10,11),-0.0433308 # DEPENDENCYPART_ARC
(10,12),-0.974198 # DEPENDENCYPART_ARC
(10,13),-2.62017 # DEPENDENCYPART_ARC
(10,14),-0.844889 # DEPENDENCYPART_ARC
(10,15),-2.85291 # DEPENDENCYPART_ARC
(10,16),-2.00801 # DEPENDENCYPART_ARC
(10,17),-2.51225 # DEPENDENCYPART_ARC
(10,18),-2.15618 # DEPENDENCYPART_ARC
(10,19),-0.926626 # DEPENDENCYPART_ARC
(10,20),-2.05817 # DEPENDENCYPART_ARC
(10,21),-2.75795 # DEPENDENCYPART_ARC
(10,22),-2.30728 # DEPENDENCYPART_ARC
(10,23),-1.10345 # DEPENDENCYPART_ARC
(10,24),-3.23023 # DEPENDENCYPART_ARC
(10,25),-2.83311 # DEPENDENCYPART_ARC
(10,26),-2.66207 # DEPENDENCYPART_ARC
(10,27),-1.23766 # DEPENDENCYPART_ARC
(11,1),-1.36076 # DEPENDENCYPART_ARC
(11,2),-1.45282 # DEPENDENCYPART_ARC
(11,3),-1.83149 # DEPENDENCYPART_ARC
(11,4),-2.26341 # DEPENDENCYPART_ARC
(11,5),-2.74897 # DEPENDENCYPART_ARC
(11,6),-0.71646 # DEPENDENCYPART_ARC
(11,7),-0.907199 # DEPENDENCYPART_ARC
(11,8),-2.49125 # DEPENDENCYPART_ARC
(11,9),-0.232643 # DEPENDENCYPART_ARC
(11,10),3.08485 # DEPENDENCYPART_ARC
(11,12),3.14775 # DEPENDENCYPART_ARC
(11,13),1.63139 # DEPENDENCYPART_ARC
(11,14),0.340637 # DEPENDENCYPART_ARC
(11,15),0.134749 # DEPENDENCYPART_ARC
(11,16),-1.4416 # DEPENDENCYPART_ARC
(11,17),-1.30762 # DEPENDENCYPART_ARC
(11,18),-0.817857 # DEPENDENCYPART_ARC
(11,19),0.000265609 # DEPENDENCYPART_ARC
(11,20),-1.63983 # DEPENDENCYPART_ARC
(11,21),-1.46636 # DEPENDENCYPART_ARC
(11,22),-1.53089 # DEPENDENCYPART_ARC
(11,23),-0.175393 # DEPENDENCYPART_ARC
(11,24),-1.67266 # DEPENDENCYPART_ARC
(11,25),-1.78075 # DEPENDENCYPART_ARC
(11,26),-2.41143 # DEPENDENCYPART_ARC
(11,27),-0.233323 # DEPENDENCYPART_ARC
(12,1),-1.59371 # DEPENDENCYPART_ARC
(12,2),-1.22341 # DEPENDENCYPART_ARC
(12,3),-0.750029 # DEPENDENCYPART_ARC
(12,4),-2.19191 # DEPENDENCYPART_ARC
(12,5),-2.86258 # DEPENDENCYPART_ARC
(12,6),-1.28749 # DEPENDENCYPART_ARC
(12,7),-1.03211 # DEPENDENCYPART_ARC
(12,8),-2.40412 # DEPENDENCYPART_ARC
(12,9),-0.561298 # DEPENDENCYPART_ARC
(12,10),0.330268 # DEPENDENCYPART_ARC
(12,11),-1.23157 # DEPENDENCYPART_ARC
(12,13),-2.02873 # DEPENDENCYPART_ARC
(12,14),-1.23811 # DEPENDENCYPART_ARC
(12,15),-2.27861 # DEPENDENCYPART_ARC
(12,16),-2.71734 # DEPENDENCYPART_ARC
(12,17),-2.54074 # DEPENDENCYPART_ARC
(12,18),-2.83591 # DEPENDENCYPART_ARC
(12,19),-1.3755 # DEPENDENCYPART_ARC
(12,20),-3.61238 # DEPENDENCYPART_ARC
(12,21),-3.59514 # DEPENDENCYPART_ARC
(12,22),-3.69417 # DEPENDENCYPART_ARC
(12,23),-1.52689 # DEPENDENCYPART_ARC
(12,24),-3.38885 # DEPENDENCYPART_ARC
(12,25),-3.38639 # DEPENDENCYPART_ARC
(12,26),-3.96509 # DEPENDENCYPART_ARC
(12,27),-1.77455 # DEPENDENCYPART_ARC
(13,1),0.632746 # DEPENDENCYPART_ARC
(13,2),1.2148 # DEPENDENCYPART_ARC
(13,3),-2.02751 # DEPENDENCYPART_ARC
(13,4),0.699899 # DEPENDENCYPART_ARC
(13,5),-1.56607 # DEPENDENCYPART_ARC
(13,6),0.687083 # DEPENDENCYPART_ARC
(13,7),0.691025 # DEPENDENCYPART_ARC
(13,8),-1.39594 # DEPENDENCYPART_ARC
(13,9),1.47099 # DEPENDENCYPART_ARC
(13,10),-0.597639 # DEPENDENCYPART_ARC
(13,11),2.28128 # DEPENDENCYPART_ARC
(13,12),0.279615 # DEPENDENCYPART_ARC
(13,14),1.07456 # DEPENDENCYPART_ARC
(13,15),4.90855 # DEPENDENCYPART_ARC
(13,16),-1.88129 # DEPENDENCYPART_ARC
(13,17),-2.03744 # DEPENDENCYPART_ARC
(13,18),0.745743 # DEPENDENCYPART_ARC
(13,19),-0.0749879 # DEPENDENCYPART_ARC
(13,20),-2.13291 # DEPENDENCYPART_ARC
(13,21),-3.02547 # DEPENDENCYPART_ARC
(13,22),-0.310073 # DEPENDENCYPART_ARC
(13,23),-0.188495 # DEPENDENCYPART_ARC
(13,24),0.198608 # DEPENDENCYPART_ARC
(13,25),-3.17722 # DEPENDENCYPART_ARC
(13,26),-1.0354 # DEPENDENCYPART_ARC
(13,27),-0.0585343 # DEPENDENCYPART_ARC
(14,1),-0.900649 # DEPENDENCYPART_ARC
(14,2),-0.634338 # DEPENDENCYPART_ARC
(14,3),-1.02352 # DEPENDENCYPART_ARC
(14,4),-1.26732 # DEPENDENCYPART_ARC
(14,5),-0.54161 # DEPENDENCYPART_ARC
(14,6),-0.710045 # DEPENDENCYPART_ARC
(14,7),-0.56178 # DEPENDENCYPART_ARC
(14,8),-0.59478 # DEPENDENCYPART_ARC
(14,9),-0.589258 # DEPENDENCYPART_ARC
(14,10),-0.552591 # DEPENDENCYPART_ARC
(14,11),-0.360382 # DEPENDENCYPART_ARC
(14,12),-0.419228 # DEPENDENCYPART_ARC
(14,13),0.0886359 # DEPENDENCYPART_ARC
(14,15),-0.0625573 # DEPENDENCYPART_ARC
(14,16),-1.29375 # DEPENDENCYPART_ARC
(14,17),-0.901003 # DEPENDENCYPART_ARC
(14,18),-1.09961 # DEPENDENCYPART_ARC
(14,19),-0.966408 # DEPENDENCYPART_ARC
(14,20),-1.64411 # DEPENDENCYPART_ARC
(14,21),-1.41766 # DEPENDENCYPART_ARC
(14,22),-1.66822 # DEPENDENCYPART_ARC
(14,23),-0.694981 # DEPENDENCYPART_ARC
(14,24),-0.984604 # DEPENDENCYPART_ARC
(14,25),-1.56214 # DEPENDENCYPART_ARC
(14,26),-1.87747 # DEPENDENCYPART_ARC
(14,27),-0.798799 # DEPENDENCYPART_ARC
(15,1),-0.134224 # DEPENDENCYPART_ARC
(15,2),0.871817 # DEPENDENCYPART_ARC
(15,3),-2.08696 # DEPENDENCYPART_ARC
(15,4),-0.936877 # DEPENDENCYPART_ARC
(15,5),-4.0188 # DEPENDENCYPART_ARC
(15,6),-0.365213 # DEPENDENCYPART_ARC
(15,7),-0.275652 # DEPENDENCYPART_ARC
(15,8),-1.99412 # DEPENDENCYPART_ARC
(15,9),0.308602 # DEPENDENCYPART_ARC
(15,10),-1.67791 # DEPENDENCYPART_ARC
(15,11),-0.377165 # DEPENDENCYPART_ARC
(15,12),-3.50363 # DEPENDENCYPART_ARC
(15,13),-1.03461 # DEPENDENCYPART_ARC
(15,14),0.733902 # DEPENDENCYPART_ARC
(15,16),-0.0695953 # DEPENDENCYPART_ARC
(15,17),0.307419 # DEPENDENCYPART_ARC
(15,18),2.18118 # DEPENDENCYPART_ARC
(15,19),0.737215 # DEPENDENCYPART_ARC
(15,20),-0.967016 # DEPENDENCYPART_ARC
(15,21),-1.75074 # DEPENDENCYPART_ARC
(15,22),1.07364 # DEPENDENCYPART_ARC
(15,23),0.643101 # DEPENDENCYPART_ARC
(15,24),-0.498544 # DEPENDENCYPART_ARC
(15,25),-2.64674 # DEPENDENCYPART_ARC
(15,26),0.138769 # DEPENDENCYPART_ARC
(15,27),0.260201 # DEPENDENCYPART_ARC
(16,1),-1.46809 # DEPENDENCYPART_ARC
(16,2),-1.53344 # DEPENDENCYPART_ARC
(16,3),-2.17802 # DEPENDENCYPART_ARC
(16,4),-2.38059 # DEPENDENCYPART_ARC
(16,5),-3.49456 # DEPENDENCYPART_ARC
(16,6),-1.43191 # DEPENDENCYPART_ARC
(16,7),-1.30748 # DEPENDENCYPART_ARC
(16,8),-2.31128 # DEPENDENCYPART_ARC
(16,9),-1.46924 # DEPENDENCYPART_ARC
(16,10),-1.38714 # DEPENDENCYPART_ARC
(16,11),-1.69128 # DEPENDENCYPART_ARC
(16,12),-1.99799 # DEPENDENCYPART_ARC
(16,13),-3.06577 # DEPENDENCYPART_ARC
(16,14),-0.793992 # DEPENDENCYPART_ARC
(16,15),-1.64601 # DEPENDENCYPART_ARC
(16,17),-0.436756 # DEPENDENCYPART_ARC
(16,18),-0.261978 # DEPENDENCYPART_ARC
(16,19),-0.125879 # DEPENDENCYPART_ARC
(16,20),-1.15645 # DEPENDENCYPART_ARC
(16,21),-1.53479 # DEPENDENCYPART_ARC
(16,22),-1.70047 # DEPENDENCYPART_ARC
(16,23),-0.456666 # DEPENDENCYPART_ARC
(16,24),-2.83259 # DEPENDENCYPART_ARC
(16,25),-2.34161 # DEPENDENCYPART_ARC
(16,26),-2.37991 # DEPENDENCYPART_ARC
(16,27),-1.11114 # DEPENDENCYPART_ARC
(17,1),-1.87952 # DEPENDENCYPART_ARC
(17,2),-1.33705 # DEPENDENCYPART_ARC
(17,3),-1.13448 # DEPENDENCYPART_ARC
(17,4),-2.03011 # DEPENDENCYPART_ARC
(17,5),-4.4629 # DEPENDENCYPART_ARC
(17,6),-1.50641 # DEPENDENCYPART_ARC
(17,7),-1.28469 # DEPENDENCYPART_ARC
(17,8),-2.62572 # DEPENDENCYPART_ARC
(17,9),-1.4836 # DEPENDENCYPART_ARC
(17,10),-1.18066 # DEPENDENCYPART_ARC
(17,11),-1.60789 # DEPENDENCYPART_ARC
(17,12),-1.57309 # DEPENDENCYPART_ARC
(17,13),-4.97572 # DEPENDENCYPART_ARC
(17,14),-0.772766 # DEPENDENCYPART_ARC
(17,15),-2.80941 # DEPENDENCYPART_ARC
(17,16),0.720315 # DEPENDENCYPART_ARC
(17,18),0.460942 # DEPENDENCYPART_ARC
(17,19),-0.0581595 # DEPENDENCYPART_ARC
(17,20),-1.2904 # DEPENDENCYPART_ARC
(17,21),-2.09714 # DEPENDENCYPART_ARC
(17,22),-0.958346 # DEPENDENCYPART_ARC
(17,23),-0.239661 # DEPENDENCYPART_ARC
(17,24),-2.11219 # DEPENDENCYPART_ARC
(17,25),-2.91957 # DEPENDENCYPART_ARC
(17,26),-2.34518 # DEPENDENCYPART_ARC
(17,27),-0.954041 # DEPENDENCYPART_ARC
(18,1),-0.941668 # DEPENDENCYPART_ARC
(18,2),-1.04165 # DEPENDENCYPART_ARC
(18,3),-3.07964 # DEPENDENCYPART_ARC
(18,4),-2.66151 # DEPENDENCYPART_ARC
(18,5),-2.57446 # DEPENDENCYPART_ARC
(18,6),-0.925687 # DEPENDENCYPART_ARC
(18,7),-0.854939 # DEPENDENCYPART_ARC
(18,8),-2.71444 # DEPENDENCYPART_ARC
(18,9),-0.837145 # DEPENDENCYPART_ARC
(18,10),-0.334146 # DEPENDENCYPART_ARC
(18,11),-0.608811 # DEPENDENCYPART_ARC
(18,12),-1.43908 # DEPENDENCYPART_ARC
(18,13),-2.23595 # DEPENDENCYPART_ARC
(18,14),-0.139739 # DEPENDENCYPART_ARC
(18,15),-0.80743 # DEPENDENCYPART_ARC
(18,16),3.19313 # DEPENDENCYPART_ARC
(18,17),3.68164 # DEPENDENCYPART_ARC
(18,19),0.340405 # DEPENDENCYPART_ARC
(18,20),-0.943667 # DEPENDENCYPART_ARC
(18,21),-0.543755 # DEPENDENCYPART_ARC
(18,22),-0.852453 # DEPENDENCYPART_ARC
(18,23),-0.522889 # DEPENDENCYPART_ARC
(18,24),-1.8601 # DEPENDENCYPART_ARC
(18,25),-1.85799 # DEPENDENCYPART_ARC
(18,26),-3.01682 # DEPENDENCYPART_ARC
(18,27),-0.838556 # DEPENDENCYPART_ARC
(19,1),-0.430718 # DEPENDENCYPART_ARC
(19,2),0.284337 # DEPENDENCYPART_ARC
(19,3),-0.467528 # DEPENDENCYPART_ARC
(19,4),0.203406 # DEPENDENCYPART_ARC
(19,5),-0.216339 # DEPENDENCYPART_ARC
(19,6),-0.283745 # DEPENDENCYPART_ARC
(19,7),-0.296579 # DEPENDENCYPART_ARC
(19,8),1.13539 # DEPENDENCYPART_ARC
