# _root_ Αργότερα κατακτήθηκε από τους Αθηναίους , τους Μακεδόνες , τους Πτολεμαίους και τους Ρωμαίους .
#goldHeads=2,0,2,5,12,12,8,12,12,11,12,3,14,12,0,
#predictedHeads=2,0,2,5,3,12,8,12,12,11,12,2,14,12,0,
(8,2),-2.13015 # DEPENDENCYPART_ARC
(8,3),-0.782876 # DEPENDENCYPART_ARC
(8,4),0.778076 # DEPENDENCYPART_ARC
(8,5),-0.108107 # DEPENDENCYPART_ARC
(8,6),0.0343417 # DEPENDENCYPART_ARC
(8,7),2.87274 # DEPENDENCYPART_ARC
(8,9),0.160044 # DEPENDENCYPART_ARC
(8,10),-0.685012 # DEPENDENCYPART_ARC
(8,11),-0.681403 # DEPENDENCYPART_ARC
(8,12),0.168736 # DEPENDENCYPART_ARC
(8,13),-1.46687 # DEPENDENCYPART_ARC
(8,14),-1.96714 # DEPENDENCYPART_ARC
(8,15),-0.505699 # DEPENDENCYPART_ARC
(9,1),-0.535532 # DEPENDENCYPART_ARC
(9,2),-0.475535 # DEPENDENCYPART_ARC
(9,3),0.00963599 # DEPENDENCYPART_ARC
(9,5),0.260918 # DEPENDENCYPART_ARC
(9,6),0.280781 # DEPENDENCYPART_ARC
(9,8),0.702915 # DEPENDENCYPART_ARC
(9,11),0.656246 # DEPENDENCYPART_ARC
(9,12),0.499464 # DEPENDENCYPART_ARC
(9,14),0.162901 # DEPENDENCYPART_ARC
(9,15),0.266377 # DEPENDENCYPART_ARC
(10,1),-1.4531 # DEPENDENCYPART_ARC
(10,8),-0.808322 # DEPENDENCYPART_ARC
(10,12),0.203455 # DEPENDENCYPART_ARC
(11,1),-1.2921 # DEPENDENCYPART_ARC
(11,2),-2.29418 # DEPENDENCYPART_ARC
(11,3),-1.12489 # DEPENDENCYPART_ARC
(11,4),-0.735621 # DEPENDENCYPART_ARC
(11,5),-1.11184 # DEPENDENCYPART_ARC
(11,6),-1.05234 # DEPENDENCYPART_ARC
(11,7),0.567156 # DEPENDENCYPART_ARC
(11,8),-0.203373 # DEPENDENCYPART_ARC
(11,9),-0.141199 # DEPENDENCYPART_ARC
(11,10),2.91319 # DEPENDENCYPART_ARC
(11,12),-0.0898754 # DEPENDENCYPART_ARC
(11,13),-1.64361 # DEPENDENCYPART_ARC
(11,14),-1.59997 # DEPENDENCYPART_ARC
(11,15),-1.12429 # DEPENDENCYPART_ARC
(12,1),0.0515919 # DEPENDENCYPART_ARC
(12,2),0.136787 # DEPENDENCYPART_ARC
(12,3),0.108217 # DEPENDENCYPART_ARC
(12,4),-0.207623 # DEPENDENCYPART_ARC
(12,5),1.92403 # DEPENDENCYPART_ARC
(12,6),1.77901 # DEPENDENCYPART_ARC
(12,7),0.115237 # DEPENDENCYPART_ARC
(12,8),2.01115 # DEPENDENCYPART_ARC
(12,9),1.908 # DEPENDENCYPART_ARC
(12,10),0.751514 # DEPENDENCYPART_ARC
(12,11),2.93198 # DEPENDENCYPART_ARC
(12,13),0.342369 # DEPENDENCYPART_ARC
(12,14),2.23386 # DEPENDENCYPART_ARC
(12,15),0.366535 # DEPENDENCYPART_ARC
(13,1),-1.66108 # DEPENDENCYPART_ARC
(13,8),-1.4267 # DEPENDENCYPART_ARC
(13,12),-0.346655 # DEPENDENCYPART_ARC
(14,1),-1.28763 # DEPENDENCYPART_ARC
(14,2),-2.46792 # DEPENDENCYPART_ARC
(14,3),-1.29749 # DEPENDENCYPART_ARC
(14,4),-1.49956 # DEPENDENCYPART_ARC
(14,5),-1.34235 # DEPENDENCYPART_ARC
(14,6),-1.30188 # DEPENDENCYPART_ARC
(14,7),-0.891961 # DEPENDENCYPART_ARC
(14,8),-1.05679 # DEPENDENCYPART_ARC
(14,9),-0.948425 # DEPENDENCYPART_ARC
(14,10),0.472161 # DEPENDENCYPART_ARC
(14,11),-0.0861723 # DEPENDENCYPART_ARC
(14,12),0.373471 # DEPENDENCYPART_ARC
(14,13),2.71143 # DEPENDENCYPART_ARC
(14,15),-0.410464 # DEPENDENCYPART_ARC
(15,1),-2.00443 # DEPENDENCYPART_ARC
(15,2),-2.61238 # DEPENDENCYPART_ARC
(15,3),-2.58358 # DEPENDENCYPART_ARC
(15,5),-2.41584 # DEPENDENCYPART_ARC
(15,6),-1.84183 # DEPENDENCYPART_ARC
(15,8),-2.25566 # DEPENDENCYPART_ARC
(15,9),-1.74774 # DEPENDENCYPART_ARC
(15,11),-2.05982 # DEPENDENCYPART_ARC
(15,12),-1.59085 # DEPENDENCYPART_ARC
(15,14),-1.76914 # DEPENDENCYPART_ARC
