# _root_ " Βάζουμε τον εξεταζόμενο στην εξεταστική τράπεζα , με τη βοήθεια των τριών κεφαλών παίρνουμε λήψη σπεκτ , δηλαδή λήψη σε τρία επίπεδα .
#goldHeads=8,8,4,2,2,7,5,0,15,11,9,14,14,11,8,19,16,19,15,19,20,23,21,0,
#predictedHeads=2,0,4,2,2,7,5,2,2,11,9,14,14,11,0,15,16,19,15,19,20,23,21,0,
(3,14),-1.86413 # DEPENDENCYPART_ARC
(3,15),-3.34293 # DEPENDENCYPART_ARC
(3,16),-2.32473 # DEPENDENCYPART_ARC
(3,17),-1.64849 # DEPENDENCYPART_ARC
(3,18),-1.06722 # DEPENDENCYPART_ARC
(3,19),-1.28084 # DEPENDENCYPART_ARC
(3,20),-2.28792 # DEPENDENCYPART_ARC
(3,21),-1.37249 # DEPENDENCYPART_ARC
(3,22),-2.26763 # DEPENDENCYPART_ARC
(3,23),-2.26156 # DEPENDENCYPART_ARC
(3,24),-1.30442 # DEPENDENCYPART_ARC
(4,1),-0.392228 # DEPENDENCYPART_ARC
(4,2),-3.00688 # DEPENDENCYPART_ARC
(4,3),1.28257 # DEPENDENCYPART_ARC
(4,5),1.05531 # DEPENDENCYPART_ARC
(4,6),-0.99067 # DEPENDENCYPART_ARC
(4,7),-0.124295 # DEPENDENCYPART_ARC
(4,8),0.205988 # DEPENDENCYPART_ARC
(4,9),0.204906 # DEPENDENCYPART_ARC
(4,10),-1.18689 # DEPENDENCYPART_ARC
(4,11),-1.36034 # DEPENDENCYPART_ARC
(4,12),-0.462069 # DEPENDENCYPART_ARC
(4,13),-0.443405 # DEPENDENCYPART_ARC
(4,14),-0.246887 # DEPENDENCYPART_ARC
(4,15),-2.27389 # DEPENDENCYPART_ARC
(4,16),-2.25496 # DEPENDENCYPART_ARC
(4,17),-0.70211 # DEPENDENCYPART_ARC
(4,18),-0.482419 # DEPENDENCYPART_ARC
(4,19),-0.843211 # DEPENDENCYPART_ARC
(4,20),-2.60995 # DEPENDENCYPART_ARC
(4,21),-0.904269 # DEPENDENCYPART_ARC
(4,22),-1.57901 # DEPENDENCYPART_ARC
(4,23),-2.91179 # DEPENDENCYPART_ARC
(4,24),-0.689157 # DEPENDENCYPART_ARC
(5,1),-0.299662 # DEPENDENCYPART_ARC
(5,2),-1.48265 # DEPENDENCYPART_ARC
(5,3),0.247348 # DEPENDENCYPART_ARC
(5,4),0.412463 # DEPENDENCYPART_ARC
(5,6),1.18891 # DEPENDENCYPART_ARC
(5,7),3.32573 # DEPENDENCYPART_ARC
(5,8),0.417106 # DEPENDENCYPART_ARC
(5,9),-0.318956 # DEPENDENCYPART_ARC
(5,10),-0.297301 # DEPENDENCYPART_ARC
(5,11),0.147606 # DEPENDENCYPART_ARC
(5,12),-1.36933 # DEPENDENCYPART_ARC
(5,13),-1.58243 # DEPENDENCYPART_ARC
(5,14),-2.05084 # DEPENDENCYPART_ARC
(5,15),-2.55184 # DEPENDENCYPART_ARC
(5,16),-2.70407 # DEPENDENCYPART_ARC
(5,17),-1.62298 # DEPENDENCYPART_ARC
(5,18),-0.905321 # DEPENDENCYPART_ARC
(5,19),-1.32418 # DEPENDENCYPART_ARC
(5,20),-3.5412 # DEPENDENCYPART_ARC
(5,21),-1.42918 # DEPENDENCYPART_ARC
(5,22),-2.20667 # DEPENDENCYPART_ARC
(5,23),-5.05355 # DEPENDENCYPART_ARC
(5,24),-0.998251 # DEPENDENCYPART_ARC
(6,1),-1.3599 # DEPENDENCYPART_ARC
(6,2),-4.48666 # DEPENDENCYPART_ARC
(6,3),-0.417812 # DEPENDENCYPART_ARC
(6,4),-0.578204 # DEPENDENCYPART_ARC
(6,5),-0.811075 # DEPENDENCYPART_ARC
(6,7),0.331001 # DEPENDENCYPART_ARC
(6,8),-0.282211 # DEPENDENCYPART_ARC
(6,9),-0.218662 # DEPENDENCYPART_ARC
(6,10),-1.26256 # DEPENDENCYPART_ARC
(6,11),-1.55756 # DEPENDENCYPART_ARC
(6,12),-0.651685 # DEPENDENCYPART_ARC
(6,13),-0.749478 # DEPENDENCYPART_ARC
(6,14),-0.719247 # DEPENDENCYPART_ARC
(6,15),-2.26809 # DEPENDENCYPART_ARC
(6,16),-2.82725 # DEPENDENCYPART_ARC
(6,17),-1.12394 # DEPENDENCYPART_ARC
(6,18),-1.08201 # DEPENDENCYPART_ARC
(6,19),-1.47818 # DEPENDENCYPART_ARC
(6,20),-3.11775 # DEPENDENCYPART_ARC
(6,21),-1.55026 # DEPENDENCYPART_ARC
(6,22),-2.26598 # DEPENDENCYPART_ARC
(6,23),-3.62108 # DEPENDENCYPART_ARC
(6,24),-1.0947 # DEPENDENCYPART_ARC
(7,1),-0.127947 # DEPENDENCYPART_ARC
(7,2),-2.49744 # DEPENDENCYPART_ARC
(7,3),0.985469 # DEPENDENCYPART_ARC
(7,4),0.315927 # DEPENDENCYPART_ARC
(7,5),0.753859 # DEPENDENCYPART_ARC
(7,6),3.43682 # DEPENDENCYPART_ARC
(7,8),0.361132 # DEPENDENCYPART_ARC
(7,9),0.235904 # DEPENDENCYPART_ARC
(7,10),-0.686682 # DEPENDENCYPART_ARC
(7,11),-0.922866 # DEPENDENCYPART_ARC
(7,12),-0.632465 # DEPENDENCYPART_ARC
(7,13),-1.51507 # DEPENDENCYPART_ARC
(7,14),-0.551045 # DEPENDENCYPART_ARC
(7,15),-1.43285 # DEPENDENCYPART_ARC
(7,16),-3.16848 # DEPENDENCYPART_ARC
(7,17),-1.33341 # DEPENDENCYPART_ARC
(7,18),-0.822823 # DEPENDENCYPART_ARC
(7,19),-1.1424 # DEPENDENCYPART_ARC
(7,20),-3.61628 # DEPENDENCYPART_ARC
(7,21),-1.33329 # DEPENDENCYPART_ARC
(7,22),-2.73611 # DEPENDENCYPART_ARC
(7,23),-4.0167 # DEPENDENCYPART_ARC
(7,24),-0.538338 # DEPENDENCYPART_ARC
(8,1),-0.201345 # DEPENDENCYPART_ARC
(8,2),-0.217365 # DEPENDENCYPART_ARC
(8,3),-0.328263 # DEPENDENCYPART_ARC
(8,4),-0.356539 # DEPENDENCYPART_ARC
(8,5),0.381448 # DEPENDENCYPART_ARC
(8,6),0.0811914 # DEPENDENCYPART_ARC
(8,7),0.0893061 # DEPENDENCYPART_ARC
(8,9),0.135842 # DEPENDENCYPART_ARC
(8,10),-0.412425 # DEPENDENCYPART_ARC
(8,11),0.185994 # DEPENDENCYPART_ARC
(8,12),-0.647496 # DEPENDENCYPART_ARC
(8,13),-0.408943 # DEPENDENCYPART_ARC
(8,14),-0.673094 # DEPENDENCYPART_ARC
(8,15),-0.46754 # DEPENDENCYPART_ARC
(8,16),-1.17939 # DEPENDENCYPART_ARC
(8,17),-0.817411 # DEPENDENCYPART_ARC
(8,18),-0.274151 # DEPENDENCYPART_ARC
(8,19),-0.832712 # DEPENDENCYPART_ARC
(8,20),-1.34916 # DEPENDENCYPART_ARC
(8,21),-0.696186 # DEPENDENCYPART_ARC
(8,22),-1.15523 # DEPENDENCYPART_ARC
(8,23),-1.28386 # DEPENDENCYPART_ARC
(8,24),-0.730637 # DEPENDENCYPART_ARC
(9,1),-0.822173 # DEPENDENCYPART_ARC
(9,2),-1.25129 # DEPENDENCYPART_ARC
(9,3),-0.886102 # DEPENDENCYPART_ARC
(9,4),-1.23196 # DEPENDENCYPART_ARC
(9,5),-0.513548 # DEPENDENCYPART_ARC
(9,6),-0.873474 # DEPENDENCYPART_ARC
(9,7),-1.05861 # DEPENDENCYPART_ARC
(9,8),0.537955 # DEPENDENCYPART_ARC
(9,10),0.270166 # DEPENDENCYPART_ARC
(9,11),2.52653 # DEPENDENCYPART_ARC
(9,12),-0.646898 # DEPENDENCYPART_ARC
(9,13),-0.189053 # DEPENDENCYPART_ARC
(9,14),0.513713 # DEPENDENCYPART_ARC
(9,15),-0.887554 # DEPENDENCYPART_ARC
(9,16),-1.55159 # DEPENDENCYPART_ARC
(9,17),-0.728748 # DEPENDENCYPART_ARC
(9,18),-0.0121017 # DEPENDENCYPART_ARC
(9,19),-1.09707 # DEPENDENCYPART_ARC
(9,20),-2.24464 # DEPENDENCYPART_ARC
(9,21),-1.11637 # DEPENDENCYPART_ARC
(9,22),-1.17255 # DEPENDENCYPART_ARC
(9,23),-2.53903 # DEPENDENCYPART_ARC
(9,24),-0.319608 # DEPENDENCYPART_ARC
(10,1),-2.08536 # DEPENDENCYPART_ARC
(10,2),-3.80728 # DEPENDENCYPART_ARC
(10,3),-1.80611 # DEPENDENCYPART_ARC
(10,4),-2.74228 # DEPENDENCYPART_ARC
(10,5),-1.72097 # DEPENDENCYPART_ARC
(10,6),-2.14953 # DEPENDENCYPART_ARC
(10,7),-1.75013 # DEPENDENCYPART_ARC
(10,8),-1.33146 # DEPENDENCYPART_ARC
(10,9),-0.700685 # DEPENDENCYPART_ARC
(10,11),-0.0173907 # DEPENDENCYPART_ARC
(10,12),-0.458131 # DEPENDENCYPART_ARC
(10,13),-1.17326 # DEPENDENCYPART_ARC
(10,14),-0.97006 # DEPENDENCYPART_ARC
(10,15),-2.38392 # DEPENDENCYPART_ARC
(10,16),-2.05582 # DEPENDENCYPART_ARC
(10,17),-1.49915 # DEPENDENCYPART_ARC
(10,18),-0.927277 # DEPENDENCYPART_ARC
(10,19),-1.09852 # DEPENDENCYPART_ARC
(10,20),-2.08631 # DEPENDENCYPART_ARC
(10,21),-1.34126 # DEPENDENCYPART_ARC
(10,22),-2.30531 # DEPENDENCYPART_ARC
(10,23),-2.26849 # DEPENDENCYPART_ARC
(10,24),-1.03906 # DEPENDENCYPART_ARC
(11,1),-1.00215 # DEPENDENCYPART_ARC
(11,2),-3.32606 # DEPENDENCYPART_ARC
(11,3),-1.18229 # DEPENDENCYPART_ARC
(11,4),-1.63999 # DEPENDENCYPART_ARC
(11,5),-0.907848 # DEPENDENCYPART_ARC
(11,6),0.157115 # DEPENDENCYPART_ARC
(11,7),-1.07708 # DEPENDENCYPART_ARC
(11,8),-0.552276 # DEPENDENCYPART_ARC
(11,9),0.242351 # DEPENDENCYPART_ARC
(11,10),3.41757 # DEPENDENCYPART_ARC
(11,12),1.11773 # DEPENDENCYPART_ARC
(11,13),0.0119622 # DEPENDENCYPART_ARC
(11,14),1.93418 # DEPENDENCYPART_ARC
(11,15),-0.618809 # DEPENDENCYPART_ARC
(11,16),-1.02717 # DEPENDENCYPART_ARC
(11,17),-0.172126 # DEPENDENCYPART_ARC
(11,18),0.00762195 # DEPENDENCYPART_ARC
(11,19),-0.251065 # DEPENDENCYPART_ARC
(11,20),-1.9359 # DEPENDENCYPART_ARC
(11,21),-0.25149 # DEPENDENCYPART_ARC
(11,22),-2.01645 # DEPENDENCYPART_ARC
(11,23),-2.18729 # DEPENDENCYPART_ARC
(11,24),0.00463715 # DEPENDENCYPART_ARC
(12,1),-1.31863 # DEPENDENCYPART_ARC
(12,2),-2.02353 # DEPENDENCYPART_ARC
(12,3),-1.78647 # DEPENDENCYPART_ARC
(12,4),-2.65663 # DEPENDENCYPART_ARC
(12,5),-1.44989 # DEPENDENCYPART_ARC
(12,6),-2.32584 # DEPENDENCYPART_ARC
(12,7),-2.08312 # DEPENDENCYPART_ARC
(12,8),-0.853763 # DEPENDENCYPART_ARC
(12,9),-0.536799 # DEPENDENCYPART_ARC
(12,10),-0.536437 # DEPENDENCYPART_ARC
(12,11),-1.07793 # DEPENDENCYPART_ARC
(12,13),0.0257478 # DEPENDENCYPART_ARC
(12,14),0.180234 # DEPENDENCYPART_ARC
(12,15),-0.961254 # DEPENDENCYPART_ARC
(12,16),-1.38175 # DEPENDENCYPART_ARC
(12,17),-1.1673 # DEPENDENCYPART_ARC
(12,18),-0.653957 # DEPENDENCYPART_ARC
(12,19),-1.0704 # DEPENDENCYPART_ARC
(12,20),-1.94736 # DEPENDENCYPART_ARC
(12,21),-1.05165 # DEPENDENCYPART_ARC
(12,22),-1.70944 # DEPENDENCYPART_ARC
(12,23),-1.99352 # DEPENDENCYPART_ARC
(12,24),-0.866375 # DEPENDENCYPART_ARC
(13,1),-1.08141 # DEPENDENCYPART_ARC
(13,2),-1.80192 # DEPENDENCYPART_ARC
(13,3),-1.73078 # DEPENDENCYPART_ARC
(13,4),-1.07391 # DEPENDENCYPART_ARC
(13,5),-1.21079 # DEPENDENCYPART_ARC
(13,6),-0.986583 # DEPENDENCYPART_ARC
(13,7),-2.24181 # DEPENDENCYPART_ARC
(13,8),-0.780248 # DEPENDENCYPART_ARC
(13,9),-0.189164 # DEPENDENCYPART_ARC
(13,10),-0.897612 # DEPENDENCYPART_ARC
(13,11),-1.68973 # DEPENDENCYPART_ARC
(13,12),1.07672 # DEPENDENCYPART_ARC
(13,14),0.696044 # DEPENDENCYPART_ARC
(13,15),-0.0202618 # DEPENDENCYPART_ARC
(13,16),-1.177 # DEPENDENCYPART_ARC
(13,17),-1.12075 # DEPENDENCYPART_ARC
(13,18),-0.953616 # DEPENDENCYPART_ARC
(13,19),-0.985491 # DEPENDENCYPART_ARC
(13,20),-2.01587 # DEPENDENCYPART_ARC
(13,21),-1.19656 # DEPENDENCYPART_ARC
(13,22),-2.29417 # DEPENDENCYPART_ARC
(13,23),-2.59235 # DEPENDENCYPART_ARC
(13,24),-1.09486 # DEPENDENCYPART_ARC
(14,1),-0.577637 # DEPENDENCYPART_ARC
(14,2),-2.05898 # DEPENDENCYPART_ARC
(14,3),-2.92282 # DEPENDENCYPART_ARC
(14,4),-2.93976 # DEPENDENCYPART_ARC
(14,5),-1.51231 # DEPENDENCYPART_ARC
(14,6),-1.95322 # DEPENDENCYPART_ARC
(14,7),-3.00018 # DEPENDENCYPART_ARC
(14,8),-0.593159 # DEPENDENCYPART_ARC
(14,9),0.0708895 # DEPENDENCYPART_ARC
(14,10),-0.1235 # DEPENDENCYPART_ARC
(14,11),-1.77783 # DEPENDENCYPART_ARC
(14,12),3.75649 # DEPENDENCYPART_ARC
(14,13),3.18026 # DEPENDENCYPART_ARC
(14,15),0.0708306 # DEPENDENCYPART_ARC
(14,16),-0.666624 # DEPENDENCYPART_ARC
(14,17),-0.659865 # DEPENDENCYPART_ARC
(14,18),-0.621667 # DEPENDENCYPART_ARC
(14,19),-0.964332 # DEPENDENCYPART_ARC
(14,20),-2.54907 # DEPENDENCYPART_ARC
(14,21),-1.35899 # DEPENDENCYPART_ARC
(14,22),-2.35766 # DEPENDENCYPART_ARC
(14,23),-3.44261 # DEPENDENCYPART_ARC
(14,24),-0.56451 # DEPENDENCYPART_ARC
(15,1),0.234741 # DEPENDENCYPART_ARC
(15,2),-2.12763 # DEPENDENCYPART_ARC
(15,3),-1.04135 # DEPENDENCYPART_ARC
(15,4),-0.84629 # DEPENDENCYPART_ARC
(15,5),0.153822 # DEPENDENCYPART_ARC
(15,6),-1.13087 # DEPENDENCYPART_ARC
(15,7),-1.10686 # DEPENDENCYPART_ARC
(15,8),0.987317 # DEPENDENCYPART_ARC
(15,9),0.754286 # DEPENDENCYPART_ARC
(15,10),-0.355977 # DEPENDENCYPART_ARC
(15,11),0.00551436 # DEPENDENCYPART_ARC
(15,12),-0.59256 # DEPENDENCYPART_ARC
(15,13),-0.958932 # DEPENDENCYPART_ARC
(15,14),0.459296 # DEPENDENCYPART_ARC
(15,16),2.56587 # DEPENDENCYPART_ARC
(15,17),0.925632 # DEPENDENCYPART_ARC
(15,18),0.941539 # DEPENDENCYPART_ARC
(15,19),0.969307 # DEPENDENCYPART_ARC
(15,20),0.518526 # DEPENDENCYPART_ARC
(15,21),1.21875 # DEPENDENCYPART_ARC
(15,22),-2.09842 # DEPENDENCYPART_ARC
(15,23),-1.26102 # DEPENDENCYPART_ARC
(15,24),0.190779 # DEPENDENCYPART_ARC
(16,1),-0.843729 # DEPENDENCYPART_ARC
(16,2),-3.21935 # DEPENDENCYPART_ARC
(16,3),-2.20803 # DEPENDENCYPART_ARC
(16,4),-2.03303 # DEPENDENCYPART_ARC
(16,5),-0.81095 # DEPENDENCYPART_ARC
(16,6),-0.741268 # DEPENDENCYPART_ARC
(16,7),-1.68512 # DEPENDENCYPART_ARC
(16,8),-1.0654 # DEPENDENCYPART_ARC
(16,9),-0.520426 # DEPENDENCYPART_ARC
(16,10),0.334305 # DEPENDENCYPART_ARC
(16,11),-0.723984 # DEPENDENCYPART_ARC
(16,12),0.0369864 # DEPENDENCYPART_ARC
(16,13),0.325982 # DEPENDENCYPART_ARC
(16,14),-0.540989 # DEPENDENCYPART_ARC
(16,15),-0.458501 # DEPENDENCYPART_ARC
(16,17),1.5999 # DEPENDENCYPART_ARC
(16,18),0.668118 # DEPENDENCYPART_ARC
(16,19),0.567515 # DEPENDENCYPART_ARC
(16,20),-0.0778641 # DEPENDENCYPART_ARC
(16,21),0.223149 # DEPENDENCYPART_ARC
(16,22),-1.39183 # DEPENDENCYPART_ARC
(16,23),-1.02184 # DEPENDENCYPART_ARC
(16,24),0.379585 # DEPENDENCYPART_ARC
(17,1),-0.427413 # DEPENDENCYPART_ARC
(17,2),-0.879007 # DEPENDENCYPART_ARC
(17,3),-0.278532 # DEPENDENCYPART_ARC
(17,4),-0.759273 # DEPENDENCYPART_ARC
(17,5),-0.748691 # DEPENDENCYPART_ARC
(17,6),-0.563177 # DEPENDENCYPART_ARC
(17,7),-0.754657 # DEPENDENCYPART_ARC
(17,8),-0.311705 # DEPENDENCYPART_ARC
(17,9),-0.627951 # DEPENDENCYPART_ARC
(17,10),0.065107 # DEPENDENCYPART_ARC
(17,11),-0.561539 # DEPENDENCYPART_ARC
(17,12),0.632761 # DEPENDENCYPART_ARC
(17,13),0.291935 # DEPENDENCYPART_ARC
(17,14),-0.0162455 # DEPENDENCYPART_ARC
(17,15),0.498112 # DEPENDENCYPART_ARC
(17,16),1.01283 # DEPENDENCYPART_ARC
(17,18),0.239408 # DEPENDENCYPART_ARC
(17,19),0.025495 # DEPENDENCYPART_ARC
(17,20),0.0115732 # DEPENDENCYPART_ARC
(17,21),-0.274433 # DEPENDENCYPART_ARC
(17,22),-0.53426 # DEPENDENCYPART_ARC
(17,23),-0.789395 # DEPENDENCYPART_ARC
(17,24),0.0170263 # DEPENDENCYPART_ARC
(18,1),-0.418448 # DEPENDENCYPART_ARC
(18,2),-0.404277 # DEPENDENCYPART_ARC
(18,3),-0.692133 # DEPENDENCYPART_ARC
(18,4),-0.698796 # DEPENDENCYPART_ARC
(18,5),-0.683751 # DEPENDENCYPART_ARC
(18,6),-0.580487 # DEPENDENCYPART_ARC
(18,7),-0.545086 # DEPENDENCYPART_ARC
(18,8),-0.68486 # DEPENDENCYPART_ARC
(18,9),-0.148901 # DEPENDENCYPART_ARC
(18,10),-0.516673 # DEPENDENCYPART_ARC
(18,11),-0.403025 # DEPENDENCYPART_ARC
(18,12),-0.402242 # DEPENDENCYPART_ARC
(18,13),-0.265831 # DEPENDENCYPART_ARC
(18,14),-0.218486 # DEPENDENCYPART_ARC
(18,15),0.0336954 # DEPENDENCYPART_ARC
(18,16),-0.0585048 # DEPENDENCYPART_ARC
(18,17),0.523369 # DEPENDENCYPART_ARC
(18,19),0.19207 # DEPENDENCYPART_ARC
(18,20),0.282723 # DEPENDENCYPART_ARC
(18,21),0.117138 # DEPENDENCYPART_ARC
(18,22),-0.269051 # DEPENDENCYPART_ARC
(18,23),-0.209545 # DEPENDENCYPART_ARC
(18,24),0.261721 # DEPENDENCYPART_ARC
(19,1),-0.416636 # DEPENDENCYPART_ARC
(19,2),-0.158862 # DEPENDENCYPART_ARC
(19,3),-0.264368 # DEPENDENCYPART_ARC
(19,4),-0.239385 # DEPENDENCYPART_ARC
(19,5),0.451666 # DEPENDENCYPART_ARC
(19,6),-0.423833 # DEPENDENCYPART_ARC
(19,7),-0.259375 # DEPENDENCYPART_ARC
(19,8),-0.135403 # DEPENDENCYPART_ARC
(19,9),0.365186 # DEPENDENCYPART_ARC
(19,10),-0.092469 # DEPENDENCYPART_ARC
(19,11),-0.176189 # DEPENDENCYPART_ARC
(19,12),0.567743 # DEPENDENCYPART_ARC
(19,13),0.162773 # DEPENDENCYPART_ARC
(19,14),0.173146 # DEPENDENCYPART_ARC
(19,15),0.117685 # DEPENDENCYPART_ARC
(19,16),0.38988 # DEPENDENCYPART_ARC
(19,17),0.858209 # DEPENDENCYPART_ARC
(19,18),1.68032 # DEPENDENCYPART_ARC
(19,20),1.4966 # DEPENDENCYPART_ARC
(19,21),0.620414 # DEPENDENCYPART_ARC
(19,22),-0.223912 # DEPENDENCYPART_ARC
(19,23),-0.0980372 # DEPENDENCYPART_ARC
(19,24),0.069422 # DEPENDENCYPART_ARC
(20,1),-1.17839 # DEPENDENCYPART_ARC
(20,2),-3.6675 # DEPENDENCYPART_ARC
(20,3),-2.78121 # DEPENDENCYPART_ARC
(20,4),-2.66488 # DEPENDENCYPART_ARC
(20,5),-1.20607 # DEPENDENCYPART_ARC
(20,6),-1.46642 # DEPENDENCYPART_ARC
(20,7),-2.58765 # DEPENDENCYPART_ARC
(20,8),-1.58727 # DEPENDENCYPART_ARC
(20,9),-1.09286 # DEPENDENCYPART_ARC
(20,10),-0.586426 # DEPENDENCYPART_ARC
(20,11),-1.78157 # DEPENDENCYPART_ARC
(20,12),-1.31928 # DEPENDENCYPART_ARC
(20,13),-0.650647 # DEPENDENCYPART_ARC
(20,14),-2.53291 # DEPENDENCYPART_ARC
(20,15),-2.67977 # DEPENDENCYPART_ARC
(20,16),-0.520957 # DEPENDENCYPART_ARC
(20,17),-0.299775 # DEPENDENCYPART_ARC
(20,18),0.423144 # DEPENDENCYPART_ARC
(20,19),0.816751 # DEPENDENCYPART_ARC
(20,21),1.42491 # DEPENDENCYPART_ARC
(20,22),-0.787671 # DEPENDENCYPART_ARC
(20,23),-0.280149 # DEPENDENCYPART_ARC
(20,24),0.366097 # DEPENDENCYPART_ARC
(21,1),-1.04933 # DEPENDENCYPART_ARC
(21,2),-1.26537 # DEPENDENCYPART_ARC
(21,3),-1.21975 # DEPENDENCYPART_ARC
(21,4),-1.61183 # DEPENDENCYPART_ARC
(21,5),-0.792596 # DEPENDENCYPART_ARC
(21,6),-1.55109 # DEPENDENCYPART_ARC
(21,7),-1.79395 # DEPENDENCYPART_ARC
(21,8),-1.0244 # DEPENDENCYPART_ARC
(21,9),-0.424016 # DEPENDENCYPART_ARC
(21,10),-1.08772 # DEPENDENCYPART_ARC
(21,11),-1.67967 # DEPENDENCYPART_ARC
(21,12),-0.963896 # DEPENDENCYPART_ARC
(21,13),-0.946388 # DEPENDENCYPART_ARC
(21,14),-1.51006 # DEPENDENCYPART_ARC
(21,15),-1.00164 # DEPENDENCYPART_ARC
(21,16),-1.26278 # DEPENDENCYPART_ARC
(21,17),-0.805685 # DEPENDENCYPART_ARC
(21,18),0.0303419 # DEPENDENCYPART_ARC
(21,19),0.051024 # DEPENDENCYPART_ARC
(21,20),-0.443375 # DEPENDENCYPART_ARC
(21,22),1.01875 # DEPENDENCYPART_ARC
(21,23),2.83454 # DEPENDENCYPART_ARC
