# _root_ Εσείς αυξηθήκατε περισσότερο , έχετε την τρόικα και την προεδρική τριάδα , αλλά είμαστε σχετικά κερδισμένοι .
#goldHeads=2,4,2,13,4,7,8,5,11,11,8,13,0,13,16,14,0,
#predictedHeads=2,13,2,5,13,7,8,5,11,11,8,13,0,13,16,14,0,
(3,1),0.166226 # DEPENDENCYPART_ARC
(3,2),0.413203 # DEPENDENCYPART_ARC
(3,4),0.268577 # DEPENDENCYPART_ARC
(3,5),-1.15016 # DEPENDENCYPART_ARC
(3,6),-1.46393 # DEPENDENCYPART_ARC
(3,7),-1.89177 # DEPENDENCYPART_ARC
(3,8),-1.0477 # DEPENDENCYPART_ARC
(3,9),-1.94013 # DEPENDENCYPART_ARC
(3,10),-2.09295 # DEPENDENCYPART_ARC
(3,11),-2.59093 # DEPENDENCYPART_ARC
(3,12),-1.18005 # DEPENDENCYPART_ARC
(3,13),-1.28039 # DEPENDENCYPART_ARC
(3,14),-2.62576 # DEPENDENCYPART_ARC
(3,15),-1.73738 # DEPENDENCYPART_ARC
(3,16),-2.27269 # DEPENDENCYPART_ARC
(3,17),-1.49243 # DEPENDENCYPART_ARC
(4,1),-0.424539 # DEPENDENCYPART_ARC
(4,2),-0.0824863 # DEPENDENCYPART_ARC
(4,3),0.295472 # DEPENDENCYPART_ARC
(4,5),-0.168143 # DEPENDENCYPART_ARC
(4,7),-1.03927 # DEPENDENCYPART_ARC
(4,8),-0.908201 # DEPENDENCYPART_ARC
(4,10),-1.5978 # DEPENDENCYPART_ARC
(4,11),-1.75576 # DEPENDENCYPART_ARC
(4,12),-0.841479 # DEPENDENCYPART_ARC
(4,13),-0.978162 # DEPENDENCYPART_ARC
(4,14),-1.25775 # DEPENDENCYPART_ARC
(4,15),-1.58089 # DEPENDENCYPART_ARC
(4,16),-1.68626 # DEPENDENCYPART_ARC
(4,17),-1.11931 # DEPENDENCYPART_ARC
(5,1),0.870101 # DEPENDENCYPART_ARC
(5,2),-2.73006 # DEPENDENCYPART_ARC
(5,3),0.316016 # DEPENDENCYPART_ARC
(5,4),1.10551 # DEPENDENCYPART_ARC
(5,6),-0.935725 # DEPENDENCYPART_ARC
(5,7),1.53707 # DEPENDENCYPART_ARC
(5,8),0.494881 # DEPENDENCYPART_ARC
(5,9),-2.04353 # DEPENDENCYPART_ARC
(5,10),-2.56127 # DEPENDENCYPART_ARC
(5,11),-0.523808 # DEPENDENCYPART_ARC
(5,12),0.527478 # DEPENDENCYPART_ARC
(5,13),-0.212293 # DEPENDENCYPART_ARC
(5,14),-3.76326 # DEPENDENCYPART_ARC
(5,15),-1.54632 # DEPENDENCYPART_ARC
(5,16),-2.32994 # DEPENDENCYPART_ARC
(5,17),-0.446118 # DEPENDENCYPART_ARC
(6,3),-0.813295 # DEPENDENCYPART_ARC
(6,7),-0.0963768 # DEPENDENCYPART_ARC
(6,8),-0.0674876 # DEPENDENCYPART_ARC
(6,11),-1.37922 # DEPENDENCYPART_ARC
(6,13),-0.393753 # DEPENDENCYPART_ARC
(6,15),-1.41084 # DEPENDENCYPART_ARC
(7,1),-3.62862 # DEPENDENCYPART_ARC
(7,2),-2.93971 # DEPENDENCYPART_ARC
(7,3),-0.820557 # DEPENDENCYPART_ARC
(7,4),-0.690443 # DEPENDENCYPART_ARC
(7,5),-2.13457 # DEPENDENCYPART_ARC
(7,6),3.20584 # DEPENDENCYPART_ARC
(7,8),0.454402 # DEPENDENCYPART_ARC
(7,9),-0.785289 # DEPENDENCYPART_ARC
(7,10),-0.840952 # DEPENDENCYPART_ARC
(7,11),-1.02523 # DEPENDENCYPART_ARC
(7,12),-0.71676 # DEPENDENCYPART_ARC
(7,13),-0.570833 # DEPENDENCYPART_ARC
(7,14),-2.28933 # DEPENDENCYPART_ARC
(7,15),-1.08387 # DEPENDENCYPART_ARC
(7,16),-2.06364 # DEPENDENCYPART_ARC
(7,17),-1.05582 # DEPENDENCYPART_ARC
(8,1),0.179646 # DEPENDENCYPART_ARC
(8,2),-0.107208 # DEPENDENCYPART_ARC
(8,3),-0.107833 # DEPENDENCYPART_ARC
(8,4),0.35407 # DEPENDENCYPART_ARC
(8,5),1.00736 # DEPENDENCYPART_ARC
(8,6),0.923721 # DEPENDENCYPART_ARC
(8,7),2.82305 # DEPENDENCYPART_ARC
(8,9),-0.0154099 # DEPENDENCYPART_ARC
(8,10),1.28399 # DEPENDENCYPART_ARC
(8,11),1.81892 # DEPENDENCYPART_ARC
(8,12),0.108839 # DEPENDENCYPART_ARC
(8,13),0.120205 # DEPENDENCYPART_ARC
(8,14),0.816475 # DEPENDENCYPART_ARC
(8,15),-0.293636 # DEPENDENCYPART_ARC
(8,16),-0.613912 # DEPENDENCYPART_ARC
(8,17),-0.011038 # DEPENDENCYPART_ARC
(9,3),-1.34224 # DEPENDENCYPART_ARC
(9,7),-1.21677 # DEPENDENCYPART_ARC
(9,8),-0.118476 # DEPENDENCYPART_ARC
(9,11),-0.386019 # DEPENDENCYPART_ARC
(9,13),-0.247266 # DEPENDENCYPART_ARC
(9,15),-1.14752 # DEPENDENCYPART_ARC
(10,1),-2.07081 # DEPENDENCYPART_ARC
(10,2),-3.60982 # DEPENDENCYPART_ARC
(10,3),-0.428044 # DEPENDENCYPART_ARC
(10,4),-1.20696 # DEPENDENCYPART_ARC
(10,5),-3.43352 # DEPENDENCYPART_ARC
(10,6),-0.770595 # DEPENDENCYPART_ARC
(10,7),-1.59869 # DEPENDENCYPART_ARC
(10,8),-0.302113 # DEPENDENCYPART_ARC
(10,9),1.10526 # DEPENDENCYPART_ARC
(10,11),0.195345 # DEPENDENCYPART_ARC
(10,12),-0.310379 # DEPENDENCYPART_ARC
(10,13),-0.245539 # DEPENDENCYPART_ARC
(10,14),-1.94396 # DEPENDENCYPART_ARC
(10,15),-1.14805 # DEPENDENCYPART_ARC
(10,16),-0.979625 # DEPENDENCYPART_ARC
(10,17),-0.880792 # DEPENDENCYPART_ARC
(11,1),-3.41019 # DEPENDENCYPART_ARC
(11,2),-2.86004 # DEPENDENCYPART_ARC
(11,3),-0.790792 # DEPENDENCYPART_ARC
(11,4),-0.530617 # DEPENDENCYPART_ARC
(11,5),-3.2275 # DEPENDENCYPART_ARC
(11,6),1.27042 # DEPENDENCYPART_ARC
(11,7),-0.264629 # DEPENDENCYPART_ARC
(11,8),0.334619 # DEPENDENCYPART_ARC
(11,9),3.19625 # DEPENDENCYPART_ARC
(11,10),3.48556 # DEPENDENCYPART_ARC
(11,12),0.35294 # DEPENDENCYPART_ARC
(11,13),0.356601 # DEPENDENCYPART_ARC
(11,14),-0.833889 # DEPENDENCYPART_ARC
(11,15),-0.499019 # DEPENDENCYPART_ARC
(11,16),-1.4169 # DEPENDENCYPART_ARC
(11,17),-0.832165 # DEPENDENCYPART_ARC
(12,1),-0.885042 # DEPENDENCYPART_ARC
(12,2),-0.588326 # DEPENDENCYPART_ARC
(12,3),-0.459252 # DEPENDENCYPART_ARC
(12,4),-0.61442 # DEPENDENCYPART_ARC
(12,5),-0.315235 # DEPENDENCYPART_ARC
(12,7),-0.398357 # DEPENDENCYPART_ARC
(12,8),-0.190427 # DEPENDENCYPART_ARC
(12,10),-0.0389336 # DEPENDENCYPART_ARC
(12,11),0.12851 # DEPENDENCYPART_ARC
(12,13),-0.0172055 # DEPENDENCYPART_ARC
(12,14),-0.299536 # DEPENDENCYPART_ARC
(12,15),-0.932162 # DEPENDENCYPART_ARC
(12,16),-1.01491 # DEPENDENCYPART_ARC
(12,17),-0.605941 # DEPENDENCYPART_ARC
(13,1),0.853134 # DEPENDENCYPART_ARC
(13,2),1.22286 # DEPENDENCYPART_ARC
(13,3),0.112526 # DEPENDENCYPART_ARC
(13,4),0.29619 # DEPENDENCYPART_ARC
(13,5),2.06355 # DEPENDENCYPART_ARC
(13,6),0.088788 # DEPENDENCYPART_ARC
(13,7),0.317491 # DEPENDENCYPART_ARC
(13,8),0.158159 # DEPENDENCYPART_ARC
(13,9),0.35273 # DEPENDENCYPART_ARC
(13,10),0.578692 # DEPENDENCYPART_ARC
(13,11),0.198213 # DEPENDENCYPART_ARC
(13,12),1.59317 # DEPENDENCYPART_ARC
(13,14),2.68405 # DEPENDENCYPART_ARC
(13,15),-0.0748238 # DEPENDENCYPART_ARC
(13,16),-0.306359 # DEPENDENCYPART_ARC
(13,17),0.192105 # DEPENDENCYPART_ARC
(14,1),-1.06277 # DEPENDENCYPART_ARC
(14,2),-4.09209 # DEPENDENCYPART_ARC
(14,3),-1.17656 # DEPENDENCYPART_ARC
(14,4),-0.668342 # DEPENDENCYPART_ARC
(14,5),-1.7351 # DEPENDENCYPART_ARC
(14,6),-1.41079 # DEPENDENCYPART_ARC
(14,7),-2.07198 # DEPENDENCYPART_ARC
(14,8),-0.34795 # DEPENDENCYPART_ARC
(14,9),-0.959625 # DEPENDENCYPART_ARC
(14,10),-0.447342 # DEPENDENCYPART_ARC
(14,11),-1.51364 # DEPENDENCYPART_ARC
(14,12),0.580975 # DEPENDENCYPART_ARC
(14,13),0.767801 # DEPENDENCYPART_ARC
(14,15),1.71459 # DEPENDENCYPART_ARC
(14,16),2.10046 # DEPENDENCYPART_ARC
(14,17),0.439717 # DEPENDENCYPART_ARC
(15,1),-1.88785 # DEPENDENCYPART_ARC
(15,2),-1.66884 # DEPENDENCYPART_ARC
(15,3),-0.736198 # DEPENDENCYPART_ARC
(15,4),-0.831909 # DEPENDENCYPART_ARC
(15,5),-1.35645 # DEPENDENCYPART_ARC
(15,6),-1.29451 # DEPENDENCYPART_ARC
(15,7),-1.55333 # DEPENDENCYPART_ARC
(15,8),-0.678978 # DEPENDENCYPART_ARC
(15,9),-1.17184 # DEPENDENCYPART_ARC
(15,10),-1.04555 # DEPENDENCYPART_ARC
(15,11),-1.2806 # DEPENDENCYPART_ARC
(15,12),-0.24673 # DEPENDENCYPART_ARC
(15,13),-0.458989 # DEPENDENCYPART_ARC
(15,14),-0.180886 # DEPENDENCYPART_ARC
(15,16),0.449235 # DEPENDENCYPART_ARC
(15,17),0.0570461 # DEPENDENCYPART_ARC
(16,1),-2.83633 # DEPENDENCYPART_ARC
(16,2),-1.99014 # DEPENDENCYPART_ARC
(16,3),-0.298225 # DEPENDENCYPART_ARC
(16,4),-0.734076 # DEPENDENCYPART_ARC
(16,5),-2.10668 # DEPENDENCYPART_ARC
(16,6),-1.49357 # DEPENDENCYPART_ARC
(16,7),-2.18443 # DEPENDENCYPART_ARC
(16,8),-0.590748 # DEPENDENCYPART_ARC
(16,9),-0.937395 # DEPENDENCYPART_ARC
(16,10),-1.79688 # DEPENDENCYPART_ARC
(16,11),-1.98857 # DEPENDENCYPART_ARC
(16,12),-0.275592 # DEPENDENCYPART_ARC
(16,13),-0.0141469 # DEPENDENCYPART_ARC
(16,14),-0.676956 # DEPENDENCYPART_ARC
(16,15),1.98048 # DEPENDENCYPART_ARC
(16,17),0.570878 # DEPENDENCYPART_ARC
(17,1),-2.48197 # DEPENDENCYPART_ARC
(17,2),-2.70616 # DEPENDENCYPART_ARC
(17,3),-2.17677 # DEPENDENCYPART_ARC
(17,4),-2.47473 # DEPENDENCYPART_ARC
(17,5),-2.47465 # DEPENDENCYPART_ARC
(17,7),-2.62822 # DEPENDENCYPART_ARC
(17,8),-2.14136 # DEPENDENCYPART_ARC
(17,10),-2.57021 # DEPENDENCYPART_ARC
(17,11),-2.53549 # DEPENDENCYPART_ARC
(17,12),-2.06925 # DEPENDENCYPART_ARC
(17,13),-1.91895 # DEPENDENCYPART_ARC
(17,14),-1.91546 # DEPENDENCYPART_ARC
(17,15),-1.73889 # DEPENDENCYPART_ARC
(17,16),-1.52156 # DEPENDENCYPART_ARC
