# _root_ Τέλος , κύριε Πρόεδρε , θα αναφερθώ στη συζήτηση σχετικά με τη Συνέλευση και τη διακυβέρνηση .
#goldHeads=7,4,4,7,4,7,0,7,8,9,10,13,14,11,16,14,0,
#predictedHeads=7,7,4,7,7,7,0,7,8,7,10,13,14,11,16,14,0,
(5,14),-0.910962 # DEPENDENCYPART_ARC
(5,15),-1.51658 # DEPENDENCYPART_ARC
(5,16),-1.52554 # DEPENDENCYPART_ARC
(5,17),-0.746932 # DEPENDENCYPART_ARC
(6,1),-1.12119 # DEPENDENCYPART_ARC
(6,2),-0.878301 # DEPENDENCYPART_ARC
(6,3),-1.05212 # DEPENDENCYPART_ARC
(6,4),-0.878849 # DEPENDENCYPART_ARC
(6,5),0.097538 # DEPENDENCYPART_ARC
(6,7),0.366252 # DEPENDENCYPART_ARC
(6,8),-0.51975 # DEPENDENCYPART_ARC
(6,9),-0.656859 # DEPENDENCYPART_ARC
(6,10),-0.900608 # DEPENDENCYPART_ARC
(6,11),-0.963664 # DEPENDENCYPART_ARC
(6,12),-1.30515 # DEPENDENCYPART_ARC
(6,13),-1.39237 # DEPENDENCYPART_ARC
(6,14),-0.690201 # DEPENDENCYPART_ARC
(6,15),-1.43908 # DEPENDENCYPART_ARC
(6,16),-1.39179 # DEPENDENCYPART_ARC
(6,17),-0.569759 # DEPENDENCYPART_ARC
(7,1),1.90137 # DEPENDENCYPART_ARC
(7,2),1.50888 # DEPENDENCYPART_ARC
(7,3),1.21769 # DEPENDENCYPART_ARC
(7,4),1.00565 # DEPENDENCYPART_ARC
(7,5),1.74442 # DEPENDENCYPART_ARC
(7,6),3.57896 # DEPENDENCYPART_ARC
(7,8),2.67578 # DEPENDENCYPART_ARC
(7,9),0.670028 # DEPENDENCYPART_ARC
(7,10),1.46098 # DEPENDENCYPART_ARC
(7,11),0.922612 # DEPENDENCYPART_ARC
(7,12),-1.13495 # DEPENDENCYPART_ARC
(7,13),-1.23217 # DEPENDENCYPART_ARC
(7,14),0.426146 # DEPENDENCYPART_ARC
(7,15),-1.44872 # DEPENDENCYPART_ARC
(7,16),-2.05496 # DEPENDENCYPART_ARC
(7,17),0.546234 # DEPENDENCYPART_ARC
(8,1),-0.84044 # DEPENDENCYPART_ARC
(8,2),-0.539117 # DEPENDENCYPART_ARC
(8,3),-2.0717 # DEPENDENCYPART_ARC
(8,4),-1.98093 # DEPENDENCYPART_ARC
(8,5),-0.115533 # DEPENDENCYPART_ARC
(8,6),-0.128917 # DEPENDENCYPART_ARC
(8,7),-0.764573 # DEPENDENCYPART_ARC
(8,9),3.69533 # DEPENDENCYPART_ARC
(8,10),0.103155 # DEPENDENCYPART_ARC
(8,11),-0.527395 # DEPENDENCYPART_ARC
(8,12),-0.606569 # DEPENDENCYPART_ARC
(8,13),-0.0368743 # DEPENDENCYPART_ARC
(8,14),-0.145387 # DEPENDENCYPART_ARC
(8,15),-0.896904 # DEPENDENCYPART_ARC
(8,16),-1.63466 # DEPENDENCYPART_ARC
(8,17),-0.644108 # DEPENDENCYPART_ARC
(9,1),-1.98049 # DEPENDENCYPART_ARC
(9,2),-1.66924 # DEPENDENCYPART_ARC
(9,3),-2.06941 # DEPENDENCYPART_ARC
(9,4),-2.07625 # DEPENDENCYPART_ARC
(9,5),-1.39359 # DEPENDENCYPART_ARC
(9,6),-0.780563 # DEPENDENCYPART_ARC
(9,7),-0.917636 # DEPENDENCYPART_ARC
(9,8),0.614158 # DEPENDENCYPART_ARC
(9,10),1.26277 # DEPENDENCYPART_ARC
(9,11),0.216805 # DEPENDENCYPART_ARC
(9,12),-0.768465 # DEPENDENCYPART_ARC
(9,13),-1.10644 # DEPENDENCYPART_ARC
(9,14),0.118197 # DEPENDENCYPART_ARC
(9,15),-1.25231 # DEPENDENCYPART_ARC
(9,16),-2.31128 # DEPENDENCYPART_ARC
(9,17),-0.426059 # DEPENDENCYPART_ARC
(10,1),-0.478556 # DEPENDENCYPART_ARC
(10,2),-0.527389 # DEPENDENCYPART_ARC
(10,3),-1.16545 # DEPENDENCYPART_ARC
(10,4),-1.10864 # DEPENDENCYPART_ARC
(10,5),-0.170782 # DEPENDENCYPART_ARC
(10,6),-0.131864 # DEPENDENCYPART_ARC
(10,7),-0.845191 # DEPENDENCYPART_ARC
(10,8),0.457623 # DEPENDENCYPART_ARC
(10,9),0.000606705 # DEPENDENCYPART_ARC
(10,11),2.29578 # DEPENDENCYPART_ARC
(10,12),-0.165125 # DEPENDENCYPART_ARC
(10,13),-0.126857 # DEPENDENCYPART_ARC
(10,14),0.105494 # DEPENDENCYPART_ARC
(10,15),-0.81393 # DEPENDENCYPART_ARC
(10,16),-1.02768 # DEPENDENCYPART_ARC
(10,17),-0.148706 # DEPENDENCYPART_ARC
(11,1),-0.983551 # DEPENDENCYPART_ARC
(11,2),-0.554723 # DEPENDENCYPART_ARC
(11,3),-1.58247 # DEPENDENCYPART_ARC
(11,4),-1.51829 # DEPENDENCYPART_ARC
(11,5),-0.410396 # DEPENDENCYPART_ARC
(11,6),-0.699775 # DEPENDENCYPART_ARC
(11,7),-0.961457 # DEPENDENCYPART_ARC
(11,8),-0.122707 # DEPENDENCYPART_ARC
(11,9),-0.831558 # DEPENDENCYPART_ARC
(11,10),0.501038 # DEPENDENCYPART_ARC
(11,12),0.271807 # DEPENDENCYPART_ARC
(11,13),2.35038 # DEPENDENCYPART_ARC
(11,14),1.39717 # DEPENDENCYPART_ARC
(11,15),-0.892802 # DEPENDENCYPART_ARC
(11,16),0.350533 # DEPENDENCYPART_ARC
(11,17),-0.230868 # DEPENDENCYPART_ARC
(12,1),-1.89808 # DEPENDENCYPART_ARC
(12,2),-2.14993 # DEPENDENCYPART_ARC
(12,3),-2.74573 # DEPENDENCYPART_ARC
(12,4),-2.79127 # DEPENDENCYPART_ARC
(12,5),-2.01588 # DEPENDENCYPART_ARC
(12,6),-1.91314 # DEPENDENCYPART_ARC
(12,7),-3.32143 # DEPENDENCYPART_ARC
(12,8),-1.58139 # DEPENDENCYPART_ARC
(12,9),-1.697 # DEPENDENCYPART_ARC
(12,10),-1.01655 # DEPENDENCYPART_ARC
(12,11),-0.645891 # DEPENDENCYPART_ARC
(12,13),-0.0325636 # DEPENDENCYPART_ARC
(12,14),0.00117931 # DEPENDENCYPART_ARC
(12,15),-0.714995 # DEPENDENCYPART_ARC
(12,16),-1.14455 # DEPENDENCYPART_ARC
(12,17),-0.532176 # DEPENDENCYPART_ARC
(13,1),-1.73759 # DEPENDENCYPART_ARC
(13,2),-1.5721 # DEPENDENCYPART_ARC
(13,3),-2.14204 # DEPENDENCYPART_ARC
(13,4),-2.40388 # DEPENDENCYPART_ARC
(13,5),-1.4641 # DEPENDENCYPART_ARC
(13,6),-1.02661 # DEPENDENCYPART_ARC
(13,7),-1.97554 # DEPENDENCYPART_ARC
(13,8),-0.444653 # DEPENDENCYPART_ARC
(13,9),-0.699926 # DEPENDENCYPART_ARC
(13,10),-0.381403 # DEPENDENCYPART_ARC
(13,11),0.302554 # DEPENDENCYPART_ARC
(13,12),3.34267 # DEPENDENCYPART_ARC
(13,14),0.436271 # DEPENDENCYPART_ARC
(13,15),-0.762952 # DEPENDENCYPART_ARC
(13,16),-0.915497 # DEPENDENCYPART_ARC
(13,17),-0.623179 # DEPENDENCYPART_ARC
(14,1),-0.216641 # DEPENDENCYPART_ARC
(14,2),-0.0896764 # DEPENDENCYPART_ARC
(14,3),-0.405831 # DEPENDENCYPART_ARC
(14,4),-0.378349 # DEPENDENCYPART_ARC
(14,5),0.132567 # DEPENDENCYPART_ARC
(14,6),0.313586 # DEPENDENCYPART_ARC
(14,7),0.331723 # DEPENDENCYPART_ARC
(14,8),0.729369 # DEPENDENCYPART_ARC
(14,9),0.572113 # DEPENDENCYPART_ARC
(14,10),-0.0585404 # DEPENDENCYPART_ARC
(14,11),0.909048 # DEPENDENCYPART_ARC
(14,12),0.83778 # DEPENDENCYPART_ARC
(14,13),2.79159 # DEPENDENCYPART_ARC
(14,15),0.356922 # DEPENDENCYPART_ARC
(14,16),2.26409 # DEPENDENCYPART_ARC
(14,17),0.446593 # DEPENDENCYPART_ARC
(15,1),-1.49705 # DEPENDENCYPART_ARC
(15,2),-1.74642 # DEPENDENCYPART_ARC
(15,3),-2.4202 # DEPENDENCYPART_ARC
(15,4),-2.39902 # DEPENDENCYPART_ARC
(15,5),-1.67902 # DEPENDENCYPART_ARC
(15,6),-1.48615 # DEPENDENCYPART_ARC
(15,7),-2.98612 # DEPENDENCYPART_ARC
(15,8),-1.20616 # DEPENDENCYPART_ARC
(15,9),-1.61527 # DEPENDENCYPART_ARC
(15,10),-1.07289 # DEPENDENCYPART_ARC
(15,11),-1.0779 # DEPENDENCYPART_ARC
(15,12),-0.258973 # DEPENDENCYPART_ARC
(15,13),-1.0431 # DEPENDENCYPART_ARC
(15,14),-0.323623 # DEPENDENCYPART_ARC
(15,16),-0.190291 # DEPENDENCYPART_ARC
(15,17),-0.43109 # DEPENDENCYPART_ARC
(16,1),-1.69319 # DEPENDENCYPART_ARC
(16,2),-1.38452 # DEPENDENCYPART_ARC
(16,3),-2.37431 # DEPENDENCYPART_ARC
(16,4),-2.91918 # DEPENDENCYPART_ARC
(16,5),-1.4617 # DEPENDENCYPART_ARC
(16,6),-1.05974 # DEPENDENCYPART_ARC
(16,7),-1.96892 # DEPENDENCYPART_ARC
(16,8),-0.702249 # DEPENDENCYPART_ARC
(16,9),-1.34553 # DEPENDENCYPART_ARC
(16,10),-0.841119 # DEPENDENCYPART_ARC
(16,11),-0.645588 # DEPENDENCYPART_ARC
(16,12),1.0891 # DEPENDENCYPART_ARC
(16,13),-0.544386 # DEPENDENCYPART_ARC
(16,14),0.42217 # DEPENDENCYPART_ARC
(16,15),3.09917 # DEPENDENCYPART_ARC
(16,17),0.453159 # DEPENDENCYPART_ARC
(17,1),-1.87474 # DEPENDENCYPART_ARC
(17,2),-2.15617 # DEPENDENCYPART_ARC
(17,3),-2.74574 # DEPENDENCYPART_ARC
(17,4),-2.9246 # DEPENDENCYPART_ARC
(17,5),-2.21733 # DEPENDENCYPART_ARC
(17,6),-1.69776 # DEPENDENCYPART_ARC
(17,7),-2.26726 # DEPENDENCYPART_ARC
(17,8),-1.87616 # DEPENDENCYPART_ARC
(17,9),-2.16152 # DEPENDENCYPART_ARC
(17,10),-1.62113 # DEPENDENCYPART_ARC
(17,11),-1.71274 # DEPENDENCYPART_ARC
(17,12),-1.71921 # DEPENDENCYPART_ARC
(17,13),-1.98759 # DEPENDENCYPART_ARC
(17,14),-1.55872 # DEPENDENCYPART_ARC
(17,15),-1.36731 # DEPENDENCYPART_ARC
(17,16),-1.70466 # DEPENDENCYPART_ARC
