# _root_ Το χρονικό πλαίσιο είναι ήδη επαρκώς δομημένο διότι , μετά τη διαβούλευση , ο τελικός κανονισμός της Επιτροπής θα εγκριθεί πριν από το καλοκαίρι αυτού του έτους .
#goldHeads=3,3,4,0,4,7,4,4,10,20,12,10,10,16,16,20,18,16,20,8,20,21,24,22,24,27,25,0,
#predictedHeads=3,3,4,0,4,7,4,4,10,20,12,10,10,16,16,20,18,16,20,8,20,21,24,22,27,27,24,0,
(12,15),-0.966376 # DEPENDENCYPART_ARC
(12,16),-1.51929 # DEPENDENCYPART_ARC
(12,18),-0.508572 # DEPENDENCYPART_ARC
(12,20),-1.24426 # DEPENDENCYPART_ARC
(12,22),-1.18554 # DEPENDENCYPART_ARC
(13,3),-1.49853 # DEPENDENCYPART_ARC
(13,4),-1.07409 # DEPENDENCYPART_ARC
(13,5),-0.974633 # DEPENDENCYPART_ARC
(13,6),-0.976916 # DEPENDENCYPART_ARC
(13,7),-1.13779 # DEPENDENCYPART_ARC
(13,8),-0.845216 # DEPENDENCYPART_ARC
(13,9),-0.831033 # DEPENDENCYPART_ARC
(13,10),-0.612989 # DEPENDENCYPART_ARC
(13,12),-0.291913 # DEPENDENCYPART_ARC
(13,15),-0.881784 # DEPENDENCYPART_ARC
(13,16),-0.878958 # DEPENDENCYPART_ARC
(13,18),-1.19814 # DEPENDENCYPART_ARC
(13,20),-1.02247 # DEPENDENCYPART_ARC
(13,21),-1.26694 # DEPENDENCYPART_ARC
(13,22),-1.04357 # DEPENDENCYPART_ARC
(15,12),-1.81083 # DEPENDENCYPART_ARC
(15,13),-0.706341 # DEPENDENCYPART_ARC
(15,14),0.7018 # DEPENDENCYPART_ARC
(15,16),-1.14541 # DEPENDENCYPART_ARC
(15,18),-0.482523 # DEPENDENCYPART_ARC
(15,22),-0.759234 # DEPENDENCYPART_ARC
(15,24),-2.40331 # DEPENDENCYPART_ARC
(16,10),-1.02233 # DEPENDENCYPART_ARC
(16,11),-0.59513 # DEPENDENCYPART_ARC
(16,12),-1.47901 # DEPENDENCYPART_ARC
(16,13),-0.554915 # DEPENDENCYPART_ARC
(16,14),2.29346 # DEPENDENCYPART_ARC
(16,15),2.4087 # DEPENDENCYPART_ARC
(16,17),-0.480561 # DEPENDENCYPART_ARC
(16,18),0.996267 # DEPENDENCYPART_ARC
(16,20),-0.911724 # DEPENDENCYPART_ARC
(16,21),-0.665928 # DEPENDENCYPART_ARC
(16,22),-0.955278 # DEPENDENCYPART_ARC
(16,24),-1.79183 # DEPENDENCYPART_ARC
(16,27),-0.918635 # DEPENDENCYPART_ARC
(18,11),-1.74949 # DEPENDENCYPART_ARC
(18,14),-1.06461 # DEPENDENCYPART_ARC
(18,15),-1.45065 # DEPENDENCYPART_ARC
(18,16),-1.01264 # DEPENDENCYPART_ARC
(18,17),2.26116 # DEPENDENCYPART_ARC
(18,20),-1.107 # DEPENDENCYPART_ARC
(18,21),-0.940938 # DEPENDENCYPART_ARC
(18,22),-1.10295 # DEPENDENCYPART_ARC
(18,24),-2.09688 # DEPENDENCYPART_ARC
(18,27),-1.37332 # DEPENDENCYPART_ARC
(20,2),-1.71496 # DEPENDENCYPART_ARC
(20,3),-0.493438 # DEPENDENCYPART_ARC
(20,4),-2.027 # DEPENDENCYPART_ARC
(20,5),-0.383768 # DEPENDENCYPART_ARC
(20,6),-0.309315 # DEPENDENCYPART_ARC
(20,7),-1.28746 # DEPENDENCYPART_ARC
(20,8),-0.41601 # DEPENDENCYPART_ARC
(20,9),-0.267409 # DEPENDENCYPART_ARC
(20,10),0.206524 # DEPENDENCYPART_ARC
(20,12),-0.864511 # DEPENDENCYPART_ARC
(20,13),-0.0550808 # DEPENDENCYPART_ARC
(20,15),-0.828794 # DEPENDENCYPART_ARC
(20,16),0.250104 # DEPENDENCYPART_ARC
(20,17),-1.54592 # DEPENDENCYPART_ARC
(20,18),-0.617941 # DEPENDENCYPART_ARC
(20,19),1.84736 # DEPENDENCYPART_ARC
(20,21),1.44289 # DEPENDENCYPART_ARC
(20,22),0.798766 # DEPENDENCYPART_ARC
(20,24),0.347701 # DEPENDENCYPART_ARC
(20,27),-1.84301 # DEPENDENCYPART_ARC
(20,28),-0.00506059 # DEPENDENCYPART_ARC
(21,4),-1.52054 # DEPENDENCYPART_ARC
(21,5),-0.471834 # DEPENDENCYPART_ARC
(21,6),-0.628368 # DEPENDENCYPART_ARC
(21,10),-0.761037 # DEPENDENCYPART_ARC
(21,12),-1.22149 # DEPENDENCYPART_ARC
(21,16),-1.19791 # DEPENDENCYPART_ARC
(21,18),-1.0238 # DEPENDENCYPART_ARC
(21,22),0.795703 # DEPENDENCYPART_ARC
(21,24),-0.561898 # DEPENDENCYPART_ARC
(21,27),-0.726341 # DEPENDENCYPART_ARC
(22,21),-0.561289 # DEPENDENCYPART_ARC
(22,23),-0.074805 # DEPENDENCYPART_ARC
(22,24),1.32215 # DEPENDENCYPART_ARC
(22,27),-0.0503963 # DEPENDENCYPART_ARC
(24,14),-1.9109 # DEPENDENCYPART_ARC
(24,17),-1.78021 # DEPENDENCYPART_ARC
(24,21),-0.614753 # DEPENDENCYPART_ARC
(24,22),-0.531163 # DEPENDENCYPART_ARC
(24,23),2.41558 # DEPENDENCYPART_ARC
(24,25),1.01753 # DEPENDENCYPART_ARC
(24,26),-0.650321 # DEPENDENCYPART_ARC
(24,27),0.59215 # DEPENDENCYPART_ARC
(25,27),-0.571629 # DEPENDENCYPART_ARC
(25,28),-0.35134 # DEPENDENCYPART_ARC
(26,25),0.629696 # DEPENDENCYPART_ARC
(27,17),-2.31317 # DEPENDENCYPART_ARC
(27,21),-1.0095 # DEPENDENCYPART_ARC
(27,22),-1.19578 # DEPENDENCYPART_ARC
(27,23),-0.92477 # DEPENDENCYPART_ARC
(27,24),-1.46374 # DEPENDENCYPART_ARC
(27,25),1.86736 # DEPENDENCYPART_ARC
(27,26),2.14423 # DEPENDENCYPART_ARC
(28,24),-1.70112 # DEPENDENCYPART_ARC
(28,27),-1.17274 # DEPENDENCYPART_ARC
(0,2),(0,3),0.155475 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.259854 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.00939398 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0093533 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.250001 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0683857 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0790527 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0790527 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.250001 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.00951405 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.0140481 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.313038 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.251018 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0217846 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0217204 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.238621 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0748307 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.00659096 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.00659096 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.238621 # DEPENDENCYPART_SIBL
(0,3),(0,21),0.0168083 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.00224215 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.218261 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.141094 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.140725 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.633896 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.327524 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0913201 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0913201 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.633896 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.142632 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.156013 # DEPENDENCYPART_SIBL
(0,4),(0,28),-0.166469 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0227507 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.186474 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.00481738 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.031608 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.031608 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.186479 # DEPENDENCYPART_SIBL
(0,5),(0,21),0.0262541 # DEPENDENCYPART_SIBL
(0,5),(0,25),0.0108867 # DEPENDENCYPART_SIBL
(0,5),(0,28),-0.0796775 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.183551 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.00223155 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.0378258 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.0378258 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.183556 # DEPENDENCYPART_SIBL
(0,6),(0,21),0.0252886 # DEPENDENCYPART_SIBL
(0,6),(0,25),0.01143 # DEPENDENCYPART_SIBL
(0,6),(0,28),-0.0765052 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.291246 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0686333 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0686333 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.605928 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.120298 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.137708 # DEPENDENCYPART_SIBL
(0,7),(0,28),-0.121078 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0219976 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0219976 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.262644 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.0183831 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.0473195 # DEPENDENCYPART_SIBL
(0,8),(0,28),-0.0222838 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0210454 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.211257 # DEPENDENCYPART_SIBL
(0,9),(0,21),0.0376523 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.00402593 # DEPENDENCYPART_SIBL
(0,9),(0,28),-0.402918 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.211257 # DEPENDENCYPART_SIBL
(0,13),(0,21),0.0376523 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.00402593 # DEPENDENCYPART_SIBL
(0,13),(0,28),-0.402918 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.120352 # DEPENDENCYPART_SIBL
(0,20),(0,25),-0.137762 # DEPENDENCYPART_SIBL
(0,20),(0,28),-0.118885 # DEPENDENCYPART_SIBL
(0,21),(0,25),0.0113857 # DEPENDENCYPART_SIBL
(0,21),(0,28),-0.0782314 # DEPENDENCYPART_SIBL
(0,25),(0,28),-0.215881 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0761257 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0210139 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00241956 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0407606 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0181487 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00360268 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00831924 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00226442 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.150477 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0119386 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.078942 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0017656 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0114226 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0126795 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0475576 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0138314 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00459149 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.026855 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0253587 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0125773 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.042544 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0470176 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0482889 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.10459 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0534728 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.00242721 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.000288084 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.010221 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00261451 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.007608 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0429683 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0316243 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.00453157 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00525185 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0262687 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0084571 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0126216 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0806393 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0321792 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0254454 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0806393 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0211359 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0263716 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0105022 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.00342684 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.0229563 # DEPENDENCYPART_SIBL
(4,1),(4,27),0.0191306 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0654596 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.014705 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00601238 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00318023 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.059442 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0553588 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00749104 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0466509 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0553588 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0467951 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.045783 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.00582465 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.0221814 # DEPENDENCYPART_SIBL
(4,2),(4,24),0.0475759 # DEPENDENCYPART_SIBL
(4,2),(4,27),0.0477072 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0324535 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0173623 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0251927 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0334936 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.000864229 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0152063 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0071388 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.000864229 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0094551 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.00907653 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.022585 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0183362 # DEPENDENCYPART_SIBL
(4,3),(4,24),-0.00182202 # DEPENDENCYPART_SIBL
(4,3),(4,27),-0.00958482 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0133534 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0169521 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0627846 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0379902 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.00564553 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0601799 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0379902 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0601333 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.058631 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0168155 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0328732 # DEPENDENCYPART_SIBL
(4,5),(4,24),0.092148 # DEPENDENCYPART_SIBL
(4,5),(4,27),0.0601799 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00484051 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.030005 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0227151 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0421096 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.00224053 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0227151 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.00219396 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.000691624 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0049771 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.00402858 # DEPENDENCYPART_SIBL
(4,6),(4,24),0.0342087 # DEPENDENCYPART_SIBL
(4,6),(4,27),0.00224053 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0706686 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0668766 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0430672 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0761378 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0668766 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0761533 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0746344 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.209292 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.000622153 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.0535298 # DEPENDENCYPART_SIBL
(4,7),(4,27),-0.0761386 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.00550594 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0877195 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0679462 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.00550594 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0679617 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0684955 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0326222 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.032726 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.0287496 # DEPENDENCYPART_SIBL
(4,8),(4,27),-0.0679464 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0461116 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0129073 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.107668 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0128918 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0116691 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.00566178 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.0575576 # DEPENDENCYPART_SIBL
(4,9),(4,24),0.0747458 # DEPENDENCYPART_SIBL
(4,9),(4,27),0.0129073 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0312049 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.00108246 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0312201 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0335096 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.0166126 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.0425861 # DEPENDENCYPART_SIBL
(4,10),(4,24),0.00225749 # DEPENDENCYPART_SIBL
(4,10),(4,27),-0.0313659 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0470273 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.285902 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.271907 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.0823126 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.00657447 # DEPENDENCYPART_SIBL
(4,12),(4,24),-0.268259 # DEPENDENCYPART_SIBL
(4,12),(4,27),-0.286077 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.0128918 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.0116691 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.00566178 # DEPENDENCYPART_SIBL
(4,13),(4,21),0.0575576 # DEPENDENCYPART_SIBL
(4,13),(4,24),0.0747458 # DEPENDENCYPART_SIBL
(4,13),(4,27),0.0129073 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.27514 # DEPENDENCYPART_SIBL
(4,16),(4,20),-0.0816472 # DEPENDENCYPART_SIBL
(4,16),(4,21),-0.00542991 # DEPENDENCYPART_SIBL
(4,16),(4,24),-0.271492 # DEPENDENCYPART_SIBL
(4,16),(4,27),-0.28931 # DEPENDENCYPART_SIBL
(4,18),(4,20),-0.0833571 # DEPENDENCYPART_SIBL
