# _root_ Η πρόταση , κατά την άποψή μας , βελτιώνει και δεν υπονομεύει την ασφαλή και αξιόπιστη επισκευή των αυτοκινήτων .
#goldHeads=2,10,4,10,6,4,6,4,10,0,12,10,17,15,17,15,12,19,17,0,
#predictedHeads=2,10,4,9,6,4,6,4,10,0,12,10,17,15,17,15,12,19,17,0,
(12,16),-1.33568 # DEPENDENCYPART_ARC
(12,17),0.529448 # DEPENDENCYPART_ARC
(12,19),-2.24349 # DEPENDENCYPART_ARC
(12,20),-0.133223 # DEPENDENCYPART_ARC
(14,6),-2.04619 # DEPENDENCYPART_ARC
(14,13),0.328859 # DEPENDENCYPART_ARC
(14,15),-0.0907289 # DEPENDENCYPART_ARC
(14,16),-1.46291 # DEPENDENCYPART_ARC
(14,17),-1.54225 # DEPENDENCYPART_ARC
(14,19),-0.544822 # DEPENDENCYPART_ARC
(15,2),-0.576342 # DEPENDENCYPART_ARC
(15,3),-0.758211 # DEPENDENCYPART_ARC
(15,4),-0.813309 # DEPENDENCYPART_ARC
(15,6),-0.312084 # DEPENDENCYPART_ARC
(15,8),-0.340348 # DEPENDENCYPART_ARC
(15,9),-0.236466 # DEPENDENCYPART_ARC
(15,10),-0.102488 # DEPENDENCYPART_ARC
(15,11),-0.481244 # DEPENDENCYPART_ARC
(15,12),0.31734 # DEPENDENCYPART_ARC
(15,13),-0.226352 # DEPENDENCYPART_ARC
(15,14),1.5137 # DEPENDENCYPART_ARC
(15,16),1.87704 # DEPENDENCYPART_ARC
(15,17),0.0446938 # DEPENDENCYPART_ARC
(15,19),-0.694779 # DEPENDENCYPART_ARC
(15,20),-0.415725 # DEPENDENCYPART_ARC
(16,13),-0.47701 # DEPENDENCYPART_ARC
(16,14),-0.11385 # DEPENDENCYPART_ARC
(16,15),0.196365 # DEPENDENCYPART_ARC
(16,17),-0.616383 # DEPENDENCYPART_ARC
(16,19),-0.346308 # DEPENDENCYPART_ARC
(16,20),-0.585844 # DEPENDENCYPART_ARC
(17,8),-0.838714 # DEPENDENCYPART_ARC
(17,10),-0.218182 # DEPENDENCYPART_ARC
(17,12),-2.71742 # DEPENDENCYPART_ARC
(17,13),1.13438 # DEPENDENCYPART_ARC
(17,14),0.467276 # DEPENDENCYPART_ARC
(17,15),0.873425 # DEPENDENCYPART_ARC
(17,16),2.00389 # DEPENDENCYPART_ARC
(17,18),-0.0321357 # DEPENDENCYPART_ARC
(17,19),1.09069 # DEPENDENCYPART_ARC
(17,20),-0.210833 # DEPENDENCYPART_ARC
(19,13),-2.82952 # DEPENDENCYPART_ARC
(19,14),-2.16899 # DEPENDENCYPART_ARC
(19,15),-0.295855 # DEPENDENCYPART_ARC
(19,16),-1.84687 # DEPENDENCYPART_ARC
(19,17),-2.39938 # DEPENDENCYPART_ARC
(19,18),2.20969 # DEPENDENCYPART_ARC
(19,20),-0.521229 # DEPENDENCYPART_ARC
(20,3),-1.56748 # DEPENDENCYPART_ARC
(20,9),-1.77007 # DEPENDENCYPART_ARC
(20,12),-1.71535 # DEPENDENCYPART_ARC
(20,16),-1.69288 # DEPENDENCYPART_ARC
(20,17),-1.44841 # DEPENDENCYPART_ARC
(20,19),-1.14127 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0120087 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.174111 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0241707 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0120087 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.244785 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.171202 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.244785 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0296125 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.171202 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0296125 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.0241707 # DEPENDENCYPART_SIBL
(0,2),(0,19),0.0238749 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.231216 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.00168943 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.219643 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0210454 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.210366 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.030572 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.210366 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.00771071 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.030572 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.00771071 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.219643 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.219643 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.402918 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.00536513 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.244776 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.362711 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.197497 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.362711 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.141459 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.197497 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.141459 # DEPENDENCYPART_SIBL
(0,4),(0,17),0.00974018 # DEPENDENCYPART_SIBL
(0,4),(0,19),0.00963156 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.511561 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.00171871 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.239183 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.163405 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.239183 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0254557 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.163405 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0254557 # DEPENDENCYPART_SIBL
(0,6),(0,17),0.0279187 # DEPENDENCYPART_SIBL
(0,6),(0,19),0.0276229 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.218547 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.210366 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.030572 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.210366 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.00771071 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.030572 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.00771071 # DEPENDENCYPART_SIBL
(0,8),(0,17),0.219643 # DEPENDENCYPART_SIBL
(0,8),(0,19),0.219643 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.402918 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.355729 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.605928 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.162284 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.355729 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.162284 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0184369 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0184369 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.121042 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.297346 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0782152 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.203802 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0782152 # DEPENDENCYPART_SIBL
(0,10),(0,17),6.64618e-05 # DEPENDENCYPART_SIBL
(0,10),(0,19),6.64532e-05 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.0414874 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.162284 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.355729 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.162284 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0184369 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0184369 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.121042 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.116729 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0153585 # DEPENDENCYPART_SIBL
(0,14),(0,17),0.155511 # DEPENDENCYPART_SIBL
(0,14),(0,19),0.155511 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.31303 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0782152 # DEPENDENCYPART_SIBL
(0,15),(0,17),6.64618e-05 # DEPENDENCYPART_SIBL
(0,15),(0,19),6.64532e-05 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.0414874 # DEPENDENCYPART_SIBL
(0,16),(0,17),0.155511 # DEPENDENCYPART_SIBL
(0,16),(0,19),0.155511 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.31303 # DEPENDENCYPART_SIBL
(0,17),(0,19),0.0284597 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.218542 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.218542 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0825154 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0124791 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0157954 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0825154 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0137904 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00941587 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0137904 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00406964 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0583529 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0147282 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0130925 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0113688 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0130925 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0140708 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0258843 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0120327 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0815405 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0120327 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0465049 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.00169525 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.194636 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.00169525 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0130925 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0113688 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0130925 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0828273 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0952421 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0116114 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.034564 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.216141 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0178325 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0241893 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.146559 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0241893 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.021615 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0216753 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0198663 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0190608 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0114929 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0178509 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0114929 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0167116 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0167116 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.22232 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0547289 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.00875124 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0547289 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0692682 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.0692682 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.00667987 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00586209 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.00667987 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0678845 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0678845 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.051689 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.134611 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0139112 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0139112 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0065038 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0219216 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.0219216 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0139112 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.0139112 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.0316914 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0502468 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0307484 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0378185 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0391425 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0322811 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0456666 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0456666 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.00984209 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0319783 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.106838 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.549862 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.106429 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0395223 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0395223 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.312396 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.083536 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.00360667 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0254135 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.129184 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.129184 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0263681 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.000795619 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.18199 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.449727 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.449727 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.130802 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0217882 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0838603 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0838603 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0794777 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.183697 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.183697 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.0919296 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.155887 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0577214 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.0577214 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.121196 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0779358 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.084725 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.380499 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0377309 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0888466 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0186456 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0106872 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0186456 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0106872 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0147299 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.00991193 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.00824953 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0267623 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.136806 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0462074 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.00882543 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00147882 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.00237952 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.00147882 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.00237952 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0072653 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.00886633 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0779745 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0834107 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.00953802 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.192008 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0124732 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0274321 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0124732 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0274321 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0266812 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0250802 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.164434 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0517634 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0366649 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.00400074 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00582931 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.00400074 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.00582931 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0306157 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0290146 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0541373 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0627191 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0568307 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0366044 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0568307 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0366044 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.00979107 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.00497314 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0768112 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0824821 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.115683 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0824821 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.115683 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.111279 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.111279 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0166539 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.00169409 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0166539 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.00169409 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.0608772 # DEPENDENCYPART_SIBL
(6,8),(6,19),0.0608772 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0702167 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0925439 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0702167 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.0184932 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.0184932 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.00579651 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0722243 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.00484381 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.00484381 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0702167 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.0184932 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.0184932 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.00484381 # DEPENDENCYPART_SIBL
(6,15),(6,19),-0.00484381 # DEPENDENCYPART_SIBL
(6,17),(6,19),-0.122503 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.336862 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0316817 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.00436091 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0241893 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.146559 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.0241893 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.021615 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0309441 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.186654 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.00548204 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0331941 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.00548204 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0614585 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0298758 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0650556 # DEPENDENCYPART_SIBL
