# _root_ Επίσης , μέσα στο Κάστρο υπήρχαν οι απαραίτητες δεξαμενές για νερό , ενώ το Νεκροταφείο βρισκόταν έξω από την πόλη .
#goldHeads=13,13,6,3,4,13,9,9,6,9,10,13,0,15,16,13,16,17,20,18,0,
#predictedHeads=6,6,6,3,4,13,9,9,6,9,10,13,0,15,16,13,16,16,20,18,0,
(9,1),-1.15697 # DEPENDENCYPART_ARC
(9,5),-2.19585 # DEPENDENCYPART_ARC
(9,6),-3.31711 # DEPENDENCYPART_ARC
(9,7),2.58266 # DEPENDENCYPART_ARC
(9,8),2.88905 # DEPENDENCYPART_ARC
(9,10),0.698753 # DEPENDENCYPART_ARC
(9,11),-0.607518 # DEPENDENCYPART_ARC
(9,12),-0.277956 # DEPENDENCYPART_ARC
(9,13),-0.437773 # DEPENDENCYPART_ARC
(9,15),-2.03817 # DEPENDENCYPART_ARC
(9,16),-1.70443 # DEPENDENCYPART_ARC
(9,17),-0.893445 # DEPENDENCYPART_ARC
(9,18),-1.15136 # DEPENDENCYPART_ARC
(10,9),-0.906506 # DEPENDENCYPART_ARC
(10,11),2.12513 # DEPENDENCYPART_ARC
(10,12),-0.146713 # DEPENDENCYPART_ARC
(10,13),-0.0660171 # DEPENDENCYPART_ARC
(10,15),-0.358316 # DEPENDENCYPART_ARC
(10,16),-1.14838 # DEPENDENCYPART_ARC
(10,17),-1.09863 # DEPENDENCYPART_ARC
(11,7),-1.70847 # DEPENDENCYPART_ARC
(11,8),-1.82585 # DEPENDENCYPART_ARC
(11,9),-1.66231 # DEPENDENCYPART_ARC
(11,10),-0.439366 # DEPENDENCYPART_ARC
(11,12),-0.309488 # DEPENDENCYPART_ARC
(11,13),-0.60666 # DEPENDENCYPART_ARC
(11,15),-1.42118 # DEPENDENCYPART_ARC
(11,16),-1.56298 # DEPENDENCYPART_ARC
(12,1),-0.957763 # DEPENDENCYPART_ARC
(12,2),-0.905526 # DEPENDENCYPART_ARC
(12,4),-1.01651 # DEPENDENCYPART_ARC
(12,5),-1.2542 # DEPENDENCYPART_ARC
(12,6),-1.17042 # DEPENDENCYPART_ARC
(12,8),-1.22471 # DEPENDENCYPART_ARC
(12,9),-0.807757 # DEPENDENCYPART_ARC
(12,10),-0.668485 # DEPENDENCYPART_ARC
(12,11),-0.458011 # DEPENDENCYPART_ARC
(12,13),-0.405516 # DEPENDENCYPART_ARC
(12,15),-1.15481 # DEPENDENCYPART_ARC
(12,16),-1.10118 # DEPENDENCYPART_ARC
(12,18),-1.29666 # DEPENDENCYPART_ARC
(12,20),-1.78589 # DEPENDENCYPART_ARC
(13,1),-0.751212 # DEPENDENCYPART_ARC
(13,2),-0.93091 # DEPENDENCYPART_ARC
(13,3),-0.519794 # DEPENDENCYPART_ARC
(13,4),-0.836585 # DEPENDENCYPART_ARC
(13,5),-0.693805 # DEPENDENCYPART_ARC
(13,6),0.337351 # DEPENDENCYPART_ARC
(13,7),-0.914947 # DEPENDENCYPART_ARC
(13,8),-0.720057 # DEPENDENCYPART_ARC
(13,9),-0.426385 # DEPENDENCYPART_ARC
(13,10),-0.379589 # DEPENDENCYPART_ARC
(13,11),-0.0629967 # DEPENDENCYPART_ARC
(13,12),1.16596 # DEPENDENCYPART_ARC
(13,14),-0.0448676 # DEPENDENCYPART_ARC
(13,15),0.240117 # DEPENDENCYPART_ARC
(13,16),1.06967 # DEPENDENCYPART_ARC
(13,17),-0.723037 # DEPENDENCYPART_ARC
(13,18),-0.796924 # DEPENDENCYPART_ARC
(13,20),-1.30667 # DEPENDENCYPART_ARC
(13,21),-0.393768 # DEPENDENCYPART_ARC
(15,7),-1.65384 # DEPENDENCYPART_ARC
(15,10),-1.14891 # DEPENDENCYPART_ARC
(15,11),-1.22378 # DEPENDENCYPART_ARC
(15,12),-0.816726 # DEPENDENCYPART_ARC
(15,13),0.166475 # DEPENDENCYPART_ARC
(15,14),2.60013 # DEPENDENCYPART_ARC
(15,16),-0.986221 # DEPENDENCYPART_ARC
(15,17),-0.820766 # DEPENDENCYPART_ARC
(15,18),-0.913608 # DEPENDENCYPART_ARC
(15,20),-1.26786 # DEPENDENCYPART_ARC
(16,1),0.118163 # DEPENDENCYPART_ARC
(16,2),-0.555247 # DEPENDENCYPART_ARC
(16,3),-0.0559792 # DEPENDENCYPART_ARC
(16,4),-0.593569 # DEPENDENCYPART_ARC
(16,5),-1.24858 # DEPENDENCYPART_ARC
(16,6),-0.763785 # DEPENDENCYPART_ARC
(16,8),-0.805961 # DEPENDENCYPART_ARC
(16,9),-0.323715 # DEPENDENCYPART_ARC
(16,10),-0.515854 # DEPENDENCYPART_ARC
(16,11),-1.01874 # DEPENDENCYPART_ARC
(16,12),0.0328677 # DEPENDENCYPART_ARC
(16,13),-0.239116 # DEPENDENCYPART_ARC
(16,14),-0.247627 # DEPENDENCYPART_ARC
(16,15),1.00696 # DEPENDENCYPART_ARC
(16,17),1.38549 # DEPENDENCYPART_ARC
(16,18),0.715027 # DEPENDENCYPART_ARC
(16,20),0.0593645 # DEPENDENCYPART_ARC
(16,21),-0.0720339 # DEPENDENCYPART_ARC
(17,1),-0.733384 # DEPENDENCYPART_ARC
(17,2),-0.940783 # DEPENDENCYPART_ARC
(17,3),-0.711774 # DEPENDENCYPART_ARC
(17,9),-1.19685 # DEPENDENCYPART_ARC
(17,10),-0.71301 # DEPENDENCYPART_ARC
(17,11),-1.15156 # DEPENDENCYPART_ARC
(17,12),-0.669038 # DEPENDENCYPART_ARC
(17,14),-0.865697 # DEPENDENCYPART_ARC
(17,15),-0.811315 # DEPENDENCYPART_ARC
(17,18),0.569026 # DEPENDENCYPART_ARC
(17,20),-0.914305 # DEPENDENCYPART_ARC
(17,21),-0.519723 # DEPENDENCYPART_ARC
(18,15),-1.6475 # DEPENDENCYPART_ARC
(18,17),-0.476349 # DEPENDENCYPART_ARC
(18,19),-0.0444806 # DEPENDENCYPART_ARC
(18,20),1.37298 # DEPENDENCYPART_ARC
(18,21),-0.262882 # DEPENDENCYPART_ARC
(20,14),-2.06023 # DEPENDENCYPART_ARC
(20,17),-0.927587 # DEPENDENCYPART_ARC
(20,18),-0.781725 # DEPENDENCYPART_ARC
(20,19),2.20697 # DEPENDENCYPART_ARC
(20,21),-0.275802 # DEPENDENCYPART_ARC
(21,16),-1.6176 # DEPENDENCYPART_ARC
(21,18),-1.22154 # DEPENDENCYPART_ARC
(21,20),-1.07125 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0148786 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.000324003 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0356439 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.155218 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.205887 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0136597 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.158366 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0148786 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0382154 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.205887 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0039787 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.158083 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.137163 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0343961 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.00586757 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.219634 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.211302 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.00771071 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.219638 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0210454 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.044797 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.210366 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.0344713 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.21833 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.402918 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0558757 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.17923 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.183891 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0084894 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.182377 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0397546 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0133275 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.183891 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0224617 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.182089 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.075785 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0209118 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.358828 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.1465 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0209082 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.232627 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.186013 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.358828 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.112185 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0213874 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.493736 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.236622 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0254642 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.0283474 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.0014582 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0866105 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.23919 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.0220939 # DEPENDENCYPART_SIBL
(0,5),(0,20),0.0281522 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.218687 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.161995 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0181484 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0678381 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.31103 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.605783 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.118436 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0183541 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.12003 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.154784 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0790452 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0689968 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.249995 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.00967672 # DEPENDENCYPART_SIBL
(0,8),(0,20),0.154287 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.31303 # DEPENDENCYPART_SIBL
(0,9),(0,12),0.00172897 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0865662 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.239183 # DEPENDENCYPART_SIBL
(0,9),(0,17),0.0223019 # DEPENDENCYPART_SIBL
(0,9),(0,20),0.0285603 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.218542 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.044797 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.210366 # DEPENDENCYPART_SIBL
(0,12),(0,17),0.0344713 # DEPENDENCYPART_SIBL
(0,12),(0,20),0.21833 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.402918 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.216661 # DEPENDENCYPART_SIBL
(0,13),(0,17),0.0297126 # DEPENDENCYPART_SIBL
(0,13),(0,20),0.112019 # DEPENDENCYPART_SIBL
(0,13),(0,21),0.154953 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.112558 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0124783 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.0994692 # DEPENDENCYPART_SIBL
(0,17),(0,20),0.182286 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.0772808 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.225267 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0162875 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.048529 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00491492 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00310158 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0186291 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.019315 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.106812 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0172101 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.090936 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0798385 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0481201 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00252253 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00733451 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0117123 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.000357905 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00589152 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00699779 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0118147 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0572957 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0692591 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0139042 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0367113 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.025165 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0436006 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00680153 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0435223 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0248212 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0435223 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.00359271 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.00875395 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00680153 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0217715 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0435731 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00566243 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.131569 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00535572 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.00408967 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.00883563 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.325754 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.053849 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.131569 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0537339 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.024701 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0220225 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.024701 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0556915 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.024701 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0375181 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0422285 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0220225 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0163623 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0299497 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.148087 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0289075 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.148087 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0184363 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0747478 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0325173 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0134507 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.000794917 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0186533 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.000796872 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.13929 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0445955 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.120755 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0255184 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.028835 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.147687 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0186947 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0747106 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0325173 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.01325 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0220437 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0266192 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0210689 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0183021 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0057152 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0185732 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0747106 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0325173 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0106732 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0413953 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.00174885 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0144222 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0112479 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0285341 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.025522 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0621657 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00655541 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0404 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0143802 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0104767 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.22479 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0146096 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00539031 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0348136 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.00539388 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0166865 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00814478 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0397458 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00699055 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.026704 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0212909 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0068246 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0162704 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0371358 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0532717 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00529428 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0379759 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.00097993 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0405744 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0695285 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0138646 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.00246465 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.018533 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.00216859 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0208245 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0344895 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0233593 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.018533 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.00568573 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0412347 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0165956 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0193907 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0157338 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0314316 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.025103 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0131485 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0422637 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0437856 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0147338 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0511541 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.00578777 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0191676 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0400065 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0144271 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0239584 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0376682 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0294089 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.00612798 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.086145 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0123039 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0364856 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.00678035 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.018994 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.00259226 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.022198 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.000300755 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0206638 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0126879 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.00259226 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0159845 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0040205 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.033841 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.00173455 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0393123 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0155615 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.000893796 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.00571325 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0207789 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0100301 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0255528 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.00521484 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0174402 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0207789 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0196154 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0080434 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0366791 # DEPENDENCYPART_SIBL
