# _root_ Από τότε , η Κέρκυρα έχει γεννήσει δύο Έλληνες πρωθυπουργούς και διάφορους άλλους πρωταγωνιστές της πολιτικής , κοινωνικής και πολιτιστικής ζωής της χώρας .
#goldHeads=7,1,7,5,7,7,0,10,10,11,7,14,14,11,16,19,19,19,21,19,14,23,21,0,
#predictedHeads=7,1,7,5,7,7,0,9,7,11,7,14,14,11,16,14,19,19,21,19,16,23,21,0,
(17,19),-0.553724 # DEPENDENCYPART_ARC
(17,20),-0.889547 # DEPENDENCYPART_ARC
(17,21),-1.06912 # DEPENDENCYPART_ARC
(17,23),-1.32896 # DEPENDENCYPART_ARC
(17,24),-0.409728 # DEPENDENCYPART_ARC
(18,10),-2.38977 # DEPENDENCYPART_ARC
(18,14),-0.971047 # DEPENDENCYPART_ARC
(18,15),-0.705694 # DEPENDENCYPART_ARC
(18,16),-1.98845 # DEPENDENCYPART_ARC
(18,17),-0.0889711 # DEPENDENCYPART_ARC
(18,20),-1.26922 # DEPENDENCYPART_ARC
(18,21),-0.877984 # DEPENDENCYPART_ARC
(18,23),-1.10402 # DEPENDENCYPART_ARC
(19,1),-0.770658 # DEPENDENCYPART_ARC
(19,2),-0.47376 # DEPENDENCYPART_ARC
(19,3),-0.552291 # DEPENDENCYPART_ARC
(19,5),-0.744916 # DEPENDENCYPART_ARC
(19,6),-0.278186 # DEPENDENCYPART_ARC
(19,7),-0.206611 # DEPENDENCYPART_ARC
(19,9),-0.36991 # DEPENDENCYPART_ARC
(19,10),0.057541 # DEPENDENCYPART_ARC
(19,11),-0.0222397 # DEPENDENCYPART_ARC
(19,12),-0.389224 # DEPENDENCYPART_ARC
(19,13),-0.0639262 # DEPENDENCYPART_ARC
(19,14),-0.0145796 # DEPENDENCYPART_ARC
(19,15),-0.642461 # DEPENDENCYPART_ARC
(19,16),0.388446 # DEPENDENCYPART_ARC
(19,17),0.559726 # DEPENDENCYPART_ARC
(19,18),1.43586 # DEPENDENCYPART_ARC
(19,20),1.84674 # DEPENDENCYPART_ARC
(19,21),0.0122895 # DEPENDENCYPART_ARC
(19,23),-0.728976 # DEPENDENCYPART_ARC
(19,24),-0.446034 # DEPENDENCYPART_ARC
(20,16),-2.28473 # DEPENDENCYPART_ARC
(20,17),-0.741654 # DEPENDENCYPART_ARC
(20,18),-0.659373 # DEPENDENCYPART_ARC
(20,21),-0.0382642 # DEPENDENCYPART_ARC
(20,23),-0.991082 # DEPENDENCYPART_ARC
(21,11),-0.326573 # DEPENDENCYPART_ARC
(21,15),0.137845 # DEPENDENCYPART_ARC
(21,16),-1.19393 # DEPENDENCYPART_ARC
(21,17),-0.725351 # DEPENDENCYPART_ARC
(21,18),-0.165375 # DEPENDENCYPART_ARC
(21,19),0.809462 # DEPENDENCYPART_ARC
(21,20),1.61294 # DEPENDENCYPART_ARC
(21,22),0.00236593 # DEPENDENCYPART_ARC
(21,23),1.0118 # DEPENDENCYPART_ARC
(21,24),-0.322394 # DEPENDENCYPART_ARC
(23,15),-0.821796 # DEPENDENCYPART_ARC
(23,18),-0.965667 # DEPENDENCYPART_ARC
(23,20),-0.532071 # DEPENDENCYPART_ARC
(23,22),2.08389 # DEPENDENCYPART_ARC
(23,24),-0.416841 # DEPENDENCYPART_ARC
(24,9),-1.69447 # DEPENDENCYPART_ARC
(24,13),-1.7398 # DEPENDENCYPART_ARC
(24,20),-1.69303 # DEPENDENCYPART_ARC
(24,21),-1.44984 # DEPENDENCYPART_ARC
(24,23),-1.14188 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.111605 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.257512 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0217713 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.382621 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.364537 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0190149 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0190149 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.209741 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.148146 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.126724 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0190149 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.257512 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.148146 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.209741 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.148146 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0190584 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.0192028 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.539234 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0680897 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.202297 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.174344 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.16187 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.202826 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.202826 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.0399348 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.0332228 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.0347114 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.202826 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.0680897 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.0332228 # DEPENDENCYPART_SIBL
(0,2),(0,19),0.0399348 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.0332228 # DEPENDENCYPART_SIBL
(0,2),(0,21),0.202759 # DEPENDENCYPART_SIBL
(0,2),(0,23),0.202168 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.0381833 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.218587 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.239885 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.210366 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.219643 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.219643 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.030572 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.00771197 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.00402593 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.219643 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0210454 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.00771071 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.030572 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.00771071 # DEPENDENCYPART_SIBL
(0,3),(0,21),0.219599 # DEPENDENCYPART_SIBL
(0,3),(0,23),0.219524 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.402918 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.252867 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.235997 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.0285054 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.0285054 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.164528 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0256223 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0018371 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0285054 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.00790377 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0256224 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.164528 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0256223 # DEPENDENCYPART_SIBL
(0,5),(0,21),0.0283964 # DEPENDENCYPART_SIBL
(0,5),(0,23),0.0298649 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.215594 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.632092 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0419023 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0419023 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.377432 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.18346 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.158884 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0419023 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.1261 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.18346 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.377432 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.18346 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.0419457 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.0419235 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.186428 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0184375 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0184375 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.35573 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.162284 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.137709 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0184375 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0685761 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.162284 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.35573 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.162284 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.0184809 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.0184587 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.121051 # DEPENDENCYPART_SIBL
(0,9),(0,10),0.0287555 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.162869 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0254557 # DEPENDENCYPART_SIBL
(0,9),(0,13),0.00200357 # DEPENDENCYPART_SIBL
(0,9),(0,14),0.0287555 # DEPENDENCYPART_SIBL
(0,9),(0,17),0.00172897 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0254558 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.162869 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0254557 # DEPENDENCYPART_SIBL
(0,9),(0,21),0.0286466 # DEPENDENCYPART_SIBL
(0,9),(0,23),0.0301151 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.218542 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.162869 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0254557 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.00200357 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.0287555 # DEPENDENCYPART_SIBL
(0,10),(0,17),0.00172897 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.0254558 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.162869 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.0254557 # DEPENDENCYPART_SIBL
(0,10),(0,21),0.0286466 # DEPENDENCYPART_SIBL
(0,10),(0,23),0.0301151 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.218542 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0782152 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0931658 # DEPENDENCYPART_SIBL
(0,11),(0,14),6.64618e-05 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0554901 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0782314 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.203802 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.0782152 # DEPENDENCYPART_SIBL
(0,11),(0,21),2.31025e-05 # DEPENDENCYPART_SIBL
(0,11),(0,23),6.07292e-05 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.0414874 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0140406 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.155511 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0790452 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0153585 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.116729 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.0153585 # DEPENDENCYPART_SIBL
(0,12),(0,21),0.155468 # DEPENDENCYPART_SIBL
(0,12),(0,23),0.154226 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.31303 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0624106 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0530293 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.020558 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0722997 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.020558 # DEPENDENCYPART_SIBL
(0,13),(0,21),0.0623673 # DEPENDENCYPART_SIBL
(0,13),(0,23),0.0624057 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.206023 # DEPENDENCYPART_SIBL
(0,14),(0,17),0.00172897 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0254558 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.162869 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.0254557 # DEPENDENCYPART_SIBL
(0,14),(0,21),0.0286466 # DEPENDENCYPART_SIBL
(0,14),(0,23),0.0301151 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.218542 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.00771071 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.030572 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.00771071 # DEPENDENCYPART_SIBL
(0,17),(0,21),0.219599 # DEPENDENCYPART_SIBL
(0,17),(0,23),0.219524 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.402918 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.116729 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0153585 # DEPENDENCYPART_SIBL
(0,18),(0,21),0.15545 # DEPENDENCYPART_SIBL
(0,18),(0,23),0.154208 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.31303 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.0782152 # DEPENDENCYPART_SIBL
(0,19),(0,21),2.31025e-05 # DEPENDENCYPART_SIBL
(0,19),(0,23),6.07292e-05 # DEPENDENCYPART_SIBL
(0,19),(0,24),-0.0414874 # DEPENDENCYPART_SIBL
(0,20),(0,21),0.155468 # DEPENDENCYPART_SIBL
(0,20),(0,23),0.154226 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.31303 # DEPENDENCYPART_SIBL
(0,21),(0,23),0.0263578 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.219288 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.214239 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0326403 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.126251 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0415415 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0453939 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.126248 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.121083 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0265177 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00948191 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0228202 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0267274 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0820101 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.193379 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.190743 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.466063 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.46123 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.159399 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.113881 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.183431 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.11159 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.182945 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.458763 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00959117 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.031182 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.000434539 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00457388 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0163086 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0311823 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0618048 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0644758 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0544668 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0940376 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0973151 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0544361 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0115065 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.12708 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.030693 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0283322 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.123868 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0128512 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0187667 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00871268 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.016538 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0972463 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0093447 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0681075 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0375456 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0326141 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0391609 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0613641 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0706495 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0706495 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0194802 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0141637 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.00971723 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.016211 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00154334 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0654236 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0502157 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0191796 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0930613 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0930613 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0566959 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.00691063 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0692354 # DEPENDENCYPART_SIBL
