# _root_ Η Κέρκυρα περιήλθε σε Βρετανική κυριαρχία το 1815 , μετά το Βατερλώ , και από τότε άρχισε να διαμορφώνεται ο σημερινός χαρακτήρας του νησιού .
#goldHeads=2,3,14,3,6,4,8,3,3,3,12,10,3,0,17,15,14,19,17,22,22,19,24,22,0,
#predictedHeads=2,3,0,3,6,4,8,3,12,12,12,14,14,0,17,17,14,19,17,22,22,19,24,22,0,
(4,5),0.648052 # DEPENDENCYPART_ARC
(4,6),1.44109 # DEPENDENCYPART_ARC
(4,9),-0.395973 # DEPENDENCYPART_ARC
(4,13),-0.748573 # DEPENDENCYPART_ARC
(4,14),-0.681242 # DEPENDENCYPART_ARC
(5,4),-0.506052 # DEPENDENCYPART_ARC
(5,6),-0.408958 # DEPENDENCYPART_ARC
(5,8),-0.512668 # DEPENDENCYPART_ARC
(5,10),-0.390003 # DEPENDENCYPART_ARC
(5,14),-0.612647 # DEPENDENCYPART_ARC
(5,15),-0.60268 # DEPENDENCYPART_ARC
(6,1),0.0749963 # DEPENDENCYPART_ARC
(6,2),-1.11852 # DEPENDENCYPART_ARC
(6,3),-1.6451 # DEPENDENCYPART_ARC
(6,4),-0.411218 # DEPENDENCYPART_ARC
(6,5),2.18963 # DEPENDENCYPART_ARC
(6,7),-0.460652 # DEPENDENCYPART_ARC
(6,8),-0.0609248 # DEPENDENCYPART_ARC
(6,9),-0.275267 # DEPENDENCYPART_ARC
(6,10),-0.318726 # DEPENDENCYPART_ARC
(6,12),-0.480183 # DEPENDENCYPART_ARC
(6,14),-0.697522 # DEPENDENCYPART_ARC
(6,15),-1.028 # DEPENDENCYPART_ARC
(6,16),-0.906283 # DEPENDENCYPART_ARC
(6,17),-1.14619 # DEPENDENCYPART_ARC
(6,19),-1.43492 # DEPENDENCYPART_ARC
(7,14),-0.816947 # DEPENDENCYPART_ARC
(8,6),-0.145346 # DEPENDENCYPART_ARC
(8,7),1.50152 # DEPENDENCYPART_ARC
(8,9),-0.182652 # DEPENDENCYPART_ARC
(8,10),-0.69222 # DEPENDENCYPART_ARC
(9,2),-1.28216 # DEPENDENCYPART_ARC
(9,3),-1.17457 # DEPENDENCYPART_ARC
(9,4),-0.835112 # DEPENDENCYPART_ARC
(9,5),-1.23975 # DEPENDENCYPART_ARC
(9,6),-0.93547 # DEPENDENCYPART_ARC
(9,8),-0.307257 # DEPENDENCYPART_ARC
(9,10),-0.49658 # DEPENDENCYPART_ARC
(9,12),-0.925826 # DEPENDENCYPART_ARC
(10,9),-0.0298462 # DEPENDENCYPART_ARC
(10,11),-0.0034748 # DEPENDENCYPART_ARC
(10,12),0.0216252 # DEPENDENCYPART_ARC
(10,13),-0.291994 # DEPENDENCYPART_ARC
(10,14),-0.404686 # DEPENDENCYPART_ARC
(10,16),-0.640407 # DEPENDENCYPART_ARC
(10,17),-1.22703 # DEPENDENCYPART_ARC
(12,2),-0.346141 # DEPENDENCYPART_ARC
(12,3),-2.20159 # DEPENDENCYPART_ARC
(12,4),-0.0974782 # DEPENDENCYPART_ARC
(12,5),-0.533666 # DEPENDENCYPART_ARC
(12,6),-0.612535 # DEPENDENCYPART_ARC
(12,7),-0.37537 # DEPENDENCYPART_ARC
(12,8),-0.28766 # DEPENDENCYPART_ARC
(12,9),0.52495 # DEPENDENCYPART_ARC
(12,10),0.594502 # DEPENDENCYPART_ARC
(12,11),0.830441 # DEPENDENCYPART_ARC
(12,13),0.32144 # DEPENDENCYPART_ARC
(12,14),0.01849 # DEPENDENCYPART_ARC
(12,15),-0.130546 # DEPENDENCYPART_ARC
(12,16),-0.342627 # DEPENDENCYPART_ARC
(12,17),-0.961862 # DEPENDENCYPART_ARC
(12,19),-1.92167 # DEPENDENCYPART_ARC
(12,22),-1.58367 # DEPENDENCYPART_ARC
(12,24),-3.54354 # DEPENDENCYPART_ARC
(13,2),-1.40964 # DEPENDENCYPART_ARC
(13,3),-1.30751 # DEPENDENCYPART_ARC
(13,4),-0.957508 # DEPENDENCYPART_ARC
(13,5),-1.40209 # DEPENDENCYPART_ARC
(13,6),-1.32981 # DEPENDENCYPART_ARC
(13,8),-1.09782 # DEPENDENCYPART_ARC
(13,10),-0.748831 # DEPENDENCYPART_ARC
(13,12),-0.329633 # DEPENDENCYPART_ARC
(13,15),-1.20292 # DEPENDENCYPART_ARC
(13,17),-1.39935 # DEPENDENCYPART_ARC
(14,2),-1.09738 # DEPENDENCYPART_ARC
(14,3),-0.521403 # DEPENDENCYPART_ARC
(14,4),-0.654763 # DEPENDENCYPART_ARC
(14,5),-0.980266 # DEPENDENCYPART_ARC
(14,6),-0.794915 # DEPENDENCYPART_ARC
(14,8),-0.615149 # DEPENDENCYPART_ARC
(14,9),-0.467055 # DEPENDENCYPART_ARC
(14,10),-0.47823 # DEPENDENCYPART_ARC
(14,11),-0.870555 # DEPENDENCYPART_ARC
(14,12),0.156962 # DEPENDENCYPART_ARC
(14,13),0.675258 # DEPENDENCYPART_ARC
(14,15),0.682674 # DEPENDENCYPART_ARC
(14,16),-0.0168572 # DEPENDENCYPART_ARC
(14,17),0.747621 # DEPENDENCYPART_ARC
(14,19),-0.309963 # DEPENDENCYPART_ARC
(14,21),-0.516997 # DEPENDENCYPART_ARC
(14,22),-1.03973 # DEPENDENCYPART_ARC
(14,24),-1.15439 # DEPENDENCYPART_ARC
(14,25),-0.330441 # DEPENDENCYPART_ARC
(15,12),-1.10782 # DEPENDENCYPART_ARC
(15,13),-0.455764 # DEPENDENCYPART_ARC
(15,14),0.132284 # DEPENDENCYPART_ARC
(15,16),0.956846 # DEPENDENCYPART_ARC
(15,17),0.0419331 # DEPENDENCYPART_ARC
(15,19),-0.73352 # DEPENDENCYPART_ARC
(15,22),-0.640536 # DEPENDENCYPART_ARC
(16,13),-0.965907 # DEPENDENCYPART_ARC
(16,15),-0.397213 # DEPENDENCYPART_ARC
(16,17),-0.22365 # DEPENDENCYPART_ARC
(16,19),-1.23301 # DEPENDENCYPART_ARC
(16,22),-1.58517 # DEPENDENCYPART_ARC
(16,24),-1.42624 # DEPENDENCYPART_ARC
(17,2),-0.318433 # DEPENDENCYPART_ARC
(17,3),-2.35721 # DEPENDENCYPART_ARC
(17,4),-0.642757 # DEPENDENCYPART_ARC
(17,5),-1.4168 # DEPENDENCYPART_ARC
(17,6),-0.950296 # DEPENDENCYPART_ARC
(17,8),-0.691836 # DEPENDENCYPART_ARC
(17,9),-0.253304 # DEPENDENCYPART_ARC
(17,10),-0.278367 # DEPENDENCYPART_ARC
(17,12),-0.180951 # DEPENDENCYPART_ARC
(17,13),0.117828 # DEPENDENCYPART_ARC
(17,14),-0.30008 # DEPENDENCYPART_ARC
(17,15),0.366395 # DEPENDENCYPART_ARC
(17,16),1.10965 # DEPENDENCYPART_ARC
(17,18),0.317912 # DEPENDENCYPART_ARC
(17,19),0.545557 # DEPENDENCYPART_ARC
(17,21),-0.802884 # DEPENDENCYPART_ARC
(17,22),-0.18636 # DEPENDENCYPART_ARC
(17,24),-2.36304 # DEPENDENCYPART_ARC
(17,25),-0.103457 # DEPENDENCYPART_ARC
(18,19),-0.235831 # DEPENDENCYPART_ARC
(19,3),-3.39052 # DEPENDENCYPART_ARC
(19,4),-1.02271 # DEPENDENCYPART_ARC
(19,5),-1.13 # DEPENDENCYPART_ARC
(19,6),-1.31175 # DEPENDENCYPART_ARC
(19,8),-1.06231 # DEPENDENCYPART_ARC
(19,9),-0.734845 # DEPENDENCYPART_ARC
(19,10),-0.580016 # DEPENDENCYPART_ARC
(19,12),-2.13164 # DEPENDENCYPART_ARC
(19,13),-0.801314 # DEPENDENCYPART_ARC
(19,15),-0.417569 # DEPENDENCYPART_ARC
(19,16),-0.0462459 # DEPENDENCYPART_ARC
(19,17),-1.57465 # DEPENDENCYPART_ARC
(19,18),1.81972 # DEPENDENCYPART_ARC
(19,20),-1.43512 # DEPENDENCYPART_ARC
(19,21),0.0876614 # DEPENDENCYPART_ARC
(19,22),0.479262 # DEPENDENCYPART_ARC
(19,24),-1.3711 # DEPENDENCYPART_ARC
(19,25),-0.278047 # DEPENDENCYPART_ARC
(21,16),-1.05611 # DEPENDENCYPART_ARC
(21,20),0.617563 # DEPENDENCYPART_ARC
(21,22),-1.14295 # DEPENDENCYPART_ARC
(21,24),-0.640413 # DEPENDENCYPART_ARC
(22,16),-0.901464 # DEPENDENCYPART_ARC
(22,19),-1.55722 # DEPENDENCYPART_ARC
(22,20),2.29782 # DEPENDENCYPART_ARC
(22,21),2.36605 # DEPENDENCYPART_ARC
(22,23),-0.491485 # DEPENDENCYPART_ARC
(22,24),1.09384 # DEPENDENCYPART_ARC
(22,25),-0.259475 # DEPENDENCYPART_ARC
(24,20),-0.676336 # DEPENDENCYPART_ARC
(24,21),-1.26115 # DEPENDENCYPART_ARC
(24,22),-0.350922 # DEPENDENCYPART_ARC
(24,23),2.10357 # DEPENDENCYPART_ARC
(24,25),-0.503152 # DEPENDENCYPART_ARC
(25,22),-1.41352 # DEPENDENCYPART_ARC
(25,24),-1.11439 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.235997 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0140786 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.00790377 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.235997 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.00790377 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.164528 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.195995 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.236766 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.237318 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.215594 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.175829 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.068561 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.605928 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.068561 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.355729 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0519397 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.605928 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.605928 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.121042 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.0272008 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.176185 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0272008 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0190468 # DEPENDENCYPART_SIBL
(0,8),(0,15),0.161684 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.176185 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.176185 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.108839 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.210366 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0210454 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.030572 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.044571 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.210367 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.210366 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.402918 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.068561 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.355729 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0519397 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.605928 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.605928 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.121042 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.030572 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.044571 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.210367 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.210366 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.402918 # DEPENDENCYPART_SIBL
(0,14),(0,15),0.0293464 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.297346 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.297346 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.0414874 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.382373 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.382387 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.570266 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.601326 # DEPENDENCYPART_SIBL
(0,17),(0,25),-0.104935 # DEPENDENCYPART_SIBL
(0,19),(0,25),-0.12122 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0124887 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0073536 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00657081 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00777781 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0052879 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0126733 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0324071 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.010576 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0140798 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0298276 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0315965 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0908703 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0278649 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0296237 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0908703 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.053523 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0448796 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0476733 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0296771 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0237757 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.0272856 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0188708 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.0920573 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0566758 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0179482 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0121653 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0245404 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00799572 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0318023 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0114901 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.00799572 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.00434743 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0448223 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0193719 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0115251 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0114902 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.00961731 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0128801 # DEPENDENCYPART_SIBL
(3,2),(3,25),-0.0103828 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0945471 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.016389 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.00444903 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.00444128 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0289376 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0179574 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.00444128 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.19348 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0150665 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0341105 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.017968 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0179749 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0160691 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0162412 # DEPENDENCYPART_SIBL
(3,4),(3,25),-0.048134 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0346494 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00831247 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.00977044 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.031669 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0075226 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.00977044 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.145669 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.00915889 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0398359 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.00751142 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0075226 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0343158 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0343555 # DEPENDENCYPART_SIBL
(3,5),(3,25),-0.0659322 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00489633 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0108649 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.00273225 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0346306 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0108649 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.202326 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0298802 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0100627 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0354118 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0359514 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.225611 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.226634 # DEPENDENCYPART_SIBL
(3,6),(3,25),-0.0707529 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0190836 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.000776519 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0149882 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0190836 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0851758 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0147416 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0247135 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0149953 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0149882 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.0397622 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.0397794 # DEPENDENCYPART_SIBL
(3,8),(3,25),-0.031382 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0493141 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.00588399 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.019737 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0357273 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0221374 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0147875 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0058916 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.00588399 # DEPENDENCYPART_SIBL
(3,9),(3,22),0.00436572 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.00418431 # DEPENDENCYPART_SIBL
(3,9),(3,25),-0.109892 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0061546 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.016077 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.122158 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0519584 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0296877 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.00614404 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.00613767 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.00670751 # DEPENDENCYPART_SIBL
(3,10),(3,24),-0.00687962 # DEPENDENCYPART_SIBL
(3,10),(3,25),-0.0552698 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0222813 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.186243 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0339766 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0352189 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.193824 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.193817 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.0645075 # DEPENDENCYPART_SIBL
(3,12),(3,24),-0.0645285 # DEPENDENCYPART_SIBL
(3,12),(3,25),0.0191106 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0357273 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0221374 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0147875 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0058916 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.00588399 # DEPENDENCYPART_SIBL
(3,13),(3,22),0.00436572 # DEPENDENCYPART_SIBL
(3,13),(3,24),0.00418431 # DEPENDENCYPART_SIBL
(3,13),(3,25),-0.109892 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.0249581 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0473439 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.00543021 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.0054231 # DEPENDENCYPART_SIBL
(3,14),(3,22),-0.0108794 # DEPENDENCYPART_SIBL
(3,14),(3,24),-0.010894 # DEPENDENCYPART_SIBL
(3,14),(3,25),0.0195206 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.0873164 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.0548675 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.0548739 # DEPENDENCYPART_SIBL
(3,15),(3,22),-0.0325914 # DEPENDENCYPART_SIBL
(3,15),(3,24),-0.0327647 # DEPENDENCYPART_SIBL
(3,15),(3,25),-0.144376 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.00213912 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.00214367 # DEPENDENCYPART_SIBL
(3,16),(3,22),0.00304754 # DEPENDENCYPART_SIBL
(3,16),(3,24),0.00299428 # DEPENDENCYPART_SIBL
(3,16),(3,25),-0.0360225 # DEPENDENCYPART_SIBL
(3,17),(3,19),-0.193817 # DEPENDENCYPART_SIBL
(3,17),(3,22),-0.0649233 # DEPENDENCYPART_SIBL
(3,17),(3,24),-0.0649444 # DEPENDENCYPART_SIBL
(3,17),(3,25),0.0237125 # DEPENDENCYPART_SIBL
(3,19),(3,22),-0.0645099 # DEPENDENCYPART_SIBL
(3,19),(3,24),-0.0645309 # DEPENDENCYPART_SIBL
(3,19),(3,25),0.018981 # DEPENDENCYPART_SIBL
(3,22),(3,24),-0.226271 # DEPENDENCYPART_SIBL
(3,22),(3,25),-0.0701243 # DEPENDENCYPART_SIBL
(3,24),(3,25),-0.0728981 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0545689 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0597412 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00199553 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.00199553 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0460549 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.17258 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0644777 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0644777 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.227002 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.106336 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.106336 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.493858 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0115551 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.095129 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.095129 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0170162 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.008277 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0926114 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0310217 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0621708 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0171461 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0115989 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.10444 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0329241 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.00174996 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.00564886 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.00783122 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.00400847 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.00754311 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.0267025 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.122099 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.102116 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.07088 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0625558 # DEPENDENCYPART_SIBL
