# _root_ Τα νέα στοιχεία υποδεικνύουν μάλιστα ότι οι ιζηματογενείς αποθέσεις των ωκεανών , οι οποίες καλύπτουν το 70% της επιφάνειας της Γης , περιέχουν περίπου τους μισούς μικροοργανισμούς του πλανήτη .
#goldHeads=3,3,4,0,4,4,9,9,23,11,9,15,14,15,9,17,15,19,17,21,19,15,6,26,27,27,23,29,27,0,
#predictedHeads=3,3,4,0,4,4,9,9,4,11,9,15,14,15,9,17,15,19,17,21,19,23,6,23,27,27,23,29,27,0,
(15,5),-0.473106 # DEPENDENCYPART_ARC
(15,6),-0.973259 # DEPENDENCYPART_ARC
(15,8),-0.963435 # DEPENDENCYPART_ARC
(15,9),-0.432956 # DEPENDENCYPART_ARC
(15,10),-1.74342 # DEPENDENCYPART_ARC
(15,11),-1.69841 # DEPENDENCYPART_ARC
(15,12),0.509041 # DEPENDENCYPART_ARC
(15,13),-0.554132 # DEPENDENCYPART_ARC
(15,14),1.69028 # DEPENDENCYPART_ARC
(15,16),-0.716606 # DEPENDENCYPART_ARC
(15,17),0.00262406 # DEPENDENCYPART_ARC
(15,19),-1.10194 # DEPENDENCYPART_ARC
(15,21),-1.96479 # DEPENDENCYPART_ARC
(15,22),0.119117 # DEPENDENCYPART_ARC
(15,23),-1.744 # DEPENDENCYPART_ARC
(15,24),-0.93753 # DEPENDENCYPART_ARC
(15,27),-1.02247 # DEPENDENCYPART_ARC
(15,29),-3.19609 # DEPENDENCYPART_ARC
(17,15),0.0115989 # DEPENDENCYPART_ARC
(17,16),1.37319 # DEPENDENCYPART_ARC
(17,19),-0.352723 # DEPENDENCYPART_ARC
(17,21),-0.798391 # DEPENDENCYPART_ARC
(19,10),-3.05563 # DEPENDENCYPART_ARC
(19,13),-1.98998 # DEPENDENCYPART_ARC
(19,14),-0.817157 # DEPENDENCYPART_ARC
(19,16),-1.65121 # DEPENDENCYPART_ARC
(19,17),-0.0260039 # DEPENDENCYPART_ARC
(19,18),2.05076 # DEPENDENCYPART_ARC
(19,20),0.0559267 # DEPENDENCYPART_ARC
(19,21),1.03915 # DEPENDENCYPART_ARC
(19,22),-0.319065 # DEPENDENCYPART_ARC
(19,23),-1.23012 # DEPENDENCYPART_ARC
(19,24),-0.825489 # DEPENDENCYPART_ARC
(19,27),-2.28279 # DEPENDENCYPART_ARC
(19,29),-1.29699 # DEPENDENCYPART_ARC
(21,13),-2.45041 # DEPENDENCYPART_ARC
(21,14),-0.885536 # DEPENDENCYPART_ARC
(21,16),-2.25935 # DEPENDENCYPART_ARC
(21,18),0.103998 # DEPENDENCYPART_ARC
(21,19),-0.608937 # DEPENDENCYPART_ARC
(21,20),2.21404 # DEPENDENCYPART_ARC
(21,22),-0.397968 # DEPENDENCYPART_ARC
(21,23),-1.32321 # DEPENDENCYPART_ARC
(21,24),-1.01397 # DEPENDENCYPART_ARC
(21,26),-1.75028 # DEPENDENCYPART_ARC
(21,27),-2.52729 # DEPENDENCYPART_ARC
(21,29),-1.62908 # DEPENDENCYPART_ARC
(22,3),-1.67955 # DEPENDENCYPART_ARC
(22,4),-1.15195 # DEPENDENCYPART_ARC
(22,9),-1.59195 # DEPENDENCYPART_ARC
(22,11),-1.70891 # DEPENDENCYPART_ARC
(22,17),-0.995028 # DEPENDENCYPART_ARC
(22,19),-1.02311 # DEPENDENCYPART_ARC
(22,21),-0.608208 # DEPENDENCYPART_ARC
(22,23),-0.718024 # DEPENDENCYPART_ARC
(22,24),-1.30723 # DEPENDENCYPART_ARC
(22,26),-1.47473 # DEPENDENCYPART_ARC
(22,27),-1.49421 # DEPENDENCYPART_ARC
(22,29),-1.7995 # DEPENDENCYPART_ARC
(23,3),-1.21165 # DEPENDENCYPART_ARC
(23,4),-1.777 # DEPENDENCYPART_ARC
(23,5),-0.767849 # DEPENDENCYPART_ARC
(23,6),-1.28991 # DEPENDENCYPART_ARC
(23,8),-1.47674 # DEPENDENCYPART_ARC
(23,9),-0.946926 # DEPENDENCYPART_ARC
(23,11),-2.28795 # DEPENDENCYPART_ARC
(23,12),-0.522513 # DEPENDENCYPART_ARC
(23,14),-0.884099 # DEPENDENCYPART_ARC
(23,15),-1.47461 # DEPENDENCYPART_ARC
(23,17),-0.683241 # DEPENDENCYPART_ARC
(23,18),-1.89356 # DEPENDENCYPART_ARC
(23,19),-2.09209 # DEPENDENCYPART_ARC
(23,20),-1.70809 # DEPENDENCYPART_ARC
(23,21),-1.78252 # DEPENDENCYPART_ARC
(23,22),0.496675 # DEPENDENCYPART_ARC
(23,24),1.24013 # DEPENDENCYPART_ARC
(23,25),-0.651145 # DEPENDENCYPART_ARC
(23,26),-0.640533 # DEPENDENCYPART_ARC
(23,27),0.914984 # DEPENDENCYPART_ARC
(23,29),-1.81085 # DEPENDENCYPART_ARC
(23,30),0.11469 # DEPENDENCYPART_ARC
(24,4),-1.67402 # DEPENDENCYPART_ARC
(24,14),-2.04558 # DEPENDENCYPART_ARC
(24,19),-1.3719 # DEPENDENCYPART_ARC
(24,21),-1.18748 # DEPENDENCYPART_ARC
(24,22),-0.608939 # DEPENDENCYPART_ARC
(24,25),-0.362569 # DEPENDENCYPART_ARC
(24,26),-0.911758 # DEPENDENCYPART_ARC
(24,27),-1.1327 # DEPENDENCYPART_ARC
(24,29),-0.906812 # DEPENDENCYPART_ARC
(26,19),-2.18144 # DEPENDENCYPART_ARC
(26,21),-2.10231 # DEPENDENCYPART_ARC
(26,24),-0.273984 # DEPENDENCYPART_ARC
(26,25),1.00209 # DEPENDENCYPART_ARC
(26,27),-0.849862 # DEPENDENCYPART_ARC
(26,29),-0.643056 # DEPENDENCYPART_ARC
(27,18),-2.17964 # DEPENDENCYPART_ARC
(27,20),-1.65821 # DEPENDENCYPART_ARC
(27,21),-1.04547 # DEPENDENCYPART_ARC
(27,22),-0.771035 # DEPENDENCYPART_ARC
(27,24),-0.416567 # DEPENDENCYPART_ARC
(27,25),2.02154 # DEPENDENCYPART_ARC
(27,26),2.82293 # DEPENDENCYPART_ARC
(27,28),-0.290309 # DEPENDENCYPART_ARC
(27,29),1.26111 # DEPENDENCYPART_ARC
(29,20),-1.70182 # DEPENDENCYPART_ARC
(29,24),-1.04132 # DEPENDENCYPART_ARC
(29,25),-2.06978 # DEPENDENCYPART_ARC
(29,26),-1.48148 # DEPENDENCYPART_ARC
(29,27),-1.40633 # DEPENDENCYPART_ARC
(29,28),2.05499 # DEPENDENCYPART_ARC
(30,27),-1.46735 # DEPENDENCYPART_ARC
(30,29),-1.16021 # DEPENDENCYPART_ARC
(0,2),(0,3),0.151209 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.251598 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.00468097 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0714188 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0167778 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0810857 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.251598 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0404582 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.0810857 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.251598 # DEPENDENCYPART_SIBL
(0,2),(0,30),-0.315462 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.239189 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0275581 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.127629 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0254562 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.00753968 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.239189 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0139127 # DEPENDENCYPART_SIBL
(0,3),(0,22),0.00753968 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.244971 # DEPENDENCYPART_SIBL
(0,3),(0,30),-0.21564 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.112059 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.326277 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.162284 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.068561 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.605928 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.175829 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.068561 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.605938 # DEPENDENCYPART_SIBL
(0,4),(0,30),-0.121042 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.00694096 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0146735 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.0493593 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.179347 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.00610098 # DEPENDENCYPART_SIBL
(0,5),(0,22),0.0493593 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.17953 # DEPENDENCYPART_SIBL
(0,5),(0,30),-0.0573667 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0993199 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.144945 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.31342 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.118176 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.144945 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.314422 # DEPENDENCYPART_SIBL
(0,6),(0,30),-0.190609 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0790452 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.249993 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.039158 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.0790452 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.249993 # DEPENDENCYPART_SIBL
(0,8),(0,30),-0.31303 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.210366 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0277212 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.0210454 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.210366 # DEPENDENCYPART_SIBL
(0,12),(0,30),-0.402918 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.175829 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.068561 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.605938 # DEPENDENCYPART_SIBL
(0,15),(0,30),-0.121042 # DEPENDENCYPART_SIBL
(0,17),(0,22),0.0272223 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.1762 # DEPENDENCYPART_SIBL
(0,17),(0,30),-0.108822 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.210366 # DEPENDENCYPART_SIBL
(0,22),(0,30),-0.402918 # DEPENDENCYPART_SIBL
(0,23),(0,30),-0.118645 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0594882 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0242104 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0134582 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0113384 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0607585 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0616056 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0108003 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00622591 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0755456 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.1101 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.1101 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.000310417 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0625069 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.000614137 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.000613954 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0486905 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0657547 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0657547 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.040525 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.040525 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.109405 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0376795 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.031565 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0110916 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0828989 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0160608 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0364934 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0398847 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00108657 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.047894 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0141937 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0192941 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.000712892 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.00259823 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0548422 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0598013 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0052878 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0181746 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0181737 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0319652 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00941464 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.043848 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0438475 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0238168 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0541154 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0541159 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0324173 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0324178 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.125015 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0129875 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0211048 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0315546 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0128178 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0106668 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00155628 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.00241009 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0614534 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0299343 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0234913 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.00137443 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.00155628 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0614534 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.0317067 # DEPENDENCYPART_SIBL
(4,1),(4,24),-0.0539332 # DEPENDENCYPART_SIBL
(4,1),(4,27),0.00155628 # DEPENDENCYPART_SIBL
(4,1),(4,29),0.00622343 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0535917 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0189727 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0075299 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0981868 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00303513 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.00385086 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00522888 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0212836 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0227162 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.002851 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.00303513 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.00522888 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.0209504 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.0382978 # DEPENDENCYPART_SIBL
(4,2),(4,27),0.00303513 # DEPENDENCYPART_SIBL
(4,2),(4,29),0.00302621 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00797388 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0133968 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0256946 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00992595 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.00992761 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.00472634 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.015814 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0243305 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0101078 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.00992595 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.00472634 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.0097567 # DEPENDENCYPART_SIBL
(4,3),(4,24),-0.0281757 # DEPENDENCYPART_SIBL
(4,3),(4,27),-0.00992595 # DEPENDENCYPART_SIBL
(4,3),(4,29),-0.00997921 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0598816 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0555228 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0338859 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0338859 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0109179 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0169315 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.00585143 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0338859 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0338859 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.0109179 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.0159421 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.015854 # DEPENDENCYPART_SIBL
(4,5),(4,27),0.0338859 # DEPENDENCYPART_SIBL
(4,5),(4,29),0.0338859 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.152674 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.192923 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.192923 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0849159 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0683321 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0912937 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.192923 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.192923 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0849159 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.0710331 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.133977 # DEPENDENCYPART_SIBL
(4,6),(4,27),-0.192923 # DEPENDENCYPART_SIBL
(4,6),(4,29),-0.192923 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0343066 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0343066 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.00977009 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.00752358 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.00831214 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0343066 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0343066 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.00977009 # DEPENDENCYPART_SIBL
(4,8),(4,23),0.00682693 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.0298767 # DEPENDENCYPART_SIBL
(4,8),(4,27),-0.0343066 # DEPENDENCYPART_SIBL
(4,8),(4,29),-0.0351528 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.225248 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.010236 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0342661 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.00453364 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.225248 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.225248 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.010236 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.0407452 # DEPENDENCYPART_SIBL
(4,9),(4,24),0.00345648 # DEPENDENCYPART_SIBL
(4,9),(4,27),-0.225248 # DEPENDENCYPART_SIBL
(4,9),(4,29),-0.225248 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0102643 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0344273 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.00453364 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.225248 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.225248 # DEPENDENCYPART_SIBL
(4,11),(4,22),-0.0102643 # DEPENDENCYPART_SIBL
(4,11),(4,23),-0.0409064 # DEPENDENCYPART_SIBL
(4,11),(4,24),0.00345648 # DEPENDENCYPART_SIBL
(4,11),(4,27),-0.225248 # DEPENDENCYPART_SIBL
(4,11),(4,29),-0.225248 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.00588399 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.0254589 # DEPENDENCYPART_SIBL
