# _root_ Οι επεμβατική αντιμετώπιση της διέγερσης των πυρήνων , που γίνεται και στην Ελλάδα , γίνεται στις περιπτώσεις που οι ασθενείς έχουν κορεστεί από τα φάρμακα .
#goldHeads=3,3,15,5,3,7,5,10,10,3,13,10,12,10,0,15,16,22,20,22,22,17,22,25,23,0,
#predictedHeads=3,3,0,5,3,7,5,10,10,7,12,10,12,15,0,15,16,22,20,22,22,17,22,25,23,0,
(7,1),-1.51966 # DEPENDENCYPART_ARC
(7,2),-2.2168 # DEPENDENCYPART_ARC
(7,4),-0.860716 # DEPENDENCYPART_ARC
(7,5),-0.441716 # DEPENDENCYPART_ARC
(7,6),2.22679 # DEPENDENCYPART_ARC
(7,8),-0.48223 # DEPENDENCYPART_ARC
(7,9),-1.03499 # DEPENDENCYPART_ARC
(7,10),-0.823681 # DEPENDENCYPART_ARC
(8,2),-1.20914 # DEPENDENCYPART_ARC
(8,3),-1.13379 # DEPENDENCYPART_ARC
(8,5),-1.01454 # DEPENDENCYPART_ARC
(8,7),-0.574495 # DEPENDENCYPART_ARC
(8,9),-0.495949 # DEPENDENCYPART_ARC
(8,10),-0.86675 # DEPENDENCYPART_ARC
(8,11),-0.57552 # DEPENDENCYPART_ARC
(8,12),-1.05276 # DEPENDENCYPART_ARC
(8,13),-1.38775 # DEPENDENCYPART_ARC
(8,14),-0.362883 # DEPENDENCYPART_ARC
(8,16),-1.05448 # DEPENDENCYPART_ARC
(8,17),-1.72816 # DEPENDENCYPART_ARC
(8,18),-1.16169 # DEPENDENCYPART_ARC
(8,20),-1.39343 # DEPENDENCYPART_ARC
(8,21),-1.09575 # DEPENDENCYPART_ARC
(8,22),-1.12831 # DEPENDENCYPART_ARC
(8,23),-0.88899 # DEPENDENCYPART_ARC
(9,8),0.0184631 # DEPENDENCYPART_ARC
(9,10),-1.39334 # DEPENDENCYPART_ARC
(9,21),-1.88693 # DEPENDENCYPART_ARC
(9,22),-1.23383 # DEPENDENCYPART_ARC
(10,2),-0.856619 # DEPENDENCYPART_ARC
(10,3),-1.20367 # DEPENDENCYPART_ARC
(10,5),-1.74252 # DEPENDENCYPART_ARC
(10,6),-2.42666 # DEPENDENCYPART_ARC
(10,7),-1.97836 # DEPENDENCYPART_ARC
(10,8),0.458916 # DEPENDENCYPART_ARC
(10,9),2.06437 # DEPENDENCYPART_ARC
(10,11),0.240467 # DEPENDENCYPART_ARC
(10,12),0.102247 # DEPENDENCYPART_ARC
(10,13),-0.670143 # DEPENDENCYPART_ARC
(10,14),-0.159366 # DEPENDENCYPART_ARC
(10,15),-1.67124 # DEPENDENCYPART_ARC
(10,16),-1.08331 # DEPENDENCYPART_ARC
(10,18),-1.18866 # DEPENDENCYPART_ARC
(11,2),-1.0949 # DEPENDENCYPART_ARC
(11,3),-0.902848 # DEPENDENCYPART_ARC
(11,5),-0.712484 # DEPENDENCYPART_ARC
(11,6),-0.894775 # DEPENDENCYPART_ARC
(11,7),-0.41727 # DEPENDENCYPART_ARC
(11,8),0.0211422 # DEPENDENCYPART_ARC
(11,9),-0.0998094 # DEPENDENCYPART_ARC
(11,10),0.924504 # DEPENDENCYPART_ARC
(11,12),0.250329 # DEPENDENCYPART_ARC
(11,13),-0.00837366 # DEPENDENCYPART_ARC
(11,14),-0.238753 # DEPENDENCYPART_ARC
(11,15),-0.201599 # DEPENDENCYPART_ARC
(11,16),-1.00348 # DEPENDENCYPART_ARC
(11,17),-1.65079 # DEPENDENCYPART_ARC
(11,18),-1.15275 # DEPENDENCYPART_ARC
(11,21),-1.91606 # DEPENDENCYPART_ARC
(11,22),-1.93167 # DEPENDENCYPART_ARC
(11,23),-1.55559 # DEPENDENCYPART_ARC
(12,11),0.368364 # DEPENDENCYPART_ARC
(12,13),2.81064 # DEPENDENCYPART_ARC
(12,14),-0.202108 # DEPENDENCYPART_ARC
(12,15),-1.44708 # DEPENDENCYPART_ARC
(13,9),-2.42847 # DEPENDENCYPART_ARC
(13,11),-0.180111 # DEPENDENCYPART_ARC
(13,14),-0.72305 # DEPENDENCYPART_ARC
(13,15),-1.24133 # DEPENDENCYPART_ARC
(13,20),-2.18577 # DEPENDENCYPART_ARC
(14,3),-1.2443 # DEPENDENCYPART_ARC
(14,5),-1.22959 # DEPENDENCYPART_ARC
(14,7),-1.31213 # DEPENDENCYPART_ARC
(14,11),-0.407383 # DEPENDENCYPART_ARC
(14,12),-0.582708 # DEPENDENCYPART_ARC
(14,13),-0.320882 # DEPENDENCYPART_ARC
(14,15),-0.796478 # DEPENDENCYPART_ARC
(14,16),-1.23493 # DEPENDENCYPART_ARC
(14,17),-1.51208 # DEPENDENCYPART_ARC
(14,20),-1.64612 # DEPENDENCYPART_ARC
(15,2),-1.00714 # DEPENDENCYPART_ARC
(15,3),-1.20953 # DEPENDENCYPART_ARC
(15,5),-1.80158 # DEPENDENCYPART_ARC
(15,7),-2.21477 # DEPENDENCYPART_ARC
(15,8),-0.112888 # DEPENDENCYPART_ARC
(15,9),0.141611 # DEPENDENCYPART_ARC
(15,10),-1.81311 # DEPENDENCYPART_ARC
(15,11),-0.481869 # DEPENDENCYPART_ARC
(15,12),0.0748537 # DEPENDENCYPART_ARC
(15,13),-0.30697 # DEPENDENCYPART_ARC
(15,14),0.828341 # DEPENDENCYPART_ARC
(15,16),1.60371 # DEPENDENCYPART_ARC
(15,17),0.297244 # DEPENDENCYPART_ARC
(15,18),0.239702 # DEPENDENCYPART_ARC
(15,20),-0.0739613 # DEPENDENCYPART_ARC
(15,21),-1.13618 # DEPENDENCYPART_ARC
(15,22),-2.27559 # DEPENDENCYPART_ARC
(15,23),-0.556781 # DEPENDENCYPART_ARC
(15,25),-1.8132 # DEPENDENCYPART_ARC
(15,26),-0.0767329 # DEPENDENCYPART_ARC
(16,14),-0.635645 # DEPENDENCYPART_ARC
(16,17),2.55076 # DEPENDENCYPART_ARC
(17,13),-2.07837 # DEPENDENCYPART_ARC
(17,16),-0.202143 # DEPENDENCYPART_ARC
(17,18),0.306619 # DEPENDENCYPART_ARC
(17,19),-1.03584 # DEPENDENCYPART_ARC
(17,20),-0.55268 # DEPENDENCYPART_ARC
(17,21),-0.672395 # DEPENDENCYPART_ARC
(17,22),-0.872085 # DEPENDENCYPART_ARC
(17,23),-0.845324 # DEPENDENCYPART_ARC
(17,25),-2.52898 # DEPENDENCYPART_ARC
(18,9),-1.98505 # DEPENDENCYPART_ARC
(18,12),-1.09943 # DEPENDENCYPART_ARC
(18,16),-0.634001 # DEPENDENCYPART_ARC
(18,17),-0.433085 # DEPENDENCYPART_ARC
(18,19),-0.219028 # DEPENDENCYPART_ARC
(18,20),-0.686023 # DEPENDENCYPART_ARC
(18,21),-0.65862 # DEPENDENCYPART_ARC
(18,22),-1.1214 # DEPENDENCYPART_ARC
(18,23),-0.692029 # DEPENDENCYPART_ARC
(18,25),-1.63674 # DEPENDENCYPART_ARC
(20,17),-1.38272 # DEPENDENCYPART_ARC
(20,18),-0.312888 # DEPENDENCYPART_ARC
(20,19),1.68649 # DEPENDENCYPART_ARC
(20,21),-0.897939 # DEPENDENCYPART_ARC
(20,23),-0.407276 # DEPENDENCYPART_ARC
(20,25),-1.97777 # DEPENDENCYPART_ARC
(21,2),-1.85588 # DEPENDENCYPART_ARC
(21,3),-2.25728 # DEPENDENCYPART_ARC
(21,5),-3.24133 # DEPENDENCYPART_ARC
(21,7),-2.78905 # DEPENDENCYPART_ARC
(21,8),-0.987659 # DEPENDENCYPART_ARC
(21,9),-1.45985 # DEPENDENCYPART_ARC
(21,10),-3.04756 # DEPENDENCYPART_ARC
(21,11),-0.665395 # DEPENDENCYPART_ARC
(21,12),-0.845345 # DEPENDENCYPART_ARC
(21,13),-1.89231 # DEPENDENCYPART_ARC
(21,14),-0.860014 # DEPENDENCYPART_ARC
(21,15),-2.68559 # DEPENDENCYPART_ARC
(21,16),-0.407522 # DEPENDENCYPART_ARC
(21,17),-1.04842 # DEPENDENCYPART_ARC
(21,18),-0.309365 # DEPENDENCYPART_ARC
(21,19),-0.886487 # DEPENDENCYPART_ARC
(21,20),0.175465 # DEPENDENCYPART_ARC
(21,22),-1.4859 # DEPENDENCYPART_ARC
(21,23),-0.552945 # DEPENDENCYPART_ARC
(21,25),-0.854547 # DEPENDENCYPART_ARC
(22,2),-1.70225 # DEPENDENCYPART_ARC
(22,3),-0.62608 # DEPENDENCYPART_ARC
(22,5),-1.44098 # DEPENDENCYPART_ARC
(22,7),-1.74696 # DEPENDENCYPART_ARC
(22,8),-0.220619 # DEPENDENCYPART_ARC
(22,9),-0.383215 # DEPENDENCYPART_ARC
(22,10),-0.458852 # DEPENDENCYPART_ARC
(22,11),-0.195261 # DEPENDENCYPART_ARC
(22,12),-0.323923 # DEPENDENCYPART_ARC
(22,13),-0.412364 # DEPENDENCYPART_ARC
(22,14),-0.17892 # DEPENDENCYPART_ARC
(22,15),-0.300875 # DEPENDENCYPART_ARC
(22,16),0.369724 # DEPENDENCYPART_ARC
(22,17),0.163834 # DEPENDENCYPART_ARC
(22,18),0.281428 # DEPENDENCYPART_ARC
(22,19),-0.900788 # DEPENDENCYPART_ARC
(22,20),-0.136604 # DEPENDENCYPART_ARC
(22,21),3.23937 # DEPENDENCYPART_ARC
(22,23),1.71414 # DEPENDENCYPART_ARC
(22,24),-0.612031 # DEPENDENCYPART_ARC
(22,25),0.497193 # DEPENDENCYPART_ARC
(22,26),0.198867 # DEPENDENCYPART_ARC
(23,21),-1.21104 # DEPENDENCYPART_ARC
(23,24),-0.174877 # DEPENDENCYPART_ARC
(23,25),1.32455 # DEPENDENCYPART_ARC
(23,26),-0.352897 # DEPENDENCYPART_ARC
(25,19),-1.38387 # DEPENDENCYPART_ARC
(25,20),-1.24771 # DEPENDENCYPART_ARC
(25,23),-0.733639 # DEPENDENCYPART_ARC
(25,24),2.35743 # DEPENDENCYPART_ARC
(26,23),-1.29974 # DEPENDENCYPART_ARC
(26,25),-1.14961 # DEPENDENCYPART_ARC
(0,2),(0,3),0.155511 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0790452 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.25313 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.116729 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.155324 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0790452 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.25313 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.155462 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.00655799 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.015916 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.262195 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.249993 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.31303 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.00172897 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.240171 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.162869 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0287461 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.00172897 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.240171 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0287058 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.0177179 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.025458 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.253113 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.239183 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.218542 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.215811 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.030572 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.219443 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0210454 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.215811 # DEPENDENCYPART_SIBL
(0,8),(0,17),0.219532 # DEPENDENCYPART_SIBL
(0,8),(0,18),0.034176 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.00772243 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.227581 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.210366 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.402918 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.355497 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0155643 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0598186 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.606893 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0156049 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.115071 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.159393 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.617044 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.603075 # DEPENDENCYPART_SIBL
(0,10),(0,26),-0.106763 # DEPENDENCYPART_SIBL
(0,11),(0,13),5.77172e-05 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0554901 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.299377 # DEPENDENCYPART_SIBL
(0,11),(0,17),1.67527e-05 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0632526 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.0782175 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.311402 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.297346 # DEPENDENCYPART_SIBL
(0,11),(0,26),-0.0414874 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.00487029 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.24018 # DEPENDENCYPART_SIBL
(0,13),(0,17),0.0275208 # DEPENDENCYPART_SIBL
(0,13),(0,18),0.0175404 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.0254999 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.253122 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.239191 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.221954 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.215811 # DEPENDENCYPART_SIBL
(0,14),(0,17),0.219532 # DEPENDENCYPART_SIBL
(0,14),(0,18),0.034176 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.00772243 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.227581 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.210366 # DEPENDENCYPART_SIBL
(0,14),(0,26),-0.402918 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0156049 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.115071 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.159393 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.617044 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.603075 # DEPENDENCYPART_SIBL
(0,15),(0,26),-0.106763 # DEPENDENCYPART_SIBL
(0,17),(0,18),0.0176754 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.0255001 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.253156 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.239225 # DEPENDENCYPART_SIBL
(0,17),(0,26),-0.220291 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.0094141 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.189268 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.176359 # DEPENDENCYPART_SIBL
(0,18),(0,26),-0.0758196 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.26223 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.250028 # DEPENDENCYPART_SIBL
(0,20),(0,26),-0.313066 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.622895 # DEPENDENCYPART_SIBL
(0,21),(0,26),-0.153193 # DEPENDENCYPART_SIBL
(0,22),(0,26),-0.121042 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0579023 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0579053 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0579053 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.108488 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.108488 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.108488 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0626892 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0300159 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0201754 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0201754 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0740737 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0431569 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0045979 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0899963 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0431569 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0147008 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.238244 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0289543 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0459067 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00931476 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00931476 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0183021 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0189938 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.00880463 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0327919 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0189938 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0440862 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.154623 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.012119 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0134077 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0134077 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0320963 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0113011 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.05838 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0108503 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0113011 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0428741 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0483286 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.00444069 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.124415 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0421068 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0152299 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.176082 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.00792881 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0152299 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0697782 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.040963 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.00614808 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0421068 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0152299 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.176082 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.00792881 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0152299 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0697782 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.040963 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.00614808 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0166572 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.000719687 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0171087 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0166572 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.028716 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0608338 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.0166589 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0736124 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.00351757 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0866691 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.0215768 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0525165 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0927141 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.00233495 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.000906334 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.00966636 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.014771 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.00569099 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0186875 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.0774697 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.0499393 # DEPENDENCYPART_SIBL
(3,12),(3,22),0.0122644 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0215768 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0525165 # DEPENDENCYPART_SIBL
(3,15),(3,22),-0.0927141 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0113315 # DEPENDENCYPART_SIBL
(3,16),(3,22),-0.00173982 # DEPENDENCYPART_SIBL
(3,18),(3,22),-0.00712538 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0626906 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0820229 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.343526 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0163838 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0221008 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0721524 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0450781 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0957565 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0450781 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.0308755 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.024238 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0765625 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0496904 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00931857 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0183013 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0189946 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0347125 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0189946 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.0121198 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0971456 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0177671 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0032421 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0120242 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0106366 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.00819945 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0106366 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.000152955 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.023499 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0321943 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.057489 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0547978 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.00500583 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0547978 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.0405953 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0071975 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0544198 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0308012 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.030636 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0308012 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.0376616 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0398964 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0174402 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.01456 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0174402 # DEPENDENCYPART_SIBL
(5,7),(5,22),0.00835845 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0166572 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0148982 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0166572 # DEPENDENCYPART_SIBL
(5,8),(5,22),0.0166589 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.00572797 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0866691 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.0927141 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.0186875 # DEPENDENCYPART_SIBL
(5,12),(5,22),0.0122645 # DEPENDENCYPART_SIBL
