# _root_ Ανησυχώ μήπως η διακρατική συνεργασία στον τομέα της εκπαίδευσης , δηλαδή η διακυβερνητική πτυχή , παραγκωνίσει την κοινοτική προσέγγιση .
#goldHeads=0,1,5,5,11,5,6,9,7,11,16,14,14,11,16,2,19,19,16,0,
#predictedHeads=0,1,5,5,1,5,6,9,7,11,1,14,14,16,16,0,19,19,16,0,
(5,1),-2.59478 # DEPENDENCYPART_ARC
(5,2),-0.581773 # DEPENDENCYPART_ARC
(5,3),2.43393 # DEPENDENCYPART_ARC
(5,4),2.46098 # DEPENDENCYPART_ARC
(5,6),0.744719 # DEPENDENCYPART_ARC
(5,7),-0.538957 # DEPENDENCYPART_ARC
(5,9),0.136311 # DEPENDENCYPART_ARC
(5,10),-0.279608 # DEPENDENCYPART_ARC
(5,11),-0.62412 # DEPENDENCYPART_ARC
(5,15),-0.305878 # DEPENDENCYPART_ARC
(5,16),-0.865922 # DEPENDENCYPART_ARC
(6,4),-1.51065 # DEPENDENCYPART_ARC
(6,7),2.64698 # DEPENDENCYPART_ARC
(6,9),-0.508762 # DEPENDENCYPART_ARC
(6,10),-0.424612 # DEPENDENCYPART_ARC
(7,2),-1.25593 # DEPENDENCYPART_ARC
(7,3),-0.58367 # DEPENDENCYPART_ARC
(7,4),-1.29241 # DEPENDENCYPART_ARC
(7,5),-0.705119 # DEPENDENCYPART_ARC
(7,6),-0.594998 # DEPENDENCYPART_ARC
(7,8),-0.258894 # DEPENDENCYPART_ARC
(7,9),1.06348 # DEPENDENCYPART_ARC
(7,10),-0.282587 # DEPENDENCYPART_ARC
(7,11),-0.436138 # DEPENDENCYPART_ARC
(7,13),-0.916556 # DEPENDENCYPART_ARC
(7,14),-1.52174 # DEPENDENCYPART_ARC
(7,15),-0.540553 # DEPENDENCYPART_ARC
(7,16),-0.795254 # DEPENDENCYPART_ARC
(7,19),-2.17302 # DEPENDENCYPART_ARC
(9,2),-1.19039 # DEPENDENCYPART_ARC
(9,3),-0.920404 # DEPENDENCYPART_ARC
(9,4),-1.48802 # DEPENDENCYPART_ARC
(9,5),-1.81991 # DEPENDENCYPART_ARC
(9,7),-1.53512 # DEPENDENCYPART_ARC
(9,8),2.22387 # DEPENDENCYPART_ARC
(9,10),-0.267603 # DEPENDENCYPART_ARC
(9,11),-0.587847 # DEPENDENCYPART_ARC
(9,13),-0.837938 # DEPENDENCYPART_ARC
(9,14),-1.24359 # DEPENDENCYPART_ARC
(9,16),-1.36122 # DEPENDENCYPART_ARC
(10,1),-0.978241 # DEPENDENCYPART_ARC
(10,2),-0.744377 # DEPENDENCYPART_ARC
(10,4),-1.07467 # DEPENDENCYPART_ARC
(10,5),-0.88717 # DEPENDENCYPART_ARC
(10,6),-0.624269 # DEPENDENCYPART_ARC
(10,7),-0.818098 # DEPENDENCYPART_ARC
(10,9),-0.472717 # DEPENDENCYPART_ARC
(10,11),-0.520113 # DEPENDENCYPART_ARC
(10,13),-0.955359 # DEPENDENCYPART_ARC
(10,14),-0.990092 # DEPENDENCYPART_ARC
(10,15),-0.29316 # DEPENDENCYPART_ARC
(10,16),-1.09951 # DEPENDENCYPART_ARC
(10,18),-1.44189 # DEPENDENCYPART_ARC
(10,19),-1.63436 # DEPENDENCYPART_ARC
(11,1),-1.44937 # DEPENDENCYPART_ARC
(11,2),-0.521864 # DEPENDENCYPART_ARC
(11,5),-1.08299 # DEPENDENCYPART_ARC
(11,6),-0.694456 # DEPENDENCYPART_ARC
(11,7),-1.05901 # DEPENDENCYPART_ARC
(11,8),-0.902488 # DEPENDENCYPART_ARC
(11,9),-0.77924 # DEPENDENCYPART_ARC
(11,10),0.380924 # DEPENDENCYPART_ARC
(11,12),-0.193044 # DEPENDENCYPART_ARC
(11,13),-0.669546 # DEPENDENCYPART_ARC
(11,14),-0.569042 # DEPENDENCYPART_ARC
(11,15),-0.356331 # DEPENDENCYPART_ARC
(11,16),-0.734195 # DEPENDENCYPART_ARC
(11,19),-1.55136 # DEPENDENCYPART_ARC
(11,20),-0.808389 # DEPENDENCYPART_ARC
(13,5),-1.69303 # DEPENDENCYPART_ARC
(13,11),-0.529214 # DEPENDENCYPART_ARC
(13,12),0.543004 # DEPENDENCYPART_ARC
(13,14),-0.835008 # DEPENDENCYPART_ARC
(13,15),-0.601268 # DEPENDENCYPART_ARC
(13,19),-2.19422 # DEPENDENCYPART_ARC
(14,1),-2.65129 # DEPENDENCYPART_ARC
(14,2),-0.819973 # DEPENDENCYPART_ARC
(14,8),-0.300194 # DEPENDENCYPART_ARC
(14,9),-0.87546 # DEPENDENCYPART_ARC
(14,10),-0.515382 # DEPENDENCYPART_ARC
(14,11),-0.513169 # DEPENDENCYPART_ARC
(14,12),2.61004 # DEPENDENCYPART_ARC
(14,13),2.50813 # DEPENDENCYPART_ARC
(14,15),-0.223149 # DEPENDENCYPART_ARC
(14,16),-0.436492 # DEPENDENCYPART_ARC
(14,18),-1.88975 # DEPENDENCYPART_ARC
(14,19),-1.57412 # DEPENDENCYPART_ARC
(15,1),-1.18034 # DEPENDENCYPART_ARC
(15,5),-1.22962 # DEPENDENCYPART_ARC
(15,6),-0.64491 # DEPENDENCYPART_ARC
(15,7),-1.29749 # DEPENDENCYPART_ARC
(15,9),-1.36116 # DEPENDENCYPART_ARC
(15,13),-0.900718 # DEPENDENCYPART_ARC
(15,14),-0.53158 # DEPENDENCYPART_ARC
(15,16),-0.740041 # DEPENDENCYPART_ARC
(15,18),-1.40347 # DEPENDENCYPART_ARC
(15,19),-1.50465 # DEPENDENCYPART_ARC
(16,1),1.20255 # DEPENDENCYPART_ARC
(16,2),-0.229313 # DEPENDENCYPART_ARC
(16,4),-2.323 # DEPENDENCYPART_ARC
(16,5),-0.351275 # DEPENDENCYPART_ARC
(16,6),-1.21258 # DEPENDENCYPART_ARC
(16,7),-1.21567 # DEPENDENCYPART_ARC
(16,9),-1.5748 # DEPENDENCYPART_ARC
(16,10),0.0167229 # DEPENDENCYPART_ARC
(16,11),0.25653 # DEPENDENCYPART_ARC
(16,12),-0.948229 # DEPENDENCYPART_ARC
(16,13),-1.64107 # DEPENDENCYPART_ARC
(16,14),0.465918 # DEPENDENCYPART_ARC
(16,15),0.802276 # DEPENDENCYPART_ARC
(16,17),0.0511005 # DEPENDENCYPART_ARC
(16,18),-0.380635 # DEPENDENCYPART_ARC
(16,19),1.24658 # DEPENDENCYPART_ARC
(16,20),0.268696 # DEPENDENCYPART_ARC
(18,14),-1.49731 # DEPENDENCYPART_ARC
(18,17),0.233022 # DEPENDENCYPART_ARC
(18,19),-0.535132 # DEPENDENCYPART_ARC
(18,20),-0.597701 # DEPENDENCYPART_ARC
(19,1),-2.70899 # DEPENDENCYPART_ARC
(19,12),-0.348394 # DEPENDENCYPART_ARC
(19,13),-0.697429 # DEPENDENCYPART_ARC
(19,14),-1.16895 # DEPENDENCYPART_ARC
(19,17),2.212 # DEPENDENCYPART_ARC
(19,18),2.3829 # DEPENDENCYPART_ARC
(19,20),-0.224451 # DEPENDENCYPART_ARC
(20,1),-1.88141 # DEPENDENCYPART_ARC
(20,18),-1.37936 # DEPENDENCYPART_ARC
(20,19),-1.07298 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.118467 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.162284 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0899901 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.068561 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.068561 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.605928 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.121042 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0144364 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.0621139 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.0492359 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.0492359 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.182267 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0601461 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0662321 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0790452 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0790452 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.249993 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.31303 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.239501 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.239501 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.36006 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.512096 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0210454 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.210366 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.402918 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.210366 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.402918 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.121042 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00103959 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0697126 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00254145 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0277931 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0093471 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.00978939 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.00181627 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0285002 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.00973052 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.00181627 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.00276544 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.0119194 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.0302144 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0590715 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0275417 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.000396511 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0251921 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0247515 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0191614 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.00324041 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0247499 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0191614 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.0160772 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0242229 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.0370601 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0371031 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00562634 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0352754 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0343066 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.00977009 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0178864 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0343066 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.00977009 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.00752358 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.0337953 # DEPENDENCYPART_SIBL
(1,4),(1,20),-0.0659319 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0154719 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.231456 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.231276 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.000883671 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0203499 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.231007 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.000883671 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0369488 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.23048 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.0669008 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.00939284 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.00800119 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.012375 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.00457524 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.00799152 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.012375 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.0127547 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.00746458 # DEPENDENCYPART_SIBL
(1,6),(1,20),-0.0506022 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.227769 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0142885 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0213686 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.2275 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0142885 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0370588 # DEPENDENCYPART_SIBL
(1,7),(1,19),-0.226973 # DEPENDENCYPART_SIBL
(1,7),(1,20),-0.0726805 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0102388 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.023287 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.225255 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0102388 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.0348556 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.224728 # DEPENDENCYPART_SIBL
(1,9),(1,20),-0.0701257 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.00138619 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.00436572 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.019737 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.00588399 # DEPENDENCYPART_SIBL
(1,10),(1,19),0.00488032 # DEPENDENCYPART_SIBL
(1,10),(1,20),-0.109892 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.0103385 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.00273298 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.0112902 # DEPENDENCYPART_SIBL
(1,11),(1,19),0.0125275 # DEPENDENCYPART_SIBL
(1,11),(1,20),-0.032847 # DEPENDENCYPART_SIBL
(1,14),(1,15),-0.0102913 # DEPENDENCYPART_SIBL
(1,14),(1,16),-0.0342661 # DEPENDENCYPART_SIBL
(1,14),(1,19),-0.224722 # DEPENDENCYPART_SIBL
(1,14),(1,20),-0.0702349 # DEPENDENCYPART_SIBL
(1,15),(1,16),-0.00588399 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.00488032 # DEPENDENCYPART_SIBL
(1,15),(1,20),-0.109892 # DEPENDENCYPART_SIBL
(1,16),(1,19),-0.0645132 # DEPENDENCYPART_SIBL
(1,16),(1,20),0.0191106 # DEPENDENCYPART_SIBL
(1,19),(1,20),-0.0782071 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00900428 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00183246 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00451196 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0144062 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00617508 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0333365 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0604116 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0333365 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.151528 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.01415 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00319524 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00415272 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00318207 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00321532 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.00121583 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.00321532 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0166335 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0224494 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00700312 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0227041 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0127715 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0188902 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0127715 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0123622 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0141026 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.148056 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0306167 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0043995 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0306167 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0312287 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0181961 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0308077 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.00642522 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0308077 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0233705 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0181109 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.00471741 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0181109 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0330417 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.00365965 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0089571 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.00188712 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0412118 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0249013 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.00188712 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0182978 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0247755 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00415609 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0326267 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0263469 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0289592 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0759397 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0249528 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.075944 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0801434 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0295227 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0368794 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.110093 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.110358 # DEPENDENCYPART_SIBL
(4,5),(4,11),5.65841e-06 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00547061 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00607816 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0122352 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.110105 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.000311629 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.000146953 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.000570354 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.156981 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0279569 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.00272385 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00604253 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.00164776 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0325873 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0167727 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0325873 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.091386 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.109931 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.00516944 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0487449 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00702875 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00514121 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0220387 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0329212 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0220387 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0107686 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.092837 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0979811 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0511803 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0639671 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0940942 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0743727 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0940942 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.011918 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00956935 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0102766 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0139093 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0287564 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.00784801 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0287564 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.00538299 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00595286 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.00508573 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0249781 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.025305 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0249781 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0122716 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.127124 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.047635 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0619385 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.047635 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.000574547 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0433479 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0636008 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0433479 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.00432457 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0818869 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0132701 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0117516 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0315682 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.0183771 # DEPENDENCYPART_SIBL
(5,15),(5,16),0.0117516 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.020045 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.000212779 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0397858 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.483529 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0574623 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0424891 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.119023 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0119125 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0313681 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0283313 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.00637003 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.000200148 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0220067 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0279008 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.016043 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.00386174 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0220067 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.00952283 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.00129458 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0877114 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0723335 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0485846 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0334716 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0598654 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0912911 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0697071 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0444791 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0477704 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0912911 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0108606 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.0476966 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0239734 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0123892 # DEPENDENCYPART_SIBL
