# _root_ Ακόμη και σε μια μικρή κοινότητα όπως η δική μου , που βρίσκεται σε μια χώρα όπου η οικοδόμηση έχει υψηλό κόστος για κλιματικούς λόγους , σήμερα η απλή κατασκευή ενός σχολικού κτιρίου βρίσκεται ήδη πάνω από την τιμή κατωφλίου .
#goldHeads=6,6,34,6,6,3,6,9,6,9,13,13,6,13,16,14,20,19,20,16,22,20,20,25,23,34,34,30,30,34,33,33,30,0,34,34,36,39,37,39,0,
#predictedHeads=2,0,2,6,6,3,6,9,7,9,13,13,6,13,16,14,20,19,20,16,22,20,22,25,23,27,20,30,30,34,33,33,30,27,36,34,36,39,37,39,0,
(7,5),-0.824815 # DEPENDENCYPART_ARC
(7,6),-0.691029 # DEPENDENCYPART_ARC
(7,8),-0.542386 # DEPENDENCYPART_ARC
(7,9),-0.984625 # DEPENDENCYPART_ARC
(7,11),-0.703936 # DEPENDENCYPART_ARC
(7,13),-1.31392 # DEPENDENCYPART_ARC
(7,14),-1.21026 # DEPENDENCYPART_ARC
(9,7),-0.609594 # DEPENDENCYPART_ARC
(9,8),0.444462 # DEPENDENCYPART_ARC
(9,10),-0.619015 # DEPENDENCYPART_ARC
(9,11),-0.399829 # DEPENDENCYPART_ARC
(9,13),-0.861192 # DEPENDENCYPART_ARC
(9,14),-0.585687 # DEPENDENCYPART_ARC
(9,16),-2.06995 # DEPENDENCYPART_ARC
(11,1),-0.874756 # DEPENDENCYPART_ARC
(11,2),-0.505722 # DEPENDENCYPART_ARC
(11,3),-0.80681 # DEPENDENCYPART_ARC
(11,5),-1.21345 # DEPENDENCYPART_ARC
(11,6),-1.06141 # DEPENDENCYPART_ARC
(11,7),-0.854926 # DEPENDENCYPART_ARC
(11,9),-0.826884 # DEPENDENCYPART_ARC
(11,12),-0.426509 # DEPENDENCYPART_ARC
(11,13),-0.835945 # DEPENDENCYPART_ARC
(11,14),-0.985368 # DEPENDENCYPART_ARC
(11,16),-1.45371 # DEPENDENCYPART_ARC
(11,20),-1.14337 # DEPENDENCYPART_ARC
(11,21),-1.30287 # DEPENDENCYPART_ARC
(12,11),-0.00270802 # DEPENDENCYPART_ARC
(12,13),-1.07084 # DEPENDENCYPART_ARC
(13,1),-0.620588 # DEPENDENCYPART_ARC
(13,2),-0.836418 # DEPENDENCYPART_ARC
(13,3),-0.345485 # DEPENDENCYPART_ARC
(13,5),-0.939908 # DEPENDENCYPART_ARC
(13,6),-1.41837 # DEPENDENCYPART_ARC
(13,7),-0.528811 # DEPENDENCYPART_ARC
(13,8),-1.5323 # DEPENDENCYPART_ARC
(13,9),-0.736988 # DEPENDENCYPART_ARC
(13,11),0.380032 # DEPENDENCYPART_ARC
(13,12),2.19023 # DEPENDENCYPART_ARC
(13,14),1.39104 # DEPENDENCYPART_ARC
(13,16),-0.392153 # DEPENDENCYPART_ARC
(13,17),-0.310904 # DEPENDENCYPART_ARC
(13,19),-0.975194 # DEPENDENCYPART_ARC
(13,20),-1.97327 # DEPENDENCYPART_ARC
(13,21),-1.62194 # DEPENDENCYPART_ARC
(13,22),-1.66074 # DEPENDENCYPART_ARC
(13,23),-0.696863 # DEPENDENCYPART_ARC
(13,26),-0.518939 # DEPENDENCYPART_ARC
(13,27),-1.01112 # DEPENDENCYPART_ARC
(13,35),-1.26034 # DEPENDENCYPART_ARC
(13,36),-1.23157 # DEPENDENCYPART_ARC
(13,37),-1.24267 # DEPENDENCYPART_ARC
(14,15),-0.151057 # DEPENDENCYPART_ARC
(14,16),1.2871 # DEPENDENCYPART_ARC
(14,17),-0.435977 # DEPENDENCYPART_ARC
(14,19),-0.18855 # DEPENDENCYPART_ARC
(14,20),-1.248 # DEPENDENCYPART_ARC
(14,22),-1.35868 # DEPENDENCYPART_ARC
(16,8),-0.860381 # DEPENDENCYPART_ARC
(16,12),-0.486157 # DEPENDENCYPART_ARC
(16,14),-0.66418 # DEPENDENCYPART_ARC
(16,15),2.33081 # DEPENDENCYPART_ARC
(16,17),0.298477 # DEPENDENCYPART_ARC
(16,18),-0.846934 # DEPENDENCYPART_ARC
(16,19),-0.878364 # DEPENDENCYPART_ARC
(16,20),-0.8714 # DEPENDENCYPART_ARC
(16,21),-1.46275 # DEPENDENCYPART_ARC
(16,23),-0.733975 # DEPENDENCYPART_ARC
(17,12),-2.0801 # DEPENDENCYPART_ARC
(17,14),-0.72095 # DEPENDENCYPART_ARC
(17,16),-0.643698 # DEPENDENCYPART_ARC
(17,18),-0.425573 # DEPENDENCYPART_ARC
(17,19),-0.35223 # DEPENDENCYPART_ARC
(17,20),-0.726044 # DEPENDENCYPART_ARC
(17,22),-1.24084 # DEPENDENCYPART_ARC
(19,12),-0.421548 # DEPENDENCYPART_ARC
(19,15),-0.426797 # DEPENDENCYPART_ARC
(19,16),-1.63947 # DEPENDENCYPART_ARC
(19,17),-0.425271 # DEPENDENCYPART_ARC
(19,18),2.51783 # DEPENDENCYPART_ARC
(19,20),-0.632281 # DEPENDENCYPART_ARC
(19,21),-1.6757 # DEPENDENCYPART_ARC
(19,22),-1.24082 # DEPENDENCYPART_ARC
(19,23),-0.462013 # DEPENDENCYPART_ARC
(19,24),-1.90108 # DEPENDENCYPART_ARC
(20,1),-0.588565 # DEPENDENCYPART_ARC
(20,2),-0.494829 # DEPENDENCYPART_ARC
(20,3),-0.484591 # DEPENDENCYPART_ARC
(20,5),-1.62337 # DEPENDENCYPART_ARC
(20,6),-1.4722 # DEPENDENCYPART_ARC
(20,7),-0.793555 # DEPENDENCYPART_ARC
(20,9),-1.53243 # DEPENDENCYPART_ARC
(20,11),-0.305245 # DEPENDENCYPART_ARC
(20,12),-0.79154 # DEPENDENCYPART_ARC
(20,13),-2.08581 # DEPENDENCYPART_ARC
(20,14),-0.462658 # DEPENDENCYPART_ARC
(20,16),-0.782658 # DEPENDENCYPART_ARC
(20,17),0.0155932 # DEPENDENCYPART_ARC
(20,18),-0.867252 # DEPENDENCYPART_ARC
(20,19),0.81251 # DEPENDENCYPART_ARC
(20,21),0.0783001 # DEPENDENCYPART_ARC
(20,22),1.24141 # DEPENDENCYPART_ARC
(20,23),-0.00785781 # DEPENDENCYPART_ARC
(20,24),-1.56673 # DEPENDENCYPART_ARC
(20,25),-0.184037 # DEPENDENCYPART_ARC
(20,26),-0.374598 # DEPENDENCYPART_ARC
(20,27),-0.662071 # DEPENDENCYPART_ARC
(20,30),-0.514151 # DEPENDENCYPART_ARC
(20,33),-2.4543 # DEPENDENCYPART_ARC
(20,34),-2.12495 # DEPENDENCYPART_ARC
(20,35),-1.46617 # DEPENDENCYPART_ARC
(20,36),-1.50488 # DEPENDENCYPART_ARC
(20,37),-2.02505 # DEPENDENCYPART_ARC
(20,39),-1.68598 # DEPENDENCYPART_ARC
(20,40),-3.4449 # DEPENDENCYPART_ARC
(21,16),-1.28533 # DEPENDENCYPART_ARC
(21,17),-0.382577 # DEPENDENCYPART_ARC
(21,18),-0.504704 # DEPENDENCYPART_ARC
(21,19),-0.57963 # DEPENDENCYPART_ARC
(21,22),-0.376332 # DEPENDENCYPART_ARC
(21,23),-0.282389 # DEPENDENCYPART_ARC
(21,24),-0.612524 # DEPENDENCYPART_ARC
(21,25),-1.40571 # DEPENDENCYPART_ARC
(22,2),-0.14155 # DEPENDENCYPART_ARC
(22,15),-1.23907 # DEPENDENCYPART_ARC
(22,17),-0.741266 # DEPENDENCYPART_ARC
(22,18),-0.579442 # DEPENDENCYPART_ARC
(22,19),-0.993258 # DEPENDENCYPART_ARC
(22,20),-1.31365 # DEPENDENCYPART_ARC
(22,21),2.46302 # DEPENDENCYPART_ARC
(22,23),0.68011 # DEPENDENCYPART_ARC
(22,24),-0.723777 # DEPENDENCYPART_ARC
(22,25),-1.10738 # DEPENDENCYPART_ARC
(22,26),-0.323143 # DEPENDENCYPART_ARC
(22,27),-0.732723 # DEPENDENCYPART_ARC
(22,30),-1.45893 # DEPENDENCYPART_ARC
(22,34),-1.59651 # DEPENDENCYPART_ARC
(23,22),-0.817204 # DEPENDENCYPART_ARC
(23,24),0.639222 # DEPENDENCYPART_ARC
(23,25),1.41093 # DEPENDENCYPART_ARC
(23,26),-0.262171 # DEPENDENCYPART_ARC
(23,27),-0.490041 # DEPENDENCYPART_ARC
(23,30),-0.540717 # DEPENDENCYPART_ARC
(24,25),-0.734297 # DEPENDENCYPART_ARC
(24,26),-0.566041 # DEPENDENCYPART_ARC
(24,27),-0.589596 # DEPENDENCYPART_ARC
(24,30),-1.74595 # DEPENDENCYPART_ARC
(24,33),-0.639069 # DEPENDENCYPART_ARC
(25,2),-0.0239159 # DEPENDENCYPART_ARC
(25,18),-1.59674 # DEPENDENCYPART_ARC
(25,19),-1.39097 # DEPENDENCYPART_ARC
(25,21),-0.433862 # DEPENDENCYPART_ARC
(25,22),-0.721834 # DEPENDENCYPART_ARC
(25,23),-0.178856 # DEPENDENCYPART_ARC
(25,24),2.60492 # DEPENDENCYPART_ARC
(25,26),-0.228034 # DEPENDENCYPART_ARC
(25,27),-0.364993 # DEPENDENCYPART_ARC
(25,29),-0.991833 # DEPENDENCYPART_ARC
(25,30),-1.48735 # DEPENDENCYPART_ARC
(25,34),-1.70883 # DEPENDENCYPART_ARC
(26,16),-1.28705 # DEPENDENCYPART_ARC
(26,19),-1.10703 # DEPENDENCYPART_ARC
(26,21),-1.11221 # DEPENDENCYPART_ARC
(26,22),-0.739082 # DEPENDENCYPART_ARC
(26,23),-0.480584 # DEPENDENCYPART_ARC
(26,24),-0.712415 # DEPENDENCYPART_ARC
(26,25),-0.274629 # DEPENDENCYPART_ARC
(26,27),-0.434707 # DEPENDENCYPART_ARC
(26,29),-0.877955 # DEPENDENCYPART_ARC
(26,30),-0.921437 # DEPENDENCYPART_ARC
(26,32),-1.07738 # DEPENDENCYPART_ARC
(26,33),-1.33979 # DEPENDENCYPART_ARC
(26,34),-0.889739 # DEPENDENCYPART_ARC
(27,17),-1.13733 # DEPENDENCYPART_ARC
(27,23),-0.942805 # DEPENDENCYPART_ARC
(27,24),-1.0515 # DEPENDENCYPART_ARC
(27,25),-1.05579 # DEPENDENCYPART_ARC
(27,26),-0.115697 # DEPENDENCYPART_ARC
(27,28),-0.279413 # DEPENDENCYPART_ARC
(27,29),-0.755034 # DEPENDENCYPART_ARC
(27,30),-0.652517 # DEPENDENCYPART_ARC
(27,33),-0.858796 # DEPENDENCYPART_ARC
(27,34),-0.896172 # DEPENDENCYPART_ARC
(27,35),-1.15511 # DEPENDENCYPART_ARC
(27,36),-1.19136 # DEPENDENCYPART_ARC
(27,37),-0.806268 # DEPENDENCYPART_ARC
(29,25),-1.13626 # DEPENDENCYPART_ARC
(29,26),-0.806332 # DEPENDENCYPART_ARC
(29,27),-0.5556 # DEPENDENCYPART_ARC
(29,28),0.53329 # DEPENDENCYPART_ARC
(29,30),-0.882552 # DEPENDENCYPART_ARC
(29,32),-0.86934 # DEPENDENCYPART_ARC
(29,33),-0.662183 # DEPENDENCYPART_ARC
(29,37),-0.721857 # DEPENDENCYPART_ARC
(30,24),-1.16855 # DEPENDENCYPART_ARC
(30,25),-2.25326 # DEPENDENCYPART_ARC
(30,26),-0.754798 # DEPENDENCYPART_ARC
(30,27),-0.73109 # DEPENDENCYPART_ARC
(30,28),2.42293 # DEPENDENCYPART_ARC
(30,29),2.46339 # DEPENDENCYPART_ARC
(30,32),-0.8599 # DEPENDENCYPART_ARC
(30,33),0.411766 # DEPENDENCYPART_ARC
(30,34),-1.05667 # DEPENDENCYPART_ARC
(30,35),-0.817458 # DEPENDENCYPART_ARC
(30,36),-0.827729 # DEPENDENCYPART_ARC
(30,37),-1.05444 # DEPENDENCYPART_ARC
(30,39),-1.84376 # DEPENDENCYPART_ARC
(30,40),-0.863723 # DEPENDENCYPART_ARC
(32,31),0.471844 # DEPENDENCYPART_ARC
(32,33),0.358889 # DEPENDENCYPART_ARC
(32,34),-0.850017 # DEPENDENCYPART_ARC
(32,35),-0.760243 # DEPENDENCYPART_ARC
(32,36),-0.855068 # DEPENDENCYPART_ARC
(32,37),-0.596331 # DEPENDENCYPART_ARC
(32,39),-2.17608 # DEPENDENCYPART_ARC
(32,40),-1.41625 # DEPENDENCYPART_ARC
(33,28),-0.587921 # DEPENDENCYPART_ARC
(33,29),-0.770551 # DEPENDENCYPART_ARC
(33,30),-1.44211 # DEPENDENCYPART_ARC
(33,31),1.88628 # DEPENDENCYPART_ARC
(33,32),2.06916 # DEPENDENCYPART_ARC
(33,34),-0.901098 # DEPENDENCYPART_ARC
(33,35),-0.940186 # DEPENDENCYPART_ARC
(33,36),-1.03229 # DEPENDENCYPART_ARC
(33,37),-1.21377 # DEPENDENCYPART_ARC
(34,3),-0.180602 # DEPENDENCYPART_ARC
(34,6),-1.7736 # DEPENDENCYPART_ARC
(34,7),-0.990685 # DEPENDENCYPART_ARC
(34,11),-0.915838 # DEPENDENCYPART_ARC
(34,13),-2.38373 # DEPENDENCYPART_ARC
(34,14),-0.348407 # DEPENDENCYPART_ARC
(34,16),-1.28258 # DEPENDENCYPART_ARC
(34,17),-0.300659 # DEPENDENCYPART_ARC
(34,19),-0.535357 # DEPENDENCYPART_ARC
(34,20),-1.3256 # DEPENDENCYPART_ARC
(34,21),-1.02302 # DEPENDENCYPART_ARC
(34,22),-1.28376 # DEPENDENCYPART_ARC
(34,23),-0.648302 # DEPENDENCYPART_ARC
(34,24),-0.740664 # DEPENDENCYPART_ARC
(34,25),-1.49688 # DEPENDENCYPART_ARC
(34,26),-0.255377 # DEPENDENCYPART_ARC
(34,27),-0.139247 # DEPENDENCYPART_ARC
(34,29),-0.592913 # DEPENDENCYPART_ARC
(34,30),0.177812 # DEPENDENCYPART_ARC
(34,31),-1.10562 # DEPENDENCYPART_ARC
(34,32),-1.13056 # DEPENDENCYPART_ARC
(34,33),-0.716276 # DEPENDENCYPART_ARC
(34,35),0.855185 # DEPENDENCYPART_ARC
(34,36),0.458697 # DEPENDENCYPART_ARC
(34,37),0.0768543 # DEPENDENCYPART_ARC
(34,39),-0.446005 # DEPENDENCYPART_ARC
(34,40),-2.11307 # DEPENDENCYPART_ARC
(35,32),-0.694929 # DEPENDENCYPART_ARC
(35,33),-0.780358 # DEPENDENCYPART_ARC
(35,34),-0.553977 # DEPENDENCYPART_ARC
(35,36),-0.27755 # DEPENDENCYPART_ARC
(35,37),-0.313667 # DEPENDENCYPART_ARC
(35,39),-1.20107 # DEPENDENCYPART_ARC
(35,40),-0.820026 # DEPENDENCYPART_ARC
(36,1),-0.713105 # DEPENDENCYPART_ARC
(36,3),-0.520542 # DEPENDENCYPART_ARC
(36,17),-0.563528 # DEPENDENCYPART_ARC
(36,33),-0.833699 # DEPENDENCYPART_ARC
(36,35),1.00792 # DEPENDENCYPART_ARC
(36,37),0.940624 # DEPENDENCYPART_ARC
(36,39),-0.679581 # DEPENDENCYPART_ARC
(36,40),-0.339731 # DEPENDENCYPART_ARC
(37,35),-0.95927 # DEPENDENCYPART_ARC
(37,36),-0.435407 # DEPENDENCYPART_ARC
(37,38),-0.109371 # DEPENDENCYPART_ARC
(37,39),1.11718 # DEPENDENCYPART_ARC
(37,40),0.105994 # DEPENDENCYPART_ARC
(38,39),-0.358395 # DEPENDENCYPART_ARC
(38,40),-0.856905 # DEPENDENCYPART_ARC
(39,38),2.07698 # DEPENDENCYPART_ARC
(39,40),1.91382 # DEPENDENCYPART_ARC
(40,35),-0.751625 # DEPENDENCYPART_ARC
(40,36),-0.615757 # DEPENDENCYPART_ARC
(40,38),-0.372234 # DEPENDENCYPART_ARC
(40,39),-0.511992 # DEPENDENCYPART_ARC
(41,39),-1.58597 # DEPENDENCYPART_ARC
(41,40),-1.17786 # DEPENDENCYPART_ARC
(0,1),(0,2),0.00422324 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0569644 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0064702 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.178778 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0243155 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0064702 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0278008 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.190085 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.199499 # DEPENDENCYPART_SIBL
(0,1),(0,21),0.0064702 # DEPENDENCYPART_SIBL
(0,1),(0,34),-0.190085 # DEPENDENCYPART_SIBL
(0,1),(0,41),-0.0864444 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0169599 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0782152 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.000560383 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0334492 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0782152 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0554901 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.300274 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.313966 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0782152 # DEPENDENCYPART_SIBL
(0,2),(0,34),-0.300274 # DEPENDENCYPART_SIBL
(0,2),(0,41),-0.0414874 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.147374 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0186609 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.103076 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.147374 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.241026 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.372642 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.384157 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.147374 # DEPENDENCYPART_SIBL
(0,3),(0,34),-0.372642 # DEPENDENCYPART_SIBL
(0,3),(0,41),-0.516705 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.155351 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.00093822 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0153585 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0790452 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.252928 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.264679 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0153585 # DEPENDENCYPART_SIBL
(0,5),(0,34),-0.252928 # DEPENDENCYPART_SIBL
(0,5),(0,41),-0.31303 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0410402 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0255081 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.00159785 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.247331 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.256105 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.0255081 # DEPENDENCYPART_SIBL
(0,6),(0,34),-0.247331 # DEPENDENCYPART_SIBL
(0,6),(0,41),-0.218725 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.0342232 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.101853 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.164788 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.174383 # DEPENDENCYPART_SIBL
(0,7),(0,21),0.0342232 # DEPENDENCYPART_SIBL
(0,7),(0,34),-0.164788 # DEPENDENCYPART_SIBL
(0,7),(0,41),-0.0161492 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0792074 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.252947 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.264696 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0153588 # DEPENDENCYPART_SIBL
(0,9),(0,34),-0.252947 # DEPENDENCYPART_SIBL
(0,9),(0,41),-0.313112 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.214244 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.239885 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.00771071 # DEPENDENCYPART_SIBL
(0,11),(0,34),-0.214244 # DEPENDENCYPART_SIBL
(0,11),(0,41),-0.402918 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.608639 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.161203 # DEPENDENCYPART_SIBL
(0,13),(0,34),-0.595578 # DEPENDENCYPART_SIBL
(0,13),(0,41),-0.135503 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.18346 # DEPENDENCYPART_SIBL
(0,20),(0,34),-0.636159 # DEPENDENCYPART_SIBL
(0,20),(0,41),-0.186428 # DEPENDENCYPART_SIBL
(0,21),(0,34),-0.252921 # DEPENDENCYPART_SIBL
(0,21),(0,41),-0.31303 # DEPENDENCYPART_SIBL
(0,34),(0,41),-0.135503 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0322493 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0165546 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0224231 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0222968 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.000910498 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00365588 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0511712 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.000910498 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.00506971 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.00364565 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0222968 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0662616 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00919176 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00832343 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0662616 # DEPENDENCYPART_SIBL
(2,3),(2,11),-7.34828e-05 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.127547 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0357263 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0757917 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0590731 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.101431 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0722558 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.151036 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0325853 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0132625 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0610763 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.00307052 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.110965 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0137966 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0222966 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0163084 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0898254 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.00385737 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0724177 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.151055 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0325739 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0109678 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0283053 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0619402 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0719616 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00707847 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0173238 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.021218 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0104288 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0193362 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00503541 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0229627 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0913393 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0284136 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0112178 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0270065 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.122514 # DEPENDENCYPART_SIBL
