# _root_ * Πάρτε το ποτό σας και καθίστε κάπου κοντά στο Pierro's , ένα από τα διασημότερα και παλαιότερα gay μπαρ του κόσμου , για να δείτε τον κόσμο που πηγαινοέρχεται τα βράδυα .
#goldHeads=6,6,4,2,4,0,6,9,7,9,12,10,12,13,20,17,20,17,20,14,22,20,24,6,26,24,28,26,30,28,32,30,0,
#predictedHeads=0,6,4,2,4,0,6,9,7,9,10,7,12,13,16,14,20,20,20,14,22,20,24,20,26,24,28,26,30,28,32,30,0,
(17,2),-0.64308 # DEPENDENCYPART_ARC
(17,4),-1.08825 # DEPENDENCYPART_ARC
(17,6),-0.281418 # DEPENDENCYPART_ARC
(17,7),-0.185796 # DEPENDENCYPART_ARC
(17,8),-0.211289 # DEPENDENCYPART_ARC
(17,9),-0.273694 # DEPENDENCYPART_ARC
(17,10),-0.272434 # DEPENDENCYPART_ARC
(17,11),-0.400773 # DEPENDENCYPART_ARC
(17,12),-0.0442248 # DEPENDENCYPART_ARC
(17,13),-0.168136 # DEPENDENCYPART_ARC
(17,14),0.0268336 # DEPENDENCYPART_ARC
(17,15),-0.376913 # DEPENDENCYPART_ARC
(17,16),0.920447 # DEPENDENCYPART_ARC
(17,18),0.269736 # DEPENDENCYPART_ARC
(17,19),0.255827 # DEPENDENCYPART_ARC
(17,20),-0.183613 # DEPENDENCYPART_ARC
(17,22),-0.564018 # DEPENDENCYPART_ARC
(17,23),-0.148332 # DEPENDENCYPART_ARC
(17,24),-0.89464 # DEPENDENCYPART_ARC
(17,26),-0.73265 # DEPENDENCYPART_ARC
(17,30),-1.80399 # DEPENDENCYPART_ARC
(18,8),-0.164995 # DEPENDENCYPART_ARC
(18,9),-0.142741 # DEPENDENCYPART_ARC
(18,10),-0.658924 # DEPENDENCYPART_ARC
(18,15),-0.635215 # DEPENDENCYPART_ARC
(18,16),-0.179062 # DEPENDENCYPART_ARC
(18,17),0.356679 # DEPENDENCYPART_ARC
(18,20),-0.229925 # DEPENDENCYPART_ARC
(18,22),-0.857057 # DEPENDENCYPART_ARC
(18,23),-0.453521 # DEPENDENCYPART_ARC
(18,24),-0.725471 # DEPENDENCYPART_ARC
(18,26),-1.51937 # DEPENDENCYPART_ARC
(19,6),-0.435269 # DEPENDENCYPART_ARC
(19,17),0.0310679 # DEPENDENCYPART_ARC
(19,20),0.0512219 # DEPENDENCYPART_ARC
(19,22),-0.819837 # DEPENDENCYPART_ARC
(20,15),-0.368536 # DEPENDENCYPART_ARC
(20,16),-0.679438 # DEPENDENCYPART_ARC
(20,17),-0.0844341 # DEPENDENCYPART_ARC
(20,18),0.148706 # DEPENDENCYPART_ARC
(20,19),0.775404 # DEPENDENCYPART_ARC
(20,21),-0.49536 # DEPENDENCYPART_ARC
(20,22),0.990333 # DEPENDENCYPART_ARC
(20,23),-0.307952 # DEPENDENCYPART_ARC
(20,24),-0.270487 # DEPENDENCYPART_ARC
(20,26),-1.11877 # DEPENDENCYPART_ARC
(20,28),-1.87925 # DEPENDENCYPART_ARC
(20,30),-1.33753 # DEPENDENCYPART_ARC
(20,32),-2.30422 # DEPENDENCYPART_ARC
(22,15),-2.53479 # DEPENDENCYPART_ARC
(22,16),-2.2384 # DEPENDENCYPART_ARC
(22,20),-0.261175 # DEPENDENCYPART_ARC
(22,21),2.09814 # DEPENDENCYPART_ARC
(22,23),-0.463422 # DEPENDENCYPART_ARC
(22,24),-0.366842 # DEPENDENCYPART_ARC
(22,25),-1.06411 # DEPENDENCYPART_ARC
(22,26),-1.26129 # DEPENDENCYPART_ARC
(22,28),-2.31787 # DEPENDENCYPART_ARC
(22,30),-1.59822 # DEPENDENCYPART_ARC
(22,32),-2.47524 # DEPENDENCYPART_ARC
(23,14),-0.756983 # DEPENDENCYPART_ARC
(23,16),-1.34476 # DEPENDENCYPART_ARC
(23,20),-1.02414 # DEPENDENCYPART_ARC
(23,22),-0.647651 # DEPENDENCYPART_ARC
(23,24),-0.493302 # DEPENDENCYPART_ARC
(23,26),-1.12934 # DEPENDENCYPART_ARC
(23,28),-1.58122 # DEPENDENCYPART_ARC
(23,32),-1.83455 # DEPENDENCYPART_ARC
(24,22),-1.2908 # DEPENDENCYPART_ARC
(24,23),0.0391153 # DEPENDENCYPART_ARC
(24,25),0.506817 # DEPENDENCYPART_ARC
(24,26),0.524615 # DEPENDENCYPART_ARC
(24,28),-0.142667 # DEPENDENCYPART_ARC
(24,30),-0.826431 # DEPENDENCYPART_ARC
(24,32),-1.10075 # DEPENDENCYPART_ARC
(25,26),-0.176847 # DEPENDENCYPART_ARC
(25,28),-1.06701 # DEPENDENCYPART_ARC
(26,1),-1.34464 # DEPENDENCYPART_ARC
(26,2),-2.31162 # DEPENDENCYPART_ARC
(26,4),-2.04246 # DEPENDENCYPART_ARC
(26,7),-1.79241 # DEPENDENCYPART_ARC
(26,8),-0.636807 # DEPENDENCYPART_ARC
(26,9),-0.617978 # DEPENDENCYPART_ARC
(26,10),-0.602631 # DEPENDENCYPART_ARC
(26,14),-0.867444 # DEPENDENCYPART_ARC
(26,16),-1.34355 # DEPENDENCYPART_ARC
(26,17),-0.66384 # DEPENDENCYPART_ARC
(26,18),-0.74363 # DEPENDENCYPART_ARC
(26,19),-1.06596 # DEPENDENCYPART_ARC
(26,20),-1.23377 # DEPENDENCYPART_ARC
(26,21),-1.92939 # DEPENDENCYPART_ARC
(26,22),-2.60808 # DEPENDENCYPART_ARC
(26,23),0.00743209 # DEPENDENCYPART_ARC
(26,24),0.0948505 # DEPENDENCYPART_ARC
(26,25),1.70582 # DEPENDENCYPART_ARC
(26,27),-0.543852 # DEPENDENCYPART_ARC
(26,28),0.50228 # DEPENDENCYPART_ARC
(26,30),-1.80527 # DEPENDENCYPART_ARC
(26,32),-1.31305 # DEPENDENCYPART_ARC
(26,33),-0.342219 # DEPENDENCYPART_ARC
(28,21),-1.25381 # DEPENDENCYPART_ARC
(28,27),2.26219 # DEPENDENCYPART_ARC
(28,29),1.00637 # DEPENDENCYPART_ARC
(28,30),0.0766728 # DEPENDENCYPART_ARC
(28,32),-1.3508 # DEPENDENCYPART_ARC
(29,30),-1.55148 # DEPENDENCYPART_ARC
(30,1),-1.44732 # DEPENDENCYPART_ARC
(30,4),-1.83845 # DEPENDENCYPART_ARC
(30,8),-0.920422 # DEPENDENCYPART_ARC
(30,9),-0.879395 # DEPENDENCYPART_ARC
(30,10),-1.14057 # DEPENDENCYPART_ARC
(30,16),-0.89699 # DEPENDENCYPART_ARC
(30,18),-0.763529 # DEPENDENCYPART_ARC
(30,20),-0.687497 # DEPENDENCYPART_ARC
(30,22),-2.15207 # DEPENDENCYPART_ARC
(30,23),-0.587929 # DEPENDENCYPART_ARC
(30,24),-0.599505 # DEPENDENCYPART_ARC
(30,27),-1.59739 # DEPENDENCYPART_ARC
(30,28),-0.508894 # DEPENDENCYPART_ARC
(30,29),2.20095 # DEPENDENCYPART_ARC
(30,31),-0.847819 # DEPENDENCYPART_ARC
(30,32),0.345555 # DEPENDENCYPART_ARC
(30,33),-0.128927 # DEPENDENCYPART_ARC
(32,27),-1.4626 # DEPENDENCYPART_ARC
(32,28),-1.389 # DEPENDENCYPART_ARC
(32,29),-1.39106 # DEPENDENCYPART_ARC
(32,30),-1.28956 # DEPENDENCYPART_ARC
(32,31),2.39857 # DEPENDENCYPART_ARC
(33,32),-1.15041 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0244314 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.531759 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.176457 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0244314 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.235744 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.382413 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.204475 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.176457 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.235744 # DEPENDENCYPART_SIBL
(0,1),(0,26),0.0244304 # DEPENDENCYPART_SIBL
(0,1),(0,28),0.531788 # DEPENDENCYPART_SIBL
(0,1),(0,30),0.0244314 # DEPENDENCYPART_SIBL
(0,1),(0,32),0.531788 # DEPENDENCYPART_SIBL
(0,1),(0,33),0.10632 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0184461 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.355729 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.605928 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.13499 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.068561 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.162284 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.355729 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.13499 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.605928 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.0184386 # DEPENDENCYPART_SIBL
(0,2),(0,30),-0.605928 # DEPENDENCYPART_SIBL
(0,2),(0,32),-0.0184369 # DEPENDENCYPART_SIBL
(0,2),(0,33),-0.121042 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.16288 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.239194 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.00275012 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.00514581 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0254666 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.16288 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.00275012 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.23943 # DEPENDENCYPART_SIBL
(0,4),(0,28),0.0287442 # DEPENDENCYPART_SIBL
(0,4),(0,30),-0.239194 # DEPENDENCYPART_SIBL
(0,4),(0,32),0.0287446 # DEPENDENCYPART_SIBL
(0,4),(0,33),-0.221985 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.297346 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0473114 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0554901 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0782152 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.203802 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0473114 # DEPENDENCYPART_SIBL
(0,6),(0,26),-0.297402 # DEPENDENCYPART_SIBL
(0,6),(0,28),6.35168e-05 # DEPENDENCYPART_SIBL
(0,6),(0,30),-0.297346 # DEPENDENCYPART_SIBL
(0,6),(0,32),6.64618e-05 # DEPENDENCYPART_SIBL
(0,6),(0,33),-0.0414874 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.13499 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.068561 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.162284 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.355729 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.13499 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.605928 # DEPENDENCYPART_SIBL
(0,7),(0,28),-0.0184386 # DEPENDENCYPART_SIBL
(0,7),(0,30),-0.605928 # DEPENDENCYPART_SIBL
(0,7),(0,32),-0.0184369 # DEPENDENCYPART_SIBL
(0,7),(0,33),-0.121042 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0442776 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0280914 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.134654 # DEPENDENCYPART_SIBL
(0,11),(0,19),0.0317068 # DEPENDENCYPART_SIBL
(0,11),(0,26),-0.226407 # DEPENDENCYPART_SIBL
(0,11),(0,28),0.0947352 # DEPENDENCYPART_SIBL
(0,11),(0,30),-0.226407 # DEPENDENCYPART_SIBL
(0,11),(0,32),0.0947356 # DEPENDENCYPART_SIBL
(0,11),(0,33),-0.238715 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.00771071 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.030572 # DEPENDENCYPART_SIBL
(0,12),(0,19),0.0138833 # DEPENDENCYPART_SIBL
(0,12),(0,26),-0.210368 # DEPENDENCYPART_SIBL
(0,12),(0,28),0.219642 # DEPENDENCYPART_SIBL
(0,12),(0,30),-0.210366 # DEPENDENCYPART_SIBL
(0,12),(0,32),0.219643 # DEPENDENCYPART_SIBL
(0,12),(0,33),-0.402918 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.116729 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.00227645 # DEPENDENCYPART_SIBL
(0,16),(0,26),-0.249993 # DEPENDENCYPART_SIBL
(0,16),(0,28),0.155511 # DEPENDENCYPART_SIBL
(0,16),(0,30),-0.249993 # DEPENDENCYPART_SIBL
(0,16),(0,32),0.155511 # DEPENDENCYPART_SIBL
(0,16),(0,33),-0.31303 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0473114 # DEPENDENCYPART_SIBL
(0,17),(0,26),-0.297402 # DEPENDENCYPART_SIBL
(0,17),(0,28),6.35168e-05 # DEPENDENCYPART_SIBL
(0,17),(0,30),-0.297346 # DEPENDENCYPART_SIBL
(0,17),(0,32),6.64618e-05 # DEPENDENCYPART_SIBL
(0,17),(0,33),-0.0414874 # DEPENDENCYPART_SIBL
(0,19),(0,26),-0.226407 # DEPENDENCYPART_SIBL
(0,19),(0,28),0.0947352 # DEPENDENCYPART_SIBL
(0,19),(0,30),-0.226407 # DEPENDENCYPART_SIBL
(0,19),(0,32),0.0947356 # DEPENDENCYPART_SIBL
(0,19),(0,33),-0.238715 # DEPENDENCYPART_SIBL
(0,26),(0,28),-0.0104232 # DEPENDENCYPART_SIBL
(0,26),(0,30),-0.597913 # DEPENDENCYPART_SIBL
(0,26),(0,32),-0.0104215 # DEPENDENCYPART_SIBL
(0,26),(0,33),-0.100655 # DEPENDENCYPART_SIBL
(0,28),(0,30),-0.239198 # DEPENDENCYPART_SIBL
(0,28),(0,32),0.0287551 # DEPENDENCYPART_SIBL
(0,28),(0,33),-0.218643 # DEPENDENCYPART_SIBL
(0,30),(0,32),-0.0184369 # DEPENDENCYPART_SIBL
(0,30),(0,33),-0.121042 # DEPENDENCYPART_SIBL
(0,32),(0,33),-0.218542 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00636834 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.141765 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.020553 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.050007 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.108267 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0299523 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0630233 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0704019 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0697939 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.113835 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0386017 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0986401 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0299523 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0677877 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0386017 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.103458 # DEPENDENCYPART_SIBL
(2,1),(2,33),0.0369893 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0269947 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.087679 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0132727 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0049392 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0104932 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0253674 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0202308 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.000520984 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.087679 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.00680184 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.0202308 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.0202109 # DEPENDENCYPART_SIBL
(2,3),(2,33),-0.0379712 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.203449 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0357524 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00432676 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.000802998 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0337459 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0254499 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0321798 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.203449 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.00279861 # DEPENDENCYPART_SIBL
(2,4),(2,23),-0.0254499 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.0123986 # DEPENDENCYPART_SIBL
(2,4),(2,33),-0.0784744 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0054231 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0395899 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0457879 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0373898 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0057219 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0249581 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.117965 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.041115 # DEPENDENCYPART_SIBL
(2,6),(2,23),-0.0057219 # DEPENDENCYPART_SIBL
(2,6),(2,24),-0.000698517 # DEPENDENCYPART_SIBL
(2,6),(2,33),0.0195206 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0235023 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0312349 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0280593 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0222813 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0339766 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.186243 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0250277 # DEPENDENCYPART_SIBL
(2,7),(2,23),0.0222813 # DEPENDENCYPART_SIBL
(2,7),(2,24),0.0151414 # DEPENDENCYPART_SIBL
(2,7),(2,33),0.0191106 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0449931 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.00565702 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.000440865 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0490888 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0350146 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0326134 # DEPENDENCYPART_SIBL
(2,8),(2,23),-0.000440865 # DEPENDENCYPART_SIBL
(2,8),(2,24),0.0552506 # DEPENDENCYPART_SIBL
(2,8),(2,33),-0.0313213 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0141645 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0791829 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0286662 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.0176016 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.00431919 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.0791829 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.0823194 # DEPENDENCYPART_SIBL
(2,9),(2,33),0.0186471 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.00563135 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0754721 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.232482 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0299168 # DEPENDENCYPART_SIBL
(2,10),(2,23),-0.00563135 # DEPENDENCYPART_SIBL
(2,10),(2,24),-0.0588536 # DEPENDENCYPART_SIBL
(2,10),(2,33),-0.0115372 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0221374 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.0357273 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.00293373 # DEPENDENCYPART_SIBL
(2,12),(2,23),0.019737 # DEPENDENCYPART_SIBL
(2,12),(2,24),0.00258956 # DEPENDENCYPART_SIBL
(2,12),(2,33),-0.109892 # DEPENDENCYPART_SIBL
