# _root_ Τη Μύκονο την λατρεύεις ή τη μισείς : όχι μόνο δεν υπάρχει ενδιάμεση αντίδραση , αλλά συνήθως , το αρχικό συναίσθημα διαρκεί για πάντα .
#goldHeads=2,5,4,5,8,7,5,0,10,12,12,16,14,12,16,8,22,16,21,21,22,16,22,23,0,
#predictedHeads=2,5,4,5,8,7,5,9,12,12,12,16,14,12,16,0,22,22,21,21,22,16,22,23,0,
(22,19),-0.389146 # DEPENDENCYPART_ARC
(22,20),-0.474622 # DEPENDENCYPART_ARC
(22,21),0.966915 # DEPENDENCYPART_ARC
(22,23),1.40618 # DEPENDENCYPART_ARC
(22,24),0.330728 # DEPENDENCYPART_ARC
(22,25),-0.0400653 # DEPENDENCYPART_ARC
(23,21),-1.10079 # DEPENDENCYPART_ARC
(23,24),0.88273 # DEPENDENCYPART_ARC
(23,25),0.0145966 # DEPENDENCYPART_ARC
(24,21),-1.25322 # DEPENDENCYPART_ARC
(24,23),-0.145251 # DEPENDENCYPART_ARC
(24,25),-0.249115 # DEPENDENCYPART_ARC
(25,22),-1.53048 # DEPENDENCYPART_ARC
(25,23),-1.21928 # DEPENDENCYPART_ARC
(25,24),-0.795895 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.239421 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0961595 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0255756 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.176211 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.249348 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0255756 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.00102918 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0958408 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.0225084 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.00102918 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0255756 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.242543 # DEPENDENCYPART_SIBL
(0,2),(0,24),0.0222493 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.219125 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.29734 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.162284 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0159346 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.625276 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.162284 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.068561 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.314725 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.118409 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.068561 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.162284 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.613681 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.118412 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.121042 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0618787 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0128011 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.290825 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0618787 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0624042 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.15139 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0429442 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0624042 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0618787 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.286636 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.0432698 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.0862615 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0152994 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.25812 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0153585 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0790452 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0730547 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.00934736 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0790452 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0153585 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.253146 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.00717699 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.31303 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.234182 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.00279823 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0529455 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0766775 # DEPENDENCYPART_SIBL
(0,8),(0,17),0.0167718 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0529455 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.00279823 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.228752 # DEPENDENCYPART_SIBL
(0,8),(0,24),0.0174332 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.420097 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.149607 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0386485 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.303397 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.106035 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0386485 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.149607 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.601287 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.106037 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.0764845 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0790452 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0730547 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.00934736 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0790452 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.0153585 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.253147 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.00717699 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.31303 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0693858 # DEPENDENCYPART_SIBL
(0,15),(0,17),0.0399973 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0210454 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.00771071 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.213666 # DEPENDENCYPART_SIBL
(0,15),(0,24),0.0413317 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.402918 # DEPENDENCYPART_SIBL
(0,16),(0,17),0.0166786 # DEPENDENCYPART_SIBL
(0,16),(0,18),0.0679403 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.00424767 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.230408 # DEPENDENCYPART_SIBL
(0,16),(0,24),0.0163524 # DEPENDENCYPART_SIBL
(0,16),(0,25),0.117736 # DEPENDENCYPART_SIBL
(0,17),(0,18),0.0478528 # DEPENDENCYPART_SIBL
(0,17),(0,20),0.0125049 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.186715 # DEPENDENCYPART_SIBL
(0,17),(0,24),0.0228232 # DEPENDENCYPART_SIBL
(0,17),(0,25),-0.0716867 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.00771071 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.213666 # DEPENDENCYPART_SIBL
(0,18),(0,24),0.0413317 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.402918 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.253146 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.00717699 # DEPENDENCYPART_SIBL
(0,20),(0,25),-0.31303 # DEPENDENCYPART_SIBL
(0,22),(0,24),-0.123095 # DEPENDENCYPART_SIBL
(0,22),(0,25),-0.137306 # DEPENDENCYPART_SIBL
(0,24),(0,25),-0.0798949 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0423988 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.041374 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0144009 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0470515 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00528776 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0141287 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0109259 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0280027 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00686538 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00695499 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0122068 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0425429 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0777111 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0297271 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0747364 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0349943 # DEPENDENCYPART_SIBL
(4,1),(4,24),-0.013226 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.135084 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0382092 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0353697 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0242871 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00552633 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0415021 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0135618 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00554189 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.00606456 # DEPENDENCYPART_SIBL
(4,2),(4,24),0.0255997 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0265589 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00940584 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00526253 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0373611 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0480578 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0656657 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0014962 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0647513 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.0145476 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0269809 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0758139 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0148404 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0634408 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.00519345 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.00251749 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0620489 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.0482504 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0539846 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0130273 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.00150083 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.00701721 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0141456 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0193687 # DEPENDENCYPART_SIBL
(4,6),(4,24),0.0173363 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0125925 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0419542 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0095226 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.00977009 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0247439 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.0182675 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0340974 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0010653 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.00379448 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0604291 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.00877641 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0227429 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0380957 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0213173 # DEPENDENCYPART_SIBL
(4,10),(4,24),-0.0510151 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0248349 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.104267 # DEPENDENCYPART_SIBL
(4,12),(4,24),-0.0192169 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0617061 # DEPENDENCYPART_SIBL
(4,15),(4,24),0.0171301 # DEPENDENCYPART_SIBL
(4,16),(4,24),-0.0587787 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.00063754 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0130467 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.030494 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0282976 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.00653345 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0244242 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.00364406 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0544758 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.00653345 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.00420302 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.063918 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0327958 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.063918 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.0331296 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.00938347 # DEPENDENCYPART_SIBL
(5,1),(5,25),-0.0464921 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0462175 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0278952 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0227497 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00584199 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0108489 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0154269 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0594294 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.00584025 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0837676 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0044971 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0339897 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0044971 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.031104 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.0463161 # DEPENDENCYPART_SIBL
(5,2),(5,25),-0.00901777 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0912176 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0135465 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0750874 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.00898764 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0543396 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0224212 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0750874 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.00297644 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.00701508 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.00909327 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.00701508 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.040732 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.0336145 # DEPENDENCYPART_SIBL
(5,3),(5,25),-0.00639849 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0314085 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0235717 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.001005 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0165328 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.196956 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.023572 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0307165 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0189843 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0351865 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0189843 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.226729 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.00994594 # DEPENDENCYPART_SIBL
(5,4),(5,25),-0.0107799 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0332475 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0162183 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.00528951 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.114205 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0332475 # DEPENDENCYPART_SIBL
