# _root_ Στα νερά του , ο επισκέπτης μπορεί να κάνει καγιάκ ή ράφτινγκ , ενώ η γύρω περιοχή είναι ιδανική για περιηγητικούς περιπάτους στη φύση .
#goldHeads=7,1,2,7,6,7,14,9,7,11,9,11,14,0,17,17,18,14,18,19,22,20,22,23,0,
#predictedHeads=7,1,2,7,6,7,14,9,7,11,9,11,14,0,17,17,18,14,18,19,22,20,22,23,0,
(11,1),-0.570626 # DEPENDENCYPART_ARC
(11,2),-0.0194039 # DEPENDENCYPART_ARC
(11,4),-0.0931038 # DEPENDENCYPART_ARC
(11,5),-0.651127 # DEPENDENCYPART_ARC
(11,6),0.130985 # DEPENDENCYPART_ARC
(11,7),-0.0531856 # DEPENDENCYPART_ARC
(11,8),-0.278389 # DEPENDENCYPART_ARC
(11,9),0.619026 # DEPENDENCYPART_ARC
(11,10),1.725 # DEPENDENCYPART_ARC
(11,12),1.9183 # DEPENDENCYPART_ARC
(11,13),0.114843 # DEPENDENCYPART_ARC
(11,14),0.0188273 # DEPENDENCYPART_ARC
(11,16),-0.451847 # DEPENDENCYPART_ARC
(11,17),-0.374301 # DEPENDENCYPART_ARC
(11,18),0.124512 # DEPENDENCYPART_ARC
(11,19),-0.6885 # DEPENDENCYPART_ARC
(11,20),-0.77051 # DEPENDENCYPART_ARC
(11,25),-0.591894 # DEPENDENCYPART_ARC
(12,5),-1.54801 # DEPENDENCYPART_ARC
(12,7),-2.61114 # DEPENDENCYPART_ARC
(12,9),-1.93474 # DEPENDENCYPART_ARC
(12,10),-0.000495044 # DEPENDENCYPART_ARC
(12,11),0.0571189 # DEPENDENCYPART_ARC
(12,13),-0.367454 # DEPENDENCYPART_ARC
(12,14),-0.74063 # DEPENDENCYPART_ARC
(12,16),-1.01362 # DEPENDENCYPART_ARC
(12,17),-1.2689 # DEPENDENCYPART_ARC
(12,18),-1.77346 # DEPENDENCYPART_ARC
(13,2),-1.43977 # DEPENDENCYPART_ARC
(13,4),-0.797076 # DEPENDENCYPART_ARC
(13,6),-1.44217 # DEPENDENCYPART_ARC
(13,10),-0.89856 # DEPENDENCYPART_ARC
(13,11),-0.621881 # DEPENDENCYPART_ARC
(13,12),-0.461167 # DEPENDENCYPART_ARC
(13,14),-0.416998 # DEPENDENCYPART_ARC
(13,16),-1.0465 # DEPENDENCYPART_ARC
(13,17),-1.24169 # DEPENDENCYPART_ARC
(13,18),-1.21386 # DEPENDENCYPART_ARC
(13,19),-1.57867 # DEPENDENCYPART_ARC
(14,1),-1.27357 # DEPENDENCYPART_ARC
(14,2),-1.05829 # DEPENDENCYPART_ARC
(14,4),-0.513535 # DEPENDENCYPART_ARC
(14,6),-0.654416 # DEPENDENCYPART_ARC
(14,7),-0.277401 # DEPENDENCYPART_ARC
(14,9),-0.000220032 # DEPENDENCYPART_ARC
(14,10),-0.310151 # DEPENDENCYPART_ARC
(14,11),-0.141719 # DEPENDENCYPART_ARC
(14,12),-0.203897 # DEPENDENCYPART_ARC
(14,13),1.04756 # DEPENDENCYPART_ARC
(14,15),-0.0462425 # DEPENDENCYPART_ARC
(14,16),-0.198313 # DEPENDENCYPART_ARC
(14,17),-0.287047 # DEPENDENCYPART_ARC
(14,18),0.998642 # DEPENDENCYPART_ARC
(14,19),-0.617664 # DEPENDENCYPART_ARC
(14,20),-0.789083 # DEPENDENCYPART_ARC
(14,21),-0.745298 # DEPENDENCYPART_ARC
(14,22),-1.39011 # DEPENDENCYPART_ARC
(14,23),-1.05034 # DEPENDENCYPART_ARC
(14,24),-1.46595 # DEPENDENCYPART_ARC
(14,25),-0.496372 # DEPENDENCYPART_ARC
(15,16),-0.113078 # DEPENDENCYPART_ARC
(16,11),-0.74793 # DEPENDENCYPART_ARC
(16,12),-1.18726 # DEPENDENCYPART_ARC
(16,13),-0.596213 # DEPENDENCYPART_ARC
(16,14),-0.479662 # DEPENDENCYPART_ARC
(16,15),-0.235336 # DEPENDENCYPART_ARC
(16,17),0.37068 # DEPENDENCYPART_ARC
(16,18),-0.435547 # DEPENDENCYPART_ARC
(16,19),-1.19294 # DEPENDENCYPART_ARC
(16,20),-0.724002 # DEPENDENCYPART_ARC
(16,22),-1.58741 # DEPENDENCYPART_ARC
(16,24),-1.66196 # DEPENDENCYPART_ARC
(17,10),-2.00086 # DEPENDENCYPART_ARC
(17,12),-1.79974 # DEPENDENCYPART_ARC
(17,13),-0.914184 # DEPENDENCYPART_ARC
(17,14),-0.301096 # DEPENDENCYPART_ARC
(17,15),2.13134 # DEPENDENCYPART_ARC
(17,16),0.672689 # DEPENDENCYPART_ARC
(17,18),-0.62288 # DEPENDENCYPART_ARC
(17,19),-0.97476 # DEPENDENCYPART_ARC
(17,20),-0.484856 # DEPENDENCYPART_ARC
(17,21),-1.92197 # DEPENDENCYPART_ARC
(17,22),-1.86953 # DEPENDENCYPART_ARC
(17,23),-0.763849 # DEPENDENCYPART_ARC
(18,1),-0.504664 # DEPENDENCYPART_ARC
(18,2),-1.97129 # DEPENDENCYPART_ARC
(18,4),-0.49399 # DEPENDENCYPART_ARC
(18,6),-0.428266 # DEPENDENCYPART_ARC
(18,7),-1.84135 # DEPENDENCYPART_ARC
(18,9),-1.96754 # DEPENDENCYPART_ARC
(18,10),-1.23713 # DEPENDENCYPART_ARC
(18,11),-0.466672 # DEPENDENCYPART_ARC
(18,12),-1.07759 # DEPENDENCYPART_ARC
(18,13),0.241266 # DEPENDENCYPART_ARC
(18,14),-0.410273 # DEPENDENCYPART_ARC
(18,15),-0.910436 # DEPENDENCYPART_ARC
(18,16),0.480175 # DEPENDENCYPART_ARC
(18,17),1.17197 # DEPENDENCYPART_ARC
(18,19),1.90723 # DEPENDENCYPART_ARC
(18,20),0.388868 # DEPENDENCYPART_ARC
(18,21),-0.795887 # DEPENDENCYPART_ARC
(18,22),-0.0440637 # DEPENDENCYPART_ARC
(18,23),-0.163656 # DEPENDENCYPART_ARC
(18,24),-0.93349 # DEPENDENCYPART_ARC
(18,25),-0.303065 # DEPENDENCYPART_ARC
(19,16),-0.622236 # DEPENDENCYPART_ARC
(19,17),-1.17867 # DEPENDENCYPART_ARC
(19,18),-1.80303 # DEPENDENCYPART_ARC
(19,20),0.614373 # DEPENDENCYPART_ARC
(19,21),-0.847008 # DEPENDENCYPART_ARC
(19,22),-1.55539 # DEPENDENCYPART_ARC
(19,23),-0.741213 # DEPENDENCYPART_ARC
(19,24),-1.62083 # DEPENDENCYPART_ARC
(20,17),-1.25758 # DEPENDENCYPART_ARC
(20,19),-0.352342 # DEPENDENCYPART_ARC
(20,21),0.712368 # DEPENDENCYPART_ARC
(20,22),1.41759 # DEPENDENCYPART_ARC
(20,24),0.309876 # DEPENDENCYPART_ARC
(20,25),-0.276405 # DEPENDENCYPART_ARC
(21,19),-0.60641 # DEPENDENCYPART_ARC
(21,20),-0.495894 # DEPENDENCYPART_ARC
(21,22),-0.733955 # DEPENDENCYPART_ARC
(21,23),-0.231407 # DEPENDENCYPART_ARC
(21,24),-1.24043 # DEPENDENCYPART_ARC
(22,15),-1.3915 # DEPENDENCYPART_ARC
(22,17),-1.40558 # DEPENDENCYPART_ARC
(22,19),-0.793976 # DEPENDENCYPART_ARC
(22,20),-0.238985 # DEPENDENCYPART_ARC
(22,21),2.55198 # DEPENDENCYPART_ARC
(22,23),0.232246 # DEPENDENCYPART_ARC
(22,24),-0.493793 # DEPENDENCYPART_ARC
(22,25),-0.392304 # DEPENDENCYPART_ARC
(23,21),-1.47198 # DEPENDENCYPART_ARC
(23,24),2.74422 # DEPENDENCYPART_ARC
(23,25),-0.2684 # DEPENDENCYPART_ARC
(24,15),-1.31868 # DEPENDENCYPART_ARC
(24,19),-1.53273 # DEPENDENCYPART_ARC
(24,21),-1.36519 # DEPENDENCYPART_ARC
(24,22),-1.56652 # DEPENDENCYPART_ARC
(24,23),-0.235705 # DEPENDENCYPART_ARC
(24,25),-0.339848 # DEPENDENCYPART_ARC
(25,23),-1.32931 # DEPENDENCYPART_ARC
(25,24),-1.05948 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.00715853 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.229828 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.00714127 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.360424 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.357523 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.153152 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.00713421 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.229828 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.1613 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.357662 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.50092 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.00064026 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.027467 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.241893 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.239598 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0960806 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.027477 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.00064026 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0866073 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.251579 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.219726 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.219626 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.219472 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.210797 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0384657 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.219643 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0210454 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.044797 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.208969 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.402918 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.238096 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.235798 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0961993 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.0299945 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.00126523 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0867259 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.247779 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.218786 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.608017 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.296676 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0162804 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0631094 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.310612 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.62764 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.115694 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.294512 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0159932 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0632516 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.308448 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.62378 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.111988 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.0386048 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0624042 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.138768 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.28381 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.0862615 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.00172897 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0865662 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.251579 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.218542 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.044797 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.208969 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.402918 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.216673 # DEPENDENCYPART_SIBL
(0,14),(0,25),0.154953 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.166469 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0555817 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0263659 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0499218 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0454808 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0217223 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0176426 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.00098962 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0840016 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0897632 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0538404 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0627182 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0644308 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0605242 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0238739 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0159257 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0157344 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0270267 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0116144 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.102193 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0965935 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0486597 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0470847 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0322084 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.073842 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0520786 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.213638 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0289132 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0602818 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0016411 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00782342 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.137358 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.000349329 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0447315 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00189237 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.00128145 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.043949 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.103416 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0216649 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0555743 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0123404 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0491356 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.122473 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.017529 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0284643 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0118151 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0279197 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0365534 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0681322 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0448913 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0557415 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00298359 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0965412 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0176832 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.00755906 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0473461 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0180778 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0138078 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.104284 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0357212 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0397234 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.00394806 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0204176 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.00154099 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.074064 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.00154099 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.00707411 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0182953 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.022341 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.00452846 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.0128163 # DEPENDENCYPART_SIBL
(7,1),(7,22),0.00154099 # DEPENDENCYPART_SIBL
(7,1),(7,23),-0.000375138 # DEPENDENCYPART_SIBL
(7,1),(7,25),-0.0343191 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0248251 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0934894 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.180817 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0216616 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.00178465 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0257601 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0558112 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0257601 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0263621 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0163594 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0111853 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.0435335 # DEPENDENCYPART_SIBL
(7,2),(7,20),0.00828569 # DEPENDENCYPART_SIBL
(7,2),(7,22),-0.0257601 # DEPENDENCYPART_SIBL
(7,2),(7,23),-0.0550574 # DEPENDENCYPART_SIBL
(7,2),(7,25),-0.0308541 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0132101 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0182478 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.00325278 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.00667334 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00361587 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0474359 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.00361587 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0250915 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.00879008 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.010909 # DEPENDENCYPART_SIBL
(7,4),(7,18),0.038611 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.0333125 # DEPENDENCYPART_SIBL
(7,4),(7,22),-0.00361587 # DEPENDENCYPART_SIBL
(7,4),(7,23),-0.00948346 # DEPENDENCYPART_SIBL
(7,4),(7,25),-0.0753594 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0268498 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0399172 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0223648 # DEPENDENCYPART_SIBL
(7,5),(7,10),-7.62589e-05 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0136313 # DEPENDENCYPART_SIBL
(7,5),(7,12),-7.62589e-05 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.108968 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0185653 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0306747 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.0518267 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.0368302 # DEPENDENCYPART_SIBL
(7,5),(7,22),-7.62589e-05 # DEPENDENCYPART_SIBL
(7,5),(7,23),-0.0721158 # DEPENDENCYPART_SIBL
(7,5),(7,25),-0.105473 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0237429 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0101878 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0274167 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.056649 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0274167 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0150891 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0171972 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0133943 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.0307445 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.0060019 # DEPENDENCYPART_SIBL
(7,6),(7,22),-0.0274167 # DEPENDENCYPART_SIBL
(7,6),(7,23),-0.0573371 # DEPENDENCYPART_SIBL
(7,6),(7,25),-0.0243221 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.00496994 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0749927 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.062031 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0749927 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0492239 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0391487 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0319259 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.00535249 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.0255009 # DEPENDENCYPART_SIBL
(7,8),(7,22),-0.0749927 # DEPENDENCYPART_SIBL
(7,8),(7,23),-0.0275613 # DEPENDENCYPART_SIBL
(7,8),(7,25),-0.0654325 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0704285 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.105871 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0704285 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.00920807 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.079945 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0150629 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.201524 # DEPENDENCYPART_SIBL
(7,9),(7,20),0.0048856 # DEPENDENCYPART_SIBL
(7,9),(7,22),-0.0704285 # DEPENDENCYPART_SIBL
(7,9),(7,23),-0.0208988 # DEPENDENCYPART_SIBL
(7,9),(7,25),0.0108028 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.112003 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.22678 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0203235 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0604342 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.0209956 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.0340905 # DEPENDENCYPART_SIBL
(7,10),(7,20),-0.0200283 # DEPENDENCYPART_SIBL
