# _root_ Ασφαλώς , η συνόψιση των μέχρι τώρα οδηγιών , η εναρμόνιση και ο εκσυγχρονισμός τους αποτελούν ένα πολύ ουσιαστικό βήμα .
#goldHeads=16,16,4,12,8,8,6,4,12,11,12,16,14,12,14,0,20,19,20,16,0,
#predictedHeads=16,16,4,12,6,4,6,6,12,11,12,16,14,12,14,0,20,19,20,16,0,
(9,14),-1.20644 # DEPENDENCYPART_ARC
(9,16),-0.940023 # DEPENDENCYPART_ARC
(9,19),-1.49421 # DEPENDENCYPART_ARC
(9,21),-0.741025 # DEPENDENCYPART_ARC
(11,1),-1.40693 # DEPENDENCYPART_ARC
(11,2),-1.30402 # DEPENDENCYPART_ARC
(11,3),-0.809383 # DEPENDENCYPART_ARC
(11,5),-2.48022 # DEPENDENCYPART_ARC
(11,6),-1.30735 # DEPENDENCYPART_ARC
(11,7),-1.12587 # DEPENDENCYPART_ARC
(11,8),-1.8881 # DEPENDENCYPART_ARC
(11,9),-0.6755 # DEPENDENCYPART_ARC
(11,10),2.53208 # DEPENDENCYPART_ARC
(11,13),-1.35712 # DEPENDENCYPART_ARC
(11,14),-1.53496 # DEPENDENCYPART_ARC
(11,16),-0.83283 # DEPENDENCYPART_ARC
(11,18),-1.11931 # DEPENDENCYPART_ARC
(11,20),-2.23537 # DEPENDENCYPART_ARC
(12,1),-0.575142 # DEPENDENCYPART_ARC
(12,2),0.0336034 # DEPENDENCYPART_ARC
(12,4),-0.352994 # DEPENDENCYPART_ARC
(12,6),-0.332539 # DEPENDENCYPART_ARC
(12,7),-0.53847 # DEPENDENCYPART_ARC
(12,8),0.177328 # DEPENDENCYPART_ARC
(12,9),0.850099 # DEPENDENCYPART_ARC
(12,10),-0.265066 # DEPENDENCYPART_ARC
(12,11),1.53724 # DEPENDENCYPART_ARC
(12,13),-0.198691 # DEPENDENCYPART_ARC
(12,14),0.549173 # DEPENDENCYPART_ARC
(12,15),-0.538132 # DEPENDENCYPART_ARC
(12,16),0.170175 # DEPENDENCYPART_ARC
(12,18),-0.873891 # DEPENDENCYPART_ARC
(12,19),-0.907625 # DEPENDENCYPART_ARC
(12,20),-0.942099 # DEPENDENCYPART_ARC
(12,21),-0.683064 # DEPENDENCYPART_ARC
(14,5),-2.66744 # DEPENDENCYPART_ARC
(14,10),-0.165015 # DEPENDENCYPART_ARC
(14,11),-0.985336 # DEPENDENCYPART_ARC
(14,12),-0.234383 # DEPENDENCYPART_ARC
(14,13),2.23053 # DEPENDENCYPART_ARC
(14,15),1.37773 # DEPENDENCYPART_ARC
(14,16),-0.172074 # DEPENDENCYPART_ARC
(14,18),-0.353459 # DEPENDENCYPART_ARC
(14,19),-1.43861 # DEPENDENCYPART_ARC
(14,20),-1.28397 # DEPENDENCYPART_ARC
(14,21),-0.444746 # DEPENDENCYPART_ARC
(16,1),0.0774305 # DEPENDENCYPART_ARC
(16,2),0.170965 # DEPENDENCYPART_ARC
(16,4),-0.741737 # DEPENDENCYPART_ARC
(16,6),-0.0621278 # DEPENDENCYPART_ARC
(16,7),0.0398628 # DEPENDENCYPART_ARC
(16,8),-1.86646 # DEPENDENCYPART_ARC
(16,9),0.389935 # DEPENDENCYPART_ARC
(16,11),-0.439765 # DEPENDENCYPART_ARC
(16,12),-0.28955 # DEPENDENCYPART_ARC
(16,13),-0.601219 # DEPENDENCYPART_ARC
(16,14),0.167565 # DEPENDENCYPART_ARC
(16,15),-0.15505 # DEPENDENCYPART_ARC
(16,18),-0.208132 # DEPENDENCYPART_ARC
(16,19),-1.31301 # DEPENDENCYPART_ARC
(16,20),0.112995 # DEPENDENCYPART_ARC
(16,21),-0.275821 # DEPENDENCYPART_ARC
(17,18),0.23914 # DEPENDENCYPART_ARC
(18,1),-0.970263 # DEPENDENCYPART_ARC
(18,2),-1.22385 # DEPENDENCYPART_ARC
(18,19),-0.281547 # DEPENDENCYPART_ARC
(18,20),-0.401992 # DEPENDENCYPART_ARC
(18,21),-0.527858 # DEPENDENCYPART_ARC
(19,11),-0.930855 # DEPENDENCYPART_ARC
(19,14),-0.0511664 # DEPENDENCYPART_ARC
(19,17),0.626424 # DEPENDENCYPART_ARC
(19,18),1.23808 # DEPENDENCYPART_ARC
(19,20),-0.280803 # DEPENDENCYPART_ARC
(19,21),-0.568579 # DEPENDENCYPART_ARC
(20,10),-1.83444 # DEPENDENCYPART_ARC
(20,13),-0.900147 # DEPENDENCYPART_ARC
(20,14),-0.424248 # DEPENDENCYPART_ARC
(20,17),1.40892 # DEPENDENCYPART_ARC
(20,18),0.367104 # DEPENDENCYPART_ARC
(20,19),2.45309 # DEPENDENCYPART_ARC
(20,21),-0.267435 # DEPENDENCYPART_ARC
(21,4),-2.134 # DEPENDENCYPART_ARC
(21,19),-1.36178 # DEPENDENCYPART_ARC
(21,20),-1.05066 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0378258 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.182568 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0650706 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0199518 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.182568 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0378258 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.182568 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.00780103 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.182568 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.188446 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0188258 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.00994458 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.181926 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0765052 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.219643 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0181499 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0437501 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.219635 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0210454 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.219643 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.030572 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.219632 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.215777 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.0346877 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.00771141 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.219578 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.402918 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.155566 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.044752 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.0287555 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.00172897 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0287555 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.162869 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.0287542 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.247734 # DEPENDENCYPART_SIBL
(0,4),(0,18),0.0220345 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0254561 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.0270843 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.218542 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.110886 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0112261 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.232374 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.011221 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.195602 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.011221 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.367518 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.112654 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.139518 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0112238 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.51053 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.188565 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.0494455 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.188565 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.00368101 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.188565 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.184395 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.019249 # DEPENDENCYPART_SIBL
(0,7),(0,19),0.0117283 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.187923 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.0708413 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.00172897 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.028712 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.164008 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.0287107 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.247734 # DEPENDENCYPART_SIBL
(0,8),(0,18),0.0220345 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.0264425 # DEPENDENCYPART_SIBL
(0,8),(0,20),0.0270408 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.218542 # DEPENDENCYPART_SIBL
(0,9),(0,11),0.219643 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.030572 # DEPENDENCYPART_SIBL
(0,9),(0,14),0.219632 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.215777 # DEPENDENCYPART_SIBL
(0,9),(0,18),0.0346877 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.00771141 # DEPENDENCYPART_SIBL
(0,9),(0,20),0.219578 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.402918 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.162869 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.0287542 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.247734 # DEPENDENCYPART_SIBL
(0,11),(0,18),0.0220345 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.0254561 # DEPENDENCYPART_SIBL
(0,11),(0,20),0.0270843 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.218542 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.00014828 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.302344 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0635985 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0782153 # DEPENDENCYPART_SIBL
(0,12),(0,20),6.12748e-05 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.0414874 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.247736 # DEPENDENCYPART_SIBL
(0,14),(0,18),0.0220345 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0254561 # DEPENDENCYPART_SIBL
(0,14),(0,20),0.0270843 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.218542 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.12551 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.16925 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0254053 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.130764 # DEPENDENCYPART_SIBL
(0,18),(0,19),0.0175395 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.178815 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.0488403 # DEPENDENCYPART_SIBL
(0,19),(0,20),0.155503 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.31303 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.215885 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00508898 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0660358 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.00545221 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00508158 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0138031 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0232517 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.00359383 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0170672 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.00899121 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.146446 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0188047 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.14023 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0281458 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0172885 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0164437 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0357606 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0618743 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.0211473 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0337695 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0516949 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0238888 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.035722 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0188047 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.141369 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.0281458 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0232517 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.00359383 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.00527301 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0971475 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0630604 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0971285 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.00570599 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.119414 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0842839 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.171969 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0437396 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.22233 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.00821532 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0532076 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.00146282 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0283036 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0177215 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0130354 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.22233 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.00935508 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0532075 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.00586209 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.00626668 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.00650507 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00667667 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.122178 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0160539 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00427894 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00373192 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00312503 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0178867 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.00131864 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00503605 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.00132113 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.00502484 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.00488737 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0102302 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.119571 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0385381 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0263647 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00246617 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0320977 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.192008 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.026681 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0268394 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0267331 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.000405869 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0189688 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.122607 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0171893 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.000170499 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0321021 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0497195 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0847865 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0519836 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0322641 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0519787 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0182755 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0516343 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0321516 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0321196 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00473146 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00720258 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0544198 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0071975 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0678297 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.00719917 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0382506 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0047489 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0472812 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.012817 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00109189 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0145467 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00107667 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0697397 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.00107832 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0108971 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0111707 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0516492 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0453304 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0403115 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0453355 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0142149 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0453339 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0093022 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.00150191 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.0215042 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0439197 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.126315 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.180143 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.126318 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.00173929 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.049356 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0607957 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0608782 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.000719687 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.060864 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0155572 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0643522 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.0742887 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.173872 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.122208 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.00576253 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.0533792 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0567724 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.00495867 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.00628009 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0121446 # DEPENDENCYPART_SIBL
(4,12),(4,21),0.0406113 # DEPENDENCYPART_SIBL
(4,14),(4,16),0.00576031 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.0533792 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.0567724 # DEPENDENCYPART_SIBL
(4,16),(4,18),0.0549059 # DEPENDENCYPART_SIBL
(4,16),(4,21),0.110902 # DEPENDENCYPART_SIBL
(4,18),(4,21),0.0208976 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.000641617 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0345729 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0542765 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.00956546 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0542847 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0419029 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0542871 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.00331551 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0504678 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0301206 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.00770057 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0298999 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0573934 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0298933 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.0194379 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.111448 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0183768 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.111448 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.124502 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.111448 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.0373208 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0641087 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.463361 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.460515 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.463362 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.166305 # DEPENDENCYPART_SIBL
