# _root_ Επομένως όταν οι άνθρωποι βρίσκονται κοντά σε πηγές , ο οργανισμός τους αντιδρά , αυξάνοντας τον καρδιακό παλμό και την αρτηριακή πίεση ή προκαλώντας ορμονικές αλλαγές .
#goldHeads=13,13,4,5,2,5,6,7,2,11,13,11,0,23,23,18,18,19,15,22,22,19,13,23,26,24,0,
#predictedHeads=13,13,4,5,2,5,5,7,13,11,13,11,0,13,13,18,18,19,15,22,22,19,22,23,26,24,0,
(13,9),0.563064 # DEPENDENCYPART_ARC
(13,10),-0.77214 # DEPENDENCYPART_ARC
(13,11),0.654771 # DEPENDENCYPART_ARC
(13,12),-0.277153 # DEPENDENCYPART_ARC
(13,14),0.410918 # DEPENDENCYPART_ARC
(13,15),2.65534 # DEPENDENCYPART_ARC
(13,17),-1.82285 # DEPENDENCYPART_ARC
(13,18),-0.376086 # DEPENDENCYPART_ARC
(13,19),-0.726106 # DEPENDENCYPART_ARC
(13,21),-2.22086 # DEPENDENCYPART_ARC
(13,22),-1.02695 # DEPENDENCYPART_ARC
(13,23),-0.776404 # DEPENDENCYPART_ARC
(13,26),-1.51579 # DEPENDENCYPART_ARC
(14,13),-0.340545 # DEPENDENCYPART_ARC
(14,15),-0.738688 # DEPENDENCYPART_ARC
(14,17),-1.4421 # DEPENDENCYPART_ARC
(15,1),-0.708293 # DEPENDENCYPART_ARC
(15,2),-0.537187 # DEPENDENCYPART_ARC
(15,4),-1.17359 # DEPENDENCYPART_ARC
(15,5),-2.98088 # DEPENDENCYPART_ARC
(15,6),-0.740678 # DEPENDENCYPART_ARC
(15,7),-0.841198 # DEPENDENCYPART_ARC
(15,8),-1.36468 # DEPENDENCYPART_ARC
(15,9),-0.4369 # DEPENDENCYPART_ARC
(15,10),-1.65317 # DEPENDENCYPART_ARC
(15,11),-1.01384 # DEPENDENCYPART_ARC
(15,13),-1.01291 # DEPENDENCYPART_ARC
(15,14),0.323243 # DEPENDENCYPART_ARC
(15,16),-0.0330938 # DEPENDENCYPART_ARC
(15,17),-0.525923 # DEPENDENCYPART_ARC
(15,18),0.681177 # DEPENDENCYPART_ARC
(15,19),0.193863 # DEPENDENCYPART_ARC
(15,21),-1.67951 # DEPENDENCYPART_ARC
(15,22),0.208711 # DEPENDENCYPART_ARC
(15,23),-0.0295051 # DEPENDENCYPART_ARC
(15,24),0.914319 # DEPENDENCYPART_ARC
(15,26),-0.523716 # DEPENDENCYPART_ARC
(17,16),0.370597 # DEPENDENCYPART_ARC
(17,18),-0.713376 # DEPENDENCYPART_ARC
(17,22),-1.52532 # DEPENDENCYPART_ARC
(18,10),-0.684309 # DEPENDENCYPART_ARC
(18,15),-0.664257 # DEPENDENCYPART_ARC
(18,16),2.05934 # DEPENDENCYPART_ARC
(18,17),2.49221 # DEPENDENCYPART_ARC
(18,19),-0.242297 # DEPENDENCYPART_ARC
(18,20),-1.41371 # DEPENDENCYPART_ARC
(18,21),-1.16675 # DEPENDENCYPART_ARC
(18,22),-1.4051 # DEPENDENCYPART_ARC
(19,1),-0.851667 # DEPENDENCYPART_ARC
(19,2),-0.472077 # DEPENDENCYPART_ARC
(19,4),-0.641573 # DEPENDENCYPART_ARC
(19,5),-1.12136 # DEPENDENCYPART_ARC
(19,6),-0.702081 # DEPENDENCYPART_ARC
(19,7),-0.95912 # DEPENDENCYPART_ARC
(19,8),-0.364376 # DEPENDENCYPART_ARC
(19,9),0.00913953 # DEPENDENCYPART_ARC
(19,11),-0.258439 # DEPENDENCYPART_ARC
(19,13),-0.657622 # DEPENDENCYPART_ARC
(19,14),-0.153076 # DEPENDENCYPART_ARC
(19,15),-0.0402052 # DEPENDENCYPART_ARC
(19,16),-0.668583 # DEPENDENCYPART_ARC
(19,17),-0.116009 # DEPENDENCYPART_ARC
(19,18),1.10268 # DEPENDENCYPART_ARC
(19,20),-0.255619 # DEPENDENCYPART_ARC
(19,21),0.145332 # DEPENDENCYPART_ARC
(19,22),-0.0472197 # DEPENDENCYPART_ARC
(19,23),-0.416714 # DEPENDENCYPART_ARC
(19,24),-0.139421 # DEPENDENCYPART_ARC
(19,25),-0.901251 # DEPENDENCYPART_ARC
(19,26),-1.02791 # DEPENDENCYPART_ARC
(21,18),-0.863951 # DEPENDENCYPART_ARC
(21,19),-0.509789 # DEPENDENCYPART_ARC
(21,20),0.41488 # DEPENDENCYPART_ARC
(21,22),-0.490738 # DEPENDENCYPART_ARC
(21,24),-0.563686 # DEPENDENCYPART_ARC
(21,26),-1.76871 # DEPENDENCYPART_ARC
(22,16),-0.612665 # DEPENDENCYPART_ARC
(22,17),0.0272978 # DEPENDENCYPART_ARC
(22,18),-1.04468 # DEPENDENCYPART_ARC
(22,19),-0.0254339 # DEPENDENCYPART_ARC
(22,20),2.14842 # DEPENDENCYPART_ARC
(22,21),2.51174 # DEPENDENCYPART_ARC
(22,23),-0.079108 # DEPENDENCYPART_ARC
(22,24),-0.949699 # DEPENDENCYPART_ARC
(22,25),-1.56114 # DEPENDENCYPART_ARC
(22,26),-1.7394 # DEPENDENCYPART_ARC
(23,1),-0.542441 # DEPENDENCYPART_ARC
(23,2),-0.0509401 # DEPENDENCYPART_ARC
(23,4),-0.179582 # DEPENDENCYPART_ARC
(23,5),-0.399365 # DEPENDENCYPART_ARC
(23,6),-0.345392 # DEPENDENCYPART_ARC
(23,7),-0.353948 # DEPENDENCYPART_ARC
(23,8),-0.194088 # DEPENDENCYPART_ARC
(23,9),-0.59561 # DEPENDENCYPART_ARC
(23,11),-0.245506 # DEPENDENCYPART_ARC
(23,13),-0.157127 # DEPENDENCYPART_ARC
(23,14),-0.247567 # DEPENDENCYPART_ARC
(23,15),0.383436 # DEPENDENCYPART_ARC
(23,17),-0.481056 # DEPENDENCYPART_ARC
(23,18),0.115999 # DEPENDENCYPART_ARC
(23,19),0.138773 # DEPENDENCYPART_ARC
(23,20),-0.243139 # DEPENDENCYPART_ARC
(23,21),0.223977 # DEPENDENCYPART_ARC
(23,22),0.824475 # DEPENDENCYPART_ARC
(23,24),1.90317 # DEPENDENCYPART_ARC
(23,25),-0.0175125 # DEPENDENCYPART_ARC
(23,26),-0.148846 # DEPENDENCYPART_ARC
(24,1),-1.10119 # DEPENDENCYPART_ARC
(24,2),-0.60956 # DEPENDENCYPART_ARC
(24,7),-0.961585 # DEPENDENCYPART_ARC
(24,11),-1.73305 # DEPENDENCYPART_ARC
(24,14),-1.04166 # DEPENDENCYPART_ARC
(24,15),-1.33964 # DEPENDENCYPART_ARC
(24,17),-1.70545 # DEPENDENCYPART_ARC
(24,18),-1.77802 # DEPENDENCYPART_ARC
(24,19),-0.918035 # DEPENDENCYPART_ARC
(24,20),-1.41845 # DEPENDENCYPART_ARC
(24,21),-1.39923 # DEPENDENCYPART_ARC
(24,22),-0.8781 # DEPENDENCYPART_ARC
(24,23),-0.186851 # DEPENDENCYPART_ARC
(24,25),0.142282 # DEPENDENCYPART_ARC
(24,26),1.82123 # DEPENDENCYPART_ARC
(24,27),0.00321359 # DEPENDENCYPART_ARC
(25,22),-1.62126 # DEPENDENCYPART_ARC
(25,24),-0.722532 # DEPENDENCYPART_ARC
(25,26),-0.785453 # DEPENDENCYPART_ARC
(26,16),-1.75543 # DEPENDENCYPART_ARC
(26,20),-0.320779 # DEPENDENCYPART_ARC
(26,21),0.0585005 # DEPENDENCYPART_ARC
(26,22),-1.26097 # DEPENDENCYPART_ARC
(26,23),-0.151292 # DEPENDENCYPART_ARC
(26,24),-0.751622 # DEPENDENCYPART_ARC
(26,25),2.72346 # DEPENDENCYPART_ARC
(27,24),-1.50164 # DEPENDENCYPART_ARC
(27,25),-1.37446 # DEPENDENCYPART_ARC
(27,26),-1.07627 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0148198 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.171647 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.192288 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0172354 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.192134 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.0172354 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.192134 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.00187393 # DEPENDENCYPART_SIBL
(0,1),(0,21),0.00136188 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.0139733 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.192134 # DEPENDENCYPART_SIBL
(0,1),(0,26),0.177301 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.104081 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0687747 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.262689 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.00882041 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.26256 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.00882041 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.263159 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.136349 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0346946 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.104957 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.259537 # DEPENDENCYPART_SIBL
(0,2),(0,26),0.0689789 # DEPENDENCYPART_SIBL
(0,2),(0,27),0.00127276 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.233129 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.00103005 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.239682 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.00103005 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.238083 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.161801 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0260661 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0941219 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.240586 # DEPENDENCYPART_SIBL
(0,4),(0,26),0.0282462 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.220996 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0558701 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.594316 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0558701 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.594541 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.34879 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.155308 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.290382 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.594835 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.011783 # DEPENDENCYPART_SIBL
(0,5),(0,27),-0.104093 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.210366 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0210454 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.210366 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.030572 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.00771071 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.0384657 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.211325 # DEPENDENCYPART_SIBL
(0,9),(0,26),0.218861 # DEPENDENCYPART_SIBL
(0,9),(0,27),-0.402918 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.068561 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.606153 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.355729 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.162284 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.29734 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.606447 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.0184547 # DEPENDENCYPART_SIBL
(0,13),(0,27),-0.121042 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.210366 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.030572 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.00771071 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.0384657 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.211325 # DEPENDENCYPART_SIBL
(0,14),(0,26),0.218861 # DEPENDENCYPART_SIBL
(0,14),(0,27),-0.402918 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.355729 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.162284 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.29734 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.606447 # DEPENDENCYPART_SIBL
(0,15),(0,26),-0.0184547 # DEPENDENCYPART_SIBL
(0,15),(0,27),-0.121529 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0782152 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.167538 # DEPENDENCYPART_SIBL
(0,19),(0,24),-0.291301 # DEPENDENCYPART_SIBL
(0,19),(0,26),-0.000632038 # DEPENDENCYPART_SIBL
(0,19),(0,27),-0.0414874 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.0702281 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.249993 # DEPENDENCYPART_SIBL
(0,21),(0,26),0.154735 # DEPENDENCYPART_SIBL
(0,21),(0,27),-0.31303 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.280479 # DEPENDENCYPART_SIBL
(0,23),(0,26),0.0382466 # DEPENDENCYPART_SIBL
(0,23),(0,27),-0.0862615 # DEPENDENCYPART_SIBL
(0,24),(0,26),-0.0186946 # DEPENDENCYPART_SIBL
(0,24),(0,27),-0.121042 # DEPENDENCYPART_SIBL
(0,26),(0,27),-0.218338 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0289741 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0110857 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0243694 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00692438 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00674498 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0493513 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0097978 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0148306 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0097978 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0148198 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.00712545 # DEPENDENCYPART_SIBL
(2,1),(2,23),-0.0202566 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.0131326 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.12089 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0124731 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0284291 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.12089 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0284291 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.12089 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0354423 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.0327701 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.121946 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00919121 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0893902 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.31898 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0893902 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.319204 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.113423 # DEPENDENCYPART_SIBL
(2,5),(2,23),-0.0917915 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.320555 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0485921 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0879081 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0485921 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0879081 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0239637 # DEPENDENCYPART_SIBL
(2,6),(2,23),-0.00330969 # DEPENDENCYPART_SIBL
(2,6),(2,24),-0.0889641 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0295064 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0104739 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0295064 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.00152702 # DEPENDENCYPART_SIBL
(2,9),(2,23),-0.0274584 # DEPENDENCYPART_SIBL
(2,9),(2,24),-0.0318711 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0879269 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.320615 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.113217 # DEPENDENCYPART_SIBL
(2,13),(2,23),-0.0916209 # DEPENDENCYPART_SIBL
(2,13),(2,24),-0.321966 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0295064 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.00152702 # DEPENDENCYPART_SIBL
(2,14),(2,23),-0.0274584 # DEPENDENCYPART_SIBL
(2,14),(2,24),-0.0318711 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.113221 # DEPENDENCYPART_SIBL
(2,15),(2,23),-0.0916247 # DEPENDENCYPART_SIBL
(2,15),(2,24),-0.32197 # DEPENDENCYPART_SIBL
(2,19),(2,23),-3.25146e-05 # DEPENDENCYPART_SIBL
(2,19),(2,24),-0.0122238 # DEPENDENCYPART_SIBL
(2,23),(2,24),-0.0631468 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.070095 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0151481 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.024173 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0235198 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00300352 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0490292 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0373742 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0268269 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0353279 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0546756 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00802785 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0183438 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0018357 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0368712 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0164222 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0139313 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0238684 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0269368 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0309399 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00617511 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0174777 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0413386 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.019798 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.000630663 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0413386 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.000435637 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.019798 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.00403008 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.0108932 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00716967 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0301996 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0270247 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0243965 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0138514 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0119991 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0119502 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.00840072 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0119991 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0091991 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0119502 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.00246424 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.0553742 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0215859 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0219853 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0278655 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0216072 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0576827 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0197056 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0308864 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0576827 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0310648 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0197056 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0417638 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.00984283 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.01149 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0547654 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0118396 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00969897 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0091366 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.00715614 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.00969897 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.00793011 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0091366 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0154265 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.033156 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0175756 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0268665 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0834786 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0321829 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.025715 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0834786 # DEPENDENCYPART_SIBL
