# _root_ Εδώ δεν πρέπει όμως να ξεχάσουμε το εξής : το ευρώ δεν είναι μόνο ένα νομισματικό πρόγραμμα , αλλά ήταν ανέκαθεν και πολιτικό πρόγραμμα , αποτελώντας τμήμα της Πολιτικής Ένωσης της Ευρώπης .
#goldHeads=3,3,4,0,6,3,8,9,6,11,13,13,19,13,17,17,13,19,9,19,20,24,24,20,26,19,26,30,30,27,32,30,0,
#predictedHeads=3,3,4,0,6,3,8,6,6,11,13,13,19,13,17,17,13,19,0,19,22,24,22,20,26,20,26,30,30,27,32,30,0,
(20,27),-0.860001 # DEPENDENCYPART_ARC
(20,30),-2.08146 # DEPENDENCYPART_ARC
(20,32),-2.56831 # DEPENDENCYPART_ARC
(21,17),-1.03911 # DEPENDENCYPART_ARC
(21,20),-1.06455 # DEPENDENCYPART_ARC
(21,22),-0.242692 # DEPENDENCYPART_ARC
(21,23),-1.46972 # DEPENDENCYPART_ARC
(21,24),-1.49876 # DEPENDENCYPART_ARC
(21,26),-0.851754 # DEPENDENCYPART_ARC
(22,1),-0.67955 # DEPENDENCYPART_ARC
(22,3),-1.22869 # DEPENDENCYPART_ARC
(22,4),-0.539673 # DEPENDENCYPART_ARC
(22,6),-1.15434 # DEPENDENCYPART_ARC
(22,8),-0.460074 # DEPENDENCYPART_ARC
(22,9),-0.867498 # DEPENDENCYPART_ARC
(22,11),-0.557776 # DEPENDENCYPART_ARC
(22,12),-0.63861 # DEPENDENCYPART_ARC
(22,13),-0.713216 # DEPENDENCYPART_ARC
(22,14),-0.268102 # DEPENDENCYPART_ARC
(22,15),-0.836616 # DEPENDENCYPART_ARC
(22,16),-0.393653 # DEPENDENCYPART_ARC
(22,17),0.0468137 # DEPENDENCYPART_ARC
(22,18),-0.144488 # DEPENDENCYPART_ARC
(22,19),0.261895 # DEPENDENCYPART_ARC
(22,20),0.494685 # DEPENDENCYPART_ARC
(22,21),1.40071 # DEPENDENCYPART_ARC
(22,23),1.85598 # DEPENDENCYPART_ARC
(22,24),0.0324455 # DEPENDENCYPART_ARC
(22,25),-0.119603 # DEPENDENCYPART_ARC
(22,26),-0.191855 # DEPENDENCYPART_ARC
(22,27),-1.09348 # DEPENDENCYPART_ARC
(22,29),-0.559793 # DEPENDENCYPART_ARC
(22,30),-1.81822 # DEPENDENCYPART_ARC
(23,21),0.620886 # DEPENDENCYPART_ARC
(23,22),0.249991 # DEPENDENCYPART_ARC
(23,24),-0.385247 # DEPENDENCYPART_ARC
(23,26),-0.89439 # DEPENDENCYPART_ARC
(23,27),-1.65836 # DEPENDENCYPART_ARC
(24,19),-0.0705247 # DEPENDENCYPART_ARC
(24,21),-0.511447 # DEPENDENCYPART_ARC
(24,22),1.11791 # DEPENDENCYPART_ARC
(24,23),2.20203 # DEPENDENCYPART_ARC
(24,25),-0.201831 # DEPENDENCYPART_ARC
(24,26),-0.841378 # DEPENDENCYPART_ARC
(24,27),-1.37952 # DEPENDENCYPART_ARC
(24,29),-1.21262 # DEPENDENCYPART_ARC
(25,21),-1.37669 # DEPENDENCYPART_ARC
(25,23),-0.965245 # DEPENDENCYPART_ARC
(25,24),-0.602796 # DEPENDENCYPART_ARC
(25,26),-0.778006 # DEPENDENCYPART_ARC
(25,27),-1.13229 # DEPENDENCYPART_ARC
(25,30),-1.56963 # DEPENDENCYPART_ARC
(25,32),-1.89103 # DEPENDENCYPART_ARC
(26,1),-0.89166 # DEPENDENCYPART_ARC
(26,3),-2.39368 # DEPENDENCYPART_ARC
(26,6),-3.52859 # DEPENDENCYPART_ARC
(26,8),-0.88585 # DEPENDENCYPART_ARC
(26,11),-1.8891 # DEPENDENCYPART_ARC
(26,14),-0.884904 # DEPENDENCYPART_ARC
(26,16),-2.19376 # DEPENDENCYPART_ARC
(26,17),-1.3044 # DEPENDENCYPART_ARC
(26,18),-0.761433 # DEPENDENCYPART_ARC
(26,19),-0.608857 # DEPENDENCYPART_ARC
(26,20),-2.71483 # DEPENDENCYPART_ARC
(26,21),-2.4108 # DEPENDENCYPART_ARC
(26,22),-0.595573 # DEPENDENCYPART_ARC
(26,23),-1.31382 # DEPENDENCYPART_ARC
(26,24),-0.833231 # DEPENDENCYPART_ARC
(26,25),0.664449 # DEPENDENCYPART_ARC
(26,27),1.93803 # DEPENDENCYPART_ARC
(26,28),-1.1617 # DEPENDENCYPART_ARC
(26,29),-1.77996 # DEPENDENCYPART_ARC
(26,30),-0.971721 # DEPENDENCYPART_ARC
(26,32),-1.81839 # DEPENDENCYPART_ARC
(27,21),-1.61067 # DEPENDENCYPART_ARC
(27,23),-0.0793825 # DEPENDENCYPART_ARC
(27,25),-0.285019 # DEPENDENCYPART_ARC
(27,26),0.454093 # DEPENDENCYPART_ARC
(27,28),-0.02657 # DEPENDENCYPART_ARC
(27,29),-0.0894258 # DEPENDENCYPART_ARC
(27,30),0.97241 # DEPENDENCYPART_ARC
(27,32),0.655201 # DEPENDENCYPART_ARC
(29,28),0.206439 # DEPENDENCYPART_ARC
(29,30),0.0204565 # DEPENDENCYPART_ARC
(29,32),-0.930334 # DEPENDENCYPART_ARC
(30,28),1.93095 # DEPENDENCYPART_ARC
(30,29),2.11434 # DEPENDENCYPART_ARC
(30,31),-0.118852 # DEPENDENCYPART_ARC
(30,32),0.875313 # DEPENDENCYPART_ARC
(32,28),-0.117855 # DEPENDENCYPART_ARC
(32,30),-0.800959 # DEPENDENCYPART_ARC
(32,31),2.09242 # DEPENDENCYPART_ARC
(33,27),-1.51437 # DEPENDENCYPART_ARC
(33,30),-1.29321 # DEPENDENCYPART_ARC
(33,32),-0.978904 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.193356 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0134717 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.187619 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0798848 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.192371 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0279255 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0141161 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.196888 # DEPENDENCYPART_SIBL
(0,1),(0,22),0.00329452 # DEPENDENCYPART_SIBL
(0,1),(0,24),0.195926 # DEPENDENCYPART_SIBL
(0,1),(0,25),0.0279255 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.187619 # DEPENDENCYPART_SIBL
(0,1),(0,27),0.178248 # DEPENDENCYPART_SIBL
(0,1),(0,33),-0.0902118 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.282422 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.599276 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.0638427 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.621827 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0261704 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.300223 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.615759 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.342219 # DEPENDENCYPART_SIBL
(0,3),(0,24),0.0306089 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.0261704 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.599276 # DEPENDENCYPART_SIBL
(0,3),(0,27),0.0140793 # DEPENDENCYPART_SIBL
(0,3),(0,33),-0.0491424 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.162468 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.281728 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.162834 # DEPENDENCYPART_SIBL
(0,4),(0,18),0.21511 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0194491 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.174128 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.0236171 # DEPENDENCYPART_SIBL
(0,4),(0,24),0.182725 # DEPENDENCYPART_SIBL
(0,4),(0,25),0.21511 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.162468 # DEPENDENCYPART_SIBL
(0,4),(0,27),0.16805 # DEPENDENCYPART_SIBL
(0,4),(0,33),0.335996 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.0159346 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.626591 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.068561 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.314725 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.622412 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.355729 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.0020983 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.068561 # DEPENDENCYPART_SIBL
(0,6),(0,26),-0.605928 # DEPENDENCYPART_SIBL
(0,6),(0,27),-0.0186278 # DEPENDENCYPART_SIBL
(0,6),(0,33),-0.121042 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.232352 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0529455 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0766775 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.235954 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.0699984 # DEPENDENCYPART_SIBL
(0,9),(0,24),0.30986 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.0529455 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.225552 # DEPENDENCYPART_SIBL
(0,9),(0,27),0.268672 # DEPENDENCYPART_SIBL
(0,9),(0,33),-0.420097 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0913201 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.351097 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.651907 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.399191 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.0275555 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.0913201 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.633896 # DEPENDENCYPART_SIBL
(0,13),(0,27),-0.044085 # DEPENDENCYPART_SIBL
(0,13),(0,33),-0.166469 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0693858 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.220188 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.030572 # DEPENDENCYPART_SIBL
(0,18),(0,24),0.248965 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.0210454 # DEPENDENCYPART_SIBL
(0,18),(0,26),-0.210366 # DEPENDENCYPART_SIBL
(0,18),(0,27),0.219452 # DEPENDENCYPART_SIBL
(0,18),(0,33),-0.402918 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.238934 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.107143 # DEPENDENCYPART_SIBL
(0,19),(0,24),0.110568 # DEPENDENCYPART_SIBL
(0,19),(0,25),0.0679403 # DEPENDENCYPART_SIBL
(0,19),(0,26),-0.227273 # DEPENDENCYPART_SIBL
(0,19),(0,27),0.0958931 # DEPENDENCYPART_SIBL
(0,19),(0,33),0.117736 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.364745 # DEPENDENCYPART_SIBL
(0,20),(0,24),0.00319863 # DEPENDENCYPART_SIBL
(0,20),(0,25),-0.0432936 # DEPENDENCYPART_SIBL
(0,20),(0,26),-0.606499 # DEPENDENCYPART_SIBL
(0,20),(0,27),-0.0133309 # DEPENDENCYPART_SIBL
(0,20),(0,33),-0.0854653 # DEPENDENCYPART_SIBL
(0,22),(0,24),0.0132141 # DEPENDENCYPART_SIBL
(0,22),(0,25),-0.0554901 # DEPENDENCYPART_SIBL
(0,22),(0,26),-0.297346 # DEPENDENCYPART_SIBL
(0,22),(0,27),-0.000415068 # DEPENDENCYPART_SIBL
(0,22),(0,33),-0.0414874 # DEPENDENCYPART_SIBL
(0,24),(0,25),-0.0120996 # DEPENDENCYPART_SIBL
(0,24),(0,26),-0.248381 # DEPENDENCYPART_SIBL
(0,24),(0,27),0.0188005 # DEPENDENCYPART_SIBL
(0,24),(0,33),-0.239616 # DEPENDENCYPART_SIBL
(0,25),(0,26),-0.210366 # DEPENDENCYPART_SIBL
(0,25),(0,27),0.219452 # DEPENDENCYPART_SIBL
(0,25),(0,33),-0.402918 # DEPENDENCYPART_SIBL
(0,26),(0,27),-0.0186278 # DEPENDENCYPART_SIBL
(0,26),(0,33),-0.121042 # DEPENDENCYPART_SIBL
(0,27),(0,33),-0.219247 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0431962 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.126804 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00809606 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0883508 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0383401 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0434675 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.046804 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0330875 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0404437 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0335022 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0639836 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.0340726 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00644677 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0517575 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0146378 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0852815 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0799984 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.097523 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.021039 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.0969766 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0326322 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0103416 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0755553 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0352695 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0837708 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0937736 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.08389 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00969862 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0959846 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.250897 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.111906 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.14228 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.112015 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.000451292 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0131077 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0564422 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0784707 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.0565511 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0592879 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.108202 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.100747 # DEPENDENCYPART_SIBL
(3,11),(3,23),-0.108538 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.112793 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.149106 # DEPENDENCYPART_SIBL
(3,13),(3,23),-0.112902 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.0415946 # DEPENDENCYPART_SIBL
(3,16),(3,23),-0.0993411 # DEPENDENCYPART_SIBL
(3,19),(3,23),-0.0858212 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0536998 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.00867172 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0348607 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0696653 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0281845 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00980428 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0456732 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.100991 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0360013 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0432411 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0545551 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.00605976 # DEPENDENCYPART_SIBL
(4,1),(4,25),0.0360013 # DEPENDENCYPART_SIBL
(4,1),(4,26),-0.0696653 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0364102 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00204523 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0417558 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0241404 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0194457 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0254292 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0469889 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0394101 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0186354 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0276887 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.026191 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.0394101 # DEPENDENCYPART_SIBL
(4,2),(4,26),-0.0417558 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0533005 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.121525 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.036355 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.00238659 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.112138 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.12883 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0286978 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0716639 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.131574 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0323218 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.0286978 # DEPENDENCYPART_SIBL
