# _root_ Σε αυτό εκτίθενται ευρήματα από τον προϊστορικό οικισμό στο Ντικιλί Τας , την ελληνιστική , ρωμαϊκή και παλιοχριστιανική πόλη των Φιλίππων .
#goldHeads=3,1,0,3,4,8,8,12,8,9,10,5,14,17,17,17,19,17,12,21,19,0,
#predictedHeads=3,1,0,3,4,8,8,5,8,9,14,17,19,17,17,17,19,17,10,21,19,0,
(22,3),-1.73411 # DEPENDENCYPART_ARC
(22,14),-1.93396 # DEPENDENCYPART_ARC
(22,16),-1.80876 # DEPENDENCYPART_ARC
(22,18),-1.73177 # DEPENDENCYPART_ARC
(22,19),-1.40987 # DEPENDENCYPART_ARC
(22,21),-0.906354 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.129019 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.370897 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.021235 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0235134 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.14949 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0732087 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.261734 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.14949 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.261734 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.14949 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.208885 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.14949 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.021535 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.149494 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.542264 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.260501 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0551604 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0800299 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.024 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.0380228 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0763581 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.024 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0763581 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.024 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0747634 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.024 # DEPENDENCYPART_SIBL
(0,2),(0,19),0.05981 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0240033 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.226469 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0138256 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0470509 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.157395 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0940031 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0572788 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.157395 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0572788 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.157395 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.350841 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.157395 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0137544 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.157398 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.104401 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.189859 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0267785 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.154183 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.00390061 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0267785 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.00390061 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0267794 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.164191 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0267785 # DEPENDENCYPART_SIBL
(0,4),(0,19),0.0269475 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0267823 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.223901 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.152677 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0472264 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.276827 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.152677 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.276827 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.152677 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.231308 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.152677 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0174951 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.152681 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.570266 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.077602 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0790452 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0153585 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0790452 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0153585 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.116729 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0153585 # DEPENDENCYPART_SIBL
(0,7),(0,19),0.155014 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.0153689 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.31303 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.232627 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.1465 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.232627 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.1465 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.227154 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.1465 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0213874 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.146504 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.493736 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.00771071 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0210454 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.00771071 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.030572 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.00771071 # DEPENDENCYPART_SIBL
(0,12),(0,19),0.21833 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.00771414 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.402918 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0790452 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0153585 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.116729 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0153585 # DEPENDENCYPART_SIBL
(0,14),(0,19),0.155014 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.0153689 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.31303 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.00771071 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.030572 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.00771071 # DEPENDENCYPART_SIBL
(0,15),(0,19),0.21833 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.00771414 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.402918 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.116729 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0153585 # DEPENDENCYPART_SIBL
(0,16),(0,19),0.155014 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.0153689 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.31303 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0782152 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.000173638 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.0782186 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.0414874 # DEPENDENCYPART_SIBL
(0,18),(0,19),0.155014 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.0153689 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.31303 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0338568 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.225267 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.313259 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.111248 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.231744 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.231736 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0803113 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.193911 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.113633 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.1136 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.119752 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.183283 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.458422 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0151479 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.448999 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.00529356 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.448285 # DEPENDENCYPART_SIBL
(1,15),(1,17),-0.0822884 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0066077 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.116698 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0250317 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00423533 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0199481 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0191221 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0485734 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0175838 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0278647 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0278647 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0488034 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0145534 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.00995617 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0672255 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0920147 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0377849 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0780136 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.109838 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0795519 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0173806 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0173806 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0636388 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0761177 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.100046 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0091724 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.118911 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.230875 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0183611 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.230875 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.019736 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.019736 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.208163 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.231414 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.077907 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.118109 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0354773 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0511512 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0354773 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.103595 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.103595 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.239886 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0365751 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.146557 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0380955 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0336597 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0380955 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0131657 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0131657 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.151389 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0388063 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.0689243 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0179594 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.228655 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.00308556 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.00308556 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.206197 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.229194 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.067822 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0338495 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0107367 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0107367 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.237495 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0348683 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.0158362 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0125162 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0125162 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.205141 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.228138 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0720013 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0189307 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0374168 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.00171984 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.110295 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.0374168 # DEPENDENCYPART_SIBL
(3,15),(3,19),0.00171984 # DEPENDENCYPART_SIBL
(3,15),(3,22),-0.110295 # DEPENDENCYPART_SIBL
(3,17),(3,19),-0.0126046 # DEPENDENCYPART_SIBL
(3,17),(3,22),0.0189038 # DEPENDENCYPART_SIBL
(3,19),(3,22),-0.0781785 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0236222 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.011428 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0242448 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0464021 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.052344 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0504021 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0186688 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0504021 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0537274 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.00158264 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0449059 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0592147 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.153587 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.035425 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0231878 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0402626 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0815546 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0402626 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.030761 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0267608 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0477342 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0717695 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0384332 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0456925 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00775533 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00973219 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.00775533 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0277958 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.02412 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0146139 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.00422988 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0116658 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0266466 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0788629 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0266466 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0234717 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0812626 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.0693551 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0276677 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0140156 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00742851 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0140156 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0516071 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0648274 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0444648 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0322932 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0218072 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0322932 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0407029 # DEPENDENCYPART_SIBL
