# _root_ * Τα ρέηβ πάρτυ στο κλαμπ Cavo Paradiso , κοντά στη Χώρα , που τελειώνουν με την ανατολή του ηλίου .
#goldHeads=0,4,4,0,4,5,6,7,10,6,10,11,15,15,4,15,18,16,20,18,0,
#predictedHeads=0,4,4,0,4,5,6,7,10,6,10,11,15,15,12,15,18,16,20,18,0,
(12,13),-0.408734 # DEPENDENCYPART_ARC
(12,14),-1.54515 # DEPENDENCYPART_ARC
(12,15),-0.771397 # DEPENDENCYPART_ARC
(12,16),-1.06938 # DEPENDENCYPART_ARC
(13,1),-1.01727 # DEPENDENCYPART_ARC
(13,4),-1.24225 # DEPENDENCYPART_ARC
(13,5),-0.928495 # DEPENDENCYPART_ARC
(13,6),-1.30491 # DEPENDENCYPART_ARC
(13,9),-0.729766 # DEPENDENCYPART_ARC
(13,10),-0.839995 # DEPENDENCYPART_ARC
(13,11),-0.797753 # DEPENDENCYPART_ARC
(13,12),-0.476983 # DEPENDENCYPART_ARC
(13,14),-0.518357 # DEPENDENCYPART_ARC
(13,15),-0.912303 # DEPENDENCYPART_ARC
(13,16),-1.03095 # DEPENDENCYPART_ARC
(13,18),-1.38456 # DEPENDENCYPART_ARC
(13,20),-1.666 # DEPENDENCYPART_ARC
(13,21),-0.671794 # DEPENDENCYPART_ARC
(14,13),-0.0917605 # DEPENDENCYPART_ARC
(14,15),-0.549203 # DEPENDENCYPART_ARC
(15,1),-0.520982 # DEPENDENCYPART_ARC
(15,4),-1.23063 # DEPENDENCYPART_ARC
(15,5),-0.775479 # DEPENDENCYPART_ARC
(15,6),-1.00612 # DEPENDENCYPART_ARC
(15,7),-1.16037 # DEPENDENCYPART_ARC
(15,8),-1.16332 # DEPENDENCYPART_ARC
(15,9),-0.124071 # DEPENDENCYPART_ARC
(15,10),-0.222724 # DEPENDENCYPART_ARC
(15,11),-0.451403 # DEPENDENCYPART_ARC
(15,12),-1.17463 # DEPENDENCYPART_ARC
(15,13),0.607792 # DEPENDENCYPART_ARC
(15,14),1.88729 # DEPENDENCYPART_ARC
(15,16),1.56354 # DEPENDENCYPART_ARC
(15,17),-0.984198 # DEPENDENCYPART_ARC
(15,18),0.34419 # DEPENDENCYPART_ARC
(15,20),-1.8927 # DEPENDENCYPART_ARC
(15,21),-0.011381 # DEPENDENCYPART_ARC
(16,13),-0.757447 # DEPENDENCYPART_ARC
(16,15),-0.489788 # DEPENDENCYPART_ARC
(16,17),-0.188725 # DEPENDENCYPART_ARC
(16,18),1.23123 # DEPENDENCYPART_ARC
(16,20),-0.0102084 # DEPENDENCYPART_ARC
(16,21),-0.577368 # DEPENDENCYPART_ARC
(18,10),-1.41966 # DEPENDENCYPART_ARC
(18,14),-1.19066 # DEPENDENCYPART_ARC
(18,16),-0.82664 # DEPENDENCYPART_ARC
(18,17),2.29544 # DEPENDENCYPART_ARC
(18,19),0.0675106 # DEPENDENCYPART_ARC
(18,20),1.26098 # DEPENDENCYPART_ARC
(18,21),-0.212913 # DEPENDENCYPART_ARC
(20,14),-1.52024 # DEPENDENCYPART_ARC
(20,17),-1.37833 # DEPENDENCYPART_ARC
(20,18),-1.68087 # DEPENDENCYPART_ARC
(20,19),2.06158 # DEPENDENCYPART_ARC
(20,21),-0.442721 # DEPENDENCYPART_ARC
(21,1),-1.601 # DEPENDENCYPART_ARC
(21,4),-2.02875 # DEPENDENCYPART_ARC
(21,18),-1.54642 # DEPENDENCYPART_ARC
(21,20),-1.15051 # DEPENDENCYPART_ARC
(0,1),(0,3),0.235744 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.560532 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.203036 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.531712 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.235718 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.233813 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.382413 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.215205 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.158308 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.530545 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.382413 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.0244314 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.183685 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.531788 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.531788 # DEPENDENCYPART_SIBL
(0,1),(0,21),0.10632 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.102857 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0144384 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.094687 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0316959 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0310141 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0442776 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.02296 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.0127691 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0934783 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0442776 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.226407 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.0348543 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.0947356 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.0947356 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.238715 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.155419 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0251547 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.000670732 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.00136207 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0193305 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.0260427 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.111648 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0239563 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0193305 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.235613 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.133138 # DEPENDENCYPART_SIBL
(0,4),(0,18),0.0252138 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.0252138 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.180037 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0209568 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.124799 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.125478 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.232627 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.112764 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0984947 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0230013 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.232627 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.358828 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.108937 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0209082 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0209082 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.493736 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.00411408 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.00750544 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.00172897 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.0222305 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.116808 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.027498 # DEPENDENCYPART_SIBL
(0,6),(0,13),0.00172897 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.239183 # DEPENDENCYPART_SIBL
(0,6),(0,16),0.135286 # DEPENDENCYPART_SIBL
(0,6),(0,18),0.0287555 # DEPENDENCYPART_SIBL
(0,6),(0,20),0.0287555 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.218542 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0310081 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0442776 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.02296 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.0127691 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.0934783 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0442776 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.226407 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.0348543 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.0947356 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.0947356 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.238715 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0442794 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.02296 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.0127691 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.0934783 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0442794 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.226407 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.0348543 # DEPENDENCYPART_SIBL
(0,8),(0,18),0.0947356 # DEPENDENCYPART_SIBL
(0,8),(0,20),0.0947356 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.238718 # DEPENDENCYPART_SIBL
(0,9),(0,10),0.0341457 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.053716 # DEPENDENCYPART_SIBL
(0,9),(0,12),0.218401 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0210454 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.210366 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.017346 # DEPENDENCYPART_SIBL
(0,9),(0,18),0.219643 # DEPENDENCYPART_SIBL
(0,9),(0,20),0.219643 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.402918 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0383463 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.180898 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.0673535 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.184169 # DEPENDENCYPART_SIBL
(0,10),(0,16),0.0548924 # DEPENDENCYPART_SIBL
(0,10),(0,18),0.182151 # DEPENDENCYPART_SIBL
(0,10),(0,20),0.182151 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.061744 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.00151957 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.235498 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.357654 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0763961 # DEPENDENCYPART_SIBL
(0,11),(0,18),0.00361697 # DEPENDENCYPART_SIBL
(0,11),(0,20),0.00361697 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.511526 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.00355633 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.239295 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.138043 # DEPENDENCYPART_SIBL
(0,12),(0,18),0.026464 # DEPENDENCYPART_SIBL
(0,12),(0,20),0.026464 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.221286 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.210366 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.017346 # DEPENDENCYPART_SIBL
(0,13),(0,18),0.219643 # DEPENDENCYPART_SIBL
(0,13),(0,20),0.219643 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.402918 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0816065 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0184369 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.0184987 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.121042 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0203899 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0203899 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.521091 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.0287555 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.218542 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.218542 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00926805 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00368253 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00926805 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0159294 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0199972 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0159294 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0180099 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.022909 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0901503 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0654889 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.116208 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0425466 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.116208 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0202821 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0893694 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.00471774 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.00289085 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.00853353 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.00289085 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0174072 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0100462 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.112435 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0425752 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.112435 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.020553 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.0915125 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.000677724 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.029095 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.000829009 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0139144 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.0300784 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0106672 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.00789046 # DEPENDENCYPART_SIBL
(1,13),(1,15),0.000829009 # DEPENDENCYPART_SIBL
(1,13),(1,16),0.0139144 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.0335295 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.018318 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.014874 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.013157 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0552901 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0562454 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.112771 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.15033 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0182516 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00334453 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.023966 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0584556 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0306134 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0130137 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0244229 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0239759 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0114707 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.017307 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.177327 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0646657 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0657525 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0316518 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.184077 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.100543 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00331106 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0132563 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0315935 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0227281 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.00197521 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0399622 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0305064 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0267999 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0134657 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0143765 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0160978 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0414687 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0268098 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0211126 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0446174 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0298581 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00347132 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00855653 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00855951 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0230694 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0555708 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.00380195 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.00401608 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.00105156 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.032487 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.000170375 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00288892 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0573185 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.113175 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.118113 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0125135 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0502153 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0553493 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0744052 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0069791 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0330268 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.00568908 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0010622 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.00662486 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0297881 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.00698208 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0330298 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0056861 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.00105923 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.00662784 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0297888 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0315299 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0386814 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.00240187 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.00741863 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.0277368 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0385336 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0181361 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0603504 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0377716 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0125113 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.053093 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.0579294 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.0280254 # DEPENDENCYPART_SIBL
(4,15),(4,21),0.10646 # DEPENDENCYPART_SIBL
(4,16),(4,21),-0.0724707 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.234125 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.240916 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.12429 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0180107 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0600393 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0600411 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.140786 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0214477 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.00720032 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0839015 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.028217 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.154862 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0205964 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0192017 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0178611 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.154862 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0190533 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0123616 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.201188 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0653578 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0435138 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.237101 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0978794 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0102798 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.020618 # DEPENDENCYPART_SIBL
