# _root_ Ήταν στεγασμένη με ένα τετράγωνο κτήριο , ανοικτό στη νότια πλευρά , όπου υπήρχε δωρική στοά .
#goldHeads=0,1,2,6,6,3,1,6,8,11,9,14,14,11,16,14,14,
#predictedHeads=0,1,2,6,6,3,8,1,8,11,9,14,14,11,16,14,0,
(9,8),-0.797894 # DEPENDENCYPART_ARC
(9,10),0.622378 # DEPENDENCYPART_ARC
(9,11),2.10319 # DEPENDENCYPART_ARC
(9,12),-0.129379 # DEPENDENCYPART_ARC
(10,8),-0.0124297 # DEPENDENCYPART_ARC
(10,13),-0.56372 # DEPENDENCYPART_ARC
(10,14),-0.490549 # DEPENDENCYPART_ARC
(11,1),-2.09309 # DEPENDENCYPART_ARC
(11,3),-1.05005 # DEPENDENCYPART_ARC
(11,4),-0.185971 # DEPENDENCYPART_ARC
(11,5),-0.301251 # DEPENDENCYPART_ARC
(11,6),-1.01301 # DEPENDENCYPART_ARC
(11,7),-0.522616 # DEPENDENCYPART_ARC
(11,8),-0.850833 # DEPENDENCYPART_ARC
(11,9),0.0741111 # DEPENDENCYPART_ARC
(11,10),2.25786 # DEPENDENCYPART_ARC
(11,12),-0.144206 # DEPENDENCYPART_ARC
(11,13),-0.571456 # DEPENDENCYPART_ARC
(11,14),-1.00969 # DEPENDENCYPART_ARC
(11,15),-1.44852 # DEPENDENCYPART_ARC
(11,16),-1.50129 # DEPENDENCYPART_ARC
(12,1),-1.14784 # DEPENDENCYPART_ARC
(12,3),-0.594916 # DEPENDENCYPART_ARC
(12,5),-1.19865 # DEPENDENCYPART_ARC
(12,6),-0.91152 # DEPENDENCYPART_ARC
(12,7),-0.25466 # DEPENDENCYPART_ARC
(12,8),-1.17828 # DEPENDENCYPART_ARC
(12,9),-0.645541 # DEPENDENCYPART_ARC
(12,10),-0.766625 # DEPENDENCYPART_ARC
(12,11),-0.331013 # DEPENDENCYPART_ARC
(12,13),-0.55826 # DEPENDENCYPART_ARC
(12,14),-1.00143 # DEPENDENCYPART_ARC
(12,15),-1.19555 # DEPENDENCYPART_ARC
(12,16),-1.28501 # DEPENDENCYPART_ARC
(12,17),-0.715724 # DEPENDENCYPART_ARC
(13,1),-1.68878 # DEPENDENCYPART_ARC
(13,3),-0.940396 # DEPENDENCYPART_ARC
(13,6),-1.26555 # DEPENDENCYPART_ARC
(13,9),-0.91254 # DEPENDENCYPART_ARC
(13,10),-1.02993 # DEPENDENCYPART_ARC
(13,11),-1.04897 # DEPENDENCYPART_ARC
(13,12),-0.0503455 # DEPENDENCYPART_ARC
(13,14),-0.178152 # DEPENDENCYPART_ARC
(13,15),-1.28322 # DEPENDENCYPART_ARC
(13,16),-1.34441 # DEPENDENCYPART_ARC
(13,17),-0.879473 # DEPENDENCYPART_ARC
(14,1),-1.5049 # DEPENDENCYPART_ARC
(14,2),-1.12524 # DEPENDENCYPART_ARC
(14,3),-0.513586 # DEPENDENCYPART_ARC
(14,5),-1.33511 # DEPENDENCYPART_ARC
(14,6),-1.24891 # DEPENDENCYPART_ARC
(14,7),0.0305995 # DEPENDENCYPART_ARC
(14,8),-1.13618 # DEPENDENCYPART_ARC
(14,9),-0.155054 # DEPENDENCYPART_ARC
(14,10),-0.734829 # DEPENDENCYPART_ARC
(14,11),-0.569542 # DEPENDENCYPART_ARC
(14,12),0.832905 # DEPENDENCYPART_ARC
(14,13),1.40249 # DEPENDENCYPART_ARC
(14,15),0.549168 # DEPENDENCYPART_ARC
(14,16),1.61596 # DEPENDENCYPART_ARC
(14,17),0.0522082 # DEPENDENCYPART_ARC
(15,13),-0.188216 # DEPENDENCYPART_ARC
(15,16),-0.6767 # DEPENDENCYPART_ARC
(15,17),-0.672851 # DEPENDENCYPART_ARC
(16,1),-2.2272 # DEPENDENCYPART_ARC
(16,10),-0.0382349 # DEPENDENCYPART_ARC
(16,13),-0.558329 # DEPENDENCYPART_ARC
(16,15),2.27968 # DEPENDENCYPART_ARC
(16,17),-0.249445 # DEPENDENCYPART_ARC
(17,15),-1.37006 # DEPENDENCYPART_ARC
(17,16),-1.07165 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.155722 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0750446 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0521562 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.155722 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0521562 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.599366 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.155722 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.011875 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0980752 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0714331 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0802617 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0153585 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0802617 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.248286 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0153585 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.155107 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.313639 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.225497 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.135028 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.225497 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.352737 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.135028 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0203899 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.521091 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.00771071 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0210454 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.210487 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.00771071 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.219643 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.402918 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0790452 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.25 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0153585 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.155511 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.31303 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.210487 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.00771071 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.219643 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.402918 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.164393 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0205553 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.126639 # DEPENDENCYPART_SIBL
(0,15),(0,16),0.155511 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.31303 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.218566 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0279826 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.110263 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0415858 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.002966 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.110263 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0146546 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0416142 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.002966 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0464481 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.00437258 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0415858 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0648269 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.084302 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0242123 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.00533078 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.084302 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0161746 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0249798 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.00533078 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0453779 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0100403 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.0242123 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.0637656 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0389778 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.000881869 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.108463 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0187663 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0390062 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.000881869 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.0446484 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.00448326 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0389778 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.0620031 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.00784727 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.107349 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0104121 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.221558 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.00784727 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.00690213 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0291149 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.22153 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.0583309 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0529045 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0151209 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.00242349 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0331239 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.0180558 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.00636027 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.00246128 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.103228 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0187663 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0390062 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.000881869 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0446484 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.00448326 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.0389778 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.0620031 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0104291 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.00444594 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0780921 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.017987 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.011251 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.0487192 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.00144534 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.00596871 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.0232256 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.220178 # DEPENDENCYPART_SIBL
(1,11),(1,17),-0.060296 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.0180558 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.00636027 # DEPENDENCYPART_SIBL
(1,12),(1,16),0.00246128 # DEPENDENCYPART_SIBL
(1,12),(1,17),-0.103228 # DEPENDENCYPART_SIBL
(1,13),(1,14),-0.011374 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.00738605 # DEPENDENCYPART_SIBL
(1,13),(1,17),-0.0443711 # DEPENDENCYPART_SIBL
(1,14),(1,16),-0.0663363 # DEPENDENCYPART_SIBL
(1,14),(1,17),0.0254274 # DEPENDENCYPART_SIBL
(1,16),(1,17),-0.0583646 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0105085 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00323868 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0303149 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0210672 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.00870756 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0303089 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0210672 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.12339 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0110978 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00635575 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0255861 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0108249 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.00564291 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0255861 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0120834 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00619851 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.000111228 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0216834 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.00619952 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.000111228 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0146955 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0462936 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0387116 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.108488 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0462936 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0103194 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.00497511 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0565452 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0200048 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0210774 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0262129 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0165976 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0148548 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0383553 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.00818714 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0210774 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0121472 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0242197 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0491489 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0743507 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0278867 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0743508 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0278867 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0105574 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0280407 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0659968 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0409814 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.041014 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0409893 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.041014 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.00276266 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0304116 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.034675 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00278001 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0347834 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.00278001 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0335084 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0706922 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0185738 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0708013 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0185738 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0805781 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0298193 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.319336 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0298193 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.105094 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.273725 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.145986 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0279065 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0151192 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.112972 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.0279065 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0260178 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0291326 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0115118 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0907705 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0453167 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0274749 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0227216 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.022751 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0393426 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0223143 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0287166 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.00293577 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.137975 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0287161 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0266102 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0451094 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0438167 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0424299 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.00927718 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.00529275 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0967688 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0093069 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.102091 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.00856504 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.01833 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0259413 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0271342 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0329225 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.00925526 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0290443 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0120089 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.157416 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0162141 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0610845 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.06453 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0310693 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0614705 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0408018 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0406786 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0193776 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0734128 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0496026 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0185185 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0393742 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0277906 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.00732795 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0181814 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.024062 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0183013 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.02597 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0270553 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0329511 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0092865 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0290156 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0120447 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.00507862 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00301394 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.00506841 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0608459 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.061598 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0162837 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0369831 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0433523 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0320795 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0136336 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0157683 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.00917666 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0312315 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.00439131 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.0108537 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.032179 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0136462 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0157803 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.0487334 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.00999798 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.00026689 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0188111 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0111014 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0188111 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0154529 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0270366 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0763268 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0260595 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0352337 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.00468014 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.161678 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.255403 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0270366 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0352307 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.00716866 # DEPENDENCYPART_SIBL
