# _root_ Αφού έλαβαν υπόψη και άλλους παράγοντες επικινδυνότητας για την ασθένεια , όπως η ηλικία και το φύλο , οι επιστήμονες βρήκαν ότι ο διαβήτης αυξάνει τις πιθανότητες ανάπτυξης καρκίνου του ήπατος .
#goldHeads=21,1,2,6,6,2,6,7,10,8,6,6,14,15,6,17,15,6,20,21,0,21,24,25,22,27,25,27,28,29,29,0,
#predictedHeads=0,1,2,2,6,4,6,7,10,8,15,21,14,15,8,17,15,21,20,21,0,21,24,25,22,27,25,27,28,31,29,0,
(12,3),-0.916874 # DEPENDENCYPART_ARC
(12,4),-0.664889 # DEPENDENCYPART_ARC
(12,8),-1.03707 # DEPENDENCYPART_ARC
(12,9),-1.35015 # DEPENDENCYPART_ARC
(12,10),-1.189 # DEPENDENCYPART_ARC
(12,11),-0.233943 # DEPENDENCYPART_ARC
(12,13),-0.437474 # DEPENDENCYPART_ARC
(12,14),-0.445818 # DEPENDENCYPART_ARC
(12,15),-0.447097 # DEPENDENCYPART_ARC
(12,17),-0.983827 # DEPENDENCYPART_ARC
(12,18),-0.686677 # DEPENDENCYPART_ARC
(12,20),-1.57832 # DEPENDENCYPART_ARC
(12,21),-1.01419 # DEPENDENCYPART_ARC
(12,25),-1.37965 # DEPENDENCYPART_ARC
(14,9),-0.633869 # DEPENDENCYPART_ARC
(14,12),-0.591903 # DEPENDENCYPART_ARC
(14,13),2.47678 # DEPENDENCYPART_ARC
(14,16),-1.48645 # DEPENDENCYPART_ARC
(14,17),-1.32299 # DEPENDENCYPART_ARC
(14,20),-2.33541 # DEPENDENCYPART_ARC
(14,22),-1.1043 # DEPENDENCYPART_ARC
(15,1),-0.452275 # DEPENDENCYPART_ARC
(15,2),-0.597637 # DEPENDENCYPART_ARC
(15,3),-0.675749 # DEPENDENCYPART_ARC
(15,4),-0.261132 # DEPENDENCYPART_ARC
(15,5),-0.166684 # DEPENDENCYPART_ARC
(15,6),-0.667484 # DEPENDENCYPART_ARC
(15,7),-0.620499 # DEPENDENCYPART_ARC
(15,8),-0.555953 # DEPENDENCYPART_ARC
(15,9),-0.767167 # DEPENDENCYPART_ARC
(15,10),0.218963 # DEPENDENCYPART_ARC
(15,11),0.149929 # DEPENDENCYPART_ARC
(15,12),-0.249119 # DEPENDENCYPART_ARC
(15,13),-0.248483 # DEPENDENCYPART_ARC
(15,14),1.53203 # DEPENDENCYPART_ARC
(15,16),-0.164249 # DEPENDENCYPART_ARC
(15,17),0.74367 # DEPENDENCYPART_ARC
(15,18),-0.149705 # DEPENDENCYPART_ARC
(15,20),-0.327871 # DEPENDENCYPART_ARC
(15,21),-0.391339 # DEPENDENCYPART_ARC
(15,22),-0.722946 # DEPENDENCYPART_ARC
(15,24),-1.15188 # DEPENDENCYPART_ARC
(15,25),-1.55997 # DEPENDENCYPART_ARC
(17,9),-2.16852 # DEPENDENCYPART_ARC
(17,13),-0.196674 # DEPENDENCYPART_ARC
(17,14),-0.862754 # DEPENDENCYPART_ARC
(17,15),0.152741 # DEPENDENCYPART_ARC
(17,16),2.65414 # DEPENDENCYPART_ARC
(17,18),-0.390013 # DEPENDENCYPART_ARC
(17,19),-1.41026 # DEPENDENCYPART_ARC
(17,20),-1.43936 # DEPENDENCYPART_ARC
(17,21),-1.68358 # DEPENDENCYPART_ARC
(17,22),-1.05096 # DEPENDENCYPART_ARC
(18,5),-1.4035 # DEPENDENCYPART_ARC
(18,6),-1.31032 # DEPENDENCYPART_ARC
(18,7),-1.2811 # DEPENDENCYPART_ARC
(18,8),-0.661709 # DEPENDENCYPART_ARC
(18,14),-1.08823 # DEPENDENCYPART_ARC
(18,17),-0.339842 # DEPENDENCYPART_ARC
(18,20),-0.72136 # DEPENDENCYPART_ARC
(18,21),-0.821645 # DEPENDENCYPART_ARC
(18,22),-0.798 # DEPENDENCYPART_ARC
(18,24),-1.68199 # DEPENDENCYPART_ARC
(18,25),-1.17813 # DEPENDENCYPART_ARC
(18,27),-1.70689 # DEPENDENCYPART_ARC
(18,28),-1.61955 # DEPENDENCYPART_ARC
(20,13),-1.75515 # DEPENDENCYPART_ARC
(20,16),-0.987187 # DEPENDENCYPART_ARC
(20,17),-1.00083 # DEPENDENCYPART_ARC
(20,18),-0.422943 # DEPENDENCYPART_ARC
(20,19),2.52271 # DEPENDENCYPART_ARC
(20,21),-1.04052 # DEPENDENCYPART_ARC
(20,22),-0.605422 # DEPENDENCYPART_ARC
(20,24),-1.6736 # DEPENDENCYPART_ARC
(20,25),-2.08701 # DEPENDENCYPART_ARC
(20,27),-2.65113 # DEPENDENCYPART_ARC
(20,29),-1.43273 # DEPENDENCYPART_ARC
(21,1),0.191442 # DEPENDENCYPART_ARC
(21,2),-1.31168 # DEPENDENCYPART_ARC
(21,3),-0.273095 # DEPENDENCYPART_ARC
(21,4),-0.199198 # DEPENDENCYPART_ARC
(21,6),-1.01899 # DEPENDENCYPART_ARC
(21,7),-2.37567 # DEPENDENCYPART_ARC
(21,8),-0.697218 # DEPENDENCYPART_ARC
(21,10),-1.26686 # DEPENDENCYPART_ARC
(21,11),0.0546785 # DEPENDENCYPART_ARC
(21,12),-0.023992 # DEPENDENCYPART_ARC
(21,14),-0.518706 # DEPENDENCYPART_ARC
(21,15),-0.204963 # DEPENDENCYPART_ARC
(21,16),-0.697764 # DEPENDENCYPART_ARC
(21,17),-0.508415 # DEPENDENCYPART_ARC
(21,18),0.572148 # DEPENDENCYPART_ARC
(21,19),-0.679009 # DEPENDENCYPART_ARC
(21,20),1.06314 # DEPENDENCYPART_ARC
(21,22),1.19021 # DEPENDENCYPART_ARC
(21,23),-1.79184 # DEPENDENCYPART_ARC
(21,24),-0.0177515 # DEPENDENCYPART_ARC
(21,25),-1.12367 # DEPENDENCYPART_ARC
(21,27),-1.03381 # DEPENDENCYPART_ARC
(21,28),-2.61833 # DEPENDENCYPART_ARC
(21,29),-2.98295 # DEPENDENCYPART_ARC
(21,31),-2.93439 # DEPENDENCYPART_ARC
(22,18),-0.124534 # DEPENDENCYPART_ARC
(22,23),-0.209233 # DEPENDENCYPART_ARC
(22,25),1.11473 # DEPENDENCYPART_ARC
(23,24),-0.850359 # DEPENDENCYPART_ARC
(24,19),-0.929509 # DEPENDENCYPART_ARC
(24,20),-0.946667 # DEPENDENCYPART_ARC
(24,23),2.37994 # DEPENDENCYPART_ARC
(24,25),-0.87573 # DEPENDENCYPART_ARC
(24,26),-1.53691 # DEPENDENCYPART_ARC
(24,27),-1.55809 # DEPENDENCYPART_ARC
(24,28),-0.606357 # DEPENDENCYPART_ARC
(24,29),-0.962015 # DEPENDENCYPART_ARC
(24,31),-1.29373 # DEPENDENCYPART_ARC
(25,1),0.240756 # DEPENDENCYPART_ARC
(25,2),-1.76335 # DEPENDENCYPART_ARC
(25,3),-0.748141 # DEPENDENCYPART_ARC
(25,6),-1.58482 # DEPENDENCYPART_ARC
(25,7),-2.17285 # DEPENDENCYPART_ARC
(25,10),-1.3773 # DEPENDENCYPART_ARC
(25,11),-0.379394 # DEPENDENCYPART_ARC
(25,12),-0.508675 # DEPENDENCYPART_ARC
(25,14),-0.492747 # DEPENDENCYPART_ARC
(25,15),-0.127079 # DEPENDENCYPART_ARC
(25,17),-0.479448 # DEPENDENCYPART_ARC
(25,18),-0.0597637 # DEPENDENCYPART_ARC
(25,20),-0.245685 # DEPENDENCYPART_ARC
(25,21),-1.22287 # DEPENDENCYPART_ARC
(25,22),-0.46423 # DEPENDENCYPART_ARC
(25,23),-0.49891 # DEPENDENCYPART_ARC
(25,24),1.16112 # DEPENDENCYPART_ARC
(25,26),-0.288425 # DEPENDENCYPART_ARC
(25,27),0.954206 # DEPENDENCYPART_ARC
(25,28),-1.07944 # DEPENDENCYPART_ARC
(25,29),-1.36951 # DEPENDENCYPART_ARC
(25,31),-2.19952 # DEPENDENCYPART_ARC
(25,32),0.0284212 # DEPENDENCYPART_ARC
(26,27),-0.646876 # DEPENDENCYPART_ARC
(26,28),-0.85498 # DEPENDENCYPART_ARC
(27,19),-2.62837 # DEPENDENCYPART_ARC
(27,23),-2.5028 # DEPENDENCYPART_ARC
(27,24),-2.21391 # DEPENDENCYPART_ARC
(27,26),2.52323 # DEPENDENCYPART_ARC
(27,28),1.87919 # DEPENDENCYPART_ARC
(27,29),1.22037 # DEPENDENCYPART_ARC
(27,31),0.133125 # DEPENDENCYPART_ARC
(28,23),-1.86136 # DEPENDENCYPART_ARC
(28,24),-1.69609 # DEPENDENCYPART_ARC
(28,26),-0.374547 # DEPENDENCYPART_ARC
(28,27),-1.17836 # DEPENDENCYPART_ARC
(28,29),1.26277 # DEPENDENCYPART_ARC
(28,30),-0.624611 # DEPENDENCYPART_ARC
(28,31),-0.028941 # DEPENDENCYPART_ARC
(29,23),-1.46911 # DEPENDENCYPART_ARC
(29,24),-0.580475 # DEPENDENCYPART_ARC
(29,26),-2.00264 # DEPENDENCYPART_ARC
(29,27),-1.79726 # DEPENDENCYPART_ARC
(29,28),0.604158 # DEPENDENCYPART_ARC
(29,30),-0.280193 # DEPENDENCYPART_ARC
(29,31),0.720711 # DEPENDENCYPART_ARC
(30,31),-0.550171 # DEPENDENCYPART_ARC
(31,24),-1.46481 # DEPENDENCYPART_ARC
(31,26),-2.99322 # DEPENDENCYPART_ARC
(31,27),-3.12043 # DEPENDENCYPART_ARC
(31,28),-1.19231 # DEPENDENCYPART_ARC
(31,29),0.0965677 # DEPENDENCYPART_ARC
(31,30),2.08441 # DEPENDENCYPART_ARC
(32,27),-1.68903 # DEPENDENCYPART_ARC
(32,28),-1.60639 # DEPENDENCYPART_ARC
(32,29),-1.49469 # DEPENDENCYPART_ARC
(32,31),-1.15042 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.267678 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0210949 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.143253 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0495207 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0246325 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.143253 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.267678 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.133064 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.268003 # DEPENDENCYPART_SIBL
(0,1),(0,28),0.0621306 # DEPENDENCYPART_SIBL
(0,1),(0,29),0.0630242 # DEPENDENCYPART_SIBL
(0,1),(0,31),0.0631028 # DEPENDENCYPART_SIBL
(0,1),(0,32),-0.0252066 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.118883 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.355729 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.137708 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.068561 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.355729 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.605928 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.326277 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.605928 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.0184373 # DEPENDENCYPART_SIBL
(0,2),(0,29),-0.0185123 # DEPENDENCYPART_SIBL
(0,2),(0,31),-0.0184412 # DEPENDENCYPART_SIBL
(0,2),(0,32),-0.121042 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.00607169 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0110393 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.0360734 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.00607169 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.184958 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.00222198 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.184958 # DEPENDENCYPART_SIBL
(0,3),(0,28),0.197875 # DEPENDENCYPART_SIBL
(0,3),(0,29),0.197775 # DEPENDENCYPART_SIBL
(0,3),(0,31),0.19787 # DEPENDENCYPART_SIBL
(0,3),(0,32),-0.078353 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0931658 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0554901 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.203802 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.297346 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.187103 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.29767 # DEPENDENCYPART_SIBL
(0,4),(0,28),-0.00188657 # DEPENDENCYPART_SIBL
(0,4),(0,29),-2.66887e-05 # DEPENDENCYPART_SIBL
(0,4),(0,31),6.16688e-05 # DEPENDENCYPART_SIBL
(0,4),(0,32),-0.0414874 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0530293 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0722997 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.252546 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.0734291 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.252546 # DEPENDENCYPART_SIBL
(0,5),(0,28),0.0624103 # DEPENDENCYPART_SIBL
(0,5),(0,29),0.0623426 # DEPENDENCYPART_SIBL
(0,5),(0,31),0.0624064 # DEPENDENCYPART_SIBL
(0,5),(0,32),-0.206023 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.030572 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.210366 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.0583923 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.2105 # DEPENDENCYPART_SIBL
(0,11),(0,28),0.219642 # DEPENDENCYPART_SIBL
(0,11),(0,29),0.21955 # DEPENDENCYPART_SIBL
(0,11),(0,31),0.219638 # DEPENDENCYPART_SIBL
(0,11),(0,32),-0.402918 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.297346 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.187103 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.29767 # DEPENDENCYPART_SIBL
(0,15),(0,28),-0.00188657 # DEPENDENCYPART_SIBL
(0,15),(0,29),-2.66887e-05 # DEPENDENCYPART_SIBL
(0,15),(0,31),6.16688e-05 # DEPENDENCYPART_SIBL
(0,15),(0,32),-0.0414874 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.326277 # DEPENDENCYPART_SIBL
(0,21),(0,25),-0.605928 # DEPENDENCYPART_SIBL
(0,21),(0,28),-0.0184373 # DEPENDENCYPART_SIBL
(0,21),(0,29),-0.0185123 # DEPENDENCYPART_SIBL
(0,21),(0,31),-0.0184412 # DEPENDENCYPART_SIBL
(0,21),(0,32),-0.121042 # DEPENDENCYPART_SIBL
(0,22),(0,25),-0.314068 # DEPENDENCYPART_SIBL
(0,22),(0,28),-0.0254515 # DEPENDENCYPART_SIBL
(0,22),(0,29),-0.0245579 # DEPENDENCYPART_SIBL
(0,22),(0,31),-0.0244793 # DEPENDENCYPART_SIBL
(0,22),(0,32),-0.190609 # DEPENDENCYPART_SIBL
(0,25),(0,28),-0.00867805 # DEPENDENCYPART_SIBL
(0,25),(0,29),-0.00875312 # DEPENDENCYPART_SIBL
(0,25),(0,31),-0.00868193 # DEPENDENCYPART_SIBL
(0,25),(0,32),-0.0859542 # DEPENDENCYPART_SIBL
(0,28),(0,29),0.0265626 # DEPENDENCYPART_SIBL
(0,28),(0,31),0.0252858 # DEPENDENCYPART_SIBL
(0,28),(0,32),-0.218629 # DEPENDENCYPART_SIBL
(0,29),(0,31),0.0272798 # DEPENDENCYPART_SIBL
(0,29),(0,32),-0.218552 # DEPENDENCYPART_SIBL
(0,31),(0,32),-0.218542 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00836318 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.112941 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0266914 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0877442 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.0877442 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.319757 # DEPENDENCYPART_SIBL
(1,2),(1,25),-0.320785 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0287404 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0294582 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0277151 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0277151 # DEPENDENCYPART_SIBL
(1,3),(1,21),-0.0862273 # DEPENDENCYPART_SIBL
(1,3),(1,25),-0.0872547 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0585314 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0470578 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0470578 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.000198489 # DEPENDENCYPART_SIBL
(1,4),(1,25),-0.00155002 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0211219 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.0211219 # DEPENDENCYPART_SIBL
(1,5),(1,21),-0.136251 # DEPENDENCYPART_SIBL
(1,5),(1,25),-0.137279 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.00144732 # DEPENDENCYPART_SIBL
(1,11),(1,21),-0.0241936 # DEPENDENCYPART_SIBL
(1,11),(1,25),-0.0253544 # DEPENDENCYPART_SIBL
(1,18),(1,21),-0.0241936 # DEPENDENCYPART_SIBL
(1,18),(1,25),-0.0253544 # DEPENDENCYPART_SIBL
(1,21),(1,25),-0.320785 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0239057 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00410659 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0125799 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0136628 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.000950186 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.000165775 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.000377415 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0128027 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.00811576 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.00410659 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.000875174 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0128027 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.00865416 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.0167892 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0686625 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0213123 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00588201 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.058964 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0590753 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0755897 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0585141 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0140773 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0331535 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0213123 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0590724 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0140773 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.0599217 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0215994 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.0570844 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0548299 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0109542 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0108794 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.000698517 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.012563 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0057219 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0178062 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.117965 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0108823 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0057219 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0037037 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0054231 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0536332 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0579212 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0578463 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0632316 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0584076 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.000649256 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.00861348 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0730862 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0578493 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.000649256 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0569941 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.00876792 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.00410974 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.226038 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0186004 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.226599 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0132121 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0109328 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.202752 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.22604 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0132121 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.23029 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.0350547 # DEPENDENCYPART_SIBL
