# _root_ Στην αρχή υπήρξαν , επίσης , προβλήματα στην κατανομή των πόρων του προγράμματος στις εθνικές υπηρεσίες .
#goldHeads=3,1,0,5,3,5,3,7,8,11,9,13,11,9,16,14,0,
#predictedHeads=3,1,0,5,3,5,3,3,8,11,9,13,11,9,16,14,0,
(11,4),-1.14502 # DEPENDENCYPART_ARC
(11,5),-1.12526 # DEPENDENCYPART_ARC
(11,6),-1.00339 # DEPENDENCYPART_ARC
(11,7),-2.03616 # DEPENDENCYPART_ARC
(11,9),-2.07864 # DEPENDENCYPART_ARC
(11,10),2.24764 # DEPENDENCYPART_ARC
(11,12),-0.576204 # DEPENDENCYPART_ARC
(11,13),0.567901 # DEPENDENCYPART_ARC
(11,14),-0.546194 # DEPENDENCYPART_ARC
(11,15),-0.647447 # DEPENDENCYPART_ARC
(11,16),-1.61185 # DEPENDENCYPART_ARC
(11,17),-0.548561 # DEPENDENCYPART_ARC
(12,13),-0.556574 # DEPENDENCYPART_ARC
(13,4),-1.00715 # DEPENDENCYPART_ARC
(13,5),-1.1559 # DEPENDENCYPART_ARC
(13,10),-1.17698 # DEPENDENCYPART_ARC
(13,11),-0.511261 # DEPENDENCYPART_ARC
(13,12),2.14793 # DEPENDENCYPART_ARC
(13,14),-0.0404725 # DEPENDENCYPART_ARC
(13,15),-0.431913 # DEPENDENCYPART_ARC
(13,16),-0.74349 # DEPENDENCYPART_ARC
(13,17),-0.359417 # DEPENDENCYPART_ARC
(14,15),1.06597 # DEPENDENCYPART_ARC
(14,16),1.7702 # DEPENDENCYPART_ARC
(14,17),-0.28991 # DEPENDENCYPART_ARC
(15,7),-1.42323 # DEPENDENCYPART_ARC
(15,12),-0.763984 # DEPENDENCYPART_ARC
(15,13),-1.13904 # DEPENDENCYPART_ARC
(15,16),-0.644855 # DEPENDENCYPART_ARC
(15,17),-0.600399 # DEPENDENCYPART_ARC
(16,3),-3.23809 # DEPENDENCYPART_ARC
(16,5),-0.805565 # DEPENDENCYPART_ARC
(16,10),-1.37448 # DEPENDENCYPART_ARC
(16,11),-0.564872 # DEPENDENCYPART_ARC
(16,12),-1.54542 # DEPENDENCYPART_ARC
(16,13),-0.849876 # DEPENDENCYPART_ARC
(16,14),-0.0477479 # DEPENDENCYPART_ARC
(16,15),2.57927 # DEPENDENCYPART_ARC
(16,17),-0.313297 # DEPENDENCYPART_ARC
(17,3),-1.89144 # DEPENDENCYPART_ARC
(17,7),-1.68976 # DEPENDENCYPART_ARC
(17,8),-1.65816 # DEPENDENCYPART_ARC
(17,14),-1.31216 # DEPENDENCYPART_ARC
(17,16),-1.07066 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0147044 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.369362 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.244331 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.107276 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.244331 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0163318 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0126195 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0146248 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0149736 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0678889 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0146246 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.518659 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.245115 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.00253157 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.026854 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.00253157 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0280562 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.149544 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.0289045 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.0284392 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.138026 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.0287971 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.22365 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.090504 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.118627 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.090504 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0278551 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0813942 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0272148 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0275636 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.105236 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0273216 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.151762 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0355009 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0210454 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.218607 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.00520159 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.219636 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.218879 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.00535222 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.219643 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.402918 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0693486 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.196053 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0935918 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.19619 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.195721 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.0471224 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.19608 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0552115 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.218607 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.00520159 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.219636 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.218879 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.00535222 # DEPENDENCYPART_SIBL
(0,6),(0,16),0.219643 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.402918 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.151559 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.0313958 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.0309306 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.140048 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.0312885 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.217957 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.022549 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0228978 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0705608 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0225487 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.517172 # DEPENDENCYPART_SIBL
(0,9),(0,11),0.0282885 # DEPENDENCYPART_SIBL
(0,9),(0,14),0.137443 # DEPENDENCYPART_SIBL
(0,9),(0,16),0.0286464 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.218545 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.136998 # DEPENDENCYPART_SIBL
(0,11),(0,16),0.0286156 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.220255 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0134257 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.519548 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.218542 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.193275 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0722522 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0722522 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0944247 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0944247 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00366511 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0154996 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0217981 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0330849 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0217981 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0568942 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0455352 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.023152 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.116774 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0586956 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.116774 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0173866 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0080276 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0282972 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0644308 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0387547 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0639326 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.00856141 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0394737 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0645505 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0473894 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0152778 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.00917709 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0639326 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.00856141 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0394737 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0249905 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0912676 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0836572 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0152992 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0189721 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00207599 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0189721 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0171332 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0196003 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0120903 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0125275 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0128149 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0142485 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00857694 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0226143 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00505707 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0158491 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00505707 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00768134 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0084787 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.00248585 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.00214147 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.00336089 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.00459223 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0141257 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0161938 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00298056 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.019737 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0034083 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0172835 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0043534 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.00408113 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.00408722 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.057219 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.00415719 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.109892 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0494509 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0468749 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00996885 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0465923 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0465517 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0465635 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0330199 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0461636 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.000466076 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0034083 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0172835 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0043534 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.00408113 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00408722 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.057219 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.00415719 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.109892 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0143868 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.227759 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.227796 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.228315 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0259433 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.228172 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.077366 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0183519 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0183503 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0184377 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0530811 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0185596 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0465285 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.229303 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.229821 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0215156 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.229679 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0741442 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.229816 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.021107 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.229674 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0757886 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0266561 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.229724 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0686169 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0078372 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.0608248 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.0667319 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0236978 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0275909 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0931685 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0152688 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.052908 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.273731 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0533929 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0612436 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0530121 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0273081 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0606688 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0608494 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0235136 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.216482 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0469841 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.217135 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.24025 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.216626 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0248568 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.167972 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0116117 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0499479 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0977269 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0507263 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0585815 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0505981 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0339828 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0324999 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0205894 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0255447 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0200952 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0200489 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.020096 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.00405625 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00302509 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0236922 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00320633 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00292534 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.00297441 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0678845 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.152877 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0410384 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0410797 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0415641 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0692682 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.00757167 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0075741 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.00760008 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0132552 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0437809 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0442654 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0692682 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.04748 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0660522 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.0692461 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0294519 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0506353 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.1332 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0205848 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0407689 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0916708 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0403152 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0403824 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0405759 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.00492629 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0644032 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.163524 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0369311 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00825454 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0342841 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00886782 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0138594 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.00848489 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0110663 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.159677 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0267059 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0156668 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00363305 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0149193 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0149845 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0149269 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0105498 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.360742 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0140588 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0441792 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.00958516 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.00937174 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0210047 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.172079 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00477287 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0555998 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.00495185 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.00453164 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.00472004 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.10783 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.00478753 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.143781 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.14388 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.144306 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0378281 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0244171 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0244777 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0244454 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0317917 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.146583 # DEPENDENCYPART_SIBL
