# _root_ Το πιο διάσημο τέκνο της Λέσβου , η Σαπφώ , θεωρήθηκε από πολλούς η πρώτη φεμινίστρια και μιά από τις καλύτερες λυρικές ποιήτριες των εποχών .
#goldHeads=4,3,4,7,6,4,11,9,7,7,0,11,12,16,16,17,11,17,18,23,23,23,19,25,23,0,
#predictedHeads=4,3,4,11,6,4,11,9,11,11,0,11,12,16,16,17,12,17,18,23,23,23,19,25,23,0,
(17,25),-0.870367 # DEPENDENCYPART_ARC
(17,26),-0.480902 # DEPENDENCYPART_ARC
(18,8),-3.13207 # DEPENDENCYPART_ARC
(18,13),-0.556793 # DEPENDENCYPART_ARC
(18,14),-1.59526 # DEPENDENCYPART_ARC
(18,15),-1.16144 # DEPENDENCYPART_ARC
(18,16),-1.2907 # DEPENDENCYPART_ARC
(18,17),0.0026733 # DEPENDENCYPART_ARC
(18,19),0.575795 # DEPENDENCYPART_ARC
(18,20),-1.21915 # DEPENDENCYPART_ARC
(18,21),-0.13375 # DEPENDENCYPART_ARC
(18,22),-0.416734 # DEPENDENCYPART_ARC
(18,23),-1.50675 # DEPENDENCYPART_ARC
(18,25),-0.726242 # DEPENDENCYPART_ARC
(19,16),-1.60792 # DEPENDENCYPART_ARC
(19,17),-0.718813 # DEPENDENCYPART_ARC
(19,18),-1.11422 # DEPENDENCYPART_ARC
(19,20),-0.0926848 # DEPENDENCYPART_ARC
(19,21),0.0523528 # DEPENDENCYPART_ARC
(19,22),-0.301994 # DEPENDENCYPART_ARC
(19,23),0.295084 # DEPENDENCYPART_ARC
(19,25),-0.414763 # DEPENDENCYPART_ARC
(21,16),-1.46472 # DEPENDENCYPART_ARC
(21,18),-1.0429 # DEPENDENCYPART_ARC
(21,19),-0.664069 # DEPENDENCYPART_ARC
(21,20),0.374179 # DEPENDENCYPART_ARC
(21,22),-0.843244 # DEPENDENCYPART_ARC
(21,23),-1.08883 # DEPENDENCYPART_ARC
(21,25),-0.840403 # DEPENDENCYPART_ARC
(22,16),-1.22549 # DEPENDENCYPART_ARC
(22,18),-0.701426 # DEPENDENCYPART_ARC
(22,19),-0.499948 # DEPENDENCYPART_ARC
(22,20),0.568398 # DEPENDENCYPART_ARC
(22,21),0.617645 # DEPENDENCYPART_ARC
(22,23),-0.587665 # DEPENDENCYPART_ARC
(22,25),-0.518094 # DEPENDENCYPART_ARC
(23,14),-1.02672 # DEPENDENCYPART_ARC
(23,16),-1.57041 # DEPENDENCYPART_ARC
(23,17),-0.255903 # DEPENDENCYPART_ARC
(23,18),-0.953663 # DEPENDENCYPART_ARC
(23,19),-0.855102 # DEPENDENCYPART_ARC
(23,20),1.92671 # DEPENDENCYPART_ARC
(23,21),2.44366 # DEPENDENCYPART_ARC
(23,22),2.64592 # DEPENDENCYPART_ARC
(23,24),-0.10123 # DEPENDENCYPART_ARC
(23,25),1.02201 # DEPENDENCYPART_ARC
(23,26),-0.260613 # DEPENDENCYPART_ARC
(25,20),-0.591581 # DEPENDENCYPART_ARC
(25,21),-0.661973 # DEPENDENCYPART_ARC
(25,22),-0.809412 # DEPENDENCYPART_ARC
(25,23),-1.55125 # DEPENDENCYPART_ARC
(25,24),2.31884 # DEPENDENCYPART_ARC
(25,26),-0.459097 # DEPENDENCYPART_ARC
(26,4),-1.95744 # DEPENDENCYPART_ARC
(26,9),-2.05883 # DEPENDENCYPART_ARC
(26,11),-1.80618 # DEPENDENCYPART_ARC
(26,23),-1.45475 # DEPENDENCYPART_ARC
(26,25),-1.1476 # DEPENDENCYPART_ARC
(0,2),(0,3),0.00365917 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.171692 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.171692 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0351172 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.171692 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.0351172 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.185228 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.0876522 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.00365917 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.00354767 # DEPENDENCYPART_SIBL
(0,2),(0,19),0.0876522 # DEPENDENCYPART_SIBL
(0,2),(0,23),0.171692 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.0780545 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.155511 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.155511 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0790452 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.155511 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0790452 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.249993 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.122841 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0153585 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.116729 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.122841 # DEPENDENCYPART_SIBL
(0,3),(0,23),0.155511 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.31303 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0287555 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.00172897 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0287555 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.00172897 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.239183 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.196231 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0254557 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.162869 # DEPENDENCYPART_SIBL
(0,4),(0,19),0.196231 # DEPENDENCYPART_SIBL
(0,4),(0,23),0.0287555 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.218542 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.00172897 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.0287555 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.00172897 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.239183 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.196231 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0254557 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.162869 # DEPENDENCYPART_SIBL
(0,6),(0,19),0.196231 # DEPENDENCYPART_SIBL
(0,6),(0,23),0.0287555 # DEPENDENCYPART_SIBL
(0,6),(0,26),-0.218542 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.219643 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0210454 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.210366 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.044571 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.00771071 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.030572 # DEPENDENCYPART_SIBL
(0,7),(0,19),0.044571 # DEPENDENCYPART_SIBL
(0,7),(0,23),0.219643 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.402918 # DEPENDENCYPART_SIBL
(0,9),(0,10),0.00172897 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.239183 # DEPENDENCYPART_SIBL
(0,9),(0,12),0.196231 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0254557 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.162869 # DEPENDENCYPART_SIBL
(0,9),(0,19),0.196231 # DEPENDENCYPART_SIBL
(0,9),(0,23),0.0287555 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.218542 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.210366 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.044571 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.00771071 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.030572 # DEPENDENCYPART_SIBL
(0,10),(0,19),0.044571 # DEPENDENCYPART_SIBL
(0,10),(0,23),0.219643 # DEPENDENCYPART_SIBL
(0,10),(0,26),-0.402918 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0519397 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.162284 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.355729 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.0519397 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.0184369 # DEPENDENCYPART_SIBL
(0,11),(0,26),-0.121042 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.152677 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.231308 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0202299 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.0169369 # DEPENDENCYPART_SIBL
(0,12),(0,26),-0.570266 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.116729 # DEPENDENCYPART_SIBL
(0,13),(0,19),0.122841 # DEPENDENCYPART_SIBL
(0,13),(0,23),0.155511 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.31303 # DEPENDENCYPART_SIBL
(0,17),(0,19),0.0293464 # DEPENDENCYPART_SIBL
(0,17),(0,23),6.64618e-05 # DEPENDENCYPART_SIBL
(0,17),(0,26),-0.0414874 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.0169369 # DEPENDENCYPART_SIBL
(0,19),(0,26),-0.570266 # DEPENDENCYPART_SIBL
(0,23),(0,26),-0.218542 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0180914 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0336345 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0714214 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0714214 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.00218593 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0351732 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0234724 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00539501 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00539501 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0124373 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0172434 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0130341 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0130341 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0314897 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.00896724 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0203858 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.00224069 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0762071 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.00224069 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0762071 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0160349 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0477584 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0672916 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0672916 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00916928 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00916928 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0127227 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0195509 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0195509 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0392492 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0392492 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.00886433 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.108488 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0469429 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0469429 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0331012 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0469429 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0469429 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0331012 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0217137 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.00574323 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.00574323 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0936374 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0710592 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0342416 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0502127 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0595737 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0502127 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0595737 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0572686 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0511008 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.00403549 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0511008 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0191428 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0115709 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0225354 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.012071 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0224022 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.012071 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0107455 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0353527 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.00236097 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0353527 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0459059 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00931857 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0183013 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.00931857 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0183013 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0121198 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.12624 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.00880384 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.12624 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0134078 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0320963 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0134078 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0320963 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.00444069 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0141763 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.05838 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0141763 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0398964 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.122205 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0398964 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00835845 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0352814 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.173872 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0352814 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0608782 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0173702 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0166589 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0221042 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.000719687 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0221042 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0398964 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.00835845 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0352814 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.173872 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0352814 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0166589 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0221042 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.000719687 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0221042 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.00647767 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0726282 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.00647767 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0798557 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.0462336 # DEPENDENCYPART_SIBL
(4,17),(4,19),0.00262189 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0272595 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0866448 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.012071 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0107455 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.018832 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0971456 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0120242 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.000152955 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.00740855 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.057489 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0405953 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.00323784 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0166589 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.00507862 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.00528776 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0200809 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0370501 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0370501 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0866016 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0170102 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0880488 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0766646 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0547513 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.11722 # DEPENDENCYPART_SIBL
(7,2),(7,21),0.0547513 # DEPENDENCYPART_SIBL
(7,2),(7,22),0.0547513 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.021302 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.021302 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.120492 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0671406 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0894987 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0674024 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.239077 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.12577 # DEPENDENCYPART_SIBL
(7,3),(7,21),0.237983 # DEPENDENCYPART_SIBL
(7,3),(7,22),0.239077 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.00371864 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.216411 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.024077 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0250001 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0719519 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.025001 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.152488 # DEPENDENCYPART_SIBL
(7,4),(7,21),0.0229577 # DEPENDENCYPART_SIBL
(7,4),(7,22),0.025001 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.216411 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.024077 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0250001 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0719519 # DEPENDENCYPART_SIBL
