# _root_ Χάρη στο Κοινοβούλιο , η οδηγία θα μπορέσει τελικά να καλύψει όλους τους οδηγούς όλων των κατηγοριών , αυτοαπασχολούμενους και μη .
#goldHeads=8,1,2,8,6,8,8,0,8,11,8,14,14,18,17,17,14,11,20,18,20,0,
#predictedHeads=8,1,2,8,6,8,8,0,8,11,8,14,14,11,17,17,14,20,20,14,20,0,
(3,8),-1.10653 # DEPENDENCYPART_ARC
(4,1),-0.91533 # DEPENDENCYPART_ARC
(4,2),-0.780907 # DEPENDENCYPART_ARC
(4,3),-0.371152 # DEPENDENCYPART_ARC
(4,6),-0.708697 # DEPENDENCYPART_ARC
(4,8),-1.00223 # DEPENDENCYPART_ARC
(4,9),-1.26138 # DEPENDENCYPART_ARC
(4,11),-1.38502 # DEPENDENCYPART_ARC
(4,12),-1.39771 # DEPENDENCYPART_ARC
(4,15),-1.41999 # DEPENDENCYPART_ARC
(4,19),-1.44566 # DEPENDENCYPART_ARC
(6,1),-1.09197 # DEPENDENCYPART_ARC
(6,3),-1.80076 # DEPENDENCYPART_ARC
(6,4),-0.559521 # DEPENDENCYPART_ARC
(6,5),2.59239 # DEPENDENCYPART_ARC
(6,8),-0.619929 # DEPENDENCYPART_ARC
(6,9),-0.578966 # DEPENDENCYPART_ARC
(6,11),-1.34306 # DEPENDENCYPART_ARC
(6,12),-1.72089 # DEPENDENCYPART_ARC
(6,14),-1.89012 # DEPENDENCYPART_ARC
(8,1),0.0975431 # DEPENDENCYPART_ARC
(8,2),-0.464658 # DEPENDENCYPART_ARC
(8,3),-0.973039 # DEPENDENCYPART_ARC
(8,4),0.205976 # DEPENDENCYPART_ARC
(8,5),-0.909683 # DEPENDENCYPART_ARC
(8,6),0.938928 # DEPENDENCYPART_ARC
(8,7),1.84495 # DEPENDENCYPART_ARC
(8,9),1.45265 # DEPENDENCYPART_ARC
(8,10),0.117085 # DEPENDENCYPART_ARC
(8,11),0.400425 # DEPENDENCYPART_ARC
(8,12),-0.779336 # DEPENDENCYPART_ARC
(8,14),-0.651489 # DEPENDENCYPART_ARC
(8,15),-1.93284 # DEPENDENCYPART_ARC
(8,17),-2.31021 # DEPENDENCYPART_ARC
(8,18),-0.0257461 # DEPENDENCYPART_ARC
(8,20),-0.483247 # DEPENDENCYPART_ARC
(8,22),-0.155803 # DEPENDENCYPART_ARC
(9,1),-0.702359 # DEPENDENCYPART_ARC
(9,2),-0.721788 # DEPENDENCYPART_ARC
(9,3),-1.15025 # DEPENDENCYPART_ARC
(9,4),-0.709781 # DEPENDENCYPART_ARC
(9,6),-1.03353 # DEPENDENCYPART_ARC
(9,8),-0.660603 # DEPENDENCYPART_ARC
(9,11),-0.494243 # DEPENDENCYPART_ARC
(9,12),-1.28162 # DEPENDENCYPART_ARC
(9,14),-1.47725 # DEPENDENCYPART_ARC
(9,17),-1.52691 # DEPENDENCYPART_ARC
(9,18),-0.92422 # DEPENDENCYPART_ARC
(10,11),-0.17426 # DEPENDENCYPART_ARC
(11,1),-0.641933 # DEPENDENCYPART_ARC
(11,2),-1.01914 # DEPENDENCYPART_ARC
(11,3),-1.68949 # DEPENDENCYPART_ARC
(11,4),-0.52746 # DEPENDENCYPART_ARC
(11,6),-0.00515103 # DEPENDENCYPART_ARC
(11,8),-1.65137 # DEPENDENCYPART_ARC
(11,9),0.0901972 # DEPENDENCYPART_ARC
(11,10),1.57549 # DEPENDENCYPART_ARC
(11,12),0.439178 # DEPENDENCYPART_ARC
(11,13),-0.727009 # DEPENDENCYPART_ARC
(11,14),0.282356 # DEPENDENCYPART_ARC
(11,15),-1.58647 # DEPENDENCYPART_ARC
(11,17),-1.99546 # DEPENDENCYPART_ARC
(11,18),-0.125055 # DEPENDENCYPART_ARC
(11,19),-1.56037 # DEPENDENCYPART_ARC
(11,20),-0.329234 # DEPENDENCYPART_ARC
(11,22),-0.291872 # DEPENDENCYPART_ARC
(12,9),-0.439222 # DEPENDENCYPART_ARC
(12,11),-0.998162 # DEPENDENCYPART_ARC
(12,13),-0.235699 # DEPENDENCYPART_ARC
(12,14),-1.1995 # DEPENDENCYPART_ARC
(12,15),-1.31951 # DEPENDENCYPART_ARC
(12,17),-0.564576 # DEPENDENCYPART_ARC
(12,18),-0.346841 # DEPENDENCYPART_ARC
(12,20),-0.285874 # DEPENDENCYPART_ARC
(12,22),-0.399937 # DEPENDENCYPART_ARC
(14,1),-1.07699 # DEPENDENCYPART_ARC
(14,5),-2.00256 # DEPENDENCYPART_ARC
(14,9),-0.893914 # DEPENDENCYPART_ARC
(14,12),1.35722 # DEPENDENCYPART_ARC
(14,13),2.18074 # DEPENDENCYPART_ARC
(14,15),0.193394 # DEPENDENCYPART_ARC
(14,16),-0.895271 # DEPENDENCYPART_ARC
(14,17),-0.0316986 # DEPENDENCYPART_ARC
(14,18),-0.415608 # DEPENDENCYPART_ARC
(14,19),-0.700456 # DEPENDENCYPART_ARC
(14,20),-0.534777 # DEPENDENCYPART_ARC
(14,22),-0.560192 # DEPENDENCYPART_ARC
(15,6),-1.92693 # DEPENDENCYPART_ARC
(15,13),0.968045 # DEPENDENCYPART_ARC
(15,14),-0.177135 # DEPENDENCYPART_ARC
(15,16),-0.174176 # DEPENDENCYPART_ARC
(15,17),-0.516878 # DEPENDENCYPART_ARC
(15,18),-0.298803 # DEPENDENCYPART_ARC
(15,20),-0.444628 # DEPENDENCYPART_ARC
(15,22),-0.473729 # DEPENDENCYPART_ARC
(17,12),-1.31511 # DEPENDENCYPART_ARC
(17,13),-1.45915 # DEPENDENCYPART_ARC
(17,14),-1.92239 # DEPENDENCYPART_ARC
(17,15),1.22085 # DEPENDENCYPART_ARC
(17,16),2.35122 # DEPENDENCYPART_ARC
(17,18),-0.487333 # DEPENDENCYPART_ARC
(17,19),-0.810688 # DEPENDENCYPART_ARC
(17,20),-0.788363 # DEPENDENCYPART_ARC
(18,3),-1.47981 # DEPENDENCYPART_ARC
(18,4),-0.94403 # DEPENDENCYPART_ARC
(18,8),-1.11903 # DEPENDENCYPART_ARC
(18,9),-0.849745 # DEPENDENCYPART_ARC
(18,11),-1.01997 # DEPENDENCYPART_ARC
(18,12),-1.08472 # DEPENDENCYPART_ARC
(18,14),-0.977541 # DEPENDENCYPART_ARC
(18,15),-0.927718 # DEPENDENCYPART_ARC
(18,17),-0.378638 # DEPENDENCYPART_ARC
(18,19),-0.386508 # DEPENDENCYPART_ARC
(18,20),-0.539865 # DEPENDENCYPART_ARC
(18,22),-0.400989 # DEPENDENCYPART_ARC
(19,14),-0.853628 # DEPENDENCYPART_ARC
(19,16),-0.324093 # DEPENDENCYPART_ARC
(19,17),-1.35384 # DEPENDENCYPART_ARC
(19,18),0.0134779 # DEPENDENCYPART_ARC
(19,20),0.00404091 # DEPENDENCYPART_ARC
(19,22),-0.403433 # DEPENDENCYPART_ARC
(20,1),-0.461448 # DEPENDENCYPART_ARC
(20,2),-0.867435 # DEPENDENCYPART_ARC
(20,3),-0.739972 # DEPENDENCYPART_ARC
(20,4),-0.452935 # DEPENDENCYPART_ARC
(20,6),-0.577244 # DEPENDENCYPART_ARC
(20,8),-0.443387 # DEPENDENCYPART_ARC
(20,9),-0.385654 # DEPENDENCYPART_ARC
(20,11),0.259253 # DEPENDENCYPART_ARC
(20,12),-0.728952 # DEPENDENCYPART_ARC
(20,14),-0.20977 # DEPENDENCYPART_ARC
(20,15),-0.395484 # DEPENDENCYPART_ARC
(20,16),-0.63366 # DEPENDENCYPART_ARC
(20,17),0.202636 # DEPENDENCYPART_ARC
(20,18),0.562447 # DEPENDENCYPART_ARC
(20,19),0.894467 # DEPENDENCYPART_ARC
(20,21),0.330433 # DEPENDENCYPART_ARC
(20,22),0.104776 # DEPENDENCYPART_ARC
(21,22),0.126905 # DEPENDENCYPART_ARC
(22,8),-1.76379 # DEPENDENCYPART_ARC
(22,15),-1.75021 # DEPENDENCYPART_ARC
(22,17),-1.68458 # DEPENDENCYPART_ARC
(22,19),-1.57836 # DEPENDENCYPART_ARC
(22,20),-1.09015 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0579344 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.181121 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0378258 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.187198 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.183575 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0217518 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.183551 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.00994366 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.00591819 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0378258 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.00994458 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.00780103 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0765052 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0233285 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.232627 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0188614 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.358979 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.111886 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.358833 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.146501 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.150527 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.232627 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.1465 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.227154 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.493736 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0290551 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0160038 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.250822 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.0128115 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.249507 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0330748 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0436952 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0290551 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0330399 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.168422 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.245505 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.218793 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.210396 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0347637 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.210366 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0077119 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0117439 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0210454 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.00771071 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.030572 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.402918 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.243797 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.0193573 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.242482 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0282267 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0388471 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.00651862 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0281917 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.165437 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.2276 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.12137 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.609985 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.165213 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.169201 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0759943 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.165174 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.358619 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.131261 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.181512 # DEPENDENCYPART_SIBL
(0,9),(0,12),0.00993358 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.00590811 # DEPENDENCYPART_SIBL
(0,9),(0,18),0.0413342 # DEPENDENCYPART_SIBL
(0,9),(0,19),0.0099345 # DEPENDENCYPART_SIBL
(0,9),(0,20),0.00544922 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.0747712 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.162332 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.166321 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0685881 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.162293 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.355748 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.121077 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0174499 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0795727 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0134235 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.124815 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.313299 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.102442 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0250342 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.125751 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.336161 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.00771071 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.030572 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.402918 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.116729 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.31303 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.0414874 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0248023 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0386302 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0203984 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0187603 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0152653 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0186109 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.000219011 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.151643 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0341992 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0139155 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0328808 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00425091 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.000574925 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0144182 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.000535901 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0332579 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0138798 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0319394 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0262081 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.119822 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0217909 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0268031 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0299616 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0107657 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.153201 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.543115 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00363436 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0181895 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0236682 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0186323 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.000613452 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00559897 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.05101 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0484277 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.04553 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0405119 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00248936 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0722878 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.013906 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00502948 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0353474 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.00777791 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00727657 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.039341 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.100132 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0884256 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.10578 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0870133 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0490642 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.052632 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0526544 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0314024 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0853782 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.051657 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.115264 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0526807 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.05215 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0521475 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0521645 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.218496 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.025846 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0565717 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0283301 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0208835 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.02088 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.021919 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0513249 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0750209 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0528062 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0680247 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0654476 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0680646 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0152655 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.135777 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0138671 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0139031 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.0139112 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0093358 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.00179877 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.00179749 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.00180441 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0138671 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0139031 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0139112 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0336282 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.0336351 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.0310137 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.033001 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0069554 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.126763 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0187912 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.00718725 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0179711 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0208718 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0035758 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0105912 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.160226 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.00961156 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0228551 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0125187 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00964834 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.00665973 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.123325 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.000616816 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.00270035 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0192309 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0350852 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.00874528 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0230318 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0680565 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0255781 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0678998 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0805481 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0521111 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0829176 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.00433176 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0195121 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0115373 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0106146 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.0391859 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.00433176 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.0195555 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0386326 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0138172 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0215496 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.00954128 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0248946 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0267022 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.11088 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.00472263 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.00357309 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0163005 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.028242 # DEPENDENCYPART_SIBL
(8,1),(8,14),0.0119782 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.0224549 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.0112254 # DEPENDENCYPART_SIBL
(8,1),(8,18),0.0222521 # DEPENDENCYPART_SIBL
(8,1),(8,20),-0.00714674 # DEPENDENCYPART_SIBL
(8,1),(8,22),-0.0394244 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.009328 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0152862 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0460949 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0164398 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.147134 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0121197 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.00690254 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0181921 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.00049737 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.0229211 # DEPENDENCYPART_SIBL
(8,2),(8,15),9.9679e-05 # DEPENDENCYPART_SIBL
(8,2),(8,17),0.00760767 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.00337797 # DEPENDENCYPART_SIBL
(8,2),(8,20),-0.00792431 # DEPENDENCYPART_SIBL
(8,2),(8,22),-0.033391 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.039793 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0841185 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.172118 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0260637 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0217857 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0415547 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0196961 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0312533 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.0201425 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.0318805 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.00206387 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.00615301 # DEPENDENCYPART_SIBL
(8,3),(8,20),0.00281764 # DEPENDENCYPART_SIBL
(8,3),(8,22),-0.00567937 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0259149 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0272924 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.029879 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0282024 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0119788 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.00572391 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0372185 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.0440389 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0286454 # DEPENDENCYPART_SIBL
