# _root_ Η εταιρεία αυτή στη Black Country στο Ηνωμένο Βασίλειο απασχολεί 80 άτομα , δηλαδή 80 θέσεις εργασίες για τις οποίες υπάρχει μεγάλη ανάγκη , και συμμορφώνεται με όλες τις κοινωνικές προδιαγραφές της νομοθεσίας του Ηνωμένου Βασιλείου .
#goldHeads=2,10,2,2,6,4,6,9,7,25,12,14,14,10,16,14,16,21,20,18,16,23,21,25,0,25,26,31,31,31,27,33,31,36,36,33,0,
#predictedHeads=2,10,2,2,6,4,2,9,7,0,12,10,14,10,16,17,10,21,20,18,25,23,21,25,0,25,26,31,31,31,27,33,31,36,36,33,0,
(12,8),-0.290076 # DEPENDENCYPART_ARC
(12,9),-0.71071 # DEPENDENCYPART_ARC
(12,10),-1.34331 # DEPENDENCYPART_ARC
(12,11),1.73365 # DEPENDENCYPART_ARC
(12,13),-0.00580293 # DEPENDENCYPART_ARC
(12,14),-0.368237 # DEPENDENCYPART_ARC
(12,15),-0.457631 # DEPENDENCYPART_ARC
(12,16),-1.50463 # DEPENDENCYPART_ARC
(12,17),-1.66476 # DEPENDENCYPART_ARC
(12,18),-0.656123 # DEPENDENCYPART_ARC
(12,21),-1.00729 # DEPENDENCYPART_ARC
(13,2),-1.37672 # DEPENDENCYPART_ARC
(13,4),-1.03514 # DEPENDENCYPART_ARC
(13,7),-0.897073 # DEPENDENCYPART_ARC
(13,8),-1.29005 # DEPENDENCYPART_ARC
(13,9),-1.14867 # DEPENDENCYPART_ARC
(13,11),-0.640365 # DEPENDENCYPART_ARC
(13,12),-0.443624 # DEPENDENCYPART_ARC
(13,14),-0.552007 # DEPENDENCYPART_ARC
(13,15),-0.711642 # DEPENDENCYPART_ARC
(13,16),-0.967011 # DEPENDENCYPART_ARC
(13,17),-1.08024 # DEPENDENCYPART_ARC
(13,22),-1.50021 # DEPENDENCYPART_ARC
(13,23),-1.61032 # DEPENDENCYPART_ARC
(13,28),-1.44309 # DEPENDENCYPART_ARC
(13,36),-1.74597 # DEPENDENCYPART_ARC
(14,3),-1.59986 # DEPENDENCYPART_ARC
(14,7),-0.447273 # DEPENDENCYPART_ARC
(14,11),-0.440988 # DEPENDENCYPART_ARC
(14,12),-0.440427 # DEPENDENCYPART_ARC
(14,13),0.50213 # DEPENDENCYPART_ARC
(14,15),0.0280455 # DEPENDENCYPART_ARC
(14,16),-0.413889 # DEPENDENCYPART_ARC
(14,17),-0.893416 # DEPENDENCYPART_ARC
(14,18),-0.556143 # DEPENDENCYPART_ARC
(14,21),-0.933175 # DEPENDENCYPART_ARC
(14,24),-0.72704 # DEPENDENCYPART_ARC
(14,25),-0.464526 # DEPENDENCYPART_ARC
(14,26),-1.26984 # DEPENDENCYPART_ARC
(15,13),-0.249075 # DEPENDENCYPART_ARC
(15,14),0.669654 # DEPENDENCYPART_ARC
(15,16),-0.263181 # DEPENDENCYPART_ARC
(15,17),-0.687762 # DEPENDENCYPART_ARC
(16,12),-1.13738 # DEPENDENCYPART_ARC
(16,13),-0.627471 # DEPENDENCYPART_ARC
(16,14),0.0273148 # DEPENDENCYPART_ARC
(16,15),1.41748 # DEPENDENCYPART_ARC
(16,17),0.238636 # DEPENDENCYPART_ARC
(16,18),0.367993 # DEPENDENCYPART_ARC
(16,21),-0.215221 # DEPENDENCYPART_ARC
(16,22),-0.8474 # DEPENDENCYPART_ARC
(16,23),-1.77234 # DEPENDENCYPART_ARC
(16,25),-0.376912 # DEPENDENCYPART_ARC
(16,26),-1.05463 # DEPENDENCYPART_ARC
(17,12),-1.15248 # DEPENDENCYPART_ARC
(17,13),-0.827175 # DEPENDENCYPART_ARC
(17,14),-0.607967 # DEPENDENCYPART_ARC
(17,15),0.529169 # DEPENDENCYPART_ARC
(17,16),0.723297 # DEPENDENCYPART_ARC
(17,18),0.769464 # DEPENDENCYPART_ARC
(17,19),-1.00637 # DEPENDENCYPART_ARC
(17,20),-1.07973 # DEPENDENCYPART_ARC
(17,21),-0.336524 # DEPENDENCYPART_ARC
(17,22),-0.965034 # DEPENDENCYPART_ARC
(17,26),-1.30685 # DEPENDENCYPART_ARC
(17,27),-0.860005 # DEPENDENCYPART_ARC
(18,17),-0.947731 # DEPENDENCYPART_ARC
(18,19),-0.155186 # DEPENDENCYPART_ARC
(18,20),0.847484 # DEPENDENCYPART_ARC
(18,21),-0.674328 # DEPENDENCYPART_ARC
(18,22),-0.841233 # DEPENDENCYPART_ARC
(18,23),-0.290163 # DEPENDENCYPART_ARC
(18,24),-0.721653 # DEPENDENCYPART_ARC
(18,25),-0.605956 # DEPENDENCYPART_ARC
(20,19),2.58375 # DEPENDENCYPART_ARC
(20,21),-1.02998 # DEPENDENCYPART_ARC
(20,22),-1.31518 # DEPENDENCYPART_ARC
(21,2),-0.46964 # DEPENDENCYPART_ARC
(21,3),-1.30353 # DEPENDENCYPART_ARC
(21,4),-0.833526 # DEPENDENCYPART_ARC
(21,7),-0.733835 # DEPENDENCYPART_ARC
(21,8),-1.56864 # DEPENDENCYPART_ARC
(21,9),-1.40163 # DEPENDENCYPART_ARC
(21,10),-0.955363 # DEPENDENCYPART_ARC
(21,11),-0.618697 # DEPENDENCYPART_ARC
(21,12),-1.47589 # DEPENDENCYPART_ARC
(21,13),0.165079 # DEPENDENCYPART_ARC
(21,14),-0.0935484 # DEPENDENCYPART_ARC
(21,15),-0.561971 # DEPENDENCYPART_ARC
(21,16),-0.991132 # DEPENDENCYPART_ARC
(21,17),-0.997231 # DEPENDENCYPART_ARC
(21,18),0.206983 # DEPENDENCYPART_ARC
(21,19),-1.06264 # DEPENDENCYPART_ARC
(21,20),1.08232 # DEPENDENCYPART_ARC
(21,22),0.8255 # DEPENDENCYPART_ARC
(21,23),1.50028 # DEPENDENCYPART_ARC
(21,24),0.259375 # DEPENDENCYPART_ARC
(21,25),-0.0571442 # DEPENDENCYPART_ARC
(21,26),-0.893572 # DEPENDENCYPART_ARC
(21,27),-0.650034 # DEPENDENCYPART_ARC
(21,28),-1.66584 # DEPENDENCYPART_ARC
(21,31),-0.887073 # DEPENDENCYPART_ARC
(21,33),-2.56254 # DEPENDENCYPART_ARC
(21,36),-2.74487 # DEPENDENCYPART_ARC
(22,19),-0.0336292 # DEPENDENCYPART_ARC
(22,20),-0.273451 # DEPENDENCYPART_ARC
(22,21),-1.68696 # DEPENDENCYPART_ARC
(22,23),-1.05449 # DEPENDENCYPART_ARC
(22,24),-0.758589 # DEPENDENCYPART_ARC
(22,25),-0.590178 # DEPENDENCYPART_ARC
(22,26),-1.34181 # DEPENDENCYPART_ARC
(22,27),-1.00858 # DEPENDENCYPART_ARC
(22,31),-2.36987 # DEPENDENCYPART_ARC
(23,16),-2.02669 # DEPENDENCYPART_ARC
(23,18),-0.972258 # DEPENDENCYPART_ARC
(23,19),-0.243692 # DEPENDENCYPART_ARC
(23,20),-0.285273 # DEPENDENCYPART_ARC
(23,21),-1.9183 # DEPENDENCYPART_ARC
(23,22),2.31053 # DEPENDENCYPART_ARC
(23,24),-0.165384 # DEPENDENCYPART_ARC
(23,25),-0.516557 # DEPENDENCYPART_ARC
(23,26),-0.864609 # DEPENDENCYPART_ARC
(23,27),-0.93445 # DEPENDENCYPART_ARC
(23,28),-1.98404 # DEPENDENCYPART_ARC
(24,2),-1.67561 # DEPENDENCYPART_ARC
(24,22),-0.876026 # DEPENDENCYPART_ARC
(24,23),-0.455739 # DEPENDENCYPART_ARC
(24,26),-1.20847 # DEPENDENCYPART_ARC
(24,28),-1.5683 # DEPENDENCYPART_ARC
(24,31),-1.90126 # DEPENDENCYPART_ARC
(24,36),-1.95165 # DEPENDENCYPART_ARC
(25,2),-1.33499 # DEPENDENCYPART_ARC
(25,4),-0.974155 # DEPENDENCYPART_ARC
(25,7),-1.06875 # DEPENDENCYPART_ARC
(25,8),-1.49394 # DEPENDENCYPART_ARC
(25,9),-0.768155 # DEPENDENCYPART_ARC
(25,10),-0.176744 # DEPENDENCYPART_ARC
(25,12),-0.956127 # DEPENDENCYPART_ARC
(25,13),-0.673682 # DEPENDENCYPART_ARC
(25,14),-0.467691 # DEPENDENCYPART_ARC
(25,16),-0.714683 # DEPENDENCYPART_ARC
(25,17),-0.600863 # DEPENDENCYPART_ARC
(25,18),-0.563012 # DEPENDENCYPART_ARC
(25,19),-0.909967 # DEPENDENCYPART_ARC
(25,20),-0.0996486 # DEPENDENCYPART_ARC
(25,21),0.404269 # DEPENDENCYPART_ARC
(25,22),-0.172434 # DEPENDENCYPART_ARC
(25,23),0.126891 # DEPENDENCYPART_ARC
(25,24),0.964507 # DEPENDENCYPART_ARC
(25,26),1.76146 # DEPENDENCYPART_ARC
(25,27),-0.11045 # DEPENDENCYPART_ARC
(25,28),-0.435975 # DEPENDENCYPART_ARC
(25,30),-0.578272 # DEPENDENCYPART_ARC
(25,31),-1.2385 # DEPENDENCYPART_ARC
(25,33),-1.48726 # DEPENDENCYPART_ARC
(26,2),-0.775691 # DEPENDENCYPART_ARC
(26,3),-1.66945 # DEPENDENCYPART_ARC
(26,4),-1.20613 # DEPENDENCYPART_ARC
(26,7),-1.06216 # DEPENDENCYPART_ARC
(26,8),-1.37647 # DEPENDENCYPART_ARC
(26,10),-1.74121 # DEPENDENCYPART_ARC
(26,11),-0.903613 # DEPENDENCYPART_ARC
(26,12),-1.97649 # DEPENDENCYPART_ARC
(26,13),-0.577902 # DEPENDENCYPART_ARC
(26,14),-0.391933 # DEPENDENCYPART_ARC
(26,15),-0.887287 # DEPENDENCYPART_ARC
(26,16),-1.54722 # DEPENDENCYPART_ARC
(26,17),-1.59229 # DEPENDENCYPART_ARC
(26,18),-0.872866 # DEPENDENCYPART_ARC
(26,20),-0.762513 # DEPENDENCYPART_ARC
(26,22),-0.652844 # DEPENDENCYPART_ARC
(26,23),0.039183 # DEPENDENCYPART_ARC
(26,24),0.256413 # DEPENDENCYPART_ARC
(26,25),0.048637 # DEPENDENCYPART_ARC
(26,27),1.54366 # DEPENDENCYPART_ARC
(26,28),-0.0108932 # DEPENDENCYPART_ARC
(26,30),-0.778788 # DEPENDENCYPART_ARC
(26,31),-0.354407 # DEPENDENCYPART_ARC
(26,33),-1.96078 # DEPENDENCYPART_ARC
(26,36),-2.04636 # DEPENDENCYPART_ARC
(27,24),-0.548953 # DEPENDENCYPART_ARC
(27,28),0.672547 # DEPENDENCYPART_ARC
(27,30),-0.411703 # DEPENDENCYPART_ARC
(27,31),0.35188 # DEPENDENCYPART_ARC
(27,33),-0.491194 # DEPENDENCYPART_ARC
(27,36),-0.771807 # DEPENDENCYPART_ARC
(28,23),-1.91004 # DEPENDENCYPART_ARC
(28,27),-0.461958 # DEPENDENCYPART_ARC
(28,29),-0.359659 # DEPENDENCYPART_ARC
(28,30),-1.57418 # DEPENDENCYPART_ARC
(28,31),-1.36985 # DEPENDENCYPART_ARC
(28,33),-0.325629 # DEPENDENCYPART_ARC
(30,27),-0.837866 # DEPENDENCYPART_ARC
(30,28),-0.517508 # DEPENDENCYPART_ARC
(30,29),0.725173 # DEPENDENCYPART_ARC
(30,31),-0.697167 # DEPENDENCYPART_ARC
(30,33),-0.330397 # DEPENDENCYPART_ARC
(31,27),-1.03704 # DEPENDENCYPART_ARC
(31,28),0.917635 # DEPENDENCYPART_ARC
(31,29),2.58117 # DEPENDENCYPART_ARC
(31,30),2.88822 # DEPENDENCYPART_ARC
(31,32),-0.113686 # DEPENDENCYPART_ARC
(31,33),1.30791 # DEPENDENCYPART_ARC
(31,35),-0.92485 # DEPENDENCYPART_ARC
(31,36),0.0892832 # DEPENDENCYPART_ARC
(33,28),-1.90403 # DEPENDENCYPART_ARC
(33,29),-1.75843 # DEPENDENCYPART_ARC
(33,30),-1.62066 # DEPENDENCYPART_ARC
(33,31),-2.41803 # DEPENDENCYPART_ARC
(33,32),2.13447 # DEPENDENCYPART_ARC
(33,34),-0.0863892 # DEPENDENCYPART_ARC
(33,35),-0.228777 # DEPENDENCYPART_ARC
(33,36),0.34388 # DEPENDENCYPART_ARC
(35,32),-1.26903 # DEPENDENCYPART_ARC
(35,33),-1.96415 # DEPENDENCYPART_ARC
(35,34),0.314214 # DEPENDENCYPART_ARC
(35,36),0.150144 # DEPENDENCYPART_ARC
(36,32),-0.330283 # DEPENDENCYPART_ARC
(36,34),2.15575 # DEPENDENCYPART_ARC
(36,35),2.23407 # DEPENDENCYPART_ARC
(37,33),-1.52356 # DEPENDENCYPART_ARC
(37,35),-1.20013 # DEPENDENCYPART_ARC
(37,36),-0.880282 # DEPENDENCYPART_ARC
(0,2),(0,3),0.000283771 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.115658 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.00386765 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.00386765 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0265842 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.240311 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0150514 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.00162401 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0150514 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.250239 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.00162401 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.163997 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.240311 # DEPENDENCYPART_SIBL
(0,2),(0,37),-0.221902 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0232312 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0314441 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0314441 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0220273 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.252903 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0472476 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0634447 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0472476 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.263762 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.0634447 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.0825229 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.252903 # DEPENDENCYPART_SIBL
(0,3),(0,37),-0.217093 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.106813 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.106813 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.140807 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.357654 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.145019 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.235498 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.145019 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.366277 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.235498 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.196622 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.357654 # DEPENDENCYPART_SIBL
(0,4),(0,37),-0.511526 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0317068 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0280914 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.226407 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0419421 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0442776 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0419421 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.23454 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.0442776 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.134654 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.226407 # DEPENDENCYPART_SIBL
(0,5),(0,37),-0.238715 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0280914 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.226407 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0419421 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0442776 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0419421 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.23454 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.0442776 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.134654 # DEPENDENCYPART_SIBL
(0,6),(0,26),-0.226407 # DEPENDENCYPART_SIBL
(0,6),(0,37),-0.238715 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.249993 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.039158 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0790453 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.039158 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.25812 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.0790453 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.116729 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.249993 # DEPENDENCYPART_SIBL
(0,8),(0,37),-0.31303 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.175829 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.068561 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.175829 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.625276 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.068561 # DEPENDENCYPART_SIBL
(0,10),(0,25),-0.355729 # DEPENDENCYPART_SIBL
(0,10),(0,26),-0.605928 # DEPENDENCYPART_SIBL
(0,10),(0,37),-0.121042 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.0272495 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.000211613 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.184305 # DEPENDENCYPART_SIBL
(0,11),(0,24),0.0272495 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.0190413 # DEPENDENCYPART_SIBL
(0,11),(0,26),-0.176179 # DEPENDENCYPART_SIBL
(0,11),(0,37),-0.108791 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0277212 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.219502 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.0210454 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.030572 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.210366 # DEPENDENCYPART_SIBL
(0,13),(0,37),-0.402918 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.184305 # DEPENDENCYPART_SIBL
(0,15),(0,24),0.0272495 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.0190413 # DEPENDENCYPART_SIBL
(0,15),(0,26),-0.176179 # DEPENDENCYPART_SIBL
(0,15),(0,37),-0.108791 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.0386485 # DEPENDENCYPART_SIBL
(0,21),(0,25),-0.344005 # DEPENDENCYPART_SIBL
(0,21),(0,26),-0.593534 # DEPENDENCYPART_SIBL
(0,21),(0,37),-0.0764845 # DEPENDENCYPART_SIBL
(0,24),(0,25),-0.030572 # DEPENDENCYPART_SIBL
(0,24),(0,26),-0.210366 # DEPENDENCYPART_SIBL
(0,24),(0,37),-0.402918 # DEPENDENCYPART_SIBL
(0,25),(0,26),-0.297346 # DEPENDENCYPART_SIBL
(0,25),(0,37),-0.0414874 # DEPENDENCYPART_SIBL
(0,26),(0,37),-0.121042 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.244843 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0153948 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.144056 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.144056 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0532689 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00058101 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0133817 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0182759 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.00728931 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0578141 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.0166376 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0213299 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0681246 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0681246 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00090472 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0347846 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0965872 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0498262 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0211617 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.013639 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.110714 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0226568 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0226568 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0473724 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.00939148 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0316498 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.00989956 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0250198 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0663584 # DEPENDENCYPART_SIBL
(2,4),(2,25),-0.0528298 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0744412 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0237195 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0141773 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00561566 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.00169722 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0133641 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0124862 # DEPENDENCYPART_SIBL
(2,5),(2,25),-0.101782 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0237195 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0141773 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.00561566 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.00169722 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0133641 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0124862 # DEPENDENCYPART_SIBL
(2,6),(2,25),-0.101782 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0303733 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0106361 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.00416712 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0283534 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0259082 # DEPENDENCYPART_SIBL
(2,7),(2,25),-0.104157 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0322292 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0161488 # DEPENDENCYPART_SIBL
