# _root_ Κύριε Πρόεδρε , στο πλαίσιο της προπαρασκευαστικής συζήτησης για την εκλογή του Προέδρου του Κοινοβουλίου , μου δόθηκε η ευκαιρία να διατυπώσω τις προσδοκίες που είχα από τον νέο Πρόεδρο .
#goldHeads=2,0,4,18,4,8,8,5,8,11,9,13,11,15,13,4,18,0,20,18,22,20,24,22,26,24,26,30,30,27,0,
#predictedHeads=2,0,2,18,4,8,8,5,8,11,9,13,11,15,13,18,18,0,20,18,22,20,24,22,26,24,26,30,30,27,0,
(5,26),-1.36461 # DEPENDENCYPART_ARC
(7,1),-1.16434 # DEPENDENCYPART_ARC
(7,2),-1.11454 # DEPENDENCYPART_ARC
(7,6),0.1343 # DEPENDENCYPART_ARC
(7,8),0.00732377 # DEPENDENCYPART_ARC
(7,9),-0.252169 # DEPENDENCYPART_ARC
(7,11),-2.06211 # DEPENDENCYPART_ARC
(8,1),-1.40173 # DEPENDENCYPART_ARC
(8,2),-1.52686 # DEPENDENCYPART_ARC
(8,3),-0.831317 # DEPENDENCYPART_ARC
(8,5),-1.99173 # DEPENDENCYPART_ARC
(8,6),1.73548 # DEPENDENCYPART_ARC
(8,7),1.97547 # DEPENDENCYPART_ARC
(8,9),0.596839 # DEPENDENCYPART_ARC
(8,10),-0.696782 # DEPENDENCYPART_ARC
(8,11),-0.847321 # DEPENDENCYPART_ARC
(8,13),-0.720647 # DEPENDENCYPART_ARC
(8,15),-1.05469 # DEPENDENCYPART_ARC
(8,18),-0.915092 # DEPENDENCYPART_ARC
(8,22),-1.16919 # DEPENDENCYPART_ARC
(8,26),-1.14528 # DEPENDENCYPART_ARC
(8,27),-0.994978 # DEPENDENCYPART_ARC
(9,8),-1.10456 # DEPENDENCYPART_ARC
(9,10),-0.209267 # DEPENDENCYPART_ARC
(9,11),1.14527 # DEPENDENCYPART_ARC
(9,13),-0.265927 # DEPENDENCYPART_ARC
(9,15),-1.04207 # DEPENDENCYPART_ARC
(9,16),-0.710226 # DEPENDENCYPART_ARC
(11,6),-0.395681 # DEPENDENCYPART_ARC
(11,7),-0.434388 # DEPENDENCYPART_ARC
(11,10),2.33584 # DEPENDENCYPART_ARC
(11,12),0.0758058 # DEPENDENCYPART_ARC
(11,13),1.17307 # DEPENDENCYPART_ARC
(11,15),0.351963 # DEPENDENCYPART_ARC
(11,16),-0.334629 # DEPENDENCYPART_ARC
(11,18),-0.39386 # DEPENDENCYPART_ARC
(11,20),-2.03566 # DEPENDENCYPART_ARC
(11,22),-0.912751 # DEPENDENCYPART_ARC
(11,24),-2.32329 # DEPENDENCYPART_ARC
(11,26),-1.02712 # DEPENDENCYPART_ARC
(11,27),-0.869756 # DEPENDENCYPART_ARC
(13,6),-1.3706 # DEPENDENCYPART_ARC
(13,7),-1.31889 # DEPENDENCYPART_ARC
(13,10),-1.33152 # DEPENDENCYPART_ARC
(13,12),2.18789 # DEPENDENCYPART_ARC
(13,14),-0.302396 # DEPENDENCYPART_ARC
(13,15),0.743083 # DEPENDENCYPART_ARC
(13,16),-0.361413 # DEPENDENCYPART_ARC
(13,18),-0.50852 # DEPENDENCYPART_ARC
(13,20),-1.73991 # DEPENDENCYPART_ARC
(13,22),-1.10131 # DEPENDENCYPART_ARC
(13,24),-2.2755 # DEPENDENCYPART_ARC
(13,26),-1.10035 # DEPENDENCYPART_ARC
(13,27),-1.01959 # DEPENDENCYPART_ARC
(15,6),-2.45807 # DEPENDENCYPART_ARC
(15,10),-2.491 # DEPENDENCYPART_ARC
(15,12),-0.580739 # DEPENDENCYPART_ARC
(15,13),0.114434 # DEPENDENCYPART_ARC
(15,14),2.06076 # DEPENDENCYPART_ARC
(15,16),-0.531835 # DEPENDENCYPART_ARC
(15,18),-0.790712 # DEPENDENCYPART_ARC
(15,20),-1.4737 # DEPENDENCYPART_ARC
(15,22),-1.39215 # DEPENDENCYPART_ARC
(16,1),-1.30604 # DEPENDENCYPART_ARC
(16,2),-1.21193 # DEPENDENCYPART_ARC
(16,3),-1.1551 # DEPENDENCYPART_ARC
(16,5),-1.25178 # DEPENDENCYPART_ARC
(16,8),-1.15124 # DEPENDENCYPART_ARC
(16,9),-0.670075 # DEPENDENCYPART_ARC
(16,11),-1.22429 # DEPENDENCYPART_ARC
(16,13),-1.00236 # DEPENDENCYPART_ARC
(16,15),-0.561641 # DEPENDENCYPART_ARC
(16,18),-1.00887 # DEPENDENCYPART_ARC
(16,20),-1.45445 # DEPENDENCYPART_ARC
(16,22),-1.39558 # DEPENDENCYPART_ARC
(16,24),-1.78216 # DEPENDENCYPART_ARC
(17,20),-1.78817 # DEPENDENCYPART_ARC
(18,1),-0.969035 # DEPENDENCYPART_ARC
(18,2),-1.03672 # DEPENDENCYPART_ARC
(18,3),-0.234119 # DEPENDENCYPART_ARC
(18,4),-0.366958 # DEPENDENCYPART_ARC
(18,5),-1.46975 # DEPENDENCYPART_ARC
(18,7),-2.25659 # DEPENDENCYPART_ARC
(18,8),-1.75205 # DEPENDENCYPART_ARC
(18,9),-0.34825 # DEPENDENCYPART_ARC
(18,11),-0.816778 # DEPENDENCYPART_ARC
(18,13),-1.69838 # DEPENDENCYPART_ARC
(18,14),-1.75331 # DEPENDENCYPART_ARC
(18,15),-1.59881 # DEPENDENCYPART_ARC
(18,16),0.76398 # DEPENDENCYPART_ARC
(18,17),1.64181 # DEPENDENCYPART_ARC
(18,19),-0.96955 # DEPENDENCYPART_ARC
(18,20),1.28224 # DEPENDENCYPART_ARC
(18,21),-0.430672 # DEPENDENCYPART_ARC
(18,22),0.175214 # DEPENDENCYPART_ARC
(18,24),-1.8033 # DEPENDENCYPART_ARC
(18,26),-1.68692 # DEPENDENCYPART_ARC
(18,27),-0.446861 # DEPENDENCYPART_ARC
(18,30),-2.08059 # DEPENDENCYPART_ARC
(20,14),-2.2095 # DEPENDENCYPART_ARC
(20,19),2.58855 # DEPENDENCYPART_ARC
(20,21),-0.0905523 # DEPENDENCYPART_ARC
(20,22),0.0739073 # DEPENDENCYPART_ARC
(20,24),-1.14133 # DEPENDENCYPART_ARC
(20,26),-0.591063 # DEPENDENCYPART_ARC
(20,27),-0.791792 # DEPENDENCYPART_ARC
(20,30),-1.96283 # DEPENDENCYPART_ARC
(21,22),-0.0922781 # DEPENDENCYPART_ARC
(21,24),-1.03638 # DEPENDENCYPART_ARC
(22,1),-1.51185 # DEPENDENCYPART_ARC
(22,2),-1.55334 # DEPENDENCYPART_ARC
(22,3),-0.729719 # DEPENDENCYPART_ARC
(22,4),-0.811139 # DEPENDENCYPART_ARC
(22,5),-1.81558 # DEPENDENCYPART_ARC
(22,7),-3.00806 # DEPENDENCYPART_ARC
(22,8),-2.02904 # DEPENDENCYPART_ARC
(22,9),-0.875671 # DEPENDENCYPART_ARC
(22,11),-1.2267 # DEPENDENCYPART_ARC
(22,13),-2.19399 # DEPENDENCYPART_ARC
(22,15),-2.14479 # DEPENDENCYPART_ARC
(22,16),-0.338665 # DEPENDENCYPART_ARC
(22,17),-1.04406 # DEPENDENCYPART_ARC
(22,18),-2.59099 # DEPENDENCYPART_ARC
(22,19),-1.14669 # DEPENDENCYPART_ARC
(22,20),0.38153 # DEPENDENCYPART_ARC
(22,21),1.76555 # DEPENDENCYPART_ARC
(22,23),-0.196644 # DEPENDENCYPART_ARC
(22,24),0.847418 # DEPENDENCYPART_ARC
(22,26),-0.610468 # DEPENDENCYPART_ARC
(22,27),-0.337317 # DEPENDENCYPART_ARC
(22,29),-1.72719 # DEPENDENCYPART_ARC
(22,30),-1.42616 # DEPENDENCYPART_ARC
(24,19),-1.20454 # DEPENDENCYPART_ARC
(24,20),-1.89372 # DEPENDENCYPART_ARC
(24,23),2.82207 # DEPENDENCYPART_ARC
(24,25),0.360851 # DEPENDENCYPART_ARC
(24,26),0.185012 # DEPENDENCYPART_ARC
(24,27),-0.297133 # DEPENDENCYPART_ARC
(24,29),-1.00501 # DEPENDENCYPART_ARC
(24,30),-1.52582 # DEPENDENCYPART_ARC
(25,26),-1.04545 # DEPENDENCYPART_ARC
(26,1),-1.72145 # DEPENDENCYPART_ARC
(26,2),-1.86435 # DEPENDENCYPART_ARC
(26,3),-1.0683 # DEPENDENCYPART_ARC
(26,4),-1.14212 # DEPENDENCYPART_ARC
(26,5),-2.18373 # DEPENDENCYPART_ARC
(26,9),-1.19722 # DEPENDENCYPART_ARC
(26,11),-1.64833 # DEPENDENCYPART_ARC
(26,13),-2.6581 # DEPENDENCYPART_ARC
(26,15),-2.75923 # DEPENDENCYPART_ARC
(26,16),-0.529078 # DEPENDENCYPART_ARC
(26,17),-1.74661 # DEPENDENCYPART_ARC
(26,20),-0.755505 # DEPENDENCYPART_ARC
(26,23),-2.01032 # DEPENDENCYPART_ARC
(26,24),-0.625909 # DEPENDENCYPART_ARC
(26,25),1.06371 # DEPENDENCYPART_ARC
(26,27),1.56036 # DEPENDENCYPART_ARC
(26,28),-0.659401 # DEPENDENCYPART_ARC
(26,29),-0.509616 # DEPENDENCYPART_ARC
(26,30),-0.152458 # DEPENDENCYPART_ARC
(27,24),-1.54438 # DEPENDENCYPART_ARC
(27,28),-0.0190078 # DEPENDENCYPART_ARC
(27,29),0.131384 # DEPENDENCYPART_ARC
(27,30),0.582597 # DEPENDENCYPART_ARC
(28,30),-0.737506 # DEPENDENCYPART_ARC
(29,27),-0.82499 # DEPENDENCYPART_ARC
(29,28),0.369416 # DEPENDENCYPART_ARC
(29,30),-0.822724 # DEPENDENCYPART_ARC
(30,23),-1.46869 # DEPENDENCYPART_ARC
(30,24),-1.78595 # DEPENDENCYPART_ARC
(30,25),-1.19729 # DEPENDENCYPART_ARC
(30,27),-0.597516 # DEPENDENCYPART_ARC
(30,28),2.13001 # DEPENDENCYPART_ARC
(30,29),2.42981 # DEPENDENCYPART_ARC
(31,30),-1.09025 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0127081 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0574565 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.128186 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0131308 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0553964 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0121715 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0487524 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0121577 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0121577 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0139051 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0574565 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.274952 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0121759 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.274556 # DEPENDENCYPART_SIBL
(0,1),(0,26),-0.274556 # DEPENDENCYPART_SIBL
(0,1),(0,30),-0.0121755 # DEPENDENCYPART_SIBL
(0,1),(0,31),-0.285494 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0415308 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.199584 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0513279 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0163812 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0522871 # DEPENDENCYPART_SIBL
(0,2),(0,9),0.12004 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.052301 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.052301 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.0505536 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.0415308 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.134414 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.052283 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.134018 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.134018 # DEPENDENCYPART_SIBL
(0,2),(0,30),0.0522832 # DEPENDENCYPART_SIBL
(0,2),(0,31),-0.128611 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.00586757 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.21945 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.00771071 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.219643 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0377247 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.219643 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.219286 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.219418 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0210454 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.211356 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.219623 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.210366 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.210366 # DEPENDENCYPART_SIBL
(0,3),(0,30),0.219626 # DEPENDENCYPART_SIBL
(0,3),(0,31),-0.402918 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0221917 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.1465 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0209143 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0971397 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0218195 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0209083 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0221804 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.232627 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.359224 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0209332 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.358828 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.358828 # DEPENDENCYPART_SIBL
(0,4),(0,30),-0.0209269 # DEPENDENCYPART_SIBL
(0,4),(0,31),-0.493736 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0263127 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0276854 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.0831368 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.0276993 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0276993 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.0259519 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.00659096 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.239017 # DEPENDENCYPART_SIBL
(0,5),(0,20),0.0276823 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.238621 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.238621 # DEPENDENCYPART_SIBL
(0,5),(0,30),0.0276815 # DEPENDENCYPART_SIBL
(0,5),(0,31),-0.218261 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.155511 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.0332705 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.155511 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.155511 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.155506 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0790452 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.250389 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.155498 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.249993 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.249993 # DEPENDENCYPART_SIBL
(0,7),(0,30),0.155495 # DEPENDENCYPART_SIBL
(0,7),(0,31),-0.31303 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.0736998 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.028754 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.028754 # DEPENDENCYPART_SIBL
(0,8),(0,15),0.0270066 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.00170182 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.239582 # DEPENDENCYPART_SIBL
(0,8),(0,20),0.0287371 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.239186 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.239186 # DEPENDENCYPART_SIBL
(0,8),(0,30),0.0287362 # DEPENDENCYPART_SIBL
(0,8),(0,31),-0.218555 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0366681 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0348461 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.036223 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.257877 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.36379 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0348709 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.363394 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.363394 # DEPENDENCYPART_SIBL
(0,9),(0,30),-0.0348646 # DEPENDENCYPART_SIBL
(0,9),(0,31),-0.513444 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.0287555 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.0270082 # DEPENDENCYPART_SIBL
(0,11),(0,16),0.00172836 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.239579 # DEPENDENCYPART_SIBL
(0,11),(0,20),0.0287386 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.239183 # DEPENDENCYPART_SIBL
(0,11),(0,26),-0.239183 # DEPENDENCYPART_SIBL
(0,11),(0,30),0.0287378 # DEPENDENCYPART_SIBL
(0,11),(0,31),-0.218542 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.0269727 # DEPENDENCYPART_SIBL
(0,13),(0,16),1.46558e-05 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.239778 # DEPENDENCYPART_SIBL
(0,13),(0,20),0.0287031 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.239382 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.239382 # DEPENDENCYPART_SIBL
(0,13),(0,30),0.0287022 # DEPENDENCYPART_SIBL
(0,13),(0,31),-0.219711 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.00293202 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.236788 # DEPENDENCYPART_SIBL
(0,15),(0,20),0.0287074 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.236392 # DEPENDENCYPART_SIBL
(0,15),(0,26),-0.236392 # DEPENDENCYPART_SIBL
(0,15),(0,30),0.0287065 # DEPENDENCYPART_SIBL
(0,15),(0,31),-0.22136 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.211356 # DEPENDENCYPART_SIBL
(0,16),(0,20),0.219623 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.210366 # DEPENDENCYPART_SIBL
(0,16),(0,26),-0.210366 # DEPENDENCYPART_SIBL
(0,16),(0,30),0.219626 # DEPENDENCYPART_SIBL
(0,16),(0,31),-0.402918 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0197626 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.60721 # DEPENDENCYPART_SIBL
(0,18),(0,26),-0.60721 # DEPENDENCYPART_SIBL
(0,18),(0,30),-0.0197555 # DEPENDENCYPART_SIBL
(0,18),(0,31),-0.125525 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.24144 # DEPENDENCYPART_SIBL
(0,20),(0,26),-0.24144 # DEPENDENCYPART_SIBL
(0,20),(0,30),0.0287043 # DEPENDENCYPART_SIBL
(0,20),(0,31),-0.218742 # DEPENDENCYPART_SIBL
(0,22),(0,26),-0.605928 # DEPENDENCYPART_SIBL
(0,22),(0,30),-0.0184502 # DEPENDENCYPART_SIBL
(0,22),(0,31),-0.121042 # DEPENDENCYPART_SIBL
(0,26),(0,30),-0.0184502 # DEPENDENCYPART_SIBL
(0,26),(0,31),-0.121042 # DEPENDENCYPART_SIBL
(0,30),(0,31),-0.216359 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0503579 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0583086 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.132491 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0214608 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.131532 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.00903018 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.0273873 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00572176 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0596794 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.00475229 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0598734 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.00271047 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0154961 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0121137 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0300347 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0108362 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0265857 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.00347963 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0153747 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.119071 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0114183 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.0145575 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0335031 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0108487 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.0165938 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0193078 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.00443605 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0068926 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.138092 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0162083 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.03193 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00974786 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0063169 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.00966438 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00287658 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0490084 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00380188 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00566383 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.00595841 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0127351 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0301922 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0267803 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.00354703 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0102006 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0174467 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0198957 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0116578 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0160495 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.00682521 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0269459 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00387752 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.194122 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0184167 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.202844 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.202848 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0291131 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0267332 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.238199 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0532411 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.246921 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.246925 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.072345 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00717522 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0118187 # DEPENDENCYPART_SIBL
