# _root_ Το παράδειγμα που ανέφερε μόλις ο κ. Bolkestein αποτελεί βέβαια ένα κατάφωρο , ίσως μάλιστα και εξαιρετικό , παράδειγμα των καταχρήσεων που γίνονται στον τομέα των μεταφορών .
#goldHeads=2,9,4,2,4,8,8,4,0,9,19,16,17,17,17,19,16,17,9,21,19,23,21,23,24,27,25,0,
#predictedHeads=2,9,4,2,4,8,8,9,0,9,12,16,14,15,16,19,16,19,9,21,19,23,21,23,24,27,25,0,
(18,12),-1.30335 # DEPENDENCYPART_ARC
(18,13),-0.488778 # DEPENDENCYPART_ARC
(18,14),-0.829551 # DEPENDENCYPART_ARC
(18,15),-1.04913 # DEPENDENCYPART_ARC
(18,16),-0.427135 # DEPENDENCYPART_ARC
(18,17),-0.282194 # DEPENDENCYPART_ARC
(18,19),-0.117208 # DEPENDENCYPART_ARC
(18,21),-0.987922 # DEPENDENCYPART_ARC
(18,23),-0.835574 # DEPENDENCYPART_ARC
(18,24),-1.04176 # DEPENDENCYPART_ARC
(18,27),-1.79144 # DEPENDENCYPART_ARC
(19,15),-1.07059 # DEPENDENCYPART_ARC
(19,16),-0.24336 # DEPENDENCYPART_ARC
(19,17),0.687606 # DEPENDENCYPART_ARC
(19,18),0.0653301 # DEPENDENCYPART_ARC
(19,20),-0.255279 # DEPENDENCYPART_ARC
(19,21),1.03546 # DEPENDENCYPART_ARC
(19,22),-0.528949 # DEPENDENCYPART_ARC
(19,23),-0.730339 # DEPENDENCYPART_ARC
(19,24),-0.651302 # DEPENDENCYPART_ARC
(19,25),-1.59713 # DEPENDENCYPART_ARC
(19,27),-0.777264 # DEPENDENCYPART_ARC
(21,15),-2.28542 # DEPENDENCYPART_ARC
(21,17),-2.8221 # DEPENDENCYPART_ARC
(21,20),2.40716 # DEPENDENCYPART_ARC
(21,22),0.197868 # DEPENDENCYPART_ARC
(21,23),0.312462 # DEPENDENCYPART_ARC
(21,24),-0.131144 # DEPENDENCYPART_ARC
(21,25),-1.48958 # DEPENDENCYPART_ARC
(21,27),-0.826674 # DEPENDENCYPART_ARC
(22,23),-1.01696 # DEPENDENCYPART_ARC
(23,2),-1.57687 # DEPENDENCYPART_ARC
(23,4),-3.2088 # DEPENDENCYPART_ARC
(23,5),-0.90606 # DEPENDENCYPART_ARC
(23,9),-2.31774 # DEPENDENCYPART_ARC
(23,10),-0.732651 # DEPENDENCYPART_ARC
(23,12),-1.21947 # DEPENDENCYPART_ARC
(23,13),-0.460007 # DEPENDENCYPART_ARC
(23,14),-0.449065 # DEPENDENCYPART_ARC
(23,15),-1.13986 # DEPENDENCYPART_ARC
(23,16),-0.831792 # DEPENDENCYPART_ARC
(23,17),-1.1942 # DEPENDENCYPART_ARC
(23,18),-0.191143 # DEPENDENCYPART_ARC
(23,19),-0.763136 # DEPENDENCYPART_ARC
(23,20),-1.99153 # DEPENDENCYPART_ARC
(23,21),-1.56447 # DEPENDENCYPART_ARC
(23,22),2.19517 # DEPENDENCYPART_ARC
(23,24),1.48617 # DEPENDENCYPART_ARC
(23,25),0.102502 # DEPENDENCYPART_ARC
(23,27),-1.49045 # DEPENDENCYPART_ARC
(23,28),-0.200941 # DEPENDENCYPART_ARC
(24,25),2.83428 # DEPENDENCYPART_ARC
(24,27),-0.815162 # DEPENDENCYPART_ARC
(25,20),-2.06693 # DEPENDENCYPART_ARC
(25,22),-1.82523 # DEPENDENCYPART_ARC
(25,24),-0.634005 # DEPENDENCYPART_ARC
(25,26),-0.272106 # DEPENDENCYPART_ARC
(25,27),0.723268 # DEPENDENCYPART_ARC
(25,28),-0.386784 # DEPENDENCYPART_ARC
(27,20),-1.06923 # DEPENDENCYPART_ARC
(27,22),-0.273187 # DEPENDENCYPART_ARC
(27,25),-2.22118 # DEPENDENCYPART_ARC
(27,26),2.19299 # DEPENDENCYPART_ARC
(27,28),-0.497108 # DEPENDENCYPART_ARC
(28,2),-2.30177 # DEPENDENCYPART_ARC
(28,27),-1.1552 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.212103 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0316118 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.00720179 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.00500517 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.217134 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0151307 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.0186199 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.153269 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0151307 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.0186199 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.197154 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.199557 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.116624 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.131762 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.134276 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.610496 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.158987 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0605343 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.352433 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.158987 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0605343 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.58467 # DEPENDENCYPART_SIBL
(0,4),(0,28),-0.108058 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0199111 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0189288 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.194351 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.00745507 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0320168 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.00334746 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.00745507 # DEPENDENCYPART_SIBL
(0,5),(0,18),0.0320168 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.17653 # DEPENDENCYPART_SIBL
(0,5),(0,28),-0.083566 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0124138 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.241058 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0332293 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0576359 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.144187 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0332293 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0576359 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.226203 # DEPENDENCYPART_SIBL
(0,7),(0,28),-0.253937 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.231892 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0280914 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0444944 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.134654 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.0280914 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0444944 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.217037 # DEPENDENCYPART_SIBL
(0,8),(0,28),-0.239148 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.168418 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0842121 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.366169 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.168418 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0842121 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.594988 # DEPENDENCYPART_SIBL
(0,9),(0,28),-0.136346 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0790452 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.116729 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0153585 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0790452 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.240446 # DEPENDENCYPART_SIBL
(0,12),(0,28),-0.31303 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.030572 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.00771096 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0210454 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.20104 # DEPENDENCYPART_SIBL
(0,13),(0,28),-0.402918 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0782152 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0554901 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.287934 # DEPENDENCYPART_SIBL
(0,16),(0,28),-0.0414874 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0790452 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.240446 # DEPENDENCYPART_SIBL
(0,17),(0,28),-0.31303 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.20104 # DEPENDENCYPART_SIBL
(0,18),(0,28),-0.402918 # DEPENDENCYPART_SIBL
(0,23),(0,28),-0.13914 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.157323 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0486696 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0148402 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.106963 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.150002 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0640109 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0149472 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0530118 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0665079 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0121683 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0843676 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0895498 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0645119 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0119575 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.0660077 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0536635 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0104455 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00775565 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0941923 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0538747 # DEPENDENCYPART_SIBL
(2,4),(2,23),-0.0917325 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.000647559 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00180753 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.00223916 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.00302461 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.00201089 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0446263 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.011272 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.00363138 # DEPENDENCYPART_SIBL
(2,7),(2,23),-0.0119846 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00210229 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.00378249 # DEPENDENCYPART_SIBL
(2,8),(2,23),-0.00281489 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0538603 # DEPENDENCYPART_SIBL
(2,9),(2,23),-0.0918085 # DEPENDENCYPART_SIBL
(2,10),(2,23),0.00219195 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00771204 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0989798 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.031723 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0215605 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0214095 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0460468 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00960039 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0134083 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0201748 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.100342 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0313773 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0598736 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.100342 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0170465 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0163564 # DEPENDENCYPART_SIBL
(4,1),(4,24),-0.009382 # DEPENDENCYPART_SIBL
(4,1),(4,27),-0.0146159 # DEPENDENCYPART_SIBL
(4,1),(4,28),-0.10151 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.283424 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00915887 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0150212 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00932155 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0348361 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0121639 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0185151 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0210608 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.01762 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.000310433 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0130164 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.01762 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0144234 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0197248 # DEPENDENCYPART_SIBL
(4,2),(4,24),0.0125356 # DEPENDENCYPART_SIBL
(4,2),(4,27),-0.0193344 # DEPENDENCYPART_SIBL
(4,2),(4,28),-0.0221922 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0443653 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00665974 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0196568 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00779632 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0603559 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0626799 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0215994 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0300228 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0485816 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0068924 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0300228 # DEPENDENCYPART_SIBL
(4,3),(4,19),-7.08546e-05 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.00176895 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.045957 # DEPENDENCYPART_SIBL
(4,3),(4,27),0.00176137 # DEPENDENCYPART_SIBL
(4,3),(4,28),-0.0482195 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.00165054 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00696125 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.000826139 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0179796 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0358141 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0670228 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0171139 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0379264 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0233122 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0171139 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.00260476 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.00152647 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.0290502 # DEPENDENCYPART_SIBL
(4,5),(4,27),-0.00152635 # DEPENDENCYPART_SIBL
(4,5),(4,28),-0.0406535 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0140498 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0109658 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00656406 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00174702 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0588932 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0309987 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.00387875 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0771829 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0309987 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0284095 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0278891 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.00265091 # DEPENDENCYPART_SIBL
(4,6),(4,27),-0.0278997 # DEPENDENCYPART_SIBL
(4,6),(4,28),-0.0421385 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0132448 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00777811 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0284155 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0670353 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0188731 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.030519 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.136953 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0188731 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0495582 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0490378 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.00818764 # DEPENDENCYPART_SIBL
(4,7),(4,27),-0.0490378 # DEPENDENCYPART_SIBL
(4,7),(4,28),-0.0522461 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.000542718 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0215606 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0605774 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.00515454 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0236641 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.124028 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.00515454 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0413921 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0408717 # DEPENDENCYPART_SIBL
(4,8),(4,24),0.00105142 # DEPENDENCYPART_SIBL
(4,8),(4,27),-0.0408717 # DEPENDENCYPART_SIBL
(4,8),(4,28),-0.0389202 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0226714 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.107896 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.000910688 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0247769 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.180166 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.000910688 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0706609 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.0701369 # DEPENDENCYPART_SIBL
