# _root_ Οι βακτηριακές αποικίες , που παραμένουν στο ίζημα εκατομμύρια χρόνια , φαίνονται μάλιστα να αναπτύσσονται με ρυθμό παρόμοιο με των βακτηρίων της επιφάνειας .
#goldHeads=3,3,12,6,6,3,6,7,10,6,6,0,12,15,12,15,16,17,18,21,19,23,21,0,
#predictedHeads=3,3,12,6,6,3,6,7,10,7,12,0,12,15,12,15,16,17,18,21,19,23,21,0,
(13,6),-1.52388 # DEPENDENCYPART_ARC
(13,7),-0.661036 # DEPENDENCYPART_ARC
(13,8),-1.12353 # DEPENDENCYPART_ARC
(13,10),-0.846104 # DEPENDENCYPART_ARC
(13,11),-0.363635 # DEPENDENCYPART_ARC
(13,12),-0.612954 # DEPENDENCYPART_ARC
(13,15),-0.619006 # DEPENDENCYPART_ARC
(13,16),-0.657176 # DEPENDENCYPART_ARC
(13,17),-1.26755 # DEPENDENCYPART_ARC
(13,19),-0.959279 # DEPENDENCYPART_ARC
(13,21),-1.49768 # DEPENDENCYPART_ARC
(14,15),-0.202186 # DEPENDENCYPART_ARC
(14,17),-1.13428 # DEPENDENCYPART_ARC
(15,2),-1.30454 # DEPENDENCYPART_ARC
(15,3),-1.00763 # DEPENDENCYPART_ARC
(15,4),-0.786373 # DEPENDENCYPART_ARC
(15,5),-0.473224 # DEPENDENCYPART_ARC
(15,6),-2.23094 # DEPENDENCYPART_ARC
(15,7),-0.551706 # DEPENDENCYPART_ARC
(15,8),-1.52982 # DEPENDENCYPART_ARC
(15,9),-1.1628 # DEPENDENCYPART_ARC
(15,10),-0.925202 # DEPENDENCYPART_ARC
(15,11),-0.500556 # DEPENDENCYPART_ARC
(15,12),-2.40976 # DEPENDENCYPART_ARC
(15,13),0.114161 # DEPENDENCYPART_ARC
(15,14),1.54118 # DEPENDENCYPART_ARC
(15,16),1.45104 # DEPENDENCYPART_ARC
(15,17),0.324385 # DEPENDENCYPART_ARC
(15,18),-0.599331 # DEPENDENCYPART_ARC
(15,19),0.183558 # DEPENDENCYPART_ARC
(15,21),-1.85425 # DEPENDENCYPART_ARC
(15,23),-2.3926 # DEPENDENCYPART_ARC
(15,24),-0.11901 # DEPENDENCYPART_ARC
(16,15),-0.378155 # DEPENDENCYPART_ARC
(16,17),2.08158 # DEPENDENCYPART_ARC
(16,18),-0.0801385 # DEPENDENCYPART_ARC
(16,19),-0.749928 # DEPENDENCYPART_ARC
(16,21),-0.148753 # DEPENDENCYPART_ARC
(16,23),-0.947629 # DEPENDENCYPART_ARC
(17,16),-0.498901 # DEPENDENCYPART_ARC
(17,18),-0.00805519 # DEPENDENCYPART_ARC
(17,19),0.0813478 # DEPENDENCYPART_ARC
(17,21),-0.0650361 # DEPENDENCYPART_ARC
(17,23),-0.29092 # DEPENDENCYPART_ARC
(18,10),-0.738481 # DEPENDENCYPART_ARC
(18,13),-0.42988 # DEPENDENCYPART_ARC
(18,16),-0.382206 # DEPENDENCYPART_ARC
(18,17),0.417454 # DEPENDENCYPART_ARC
(18,19),0.979196 # DEPENDENCYPART_ARC
(18,21),0.343965 # DEPENDENCYPART_ARC
(18,23),0.0205303 # DEPENDENCYPART_ARC
(19,16),-0.663393 # DEPENDENCYPART_ARC
(19,17),-1.22073 # DEPENDENCYPART_ARC
(19,18),-0.480051 # DEPENDENCYPART_ARC
(19,20),0.0216404 # DEPENDENCYPART_ARC
(19,21),1.35728 # DEPENDENCYPART_ARC
(19,23),0.0724865 # DEPENDENCYPART_ARC
(19,24),-0.38669 # DEPENDENCYPART_ARC
(21,16),-1.56571 # DEPENDENCYPART_ARC
(21,17),-2.99036 # DEPENDENCYPART_ARC
(21,18),-2.69944 # DEPENDENCYPART_ARC
(21,20),2.24775 # DEPENDENCYPART_ARC
(21,22),-0.187494 # DEPENDENCYPART_ARC
(21,23),1.0094 # DEPENDENCYPART_ARC
(21,24),-0.391926 # DEPENDENCYPART_ARC
(23,18),-2.29626 # DEPENDENCYPART_ARC
(23,20),-0.650944 # DEPENDENCYPART_ARC
(23,21),-1.18455 # DEPENDENCYPART_ARC
(23,22),2.1235 # DEPENDENCYPART_ARC
(23,24),-0.368378 # DEPENDENCYPART_ARC
(24,21),-1.55342 # DEPENDENCYPART_ARC
(24,23),-1.1575 # DEPENDENCYPART_ARC
(0,2),(0,3),0.155511 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0790452 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.250484 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.077602 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.155511 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0790452 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.249993 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.00336626 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.250006 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0153585 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.31303 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.00172897 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.239189 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.158129 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0287555 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.00172897 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.239183 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0278756 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.239183 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0254557 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.218542 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.210402 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.00586757 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.219643 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0210454 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.210366 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.0411103 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.210366 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.00771071 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.402918 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.106671 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0262159 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0880254 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.61469 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.119838 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.61469 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.170063 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.148277 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0209082 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.232627 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.358828 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.10655 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.35922 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.1465 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.493736 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.00172897 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.239183 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0278756 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.239183 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0254557 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.218542 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.210366 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.0411103 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.210366 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.00771071 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.402918 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.112059 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.605928 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.162284 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.121042 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.179347 # DEPENDENCYPART_SIBL
(0,13),(0,18),0.0146735 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.0573667 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.162285 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.121048 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.31303 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0579053 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.012994 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.027427 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0363196 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0469429 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00974389 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0366579 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0232108 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0206922 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00273947 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0626906 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0721524 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.157622 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0308744 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0896025 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.022681 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0183013 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.261335 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0119016 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00152576 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0259604 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0050201 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.016623 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.00648633 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.00507364 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0647455 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0134704 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0523957 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0037421 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00528888 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0300354 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.021302 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0236871 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0892813 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0635685 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.120492 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.239034 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.117697 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0671406 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0894987 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0970024 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.089188 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.239077 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.102896 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00612472 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0249771 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00417647 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.216411 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0249339 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.226095 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.024077 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0250001 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.054595 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0250001 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.025001 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0447355 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.035403 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0070863 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.065938 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0042972 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0659601 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.015719 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.035403 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0167134 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.035456 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.00437904 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0407431 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0249493 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00646932 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0138915 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00690874 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.143051 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.135594 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0152552 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.135594 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0139112 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0656878 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00589152 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0118006 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.00713195 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0303847 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.00699779 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.000189995 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.00738975 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0118187 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0442119 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0692397 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.041668 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.22233 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0547289 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0757173 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0547289 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0692682 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.168558 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0117903 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0638456 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.00935801 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.00634877 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.00934546 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0316914 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0845945 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.222102 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0551202 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0737781 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0551202 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.0692153 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.172816 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.00667987 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.00315777 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.00667987 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.0678845 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0486959 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0152552 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.134611 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.0139112 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.0656878 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0120382 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.00167594 # DEPENDENCYPART_SIBL
(4,13),(4,19),0.0303423 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.0139112 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.0656878 # DEPENDENCYPART_SIBL
(4,18),(4,19),0.0804533 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0093407 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0149639 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0149639 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.141955 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.141955 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.140973 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0169664 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.00107032 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.00011618 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.106403 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0179341 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0190851 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.000183714 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0182809 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0889657 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0312853 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0194171 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0312853 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0348124 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0348124 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0143801 # DEPENDENCYPART_SIBL
(6,1),(6,23),-0.0192669 # DEPENDENCYPART_SIBL
(6,1),(6,24),-0.0906901 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0634882 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00910492 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.158672 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0330385 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.000496206 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.102556 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.00130708 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.00680905 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0208068 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0153284 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0211174 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0132755 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.0132755 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.000496206 # DEPENDENCYPART_SIBL
(6,2),(6,23),0.00031208 # DEPENDENCYPART_SIBL
(6,2),(6,24),-0.0413976 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0469402 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.281558 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0236971 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0107523 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0378651 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0109665 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.00460809 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00879905 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0106197 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.00879905 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0021076 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0021076 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0107523 # DEPENDENCYPART_SIBL
(6,3),(6,23),-0.0109342 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.0159671 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0158447 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.035321 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.00870043 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.00859462 # DEPENDENCYPART_SIBL
