# _root_ " Βάζουμε τον εξεταζόμενο στην εξεταστική τράπεζα , με τη βοήθεια των τριών κεφαλών παίρνουμε λήψη σπεκτ , δηλαδή λήψη σε τρία επίπεδα .
#goldHeads=8,8,4,2,2,7,5,0,15,11,9,14,14,11,8,19,16,19,15,19,20,23,21,0,
#predictedHeads=2,0,4,2,2,7,5,2,2,11,9,14,14,11,0,15,16,19,15,19,20,23,21,0,
(8,9),-0.52302 # DEPENDENCYPART_ARC
(8,11),-0.980053 # DEPENDENCYPART_ARC
(8,14),-1.47614 # DEPENDENCYPART_ARC
(8,15),-1.04206 # DEPENDENCYPART_ARC
(8,17),-1.05652 # DEPENDENCYPART_ARC
(9,7),-1.54178 # DEPENDENCYPART_ARC
(9,8),-0.157188 # DEPENDENCYPART_ARC
(9,10),-0.0725272 # DEPENDENCYPART_ARC
(9,11),1.22182 # DEPENDENCYPART_ARC
(9,14),-0.226961 # DEPENDENCYPART_ARC
(9,15),-1.15554 # DEPENDENCYPART_ARC
(9,16),-1.33671 # DEPENDENCYPART_ARC
(9,18),-0.598717 # DEPENDENCYPART_ARC
(9,24),-0.692599 # DEPENDENCYPART_ARC
(11,1),-1.29031 # DEPENDENCYPART_ARC
(11,2),-3.39791 # DEPENDENCYPART_ARC
(11,3),-1.45542 # DEPENDENCYPART_ARC
(11,6),-0.410242 # DEPENDENCYPART_ARC
(11,7),-1.52644 # DEPENDENCYPART_ARC
(11,8),-1.02446 # DEPENDENCYPART_ARC
(11,10),2.39459 # DEPENDENCYPART_ARC
(11,12),0.332517 # DEPENDENCYPART_ARC
(11,13),-0.265395 # DEPENDENCYPART_ARC
(11,14),0.671521 # DEPENDENCYPART_ARC
(11,15),-0.752625 # DEPENDENCYPART_ARC
(11,16),-1.18822 # DEPENDENCYPART_ARC
(11,17),-0.696344 # DEPENDENCYPART_ARC
(11,19),-0.695853 # DEPENDENCYPART_ARC
(11,20),-1.71261 # DEPENDENCYPART_ARC
(11,21),-0.624654 # DEPENDENCYPART_ARC
(11,23),-2.16116 # DEPENDENCYPART_ARC
(13,9),-0.575494 # DEPENDENCYPART_ARC
(13,12),0.595478 # DEPENDENCYPART_ARC
(13,15),-0.907879 # DEPENDENCYPART_ARC
(14,2),-2.45646 # DEPENDENCYPART_ARC
(14,7),-2.77448 # DEPENDENCYPART_ARC
(14,9),-0.850926 # DEPENDENCYPART_ARC
(14,10),-1.15078 # DEPENDENCYPART_ARC
(14,11),-2.22064 # DEPENDENCYPART_ARC
(14,12),2.06495 # DEPENDENCYPART_ARC
(14,13),2.08944 # DEPENDENCYPART_ARC
(14,15),-0.0439021 # DEPENDENCYPART_ARC
(14,16),-0.861609 # DEPENDENCYPART_ARC
(14,17),-1.02647 # DEPENDENCYPART_ARC
(14,19),-1.00979 # DEPENDENCYPART_ARC
(15,1),-0.674005 # DEPENDENCYPART_ARC
(15,2),-1.51352 # DEPENDENCYPART_ARC
(15,4),-0.862396 # DEPENDENCYPART_ARC
(15,5),-0.259492 # DEPENDENCYPART_ARC
(15,6),-0.854929 # DEPENDENCYPART_ARC
(15,7),-1.1641 # DEPENDENCYPART_ARC
(15,8),0.0781767 # DEPENDENCYPART_ARC
(15,9),-0.222924 # DEPENDENCYPART_ARC
(15,10),-0.832752 # DEPENDENCYPART_ARC
(15,11),-0.669633 # DEPENDENCYPART_ARC
(15,12),-1.26299 # DEPENDENCYPART_ARC
(15,13),-1.46642 # DEPENDENCYPART_ARC
(15,14),-0.312661 # DEPENDENCYPART_ARC
(15,16),1.66879 # DEPENDENCYPART_ARC
(15,17),-0.0338526 # DEPENDENCYPART_ARC
(15,18),0.146805 # DEPENDENCYPART_ARC
(15,19),-0.00161893 # DEPENDENCYPART_ARC
(15,20),0.0681733 # DEPENDENCYPART_ARC
(15,21),0.0284215 # DEPENDENCYPART_ARC
(15,23),-1.00134 # DEPENDENCYPART_ARC
(15,24),-0.368617 # DEPENDENCYPART_ARC
(16,2),-3.22202 # DEPENDENCYPART_ARC
(16,10),-0.430064 # DEPENDENCYPART_ARC
(16,11),-1.17552 # DEPENDENCYPART_ARC
(16,12),-0.802585 # DEPENDENCYPART_ARC
(16,13),-0.351083 # DEPENDENCYPART_ARC
(16,14),-0.787686 # DEPENDENCYPART_ARC
(16,15),-1.44886 # DEPENDENCYPART_ARC
(16,17),0.671415 # DEPENDENCYPART_ARC
(16,18),-0.0501389 # DEPENDENCYPART_ARC
(16,19),-0.0588769 # DEPENDENCYPART_ARC
(16,20),-0.488971 # DEPENDENCYPART_ARC
(16,21),-0.131396 # DEPENDENCYPART_ARC
(16,22),-1.08872 # DEPENDENCYPART_ARC
(16,23),-1.37128 # DEPENDENCYPART_ARC
(16,24),-0.196385 # DEPENDENCYPART_ARC
(17,14),-0.301448 # DEPENDENCYPART_ARC
(17,16),0.419435 # DEPENDENCYPART_ARC
(17,18),-0.206345 # DEPENDENCYPART_ARC
(17,20),-0.937129 # DEPENDENCYPART_ARC
(17,21),-0.753613 # DEPENDENCYPART_ARC
(18,1),-0.732355 # DEPENDENCYPART_ARC
(18,2),-1.10097 # DEPENDENCYPART_ARC
(18,7),-1.37519 # DEPENDENCYPART_ARC
(18,8),-0.988245 # DEPENDENCYPART_ARC
(18,9),-0.703942 # DEPENDENCYPART_ARC
(18,11),-1.31835 # DEPENDENCYPART_ARC
(18,13),-0.936486 # DEPENDENCYPART_ARC
(18,14),-1.19109 # DEPENDENCYPART_ARC
(18,16),-0.871096 # DEPENDENCYPART_ARC
(18,17),-0.324055 # DEPENDENCYPART_ARC
(18,19),-0.449065 # DEPENDENCYPART_ARC
(18,20),-0.68656 # DEPENDENCYPART_ARC
(18,21),-0.758685 # DEPENDENCYPART_ARC
(18,23),-1.19216 # DEPENDENCYPART_ARC
(18,24),-0.410333 # DEPENDENCYPART_ARC
(19,1),-1.03683 # DEPENDENCYPART_ARC
(19,2),-1.34267 # DEPENDENCYPART_ARC
(19,9),-0.638295 # DEPENDENCYPART_ARC
(19,14),-0.957112 # DEPENDENCYPART_ARC
(19,16),-0.791235 # DEPENDENCYPART_ARC
(19,18),0.558592 # DEPENDENCYPART_ARC
(19,20),0.335189 # DEPENDENCYPART_ARC
(19,21),-0.122967 # DEPENDENCYPART_ARC
(19,23),-0.883651 # DEPENDENCYPART_ARC
(19,24),-0.513095 # DEPENDENCYPART_ARC
(20,12),-1.89491 # DEPENDENCYPART_ARC
(20,16),-1.30835 # DEPENDENCYPART_ARC
(20,18),-0.358889 # DEPENDENCYPART_ARC
(20,19),0.211043 # DEPENDENCYPART_ARC
(20,21),0.563786 # DEPENDENCYPART_ARC
(20,22),-1.01519 # DEPENDENCYPART_ARC
(20,23),-1.09806 # DEPENDENCYPART_ARC
(20,24),-0.366813 # DEPENDENCYPART_ARC
(21,18),-0.60875 # DEPENDENCYPART_ARC
(21,19),-0.592062 # DEPENDENCYPART_ARC
(21,20),-0.780137 # DEPENDENCYPART_ARC
(21,22),0.53996 # DEPENDENCYPART_ARC
(21,23),1.34205 # DEPENDENCYPART_ARC
(21,24),-0.233236 # DEPENDENCYPART_ARC
(22,19),-0.379469 # DEPENDENCYPART_ARC
(22,21),-0.0416988 # DEPENDENCYPART_ARC
(23,16),-1.69286 # DEPENDENCYPART_ARC
(23,18),-0.480175 # DEPENDENCYPART_ARC
(23,19),-0.50184 # DEPENDENCYPART_ARC
(23,20),-1.29977 # DEPENDENCYPART_ARC
(23,21),-0.156416 # DEPENDENCYPART_ARC
(23,22),1.71079 # DEPENDENCYPART_ARC
(23,24),-0.348561 # DEPENDENCYPART_ARC
(24,1),-1.49546 # DEPENDENCYPART_ARC
(24,17),-1.63578 # DEPENDENCYPART_ARC
(24,22),-1.15508 # DEPENDENCYPART_ARC
(24,23),-1.07728 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.250936 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.00558246 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.081404 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0850824 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.250936 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.0294428 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0850824 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.243933 # DEPENDENCYPART_SIBL
(0,1),(0,23),0.243894 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.484002 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.162284 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.072617 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.068561 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.605928 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.13499 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.068561 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0184369 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.0186591 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.121042 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.123344 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0790452 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.249993 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.00227645 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0790452 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.155511 # DEPENDENCYPART_SIBL
(0,4),(0,23),0.15551 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.31303 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.238079 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.364514 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.119554 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.238079 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0225733 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0230484 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.517172 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.210366 # DEPENDENCYPART_SIBL
(0,8),(0,17),0.0138833 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0210454 # DEPENDENCYPART_SIBL
(0,8),(0,20),0.219643 # DEPENDENCYPART_SIBL
(0,8),(0,23),0.219566 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.402918 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.13499 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.068561 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.0184369 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.0186591 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.121042 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0442776 # DEPENDENCYPART_SIBL
(0,17),(0,20),0.0947356 # DEPENDENCYPART_SIBL
(0,17),(0,23),0.0947339 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.238715 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.219643 # DEPENDENCYPART_SIBL
(0,18),(0,23),0.219566 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.402918 # DEPENDENCYPART_SIBL
(0,20),(0,23),0.0285553 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.218553 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.229181 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00498279 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0158618 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0532132 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00115765 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00555792 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0548063 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00555792 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00221687 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0727723 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0383289 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.00038983 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.00498156 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0038046 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0039608 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0727723 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0676323 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0039608 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.0112222 # DEPENDENCYPART_SIBL
(2,1),(2,23),-0.0117079 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.146803 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0601593 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00791219 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0601593 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0256172 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0203999 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0199692 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0259262 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0256172 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0159978 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0259602 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0203999 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.000715966 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0259602 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0292738 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.0261818 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.0382347 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.051667 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.103761 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0343066 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.00977009 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0503807 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0351939 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0343066 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.00752358 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0346496 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.00977009 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0178864 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0346496 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0229871 # DEPENDENCYPART_SIBL
(2,4),(2,23),-0.0348713 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.0659319 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0914391 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0183506 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.00567305 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0687032 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0186951 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0183506 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0129367 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0187429 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.00567305 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0244831 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0187429 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0685737 # DEPENDENCYPART_SIBL
(2,5),(2,23),-0.0199118 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.0465285 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0343066 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.00977009 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0503807 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0351939 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0343066 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.00752358 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0346496 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.00977009 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0178864 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.0346496 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.0229871 # DEPENDENCYPART_SIBL
(2,6),(2,23),-0.0348713 # DEPENDENCYPART_SIBL
(2,6),(2,24),-0.0659319 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.010236 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0126997 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.225557 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.225257 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0342661 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.226229 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.010236 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0232909 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.226229 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.0322485 # DEPENDENCYPART_SIBL
(2,7),(2,23),-0.225813 # DEPENDENCYPART_SIBL
(2,7),(2,24),-0.0701243 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.033281 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.00402493 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.00404322 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.00588399 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.00402268 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.019737 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.00138619 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.00402268 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.030133 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.00365429 # DEPENDENCYPART_SIBL
(2,8),(2,24),-0.109892 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0224717 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0221449 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.00943592 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.022561 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.00796538 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.00466173 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.022561 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.0317693 # DEPENDENCYPART_SIBL
(2,9),(2,23),-0.0237061 # DEPENDENCYPART_SIBL
(2,9),(2,24),-0.0703386 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.232419 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0411992 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.233391 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0166736 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.018901 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.233391 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.0263048 # DEPENDENCYPART_SIBL
(2,11),(2,23),-0.232975 # DEPENDENCYPART_SIBL
(2,11),(2,24),-0.0755282 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0342661 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.226229 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.0102475 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0232909 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.226229 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.0322485 # DEPENDENCYPART_SIBL
(2,14),(2,23),-0.225813 # DEPENDENCYPART_SIBL
(2,14),(2,24),-0.0701473 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.0648505 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.0222813 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.0170425 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.0648505 # DEPENDENCYPART_SIBL
(2,15),(2,21),-0.0103042 # DEPENDENCYPART_SIBL
(2,15),(2,23),-0.0653225 # DEPENDENCYPART_SIBL
(2,15),(2,24),0.0191106 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.0111312 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.0212946 # DEPENDENCYPART_SIBL
(2,16),(2,20),-0.227405 # DEPENDENCYPART_SIBL
(2,16),(2,21),0.0313598 # DEPENDENCYPART_SIBL
(2,16),(2,23),-0.22699 # DEPENDENCYPART_SIBL
(2,16),(2,24),-0.0710191 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.00138619 # DEPENDENCYPART_SIBL
(2,18),(2,20),0.00402268 # DEPENDENCYPART_SIBL
(2,18),(2,21),0.030133 # DEPENDENCYPART_SIBL
(2,18),(2,23),0.00365429 # DEPENDENCYPART_SIBL
(2,18),(2,24),-0.109892 # DEPENDENCYPART_SIBL
(2,19),(2,20),0.010056 # DEPENDENCYPART_SIBL
(2,19),(2,21),0.0145619 # DEPENDENCYPART_SIBL
(2,19),(2,23),0.00945733 # DEPENDENCYPART_SIBL
(2,19),(2,24),-0.032847 # DEPENDENCYPART_SIBL
(2,20),(2,21),0.0313598 # DEPENDENCYPART_SIBL
(2,20),(2,23),-0.22699 # DEPENDENCYPART_SIBL
(2,20),(2,24),-0.0710191 # DEPENDENCYPART_SIBL
(2,21),(2,23),-0.0181592 # DEPENDENCYPART_SIBL
(2,21),(2,24),-0.0476675 # DEPENDENCYPART_SIBL
(2,23),(2,24),-0.0698354 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0218114 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0336774 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0746488 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0977359 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.254079 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0381559 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.097949 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0578295 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0108957 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0166275 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.063153 # DEPENDENCYPART_SIBL
(4,3),(4,8),1.50515e-05 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.029844 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0631315 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0296235 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.015593 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00560247 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0210747 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0257132 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.00556696 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0170303 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00619851 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.000538104 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0155541 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00648765 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0142272 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0469429 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.00262083 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.108488 # DEPENDENCYPART_SIBL
