# _root_ Τα νέα κτίσματα των τελευταίων ετών , που ανεγέρθηκαν κυρίως κοντά στις παραλίες , είναι μονόροφα ή διώροφα κυκλαδίτικα σπίτια τα περισσότερα με ιδιωτικές πισίνες .
#goldHeads=3,3,15,6,6,3,9,9,3,11,9,11,12,9,0,17,20,17,20,15,22,20,20,25,23,0,
#predictedHeads=3,3,15,6,6,3,9,9,3,11,9,11,12,15,0,17,15,17,20,15,22,20,22,25,23,0,
(17,20),-0.536168 # DEPENDENCYPART_ARC
(17,22),-0.0469089 # DEPENDENCYPART_ARC
(17,23),-0.585233 # DEPENDENCYPART_ARC
(17,24),-0.0222647 # DEPENDENCYPART_ARC
(17,25),-1.30853 # DEPENDENCYPART_ARC
(17,26),-0.288177 # DEPENDENCYPART_ARC
(18,16),0.178886 # DEPENDENCYPART_ARC
(18,17),-0.0194259 # DEPENDENCYPART_ARC
(18,19),-0.627017 # DEPENDENCYPART_ARC
(18,20),-0.849433 # DEPENDENCYPART_ARC
(18,23),-0.426862 # DEPENDENCYPART_ARC
(18,25),-1.72071 # DEPENDENCYPART_ARC
(19,17),-0.166462 # DEPENDENCYPART_ARC
(19,18),1.01126 # DEPENDENCYPART_ARC
(19,20),-0.203662 # DEPENDENCYPART_ARC
(19,22),-1.23371 # DEPENDENCYPART_ARC
(19,23),-0.302897 # DEPENDENCYPART_ARC
(19,25),-1.60875 # DEPENDENCYPART_ARC
(20,16),-0.353507 # DEPENDENCYPART_ARC
(20,17),0.521566 # DEPENDENCYPART_ARC
(20,18),1.57192 # DEPENDENCYPART_ARC
(20,19),2.22675 # DEPENDENCYPART_ARC
(20,21),-1.06772 # DEPENDENCYPART_ARC
(20,22),-0.00155984 # DEPENDENCYPART_ARC
(20,23),-0.142198 # DEPENDENCYPART_ARC
(20,24),-0.579419 # DEPENDENCYPART_ARC
(20,25),-1.43834 # DEPENDENCYPART_ARC
(22,20),-0.488688 # DEPENDENCYPART_ARC
(22,21),1.06275 # DEPENDENCYPART_ARC
(22,23),0.885978 # DEPENDENCYPART_ARC
(22,24),-0.747441 # DEPENDENCYPART_ARC
(22,25),-0.917564 # DEPENDENCYPART_ARC
(23,20),-1.2104 # DEPENDENCYPART_ARC
(23,21),-0.617487 # DEPENDENCYPART_ARC
(23,22),-0.347011 # DEPENDENCYPART_ARC
(23,24),0.672324 # DEPENDENCYPART_ARC
(23,25),1.41787 # DEPENDENCYPART_ARC
(23,26),-0.0820249 # DEPENDENCYPART_ARC
(24,21),0.0756783 # DEPENDENCYPART_ARC
(24,22),0.0410142 # DEPENDENCYPART_ARC
(24,23),-0.4564 # DEPENDENCYPART_ARC
(24,25),-0.629635 # DEPENDENCYPART_ARC
(25,17),0.118282 # DEPENDENCYPART_ARC
(25,19),-0.441137 # DEPENDENCYPART_ARC
(25,20),-1.0816 # DEPENDENCYPART_ARC
(25,21),0.395101 # DEPENDENCYPART_ARC
(25,22),0.184128 # DEPENDENCYPART_ARC
(25,23),-0.249835 # DEPENDENCYPART_ARC
(25,24),2.57558 # DEPENDENCYPART_ARC
(25,26),-0.278035 # DEPENDENCYPART_ARC
(26,18),-1.86282 # DEPENDENCYPART_ARC
(26,20),-1.63004 # DEPENDENCYPART_ARC
(26,22),-1.77478 # DEPENDENCYPART_ARC
(26,25),-1.08158 # DEPENDENCYPART_ARC
(0,2),(0,3),0.152876 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0167778 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.15284 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0810857 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.251598 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0810857 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.261451 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0167778 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0715283 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0167778 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0167778 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.315462 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0254557 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0275304 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.00135759 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.239257 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.00135759 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.251654 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0254557 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0960484 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0254557 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0254557 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.218727 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.155475 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0790452 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.249993 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0790452 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.259846 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0153585 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0702281 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0153585 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0153585 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.31303 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.000918032 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.240097 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.000918032 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.252824 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0254603 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.0960443 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.0254603 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0254603 # DEPENDENCYPART_SIBL
(0,6),(0,26),-0.218984 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.210366 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0210454 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.208969 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.00771071 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0384657 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.00771071 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.00771071 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.402918 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.068561 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.626591 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.162284 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.29734 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.162284 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.162284 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.121042 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.208969 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.00771071 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.0384657 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.00771071 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.00771071 # DEPENDENCYPART_SIBL
(0,14),(0,26),-0.402918 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.183343 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.333645 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.183343 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.183343 # DEPENDENCYPART_SIBL
(0,15),(0,26),-0.166469 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0702281 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0153585 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0153585 # DEPENDENCYPART_SIBL
(0,16),(0,26),-0.31303 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0618787 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0618787 # DEPENDENCYPART_SIBL
(0,17),(0,26),-0.0862615 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0153585 # DEPENDENCYPART_SIBL
(0,18),(0,26),-0.31303 # DEPENDENCYPART_SIBL
(0,19),(0,26),-0.31303 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0606825 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0199568 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0544967 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0280075 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0236575 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.110608 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0226062 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00621759 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.00496956 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0210197 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0334728 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.012854 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0242218 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0122365 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0105984 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0449843 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0237513 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0201481 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0119634 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0424178 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0016413 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0385232 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0572443 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0236153 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.041283 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0289285 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0106664 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0509638 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0177749 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0550529 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.00294284 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.00256771 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0321307 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.030805 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0119865 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0544308 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0376832 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.000132366 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.00656157 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.00566514 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.00756045 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0432489 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0479608 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0368451 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.039381 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0155181 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0189009 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0121212 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.024917 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0324394 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0159444 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0578556 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0429643 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.00452751 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0373937 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.050836 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0754129 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.12531 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0124359 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.104323 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0166483 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0535734 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0658637 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0331363 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0607711 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0135657 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0156443 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0493911 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0552138 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0262029 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0181482 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.106785 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0471338 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.00397196 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0234899 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0508033 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.000782224 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.00908078 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0125714 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0383592 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.000404081 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.000706045 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.00354618 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.00307671 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0235187 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.00808663 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0977638 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.0576656 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0276776 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0732585 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0502605 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00534045 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0640657 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.00827439 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.043944 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0461335 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0106501 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0232468 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0314128 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0633289 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.394515 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0227774 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.013844 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.154766 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0360264 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0267657 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0212519 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.097118 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.00286137 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0294396 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.269439 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00460906 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0512566 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.122394 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0214421 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.011909 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.131476 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.000568537 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0248649 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0732686 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0385052 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.185647 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0608317 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0664137 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0183673 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.261338 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0117664 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0378663 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0050231 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0166516 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0536042 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.064747 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0154977 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0494247 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0313233 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0113353 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0260169 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0119876 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.107521 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.120382 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.110286 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0947261 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.14075 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.077162 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.256172 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.256172 # DEPENDENCYPART_SIBL
