# _root_ Είναι πιθανό να διατηρούμε έγκλειστα δόντια στο στόμα μας , επί χρόνια , και να το αγνοούμε .
#goldHeads=0,1,4,14,6,4,5,7,8,14,14,11,14,2,17,17,14,0,
#predictedHeads=0,1,4,14,6,4,6,7,8,11,4,11,14,2,17,17,14,0,
(4,7),-0.189093 # DEPENDENCYPART_ARC
(4,8),-0.221268 # DEPENDENCYPART_ARC
(4,10),-0.0970162 # DEPENDENCYPART_ARC
(4,11),-0.161934 # DEPENDENCYPART_ARC
(4,12),-1.04634 # DEPENDENCYPART_ARC
(4,13),-0.336766 # DEPENDENCYPART_ARC
(4,14),-0.0109003 # DEPENDENCYPART_ARC
(4,17),-1.51335 # DEPENDENCYPART_ARC
(4,18),-0.685914 # DEPENDENCYPART_ARC
(5,4),-1.78866 # DEPENDENCYPART_ARC
(5,6),-0.423556 # DEPENDENCYPART_ARC
(5,7),-0.44266 # DEPENDENCYPART_ARC
(5,8),-1.14541 # DEPENDENCYPART_ARC
(5,11),-0.652444 # DEPENDENCYPART_ARC
(5,12),-1.84931 # DEPENDENCYPART_ARC
(6,1),-1.81132 # DEPENDENCYPART_ARC
(6,2),-0.798657 # DEPENDENCYPART_ARC
(6,4),-1.33937 # DEPENDENCYPART_ARC
(6,5),2.3862 # DEPENDENCYPART_ARC
(6,7),0.180836 # DEPENDENCYPART_ARC
(6,8),-0.596999 # DEPENDENCYPART_ARC
(6,11),-0.531725 # DEPENDENCYPART_ARC
(6,13),-0.509307 # DEPENDENCYPART_ARC
(6,14),-0.51836 # DEPENDENCYPART_ARC
(6,17),-0.554353 # DEPENDENCYPART_ARC
(7,5),-1.22537 # DEPENDENCYPART_ARC
(7,8),2.79784 # DEPENDENCYPART_ARC
(7,10),-0.307048 # DEPENDENCYPART_ARC
(8,2),-1.79356 # DEPENDENCYPART_ARC
(8,5),-1.18759 # DEPENDENCYPART_ARC
(8,6),-1.24768 # DEPENDENCYPART_ARC
(8,7),-0.638429 # DEPENDENCYPART_ARC
(8,9),1.10509 # DEPENDENCYPART_ARC
(8,10),-0.433176 # DEPENDENCYPART_ARC
(8,11),-0.266353 # DEPENDENCYPART_ARC
(8,12),-1.27367 # DEPENDENCYPART_ARC
(8,13),-0.449568 # DEPENDENCYPART_ARC
(8,14),-0.489573 # DEPENDENCYPART_ARC
(8,17),-0.683085 # DEPENDENCYPART_ARC
(8,18),-0.69782 # DEPENDENCYPART_ARC
(10,1),-1.11375 # DEPENDENCYPART_ARC
(10,2),-1.39633 # DEPENDENCYPART_ARC
(10,4),-1.04096 # DEPENDENCYPART_ARC
(10,5),-1.18714 # DEPENDENCYPART_ARC
(10,6),-0.96363 # DEPENDENCYPART_ARC
(10,7),-0.584318 # DEPENDENCYPART_ARC
(10,8),-0.842616 # DEPENDENCYPART_ARC
(10,11),-0.523973 # DEPENDENCYPART_ARC
(10,12),-0.865928 # DEPENDENCYPART_ARC
(10,13),-0.320305 # DEPENDENCYPART_ARC
(10,14),-0.65469 # DEPENDENCYPART_ARC
(10,18),-0.885535 # DEPENDENCYPART_ARC
(11,8),-1.33197 # DEPENDENCYPART_ARC
(11,10),-0.0740874 # DEPENDENCYPART_ARC
(11,12),2.17801 # DEPENDENCYPART_ARC
(11,13),0.161168 # DEPENDENCYPART_ARC
(11,14),-0.0883073 # DEPENDENCYPART_ARC
(11,17),-0.929182 # DEPENDENCYPART_ARC
(11,18),-0.533428 # DEPENDENCYPART_ARC
(12,1),-2.47994 # DEPENDENCYPART_ARC
(12,9),-1.31542 # DEPENDENCYPART_ARC
(12,10),-0.320293 # DEPENDENCYPART_ARC
(12,13),-0.353297 # DEPENDENCYPART_ARC
(12,14),-0.725278 # DEPENDENCYPART_ARC
(12,15),-1.06949 # DEPENDENCYPART_ARC
(12,17),-0.715969 # DEPENDENCYPART_ARC
(13,1),-1.2954 # DEPENDENCYPART_ARC
(13,4),-1.18899 # DEPENDENCYPART_ARC
(13,5),-1.26354 # DEPENDENCYPART_ARC
(13,6),-1.0224 # DEPENDENCYPART_ARC
(13,7),-0.86155 # DEPENDENCYPART_ARC
(13,8),-1.07392 # DEPENDENCYPART_ARC
(13,10),-0.502365 # DEPENDENCYPART_ARC
(13,11),-0.76056 # DEPENDENCYPART_ARC
(13,12),-0.4606 # DEPENDENCYPART_ARC
(13,18),-1.00569 # DEPENDENCYPART_ARC
(14,1),-0.590754 # DEPENDENCYPART_ARC
(14,2),-1.25659 # DEPENDENCYPART_ARC
(14,4),0.163829 # DEPENDENCYPART_ARC
(14,5),-0.876436 # DEPENDENCYPART_ARC
(14,6),-0.768841 # DEPENDENCYPART_ARC
(14,7),-0.656482 # DEPENDENCYPART_ARC
(14,8),-0.509348 # DEPENDENCYPART_ARC
(14,10),-0.143927 # DEPENDENCYPART_ARC
(14,11),-0.233073 # DEPENDENCYPART_ARC
(14,12),-0.0138118 # DEPENDENCYPART_ARC
(14,13),0.983654 # DEPENDENCYPART_ARC
(14,15),0.409202 # DEPENDENCYPART_ARC
(14,17),0.633965 # DEPENDENCYPART_ARC
(14,18),0.03634 # DEPENDENCYPART_ARC
(15,17),-0.480331 # DEPENDENCYPART_ARC
(17,1),-2.09255 # DEPENDENCYPART_ARC
(17,2),-1.20673 # DEPENDENCYPART_ARC
(17,4),-1.35226 # DEPENDENCYPART_ARC
(17,5),-0.90301 # DEPENDENCYPART_ARC
(17,6),-0.718017 # DEPENDENCYPART_ARC
(17,7),0.0452953 # DEPENDENCYPART_ARC
(17,8),-1.24245 # DEPENDENCYPART_ARC
(17,10),0.129388 # DEPENDENCYPART_ARC
(17,11),0.0911824 # DEPENDENCYPART_ARC
(17,12),-0.419564 # DEPENDENCYPART_ARC
(17,13),0.387441 # DEPENDENCYPART_ARC
(17,14),-0.0094131 # DEPENDENCYPART_ARC
(17,15),1.49901 # DEPENDENCYPART_ARC
(17,16),2.98173 # DEPENDENCYPART_ARC
(17,18),0.0137869 # DEPENDENCYPART_ARC
(18,1),-1.86181 # DEPENDENCYPART_ARC
(18,16),-1.41319 # DEPENDENCYPART_ARC
(18,17),-0.871429 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.156856 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.607906 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0458947 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0140119 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0458947 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.35203 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.607906 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0911723 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.249993 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0790452 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.153028 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0790452 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.116729 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.249993 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.31303 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.068561 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0189561 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.068561 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.355729 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.605928 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.121042 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.21946 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0210454 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.030572 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.210366 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.402918 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.000183501 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.165659 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.239564 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.221435 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.030572 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.210366 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.402918 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.297346 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0414874 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.121042 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00484246 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0475564 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0823749 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0116845 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0279292 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.00995623 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.00253248 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0350161 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.00478641 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.00253248 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.100724 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.0475564 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0497247 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0109149 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0744909 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0660999 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0410077 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0652164 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0386697 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0277653 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0565865 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0386697 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0977802 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0109149 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0554042 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.102338 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0633379 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0477368 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0624544 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0187918 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0254907 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0542377 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0187918 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.173618 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.180299 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0175055 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0116845 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0279292 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.00995623 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.00253248 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0350161 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.00478641 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.00253248 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.100724 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0475564 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.0497247 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.000703105 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.228808 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0183936 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.00362381 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.215132 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0183936 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.195758 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.0261467 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.0762881 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0315096 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0147691 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0856058 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0253055 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.0147691 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.224335 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.0081393 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.0187955 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.018009 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.00362834 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.215128 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.018009 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.195758 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.0258828 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.0760715 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.00463426 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.0082397 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.0118571 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.029317 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.00350857 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.115798 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0358785 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.00306304 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.138109 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.0155509 # DEPENDENCYPART_SIBL
(1,11),(1,18),-0.042938 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.012211 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.194045 # DEPENDENCYPART_SIBL
(1,12),(1,17),-0.0208623 # DEPENDENCYPART_SIBL
(1,12),(1,18),-0.0723638 # DEPENDENCYPART_SIBL
(1,13),(1,14),-0.029317 # DEPENDENCYPART_SIBL
(1,13),(1,17),0.00350857 # DEPENDENCYPART_SIBL
(1,13),(1,18),-0.115798 # DEPENDENCYPART_SIBL
(1,14),(1,17),0.00940592 # DEPENDENCYPART_SIBL
(1,14),(1,18),0.0178092 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.0175055 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.118343 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0032687 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0332123 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00905438 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.00460301 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.00837528 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0184606 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0191592 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.000624514 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00274052 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.000255754 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0711041 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0878413 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00662107 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0337552 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0209593 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0507854 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0396643 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0366507 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0289057 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.104358 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0162977 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0132121 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0480527 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.00712251 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.024019 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0428724 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0466877 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0109133 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.062937 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.162143 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0168619 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0140113 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0255179 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0140113 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0197779 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.00985731 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.000620907 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0197779 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.030476 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0525371 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.038455 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0547176 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0931968 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00317205 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0262852 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0031666 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00727163 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.00736668 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00398292 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.00727163 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00840415 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0203992 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0410694 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0484436 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.1396 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0978318 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.1396 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0160518 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.110686 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.146356 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0160518 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0137284 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0441867 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.090899 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0360352 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0384685 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.034307 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.00977009 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.045528 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0291372 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.00977009 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.145669 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.00752358 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0659319 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0313418 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.225252 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0106206 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0356202 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.211575 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0106206 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.201963 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.03453 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0703409 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0288637 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.00563135 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0571199 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0226595 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.00563135 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.232482 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0169466 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0115372 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.010236 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0356248 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.211572 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.010236 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.201963 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0342661 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0701243 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0283612 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0128423 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.019737 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0357273 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.00588399 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.109892 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0385244 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0122008 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.146256 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.00674361 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0356797 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.00443803 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.20025 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0292456 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0664167 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0357273 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.00588399 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.109892 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.0054231 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.0195206 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.0191106 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0334768 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00806741 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0334768 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.00361604 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0386003 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0366534 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.108492 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0289073 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.106399 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.00886415 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0132116 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.00765104 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0289119 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.106396 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0186897 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0351643 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0207532 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0297447 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0148131 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.00662904 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0481147 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0296064 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0244374 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0892212 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0133061 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.00835186 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.00423462 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0128908 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0500041 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0198277 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.00847267 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0100018 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0289571 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0138012 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.00634703 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0471028 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.028709 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0238564 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0926437 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00153421 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0092883 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0488237 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0201673 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.00881229 # DEPENDENCYPART_SIBL
