# _root_ Απλουστευτικές ενιαίες λύσεις , όπως η περικοπή του χρόνου εργασίας σε ευρωπαϊκό επίπεδο , είναι άνευ σημαντικής ουσίας .
#goldHeads=3,3,5,5,15,7,5,9,7,9,7,13,11,15,0,15,18,16,0,
#predictedHeads=3,3,4,15,4,7,15,9,7,9,7,13,11,15,0,15,18,16,0,
(15,7),-0.0225327 # DEPENDENCYPART_ARC
(15,9),-1.49327 # DEPENDENCYPART_ARC
(15,10),-1.55841 # DEPENDENCYPART_ARC
(15,11),-0.241615 # DEPENDENCYPART_ARC
(15,12),-0.308721 # DEPENDENCYPART_ARC
(15,13),-0.388853 # DEPENDENCYPART_ARC
(15,14),0.897372 # DEPENDENCYPART_ARC
(15,16),1.52866 # DEPENDENCYPART_ARC
(15,17),-0.408558 # DEPENDENCYPART_ARC
(15,18),-0.991049 # DEPENDENCYPART_ARC
(15,19),0.124509 # DEPENDENCYPART_ARC
(16,13),-1.29898 # DEPENDENCYPART_ARC
(16,14),-0.539206 # DEPENDENCYPART_ARC
(16,17),0.687938 # DEPENDENCYPART_ARC
(16,18),1.44114 # DEPENDENCYPART_ARC
(16,19),-0.126878 # DEPENDENCYPART_ARC
(17,16),-0.458812 # DEPENDENCYPART_ARC
(17,18),0.0496664 # DEPENDENCYPART_ARC
(17,19),-0.69737 # DEPENDENCYPART_ARC
(18,8),-2.1355 # DEPENDENCYPART_ARC
(18,11),-1.26211 # DEPENDENCYPART_ARC
(18,12),-2.01297 # DEPENDENCYPART_ARC
(18,13),-2.32736 # DEPENDENCYPART_ARC
(18,16),-0.345333 # DEPENDENCYPART_ARC
(18,17),1.80555 # DEPENDENCYPART_ARC
(18,19),-0.355901 # DEPENDENCYPART_ARC
(19,18),-1.07026 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0153585 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.155069 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0790452 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.00093822 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.155511 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.155439 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0153587 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0790452 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.259846 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.155511 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.31303 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.155069 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0790452 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.00093822 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.155511 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.155439 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0153587 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0790452 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.259846 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.155511 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.31303 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.00156053 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0406571 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0285525 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0282817 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0255965 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.00156053 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.251769 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.0285525 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.218729 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0965904 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.219643 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.218807 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.00771092 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0210454 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.208969 # DEPENDENCYPART_SIBL
(0,4),(0,18),0.219643 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.402918 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.247958 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.247764 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.0342227 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.101853 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.166624 # DEPENDENCYPART_SIBL
(0,5),(0,18),0.247958 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0161492 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.0284848 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0254563 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.00172897 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.251579 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.0287555 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.218542 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0268111 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.00166964 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.255185 # DEPENDENCYPART_SIBL
(0,10),(0,18),0.0307844 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.2232 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0862519 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.268127 # DEPENDENCYPART_SIBL
(0,12),(0,18),0.147731 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.321678 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.208969 # DEPENDENCYPART_SIBL
(0,14),(0,18),0.219643 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.402918 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0438941 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.166469 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.218542 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00656671 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.000538104 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0286688 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.00619851 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.00619856 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.00545054 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0469333 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00256196 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.108509 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.109892 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0224224 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0605758 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0576152 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0576147 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.00264109 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.105609 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.105608 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0533635 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.109871 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0225415 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0220235 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.108153 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.087333 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0369157 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.108595 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.104908 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0469333 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00256196 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.108509 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.109892 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0605758 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0576152 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0576147 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.105609 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.105608 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.109871 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00791265 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0204197 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00956597 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00295929 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0243266 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0204197 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00956597 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00295929 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0243266 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.168867 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.048556 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0195114 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.135054 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0570399 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0744926 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0144756 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0211818 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.113488 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.120492 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.116788 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.239067 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0671406 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0816976 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0211818 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.113488 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.120492 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.116788 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.239067 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0671406 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0816976 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0337023 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.218867 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.218457 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0226438 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0220058 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.00687701 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0518426 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0518403 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.00626901 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0206849 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0153982 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0451235 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.069266 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.22233 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0335148 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0692652 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.222122 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0391985 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.0548719 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.00201937 # DEPENDENCYPART_SIBL
(4,14),(4,15),7.42676e-05 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0152417 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.141021 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00755224 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.000124085 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00385041 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00573063 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.000597811 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.000178559 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0120462 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0137671 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.00810035 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.249102 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0347736 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0677026 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0672194 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0661176 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0284058 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0687271 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0544513 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.00340651 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0139362 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00909107 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0101237 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0112498 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0119668 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0699315 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.00737294 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.296989 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.104721 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0422412 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00103511 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.000879792 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.00102652 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0175061 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.00100685 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.00490256 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0213096 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.00425041 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.144752 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.14334 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0145944 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.143336 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.00821167 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0442555 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0010929 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.14334 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0140764 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.143336 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.00800451 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0385704 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.00161087 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0143686 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.139955 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.00746917 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0465086 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.00126062 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0192306 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0212504 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0320672 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0382832 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.00762552 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.044719 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.00411073 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.00341303 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0569388 # DEPENDENCYPART_SIBL
(5,15),(5,16),0.00115642 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0085813 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0242308 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0348239 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0108714 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.164595 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0424496 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.00902813 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.00252428 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0234906 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0259284 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.00920428 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0183013 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.00412909 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0316456 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.00931857 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0242308 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0348239 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0108714 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.164595 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0424496 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.00902813 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.00252428 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0234906 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0259284 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.00920428 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0183013 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.00412909 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0316456 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.00931857 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0201918 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.00816125 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.15625 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.00590983 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.00333378 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.00531278 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0150948 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.00771561 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.00936219 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0120242 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.027804 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0246633 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.00839363 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0262792 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.119571 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.03695 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.039107 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0300001 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.00891694 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0248127 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0239262 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.192008 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.0197471 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.00407166 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.026681 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.134936 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0167827 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.021651 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0120159 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.00441183 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0231497 # DEPENDENCYPART_SIBL
