# _root_ * Να περάσετε μια νύχτα στο Ξενοδοχείο Loriet , ένα ανακαινισμένο αρχοντικό , στην Χρυσή Ακτή της Μυτιλήνης .
#goldHeads=0,3,0,5,3,3,8,9,6,12,12,9,3,12,16,14,18,16,0,
#predictedHeads=0,3,0,5,3,3,6,7,11,12,7,11,11,11,16,14,18,16,0,
(11,19),-0.414739 # DEPENDENCYPART_ARC
(12,5),-1.57343 # DEPENDENCYPART_ARC
(12,7),-0.796856 # DEPENDENCYPART_ARC
(12,9),-0.370281 # DEPENDENCYPART_ARC
(12,10),0.325679 # DEPENDENCYPART_ARC
(12,11),-0.363916 # DEPENDENCYPART_ARC
(12,13),-0.259985 # DEPENDENCYPART_ARC
(12,14),-0.669191 # DEPENDENCYPART_ARC
(12,15),-1.78825 # DEPENDENCYPART_ARC
(12,16),-1.6003 # DEPENDENCYPART_ARC
(12,19),-0.744336 # DEPENDENCYPART_ARC
(13,1),-1.08214 # DEPENDENCYPART_ARC
(13,3),-1.27703 # DEPENDENCYPART_ARC
(13,5),-1.3675 # DEPENDENCYPART_ARC
(13,6),-0.943773 # DEPENDENCYPART_ARC
(13,7),-1.32357 # DEPENDENCYPART_ARC
(13,9),-0.928934 # DEPENDENCYPART_ARC
(13,11),-0.86116 # DEPENDENCYPART_ARC
(13,12),-0.516605 # DEPENDENCYPART_ARC
(13,14),-0.399115 # DEPENDENCYPART_ARC
(13,15),-0.733139 # DEPENDENCYPART_ARC
(13,16),-1.06274 # DEPENDENCYPART_ARC
(13,18),-1.25214 # DEPENDENCYPART_ARC
(13,19),-0.444281 # DEPENDENCYPART_ARC
(14,12),-1.25189 # DEPENDENCYPART_ARC
(14,13),0.0940505 # DEPENDENCYPART_ARC
(14,15),0.668956 # DEPENDENCYPART_ARC
(14,16),2.05495 # DEPENDENCYPART_ARC
(14,19),-0.203512 # DEPENDENCYPART_ARC
(15,13),-0.877483 # DEPENDENCYPART_ARC
(15,16),-0.575528 # DEPENDENCYPART_ARC
(15,18),-0.38888 # DEPENDENCYPART_ARC
(15,19),-0.649033 # DEPENDENCYPART_ARC
(16,3),-2.81186 # DEPENDENCYPART_ARC
(16,10),-0.651551 # DEPENDENCYPART_ARC
(16,11),1.34862 # DEPENDENCYPART_ARC
(16,12),-0.328412 # DEPENDENCYPART_ARC
(16,13),-0.388839 # DEPENDENCYPART_ARC
(16,14),-0.0373963 # DEPENDENCYPART_ARC
(16,15),2.22442 # DEPENDENCYPART_ARC
(16,17),0.108431 # DEPENDENCYPART_ARC
(16,18),1.40159 # DEPENDENCYPART_ARC
(16,19),-0.210765 # DEPENDENCYPART_ARC
(18,17),2.1006 # DEPENDENCYPART_ARC
(18,19),-0.708471 # DEPENDENCYPART_ARC
(19,1),-1.3618 # DEPENDENCYPART_ARC
(19,3),-1.70592 # DEPENDENCYPART_ARC
(19,5),-1.81094 # DEPENDENCYPART_ARC
(19,12),-1.65204 # DEPENDENCYPART_ARC
(19,14),-1.42775 # DEPENDENCYPART_ARC
(19,16),-1.30521 # DEPENDENCYPART_ARC
(19,18),-0.998059 # DEPENDENCYPART_ARC
(0,1),(0,3),0.0244314 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.531788 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.203036 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.531788 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.235744 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.382413 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0244278 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.204475 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.382413 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.207244 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.531788 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.531788 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.10632 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0184369 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0988919 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0184369 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.13499 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.068561 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.605928 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.162284 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.068561 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.072617 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0184369 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0184369 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.121042 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.158129 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0287555 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.00273918 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.00172897 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.239183 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0254557 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.00172897 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.148968 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.0287555 # DEPENDENCYPART_SIBL
(0,5),(0,18),0.0287555 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.218542 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0209082 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.124788 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.232627 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.358835 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.1465 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.232627 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0332722 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0209082 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.0209082 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.493736 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.00273918 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.00172897 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.239183 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0254557 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.00172897 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.148968 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.0287555 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.0287555 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.218542 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0442776 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.226407 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0280914 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0442776 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.0488313 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.0947356 # DEPENDENCYPART_SIBL
(0,8),(0,18),0.0947356 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.238715 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.210374 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.00771071 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0210454 # DEPENDENCYPART_SIBL
(0,9),(0,14),0.00520159 # DEPENDENCYPART_SIBL
(0,9),(0,16),0.219643 # DEPENDENCYPART_SIBL
(0,9),(0,18),0.219643 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.402918 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.162464 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0690351 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0727975 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0186174 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0186174 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.121685 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0790452 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.123344 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.155511 # DEPENDENCYPART_SIBL
(0,12),(0,18),0.155511 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.31303 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.00520159 # DEPENDENCYPART_SIBL
(0,13),(0,16),0.219643 # DEPENDENCYPART_SIBL
(0,13),(0,18),0.219643 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.402918 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0225483 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0225483 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.517172 # DEPENDENCYPART_SIBL
(0,16),(0,18),0.0287555 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.218542 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.218542 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.00636834 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00322102 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.00636834 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.105086 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.141765 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.00497065 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.105086 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.00636834 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0925749 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0623209 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.112435 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.020553 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0221306 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.112435 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.0623209 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.00471774 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.00289085 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0174135 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.011001 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.00289085 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.00471774 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.112435 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.020553 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0221306 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.112435 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.0623209 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.000821708 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0330042 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.029095 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0349707 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.00497065 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.104973 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.00636833 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.0124999 # DEPENDENCYPART_SIBL
(1,12),(1,18),0.00141288 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.0349707 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0194534 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.098835 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.113835 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.098835 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0386017 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0630313 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0386017 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.123082 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.098835 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.098835 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0369893 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0439491 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0460872 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0439491 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0350492 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0315781 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0350492 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0562804 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0439491 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0439491 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0704956 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0313463 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.225248 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.010236 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0342661 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.010236 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.00275349 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.225248 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.225248 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0701243 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0288561 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00563135 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0169529 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.00563135 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0595971 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0288561 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0288561 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0115372 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.010236 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0342661 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.010236 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.00275349 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.225248 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.225248 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0701243 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.00589129 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.019737 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0253011 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.00436572 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.00436572 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.109892 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0221681 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0185663 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0645075 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0645075 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.0189186 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0253011 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.00436572 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.00436572 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.109892 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0183506 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0183506 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.0465285 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.225248 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.0701243 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0701243 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.034545 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.132156 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00471632 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0178512 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.050822 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.154862 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0190256 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.00845549 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.131349 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0135012 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00603616 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0191656 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0265514 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0951611 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.00366032 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0730986 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.00954867 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.12833 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0611166 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0397495 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0390806 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0102965 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0154051 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.017562 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.00286995 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.019513 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.00295563 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0398964 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0083485 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.01456 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.021876 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.00106583 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0131033 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0166344 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0148982 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.00593381 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.230048 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.122932 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0600393 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.034545 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.132156 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0220818 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.00720032 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.050822 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.154862 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0190256 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.00459089 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.154862 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.00845549 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0178512 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.131349 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0256455 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.00761484 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0191656 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0265514 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0951611 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0450452 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0265514 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.00366032 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.00603616 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0783897 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0573899 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.12833 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0611166 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0397495 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.00329333 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0611166 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.0390806 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.00954867 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0155777 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0338522 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0120242 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.000135959 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.00740844 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0120242 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.00819945 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.0032421 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0366174 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0458025 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0316655 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0530227 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0458025 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0598333 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0411704 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.021876 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.00106583 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0141773 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.021876 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0131033 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.00561521 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0166344 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.00507862 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.0173702 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0148982 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.0608782 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.00528776 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.108218 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.00593381 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.0184964 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.039381 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.0432758 # DEPENDENCYPART_SIBL
