# _root_ Κύριε Πρόεδρε , καταρχάς θα ήθελα να συγχαρώ τους τρεις εισηγητές - τον κ. Χατζηδάκη , τον κ. van Dam και τον κ. Grosch - για το έργο τους .
#goldHeads=2,6,2,6,6,0,8,6,11,11,12,8,15,15,21,21,20,20,20,21,12,24,24,21,12,8,28,26,28,0,
#predictedHeads=2,6,4,6,6,0,8,6,11,11,8,21,15,15,21,21,20,20,20,21,8,24,24,21,21,8,28,26,28,0,
(6,25),0.0159197 # DEPENDENCYPART_ARC
(6,26),-0.817179 # DEPENDENCYPART_ARC
(6,28),-2.1405 # DEPENDENCYPART_ARC
(6,30),0.3657 # DEPENDENCYPART_ARC
(7,8),-0.27756 # DEPENDENCYPART_ARC
(8,1),-1.16815 # DEPENDENCYPART_ARC
(8,2),-1.26818 # DEPENDENCYPART_ARC
(8,3),-0.632626 # DEPENDENCYPART_ARC
(8,4),-1.09146 # DEPENDENCYPART_ARC
(8,5),0.162182 # DEPENDENCYPART_ARC
(8,6),-0.355011 # DEPENDENCYPART_ARC
(8,7),1.77071 # DEPENDENCYPART_ARC
(8,9),-0.206439 # DEPENDENCYPART_ARC
(8,10),-0.539235 # DEPENDENCYPART_ARC
(8,11),-0.123757 # DEPENDENCYPART_ARC
(8,12),0.111168 # DEPENDENCYPART_ARC
(8,14),-0.503129 # DEPENDENCYPART_ARC
(8,15),-0.967886 # DEPENDENCYPART_ARC
(8,16),0.0463164 # DEPENDENCYPART_ARC
(8,21),-0.18887 # DEPENDENCYPART_ARC
(8,25),0.199792 # DEPENDENCYPART_ARC
(8,26),-0.117732 # DEPENDENCYPART_ARC
(8,28),-1.82698 # DEPENDENCYPART_ARC
(8,30),0.221685 # DEPENDENCYPART_ARC
(10,9),1.20508 # DEPENDENCYPART_ARC
(11,3),-0.821515 # DEPENDENCYPART_ARC
(11,4),-1.02774 # DEPENDENCYPART_ARC
(11,6),-1.96683 # DEPENDENCYPART_ARC
(11,8),-1.45789 # DEPENDENCYPART_ARC
(11,9),2.16274 # DEPENDENCYPART_ARC
(11,10),1.87905 # DEPENDENCYPART_ARC
(11,12),-0.308822 # DEPENDENCYPART_ARC
(11,13),-1.45672 # DEPENDENCYPART_ARC
(11,14),-0.910796 # DEPENDENCYPART_ARC
(11,15),-1.32207 # DEPENDENCYPART_ARC
(11,16),-0.91597 # DEPENDENCYPART_ARC
(11,21),-0.923837 # DEPENDENCYPART_ARC
(11,26),-0.619025 # DEPENDENCYPART_ARC
(12,1),-1.35362 # DEPENDENCYPART_ARC
(12,2),-1.42575 # DEPENDENCYPART_ARC
(12,3),-0.81926 # DEPENDENCYPART_ARC
(12,4),-1.35314 # DEPENDENCYPART_ARC
(12,6),-1.15201 # DEPENDENCYPART_ARC
(12,8),-1.04683 # DEPENDENCYPART_ARC
(12,10),-0.680342 # DEPENDENCYPART_ARC
(12,11),-0.335235 # DEPENDENCYPART_ARC
(12,14),-0.586869 # DEPENDENCYPART_ARC
(12,15),-0.796858 # DEPENDENCYPART_ARC
(12,16),-0.224972 # DEPENDENCYPART_ARC
(12,21),-0.334208 # DEPENDENCYPART_ARC
(12,25),-0.0294675 # DEPENDENCYPART_ARC
(12,26),-0.804371 # DEPENDENCYPART_ARC
(12,30),-0.290898 # DEPENDENCYPART_ARC
(14,11),-0.813128 # DEPENDENCYPART_ARC
(14,12),-0.541783 # DEPENDENCYPART_ARC
(14,13),0.81275 # DEPENDENCYPART_ARC
(14,16),-0.455812 # DEPENDENCYPART_ARC
(15,12),-0.300337 # DEPENDENCYPART_ARC
(15,13),1.73945 # DEPENDENCYPART_ARC
(15,14),1.14219 # DEPENDENCYPART_ARC
(15,16),-0.789172 # DEPENDENCYPART_ARC
(16,1),-1.44332 # DEPENDENCYPART_ARC
(16,2),-1.39296 # DEPENDENCYPART_ARC
(16,3),-0.917333 # DEPENDENCYPART_ARC
(16,4),-1.36846 # DEPENDENCYPART_ARC
(16,6),-1.15816 # DEPENDENCYPART_ARC
(16,8),-1.03957 # DEPENDENCYPART_ARC
(16,11),-1.01085 # DEPENDENCYPART_ARC
(16,12),-0.639408 # DEPENDENCYPART_ARC
(16,15),-0.196563 # DEPENDENCYPART_ARC
(16,18),-0.788865 # DEPENDENCYPART_ARC
(16,19),-0.722434 # DEPENDENCYPART_ARC
(16,21),-0.507853 # DEPENDENCYPART_ARC
(16,25),-0.307938 # DEPENDENCYPART_ARC
(16,26),-0.934008 # DEPENDENCYPART_ARC
(16,30),-0.5477 # DEPENDENCYPART_ARC
(18,16),-0.515469 # DEPENDENCYPART_ARC
(18,17),0.741448 # DEPENDENCYPART_ARC
(19,16),-0.30558 # DEPENDENCYPART_ARC
(19,17),0.609811 # DEPENDENCYPART_ARC
(19,18),0.989107 # DEPENDENCYPART_ARC
(19,20),-0.216287 # DEPENDENCYPART_ARC
(19,24),-0.865208 # DEPENDENCYPART_ARC
(20,17),0.668614 # DEPENDENCYPART_ARC
(20,18),0.989432 # DEPENDENCYPART_ARC
(20,19),1.36409 # DEPENDENCYPART_ARC
(20,24),-1.04947 # DEPENDENCYPART_ARC
(21,1),-0.726367 # DEPENDENCYPART_ARC
(21,2),-0.782707 # DEPENDENCYPART_ARC
(21,3),-0.0193478 # DEPENDENCYPART_ARC
(21,4),-0.683401 # DEPENDENCYPART_ARC
(21,6),-1.06593 # DEPENDENCYPART_ARC
(21,8),-0.626749 # DEPENDENCYPART_ARC
(21,11),-0.216489 # DEPENDENCYPART_ARC
(21,12),0.127441 # DEPENDENCYPART_ARC
(21,15),-0.0828197 # DEPENDENCYPART_ARC
(21,16),0.594813 # DEPENDENCYPART_ARC
(21,17),-0.932739 # DEPENDENCYPART_ARC
(21,19),-0.253184 # DEPENDENCYPART_ARC
(21,20),0.261562 # DEPENDENCYPART_ARC
(21,22),-0.147362 # DEPENDENCYPART_ARC
(21,23),0.204597 # DEPENDENCYPART_ARC
(21,24),0.0378637 # DEPENDENCYPART_ARC
(21,25),-0.0905214 # DEPENDENCYPART_ARC
(21,26),-0.62008 # DEPENDENCYPART_ARC
(21,28),-1.02476 # DEPENDENCYPART_ARC
(21,30),-0.346591 # DEPENDENCYPART_ARC
(23,21),-0.317025 # DEPENDENCYPART_ARC
(23,22),0.715646 # DEPENDENCYPART_ARC
(23,25),-0.149163 # DEPENDENCYPART_ARC
(24,21),0.233738 # DEPENDENCYPART_ARC
(24,22),1.14332 # DEPENDENCYPART_ARC
(24,23),1.71175 # DEPENDENCYPART_ARC
(24,25),-0.390899 # DEPENDENCYPART_ARC
(25,1),-1.83554 # DEPENDENCYPART_ARC
(25,2),-1.84113 # DEPENDENCYPART_ARC
(25,11),-1.65044 # DEPENDENCYPART_ARC
(25,15),-1.59885 # DEPENDENCYPART_ARC
(25,21),-0.853824 # DEPENDENCYPART_ARC
(25,24),-0.539488 # DEPENDENCYPART_ARC
(25,26),-0.443716 # DEPENDENCYPART_ARC
(25,28),-0.982994 # DEPENDENCYPART_ARC
(25,30),-0.430498 # DEPENDENCYPART_ARC
(26,25),-0.231452 # DEPENDENCYPART_ARC
(26,27),-0.126689 # DEPENDENCYPART_ARC
(26,28),1.29073 # DEPENDENCYPART_ARC
(26,30),-0.201588 # DEPENDENCYPART_ARC
(28,22),-0.984863 # DEPENDENCYPART_ARC
(28,25),-0.756148 # DEPENDENCYPART_ARC
(28,26),-0.613272 # DEPENDENCYPART_ARC
(28,27),2.30503 # DEPENDENCYPART_ARC
(28,29),1.55489 # DEPENDENCYPART_ARC
(28,30),-0.305575 # DEPENDENCYPART_ARC
(30,15),-1.95469 # DEPENDENCYPART_ARC
(30,26),-1.36215 # DEPENDENCYPART_ARC
(30,28),-1.38805 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0127081 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0574565 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0229937 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.273949 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.272892 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.012163 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0645518 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0348702 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0121577 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0574565 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0348702 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0344874 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0352164 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.193143 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.0348702 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.0348947 # DEPENDENCYPART_SIBL
(0,1),(0,25),0.0645518 # DEPENDENCYPART_SIBL
(0,1),(0,26),0.0487524 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.0152707 # DEPENDENCYPART_SIBL
(0,1),(0,30),-0.285494 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0415308 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0396842 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.128826 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.132354 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.0522957 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.176393 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.0382776 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.052301 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.0415308 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.0382776 # DEPENDENCYPART_SIBL
(0,2),(0,19),0.0386951 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.0379661 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.109462 # DEPENDENCYPART_SIBL
(0,2),(0,23),0.0382776 # DEPENDENCYPART_SIBL
(0,2),(0,24),0.0382878 # DEPENDENCYPART_SIBL
(0,2),(0,25),0.176393 # DEPENDENCYPART_SIBL
(0,2),(0,26),0.12004 # DEPENDENCYPART_SIBL
(0,2),(0,28),0.0491879 # DEPENDENCYPART_SIBL
(0,2),(0,30),-0.128611 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.204626 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.192928 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.198865 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.219638 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0496637 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.013203 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.219643 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0210454 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.013203 # DEPENDENCYPART_SIBL
(0,3),(0,19),0.0138803 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.0138808 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.030572 # DEPENDENCYPART_SIBL
(0,3),(0,23),0.013203 # DEPENDENCYPART_SIBL
(0,3),(0,24),0.0138833 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.0496637 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.0377247 # DEPENDENCYPART_SIBL
(0,3),(0,28),0.216226 # DEPENDENCYPART_SIBL
(0,3),(0,30),-0.402918 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.259729 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.255303 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0177896 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0987692 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0139305 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.0177948 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0198474 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0139305 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0135476 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0142766 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.166884 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0139305 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.0139549 # DEPENDENCYPART_SIBL
(0,4),(0,25),0.0987692 # DEPENDENCYPART_SIBL
(0,4),(0,26),0.0679041 # DEPENDENCYPART_SIBL
(0,4),(0,28),0.0146818 # DEPENDENCYPART_SIBL
(0,4),(0,30),-0.244919 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.610759 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0191645 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.00833331 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.135115 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0191593 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0632443 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.135115 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.13505 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.135049 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.355891 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.135115 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.135047 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.00833331 # DEPENDENCYPART_SIBL
(0,6),(0,26),-0.0919104 # DEPENDENCYPART_SIBL
(0,6),(0,28),-0.0217335 # DEPENDENCYPART_SIBL
(0,6),(0,30),-0.110611 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0186166 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0146124 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.135219 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0186114 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0689459 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.135219 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.135153 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.135153 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.355891 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.135219 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.13515 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.0146124 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.0920595 # DEPENDENCYPART_SIBL
(0,8),(0,28),-0.0211856 # DEPENDENCYPART_SIBL
(0,8),(0,30),-0.121577 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.119338 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.00312577 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.0287541 # DEPENDENCYPART_SIBL
(0,11),(0,16),0.00172815 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.00312577 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.00274295 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.00347194 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.16287 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.00312577 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.00315024 # DEPENDENCYPART_SIBL
(0,11),(0,25),0.119338 # DEPENDENCYPART_SIBL
(0,11),(0,26),0.0872925 # DEPENDENCYPART_SIBL
(0,11),(0,28),0.0256413 # DEPENDENCYPART_SIBL
(0,11),(0,30),-0.218543 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.113145 # DEPENDENCYPART_SIBL
(0,12),(0,15),0.403833 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.0645221 # DEPENDENCYPART_SIBL
(0,12),(0,18),0.113145 # DEPENDENCYPART_SIBL
(0,12),(0,19),0.113526 # DEPENDENCYPART_SIBL
(0,12),(0,20),0.113526 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.0108245 # DEPENDENCYPART_SIBL
(0,12),(0,23),0.113145 # DEPENDENCYPART_SIBL
(0,12),(0,24),0.113529 # DEPENDENCYPART_SIBL
(0,12),(0,25),0.0350674 # DEPENDENCYPART_SIBL
(0,12),(0,26),0.0862055 # DEPENDENCYPART_SIBL
(0,12),(0,28),0.400425 # DEPENDENCYPART_SIBL
(0,12),(0,30),-0.29051 # DEPENDENCYPART_SIBL
(0,14),(0,15),0.0886732 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0576359 # DEPENDENCYPART_SIBL
(0,14),(0,18),0.0171183 # DEPENDENCYPART_SIBL
(0,14),(0,19),0.0181972 # DEPENDENCYPART_SIBL
(0,14),(0,20),0.0228924 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.144187 # DEPENDENCYPART_SIBL
(0,14),(0,23),0.0171183 # DEPENDENCYPART_SIBL
(0,14),(0,24),0.017164 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.0163715 # DEPENDENCYPART_SIBL
(0,14),(0,26),0.00358568 # DEPENDENCYPART_SIBL
(0,14),(0,28),0.0824539 # DEPENDENCYPART_SIBL
(0,14),(0,30),-0.253937 # DEPENDENCYPART_SIBL
(0,15),(0,16),0.00172897 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.00312495 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.00274213 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.00347112 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.162869 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.00312495 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.00314942 # DEPENDENCYPART_SIBL
(0,15),(0,25),0.119338 # DEPENDENCYPART_SIBL
(0,15),(0,26),0.0786958 # DEPENDENCYPART_SIBL
(0,15),(0,28),0.0256427 # DEPENDENCYPART_SIBL
(0,15),(0,30),-0.218542 # DEPENDENCYPART_SIBL
(0,16),(0,18),0.013203 # DEPENDENCYPART_SIBL
(0,16),(0,19),0.0138803 # DEPENDENCYPART_SIBL
(0,16),(0,20),0.0138808 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.030572 # DEPENDENCYPART_SIBL
(0,16),(0,23),0.013203 # DEPENDENCYPART_SIBL
(0,16),(0,24),0.0138833 # DEPENDENCYPART_SIBL
(0,16),(0,25),-0.0496637 # DEPENDENCYPART_SIBL
(0,16),(0,26),-0.0377247 # DEPENDENCYPART_SIBL
(0,16),(0,28),0.216226 # DEPENDENCYPART_SIBL
(0,16),(0,30),-0.402918 # DEPENDENCYPART_SIBL
(0,18),(0,19),0.0181972 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.0228924 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.144187 # DEPENDENCYPART_SIBL
(0,18),(0,23),0.0171183 # DEPENDENCYPART_SIBL
(0,18),(0,24),0.017164 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.0163715 # DEPENDENCYPART_SIBL
(0,18),(0,26),0.00358568 # DEPENDENCYPART_SIBL
(0,18),(0,28),0.0824539 # DEPENDENCYPART_SIBL
(0,18),(0,30),-0.253937 # DEPENDENCYPART_SIBL
(0,19),(0,20),0.0457984 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.134655 # DEPENDENCYPART_SIBL
(0,19),(0,23),0.0353218 # DEPENDENCYPART_SIBL
(0,19),(0,24),0.0358866 # DEPENDENCYPART_SIBL
(0,19),(0,25),-0.00429545 # DEPENDENCYPART_SIBL
(0,19),(0,26),0.0114431 # DEPENDENCYPART_SIBL
(0,19),(0,28),0.0885064 # DEPENDENCYPART_SIBL
(0,19),(0,30),-0.238715 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.134654 # DEPENDENCYPART_SIBL
(0,20),(0,23),0.030623 # DEPENDENCYPART_SIBL
(0,20),(0,24),0.0311878 # DEPENDENCYPART_SIBL
(0,20),(0,25),-0.00429515 # DEPENDENCYPART_SIBL
(0,20),(0,26),0.0114054 # DEPENDENCYPART_SIBL
(0,20),(0,28),0.0885068 # DEPENDENCYPART_SIBL
(0,20),(0,30),-0.238715 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.0473816 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.0473114 # DEPENDENCYPART_SIBL
(0,21),(0,25),-0.0417145 # DEPENDENCYPART_SIBL
(0,21),(0,26),-0.0500269 # DEPENDENCYPART_SIBL
(0,21),(0,28),-0.00269388 # DEPENDENCYPART_SIBL
(0,21),(0,30),-0.0414874 # DEPENDENCYPART_SIBL
(0,23),(0,24),0.017164 # DEPENDENCYPART_SIBL
(0,23),(0,25),-0.0163715 # DEPENDENCYPART_SIBL
(0,23),(0,26),0.00358568 # DEPENDENCYPART_SIBL
(0,23),(0,28),0.0824539 # DEPENDENCYPART_SIBL
(0,23),(0,30),-0.253937 # DEPENDENCYPART_SIBL
(0,24),(0,25),-0.00429679 # DEPENDENCYPART_SIBL
(0,24),(0,26),0.0114615 # DEPENDENCYPART_SIBL
(0,24),(0,28),0.0885026 # DEPENDENCYPART_SIBL
(0,24),(0,30),-0.238716 # DEPENDENCYPART_SIBL
(0,25),(0,26),0.0862055 # DEPENDENCYPART_SIBL
(0,25),(0,28),0.400425 # DEPENDENCYPART_SIBL
(0,25),(0,30),-0.29051 # DEPENDENCYPART_SIBL
(0,26),(0,28),-0.0374234 # DEPENDENCYPART_SIBL
(0,26),(0,30),-0.513444 # DEPENDENCYPART_SIBL
(0,28),(0,30),-0.224623 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0503579 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.135829 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0263062 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0290533 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.170086 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0513274 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0196704 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0271959 # DEPENDENCYPART_SIBL
(1,3),(1,21),-0.00104717 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.000637009 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.00654118 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.167691 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0947602 # DEPENDENCYPART_SIBL
(1,6),(1,21),-0.0726655 # DEPENDENCYPART_SIBL
(1,8),(1,21),-0.0726482 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.138092 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0031088 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00641758 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0394658 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0101872 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00608429 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0269459 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.143838 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0103595 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.014334 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.202848 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0166337 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.20281 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.177312 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0446594 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0499049 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.246925 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0569346 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.246887 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0469098 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.052286 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0454522 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.162892 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0454541 # DEPENDENCYPART_SIBL
