# _root_ Στους πρόποδές του , αξίζει να επισκεφθείτε το Δασικό Χωριό της Ελευθερούπολης , στο οποίο μπορείτε να κλείσετε και δωμάτιο για διαμονή .
#goldHeads=5,1,2,5,0,7,5,10,10,7,12,10,7,18,14,10,18,16,18,18,20,21,0,
#predictedHeads=5,1,2,5,0,7,5,10,10,7,12,10,16,16,14,10,18,16,20,18,20,21,0,
(7,6),1.73242 # DEPENDENCYPART_ARC
(7,8),-0.780601 # DEPENDENCYPART_ARC
(7,9),-0.664108 # DEPENDENCYPART_ARC
(7,10),-0.228026 # DEPENDENCYPART_ARC
(7,12),-2.01159 # DEPENDENCYPART_ARC
(7,13),0.0300521 # DEPENDENCYPART_ARC
(7,14),0.19906 # DEPENDENCYPART_ARC
(7,16),-1.97281 # DEPENDENCYPART_ARC
(7,18),-2.18658 # DEPENDENCYPART_ARC
(7,19),-0.881927 # DEPENDENCYPART_ARC
(7,20),-2.25272 # DEPENDENCYPART_ARC
(7,21),-1.16906 # DEPENDENCYPART_ARC
(7,23),-0.391551 # DEPENDENCYPART_ARC
(9,2),-1.60148 # DEPENDENCYPART_ARC
(9,8),0.823002 # DEPENDENCYPART_ARC
(9,10),-0.373969 # DEPENDENCYPART_ARC
(9,12),-0.17373 # DEPENDENCYPART_ARC
(9,14),-0.924612 # DEPENDENCYPART_ARC
(10,4),-0.816331 # DEPENDENCYPART_ARC
(10,7),-0.89306 # DEPENDENCYPART_ARC
(10,8),2.17565 # DEPENDENCYPART_ARC
(10,9),2.70406 # DEPENDENCYPART_ARC
(10,11),-0.158919 # DEPENDENCYPART_ARC
(10,12),1.53521 # DEPENDENCYPART_ARC
(10,13),-0.229481 # DEPENDENCYPART_ARC
(10,14),-0.463209 # DEPENDENCYPART_ARC
(10,16),-0.855589 # DEPENDENCYPART_ARC
(10,18),-1.37103 # DEPENDENCYPART_ARC
(10,19),-0.54537 # DEPENDENCYPART_ARC
(10,21),-0.678876 # DEPENDENCYPART_ARC
(12,8),-1.87874 # DEPENDENCYPART_ARC
(12,10),-1.73835 # DEPENDENCYPART_ARC
(12,11),2.10804 # DEPENDENCYPART_ARC
(12,13),-0.728866 # DEPENDENCYPART_ARC
(12,14),-0.736468 # DEPENDENCYPART_ARC
(12,16),-0.977602 # DEPENDENCYPART_ARC
(13,2),-1.23284 # DEPENDENCYPART_ARC
(13,4),-0.730123 # DEPENDENCYPART_ARC
(13,5),-1.0136 # DEPENDENCYPART_ARC
(13,7),-0.899974 # DEPENDENCYPART_ARC
(13,9),-1.01452 # DEPENDENCYPART_ARC
(13,10),-0.713847 # DEPENDENCYPART_ARC
(13,12),-0.400602 # DEPENDENCYPART_ARC
(13,14),-0.483703 # DEPENDENCYPART_ARC
(14,13),-0.0559952 # DEPENDENCYPART_ARC
(14,15),4.01728 # DEPENDENCYPART_ARC
(14,16),-0.745879 # DEPENDENCYPART_ARC
(14,19),-0.454131 # DEPENDENCYPART_ARC
(15,13),-0.479748 # DEPENDENCYPART_ARC
(15,16),-0.163317 # DEPENDENCYPART_ARC
(15,18),-0.429453 # DEPENDENCYPART_ARC
(16,1),-0.040037 # DEPENDENCYPART_ARC
(16,2),-1.41123 # DEPENDENCYPART_ARC
(16,4),-0.903054 # DEPENDENCYPART_ARC
(16,5),-2.14386 # DEPENDENCYPART_ARC
(16,7),-2.71972 # DEPENDENCYPART_ARC
(16,9),-1.2449 # DEPENDENCYPART_ARC
(16,10),-1.47568 # DEPENDENCYPART_ARC
(16,11),-1.60211 # DEPENDENCYPART_ARC
(16,12),-2.29495 # DEPENDENCYPART_ARC
(16,13),0.310523 # DEPENDENCYPART_ARC
(16,14),0.585114 # DEPENDENCYPART_ARC
(16,15),0.591429 # DEPENDENCYPART_ARC
(16,17),0.211601 # DEPENDENCYPART_ARC
(16,18),0.581973 # DEPENDENCYPART_ARC
(16,19),-0.282778 # DEPENDENCYPART_ARC
(16,20),-0.751018 # DEPENDENCYPART_ARC
(16,21),-0.396122 # DEPENDENCYPART_ARC
(16,22),-1.59476 # DEPENDENCYPART_ARC
(16,23),-0.351798 # DEPENDENCYPART_ARC
(17,18),-0.229189 # DEPENDENCYPART_ARC
(17,20),-1.14203 # DEPENDENCYPART_ARC
(18,1),-0.217617 # DEPENDENCYPART_ARC
(18,2),-1.5313 # DEPENDENCYPART_ARC
(18,4),-1.31862 # DEPENDENCYPART_ARC
(18,5),-2.09286 # DEPENDENCYPART_ARC
(18,7),-3.07243 # DEPENDENCYPART_ARC
(18,9),-1.90783 # DEPENDENCYPART_ARC
(18,10),-1.77935 # DEPENDENCYPART_ARC
(18,12),-2.47644 # DEPENDENCYPART_ARC
(18,13),-0.499307 # DEPENDENCYPART_ARC
(18,14),-0.0610613 # DEPENDENCYPART_ARC
(18,15),0.0278741 # DEPENDENCYPART_ARC
(18,16),-0.289451 # DEPENDENCYPART_ARC
(18,17),1.77386 # DEPENDENCYPART_ARC
(18,19),0.343682 # DEPENDENCYPART_ARC
(18,20),0.482794 # DEPENDENCYPART_ARC
(18,21),0.0734913 # DEPENDENCYPART_ARC
(18,22),-0.809298 # DEPENDENCYPART_ARC
(18,23),-0.362955 # DEPENDENCYPART_ARC
(19,1),-0.812341 # DEPENDENCYPART_ARC
(19,2),-0.554737 # DEPENDENCYPART_ARC
(19,4),-0.70724 # DEPENDENCYPART_ARC
(19,5),-0.813544 # DEPENDENCYPART_ARC
(19,7),-0.587453 # DEPENDENCYPART_ARC
(19,9),-0.879163 # DEPENDENCYPART_ARC
(19,10),-0.277189 # DEPENDENCYPART_ARC
(19,12),-0.148624 # DEPENDENCYPART_ARC
(19,13),-0.410429 # DEPENDENCYPART_ARC
(19,14),-0.421467 # DEPENDENCYPART_ARC
(19,15),-0.353794 # DEPENDENCYPART_ARC
(19,16),-0.0183671 # DEPENDENCYPART_ARC
(19,17),-0.205703 # DEPENDENCYPART_ARC
(19,18),1.20474 # DEPENDENCYPART_ARC
(19,20),1.01668 # DEPENDENCYPART_ARC
(19,21),-0.327873 # DEPENDENCYPART_ARC
(19,22),-0.529207 # DEPENDENCYPART_ARC
(19,23),-0.41867 # DEPENDENCYPART_ARC
(20,11),-2.01777 # DEPENDENCYPART_ARC
(20,15),-0.174986 # DEPENDENCYPART_ARC
(20,18),-1.46268 # DEPENDENCYPART_ARC
(20,19),0.389783 # DEPENDENCYPART_ARC
(20,21),0.657675 # DEPENDENCYPART_ARC
(20,22),-0.124616 # DEPENDENCYPART_ARC
(20,23),-0.379557 # DEPENDENCYPART_ARC
(21,19),-0.281032 # DEPENDENCYPART_ARC
(21,20),-0.835831 # DEPENDENCYPART_ARC
(21,22),2.14538 # DEPENDENCYPART_ARC
(21,23),-0.186536 # DEPENDENCYPART_ARC
(22,15),-1.43562 # DEPENDENCYPART_ARC
(22,20),-1.01209 # DEPENDENCYPART_ARC
(22,21),-0.607022 # DEPENDENCYPART_ARC
(22,23),-0.270633 # DEPENDENCYPART_ARC
(23,7),-1.85968 # DEPENDENCYPART_ARC
(23,20),-1.41231 # DEPENDENCYPART_ARC
(23,21),-1.26786 # DEPENDENCYPART_ARC
(23,22),-1.0478 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0105212 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.239171 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.359877 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.360694 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0105212 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0105212 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.239171 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0635687 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.359877 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.359877 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.199245 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0105212 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.514196 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.00172897 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.239223 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.239183 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.0287555 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.0287555 # DEPENDENCYPART_SIBL
(0,2),(0,13),0.00172897 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.158129 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.239183 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.239183 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.162869 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.0287555 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.218542 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.210366 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.210366 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.219643 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.219643 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0210454 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.00586757 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.210366 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.210366 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.030572 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.219643 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.402918 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.599304 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0118127 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0118127 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0520005 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0922677 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.599304 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.599304 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.349105 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0118127 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0978572 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0186446 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0186446 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0706349 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0990996 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.606221 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.606221 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.355937 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0186446 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.122552 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.0287555 # DEPENDENCYPART_SIBL
(0,10),(0,13),0.00172897 # DEPENDENCYPART_SIBL
(0,10),(0,14),0.158129 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.239183 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.239183 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.162869 # DEPENDENCYPART_SIBL
(0,10),(0,20),0.0287555 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.218542 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.00172897 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.158129 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.239183 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.239183 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.162869 # DEPENDENCYPART_SIBL
(0,12),(0,20),0.0287555 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.218542 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.00586757 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.210366 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.210366 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.030572 # DEPENDENCYPART_SIBL
(0,13),(0,20),0.219643 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.402918 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.358828 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.358828 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.227154 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.0209082 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.493736 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.596144 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.345945 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.00865262 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.0965828 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.355729 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0184369 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.121042 # DEPENDENCYPART_SIBL
(0,19),(0,20),6.64612e-05 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.0414874 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.218543 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0494724 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0240874 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0486879 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0200278 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.017856 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0431537 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0132682 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.017856 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.017856 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.000810472 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0341448 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.082667 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0608856 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0608856 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0883575 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0639862 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0608865 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0608856 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.11744 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.093414 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0166589 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0166589 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0608782 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.00648633 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0166581 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0166589 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.000719687 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.00369908 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0925376 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0184955 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00374299 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0925385 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0925376 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0726291 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0455996 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0184964 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0037421 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0926225 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0926216 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0726282 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.0456005 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0616711 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.00835581 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.00835845 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.173872 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.00499425 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.00284836 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.00284748 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.103818 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.0271642 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.0925383 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.0726298 # DEPENDENCYPART_SIBL
(2,16),(2,21),0.0455989 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.0726282 # DEPENDENCYPART_SIBL
(2,18),(2,21),0.0456005 # DEPENDENCYPART_SIBL
(2,19),(2,21),0.0236906 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0306512 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0489837 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.050809 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0715379 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0238065 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0250001 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.216411 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.134611 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.00646932 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.00646932 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0164341 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0536589 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.00378878 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.00816166 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.00121741 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0259692 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.00306711 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.00306711 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0102467 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.00121741 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0103363 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.0231717 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0319678 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00619027 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0336791 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.012075 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0518779 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0054686 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0054686 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.00714917 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0118803 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.0300633 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.0162714 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0135514 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00763428 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0346104 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.112871 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0128297 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0128297 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.000287976 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.0346104 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.0176428 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.0198158 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.107661 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0653716 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0302637 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.194851 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.194851 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.190714 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0653716 # DEPENDENCYPART_SIBL
(5,7),(5,21),0.0115531 # DEPENDENCYPART_SIBL
(5,7),(5,23),0.0225016 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0343066 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0022896 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.00752358 # DEPENDENCYPART_SIBL
(5,9),(5,18),0.00752358 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.149275 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.0343066 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.0284896 # DEPENDENCYPART_SIBL
(5,9),(5,23),-0.0599034 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0141193 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.034032 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0340311 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.206554 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.225013 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.0187214 # DEPENDENCYPART_SIBL
(5,10),(5,23),-0.0578305 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0058892 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.0058892 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.0393392 # DEPENDENCYPART_SIBL
(5,13),(5,20),0.00436052 # DEPENDENCYPART_SIBL
(5,13),(5,21),-0.000145108 # DEPENDENCYPART_SIBL
(5,13),(5,23),-0.103868 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.193817 # DEPENDENCYPART_SIBL
(5,16),(5,19),-0.18985 # DEPENDENCYPART_SIBL
(5,16),(5,20),-0.0645075 # DEPENDENCYPART_SIBL
(5,16),(5,21),0.0124172 # DEPENDENCYPART_SIBL
(5,16),(5,23),0.0300296 # DEPENDENCYPART_SIBL
(5,18),(5,19),-0.18985 # DEPENDENCYPART_SIBL
(5,18),(5,20),-0.0645075 # DEPENDENCYPART_SIBL
(5,18),(5,21),0.0124172 # DEPENDENCYPART_SIBL
(5,18),(5,23),0.0251391 # DEPENDENCYPART_SIBL
(5,19),(5,20),-0.0108811 # DEPENDENCYPART_SIBL
(5,19),(5,21),-0.00342501 # DEPENDENCYPART_SIBL
(5,19),(5,23),0.0255455 # DEPENDENCYPART_SIBL
(5,20),(5,21),-0.0187221 # DEPENDENCYPART_SIBL
(5,20),(5,23),-0.0578305 # DEPENDENCYPART_SIBL
(5,21),(5,23),-0.0116124 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.00803706 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0455904 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0105093 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0110116 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.00114632 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.00167174 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.000238039 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.000238039 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.00567666 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0462465 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.00655889 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.00655889 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.00673638 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.000238039 # DEPENDENCYPART_SIBL
(7,1),(7,21),0.00498852 # DEPENDENCYPART_SIBL
(7,1),(7,23),-0.0283961 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0401423 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0235801 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.00398562 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.015322 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0258045 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0128413 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0128413 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.00182031 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0125862 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.00865646 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.00865646 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.00908692 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.013036 # DEPENDENCYPART_SIBL
(7,2),(7,21),0.0274615 # DEPENDENCYPART_SIBL
(7,2),(7,23),-0.0126883 # DEPENDENCYPART_SIBL
