# _root_ Σημειώνεται πάντως ότι το " νέο , ευέλικτο Σύμφωνο Σταθερότητας " δίνει μεγαλύτερη έμφαση στο δημόσιο χρέος , κάτι το οποίο δεν ευνοεί χώρες όπως η Ελλάδα .
#goldHeads=0,1,1,9,9,7,9,7,12,9,9,3,14,12,12,17,15,12,3,21,23,23,19,23,24,27,24,0,
#predictedHeads=0,1,1,9,9,9,9,9,12,9,9,3,14,12,12,17,15,23,17,21,23,23,19,23,24,27,23,0,
(7,16),-1.18072 # DEPENDENCYPART_ARC
(7,17),-1.69402 # DEPENDENCYPART_ARC
(7,27),-1.80839 # DEPENDENCYPART_ARC
(8,3),-0.757372 # DEPENDENCYPART_ARC
(8,5),-0.600158 # DEPENDENCYPART_ARC
(8,6),0.0589275 # DEPENDENCYPART_ARC
(8,7),-0.0878242 # DEPENDENCYPART_ARC
(8,9),-0.164944 # DEPENDENCYPART_ARC
(8,10),0.449729 # DEPENDENCYPART_ARC
(8,11),-0.233073 # DEPENDENCYPART_ARC
(8,17),-1.87407 # DEPENDENCYPART_ARC
(9,1),-1.64918 # DEPENDENCYPART_ARC
(9,2),-0.726733 # DEPENDENCYPART_ARC
(9,4),0.520646 # DEPENDENCYPART_ARC
(9,5),-0.314522 # DEPENDENCYPART_ARC
(9,6),-0.251931 # DEPENDENCYPART_ARC
(9,7),0.100392 # DEPENDENCYPART_ARC
(9,8),2.16132 # DEPENDENCYPART_ARC
(9,10),2.07177 # DEPENDENCYPART_ARC
(9,11),-0.266455 # DEPENDENCYPART_ARC
(9,12),-0.674477 # DEPENDENCYPART_ARC
(9,13),-0.671154 # DEPENDENCYPART_ARC
(9,14),-1.08303 # DEPENDENCYPART_ARC
(9,15),-0.912111 # DEPENDENCYPART_ARC
(9,23),-1.28133 # DEPENDENCYPART_ARC
(9,25),-0.77453 # DEPENDENCYPART_ARC
(10,1),-1.44619 # DEPENDENCYPART_ARC
(10,2),-0.817517 # DEPENDENCYPART_ARC
(10,4),-0.998601 # DEPENDENCYPART_ARC
(10,5),-0.27374 # DEPENDENCYPART_ARC
(10,6),-1.8161 # DEPENDENCYPART_ARC
(10,7),-0.324605 # DEPENDENCYPART_ARC
(10,8),-0.517018 # DEPENDENCYPART_ARC
(10,9),-0.228329 # DEPENDENCYPART_ARC
(10,11),-0.177277 # DEPENDENCYPART_ARC
(10,12),-1.16755 # DEPENDENCYPART_ARC
(10,13),-1.19523 # DEPENDENCYPART_ARC
(10,14),-1.52937 # DEPENDENCYPART_ARC
(10,15),-0.97877 # DEPENDENCYPART_ARC
(10,16),-1.9461 # DEPENDENCYPART_ARC
(11,1),-1.48235 # DEPENDENCYPART_ARC
(11,6),-1.57673 # DEPENDENCYPART_ARC
(11,8),-1.35485 # DEPENDENCYPART_ARC
(11,9),-1.1737 # DEPENDENCYPART_ARC
(11,10),-0.842317 # DEPENDENCYPART_ARC
(11,12),-0.779753 # DEPENDENCYPART_ARC
(11,13),-1.36229 # DEPENDENCYPART_ARC
(11,14),-1.64493 # DEPENDENCYPART_ARC
(11,27),-2.13297 # DEPENDENCYPART_ARC
(12,1),-1.532 # DEPENDENCYPART_ARC
(12,2),-0.289202 # DEPENDENCYPART_ARC
(12,3),-0.695999 # DEPENDENCYPART_ARC
(12,5),-0.32187 # DEPENDENCYPART_ARC
(12,6),-1.2323 # DEPENDENCYPART_ARC
(12,7),0.0709401 # DEPENDENCYPART_ARC
(12,8),-0.860657 # DEPENDENCYPART_ARC
(12,9),-0.618895 # DEPENDENCYPART_ARC
(12,10),-1.10331 # DEPENDENCYPART_ARC
(12,11),0.787306 # DEPENDENCYPART_ARC
(12,13),0.879475 # DEPENDENCYPART_ARC
(12,14),1.98189 # DEPENDENCYPART_ARC
(12,15),0.50764 # DEPENDENCYPART_ARC
(12,16),-0.648073 # DEPENDENCYPART_ARC
(12,17),0.555696 # DEPENDENCYPART_ARC
(12,18),0.218981 # DEPENDENCYPART_ARC
(12,23),-0.818629 # DEPENDENCYPART_ARC
(12,24),-1.03044 # DEPENDENCYPART_ARC
(12,25),-0.781637 # DEPENDENCYPART_ARC
(12,27),-1.06299 # DEPENDENCYPART_ARC
(12,28),-0.125784 # DEPENDENCYPART_ARC
(13,11),-0.236435 # DEPENDENCYPART_ARC
(13,14),-0.631153 # DEPENDENCYPART_ARC
(13,15),-0.331924 # DEPENDENCYPART_ARC
(13,16),-1.06851 # DEPENDENCYPART_ARC
(13,17),-1.70198 # DEPENDENCYPART_ARC
(14,4),-1.58106 # DEPENDENCYPART_ARC
(14,8),-0.649746 # DEPENDENCYPART_ARC
(14,9),-1.0368 # DEPENDENCYPART_ARC
(14,10),-0.852616 # DEPENDENCYPART_ARC
(14,11),-0.341656 # DEPENDENCYPART_ARC
(14,13),2.53908 # DEPENDENCYPART_ARC
(14,15),0.768752 # DEPENDENCYPART_ARC
(14,16),-0.866039 # DEPENDENCYPART_ARC
(14,17),-0.857436 # DEPENDENCYPART_ARC
(14,18),-0.217352 # DEPENDENCYPART_ARC
(14,19),-1.03479 # DEPENDENCYPART_ARC
(14,23),-0.523229 # DEPENDENCYPART_ARC
(14,25),-0.749146 # DEPENDENCYPART_ARC
(15,13),-0.939974 # DEPENDENCYPART_ARC
(15,16),1.06697 # DEPENDENCYPART_ARC
(15,17),2.05005 # DEPENDENCYPART_ARC
(15,18),-0.279937 # DEPENDENCYPART_ARC
(16,14),-1.45932 # DEPENDENCYPART_ARC
(16,17),-0.320478 # DEPENDENCYPART_ARC
(16,18),-0.647785 # DEPENDENCYPART_ARC
(16,23),-1.26168 # DEPENDENCYPART_ARC
(16,24),-1.78392 # DEPENDENCYPART_ARC
(17,13),0.405824 # DEPENDENCYPART_ARC
(17,14),-0.941654 # DEPENDENCYPART_ARC
(17,15),-0.211322 # DEPENDENCYPART_ARC
(17,16),2.4146 # DEPENDENCYPART_ARC
(17,18),-0.337423 # DEPENDENCYPART_ARC
(17,19),-0.783289 # DEPENDENCYPART_ARC
(17,23),-0.84406 # DEPENDENCYPART_ARC
(17,24),-2.12644 # DEPENDENCYPART_ARC
(17,25),-1.2355 # DEPENDENCYPART_ARC
(18,1),-1.28103 # DEPENDENCYPART_ARC
(18,7),-0.388821 # DEPENDENCYPART_ARC
(18,13),-1.24356 # DEPENDENCYPART_ARC
(18,14),-0.883375 # DEPENDENCYPART_ARC
(18,15),-0.6395 # DEPENDENCYPART_ARC
(18,16),-0.840488 # DEPENDENCYPART_ARC
(18,17),-0.424177 # DEPENDENCYPART_ARC
(18,23),-1.14516 # DEPENDENCYPART_ARC
(18,24),-1.72186 # DEPENDENCYPART_ARC
(18,25),-1.25126 # DEPENDENCYPART_ARC
(18,27),-1.73549 # DEPENDENCYPART_ARC
(19,18),-0.00564214 # DEPENDENCYPART_ARC
(19,23),-0.405409 # DEPENDENCYPART_ARC
(21,20),2.23142 # DEPENDENCYPART_ARC
(22,20),-0.422797 # DEPENDENCYPART_ARC
(22,24),-0.692329 # DEPENDENCYPART_ARC
(23,1),-2.05833 # DEPENDENCYPART_ARC
(23,2),-0.65551 # DEPENDENCYPART_ARC
(23,3),-0.913587 # DEPENDENCYPART_ARC
(23,6),-1.77455 # DEPENDENCYPART_ARC
(23,8),-1.56262 # DEPENDENCYPART_ARC
(23,9),-1.33473 # DEPENDENCYPART_ARC
(23,10),-2.10783 # DEPENDENCYPART_ARC
(23,12),-1.11106 # DEPENDENCYPART_ARC
(23,13),-0.486728 # DEPENDENCYPART_ARC
(23,14),-0.881039 # DEPENDENCYPART_ARC
(23,15),-0.454478 # DEPENDENCYPART_ARC
(23,16),-1.10611 # DEPENDENCYPART_ARC
(23,17),-1.05896 # DEPENDENCYPART_ARC
(23,18),0.253722 # DEPENDENCYPART_ARC
(23,19),0.254852 # DEPENDENCYPART_ARC
(23,20),-0.264003 # DEPENDENCYPART_ARC
(23,21),1.15172 # DEPENDENCYPART_ARC
(23,22),1.77774 # DEPENDENCYPART_ARC
(23,24),1.75091 # DEPENDENCYPART_ARC
(23,25),0.146645 # DEPENDENCYPART_ARC
(23,27),0.185786 # DEPENDENCYPART_ARC
(23,28),-0.410076 # DEPENDENCYPART_ARC
(24,20),-1.49022 # DEPENDENCYPART_ARC
(24,21),-0.872532 # DEPENDENCYPART_ARC
(24,22),0.221114 # DEPENDENCYPART_ARC
(24,23),-1.47163 # DEPENDENCYPART_ARC
(24,25),0.406827 # DEPENDENCYPART_ARC
(24,26),-1.1361 # DEPENDENCYPART_ARC
(24,27),-0.997473 # DEPENDENCYPART_ARC
(25,21),-2.02658 # DEPENDENCYPART_ARC
(25,24),-0.540981 # DEPENDENCYPART_ARC
(25,26),-0.555961 # DEPENDENCYPART_ARC
(25,27),-0.518374 # DEPENDENCYPART_ARC
(25,28),-0.701121 # DEPENDENCYPART_ARC
(27,25),-0.554913 # DEPENDENCYPART_ARC
(27,26),2.43494 # DEPENDENCYPART_ARC
(27,28),-0.570474 # DEPENDENCYPART_ARC
(28,19),-1.58955 # DEPENDENCYPART_ARC
(28,24),-1.52375 # DEPENDENCYPART_ARC
(28,25),-1.02882 # DEPENDENCYPART_ARC
(28,27),-0.986316 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.118392 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.326277 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0155767 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.162284 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.068561 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.605933 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.068561 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.131642 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.605928 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.00981409 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.121042 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.00454792 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0518846 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.00992891 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0430536 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.183619 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.0430536 # DEPENDENCYPART_SIBL
(0,2),(0,19),0.0113777 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.183564 # DEPENDENCYPART_SIBL
(0,2),(0,24),0.189531 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.0739181 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0746311 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0993199 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.144945 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.311281 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.144945 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.109544 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.31342 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.0193459 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.190609 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.00586436 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0850824 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.25206 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0850824 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.00269658 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.250936 # DEPENDENCYPART_SIBL
(0,5),(0,24),0.25043 # DEPENDENCYPART_SIBL
(0,5),(0,28),-0.484002 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0791427 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.25 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.0791427 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0140406 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.249994 # DEPENDENCYPART_SIBL
(0,6),(0,24),0.180453 # DEPENDENCYPART_SIBL
(0,6),(0,28),-0.313079 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.212608 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0210454 # DEPENDENCYPART_SIBL
(0,7),(0,19),0.00425344 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.210366 # DEPENDENCYPART_SIBL
(0,7),(0,24),0.224337 # DEPENDENCYPART_SIBL
(0,7),(0,28),-0.402918 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0807134 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.135657 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.61017 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.0145227 # DEPENDENCYPART_SIBL
(0,12),(0,28),-0.134707 # DEPENDENCYPART_SIBL
(0,18),(0,19),0.00425344 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.210366 # DEPENDENCYPART_SIBL
(0,18),(0,24),0.224337 # DEPENDENCYPART_SIBL
(0,18),(0,28),-0.402918 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.25269 # DEPENDENCYPART_SIBL
(0,19),(0,24),0.0736376 # DEPENDENCYPART_SIBL
(0,19),(0,28),-0.204965 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.00981409 # DEPENDENCYPART_SIBL
(0,23),(0,28),-0.121042 # DEPENDENCYPART_SIBL
(0,24),(0,28),-0.218209 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0395147 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.010173 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0618563 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0142865 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0648644 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0222833 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0225095 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.010173 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0113284 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0222252 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.000710042 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.0225097 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.0142865 # DEPENDENCYPART_SIBL
(1,2),(1,24),0.00406353 # DEPENDENCYPART_SIBL
(1,2),(1,25),-0.0437116 # DEPENDENCYPART_SIBL
(1,2),(1,27),0.0211116 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0355876 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.152674 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0849159 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.155682 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.193149 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.192923 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0355876 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0662871 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.193208 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.191511 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.192923 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0849159 # DEPENDENCYPART_SIBL
(1,3),(1,24),-0.205252 # DEPENDENCYPART_SIBL
(1,3),(1,25),-0.1259 # DEPENDENCYPART_SIBL
(1,3),(1,27),-0.19432 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.077951 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0182256 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0806771 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.033555 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0333288 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0770205 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0375386 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0336196 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0173227 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.0333287 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.0182256 # DEPENDENCYPART_SIBL
(1,5),(1,24),-0.0455317 # DEPENDENCYPART_SIBL
(1,5),(1,25),-0.0359244 # DEPENDENCYPART_SIBL
(1,5),(1,27),-0.0351008 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0100843 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.106888 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0346756 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0344493 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0168388 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.00731275 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0352757 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0382112 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.0344492 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.0100843 # DEPENDENCYPART_SIBL
(1,6),(1,24),-0.04071 # DEPENDENCYPART_SIBL
(1,6),(1,25),-0.0426707 # DEPENDENCYPART_SIBL
(1,6),(1,27),-0.036194 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0539448 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.00413934 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.00436558 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0406894 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.00827153 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.0040646 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.0134004 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.00436572 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.019737 # DEPENDENCYPART_SIBL
(1,7),(1,24),-0.00956212 # DEPENDENCYPART_SIBL
(1,7),(1,25),0.0270614 # DEPENDENCYPART_SIBL
(1,7),(1,27),0.00259285 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0347555 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0345292 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0168446 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.00721238 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.0353556 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.037801 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.0345291 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.00999258 # DEPENDENCYPART_SIBL
(1,8),(1,24),-0.0407899 # DEPENDENCYPART_SIBL
(1,8),(1,25),-0.0427739 # DEPENDENCYPART_SIBL
(1,8),(1,27),-0.0362739 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.225341 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.021614 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0369702 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.225531 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0313408 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.225251 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.0102406 # DEPENDENCYPART_SIBL
(1,9),(1,24),-0.241209 # DEPENDENCYPART_SIBL
(1,9),(1,25),-0.0092225 # DEPENDENCYPART_SIBL
(1,9),(1,27),-0.226648 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0216171 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0355702 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.23004 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0289956 # DEPENDENCYPART_SIBL
(1,10),(1,17),-0.229759 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.0102365 # DEPENDENCYPART_SIBL
(1,10),(1,24),-0.245718 # DEPENDENCYPART_SIBL
(1,10),(1,25),-0.00921959 # DEPENDENCYPART_SIBL
(1,10),(1,27),-0.231156 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.0375386 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.0336196 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.0173227 # DEPENDENCYPART_SIBL
(1,11),(1,17),-0.0333287 # DEPENDENCYPART_SIBL
(1,11),(1,18),-0.0182256 # DEPENDENCYPART_SIBL
(1,11),(1,24),-0.0455317 # DEPENDENCYPART_SIBL
(1,11),(1,25),-0.0359244 # DEPENDENCYPART_SIBL
(1,11),(1,27),-0.0351008 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.0651533 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.0281539 # DEPENDENCYPART_SIBL
(1,12),(1,17),-0.0648722 # DEPENDENCYPART_SIBL
(1,12),(1,18),0.017817 # DEPENDENCYPART_SIBL
(1,12),(1,24),-0.0752911 # DEPENDENCYPART_SIBL
(1,12),(1,25),-0.0187698 # DEPENDENCYPART_SIBL
(1,12),(1,27),-0.0662698 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.0313068 # DEPENDENCYPART_SIBL
(1,14),(1,17),-0.225248 # DEPENDENCYPART_SIBL
(1,14),(1,18),-0.0102914 # DEPENDENCYPART_SIBL
(1,14),(1,24),-0.241207 # DEPENDENCYPART_SIBL
(1,14),(1,25),-0.00921938 # DEPENDENCYPART_SIBL
(1,14),(1,27),-0.226646 # DEPENDENCYPART_SIBL
(1,15),(1,17),-0.0288561 # DEPENDENCYPART_SIBL
(1,15),(1,18),-0.00563135 # DEPENDENCYPART_SIBL
(1,15),(1,24),-0.0486014 # DEPENDENCYPART_SIBL
(1,15),(1,25),-0.0467665 # DEPENDENCYPART_SIBL
(1,15),(1,27),-0.0323324 # DEPENDENCYPART_SIBL
(1,17),(1,18),-0.010236 # DEPENDENCYPART_SIBL
(1,17),(1,24),-0.241207 # DEPENDENCYPART_SIBL
(1,17),(1,25),-0.00921933 # DEPENDENCYPART_SIBL
(1,17),(1,27),-0.226646 # DEPENDENCYPART_SIBL
(1,18),(1,24),-0.00956212 # DEPENDENCYPART_SIBL
(1,18),(1,25),0.0270614 # DEPENDENCYPART_SIBL
(1,18),(1,27),0.00259285 # DEPENDENCYPART_SIBL
(1,24),(1,25),-0.0128314 # DEPENDENCYPART_SIBL
(1,24),(1,27),-0.230137 # DEPENDENCYPART_SIBL
(1,25),(1,27),0.0456901 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0104538 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00606712 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.138391 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0117263 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.00206655 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0100897 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0368967 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0447601 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0331525 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0447601 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0706604 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0331525 # DEPENDENCYPART_SIBL
