# _root_ Το πάρτυ διαρκεί μέχρι τις 10 ή 11 το βράδυ , όταν οι περισσότεροι πάνε για ντουζ , ένα εσπρέσο και μετά δείπνο και περισσότερη διασκέδαση.Μέχρι πρωίας .
#goldHeads=2,3,0,3,7,7,10,7,10,4,3,10,14,15,12,15,18,21,20,18,16,21,24,21,26,24,26,0,
#predictedHeads=2,3,0,3,6,4,3,7,10,8,12,3,14,15,12,15,16,21,20,21,15,21,22,23,24,25,24,0,
(11,10),-0.45188 # DEPENDENCYPART_ARC
(11,12),-0.403534 # DEPENDENCYPART_ARC
(11,14),-1.10077 # DEPENDENCYPART_ARC
(11,15),-1.12033 # DEPENDENCYPART_ARC
(11,25),-1.62675 # DEPENDENCYPART_ARC
(12,11),0.878432 # DEPENDENCYPART_ARC
(12,13),0.152018 # DEPENDENCYPART_ARC
(12,15),0.969028 # DEPENDENCYPART_ARC
(12,18),0.0561812 # DEPENDENCYPART_ARC
(12,21),-0.198252 # DEPENDENCYPART_ARC
(12,24),-0.296767 # DEPENDENCYPART_ARC
(12,28),-0.435941 # DEPENDENCYPART_ARC
(14,10),-1.34427 # DEPENDENCYPART_ARC
(14,11),-0.466447 # DEPENDENCYPART_ARC
(14,12),-0.292774 # DEPENDENCYPART_ARC
(14,13),1.39577 # DEPENDENCYPART_ARC
(14,15),-1.68291 # DEPENDENCYPART_ARC
(14,16),-0.482341 # DEPENDENCYPART_ARC
(14,17),-1.50008 # DEPENDENCYPART_ARC
(15,2),-0.957787 # DEPENDENCYPART_ARC
(15,3),-1.60701 # DEPENDENCYPART_ARC
(15,4),-0.328416 # DEPENDENCYPART_ARC
(15,6),-0.47536 # DEPENDENCYPART_ARC
(15,7),-0.453687 # DEPENDENCYPART_ARC
(15,8),-0.470932 # DEPENDENCYPART_ARC
(15,10),-0.95782 # DEPENDENCYPART_ARC
(15,11),0.234352 # DEPENDENCYPART_ARC
(15,12),-0.18811 # DEPENDENCYPART_ARC
(15,13),-0.377031 # DEPENDENCYPART_ARC
(15,14),1.18108 # DEPENDENCYPART_ARC
(15,16),1.48323 # DEPENDENCYPART_ARC
(15,17),0.577693 # DEPENDENCYPART_ARC
(15,18),0.0978074 # DEPENDENCYPART_ARC
(15,20),-0.353439 # DEPENDENCYPART_ARC
(15,21),-0.00905685 # DEPENDENCYPART_ARC
(15,22),-0.180152 # DEPENDENCYPART_ARC
(15,23),-1.36249 # DEPENDENCYPART_ARC
(15,24),-0.157757 # DEPENDENCYPART_ARC
(15,26),-0.66958 # DEPENDENCYPART_ARC
(15,27),-2.87976 # DEPENDENCYPART_ARC
(15,28),-0.294022 # DEPENDENCYPART_ARC
(16,15),-0.305807 # DEPENDENCYPART_ARC
(16,17),2.27703 # DEPENDENCYPART_ARC
(16,18),-0.0658565 # DEPENDENCYPART_ARC
(16,20),-0.275302 # DEPENDENCYPART_ARC
(16,21),-0.143234 # DEPENDENCYPART_ARC
(16,23),-0.69419 # DEPENDENCYPART_ARC
(16,24),-0.109382 # DEPENDENCYPART_ARC
(17,13),-1.87282 # DEPENDENCYPART_ARC
(17,14),-1.96736 # DEPENDENCYPART_ARC
(17,16),-0.45445 # DEPENDENCYPART_ARC
(17,18),-0.369252 # DEPENDENCYPART_ARC
(17,20),-1.07443 # DEPENDENCYPART_ARC
(17,22),-0.821932 # DEPENDENCYPART_ARC
(18,2),-1.4364 # DEPENDENCYPART_ARC
(18,3),-1.30834 # DEPENDENCYPART_ARC
(18,14),-1.35934 # DEPENDENCYPART_ARC
(18,16),-0.65396 # DEPENDENCYPART_ARC
(18,17),-0.243198 # DEPENDENCYPART_ARC
(18,19),-0.444232 # DEPENDENCYPART_ARC
(18,20),-0.79043 # DEPENDENCYPART_ARC
(18,21),-0.497744 # DEPENDENCYPART_ARC
(18,23),-1.2875 # DEPENDENCYPART_ARC
(18,25),-1.3468 # DEPENDENCYPART_ARC
(18,26),-1.12975 # DEPENDENCYPART_ARC
(18,27),-1.4825 # DEPENDENCYPART_ARC
(18,28),-0.446528 # DEPENDENCYPART_ARC
(20,13),-1.73197 # DEPENDENCYPART_ARC
(20,14),-1.10477 # DEPENDENCYPART_ARC
(20,16),-1.38164 # DEPENDENCYPART_ARC
(20,17),-1.39347 # DEPENDENCYPART_ARC
(20,18),-0.646608 # DEPENDENCYPART_ARC
(20,19),1.39709 # DEPENDENCYPART_ARC
(20,21),0.0121699 # DEPENDENCYPART_ARC
(20,22),-0.253034 # DEPENDENCYPART_ARC
(20,23),-1.05227 # DEPENDENCYPART_ARC
(20,25),-1.38498 # DEPENDENCYPART_ARC
(20,26),-0.726063 # DEPENDENCYPART_ARC
(20,27),-0.779212 # DEPENDENCYPART_ARC
(21,2),-0.902461 # DEPENDENCYPART_ARC
(21,3),-0.696156 # DEPENDENCYPART_ARC
(21,4),-0.475219 # DEPENDENCYPART_ARC
(21,7),-0.568225 # DEPENDENCYPART_ARC
(21,10),-0.644549 # DEPENDENCYPART_ARC
(21,11),-0.417374 # DEPENDENCYPART_ARC
(21,12),-0.301263 # DEPENDENCYPART_ARC
(21,14),-0.999483 # DEPENDENCYPART_ARC
(21,15),-0.0845424 # DEPENDENCYPART_ARC
(21,16),0.0650229 # DEPENDENCYPART_ARC
(21,17),-0.128621 # DEPENDENCYPART_ARC
(21,18),0.476341 # DEPENDENCYPART_ARC
(21,19),-0.262694 # DEPENDENCYPART_ARC
(21,20),0.51099 # DEPENDENCYPART_ARC
(21,22),0.821009 # DEPENDENCYPART_ARC
(21,23),0.471209 # DEPENDENCYPART_ARC
(21,24),-0.184118 # DEPENDENCYPART_ARC
(21,25),-0.314266 # DEPENDENCYPART_ARC
(21,26),-0.639984 # DEPENDENCYPART_ARC
(21,27),-0.672197 # DEPENDENCYPART_ARC
(21,28),-0.439939 # DEPENDENCYPART_ARC
(22,20),-1.14068 # DEPENDENCYPART_ARC
(22,21),0.225236 # DEPENDENCYPART_ARC
(22,23),1.97513 # DEPENDENCYPART_ARC
(22,24),0.196037 # DEPENDENCYPART_ARC
(22,25),-0.46901 # DEPENDENCYPART_ARC
(22,26),-0.555682 # DEPENDENCYPART_ARC
(22,27),-0.113959 # DEPENDENCYPART_ARC
(23,13),-3.23 # DEPENDENCYPART_ARC
(23,19),-0.620322 # DEPENDENCYPART_ARC
(23,21),-0.308466 # DEPENDENCYPART_ARC
(23,22),-0.305081 # DEPENDENCYPART_ARC
(23,24),-0.105086 # DEPENDENCYPART_ARC
(23,25),-0.393174 # DEPENDENCYPART_ARC
(23,26),-0.743685 # DEPENDENCYPART_ARC
(23,27),0.196512 # DEPENDENCYPART_ARC
(24,2),-0.813326 # DEPENDENCYPART_ARC
(24,3),-0.684366 # DEPENDENCYPART_ARC
(24,4),-0.627912 # DEPENDENCYPART_ARC
(24,7),-0.367849 # DEPENDENCYPART_ARC
(24,10),-0.507076 # DEPENDENCYPART_ARC
(24,11),-0.693915 # DEPENDENCYPART_ARC
(24,12),-0.214462 # DEPENDENCYPART_ARC
(24,14),-0.93868 # DEPENDENCYPART_ARC
(24,15),0.0646763 # DEPENDENCYPART_ARC
(24,16),-0.19722 # DEPENDENCYPART_ARC
(24,17),-0.0589122 # DEPENDENCYPART_ARC
(24,18),0.0859943 # DEPENDENCYPART_ARC
(24,19),-0.485791 # DEPENDENCYPART_ARC
(24,20),0.214892 # DEPENDENCYPART_ARC
(24,21),0.243217 # DEPENDENCYPART_ARC
(24,22),-0.0297573 # DEPENDENCYPART_ARC
(24,23),1.32288 # DEPENDENCYPART_ARC
(24,25),0.824337 # DEPENDENCYPART_ARC
(24,26),-0.200062 # DEPENDENCYPART_ARC
(24,27),0.051014 # DEPENDENCYPART_ARC
(24,28),-0.38337 # DEPENDENCYPART_ARC
(25,17),-1.03889 # DEPENDENCYPART_ARC
(25,20),-0.416002 # DEPENDENCYPART_ARC
(25,22),-0.406631 # DEPENDENCYPART_ARC
(25,23),-0.525095 # DEPENDENCYPART_ARC
(25,24),0.369203 # DEPENDENCYPART_ARC
(25,26),0.319303 # DEPENDENCYPART_ARC
(25,27),-0.00170647 # DEPENDENCYPART_ARC
(25,28),-0.271034 # DEPENDENCYPART_ARC
(26,4),-0.825567 # DEPENDENCYPART_ARC
(26,16),-0.605861 # DEPENDENCYPART_ARC
(26,17),-0.998831 # DEPENDENCYPART_ARC
(26,20),-1.09488 # DEPENDENCYPART_ARC
(26,22),-0.556177 # DEPENDENCYPART_ARC
(26,23),-0.812738 # DEPENDENCYPART_ARC
(26,24),-0.20939 # DEPENDENCYPART_ARC
(26,25),0.075521 # DEPENDENCYPART_ARC
(26,27),0.417497 # DEPENDENCYPART_ARC
(26,28),-0.587693 # DEPENDENCYPART_ARC
(27,20),-1.76236 # DEPENDENCYPART_ARC
(27,22),-1.0751 # DEPENDENCYPART_ARC
(27,23),-2.12829 # DEPENDENCYPART_ARC
(27,24),-0.295879 # DEPENDENCYPART_ARC
(27,25),-0.0655332 # DEPENDENCYPART_ARC
(27,26),0.402281 # DEPENDENCYPART_ARC
(27,28),-0.321574 # DEPENDENCYPART_ARC
(28,25),-1.60096 # DEPENDENCYPART_ARC
(28,27),-1.08672 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.238734 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.153419 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.00728169 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0922274 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.00728374 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.0193305 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0187674 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0217775 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.234086 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.0193305 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.159056 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.159056 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.180037 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0963227 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.180473 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.301983 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.180472 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0801947 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.277068 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.166929 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.613788 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0801947 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.360373 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.360373 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.137306 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.145565 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.151921 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.145564 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.232374 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.109834 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.140231 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.363817 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.232374 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.195602 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.195602 # DEPENDENCYPART_SIBL
(0,4),(0,28),-0.51053 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0102793 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.00188371 # DEPENDENCYPART_SIBL
(0,6),(0,11),0.0272706 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.0171524 # DEPENDENCYPART_SIBL
(0,6),(0,14),0.0164839 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.17746 # DEPENDENCYPART_SIBL
(0,6),(0,18),0.0272706 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.019029 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.019029 # DEPENDENCYPART_SIBL
(0,6),(0,28),-0.108769 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0843705 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0624042 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.10291 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0618897 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.284803 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0624042 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.164525 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.164525 # DEPENDENCYPART_SIBL
(0,7),(0,28),-0.0862615 # DEPENDENCYPART_SIBL
(0,8),(0,11),0.0268418 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.0171649 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.0164918 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.177451 # DEPENDENCYPART_SIBL
(0,8),(0,18),0.0268418 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.0190117 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.0190117 # DEPENDENCYPART_SIBL
(0,8),(0,28),-0.10898 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.00382707 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.00802292 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.211937 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0210454 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.030572 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.030572 # DEPENDENCYPART_SIBL
(0,11),(0,28),-0.402918 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0347056 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.263861 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.00882041 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.136349 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.136349 # DEPENDENCYPART_SIBL
(0,12),(0,28),0.00127276 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.251811 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0790501 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.116734 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.116734 # DEPENDENCYPART_SIBL
(0,14),(0,28),-0.313035 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0734017 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.357666 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.357666 # DEPENDENCYPART_SIBL
(0,15),(0,28),-0.127819 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.030572 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.030572 # DEPENDENCYPART_SIBL
(0,18),(0,28),-0.402918 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.203802 # DEPENDENCYPART_SIBL
(0,21),(0,28),-0.0414874 # DEPENDENCYPART_SIBL
(0,24),(0,28),-0.0414874 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0513659 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0100693 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.141814 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.136467 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00906372 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0290252 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0290225 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0360138 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0360112 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0181739 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00645504 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0208418 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0226627 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.032162 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0167266 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.030881 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00982223 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.095488 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.00834541 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0177855 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.00941146 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.095488 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.0213197 # DEPENDENCYPART_SIBL
(3,1),(3,26),-0.0311547 # DEPENDENCYPART_SIBL
(3,1),(3,28),-0.101643 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0465828 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.016686 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0256543 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0379947 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0250257 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.00756165 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.00518123 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0765505 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.00988642 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0259856 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.00518123 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0285993 # DEPENDENCYPART_SIBL
(3,2),(3,26),0.00311981 # DEPENDENCYPART_SIBL
(3,2),(3,28),-0.0166874 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00914824 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00292228 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0240524 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00291303 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.00756716 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.00937965 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0525712 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.00960464 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.022572 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.00937965 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0379584 # DEPENDENCYPART_SIBL
(3,4),(3,26),-0.00993316 # DEPENDENCYPART_SIBL
(3,4),(3,28),-0.0386071 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00610276 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0359543 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00609351 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0191263 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0206648 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.00855075 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0169332 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0200452 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0206648 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.0139288 # DEPENDENCYPART_SIBL
(3,5),(3,26),-0.00487202 # DEPENDENCYPART_SIBL
(3,5),(3,28),-0.0382864 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.039478 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0151711 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0303223 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0194337 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.00658454 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0154276 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.00645752 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0194337 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.000578678 # DEPENDENCYPART_SIBL
(3,6),(3,26),-0.0133104 # DEPENDENCYPART_SIBL
(3,6),(3,28),-0.0317297 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0214249 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0547438 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.00248892 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0211124 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.00912201 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.023299 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.00248892 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.0293794 # DEPENDENCYPART_SIBL
(3,7),(3,26),-0.0531195 # DEPENDENCYPART_SIBL
(3,7),(3,28),0.00763833 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0338644 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0195099 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.00695002 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0150657 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0075373 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0195099 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.000501043 # DEPENDENCYPART_SIBL
(3,8),(3,26),-0.0106069 # DEPENDENCYPART_SIBL
(3,8),(3,28),-0.0315874 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.00715923 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0149972 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0284444 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.00536943 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.00715923 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.012567 # DEPENDENCYPART_SIBL
(3,10),(3,26),0.00884917 # DEPENDENCYPART_SIBL
(3,10),(3,28),-0.0670352 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0101556 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.00620606 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.00231698 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0197317 # DEPENDENCYPART_SIBL
(3,11),(3,22),0.0490383 # DEPENDENCYPART_SIBL
(3,11),(3,26),-0.00144028 # DEPENDENCYPART_SIBL
(3,11),(3,28),-0.109894 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0269839 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0523547 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0289176 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.0609297 # DEPENDENCYPART_SIBL
(3,12),(3,26),-0.065006 # DEPENDENCYPART_SIBL
(3,12),(3,28),0.00508244 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0148664 # DEPENDENCYPART_SIBL
