# _root_ Έτσι απαγορεύουμε με κοινοτικό νόμο σε ένα δημοκρατικά εκλεγμένο όργανο , σε έναν δήμο ή μια κοινότητα , να αποφασίσει τη συνέχιση ή την καθιέρωση μιας πολιτικής προμηθειών φιλικής προς το περιβάλλον .
#goldHeads=2,0,2,5,3,11,10,9,10,6,2,11,14,15,12,17,15,20,20,2,22,23,20,25,23,27,25,27,27,29,32,30,0,
#predictedHeads=2,0,2,5,3,2,9,9,6,9,2,2,14,15,12,17,15,20,20,17,22,23,20,25,23,28,28,25,28,29,32,30,0,
(2,18),-0.244736 # DEPENDENCYPART_ARC
(2,20),-1.27635 # DEPENDENCYPART_ARC
(2,23),-0.503117 # DEPENDENCYPART_ARC
(3,1),-0.65259 # DEPENDENCYPART_ARC
(3,2),-0.289824 # DEPENDENCYPART_ARC
(3,4),0.615088 # DEPENDENCYPART_ARC
(3,5),1.31302 # DEPENDENCYPART_ARC
(3,6),-0.58218 # DEPENDENCYPART_ARC
(3,9),-0.447633 # DEPENDENCYPART_ARC
(3,10),-0.745419 # DEPENDENCYPART_ARC
(3,11),-0.356712 # DEPENDENCYPART_ARC
(3,15),-0.404851 # DEPENDENCYPART_ARC
(3,18),-0.485243 # DEPENDENCYPART_ARC
(4,1),-0.898823 # DEPENDENCYPART_ARC
(4,3),-0.475669 # DEPENDENCYPART_ARC
(4,5),-0.646166 # DEPENDENCYPART_ARC
(4,6),-0.22708 # DEPENDENCYPART_ARC
(5,1),-0.768128 # DEPENDENCYPART_ARC
(5,2),-2.23504 # DEPENDENCYPART_ARC
(5,3),-0.468059 # DEPENDENCYPART_ARC
(5,4),1.95591 # DEPENDENCYPART_ARC
(5,6),0.391356 # DEPENDENCYPART_ARC
(5,8),-1.16563 # DEPENDENCYPART_ARC
(5,9),-1.08859 # DEPENDENCYPART_ARC
(5,10),-1.30162 # DEPENDENCYPART_ARC
(5,12),-0.696907 # DEPENDENCYPART_ARC
(5,15),-0.365342 # DEPENDENCYPART_ARC
(5,20),-1.07986 # DEPENDENCYPART_ARC
(5,23),-0.665427 # DEPENDENCYPART_ARC
(6,3),-0.77381 # DEPENDENCYPART_ARC
(6,5),-1.06973 # DEPENDENCYPART_ARC
(6,7),-0.238025 # DEPENDENCYPART_ARC
(6,8),-0.1742 # DEPENDENCYPART_ARC
(6,9),0.158716 # DEPENDENCYPART_ARC
(6,10),-0.130856 # DEPENDENCYPART_ARC
(6,11),-0.686887 # DEPENDENCYPART_ARC
(6,14),-1.19618 # DEPENDENCYPART_ARC
(6,15),-0.0206354 # DEPENDENCYPART_ARC
(6,18),-0.905739 # DEPENDENCYPART_ARC
(6,23),-0.337428 # DEPENDENCYPART_ARC
(8,6),-0.908628 # DEPENDENCYPART_ARC
(8,7),0.363678 # DEPENDENCYPART_ARC
(8,9),-0.301596 # DEPENDENCYPART_ARC
(8,10),-0.849631 # DEPENDENCYPART_ARC
(8,12),-0.365663 # DEPENDENCYPART_ARC
(8,17),-1.58117 # DEPENDENCYPART_ARC
(9,7),1.62024 # DEPENDENCYPART_ARC
(9,8),1.63417 # DEPENDENCYPART_ARC
(9,10),0.18787 # DEPENDENCYPART_ARC
(9,11),-0.706776 # DEPENDENCYPART_ARC
(10,1),-0.802008 # DEPENDENCYPART_ARC
(10,2),-2.40398 # DEPENDENCYPART_ARC
(10,4),-0.586002 # DEPENDENCYPART_ARC
(10,5),-0.797985 # DEPENDENCYPART_ARC
(10,6),-0.784048 # DEPENDENCYPART_ARC
(10,7),1.43232 # DEPENDENCYPART_ARC
(10,8),0.556087 # DEPENDENCYPART_ARC
(10,9),0.948209 # DEPENDENCYPART_ARC
(10,11),-0.196485 # DEPENDENCYPART_ARC
(10,12),-0.426365 # DEPENDENCYPART_ARC
(10,14),-1.2777 # DEPENDENCYPART_ARC
(11,1),-1.27604 # DEPENDENCYPART_ARC
(11,2),-1.45961 # DEPENDENCYPART_ARC
(11,3),-0.912979 # DEPENDENCYPART_ARC
(11,4),-1.45704 # DEPENDENCYPART_ARC
(11,5),-1.19061 # DEPENDENCYPART_ARC
(11,6),-1.00788 # DEPENDENCYPART_ARC
(11,8),-1.3119 # DEPENDENCYPART_ARC
(11,9),-1.08194 # DEPENDENCYPART_ARC
(11,10),-0.783121 # DEPENDENCYPART_ARC
(11,12),-0.601775 # DEPENDENCYPART_ARC
(11,14),-1.12393 # DEPENDENCYPART_ARC
(11,17),-1.48852 # DEPENDENCYPART_ARC
(11,18),-0.544235 # DEPENDENCYPART_ARC
(11,20),-1.15203 # DEPENDENCYPART_ARC
(12,10),-1.43252 # DEPENDENCYPART_ARC
(12,11),-0.170703 # DEPENDENCYPART_ARC
(12,13),-0.0864349 # DEPENDENCYPART_ARC
(12,14),1.10388 # DEPENDENCYPART_ARC
(12,15),0.218553 # DEPENDENCYPART_ARC
(12,17),-0.158245 # DEPENDENCYPART_ARC
(12,18),-0.376141 # DEPENDENCYPART_ARC
(12,23),-0.330973 # DEPENDENCYPART_ARC
(14,7),-1.02753 # DEPENDENCYPART_ARC
(14,8),-1.25806 # DEPENDENCYPART_ARC
(14,12),-0.572426 # DEPENDENCYPART_ARC
(14,13),2.13702 # DEPENDENCYPART_ARC
(14,15),-0.0439561 # DEPENDENCYPART_ARC
(14,17),-1.15104 # DEPENDENCYPART_ARC
(14,20),-1.13284 # DEPENDENCYPART_ARC
(15,1),-0.433392 # DEPENDENCYPART_ARC
(15,2),-0.382123 # DEPENDENCYPART_ARC
(15,3),-0.407061 # DEPENDENCYPART_ARC
(15,4),-1.01174 # DEPENDENCYPART_ARC
(15,5),-0.342979 # DEPENDENCYPART_ARC
(15,6),-0.335535 # DEPENDENCYPART_ARC
(15,8),-0.730773 # DEPENDENCYPART_ARC
(15,9),-0.162981 # DEPENDENCYPART_ARC
(15,10),0.131349 # DEPENDENCYPART_ARC
(15,11),0.159061 # DEPENDENCYPART_ARC
(15,12),-0.0601238 # DEPENDENCYPART_ARC
(15,13),-0.145812 # DEPENDENCYPART_ARC
(15,14),1.5926 # DEPENDENCYPART_ARC
(15,16),-0.0567668 # DEPENDENCYPART_ARC
(15,17),0.656669 # DEPENDENCYPART_ARC
(15,18),-0.0271165 # DEPENDENCYPART_ARC
(15,20),0.157038 # DEPENDENCYPART_ARC
(15,22),-0.990897 # DEPENDENCYPART_ARC
(15,23),-0.582195 # DEPENDENCYPART_ARC
(15,25),-1.11152 # DEPENDENCYPART_ARC
(15,30),-1.23686 # DEPENDENCYPART_ARC
(17,13),-0.763135 # DEPENDENCYPART_ARC
(17,14),-1.18875 # DEPENDENCYPART_ARC
(17,15),-0.097673 # DEPENDENCYPART_ARC
(17,16),2.27474 # DEPENDENCYPART_ARC
(17,18),-0.0652602 # DEPENDENCYPART_ARC
(17,19),-0.670299 # DEPENDENCYPART_ARC
(17,20),-0.462464 # DEPENDENCYPART_ARC
(17,22),-1.41304 # DEPENDENCYPART_ARC
(17,23),-0.585884 # DEPENDENCYPART_ARC
(18,2),-1.28982 # DEPENDENCYPART_ARC
(18,5),-1.16118 # DEPENDENCYPART_ARC
(18,9),-1.09331 # DEPENDENCYPART_ARC
(18,12),-0.887719 # DEPENDENCYPART_ARC
(18,14),-1.17216 # DEPENDENCYPART_ARC
(18,17),-0.561072 # DEPENDENCYPART_ARC
(18,20),-0.920067 # DEPENDENCYPART_ARC
(18,22),-1.2739 # DEPENDENCYPART_ARC
(18,23),-0.738024 # DEPENDENCYPART_ARC
(18,25),-1.56699 # DEPENDENCYPART_ARC
(18,27),-1.46735 # DEPENDENCYPART_ARC
(18,28),-1.56146 # DEPENDENCYPART_ARC
(18,29),-1.45878 # DEPENDENCYPART_ARC
(18,30),-0.902833 # DEPENDENCYPART_ARC
(19,22),-0.94174 # DEPENDENCYPART_ARC
(20,1),-0.370329 # DEPENDENCYPART_ARC
(20,2),-0.490455 # DEPENDENCYPART_ARC
(20,3),-1.08257 # DEPENDENCYPART_ARC
(20,4),-1.78776 # DEPENDENCYPART_ARC
(20,5),-1.88106 # DEPENDENCYPART_ARC
(20,6),-0.682284 # DEPENDENCYPART_ARC
(20,8),-1.96945 # DEPENDENCYPART_ARC
(20,11),-0.328284 # DEPENDENCYPART_ARC
(20,12),-0.399065 # DEPENDENCYPART_ARC
(20,14),-1.56132 # DEPENDENCYPART_ARC
(20,15),-0.62117 # DEPENDENCYPART_ARC
(20,17),-0.767815 # DEPENDENCYPART_ARC
(20,18),0.167458 # DEPENDENCYPART_ARC
(20,19),1.7341 # DEPENDENCYPART_ARC
(20,21),-0.110857 # DEPENDENCYPART_ARC
(20,22),1.1873 # DEPENDENCYPART_ARC
(20,23),0.496902 # DEPENDENCYPART_ARC
(20,25),0.129445 # DEPENDENCYPART_ARC
(20,27),-2.38409 # DEPENDENCYPART_ARC
(20,28),-2.30997 # DEPENDENCYPART_ARC
(20,30),-0.488965 # DEPENDENCYPART_ARC
(20,32),-1.11271 # DEPENDENCYPART_ARC
(22,16),-0.578437 # DEPENDENCYPART_ARC
(22,20),-1.79242 # DEPENDENCYPART_ARC
(22,21),2.50277 # DEPENDENCYPART_ARC
(22,23),-0.0644391 # DEPENDENCYPART_ARC
(22,24),-1.11583 # DEPENDENCYPART_ARC
(22,25),-1.20212 # DEPENDENCYPART_ARC
(22,27),-1.11522 # DEPENDENCYPART_ARC
(22,28),-0.728503 # DEPENDENCYPART_ARC
(22,30),-0.696128 # DEPENDENCYPART_ARC
(22,32),-2.28625 # DEPENDENCYPART_ARC
(23,1),-0.533186 # DEPENDENCYPART_ARC
(23,2),-1.18898 # DEPENDENCYPART_ARC
(23,3),-0.597854 # DEPENDENCYPART_ARC
(23,4),-1.4111 # DEPENDENCYPART_ARC
(23,5),-0.603222 # DEPENDENCYPART_ARC
(23,6),-0.689767 # DEPENDENCYPART_ARC
(23,8),-1.27752 # DEPENDENCYPART_ARC
(23,9),-0.52645 # DEPENDENCYPART_ARC
(23,10),-0.299954 # DEPENDENCYPART_ARC
(23,11),-0.561809 # DEPENDENCYPART_ARC
(23,12),-0.585078 # DEPENDENCYPART_ARC
(23,14),0.303131 # DEPENDENCYPART_ARC
(23,15),-0.0853193 # DEPENDENCYPART_ARC
(23,16),-0.768999 # DEPENDENCYPART_ARC
(23,17),0.21196 # DEPENDENCYPART_ARC
(23,18),0.20875 # DEPENDENCYPART_ARC
(23,19),-0.560608 # DEPENDENCYPART_ARC
(23,20),0.156426 # DEPENDENCYPART_ARC
(23,21),-0.137065 # DEPENDENCYPART_ARC
(23,22),1.59828 # DEPENDENCYPART_ARC
(23,24),-0.0057123 # DEPENDENCYPART_ARC
(23,25),0.555339 # DEPENDENCYPART_ARC
(23,27),-0.203872 # DEPENDENCYPART_ARC
(23,28),-0.298718 # DEPENDENCYPART_ARC
(23,29),-0.391912 # DEPENDENCYPART_ARC
(23,30),-0.64796 # DEPENDENCYPART_ARC
(23,32),-0.78432 # DEPENDENCYPART_ARC
(25,21),0.132578 # DEPENDENCYPART_ARC
(25,22),-1.27693 # DEPENDENCYPART_ARC
(25,23),-0.175967 # DEPENDENCYPART_ARC
(25,24),2.25371 # DEPENDENCYPART_ARC
(25,27),-0.289838 # DEPENDENCYPART_ARC
(25,28),0.616242 # DEPENDENCYPART_ARC
(25,29),-0.538579 # DEPENDENCYPART_ARC
(25,30),-0.058056 # DEPENDENCYPART_ARC
(25,32),-1.45673 # DEPENDENCYPART_ARC
(27,22),-2.25233 # DEPENDENCYPART_ARC
(27,24),-0.518012 # DEPENDENCYPART_ARC
(27,25),-1.87075 # DEPENDENCYPART_ARC
(27,26),0.247918 # DEPENDENCYPART_ARC
(27,28),0.371673 # DEPENDENCYPART_ARC
(27,29),-1.07878 # DEPENDENCYPART_ARC
(27,30),-0.120398 # DEPENDENCYPART_ARC
(27,32),-1.99341 # DEPENDENCYPART_ARC
(28,21),-2.35826 # DEPENDENCYPART_ARC
(28,22),-2.88801 # DEPENDENCYPART_ARC
(28,24),-1.5998 # DEPENDENCYPART_ARC
(28,25),-2.46105 # DEPENDENCYPART_ARC
(28,26),1.00005 # DEPENDENCYPART_ARC
(28,27),1.47339 # DEPENDENCYPART_ARC
(28,29),0.482682 # DEPENDENCYPART_ARC
(28,30),-0.0606217 # DEPENDENCYPART_ARC
(28,32),-1.21336 # DEPENDENCYPART_ARC
(29,22),-2.15503 # DEPENDENCYPART_ARC
(29,25),-2.03988 # DEPENDENCYPART_ARC
(29,27),-0.514742 # DEPENDENCYPART_ARC
(29,28),-1.15084 # DEPENDENCYPART_ARC
(29,30),0.902427 # DEPENDENCYPART_ARC
(29,32),-1.61185 # DEPENDENCYPART_ARC
(30,28),-1.23588 # DEPENDENCYPART_ARC
(30,29),-0.484631 # DEPENDENCYPART_ARC
(30,31),-0.0309281 # DEPENDENCYPART_ARC
(30,32),1.32547 # DEPENDENCYPART_ARC
(32,24),-1.65982 # DEPENDENCYPART_ARC
(32,26),-1.28685 # DEPENDENCYPART_ARC
(32,27),-0.646403 # DEPENDENCYPART_ARC
(32,28),-1.82717 # DEPENDENCYPART_ARC
(32,29),-0.488951 # DEPENDENCYPART_ARC
(32,30),-0.42613 # DEPENDENCYPART_ARC
(32,31),2.39481 # DEPENDENCYPART_ARC
(33,25),-1.78069 # DEPENDENCYPART_ARC
(33,28),-1.64388 # DEPENDENCYPART_ARC
(33,29),-1.71858 # DEPENDENCYPART_ARC
(33,32),-1.16347 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.182431 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0556462 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0109341 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0466627 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.00647259 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.179868 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0466627 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.182431 # DEPENDENCYPART_SIBL
(0,1),(0,25),0.179978 # DEPENDENCYPART_SIBL
(0,1),(0,29),0.0109341 # DEPENDENCYPART_SIBL
(0,1),(0,33),-0.0566625 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0816065 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.162284 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.068561 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.29734 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.018548 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.068561 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.605928 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.0184383 # DEPENDENCYPART_SIBL
(0,2),(0,29),-0.162284 # DEPENDENCYPART_SIBL
(0,2),(0,33),-0.121042 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.135028 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.225497 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.147796 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0207266 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.225497 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.352626 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.0203913 # DEPENDENCYPART_SIBL
(0,3),(0,29),-0.135028 # DEPENDENCYPART_SIBL
(0,3),(0,33),-0.521091 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0790452 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0702281 # DEPENDENCYPART_SIBL
(0,4),(0,17),0.155351 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0790452 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.249993 # DEPENDENCYPART_SIBL
(0,4),(0,25),0.15551 # DEPENDENCYPART_SIBL
(0,4),(0,29),-0.0153585 # DEPENDENCYPART_SIBL
(0,4),(0,33),-0.31303 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0384657 # DEPENDENCYPART_SIBL
(0,11),(0,17),0.21953 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0210454 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.210576 # DEPENDENCYPART_SIBL
(0,11),(0,25),0.219638 # DEPENDENCYPART_SIBL
(0,11),(0,29),-0.00771071 # DEPENDENCYPART_SIBL
(0,11),(0,33),-0.402918 # DEPENDENCYPART_SIBL
(0,15),(0,17),0.0381388 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0624042 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.283501 # DEPENDENCYPART_SIBL
(0,15),(0,25),0.0386034 # DEPENDENCYPART_SIBL
(0,15),(0,29),-0.0618787 # DEPENDENCYPART_SIBL
(0,15),(0,33),-0.0862615 # DEPENDENCYPART_SIBL
(0,17),(0,18),0.00159785 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.239239 # DEPENDENCYPART_SIBL
(0,17),(0,25),0.0287017 # DEPENDENCYPART_SIBL
(0,17),(0,29),-0.0255081 # DEPENDENCYPART_SIBL
(0,17),(0,33),-0.218725 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.210576 # DEPENDENCYPART_SIBL
(0,18),(0,25),0.219638 # DEPENDENCYPART_SIBL
(0,18),(0,29),-0.00771071 # DEPENDENCYPART_SIBL
(0,18),(0,33),-0.402918 # DEPENDENCYPART_SIBL
(0,20),(0,25),-0.0126456 # DEPENDENCYPART_SIBL
(0,20),(0,29),-0.156491 # DEPENDENCYPART_SIBL
(0,20),(0,33),-0.100767 # DEPENDENCYPART_SIBL
(0,25),(0,29),-0.0254578 # DEPENDENCYPART_SIBL
(0,25),(0,33),-0.218549 # DEPENDENCYPART_SIBL
(0,29),(0,33),-0.31303 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00669978 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0100976 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0416993 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00711655 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0255993 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0252454 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0202076 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0255991 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0258431 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0280737 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.00250409 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0202076 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0258431 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.000142447 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0299797 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.00250409 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.00862091 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.000142447 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0822436 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0213738 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0317693 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0822436 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0221449 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0234351 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.00796538 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0317693 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0221449 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0296402 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0245773 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.00796538 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.00943592 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.0296402 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0335355 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0229871 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.103761 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0343066 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0355967 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.00977009 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0229871 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0343066 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0523875 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0363368 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.00977009 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.00752358 # DEPENDENCYPART_SIBL
(2,4),(2,23),-0.0523875 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0349267 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.114087 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.22492 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.226691 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.00990787 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0349267 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.22492 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.116729 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.229462 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.00990787 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.033942 # DEPENDENCYPART_SIBL
(2,5),(2,23),-0.116729 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0940806 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0156026 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0168928 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.00397478 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0363725 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0156026 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0482403 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.018035 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.00397478 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.0174909 # DEPENDENCYPART_SIBL
(2,6),(2,23),-0.0482403 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0343066 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0355967 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.00977009 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0229871 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0343066 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0523875 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0363368 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.00977009 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.00752358 # DEPENDENCYPART_SIBL
(2,8),(2,23),-0.0523875 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.227019 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.010236 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0322485 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.225248 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.116956 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.22979 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.010236 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0342701 # DEPENDENCYPART_SIBL
(2,9),(2,23),-0.116956 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0136896 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0255707 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.227493 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.119201 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.232035 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0136896 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.0365824 # DEPENDENCYPART_SIBL
(2,10),(2,23),-0.119201 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.030133 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.00436572 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.034985 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.00234887 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.019737 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.00609344 # DEPENDENCYPART_SIBL
(2,11),(2,23),-0.034985 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0156026 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0482403 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.018035 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.00397478 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.0174909 # DEPENDENCYPART_SIBL
(2,12),(2,23),-0.0482403 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.116956 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.22979 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.010236 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.0342701 # DEPENDENCYPART_SIBL
(2,14),(2,23),-0.116956 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.0640137 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.00251749 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.00899799 # DEPENDENCYPART_SIBL
(2,15),(2,23),-0.0686647 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.0104912 # DEPENDENCYPART_SIBL
(2,17),(2,20),-0.0344993 # DEPENDENCYPART_SIBL
