# _root_ Από την δεκαετία του '70 , η Κως έχει μετατραπεί σε σημαντικό τουριστικό προορισμό και έχει δει το τοπίο της να αλλάζει , με την ανέγερση πολυτελών ξενοδοχειακών θερέτρων πάνω στις κατάλευκες αμμουδιές της .
#goldHeads=10,3,1,5,3,15,8,15,10,15,10,14,14,11,0,17,15,19,22,19,22,17,24,22,26,24,29,29,26,26,30,33,31,33,0,
#predictedHeads=10,3,1,5,3,10,8,15,10,15,10,14,14,11,0,17,15,19,17,19,22,19,22,22,26,24,29,29,26,29,30,33,31,33,0,
(9,7),-0.921232 # DEPENDENCYPART_ARC
(9,8),-0.819078 # DEPENDENCYPART_ARC
(9,10),-0.954011 # DEPENDENCYPART_ARC
(9,11),-0.424777 # DEPENDENCYPART_ARC
(9,12),-1.89031 # DEPENDENCYPART_ARC
(9,13),-2.11979 # DEPENDENCYPART_ARC
(9,14),-0.647909 # DEPENDENCYPART_ARC
(9,19),-1.49069 # DEPENDENCYPART_ARC
(9,23),-0.719017 # DEPENDENCYPART_ARC
(10,1),0.0967219 # DEPENDENCYPART_ARC
(10,3),-0.179664 # DEPENDENCYPART_ARC
(10,5),-0.524643 # DEPENDENCYPART_ARC
(10,6),0.208774 # DEPENDENCYPART_ARC
(10,7),-0.651553 # DEPENDENCYPART_ARC
(10,8),-0.362586 # DEPENDENCYPART_ARC
(10,9),2.94018 # DEPENDENCYPART_ARC
(10,11),1.62339 # DEPENDENCYPART_ARC
(10,12),0.205115 # DEPENDENCYPART_ARC
(10,13),-0.335457 # DEPENDENCYPART_ARC
(10,14),0.246989 # DEPENDENCYPART_ARC
(10,15),-0.11224 # DEPENDENCYPART_ARC
(10,16),-2.09004 # DEPENDENCYPART_ARC
(10,17),-2.10364 # DEPENDENCYPART_ARC
(10,19),-0.678978 # DEPENDENCYPART_ARC
(10,22),-2.68039 # DEPENDENCYPART_ARC
(10,23),-0.273243 # DEPENDENCYPART_ARC
(10,24),-0.71735 # DEPENDENCYPART_ARC
(10,30),-0.751254 # DEPENDENCYPART_ARC
(10,31),-1.42971 # DEPENDENCYPART_ARC
(11,9),-0.968907 # DEPENDENCYPART_ARC
(11,10),-0.375539 # DEPENDENCYPART_ARC
(11,12),0.708829 # DEPENDENCYPART_ARC
(11,13),0.134165 # DEPENDENCYPART_ARC
(11,14),0.526501 # DEPENDENCYPART_ARC
(11,15),-0.347248 # DEPENDENCYPART_ARC
(11,16),-0.811444 # DEPENDENCYPART_ARC
(11,17),-1.27254 # DEPENDENCYPART_ARC
(11,19),-0.931773 # DEPENDENCYPART_ARC
(12,11),-0.540928 # DEPENDENCYPART_ARC
(12,13),-0.405168 # DEPENDENCYPART_ARC
(12,14),-1.03997 # DEPENDENCYPART_ARC
(12,15),-0.185492 # DEPENDENCYPART_ARC
(12,16),-1.23348 # DEPENDENCYPART_ARC
(12,17),-1.77761 # DEPENDENCYPART_ARC
(12,19),-1.99574 # DEPENDENCYPART_ARC
(12,24),-0.789923 # DEPENDENCYPART_ARC
(13,11),-0.419121 # DEPENDENCYPART_ARC
(13,12),1.04687 # DEPENDENCYPART_ARC
(13,14),-0.658476 # DEPENDENCYPART_ARC
(13,15),-0.343602 # DEPENDENCYPART_ARC
(13,16),-1.26837 # DEPENDENCYPART_ARC
(14,4),-0.988333 # DEPENDENCYPART_ARC
(14,7),-0.372569 # DEPENDENCYPART_ARC
(14,9),-2.01383 # DEPENDENCYPART_ARC
(14,10),-0.456936 # DEPENDENCYPART_ARC
(14,11),-0.514783 # DEPENDENCYPART_ARC
(14,12),1.79035 # DEPENDENCYPART_ARC
(14,13),2.37284 # DEPENDENCYPART_ARC
(14,15),-0.178524 # DEPENDENCYPART_ARC
(14,16),-1.02842 # DEPENDENCYPART_ARC
(14,17),-0.842456 # DEPENDENCYPART_ARC
(14,19),-1.8089 # DEPENDENCYPART_ARC
(15,1),-0.68191 # DEPENDENCYPART_ARC
(15,3),-0.467212 # DEPENDENCYPART_ARC
(15,6),-0.180457 # DEPENDENCYPART_ARC
(15,8),0.00200781 # DEPENDENCYPART_ARC
(15,9),0.468347 # DEPENDENCYPART_ARC
(15,10),0.745438 # DEPENDENCYPART_ARC
(15,11),-0.0738367 # DEPENDENCYPART_ARC
(15,12),-0.160171 # DEPENDENCYPART_ARC
(15,13),0.216613 # DEPENDENCYPART_ARC
(15,14),0.837939 # DEPENDENCYPART_ARC
(15,16),1.50686 # DEPENDENCYPART_ARC
(15,17),0.163343 # DEPENDENCYPART_ARC
(15,19),-0.369035 # DEPENDENCYPART_ARC
(15,22),-1.23392 # DEPENDENCYPART_ARC
(15,23),-0.294195 # DEPENDENCYPART_ARC
(15,24),-0.862431 # DEPENDENCYPART_ARC
(16,1),-1.27157 # DEPENDENCYPART_ARC
(16,3),-1.86258 # DEPENDENCYPART_ARC
(16,5),-1.67712 # DEPENDENCYPART_ARC
(16,6),-1.23631 # DEPENDENCYPART_ARC
(16,8),-2.47374 # DEPENDENCYPART_ARC
(16,10),-3.38076 # DEPENDENCYPART_ARC
(16,11),-0.918555 # DEPENDENCYPART_ARC
(16,12),-1.36811 # DEPENDENCYPART_ARC
(16,13),-1.18114 # DEPENDENCYPART_ARC
(16,14),-1.02325 # DEPENDENCYPART_ARC
(16,15),-0.520376 # DEPENDENCYPART_ARC
(16,17),-0.641379 # DEPENDENCYPART_ARC
(16,18),-1.71477 # DEPENDENCYPART_ARC
(16,19),-0.591197 # DEPENDENCYPART_ARC
(16,22),-1.78374 # DEPENDENCYPART_ARC
(16,23),-0.652217 # DEPENDENCYPART_ARC
(16,24),-1.17846 # DEPENDENCYPART_ARC
(17,1),-0.0437522 # DEPENDENCYPART_ARC
(17,3),-0.464391 # DEPENDENCYPART_ARC
(17,5),-0.703392 # DEPENDENCYPART_ARC
(17,6),-0.375367 # DEPENDENCYPART_ARC
(17,8),-1.00999 # DEPENDENCYPART_ARC
(17,9),1.54074 # DEPENDENCYPART_ARC
(17,10),-2.27023 # DEPENDENCYPART_ARC
(17,11),-0.102386 # DEPENDENCYPART_ARC
(17,12),-1.15563 # DEPENDENCYPART_ARC
(17,13),-1.07643 # DEPENDENCYPART_ARC
(17,14),-0.319906 # DEPENDENCYPART_ARC
(17,15),0.170668 # DEPENDENCYPART_ARC
(17,16),3.28633 # DEPENDENCYPART_ARC
(17,18),-0.262624 # DEPENDENCYPART_ARC
(17,19),1.72206 # DEPENDENCYPART_ARC
(17,21),-0.496836 # DEPENDENCYPART_ARC
(17,22),-1.19593 # DEPENDENCYPART_ARC
(17,23),-0.0411551 # DEPENDENCYPART_ARC
(17,24),-0.477155 # DEPENDENCYPART_ARC
(17,26),-0.676289 # DEPENDENCYPART_ARC
(17,29),-2.59072 # DEPENDENCYPART_ARC
(17,30),-0.731947 # DEPENDENCYPART_ARC
(17,31),-0.999326 # DEPENDENCYPART_ARC
(17,33),-1.03707 # DEPENDENCYPART_ARC
(19,13),-0.832146 # DEPENDENCYPART_ARC
(19,16),-2.30326 # DEPENDENCYPART_ARC
(19,17),-0.851936 # DEPENDENCYPART_ARC
(19,18),2.45205 # DEPENDENCYPART_ARC
(19,20),1.28869 # DEPENDENCYPART_ARC
(19,21),-0.429424 # DEPENDENCYPART_ARC
(19,22),-0.230773 # DEPENDENCYPART_ARC
(19,23),-0.420927 # DEPENDENCYPART_ARC
(19,24),-0.521097 # DEPENDENCYPART_ARC
(19,26),-1.28305 # DEPENDENCYPART_ARC
(19,29),-0.882165 # DEPENDENCYPART_ARC
(19,31),-1.40365 # DEPENDENCYPART_ARC
(21,22),-0.130833 # DEPENDENCYPART_ARC
(22,1),-0.515669 # DEPENDENCYPART_ARC
(22,3),-1.18331 # DEPENDENCYPART_ARC
(22,6),-0.991807 # DEPENDENCYPART_ARC
(22,8),-1.94423 # DEPENDENCYPART_ARC
(22,9),-1.72287 # DEPENDENCYPART_ARC
(22,10),-3.30446 # DEPENDENCYPART_ARC
(22,11),-0.677559 # DEPENDENCYPART_ARC
(22,12),-1.29882 # DEPENDENCYPART_ARC
(22,13),-1.17748 # DEPENDENCYPART_ARC
(22,14),-1.20732 # DEPENDENCYPART_ARC
(22,15),-0.562533 # DEPENDENCYPART_ARC
(22,16),-1.4125 # DEPENDENCYPART_ARC
(22,17),-1.99201 # DEPENDENCYPART_ARC
(22,18),-0.756501 # DEPENDENCYPART_ARC
(22,19),-0.667374 # DEPENDENCYPART_ARC
(22,21),1.70104 # DEPENDENCYPART_ARC
(22,23),0.249748 # DEPENDENCYPART_ARC
(22,24),0.423293 # DEPENDENCYPART_ARC
(22,26),0.02724 # DEPENDENCYPART_ARC
(22,27),-1.77359 # DEPENDENCYPART_ARC
(22,28),-2.17954 # DEPENDENCYPART_ARC
(22,29),-2.3382 # DEPENDENCYPART_ARC
(22,30),-0.512601 # DEPENDENCYPART_ARC
(22,31),-0.506631 # DEPENDENCYPART_ARC
(22,33),-1.07634 # DEPENDENCYPART_ARC
(23,3),-1.5463 # DEPENDENCYPART_ARC
(23,19),-1.27238 # DEPENDENCYPART_ARC
(23,21),-0.687352 # DEPENDENCYPART_ARC
(23,22),-0.345955 # DEPENDENCYPART_ARC
(23,24),-0.605392 # DEPENDENCYPART_ARC
(23,26),-1.17065 # DEPENDENCYPART_ARC
(23,27),-1.1277 # DEPENDENCYPART_ARC
(23,28),-1.16377 # DEPENDENCYPART_ARC
(23,29),-1.55832 # DEPENDENCYPART_ARC
(23,32),-1.22804 # DEPENDENCYPART_ARC
(23,33),-1.5789 # DEPENDENCYPART_ARC
(24,22),-1.10133 # DEPENDENCYPART_ARC
(24,23),-0.0448093 # DEPENDENCYPART_ARC
(24,25),-0.0497654 # DEPENDENCYPART_ARC
(24,26),1.20397 # DEPENDENCYPART_ARC
(24,27),-0.469884 # DEPENDENCYPART_ARC
(24,28),-0.530087 # DEPENDENCYPART_ARC
(24,29),0.0056634 # DEPENDENCYPART_ARC
(24,30),-0.633892 # DEPENDENCYPART_ARC
(26,18),-2.00279 # DEPENDENCYPART_ARC
(26,25),2.14844 # DEPENDENCYPART_ARC
(26,27),-0.274389 # DEPENDENCYPART_ARC
(26,28),-0.719352 # DEPENDENCYPART_ARC
(26,29),0.484041 # DEPENDENCYPART_ARC
(26,30),-0.202881 # DEPENDENCYPART_ARC
(26,31),-0.25747 # DEPENDENCYPART_ARC
(26,32),-1.09665 # DEPENDENCYPART_ARC
(26,33),-1.47203 # DEPENDENCYPART_ARC
(27,24),-0.64543 # DEPENDENCYPART_ARC
(27,25),-0.619936 # DEPENDENCYPART_ARC
(27,26),-0.894521 # DEPENDENCYPART_ARC
(27,28),-0.284809 # DEPENDENCYPART_ARC
(27,29),-0.321261 # DEPENDENCYPART_ARC
(27,30),-0.57653 # DEPENDENCYPART_ARC
(27,31),-0.412396 # DEPENDENCYPART_ARC
(27,33),-1.894 # DEPENDENCYPART_ARC
(28,25),-0.819261 # DEPENDENCYPART_ARC
(28,26),-1.49518 # DEPENDENCYPART_ARC
(28,27),0.293617 # DEPENDENCYPART_ARC
(28,29),0.0958326 # DEPENDENCYPART_ARC
(28,30),-0.602533 # DEPENDENCYPART_ARC
(28,31),-0.439475 # DEPENDENCYPART_ARC
(28,33),-1.73769 # DEPENDENCYPART_ARC
(29,25),-1.52974 # DEPENDENCYPART_ARC
(29,26),-2.22848 # DEPENDENCYPART_ARC
(29,27),1.49346 # DEPENDENCYPART_ARC
(29,28),1.9965 # DEPENDENCYPART_ARC
(29,30),0.0787157 # DEPENDENCYPART_ARC
(29,31),-1.05554 # DEPENDENCYPART_ARC
(29,32),-0.483749 # DEPENDENCYPART_ARC
(29,33),-1.49477 # DEPENDENCYPART_ARC
(30,1),-0.948948 # DEPENDENCYPART_ARC
(30,23),-0.674176 # DEPENDENCYPART_ARC
(30,24),-0.673201 # DEPENDENCYPART_ARC
(30,26),-1.18393 # DEPENDENCYPART_ARC
(30,27),-0.711779 # DEPENDENCYPART_ARC
(30,28),-0.372616 # DEPENDENCYPART_ARC
(30,29),-0.219804 # DEPENDENCYPART_ARC
(30,31),1.02685 # DEPENDENCYPART_ARC
(30,32),-0.603186 # DEPENDENCYPART_ARC
(30,33),-0.752162 # DEPENDENCYPART_ARC
(31,30),-0.184869 # DEPENDENCYPART_ARC
(31,32),1.04125 # DEPENDENCYPART_ARC
(31,33),1.72902 # DEPENDENCYPART_ARC
(32,30),-0.569407 # DEPENDENCYPART_ARC
(32,33),-0.674423 # DEPENDENCYPART_ARC
(32,34),-0.41778 # DEPENDENCYPART_ARC
(33,25),-0.570211 # DEPENDENCYPART_ARC
(33,26),-1.54348 # DEPENDENCYPART_ARC
(33,27),-0.738624 # DEPENDENCYPART_ARC
(33,28),-0.621514 # DEPENDENCYPART_ARC
(33,29),-0.70586 # DEPENDENCYPART_ARC
(33,31),-0.164016 # DEPENDENCYPART_ARC
(33,32),2.42851 # DEPENDENCYPART_ARC
(33,34),0.775227 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0198636 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.126962 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.257512 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0190149 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.382621 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.368173 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.209741 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.382621 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.368363 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.368173 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.257512 # DEPENDENCYPART_SIBL
(0,1),(0,35),-0.539234 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0437192 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.00128312 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0287555 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.256052 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.239183 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.162869 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.256052 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.239621 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.239183 # DEPENDENCYPART_SIBL
(0,3),(0,23),0.00128312 # DEPENDENCYPART_SIBL
(0,3),(0,35),-0.218765 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.060099 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0822379 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.268703 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.255928 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0945744 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.268703 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.255928 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.255928 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.060099 # DEPENDENCYPART_SIBL
(0,5),(0,35),-0.222028 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.219642 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.239885 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.210366 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.030572 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.239885 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.210529 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.210366 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.0210454 # DEPENDENCYPART_SIBL
(0,6),(0,35),-0.402918 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.260529 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.243659 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.16125 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.260529 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.244097 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.243659 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.00529692 # DEPENDENCYPART_SIBL
(0,8),(0,35),-0.228322 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.632092 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.377432 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.649208 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.632563 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.632092 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.1261 # DEPENDENCYPART_SIBL
(0,9),(0,35),-0.186428 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.355729 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.623043 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.606399 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.605928 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.068561 # DEPENDENCYPART_SIBL
(0,10),(0,35),-0.121042 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.313966 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.297405 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.297346 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.0554901 # DEPENDENCYPART_SIBL
(0,15),(0,35),-0.0414874 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.632563 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.632092 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.1261 # DEPENDENCYPART_SIBL
(0,16),(0,35),-0.186428 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.60724 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.0730083 # DEPENDENCYPART_SIBL
(0,17),(0,35),-0.126219 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.068561 # DEPENDENCYPART_SIBL
(0,22),(0,35),-0.121042 # DEPENDENCYPART_SIBL
(0,23),(0,35),-0.402918 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0819763 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0218152 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0805345 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0670079 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.465283 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0267263 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.161469 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0265798 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0232427 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0568906 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0431955 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.00550153 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0116188 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0256725 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0414017 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.00779483 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0047417 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.0103177 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0104665 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0566354 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0639418 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00886205 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0643153 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0541833 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0257739 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0118029 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0357405 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0594902 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0541848 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0326157 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0733188 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00396557 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0464161 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0405509 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0298067 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.00395993 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0781294 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0413864 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0405509 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0151835 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0195021 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0208053 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0158748 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0101206 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0195002 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0500589 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0166958 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0158748 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.06037 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00346463 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0164624 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0133933 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.060373 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.000883213 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.015326 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0164625 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.00475687 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.00583455 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0751985 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.122832 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.164179 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.00425358 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.00583468 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0973089 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.00452748 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0141034 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0748022 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0990161 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.0973088 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.00813393 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0181748 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0726695 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0943072 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0925999 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0166534 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.055246 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.00501855 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.00400752 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.176167 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.004455 # DEPENDENCYPART_SIBL
(3,14),(3,22),0.0060361 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.00659349 # DEPENDENCYPART_SIBL
(3,15),(3,22),-0.00571295 # DEPENDENCYPART_SIBL
(3,17),(3,22),-0.0926079 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0288428 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0664172 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0544668 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.214047 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0208445 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0503752 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0429268 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.43404 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0247071 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0198165 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0450829 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.119571 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0128283 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0114554 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.00697023 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.00126464 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.00908375 # DEPENDENCYPART_SIBL
