# _root_ Από αυτή την άποψη , θέλω να εξετάσω την ισορροπία μεταξύ των οικονομικών , των περιβαλλοντικών και των κοινωνικών ζητημάτων .
#goldHeads=6,4,4,1,6,0,8,6,10,8,10,13,17,17,16,17,20,19,17,11,0,
#predictedHeads=6,4,4,1,6,0,8,6,10,8,10,13,11,17,16,17,11,20,20,17,0,
(6,20),-2.99865 # DEPENDENCYPART_ARC
(6,21),0.178101 # DEPENDENCYPART_ARC
(7,8),-0.252565 # DEPENDENCYPART_ARC
(7,10),-1.11498 # DEPENDENCYPART_ARC
(8,1),-0.408542 # DEPENDENCYPART_ARC
(8,2),-1.42399 # DEPENDENCYPART_ARC
(8,3),-1.84884 # DEPENDENCYPART_ARC
(8,4),-1.00485 # DEPENDENCYPART_ARC
(8,5),-0.396913 # DEPENDENCYPART_ARC
(8,6),-0.449003 # DEPENDENCYPART_ARC
(8,7),1.7837 # DEPENDENCYPART_ARC
(8,9),-0.270763 # DEPENDENCYPART_ARC
(8,10),0.914836 # DEPENDENCYPART_ARC
(8,11),0.0899237 # DEPENDENCYPART_ARC
(8,13),-1.88225 # DEPENDENCYPART_ARC
(8,14),-0.23769 # DEPENDENCYPART_ARC
(8,16),-2.31178 # DEPENDENCYPART_ARC
(8,17),-0.487411 # DEPENDENCYPART_ARC
(8,20),-2.87166 # DEPENDENCYPART_ARC
(8,21),-0.346532 # DEPENDENCYPART_ARC
(9,11),-0.697957 # DEPENDENCYPART_ARC
(10,1),-1.37809 # DEPENDENCYPART_ARC
(10,3),-0.712297 # DEPENDENCYPART_ARC
(10,5),-1.15153 # DEPENDENCYPART_ARC
(10,8),-1.47404 # DEPENDENCYPART_ARC
(10,9),2.39267 # DEPENDENCYPART_ARC
(10,11),0.412215 # DEPENDENCYPART_ARC
(10,12),-0.277026 # DEPENDENCYPART_ARC
(10,13),-0.648657 # DEPENDENCYPART_ARC
(10,14),-0.306178 # DEPENDENCYPART_ARC
(10,16),-1.02883 # DEPENDENCYPART_ARC
(10,17),-0.568472 # DEPENDENCYPART_ARC
(10,20),-0.50498 # DEPENDENCYPART_ARC
(10,21),-0.587205 # DEPENDENCYPART_ARC
(11,1),-1.04216 # DEPENDENCYPART_ARC
(11,2),-1.86147 # DEPENDENCYPART_ARC
(11,4),-1.43114 # DEPENDENCYPART_ARC
(11,5),-0.906792 # DEPENDENCYPART_ARC
(11,6),-1.63172 # DEPENDENCYPART_ARC
(11,8),-1.46891 # DEPENDENCYPART_ARC
(11,9),-0.734759 # DEPENDENCYPART_ARC
(11,10),-0.461972 # DEPENDENCYPART_ARC
(11,12),0.118066 # DEPENDENCYPART_ARC
(11,13),-0.29653 # DEPENDENCYPART_ARC
(11,14),-0.130964 # DEPENDENCYPART_ARC
(11,17),-0.283011 # DEPENDENCYPART_ARC
(11,21),-0.423201 # DEPENDENCYPART_ARC
(12,17),-0.653818 # DEPENDENCYPART_ARC
(13,4),-2.50219 # DEPENDENCYPART_ARC
(13,10),-2.07095 # DEPENDENCYPART_ARC
(13,11),-0.432811 # DEPENDENCYPART_ARC
(13,12),1.13495 # DEPENDENCYPART_ARC
(13,14),-0.359884 # DEPENDENCYPART_ARC
(13,16),-1.38601 # DEPENDENCYPART_ARC
(13,17),-0.782518 # DEPENDENCYPART_ARC
(13,20),-1.6173 # DEPENDENCYPART_ARC
(14,4),-1.36058 # DEPENDENCYPART_ARC
(14,5),-0.979573 # DEPENDENCYPART_ARC
(14,6),-1.08314 # DEPENDENCYPART_ARC
(14,8),-0.962601 # DEPENDENCYPART_ARC
(14,10),-0.94162 # DEPENDENCYPART_ARC
(14,11),-0.68075 # DEPENDENCYPART_ARC
(14,13),-0.430055 # DEPENDENCYPART_ARC
(14,16),-0.641282 # DEPENDENCYPART_ARC
(14,17),-0.2763 # DEPENDENCYPART_ARC
(14,19),-0.887147 # DEPENDENCYPART_ARC
(14,20),-1.19696 # DEPENDENCYPART_ARC
(14,21),-0.263784 # DEPENDENCYPART_ARC
(16,10),-2.42673 # DEPENDENCYPART_ARC
(16,11),-0.999031 # DEPENDENCYPART_ARC
(16,14),-0.610369 # DEPENDENCYPART_ARC
(16,15),1.21558 # DEPENDENCYPART_ARC
(16,19),-1.66071 # DEPENDENCYPART_ARC
(16,20),-1.17441 # DEPENDENCYPART_ARC
(17,1),-0.948237 # DEPENDENCYPART_ARC
(17,4),-0.45688 # DEPENDENCYPART_ARC
(17,5),-0.503062 # DEPENDENCYPART_ARC
(17,6),-0.885467 # DEPENDENCYPART_ARC
(17,8),-0.441961 # DEPENDENCYPART_ARC
(17,10),-0.179182 # DEPENDENCYPART_ARC
(17,11),-0.277641 # DEPENDENCYPART_ARC
(17,12),-0.861839 # DEPENDENCYPART_ARC
(17,13),-0.206691 # DEPENDENCYPART_ARC
(17,14),0.58827 # DEPENDENCYPART_ARC
(17,15),-0.380326 # DEPENDENCYPART_ARC
(17,16),0.809393 # DEPENDENCYPART_ARC
(17,18),-0.0539991 # DEPENDENCYPART_ARC
(17,19),0.65697 # DEPENDENCYPART_ARC
(17,20),-0.340752 # DEPENDENCYPART_ARC
(17,21),-0.22102 # DEPENDENCYPART_ARC
(19,10),-2.24518 # DEPENDENCYPART_ARC
(19,18),1.28663 # DEPENDENCYPART_ARC
(19,20),0.0495755 # DEPENDENCYPART_ARC
(19,21),-0.737339 # DEPENDENCYPART_ARC
(20,11),-0.866443 # DEPENDENCYPART_ARC
(20,12),-0.798259 # DEPENDENCYPART_ARC
(20,14),-0.668267 # DEPENDENCYPART_ARC
(20,15),0.146241 # DEPENDENCYPART_ARC
(20,16),-0.177813 # DEPENDENCYPART_ARC
(20,17),0.373532 # DEPENDENCYPART_ARC
(20,18),2.01165 # DEPENDENCYPART_ARC
(20,19),1.95468 # DEPENDENCYPART_ARC
(20,21),-0.417617 # DEPENDENCYPART_ARC
(21,6),-1.83661 # DEPENDENCYPART_ARC
(21,13),-1.9096 # DEPENDENCYPART_ARC
(21,16),-1.8065 # DEPENDENCYPART_ARC
(21,19),-1.3803 # DEPENDENCYPART_ARC
(21,20),-1.06985 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.127114 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0214651 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.257512 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.317397 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.368807 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.120018 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.148146 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.257512 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.148146 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.209741 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.019015 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.539234 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0598109 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0634447 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.204795 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.253513 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.000850393 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0220273 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0634447 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0220273 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0825229 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.0599809 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.217093 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.00683005 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.169064 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.241129 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0113393 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0267976 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.00683005 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0267976 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.165619 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.0270313 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.225814 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.117216 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.211261 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.037841 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.00771071 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0210454 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.00771071 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.030572 # DEPENDENCYPART_SIBL
(0,5),(0,20),0.219643 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.402918 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.598972 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.116466 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.156301 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0510624 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.156301 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.349667 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0150417 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.0916899 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.122528 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.163098 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0709653 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.163098 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.356543 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0192521 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.124079 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.00867756 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.0406556 # DEPENDENCYPART_SIBL
(0,11),(0,16),0.00867756 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.000790812 # DEPENDENCYPART_SIBL
(0,11),(0,20),0.174049 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.0773951 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0790452 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0153585 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.116729 # DEPENDENCYPART_SIBL
(0,13),(0,20),0.158563 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.31303 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.00771071 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.030572 # DEPENDENCYPART_SIBL
(0,14),(0,20),0.219643 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.402918 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.116729 # DEPENDENCYPART_SIBL
(0,16),(0,20),0.155511 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.31303 # DEPENDENCYPART_SIBL
(0,17),(0,20),6.64464e-05 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.0414874 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.218542 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.214211 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0724095 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0938528 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.093871 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0724095 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.190025 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0735142 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.186135 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.193773 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0735142 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.460828 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0400428 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0225332 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.00444513 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.0820101 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.153983 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.103406 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.182944 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.0991475 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.182945 # DEPENDENCYPART_SIBL
(1,14),(1,17),-0.0820101 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0172299 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0148371 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0328629 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.01409 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.163886 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0326961 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0159788 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0699378 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0149222 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0313883 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00778186 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0209688 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.086519 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0199221 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0256639 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.055546 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0393151 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0556169 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0414811 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00225939 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0240995 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.002187 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0909579 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00745724 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0304108 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0528802 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0549406 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0660729 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.035749 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0357526 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0272622 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0312233 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.214573 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0295375 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0268897 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.132326 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.00750263 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0138257 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0138257 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.00720407 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.013246 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.013246 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0691969 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0691969 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.0316914 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.118559 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0225177 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0165363 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0713096 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.00835339 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0365052 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0108197 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.024335 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0172491 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.00297728 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0139229 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0116318 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0287989 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0411548 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0704058 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0672038 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0879217 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.108336 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0987893 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0261026 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0511766 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0398719 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.090211 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.10118 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.116448 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.00312341 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0101783 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0239371 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0107505 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0373278 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0140423 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.00233615 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0640331 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0617774 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0369747 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0796727 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0590679 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0107162 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.024803 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0330269 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0175362 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0124932 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0122619 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0429102 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0309515 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0270647 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0259567 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0194438 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0209369 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0147202 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.00592179 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0787702 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.020779 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.0159419 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.0375156 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.00202706 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0609956 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.029181 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0812087 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0024778 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.115953 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.0628024 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.0395557 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0570727 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0128955 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.106573 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0571487 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.191778 # DEPENDENCYPART_SIBL
(6,8),(6,20),-0.0588098 # DEPENDENCYPART_SIBL
(6,8),(6,21),0.0342822 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.00354079 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.110361 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.033766 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.200878 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.214282 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.0476936 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0594578 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.0589496 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0409328 # DEPENDENCYPART_SIBL
(6,11),(6,20),0.0198259 # DEPENDENCYPART_SIBL
(6,11),(6,21),-0.000422589 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.0251349 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.148715 # DEPENDENCYPART_SIBL
(6,13),(6,20),-0.0244321 # DEPENDENCYPART_SIBL
(6,13),(6,21),-0.0494851 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.00950398 # DEPENDENCYPART_SIBL
(6,14),(6,20),0.0466771 # DEPENDENCYPART_SIBL
(6,14),(6,21),-0.0583373 # DEPENDENCYPART_SIBL
(6,17),(6,20),-0.0133028 # DEPENDENCYPART_SIBL
(6,17),(6,21),0.025731 # DEPENDENCYPART_SIBL
(6,20),(6,21),-0.0447684 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0109837 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.120591 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0225086 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0189256 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0731267 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0201254 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0229012 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0196794 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0104455 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.0117767 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0172866 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.016183 # DEPENDENCYPART_SIBL
(8,1),(8,16),0.0172902 # DEPENDENCYPART_SIBL
(8,1),(8,17),0.00102062 # DEPENDENCYPART_SIBL
(8,1),(8,20),0.0112576 # DEPENDENCYPART_SIBL
(8,1),(8,21),-0.0389431 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0390344 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0701462 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0676611 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.00337797 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0197753 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0521889 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.103922 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0442681 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0558972 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0647065 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.0557409 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.0805523 # DEPENDENCYPART_SIBL
(8,2),(8,20),-0.106312 # DEPENDENCYPART_SIBL
(8,2),(8,21),-0.131809 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.000743429 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.00851523 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0062515 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0127839 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.00853189 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0377315 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0265024 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.00234496 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0829683 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.00234496 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.0473894 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.0373785 # DEPENDENCYPART_SIBL
(8,3),(8,21),-0.0897187 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0452617 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0261108 # DEPENDENCYPART_SIBL
(8,4),(8,7),7.47844e-05 # DEPENDENCYPART_SIBL
