# _root_ Εσείς αυξηθήκατε περισσότερο , έχετε την τρόικα και την προεδρική τριάδα , αλλά είμαστε σχετικά κερδισμένοι .
#goldHeads=2,4,2,13,4,7,8,5,11,11,8,13,0,13,16,14,0,
#predictedHeads=2,13,2,5,13,7,8,5,11,11,8,13,0,13,16,14,0,
(11,7),-0.812322 # DEPENDENCYPART_ARC
(11,8),0.0021596 # DEPENDENCYPART_ARC
(11,9),2.19778 # DEPENDENCYPART_ARC
(11,10),2.44787 # DEPENDENCYPART_ARC
(11,12),-0.173407 # DEPENDENCYPART_ARC
(11,13),-0.496106 # DEPENDENCYPART_ARC
(11,14),-0.908549 # DEPENDENCYPART_ARC
(11,15),-0.900324 # DEPENDENCYPART_ARC
(11,16),-1.55823 # DEPENDENCYPART_ARC
(12,2),-1.2026 # DEPENDENCYPART_ARC
(12,4),-1.00016 # DEPENDENCYPART_ARC
(12,5),-1.06694 # DEPENDENCYPART_ARC
(12,7),-1.09425 # DEPENDENCYPART_ARC
(12,8),-0.646374 # DEPENDENCYPART_ARC
(12,10),-0.831061 # DEPENDENCYPART_ARC
(12,11),-0.401476 # DEPENDENCYPART_ARC
(12,13),-0.425795 # DEPENDENCYPART_ARC
(12,14),-1.09048 # DEPENDENCYPART_ARC
(12,15),-1.31917 # DEPENDENCYPART_ARC
(12,16),-1.4303 # DEPENDENCYPART_ARC
(12,17),-0.858281 # DEPENDENCYPART_ARC
(13,2),-0.167542 # DEPENDENCYPART_ARC
(13,3),-0.494984 # DEPENDENCYPART_ARC
(13,4),-0.520598 # DEPENDENCYPART_ARC
(13,5),0.406709 # DEPENDENCYPART_ARC
(13,7),-0.412387 # DEPENDENCYPART_ARC
(13,8),-0.284765 # DEPENDENCYPART_ARC
(13,9),-0.73248 # DEPENDENCYPART_ARC
(13,10),-0.338918 # DEPENDENCYPART_ARC
(13,11),-0.181347 # DEPENDENCYPART_ARC
(13,12),0.827214 # DEPENDENCYPART_ARC
(13,14),1.78945 # DEPENDENCYPART_ARC
(13,15),-0.428231 # DEPENDENCYPART_ARC
(13,16),-0.422204 # DEPENDENCYPART_ARC
(13,17),-0.292745 # DEPENDENCYPART_ARC
(14,2),-3.24941 # DEPENDENCYPART_ARC
(14,3),-0.927892 # DEPENDENCYPART_ARC
(14,4),-0.793776 # DEPENDENCYPART_ARC
(14,5),-1.13541 # DEPENDENCYPART_ARC
(14,7),-1.32681 # DEPENDENCYPART_ARC
(14,8),-0.723591 # DEPENDENCYPART_ARC
(14,9),-1.02254 # DEPENDENCYPART_ARC
(14,10),-0.384051 # DEPENDENCYPART_ARC
(14,11),-0.982638 # DEPENDENCYPART_ARC
(14,12),0.223196 # DEPENDENCYPART_ARC
(14,13),0.130613 # DEPENDENCYPART_ARC
(14,15),1.10083 # DEPENDENCYPART_ARC
(14,16),1.07256 # DEPENDENCYPART_ARC
(14,17),-0.0929865 # DEPENDENCYPART_ARC
(15,3),-0.688994 # DEPENDENCYPART_ARC
(15,8),-0.536315 # DEPENDENCYPART_ARC
(15,12),-0.499602 # DEPENDENCYPART_ARC
(15,13),-0.439052 # DEPENDENCYPART_ARC
(15,14),-0.675109 # DEPENDENCYPART_ARC
(15,16),-0.309965 # DEPENDENCYPART_ARC
(15,17),-0.557134 # DEPENDENCYPART_ARC
(16,7),-1.8212 # DEPENDENCYPART_ARC
(16,11),-1.78762 # DEPENDENCYPART_ARC
(16,15),1.03885 # DEPENDENCYPART_ARC
(16,17),-0.231151 # DEPENDENCYPART_ARC
(17,13),-1.33194 # DEPENDENCYPART_ARC
(17,14),-1.40034 # DEPENDENCYPART_ARC
(17,15),-1.18827 # DEPENDENCYPART_ARC
(17,16),-0.959848 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.118861 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.068561 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.610811 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0184369 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.355729 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.162284 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0184369 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.068561 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.314725 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.6195 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.118651 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.162284 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.121042 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0337253 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.184226 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.191112 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.00451362 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.00966436 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.191112 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0337253 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0133116 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.187728 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.0135426 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.00966436 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0793653 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.212598 # DEPENDENCYPART_SIBL
(0,4),(0,7),0.219643 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.030572 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.00771071 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.219643 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0210454 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0693858 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.220077 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.0237131 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.00771071 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.402918 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0180569 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.355349 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.161903 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0180569 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0676315 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.314345 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.61912 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.118271 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.161903 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.119753 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.162869 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0254557 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.0286229 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.00123593 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0957209 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.246253 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.0221876 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0254557 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.218788 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0782152 # DEPENDENCYPART_SIBL
(0,8),(0,11),6.64618e-05 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0554901 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.188031 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.298245 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0714412 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0782152 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.0414874 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.155511 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0790452 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0730547 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.25534 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0167299 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0153585 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.31303 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.00172897 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0957209 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.246252 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.0221876 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0254557 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.218542 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0693858 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.220077 # DEPENDENCYPART_SIBL
(0,12),(0,15),0.0237131 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.00771071 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.402918 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.230488 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.00952738 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.00424767 # DEPENDENCYPART_SIBL
(0,13),(0,17),0.117736 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.137389 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.181752 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.173085 # DEPENDENCYPART_SIBL
(0,15),(0,16),0.000469046 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.106236 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.31303 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0216567 # DEPENDENCYPART_SIBL
(2,1),(2,4),-9.63283e-05 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0743174 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0431868 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0420862 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.00928929 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0431868 # DEPENDENCYPART_SIBL
(2,1),(2,12),-9.63283e-05 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0613732 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0808116 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.025988 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.07718 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00341861 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0152797 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0364504 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0363643 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0615731 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0364504 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.00341861 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.00971507 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0114353 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0380872 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.031886 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00618635 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00436572 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0357273 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0509368 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.00436572 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.019737 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0617061 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0179329 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0139714 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.109892 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0645103 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.186246 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.1068 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0645103 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.022445 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.10301 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.200484 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.025023 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0194407 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.201963 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.114415 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.225381 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.010729 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0845248 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0406358 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0051743 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0703708 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0534538 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0108794 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0057219 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0560042 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.00455804 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0521047 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0195206 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0343066 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.00977009 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0247439 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.00394244 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0390939 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0659319 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.010236 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0845248 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0406349 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0051743 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0701243 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0617061 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0179329 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0139714 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.109892 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0207143 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.0739994 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0371405 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0262014 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.00518339 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.0606614 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0214257 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.135582 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.000587396 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0893355 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0103284 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0292283 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0233703 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00988018 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.258969 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0339828 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0836973 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0526499 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0139112 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.02738 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0180684 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0356738 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0162715 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0358843 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0421858 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.011225 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0358843 # DEPENDENCYPART_SIBL
(5,1),(5,12),-9.7399e-05 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0614728 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0852155 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0327318 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0771816 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00736795 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.00259007 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0054857 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00610006 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0296681 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0184047 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.00610006 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0185525 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0290918 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0462581 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0490429 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0376663 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.015727 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00389653 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.000833728 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00735707 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0220379 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.000833728 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0228232 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.037887 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0320876 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.025251 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0386854 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0231678 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0140975 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0129709 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0277634 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0140975 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0408118 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0262379 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0414721 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0751554 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0677627 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0166736 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0837398 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0568715 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0166728 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0186848 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0221195 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0145057 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.00484638 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0366519 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.204803 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.117387 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.228212 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.01356 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0873648 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0453514 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.00234336 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0732018 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0535951 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0108794 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0057219 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0560133 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.00644268 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0521047 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.0195206 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0352428 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0107063 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0256892 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.000864979 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0400301 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0668681 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0130669 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0873648 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0453505 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.00234336 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0729552 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0617151 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0198176 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0139714 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.109892 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.022599 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0739994 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.0371405 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0262014 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.00518339 # DEPENDENCYPART_SIBL
(5,15),(5,17),-0.0624306 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.001215 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0114236 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0229511 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.143781 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0235565 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0378801 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0452017 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.00514726 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0270626 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.00946336 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0183122 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.109443 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.00315315 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0192902 # DEPENDENCYPART_SIBL
