# _root_ Πιο μακροπρόθεσμα , όταν η νομοθεσία αρχίσει να γίνεται περισσότερο σεβαστή , θα μπορέσει ίσως να αρθεί αυτή η απαγόρευση .
#goldHeads=2,14,4,14,6,9,4,9,7,11,9,14,14,0,14,17,14,20,20,17,0,
#predictedHeads=2,10,4,0,6,7,4,9,7,11,9,14,14,11,14,17,14,20,20,17,0,
(7,2),0.138326 # DEPENDENCYPART_ARC
(7,3),0.303482 # DEPENDENCYPART_ARC
(7,4),-0.130844 # DEPENDENCYPART_ARC
(7,5),-0.248164 # DEPENDENCYPART_ARC
(7,6),1.3517 # DEPENDENCYPART_ARC
(7,8),0.283287 # DEPENDENCYPART_ARC
(7,9),-0.184951 # DEPENDENCYPART_ARC
(7,10),0.533254 # DEPENDENCYPART_ARC
(7,11),-0.940884 # DEPENDENCYPART_ARC
(7,12),-0.0962362 # DEPENDENCYPART_ARC
(7,14),-1.1801 # DEPENDENCYPART_ARC
(7,15),-0.370869 # DEPENDENCYPART_ARC
(7,17),-1.21772 # DEPENDENCYPART_ARC
(7,20),-0.794337 # DEPENDENCYPART_ARC
(7,21),-0.137859 # DEPENDENCYPART_ARC
(8,9),-0.22583 # DEPENDENCYPART_ARC
(9,1),-0.259227 # DEPENDENCYPART_ARC
(9,2),-0.395698 # DEPENDENCYPART_ARC
(9,3),-0.517105 # DEPENDENCYPART_ARC
(9,4),-0.400344 # DEPENDENCYPART_ARC
(9,5),-1.3284 # DEPENDENCYPART_ARC
(9,6),0.394007 # DEPENDENCYPART_ARC
(9,7),-1.82336 # DEPENDENCYPART_ARC
(9,8),1.93351 # DEPENDENCYPART_ARC
(9,10),1.36573 # DEPENDENCYPART_ARC
(9,11),1.00661 # DEPENDENCYPART_ARC
(9,12),-0.180126 # DEPENDENCYPART_ARC
(9,13),-0.698889 # DEPENDENCYPART_ARC
(9,14),-0.109056 # DEPENDENCYPART_ARC
(9,15),-0.645713 # DEPENDENCYPART_ARC
(9,17),-1.00312 # DEPENDENCYPART_ARC
(9,20),-1.03619 # DEPENDENCYPART_ARC
(9,21),-0.507759 # DEPENDENCYPART_ARC
(10,1),-0.0270714 # DEPENDENCYPART_ARC
(10,2),-0.119761 # DEPENDENCYPART_ARC
(10,3),-0.552316 # DEPENDENCYPART_ARC
(10,6),-0.752935 # DEPENDENCYPART_ARC
(10,7),-0.955947 # DEPENDENCYPART_ARC
(10,9),-0.16548 # DEPENDENCYPART_ARC
(10,11),-0.397274 # DEPENDENCYPART_ARC
(10,12),-0.623937 # DEPENDENCYPART_ARC
(10,14),-1.6262 # DEPENDENCYPART_ARC
(10,15),-1.25455 # DEPENDENCYPART_ARC
(10,17),-2.18285 # DEPENDENCYPART_ARC
(11,6),-1.0765 # DEPENDENCYPART_ARC
(11,10),1.93376 # DEPENDENCYPART_ARC
(11,12),-0.282934 # DEPENDENCYPART_ARC
(11,14),-0.88369 # DEPENDENCYPART_ARC
(11,15),-1.06759 # DEPENDENCYPART_ARC
(11,20),-2.60602 # DEPENDENCYPART_ARC
(12,3),-0.823879 # DEPENDENCYPART_ARC
(12,7),-1.09209 # DEPENDENCYPART_ARC
(12,9),-0.831913 # DEPENDENCYPART_ARC
(12,10),-0.666373 # DEPENDENCYPART_ARC
(12,11),-0.376694 # DEPENDENCYPART_ARC
(12,14),-0.99828 # DEPENDENCYPART_ARC
(12,15),-1.17412 # DEPENDENCYPART_ARC
(12,17),-1.46215 # DEPENDENCYPART_ARC
(12,20),-1.78184 # DEPENDENCYPART_ARC
(14,1),-0.290563 # DEPENDENCYPART_ARC
(14,2),-0.455909 # DEPENDENCYPART_ARC
(14,3),-0.645764 # DEPENDENCYPART_ARC
(14,4),-0.164847 # DEPENDENCYPART_ARC
(14,6),0.0579796 # DEPENDENCYPART_ARC
(14,7),-1.93879 # DEPENDENCYPART_ARC
(14,9),-1.37015 # DEPENDENCYPART_ARC
(14,10),-0.154851 # DEPENDENCYPART_ARC
(14,11),-1.08239 # DEPENDENCYPART_ARC
(14,12),0.38572 # DEPENDENCYPART_ARC
(14,13),1.8696 # DEPENDENCYPART_ARC
(14,15),1.43903 # DEPENDENCYPART_ARC
(14,16),0.106074 # DEPENDENCYPART_ARC
(14,17),0.339189 # DEPENDENCYPART_ARC
(14,20),-0.414405 # DEPENDENCYPART_ARC
(14,21),-0.0969567 # DEPENDENCYPART_ARC
(15,1),-0.658922 # DEPENDENCYPART_ARC
(15,10),-0.526202 # DEPENDENCYPART_ARC
(15,12),-0.414073 # DEPENDENCYPART_ARC
(15,14),-0.639428 # DEPENDENCYPART_ARC
(15,17),-0.544301 # DEPENDENCYPART_ARC
(15,20),-1.26821 # DEPENDENCYPART_ARC
(15,21),-0.85661 # DEPENDENCYPART_ARC
(16,17),-0.129623 # DEPENDENCYPART_ARC
(17,1),-0.890595 # DEPENDENCYPART_ARC
(17,2),-1.0664 # DEPENDENCYPART_ARC
(17,4),-0.718733 # DEPENDENCYPART_ARC
(17,6),-0.492148 # DEPENDENCYPART_ARC
(17,10),-1.05261 # DEPENDENCYPART_ARC
(17,11),-1.88092 # DEPENDENCYPART_ARC
(17,12),-0.701444 # DEPENDENCYPART_ARC
(17,14),-2.0496 # DEPENDENCYPART_ARC
(17,15),0.0424895 # DEPENDENCYPART_ARC
(17,16),1.42454 # DEPENDENCYPART_ARC
(17,18),0.651477 # DEPENDENCYPART_ARC
(17,19),-1.38191 # DEPENDENCYPART_ARC
(17,20),0.567218 # DEPENDENCYPART_ARC
(17,21),-0.0836079 # DEPENDENCYPART_ARC
(18,20),-1.22139 # DEPENDENCYPART_ARC
(18,21),-0.286004 # DEPENDENCYPART_ARC
(19,18),-0.115667 # DEPENDENCYPART_ARC
(20,15),-1.18746 # DEPENDENCYPART_ARC
(20,18),1.62114 # DEPENDENCYPART_ARC
(20,19),2.6784 # DEPENDENCYPART_ARC
(20,21),-0.245281 # DEPENDENCYPART_ARC
(21,20),-1.15043 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0217853 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0378258 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0240578 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.185113 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.183551 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.187241 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.015064 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.00994458 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0378258 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.183575 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.021729 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.183551 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0142586 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.182568 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0765052 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0378258 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0240578 # DEPENDENCYPART_SIBL
(0,2),(0,6),0.185113 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.183551 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.187241 # DEPENDENCYPART_SIBL
(0,2),(0,10),0.015064 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.00994458 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.0378258 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.183575 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.021729 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.183551 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.0142586 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.182568 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0765052 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.00382707 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.217942 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.210366 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.215811 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0335618 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.00771071 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0210454 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.210396 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.0325395 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.210366 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.00233179 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.218934 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.402918 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.0688096 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.26256 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.264472 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0151385 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0346946 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.00882041 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.262983 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0136216 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.26256 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0425386 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.069337 # DEPENDENCYPART_SIBL
(0,4),(0,21),0.00127276 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.23968 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.240668 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.0189568 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0259514 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.00048277 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.240995 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.0208638 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.23968 # DEPENDENCYPART_SIBL
(0,6),(0,18),0.000916554 # DEPENDENCYPART_SIBL
(0,6),(0,20),0.0282337 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.22028 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.610132 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.119247 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.16267 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0695331 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.606331 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.118827 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.606314 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.138615 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0196465 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.122397 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.114997 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.159391 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0598186 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.603092 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.114577 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.603075 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.135336 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0163786 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.106763 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.00966436 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.0337253 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.182147 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.0181447 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.182122 # DEPENDENCYPART_SIBL
(0,10),(0,18),0.0142364 # DEPENDENCYPART_SIBL
(0,10),(0,20),0.191112 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.0793653 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0790452 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.249993 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.00944166 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.249993 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0142723 # DEPENDENCYPART_SIBL
(0,11),(0,20),0.155198 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.31303 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.210396 # DEPENDENCYPART_SIBL
(0,12),(0,15),0.0325395 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.210366 # DEPENDENCYPART_SIBL
(0,12),(0,18),0.00233179 # DEPENDENCYPART_SIBL
(0,12),(0,20),0.218934 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.402918 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.121331 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.609985 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.141118 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.0221968 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.131261 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.184249 # DEPENDENCYPART_SIBL
(0,15),(0,18),0.0141759 # DEPENDENCYPART_SIBL
(0,15),(0,20),0.187608 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.0787834 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.138228 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.0192603 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.121042 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.059981 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.217093 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.218572 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0403157 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0311312 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0197416 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0167933 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0204262 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0403157 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0197143 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0138271 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.0197416 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0046196 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.000535901 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.00497403 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0156301 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0138031 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.000574925 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0167236 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.000535901 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.031152 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0305006 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0162974 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0185461 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0324705 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0144492 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.031152 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.120117 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0258229 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.139704 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.118675 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.026178 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.118655 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0267681 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.141012 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.118741 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0271231 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.118721 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.0362409 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.0211628 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0173915 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.0211901 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.000574925 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.0167236 # DEPENDENCYPART_SIBL
(1,12),(1,17),-0.000535901 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.026178 # DEPENDENCYPART_SIBL
(1,14),(1,17),-0.119822 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.0190217 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00543852 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.040224 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00841975 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.00555244 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0046196 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.000535901 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00497403 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.031152 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0305006 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.120117 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00941743 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0904487 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0979499 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0870133 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0526544 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0904487 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0979499 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0870133 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0526544 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0238897 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00759104 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0192788 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0547189 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0692596 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0139112 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0131762 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0199392 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0096941 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.00198276 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00763512 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00961816 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0096941 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0138982 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0541801 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0164924 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0301571 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.12205 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0142663 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0164924 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0351891 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.118506 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.120134 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0279236 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.118506 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.118506 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0269965 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.322837 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0877172 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.320411 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.320394 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.0825809 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0872028 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.321126 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.321109 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.0859001 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0295378 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0295064 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.0950701 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.322326 # DEPENDENCYPART_SIBL
(4,14),(4,21),0.0795983 # DEPENDENCYPART_SIBL
(4,17),(4,21),0.0829769 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0061791 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.00822362 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.126588 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0110927 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.032818 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0159449 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0113037 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0165146 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.00822362 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.126588 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0110927 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.032818 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0159449 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0113037 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0165146 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.121663 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0113718 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0258004 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0222901 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0091758 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0253464 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00917369 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.039039 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.00388139 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.051044 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.044898 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00196795 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0867868 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0537609 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.00528909 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.000668078 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.00734378 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0307147 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0546179 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.00538662 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.00945975 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0228346 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0126743 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0114749 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0229715 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0194454 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.00152455 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0202331 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0219493 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0190817 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0335964 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0213963 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.000289094 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0197197 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.00623016 # DEPENDENCYPART_SIBL
(7,1),(7,21),-0.0327722 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0126743 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0114749 # DEPENDENCYPART_SIBL
