# _root_ Ο κ. Γιούνκερ εκτίμησε ωστόσο ότι στις συνομιλίες , που διήρκεσαν σχεδόν δέκα ώρες , επιτεύχθηκε πρόοδος .
#goldHeads=3,3,4,5,0,4,16,7,11,11,8,13,14,11,11,6,16,0,
#predictedHeads=3,3,4,0,4,5,16,7,11,11,8,13,14,11,16,0,16,0,
(11,18),-0.51721 # DEPENDENCYPART_ARC
(12,3),-1.11255 # DEPENDENCYPART_ARC
(12,4),-1.59722 # DEPENDENCYPART_ARC
(12,5),-0.562449 # DEPENDENCYPART_ARC
(12,7),-0.787899 # DEPENDENCYPART_ARC
(12,8),-1.08587 # DEPENDENCYPART_ARC
(12,9),-0.509891 # DEPENDENCYPART_ARC
(12,10),-1.34769 # DEPENDENCYPART_ARC
(12,11),-0.644268 # DEPENDENCYPART_ARC
(12,14),-0.720996 # DEPENDENCYPART_ARC
(12,15),-0.582164 # DEPENDENCYPART_ARC
(12,16),-1.01753 # DEPENDENCYPART_ARC
(12,17),-1.372 # DEPENDENCYPART_ARC
(12,18),-1.0344 # DEPENDENCYPART_ARC
(13,12),0.93842 # DEPENDENCYPART_ARC
(13,16),-1.34487 # DEPENDENCYPART_ARC
(14,4),-3.05166 # DEPENDENCYPART_ARC
(14,5),-0.376767 # DEPENDENCYPART_ARC
(14,8),-1.01308 # DEPENDENCYPART_ARC
(14,10),0.175632 # DEPENDENCYPART_ARC
(14,11),-2.7514 # DEPENDENCYPART_ARC
(14,12),0.195168 # DEPENDENCYPART_ARC
(14,13),2.19891 # DEPENDENCYPART_ARC
(14,15),-0.294495 # DEPENDENCYPART_ARC
(14,16),-1.18321 # DEPENDENCYPART_ARC
(14,17),-1.65856 # DEPENDENCYPART_ARC
(15,4),-1.2491 # DEPENDENCYPART_ARC
(15,7),-1.1272 # DEPENDENCYPART_ARC
(15,8),-1.52263 # DEPENDENCYPART_ARC
(15,12),-0.823386 # DEPENDENCYPART_ARC
(15,13),-0.683436 # DEPENDENCYPART_ARC
(15,14),-0.519682 # DEPENDENCYPART_ARC
(15,16),-0.759482 # DEPENDENCYPART_ARC
(15,17),-1.13493 # DEPENDENCYPART_ARC
(15,18),-0.735293 # DEPENDENCYPART_ARC
(16,3),-0.840573 # DEPENDENCYPART_ARC
(16,4),-1.94744 # DEPENDENCYPART_ARC
(16,5),-0.61653 # DEPENDENCYPART_ARC
(16,6),-0.883117 # DEPENDENCYPART_ARC
(16,7),-0.216707 # DEPENDENCYPART_ARC
(16,8),-1.51884 # DEPENDENCYPART_ARC
(16,9),-0.260523 # DEPENDENCYPART_ARC
(16,10),0.513803 # DEPENDENCYPART_ARC
(16,11),-0.783575 # DEPENDENCYPART_ARC
(16,12),0.0206997 # DEPENDENCYPART_ARC
(16,13),-1.1192 # DEPENDENCYPART_ARC
(16,14),-0.670507 # DEPENDENCYPART_ARC
(16,15),0.732122 # DEPENDENCYPART_ARC
(16,17),1.82305 # DEPENDENCYPART_ARC
(16,18),-0.0561231 # DEPENDENCYPART_ARC
(17,10),-0.773757 # DEPENDENCYPART_ARC
(17,12),-1.02329 # DEPENDENCYPART_ARC
(17,14),-2.07978 # DEPENDENCYPART_ARC
(17,15),-0.34789 # DEPENDENCYPART_ARC
(17,16),-0.710883 # DEPENDENCYPART_ARC
(17,18),-0.0975713 # DEPENDENCYPART_ARC
(18,13),-1.55199 # DEPENDENCYPART_ARC
(18,17),-1.10001 # DEPENDENCYPART_ARC
(0,2),(0,3),0.088411 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.236426 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.11143 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.129495 # DEPENDENCYPART_SIBL
(0,2),(0,7),0.0165842 # DEPENDENCYPART_SIBL
(0,2),(0,8),0.0886828 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0576359 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.235751 # DEPENDENCYPART_SIBL
(0,2),(0,14),0.0886817 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0576359 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.236538 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.0885414 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.253937 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.239914 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0813555 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.129871 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.137409 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0286947 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.00448406 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.239231 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0278442 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.00448406 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.240018 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0285495 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.217226 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.293517 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.326294 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0959234 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0179022 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0672236 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.605393 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0179033 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0672236 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.60736 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0180436 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.11917 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0903499 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0519172 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.125018 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.0936267 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.219156 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.125017 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.0936267 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.219942 # DEPENDENCYPART_SIBL
(0,5),(0,17),0.124876 # DEPENDENCYPART_SIBL
(0,5),(0,18),0.150612 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0839843 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0244748 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.144945 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.31342 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0244758 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.144945 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.314207 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.0246165 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.190609 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0134253 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.243473 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.358642 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0134792 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.243473 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.359429 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0135669 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.519548 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.00172897 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.239183 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.027905 # DEPENDENCYPART_SIBL
(0,8),(0,15),0.00172897 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.23997 # DEPENDENCYPART_SIBL
(0,8),(0,17),0.0286103 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.218542 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.210366 # DEPENDENCYPART_SIBL
(0,9),(0,14),0.219307 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0210454 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.211153 # DEPENDENCYPART_SIBL
(0,9),(0,17),0.219175 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.402918 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.018438 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.068561 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.607895 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0185783 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.121042 # DEPENDENCYPART_SIBL
(0,14),(0,15),0.00167754 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.23997 # DEPENDENCYPART_SIBL
(0,14),(0,17),0.0286093 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.218568 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.211153 # DEPENDENCYPART_SIBL
(0,15),(0,17),0.219175 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.402918 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0191918 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.123189 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.21903 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0107584 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.187971 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0534115 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0317555 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.110954 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0240607 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00763829 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0402453 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00851924 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0723482 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0428434 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0602081 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.025621 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0612002 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0133318 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0238191 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0893281 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.028379 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00854508 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00275573 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.044651 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0320253 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0829714 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0244193 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0511339 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0336197 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0829714 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0375588 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0866291 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0338744 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0175025 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0212271 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0878577 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0376642 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0293265 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0466642 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0521348 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0390882 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0293265 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0431963 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0514978 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0110628 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00721234 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0129544 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0164291 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00326378 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0104199 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0304776 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0181449 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.00326378 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0228765 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0144953 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0756774 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0243013 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0277889 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00670144 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.00873852 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0491364 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0287882 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.00670144 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0288559 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0654323 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.163814 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.19507 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0878294 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0697568 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.135101 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.196069 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0878294 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.196137 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0746786 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00787091 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0196787 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00880954 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.00685786 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.00892306 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0196787 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.00893812 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0613747 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0109296 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0343421 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.00394517 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.228263 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0109296 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.226633 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0708179 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.00588581 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.00344854 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.00248987 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0191892 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.00292529 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.11044 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0247068 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0657485 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0217337 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0658162 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.018563 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.00917726 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0273486 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0067415 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.05321 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.01106 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.226666 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0708996 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.00292529 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.11044 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.072706 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0292966 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0330195 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0167191 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00703644 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0311526 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0277551 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0400278 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0152444 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0248147 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0277551 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.036984 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0325195 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0133561 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0379104 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0410688 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0283437 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0177483 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0611665 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0230054 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0344782 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0177483 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0611665 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0119827 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0152414 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00766172 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0670872 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0695594 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.208795 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.00523342 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.060534 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0695594 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.208795 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0305431 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0295109 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0185816 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0157342 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0583963 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0193674 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0186977 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0157342 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0583963 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0159598 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0048256 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0084238 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.131084 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0162682 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.00460387 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0084238 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.131084 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0534166 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.00587503 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.120682 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0132839 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.109034 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.00587503 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.120682 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0400986 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.00589219 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0389911 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0649897 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0447283 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.00589219 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0467267 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.00875563 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0183618 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0827356 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.323016 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.0804323 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0409179 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.020149 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0890687 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.0216125 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.00581251 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.120694 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0401357 # DEPENDENCYPART_SIBL
(5,15),(5,16),0.00589219 # DEPENDENCYPART_SIBL
(5,15),(5,18),-0.0467267 # DEPENDENCYPART_SIBL
(5,16),(5,18),0.0798188 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0166318 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0477049 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0166318 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0477049 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0149111 # DEPENDENCYPART_SIBL
