# _root_ Καθορίσαμε ορισμένους επιμέρους στόχους , ορισμένες τιμές στόχους για το έτος 2010 , τις οποίες πρέπει να σεβαστούμε .
#goldHeads=0,4,4,5,1,7,5,7,8,11,9,11,16,15,18,7,18,16,0,
#predictedHeads=0,4,4,1,1,7,8,1,8,11,9,11,16,15,18,11,18,16,0,
(5,3),-0.593313 # DEPENDENCYPART_ARC
(5,4),-0.224475 # DEPENDENCYPART_ARC
(5,6),-0.353691 # DEPENDENCYPART_ARC
(5,7),-0.738794 # DEPENDENCYPART_ARC
(5,8),-1.04244 # DEPENDENCYPART_ARC
(5,9),-0.759118 # DEPENDENCYPART_ARC
(5,13),-0.477009 # DEPENDENCYPART_ARC
(5,19),-0.833852 # DEPENDENCYPART_ARC
(6,3),-0.636718 # DEPENDENCYPART_ARC
(6,4),-0.651872 # DEPENDENCYPART_ARC
(6,5),-0.135769 # DEPENDENCYPART_ARC
(6,7),-0.925226 # DEPENDENCYPART_ARC
(6,8),-1.36698 # DEPENDENCYPART_ARC
(6,9),-0.15993 # DEPENDENCYPART_ARC
(6,11),-1.58599 # DEPENDENCYPART_ARC
(7,1),-3.30105 # DEPENDENCYPART_ARC
(7,2),-0.36344 # DEPENDENCYPART_ARC
(7,3),-0.836796 # DEPENDENCYPART_ARC
(7,4),-1.43784 # DEPENDENCYPART_ARC
(7,5),-0.246099 # DEPENDENCYPART_ARC
(7,6),2.43144 # DEPENDENCYPART_ARC
(7,8),-0.086458 # DEPENDENCYPART_ARC
(7,9),0.196212 # DEPENDENCYPART_ARC
(7,11),-1.16541 # DEPENDENCYPART_ARC
(7,12),-0.288833 # DEPENDENCYPART_ARC
(7,13),-0.352897 # DEPENDENCYPART_ARC
(7,16),-0.592218 # DEPENDENCYPART_ARC
(7,18),-1.01897 # DEPENDENCYPART_ARC
(8,1),-2.59191 # DEPENDENCYPART_ARC
(8,2),-0.0692285 # DEPENDENCYPART_ARC
(8,3),-0.596311 # DEPENDENCYPART_ARC
(8,4),-0.33893 # DEPENDENCYPART_ARC
(8,6),0.640999 # DEPENDENCYPART_ARC
(8,7),0.599675 # DEPENDENCYPART_ARC
(8,9),0.738062 # DEPENDENCYPART_ARC
(8,10),-1.30038 # DEPENDENCYPART_ARC
(8,11),-1.18635 # DEPENDENCYPART_ARC
(8,12),-0.458459 # DEPENDENCYPART_ARC
(8,16),-0.69928 # DEPENDENCYPART_ARC
(8,18),-1.34963 # DEPENDENCYPART_ARC
(9,8),-0.992568 # DEPENDENCYPART_ARC
(9,10),-0.22301 # DEPENDENCYPART_ARC
(9,11),1.13928 # DEPENDENCYPART_ARC
(9,12),-0.23308 # DEPENDENCYPART_ARC
(9,13),-0.455641 # DEPENDENCYPART_ARC
(9,19),-0.792932 # DEPENDENCYPART_ARC
(11,6),-1.86147 # DEPENDENCYPART_ARC
(11,10),2.26727 # DEPENDENCYPART_ARC
(11,12),0.77932 # DEPENDENCYPART_ARC
(11,13),-0.33728 # DEPENDENCYPART_ARC
(11,16),-0.168132 # DEPENDENCYPART_ARC
(11,18),-1.15639 # DEPENDENCYPART_ARC
(11,19),-0.647417 # DEPENDENCYPART_ARC
(12,11),0.123543 # DEPENDENCYPART_ARC
(12,13),-0.155277 # DEPENDENCYPART_ARC
(13,1),-1.17332 # DEPENDENCYPART_ARC
(13,4),-0.981079 # DEPENDENCYPART_ARC
(13,5),-0.73082 # DEPENDENCYPART_ARC
(13,6),-1.16451 # DEPENDENCYPART_ARC
(13,7),-0.968509 # DEPENDENCYPART_ARC
(13,8),-1.02409 # DEPENDENCYPART_ARC
(13,11),-0.797748 # DEPENDENCYPART_ARC
(13,12),-0.316708 # DEPENDENCYPART_ARC
(13,16),-0.785197 # DEPENDENCYPART_ARC
(13,18),-1.23215 # DEPENDENCYPART_ARC
(13,19),-0.584565 # DEPENDENCYPART_ARC
(15,13),-0.223179 # DEPENDENCYPART_ARC
(15,14),2.55106 # DEPENDENCYPART_ARC
(15,18),-1.13973 # DEPENDENCYPART_ARC
(16,3),-0.647336 # DEPENDENCYPART_ARC
(16,5),-0.281946 # DEPENDENCYPART_ARC
(16,7),-1.24247 # DEPENDENCYPART_ARC
(16,9),-0.738793 # DEPENDENCYPART_ARC
(16,11),-1.48778 # DEPENDENCYPART_ARC
(16,13),0.157833 # DEPENDENCYPART_ARC
(16,14),-1.59985 # DEPENDENCYPART_ARC
(16,15),0.457713 # DEPENDENCYPART_ARC
(16,18),1.36874 # DEPENDENCYPART_ARC
(16,19),-0.25308 # DEPENDENCYPART_ARC
(18,1),-2.88826 # DEPENDENCYPART_ARC
(18,2),-0.962734 # DEPENDENCYPART_ARC
(18,3),-0.449682 # DEPENDENCYPART_ARC
(18,4),-1.73254 # DEPENDENCYPART_ARC
(18,5),-0.75548 # DEPENDENCYPART_ARC
(18,6),-1.24136 # DEPENDENCYPART_ARC
(18,7),-0.61134 # DEPENDENCYPART_ARC
(18,8),-1.4704 # DEPENDENCYPART_ARC
(18,9),-0.509357 # DEPENDENCYPART_ARC
(18,11),-1.5826 # DEPENDENCYPART_ARC
(18,12),-0.872321 # DEPENDENCYPART_ARC
(18,13),-0.243983 # DEPENDENCYPART_ARC
(18,14),-1.26875 # DEPENDENCYPART_ARC
(18,15),0.241866 # DEPENDENCYPART_ARC
(18,16),-0.812031 # DEPENDENCYPART_ARC
(18,17),1.84231 # DEPENDENCYPART_ARC
(18,19),-0.0452748 # DEPENDENCYPART_ARC
(19,1),-1.84523 # DEPENDENCYPART_ARC
(19,12),-1.59428 # DEPENDENCYPART_ARC
(19,16),-1.53917 # DEPENDENCYPART_ARC
(19,17),-1.18442 # DEPENDENCYPART_ARC
(19,18),-0.85092 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.162284 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.118391 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0185158 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.068561 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.162292 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.175966 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.632489 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.605928 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.121042 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.00934829 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.155414 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0790478 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.015531 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0392947 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.26805 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.249995 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.313032 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.182116 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0378258 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0099444 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0110109 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.189288 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.183551 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0765052 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.000668634 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.02546 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.014056 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.263301 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.239187 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.219074 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.00771071 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0278864 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.247717 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.210366 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.402918 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.039295 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.268056 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.250002 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.315515 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.192403 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.176963 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.109593 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.599276 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0491424 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.121042 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0280852 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0343385 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00978244 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.104998 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0309743 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0343385 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.031201 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0386114 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.00831938 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.00978244 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.00751315 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0659417 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0131575 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.000440865 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0671262 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.00671655 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0131575 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0552506 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.00498301 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.00478227 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.000440865 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.00729493 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0313213 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0132008 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.116327 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.227111 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.226132 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0163067 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.232614 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.00539078 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0132008 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0351205 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.0720339 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0519946 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.00318411 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.00425471 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.00258956 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.00450118 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0254494 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.019737 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.00588399 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.109892 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0382263 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0415904 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0138004 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0458634 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0155515 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0249406 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.000267629 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.0781393 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.226443 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.00330693 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.232925 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.00336744 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.00908153 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.0330973 # DEPENDENCYPART_SIBL
(1,7),(1,19),-0.0689626 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0163067 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.232614 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.00539078 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0132008 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.0351205 # DEPENDENCYPART_SIBL
(1,8),(1,19),-0.0720339 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0176162 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.00229201 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0121943 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.00522982 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.0176409 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.00572557 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.0124716 # DEPENDENCYPART_SIBL
(1,11),(1,18),-0.0355151 # DEPENDENCYPART_SIBL
(1,11),(1,19),-0.0720922 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.0191836 # DEPENDENCYPART_SIBL
(1,12),(1,18),-0.0150276 # DEPENDENCYPART_SIBL
(1,12),(1,19),-0.0314242 # DEPENDENCYPART_SIBL
(1,13),(1,18),-0.00588399 # DEPENDENCYPART_SIBL
(1,13),(1,19),-0.109892 # DEPENDENCYPART_SIBL
(1,18),(1,19),0.0191106 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0152481 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.033183 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0213866 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0334006 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.033183 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0220919 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0607778 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0593516 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0580139 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0607778 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0658773 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0458871 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.108531 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.108499 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.00173042 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0574124 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0575587 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0129899 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.109666 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.00375745 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00173042 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00770614 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0131779 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0168689 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00645082 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0129615 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0131779 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.00922207 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0146107 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0168689 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.136498 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.00576607 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00113803 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0228675 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.108151 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.000493529 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.00113803 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.00894925 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.000993473 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0228675 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.000652564 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.00678117 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.017749 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0495076 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.146488 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.146479 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0282287 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.148482 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.017749 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0311506 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0389561 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0248387 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00488624 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00501022 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0642752 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.00227543 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0138031 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.000535901 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.107762 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0203177 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0224751 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.016333 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0224546 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00638205 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0123706 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0402746 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.147646 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0227406 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.14965 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0187902 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0311507 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0384355 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0282287 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.148482 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.017749 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0311506 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0389561 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.020425 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0288377 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0126735 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0157943 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0177596 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0312156 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0392057 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.000535901 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.107762 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.12289 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0286408 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00053959 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0266691 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0465621 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00567304 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00588352 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0148199 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0031273 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.112602 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00783897 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0184734 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0234146 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00905224 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00970814 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0159258 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.024752 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0188269 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0180014 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0158335 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0010147 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.000918138 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.045256 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0487502 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.021018 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.00491942 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0605078 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0606627 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00353991 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0321153 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.00152231 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0299576 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0320841 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00644534 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.00174362 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0177168 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.12291 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.000639408 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.045303 # DEPENDENCYPART_SIBL
(4,7),(4,16),-6.07956e-05 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.00484863 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0453032 # DEPENDENCYPART_SIBL
(4,8),(4,16),-6.04563e-05 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0398626 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.00179843 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.00827542 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0187049 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0100149 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0156469 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.032475 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0506507 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0504316 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0896099 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0116129 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0141014 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0203242 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.021025 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.236468 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.119764 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.120406 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0902965 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0670586 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0295121 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0375326 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0527769 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0970087 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0970973 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0699067 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.00570599 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.00561444 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0263149 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.216254 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.216209 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0320077 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0239737 # DEPENDENCYPART_SIBL
