# _root_ * Επισκεφθείτε τις ερημικές παραλίες της νότιας Ρόδου , από το Πρασονήσι έως το Πλυμήρι , που προσφέρονται για απομόνωση και ηρεμία .
#goldHeads=0,0,5,5,2,8,8,5,2,5,12,10,5,15,13,18,18,5,18,21,19,21,0,
#predictedHeads=0,0,5,5,2,8,8,5,2,2,12,10,12,15,13,18,18,15,18,21,19,21,0,
(12,8),-1.35048 # DEPENDENCYPART_ARC
(12,9),-0.881343 # DEPENDENCYPART_ARC
(12,11),2.27637 # DEPENDENCYPART_ARC
(12,13),0.42238 # DEPENDENCYPART_ARC
(12,14),-1.24344 # DEPENDENCYPART_ARC
(12,15),-0.947063 # DEPENDENCYPART_ARC
(12,18),-1.06186 # DEPENDENCYPART_ARC
(12,19),-0.90944 # DEPENDENCYPART_ARC
(12,21),-0.538326 # DEPENDENCYPART_ARC
(12,22),-1.97039 # DEPENDENCYPART_ARC
(13,10),-0.710931 # DEPENDENCYPART_ARC
(13,11),-0.784809 # DEPENDENCYPART_ARC
(13,12),-0.941004 # DEPENDENCYPART_ARC
(13,14),-0.057233 # DEPENDENCYPART_ARC
(13,15),1.34515 # DEPENDENCYPART_ARC
(13,16),-0.232861 # DEPENDENCYPART_ARC
(13,18),-0.851351 # DEPENDENCYPART_ARC
(13,20),-0.998952 # DEPENDENCYPART_ARC
(13,21),-0.330122 # DEPENDENCYPART_ARC
(15,2),-1.45207 # DEPENDENCYPART_ARC
(15,6),-1.9675 # DEPENDENCYPART_ARC
(15,11),0.115857 # DEPENDENCYPART_ARC
(15,12),-0.412822 # DEPENDENCYPART_ARC
(15,13),-0.360469 # DEPENDENCYPART_ARC
(15,14),2.45136 # DEPENDENCYPART_ARC
(15,16),-0.373136 # DEPENDENCYPART_ARC
(15,17),-1.35564 # DEPENDENCYPART_ARC
(15,18),-0.912818 # DEPENDENCYPART_ARC
(15,19),-0.836474 # DEPENDENCYPART_ARC
(15,20),-1.3755 # DEPENDENCYPART_ARC
(15,22),-1.91346 # DEPENDENCYPART_ARC
(16,1),-1.12664 # DEPENDENCYPART_ARC
(16,2),-1.19865 # DEPENDENCYPART_ARC
(16,5),-0.994922 # DEPENDENCYPART_ARC
(16,8),-1.27273 # DEPENDENCYPART_ARC
(16,9),-0.992444 # DEPENDENCYPART_ARC
(16,10),-0.862882 # DEPENDENCYPART_ARC
(16,12),-1.1037 # DEPENDENCYPART_ARC
(16,13),-0.679299 # DEPENDENCYPART_ARC
(16,15),-0.574495 # DEPENDENCYPART_ARC
(16,17),-0.495936 # DEPENDENCYPART_ARC
(16,18),-0.889882 # DEPENDENCYPART_ARC
(16,19),-0.947405 # DEPENDENCYPART_ARC
(16,20),-1.33997 # DEPENDENCYPART_ARC
(16,22),-1.61228 # DEPENDENCYPART_ARC
(16,23),-0.580711 # DEPENDENCYPART_ARC
(17,16),-0.0101226 # DEPENDENCYPART_ARC
(17,18),-0.617693 # DEPENDENCYPART_ARC
(18,1),-1.2962 # DEPENDENCYPART_ARC
(18,2),-2.82231 # DEPENDENCYPART_ARC
(18,4),-1.13518 # DEPENDENCYPART_ARC
(18,5),-1.42749 # DEPENDENCYPART_ARC
(18,7),-2.36777 # DEPENDENCYPART_ARC
(18,8),-2.89417 # DEPENDENCYPART_ARC
(18,9),-0.279859 # DEPENDENCYPART_ARC
(18,10),-0.75122 # DEPENDENCYPART_ARC
(18,12),-1.42533 # DEPENDENCYPART_ARC
(18,13),-0.496721 # DEPENDENCYPART_ARC
(18,14),-0.665658 # DEPENDENCYPART_ARC
(18,15),-1.15623 # DEPENDENCYPART_ARC
(18,16),0.485959 # DEPENDENCYPART_ARC
(18,17),2.17599 # DEPENDENCYPART_ARC
(18,19),1.37739 # DEPENDENCYPART_ARC
(18,20),0.329314 # DEPENDENCYPART_ARC
(18,21),-0.06453 # DEPENDENCYPART_ARC
(18,22),-0.545006 # DEPENDENCYPART_ARC
(18,23),-0.274 # DEPENDENCYPART_ARC
(19,20),2.11936 # DEPENDENCYPART_ARC
(19,21),0.410196 # DEPENDENCYPART_ARC
(19,22),0.111914 # DEPENDENCYPART_ARC
(19,23),-0.388019 # DEPENDENCYPART_ARC
(20,17),-2.18667 # DEPENDENCYPART_ARC
(20,19),-0.652385 # DEPENDENCYPART_ARC
(20,21),-0.19941 # DEPENDENCYPART_ARC
(20,22),-0.701308 # DEPENDENCYPART_ARC
(21,1),-1.09102 # DEPENDENCYPART_ARC
(21,2),-0.62994 # DEPENDENCYPART_ARC
(21,4),-1.48699 # DEPENDENCYPART_ARC
(21,5),-0.806038 # DEPENDENCYPART_ARC
(21,7),-1.31353 # DEPENDENCYPART_ARC
(21,8),-0.491686 # DEPENDENCYPART_ARC
(21,9),-0.737147 # DEPENDENCYPART_ARC
(21,10),-0.968139 # DEPENDENCYPART_ARC
(21,12),-0.455398 # DEPENDENCYPART_ARC
(21,13),-0.670589 # DEPENDENCYPART_ARC
(21,15),-0.00341532 # DEPENDENCYPART_ARC
(21,16),-0.20607 # DEPENDENCYPART_ARC
(21,17),-0.244265 # DEPENDENCYPART_ARC
(21,18),0.455882 # DEPENDENCYPART_ARC
(21,19),0.164988 # DEPENDENCYPART_ARC
(21,20),1.73975 # DEPENDENCYPART_ARC
(21,22),1.94644 # DEPENDENCYPART_ARC
(21,23),-0.132985 # DEPENDENCYPART_ARC
(22,14),-1.94277 # DEPENDENCYPART_ARC
(22,17),-1.95546 # DEPENDENCYPART_ARC
(22,19),-1.15286 # DEPENDENCYPART_ARC
(22,20),-0.512647 # DEPENDENCYPART_ARC
(22,21),0.00810934 # DEPENDENCYPART_ARC
(22,23),-0.281813 # DEPENDENCYPART_ARC
(23,1),-1.5607 # DEPENDENCYPART_ARC
(23,2),-1.96342 # DEPENDENCYPART_ARC
(23,20),-1.45446 # DEPENDENCYPART_ARC
(23,22),-1.06704 # DEPENDENCYPART_ARC
(0,1),(0,2),0.038723 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.204475 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.54893 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.204396 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.531758 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.382413 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.382413 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0244314 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.531788 # DEPENDENCYPART_SIBL
(0,1),(0,21),0.176457 # DEPENDENCYPART_SIBL
(0,1),(0,22),0.531788 # DEPENDENCYPART_SIBL
(0,1),(0,23),0.10632 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.161208 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0131122 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.161231 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0174947 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0651669 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0651669 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.606469 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0174744 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.354654 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.0174744 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.113374 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.159814 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.015381 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.154076 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0790452 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0790452 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.249993 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.155511 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.116729 # DEPENDENCYPART_SIBL
(0,4),(0,22),0.155511 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.31303 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.00353562 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0480966 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.0608298 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.0608298 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.217271 # DEPENDENCYPART_SIBL
(0,5),(0,20),0.0482915 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.127234 # DEPENDENCYPART_SIBL
(0,5),(0,22),0.0482915 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.165467 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.154076 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0790452 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0790452 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.249993 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.155511 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.116729 # DEPENDENCYPART_SIBL
(0,7),(0,22),0.155511 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.31303 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.00169273 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.00169273 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.239436 # DEPENDENCYPART_SIBL
(0,8),(0,20),0.0287532 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.162871 # DEPENDENCYPART_SIBL
(0,8),(0,22),0.0287532 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.218565 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0210454 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.210366 # DEPENDENCYPART_SIBL
(0,9),(0,20),0.219643 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.030572 # DEPENDENCYPART_SIBL
(0,9),(0,22),0.219643 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.402918 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.210366 # DEPENDENCYPART_SIBL
(0,16),(0,20),0.219643 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.030572 # DEPENDENCYPART_SIBL
(0,16),(0,22),0.219643 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.402918 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0184369 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.355729 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.0184369 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.121042 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.162869 # DEPENDENCYPART_SIBL
(0,20),(0,22),0.0287555 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.218542 # DEPENDENCYPART_SIBL
(0,21),(0,22),6.64618e-05 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.0414874 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.218542 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00497065 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00633035 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00631852 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00138719 # DEPENDENCYPART_SIBL
(1,4),(1,8),-1.44083e-05 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0648931 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0504428 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0557718 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.111481 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0557718 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.109434 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0327964 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.102893 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.108535 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0958739 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.108535 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0327964 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0672758 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.107711 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.108535 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.0342048 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.108535 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0318052 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0600208 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0258969 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0600208 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0267668 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0222623 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00305713 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0257974 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0182854 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0257974 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0222623 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0168557 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0227925 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0257974 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.087013 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.0257974 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.0406439 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.034469 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.103798 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.035848 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0114102 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0115595 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0343438 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.035789 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0343438 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0114102 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.00748625 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0336141 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0343438 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.145709 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0343438 # DEPENDENCYPART_SIBL
(2,4),(2,23),-0.0683293 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.114787 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.228535 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00148358 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0289702 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.228184 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0127723 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.228184 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.00148358 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0346691 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0131514 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.228184 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.199697 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.228184 # DEPENDENCYPART_SIBL
(2,5),(2,23),-0.0650052 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.035848 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0114102 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0115595 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0343438 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.035789 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0343438 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0114102 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.00748625 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0336141 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.0343438 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.145709 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0343438 # DEPENDENCYPART_SIBL
(2,7),(2,23),-0.0683293 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0122434 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0330034 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.224018 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0121567 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.224018 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0122434 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0332874 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0120845 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.224018 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.200739 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.224018 # DEPENDENCYPART_SIBL
(2,8),(2,23),-0.0736323 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0198242 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.00428497 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0298174 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.00428497 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0180533 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.00596482 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.00490284 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.00428497 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.0358107 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.00428497 # DEPENDENCYPART_SIBL
(2,9),(2,23),-0.112333 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0321249 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.00459442 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0321249 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.101744 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0543906 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0345086 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.0321249 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.236008 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.0321249 # DEPENDENCYPART_SIBL
(2,10),(2,23),-0.14627 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0173764 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.224018 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0122117 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.0330363 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.00854126 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.224018 # DEPENDENCYPART_SIBL
(2,12),(2,21),-0.200738 # DEPENDENCYPART_SIBL
(2,12),(2,22),-0.224018 # DEPENDENCYPART_SIBL
(2,12),(2,23),-0.0736146 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.00425284 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.00118142 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0129062 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0176634 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.00425284 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.170603 # DEPENDENCYPART_SIBL
(2,13),(2,22),-0.00425284 # DEPENDENCYPART_SIBL
(2,13),(2,23),-0.0469699 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.0122117 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.0330363 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.00854126 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.224018 # DEPENDENCYPART_SIBL
(2,15),(2,21),-0.200738 # DEPENDENCYPART_SIBL
(2,15),(2,22),-0.224018 # DEPENDENCYPART_SIBL
(2,15),(2,23),-0.0736146 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.00596482 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.00490284 # DEPENDENCYPART_SIBL
(2,16),(2,20),0.00428497 # DEPENDENCYPART_SIBL
(2,16),(2,21),-0.0358107 # DEPENDENCYPART_SIBL
(2,16),(2,22),0.00428497 # DEPENDENCYPART_SIBL
(2,16),(2,23),-0.112333 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0176162 # DEPENDENCYPART_SIBL
(2,18),(2,20),-0.0645075 # DEPENDENCYPART_SIBL
(2,18),(2,21),-0.186246 # DEPENDENCYPART_SIBL
(2,18),(2,22),-0.0645075 # DEPENDENCYPART_SIBL
(2,18),(2,23),0.0167504 # DEPENDENCYPART_SIBL
(2,19),(2,20),-0.00990926 # DEPENDENCYPART_SIBL
(2,19),(2,21),-0.177594 # DEPENDENCYPART_SIBL
(2,19),(2,22),-0.00990926 # DEPENDENCYPART_SIBL
(2,19),(2,23),-0.0200011 # DEPENDENCYPART_SIBL
(2,20),(2,21),-0.200738 # DEPENDENCYPART_SIBL
(2,20),(2,22),-0.224018 # DEPENDENCYPART_SIBL
(2,20),(2,23),-0.0736146 # DEPENDENCYPART_SIBL
(2,21),(2,22),-0.0108794 # DEPENDENCYPART_SIBL
(2,21),(2,23),0.0171605 # DEPENDENCYPART_SIBL
(2,22),(2,23),-0.0736146 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0185768 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.048529 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0356535 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0056819 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.050251 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00974609 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0419251 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.022751 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0273508 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0207572 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0334339 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.133238 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.003447 # DEPENDENCYPART_SIBL
