# _root_ Στις διάφορες δράσεις κατέστη δυνατόν , όπως επιθυμούσαμε , να γίνει ισόρροπη κατανομή πόρων μεταξύ ανταλλαγής νέων και εθελοντικής υπηρεσίας .
#goldHeads=4,3,1,0,4,8,8,4,8,11,4,13,11,13,13,18,16,15,20,18,0,
#predictedHeads=4,3,1,0,4,8,8,4,8,11,8,13,11,13,14,15,18,20,18,16,0,
(6,4),-0.729142 # DEPENDENCYPART_ARC
(6,5),-0.339118 # DEPENDENCYPART_ARC
(6,7),-0.372066 # DEPENDENCYPART_ARC
(6,8),-0.812059 # DEPENDENCYPART_ARC
(6,9),-0.356222 # DEPENDENCYPART_ARC
(6,11),-1.30373 # DEPENDENCYPART_ARC
(6,12),-1.13647 # DEPENDENCYPART_ARC
(7,1),-0.995472 # DEPENDENCYPART_ARC
(7,5),-0.715106 # DEPENDENCYPART_ARC
(7,6),0.0341731 # DEPENDENCYPART_ARC
(7,8),-0.282525 # DEPENDENCYPART_ARC
(7,9),-0.830253 # DEPENDENCYPART_ARC
(7,11),-1.22783 # DEPENDENCYPART_ARC
(8,1),0.521979 # DEPENDENCYPART_ARC
(8,2),-0.862185 # DEPENDENCYPART_ARC
(8,3),-0.249621 # DEPENDENCYPART_ARC
(8,4),-2.73119 # DEPENDENCYPART_ARC
(8,5),-0.737567 # DEPENDENCYPART_ARC
(8,6),0.669096 # DEPENDENCYPART_ARC
(8,7),1.55328 # DEPENDENCYPART_ARC
(8,9),0.346442 # DEPENDENCYPART_ARC
(8,10),-0.533609 # DEPENDENCYPART_ARC
(8,11),-0.664781 # DEPENDENCYPART_ARC
(8,12),-0.983692 # DEPENDENCYPART_ARC
(8,13),-0.53156 # DEPENDENCYPART_ARC
(8,14),-2.76566 # DEPENDENCYPART_ARC
(8,15),-0.818609 # DEPENDENCYPART_ARC
(8,16),-2.70181 # DEPENDENCYPART_ARC
(8,18),-0.730285 # DEPENDENCYPART_ARC
(8,21),-0.80573 # DEPENDENCYPART_ARC
(9,1),-1.05598 # DEPENDENCYPART_ARC
(9,2),-1.46733 # DEPENDENCYPART_ARC
(9,3),-1.35503 # DEPENDENCYPART_ARC
(9,4),-1.23141 # DEPENDENCYPART_ARC
(9,5),-1.45592 # DEPENDENCYPART_ARC
(9,6),-0.712826 # DEPENDENCYPART_ARC
(9,7),-0.898027 # DEPENDENCYPART_ARC
(9,8),-0.389888 # DEPENDENCYPART_ARC
(9,11),-0.995657 # DEPENDENCYPART_ARC
(9,12),-1.15862 # DEPENDENCYPART_ARC
(9,13),-1.44657 # DEPENDENCYPART_ARC
(9,17),-1.41287 # DEPENDENCYPART_ARC
(9,19),-1.34852 # DEPENDENCYPART_ARC
(10,13),-0.967288 # DEPENDENCYPART_ARC
(11,1),-0.273338 # DEPENDENCYPART_ARC
(11,2),-1.30779 # DEPENDENCYPART_ARC
(11,3),-1.75908 # DEPENDENCYPART_ARC
(11,4),-3.29464 # DEPENDENCYPART_ARC
(11,5),-1.705 # DEPENDENCYPART_ARC
(11,6),-0.263321 # DEPENDENCYPART_ARC
(11,7),-0.226546 # DEPENDENCYPART_ARC
(11,8),-0.278886 # DEPENDENCYPART_ARC
(11,9),0.164167 # DEPENDENCYPART_ARC
(11,10),1.73 # DEPENDENCYPART_ARC
(11,12),1.10782 # DEPENDENCYPART_ARC
(11,13),1.32475 # DEPENDENCYPART_ARC
(11,14),-1.50426 # DEPENDENCYPART_ARC
(11,15),-0.166202 # DEPENDENCYPART_ARC
(11,16),-1.4839 # DEPENDENCYPART_ARC
(11,17),-1.48271 # DEPENDENCYPART_ARC
(11,18),-0.42028 # DEPENDENCYPART_ARC
(11,19),-1.69883 # DEPENDENCYPART_ARC
(11,20),-2.00271 # DEPENDENCYPART_ARC
(11,21),-0.310286 # DEPENDENCYPART_ARC
(12,7),-0.796979 # DEPENDENCYPART_ARC
(12,9),-0.644775 # DEPENDENCYPART_ARC
(12,11),-1.25343 # DEPENDENCYPART_ARC
(12,13),-1.04174 # DEPENDENCYPART_ARC
(12,14),-0.338455 # DEPENDENCYPART_ARC
(12,16),-0.674512 # DEPENDENCYPART_ARC
(13,8),-3.21868 # DEPENDENCYPART_ARC
(13,9),-0.7756 # DEPENDENCYPART_ARC
(13,11),-1.029 # DEPENDENCYPART_ARC
(13,12),2.17242 # DEPENDENCYPART_ARC
(13,14),1.45364 # DEPENDENCYPART_ARC
(13,15),-0.0796532 # DEPENDENCYPART_ARC
(13,16),0.36776 # DEPENDENCYPART_ARC
(13,17),-0.88652 # DEPENDENCYPART_ARC
(13,18),-0.199012 # DEPENDENCYPART_ARC
(13,19),-1.067 # DEPENDENCYPART_ARC
(13,20),-0.368209 # DEPENDENCYPART_ARC
(14,9),-0.615707 # DEPENDENCYPART_ARC
(14,12),-0.409165 # DEPENDENCYPART_ARC
(14,13),-0.121864 # DEPENDENCYPART_ARC
(14,15),0.457046 # DEPENDENCYPART_ARC
(14,16),0.627297 # DEPENDENCYPART_ARC
(14,17),-0.0899779 # DEPENDENCYPART_ARC
(14,18),-0.387065 # DEPENDENCYPART_ARC
(14,19),-0.434893 # DEPENDENCYPART_ARC
(15,12),-1.01378 # DEPENDENCYPART_ARC
(15,13),-0.93432 # DEPENDENCYPART_ARC
(15,14),-0.313588 # DEPENDENCYPART_ARC
(15,16),0.712435 # DEPENDENCYPART_ARC
(15,17),-0.436408 # DEPENDENCYPART_ARC
(15,18),-0.059879 # DEPENDENCYPART_ARC
(15,20),-0.488088 # DEPENDENCYPART_ARC
(15,21),-0.515101 # DEPENDENCYPART_ARC
(16,12),-1.4292 # DEPENDENCYPART_ARC
(16,13),-1.49471 # DEPENDENCYPART_ARC
(16,14),-0.994212 # DEPENDENCYPART_ARC
(16,15),0.298378 # DEPENDENCYPART_ARC
(16,17),0.394682 # DEPENDENCYPART_ARC
(16,18),-0.284252 # DEPENDENCYPART_ARC
(16,19),-0.329333 # DEPENDENCYPART_ARC
(16,20),0.148372 # DEPENDENCYPART_ARC
(16,21),-0.420876 # DEPENDENCYPART_ARC
(17,14),-1.07198 # DEPENDENCYPART_ARC
(17,15),-0.381114 # DEPENDENCYPART_ARC
(17,16),-1.26822 # DEPENDENCYPART_ARC
(17,18),-0.220549 # DEPENDENCYPART_ARC
(17,19),-1.7033 # DEPENDENCYPART_ARC
(17,20),-1.02719 # DEPENDENCYPART_ARC
(18,1),-0.899406 # DEPENDENCYPART_ARC
(18,2),-1.14596 # DEPENDENCYPART_ARC
(18,3),-0.642071 # DEPENDENCYPART_ARC
(18,4),-0.899768 # DEPENDENCYPART_ARC
(18,5),-0.823499 # DEPENDENCYPART_ARC
(18,6),-0.824806 # DEPENDENCYPART_ARC
(18,7),-0.417812 # DEPENDENCYPART_ARC
(18,8),-0.685265 # DEPENDENCYPART_ARC
(18,9),-0.359374 # DEPENDENCYPART_ARC
(18,11),0.10732 # DEPENDENCYPART_ARC
(18,12),-0.519246 # DEPENDENCYPART_ARC
(18,13),-0.25743 # DEPENDENCYPART_ARC
(18,14),-0.134288 # DEPENDENCYPART_ARC
(18,15),-0.0869988 # DEPENDENCYPART_ARC
(18,16),0.309705 # DEPENDENCYPART_ARC
(18,17),1.2937 # DEPENDENCYPART_ARC
(18,19),1.82355 # DEPENDENCYPART_ARC
(18,20),0.00909323 # DEPENDENCYPART_ARC
(18,21),-0.25478 # DEPENDENCYPART_ARC
(19,15),-0.838002 # DEPENDENCYPART_ARC
(19,17),-0.612886 # DEPENDENCYPART_ARC
(19,20),-0.0422367 # DEPENDENCYPART_ARC
(19,21),-0.716999 # DEPENDENCYPART_ARC
(20,14),-1.65023 # DEPENDENCYPART_ARC
(20,15),-0.719295 # DEPENDENCYPART_ARC
(20,16),-1.00387 # DEPENDENCYPART_ARC
(20,17),-0.388988 # DEPENDENCYPART_ARC
(20,18),0.857316 # DEPENDENCYPART_ARC
(20,19),1.49443 # DEPENDENCYPART_ARC
(20,21),-0.358103 # DEPENDENCYPART_ARC
(21,19),-1.36639 # DEPENDENCYPART_ARC
(21,20),-1.06842 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.161701 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0236078 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.367475 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.149848 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.246021 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.112234 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.367475 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.246021 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.366127 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.210843 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.023061 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.520549 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.148382 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.25394 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0193042 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.085957 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.00488479 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.254613 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.085957 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.254841 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.120675 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.148382 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.321911 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.241311 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0224506 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.000805009 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0408519 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.239184 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.000805009 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.236358 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.163505 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.0287504 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.219004 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.165791 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0762309 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.101453 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.609469 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0762309 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.610901 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.360335 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0219445 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.131487 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0818414 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.00142242 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.248219 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0818414 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.248447 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.120609 # DEPENDENCYPART_SIBL
(0,5),(0,20),0.155511 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.314428 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.0965904 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.210366 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0210454 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.212864 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.030572 # DEPENDENCYPART_SIBL
(0,6),(0,20),0.219643 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.402918 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.162175 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.101853 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.163324 # DEPENDENCYPART_SIBL
(0,7),(0,18),0.0759924 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.247958 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.0161492 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0685719 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.607393 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.355729 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0184369 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.121047 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.212864 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.030572 # DEPENDENCYPART_SIBL
(0,9),(0,20),0.219643 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.402918 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.356992 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.0147264 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.128758 # DEPENDENCYPART_SIBL
(0,18),(0,20),6.64618e-05 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.0414874 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.218911 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.146979 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0311684 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0404482 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.011866 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0197459 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0191592 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00495592 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0176917 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0572951 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0345323 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00936156 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0177076 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0236453 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0319116 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0111373 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0160096 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0231171 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00569379 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.106539 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0979804 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0936361 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0421781 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00938907 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0142164 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.181815 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0161774 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0444963 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00719856 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0398601 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0197643 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00218817 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00226876 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0197643 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0139596 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.00578066 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0108319 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0103947 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.00126281 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0103989 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.010169 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.000946335 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.00578066 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0103539 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0215703 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0302292 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0191797 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0173665 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0239778 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0191797 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0201358 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.015202 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.00115756 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.00346976 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.00451965 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.00159028 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.00840666 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.01559 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.015202 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.000371671 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0257775 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0310927 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.046186 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0102946 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0310927 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0114251 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.110988 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0192139 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0192552 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0308635 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0192113 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.110996 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.1591 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.110988 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0192113 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0793794 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0269925 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00636297 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0123172 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00790943 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0498714 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0179948 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0177225 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.00442278 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0180081 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0498799 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0366578 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0498714 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.0180081 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.114023 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0123297 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.00662791 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0114869 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0553375 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0754527 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0754121 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0313874 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0754561 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.055346 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.00445071 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0553375 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0754561 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0196139 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.00921986 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.198415 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.108894 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0533583 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0533567 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0303228 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0533559 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.108908 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.189736 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.108894 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0533559 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.0108417 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.00790943 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0498714 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0179948 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0177225 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.00442278 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0180081 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0498799 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0366578 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0498714 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.0180081 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.114023 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.105254 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.038162 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0381604 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0142885 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0381596 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.105268 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.181487 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.105254 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.0381596 # DEPENDENCYPART_SIBL
(4,11),(4,21),0.00726013 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0139616 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0140029 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0251265 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.013959 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.101834 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.145279 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.101825 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.013959 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.0699446 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.205516 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.00502816 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.205476 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.11247 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.200255 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.110906 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.205482 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.0720585 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.00502276 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.205472 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.112465 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.200255 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.1109 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.205477 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.0737029 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.0308228 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.05458 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.0383047 # DEPENDENCYPART_SIBL
(4,15),(4,19),-0.0545716 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.0308228 # DEPENDENCYPART_SIBL
(4,15),(4,21),-0.0232956 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.112463 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.200248 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.110899 # DEPENDENCYPART_SIBL
(4,16),(4,20),-0.205474 # DEPENDENCYPART_SIBL
(4,16),(4,21),-0.0720475 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.146507 # DEPENDENCYPART_SIBL
(4,17),(4,19),-0.103054 # DEPENDENCYPART_SIBL
