# _root_ Επίσης , η περιοχή έχει χαρακτηριστεί μόνιμο καταφύγιο άγριων ζώων , ενώ ανάλογης ποικιλότητας και σημασίας είναι και η πανίδα της .
#goldHeads=12,12,4,6,6,12,8,6,10,8,12,0,15,15,17,15,12,20,20,17,20,0,
#predictedHeads=6,6,4,6,6,12,8,6,10,8,12,0,14,15,17,15,12,20,20,17,20,0,
(10,7),-1.00063 # DEPENDENCYPART_ARC
(10,8),-0.938864 # DEPENDENCYPART_ARC
(10,9),2.00266 # DEPENDENCYPART_ARC
(10,11),-0.370116 # DEPENDENCYPART_ARC
(10,12),-0.661276 # DEPENDENCYPART_ARC
(10,13),-0.591479 # DEPENDENCYPART_ARC
(10,14),-0.165947 # DEPENDENCYPART_ARC
(10,15),-0.775427 # DEPENDENCYPART_ARC
(11,2),-0.591933 # DEPENDENCYPART_ARC
(11,8),-0.819003 # DEPENDENCYPART_ARC
(11,9),-0.849791 # DEPENDENCYPART_ARC
(11,10),-0.440317 # DEPENDENCYPART_ARC
(11,12),-0.357887 # DEPENDENCYPART_ARC
(11,13),-0.936999 # DEPENDENCYPART_ARC
(11,14),-1.0726 # DEPENDENCYPART_ARC
(11,16),-1.33886 # DEPENDENCYPART_ARC
(12,1),-0.531889 # DEPENDENCYPART_ARC
(12,2),-0.588254 # DEPENDENCYPART_ARC
(12,4),-0.451042 # DEPENDENCYPART_ARC
(12,5),0.282 # DEPENDENCYPART_ARC
(12,6),0.475666 # DEPENDENCYPART_ARC
(12,7),-0.379283 # DEPENDENCYPART_ARC
(12,8),-0.115062 # DEPENDENCYPART_ARC
(12,9),-0.128395 # DEPENDENCYPART_ARC
(12,10),0.109738 # DEPENDENCYPART_ARC
(12,11),1.06862 # DEPENDENCYPART_ARC
(12,13),1.05211 # DEPENDENCYPART_ARC
(12,14),0.0707061 # DEPENDENCYPART_ARC
(12,15),-0.0813389 # DEPENDENCYPART_ARC
(12,16),-0.465871 # DEPENDENCYPART_ARC
(12,17),0.694709 # DEPENDENCYPART_ARC
(12,18),-0.352201 # DEPENDENCYPART_ARC
(12,20),-1.48289 # DEPENDENCYPART_ARC
(12,22),-0.257784 # DEPENDENCYPART_ARC
(13,11),-0.601183 # DEPENDENCYPART_ARC
(13,12),0.0431416 # DEPENDENCYPART_ARC
(13,14),0.0742422 # DEPENDENCYPART_ARC
(13,15),-0.381823 # DEPENDENCYPART_ARC
(13,16),-0.852177 # DEPENDENCYPART_ARC
(13,17),-0.96259 # DEPENDENCYPART_ARC
(13,20),-2.76352 # DEPENDENCYPART_ARC
(14,9),-0.978529 # DEPENDENCYPART_ARC
(14,12),0.460473 # DEPENDENCYPART_ARC
(14,13),1.52635 # DEPENDENCYPART_ARC
(14,15),-0.256896 # DEPENDENCYPART_ARC
(14,16),0.204898 # DEPENDENCYPART_ARC
(14,17),-1.53164 # DEPENDENCYPART_ARC
(14,18),-1.0862 # DEPENDENCYPART_ARC
(15,1),-0.803171 # DEPENDENCYPART_ARC
(15,2),-0.533253 # DEPENDENCYPART_ARC
(15,4),-0.173665 # DEPENDENCYPART_ARC
(15,5),-0.20569 # DEPENDENCYPART_ARC
(15,6),0.0427293 # DEPENDENCYPART_ARC
(15,7),-0.750907 # DEPENDENCYPART_ARC
(15,8),0.139298 # DEPENDENCYPART_ARC
(15,9),-0.565971 # DEPENDENCYPART_ARC
(15,10),0.472958 # DEPENDENCYPART_ARC
(15,11),0.117214 # DEPENDENCYPART_ARC
(15,12),0.167799 # DEPENDENCYPART_ARC
(15,13),0.147691 # DEPENDENCYPART_ARC
(15,14),1.83566 # DEPENDENCYPART_ARC
(15,16),1.83446 # DEPENDENCYPART_ARC
(15,17),0.671425 # DEPENDENCYPART_ARC
(15,18),-0.348668 # DEPENDENCYPART_ARC
(15,20),-0.489202 # DEPENDENCYPART_ARC
(15,22),-0.469197 # DEPENDENCYPART_ARC
(16,13),-0.456303 # DEPENDENCYPART_ARC
(16,14),-0.737435 # DEPENDENCYPART_ARC
(16,15),0.068613 # DEPENDENCYPART_ARC
(16,17),-0.913217 # DEPENDENCYPART_ARC
(16,18),-0.855831 # DEPENDENCYPART_ARC
(16,20),-1.7792 # DEPENDENCYPART_ARC
(17,1),-0.114529 # DEPENDENCYPART_ARC
(17,2),-0.676279 # DEPENDENCYPART_ARC
(17,4),-0.486885 # DEPENDENCYPART_ARC
(17,5),-1.53068 # DEPENDENCYPART_ARC
(17,6),-3.08968 # DEPENDENCYPART_ARC
(17,7),-0.92436 # DEPENDENCYPART_ARC
(17,8),-1.17814 # DEPENDENCYPART_ARC
(17,9),-1.96806 # DEPENDENCYPART_ARC
(17,10),-2.39593 # DEPENDENCYPART_ARC
(17,11),-0.268285 # DEPENDENCYPART_ARC
(17,12),-0.454772 # DEPENDENCYPART_ARC
(17,13),-1.52479 # DEPENDENCYPART_ARC
(17,14),-1.28122 # DEPENDENCYPART_ARC
(17,15),-0.108796 # DEPENDENCYPART_ARC
(17,16),-0.42131 # DEPENDENCYPART_ARC
(17,18),0.494382 # DEPENDENCYPART_ARC
(17,19),-1.8191 # DEPENDENCYPART_ARC
(17,20),0.2834 # DEPENDENCYPART_ARC
(17,22),-0.315678 # DEPENDENCYPART_ARC
(18,1),-1.22934 # DEPENDENCYPART_ARC
(18,2),-0.830816 # DEPENDENCYPART_ARC
(18,4),-0.764866 # DEPENDENCYPART_ARC
(18,5),-0.768785 # DEPENDENCYPART_ARC
(18,6),-0.931717 # DEPENDENCYPART_ARC
(18,7),-1.61713 # DEPENDENCYPART_ARC
(18,8),-0.769198 # DEPENDENCYPART_ARC
(18,9),-1.36036 # DEPENDENCYPART_ARC
(18,10),-0.596575 # DEPENDENCYPART_ARC
(18,11),-0.426127 # DEPENDENCYPART_ARC
(18,12),-0.444735 # DEPENDENCYPART_ARC
(18,13),-1.14494 # DEPENDENCYPART_ARC
(18,14),-0.341153 # DEPENDENCYPART_ARC
(18,15),-0.250893 # DEPENDENCYPART_ARC
(18,16),-0.161211 # DEPENDENCYPART_ARC
(18,17),0.696571 # DEPENDENCYPART_ARC
(18,19),-0.386701 # DEPENDENCYPART_ARC
(18,20),0.038165 # DEPENDENCYPART_ARC
(18,21),-0.625864 # DEPENDENCYPART_ARC
(18,22),-0.392856 # DEPENDENCYPART_ARC
(20,18),-0.0613002 # DEPENDENCYPART_ARC
(20,19),2.38808 # DEPENDENCYPART_ARC
(20,21),1.65288 # DEPENDENCYPART_ARC
(20,22),-0.120318 # DEPENDENCYPART_ARC
(22,17),-1.54557 # DEPENDENCYPART_ARC
(22,18),-1.16331 # DEPENDENCYPART_ARC
(22,20),-1.4372 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0148786 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.157373 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.21836 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.205887 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0148786 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0382154 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0171086 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.157823 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.210638 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0171086 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.158366 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.137163 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.219301 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.239885 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.210366 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0210454 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.044797 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.030572 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.219551 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.208969 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.030572 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.219643 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.402918 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.260596 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.243726 # DEPENDENCYPART_SIBL
(0,4),(0,11),0.0105727 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0897566 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.166173 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.0240816 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.256123 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.166173 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.0250718 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.21866 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.632092 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.1261 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.332726 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.377432 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0422546 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.653455 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.377432 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0419023 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.186428 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0627846 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.308966 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.353419 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0164786 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.62428 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.353419 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0161264 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.112955 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.044797 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.030572 # DEPENDENCYPART_SIBL
(0,11),(0,16),0.219551 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.208969 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.030572 # DEPENDENCYPART_SIBL
(0,11),(0,20),0.219643 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.402918 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.103935 # DEPENDENCYPART_SIBL
(0,12),(0,16),0.112201 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.216673 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.103935 # DEPENDENCYPART_SIBL
(0,12),(0,20),0.112235 # DEPENDENCYPART_SIBL
(0,12),(0,22),0.154953 # DEPENDENCYPART_SIBL
(0,15),(0,16),2.42432e-05 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.289834 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.203802 # DEPENDENCYPART_SIBL
(0,15),(0,20),6.64618e-05 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.0414874 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.246141 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.162873 # DEPENDENCYPART_SIBL
(0,16),(0,20),0.0276973 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.218665 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.399191 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.0438941 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.166469 # DEPENDENCYPART_SIBL
(0,18),(0,20),6.64618e-05 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.0414874 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.218542 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00364511 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0189407 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0355235 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0977497 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0803099 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0514419 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0147133 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.133633 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0138802 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0077154 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0108051 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.129825 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.010877 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00946246 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0190476 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00364337 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0115717 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0572338 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.100593 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0042431 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00265404 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.038952 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00834546 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0784356 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.00929203 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.00826234 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0853698 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0856654 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0688895 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0856723 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.00487376 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0168137 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0146949 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00862001 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00113682 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.108036 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.106669 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0872055 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.10689 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.031749 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0220101 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0633299 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0107576 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0425497 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0442024 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0915841 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0428209 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.0922569 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00572783 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0327332 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.07313 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0751771 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0173263 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.0707609 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.00116098 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.107964 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0593233 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0591555 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0222861 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0591551 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.0189941 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0302233 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0299089 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0121229 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0299089 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.069207 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.218405 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.00494015 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.218362 # DEPENDENCYPART_SIBL
(5,8),(5,22),-0.0696235 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.00837576 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.218335 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.0711171 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.00744203 # DEPENDENCYPART_SIBL
(5,11),(5,22),-0.113163 # DEPENDENCYPART_SIBL
(5,20),(5,22),-0.0693073 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0437383 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.00417137 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0596339 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0488044 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0046732 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.030281 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0046732 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0305765 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0394006 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0316023 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0046732 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0305834 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0349621 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0359781 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.00483694 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0349621 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0305834 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.012109 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0216731 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0042578 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0510716 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0238813 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.011508 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0238813 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0101411 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0423738 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0177656 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0238813 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0103623 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0111315 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.00495824 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0319117 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0111315 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.0103623 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0661995 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0103191 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0478905 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0060367 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0034802 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0060367 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.00182759 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.105861 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0408462 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0060367 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.00320901 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.078191 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.00858668 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0709504 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.078191 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.00320901 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.0974022 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0404625 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0298556 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.00529243 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0298556 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00733945 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.00735075 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0161352 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0298556 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.00292326 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.00495098 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.00130156 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0274679 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.00495098 # DEPENDENCYPART_SIBL
(6,4),(6,20),0.00292326 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.0152472 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.00441846 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0567878 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.00441846 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.057244 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0097336 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0101008 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.00441846 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0572514 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0448074 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0568638 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.122575 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0448074 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.0572514 # DEPENDENCYPART_SIBL
(6,5),(6,22),-0.0240909 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0314045 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.103761 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0310902 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.00977009 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0143784 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.103761 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0310902 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.145669 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0319021 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.00847591 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.145669 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.0310902 # DEPENDENCYPART_SIBL
(6,7),(6,22),-0.0659319 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.11443 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.222103 # DEPENDENCYPART_SIBL
