# _root_ Επιπλέον , η ισπανική κοινωνία έχει να αντιμετωπίσει και τη βασκική ΕΤΑ , η οποία συνεχίζει τη δράση της παρά τις προσπάθειες εξάρθρωσής της .
#goldHeads=6,6,5,5,6,0,8,6,12,12,12,8,16,15,16,12,18,16,18,16,22,20,22,23,0,
#predictedHeads=6,6,5,5,6,0,8,6,8,12,9,8,16,15,16,12,18,16,18,16,22,20,22,23,0,
(5,6),-0.610789 # DEPENDENCYPART_ARC
(5,7),-1.05396 # DEPENDENCYPART_ARC
(5,8),-1.52042 # DEPENDENCYPART_ARC
(5,9),-0.804168 # DEPENDENCYPART_ARC
(5,11),-1.98989 # DEPENDENCYPART_ARC
(5,16),-1.60401 # DEPENDENCYPART_ARC
(5,20),-1.17644 # DEPENDENCYPART_ARC
(6,1),-0.115098 # DEPENDENCYPART_ARC
(6,2),0.0279938 # DEPENDENCYPART_ARC
(6,3),-1.42969 # DEPENDENCYPART_ARC
(6,4),-0.544656 # DEPENDENCYPART_ARC
(6,5),0.684085 # DEPENDENCYPART_ARC
(6,7),-0.106344 # DEPENDENCYPART_ARC
(6,8),0.989721 # DEPENDENCYPART_ARC
(6,9),-0.493866 # DEPENDENCYPART_ARC
(6,11),-1.69234 # DEPENDENCYPART_ARC
(6,12),-1.0726 # DEPENDENCYPART_ARC
(6,13),-0.425486 # DEPENDENCYPART_ARC
(6,16),-1.56233 # DEPENDENCYPART_ARC
(6,18),-1.25207 # DEPENDENCYPART_ARC
(6,20),-1.02619 # DEPENDENCYPART_ARC
(6,22),-1.97723 # DEPENDENCYPART_ARC
(6,23),-3.18031 # DEPENDENCYPART_ARC
(6,25),-0.247381 # DEPENDENCYPART_ARC
(7,8),-0.196788 # DEPENDENCYPART_ARC
(8,1),-0.352974 # DEPENDENCYPART_ARC
(8,2),-0.577208 # DEPENDENCYPART_ARC
(8,3),-1.59429 # DEPENDENCYPART_ARC
(8,4),-1.72414 # DEPENDENCYPART_ARC
(8,5),0.18537 # DEPENDENCYPART_ARC
(8,6),-0.317987 # DEPENDENCYPART_ARC
(8,7),1.848 # DEPENDENCYPART_ARC
(8,9),0.466207 # DEPENDENCYPART_ARC
(8,10),-0.843229 # DEPENDENCYPART_ARC
(8,11),-1.17318 # DEPENDENCYPART_ARC
(8,12),-0.570032 # DEPENDENCYPART_ARC
(8,13),-0.116126 # DEPENDENCYPART_ARC
(8,16),-1.47348 # DEPENDENCYPART_ARC
(8,18),-1.24001 # DEPENDENCYPART_ARC
(8,20),-0.968714 # DEPENDENCYPART_ARC
(8,22),-2.02664 # DEPENDENCYPART_ARC
(8,23),-3.39959 # DEPENDENCYPART_ARC
(8,25),-0.503321 # DEPENDENCYPART_ARC
(9,1),-0.575343 # DEPENDENCYPART_ARC
(9,2),-0.138768 # DEPENDENCYPART_ARC
(9,3),-1.04017 # DEPENDENCYPART_ARC
(9,4),-0.849151 # DEPENDENCYPART_ARC
(9,5),-0.246395 # DEPENDENCYPART_ARC
(9,6),-0.19628 # DEPENDENCYPART_ARC
(9,7),-0.439349 # DEPENDENCYPART_ARC
(9,8),0.879244 # DEPENDENCYPART_ARC
(9,10),-0.448652 # DEPENDENCYPART_ARC
(9,11),-0.0209839 # DEPENDENCYPART_ARC
(9,13),-0.360253 # DEPENDENCYPART_ARC
(9,16),-0.587522 # DEPENDENCYPART_ARC
(9,18),-1.70442 # DEPENDENCYPART_ARC
(9,20),-1.47061 # DEPENDENCYPART_ARC
(11,5),-1.5047 # DEPENDENCYPART_ARC
(11,9),-0.414671 # DEPENDENCYPART_ARC
(11,10),0.475735 # DEPENDENCYPART_ARC
(11,13),-0.338795 # DEPENDENCYPART_ARC
(11,16),-0.471164 # DEPENDENCYPART_ARC
(11,18),-1.96107 # DEPENDENCYPART_ARC
(11,20),-0.581643 # DEPENDENCYPART_ARC
(12,10),0.866038 # DEPENDENCYPART_ARC
(12,13),-0.103957 # DEPENDENCYPART_ARC
(12,16),-0.741596 # DEPENDENCYPART_ARC
(13,2),-1.30668 # DEPENDENCYPART_ARC
(13,5),-1.56946 # DEPENDENCYPART_ARC
(13,6),-1.40155 # DEPENDENCYPART_ARC
(13,8),-1.33543 # DEPENDENCYPART_ARC
(13,9),-0.941071 # DEPENDENCYPART_ARC
(13,11),-1.15995 # DEPENDENCYPART_ARC
(13,12),-0.614713 # DEPENDENCYPART_ARC
(13,16),-0.891912 # DEPENDENCYPART_ARC
(13,18),-1.46303 # DEPENDENCYPART_ARC
(13,20),-1.24456 # DEPENDENCYPART_ARC
(13,22),-1.85788 # DEPENDENCYPART_ARC
(13,23),-1.763 # DEPENDENCYPART_ARC
(15,13),-0.155001 # DEPENDENCYPART_ARC
(15,14),2.47577 # DEPENDENCYPART_ARC
(16,1),-0.476117 # DEPENDENCYPART_ARC
(16,2),-0.596684 # DEPENDENCYPART_ARC
(16,4),-1.38101 # DEPENDENCYPART_ARC
(16,5),-0.637854 # DEPENDENCYPART_ARC
(16,6),-1.63314 # DEPENDENCYPART_ARC
(16,8),-1.80507 # DEPENDENCYPART_ARC
(16,9),-0.670779 # DEPENDENCYPART_ARC
(16,11),-0.715417 # DEPENDENCYPART_ARC
(16,13),0.377916 # DEPENDENCYPART_ARC
(16,14),-0.745632 # DEPENDENCYPART_ARC
(16,15),1.76817 # DEPENDENCYPART_ARC
(16,17),-0.189684 # DEPENDENCYPART_ARC
(16,18),1.40492 # DEPENDENCYPART_ARC
(16,20),0.561982 # DEPENDENCYPART_ARC
(16,22),-0.694262 # DEPENDENCYPART_ARC
(16,23),-2.00891 # DEPENDENCYPART_ARC
(16,25),0.0750223 # DEPENDENCYPART_ARC
(18,10),-0.949788 # DEPENDENCYPART_ARC
(18,14),-0.41716 # DEPENDENCYPART_ARC
(18,15),-0.429039 # DEPENDENCYPART_ARC
(18,17),2.34177 # DEPENDENCYPART_ARC
(18,19),1.50036 # DEPENDENCYPART_ARC
(18,20),0.444554 # DEPENDENCYPART_ARC
(18,22),-0.692936 # DEPENDENCYPART_ARC
(18,23),0.607889 # DEPENDENCYPART_ARC
(18,25),-0.0796901 # DEPENDENCYPART_ARC
(20,18),-1.09074 # DEPENDENCYPART_ARC
(20,19),-0.353516 # DEPENDENCYPART_ARC
(20,21),-0.0526072 # DEPENDENCYPART_ARC
(20,22),1.10339 # DEPENDENCYPART_ARC
(20,23),0.0193236 # DEPENDENCYPART_ARC
(20,25),-0.262908 # DEPENDENCYPART_ARC
(21,22),-0.603174 # DEPENDENCYPART_ARC
(21,23),-0.819381 # DEPENDENCYPART_ARC
(22,14),-2.38251 # DEPENDENCYPART_ARC
(22,15),-1.15222 # DEPENDENCYPART_ARC
(22,17),-0.671796 # DEPENDENCYPART_ARC
(22,18),-1.83715 # DEPENDENCYPART_ARC
(22,19),-0.221428 # DEPENDENCYPART_ARC
(22,20),-0.746068 # DEPENDENCYPART_ARC
(22,21),2.46179 # DEPENDENCYPART_ARC
(22,23),1.89675 # DEPENDENCYPART_ARC
(22,25),-0.310425 # DEPENDENCYPART_ARC
(23,14),-1.71025 # DEPENDENCYPART_ARC
(23,17),-1.57137 # DEPENDENCYPART_ARC
(23,18),-2.19363 # DEPENDENCYPART_ARC
(23,20),-0.901647 # DEPENDENCYPART_ARC
(23,21),-0.214573 # DEPENDENCYPART_ARC
(23,22),-1.02107 # DEPENDENCYPART_ARC
(23,24),0.92562 # DEPENDENCYPART_ARC
(23,25),-0.224481 # DEPENDENCYPART_ARC
(25,2),-1.82213 # DEPENDENCYPART_ARC
(25,6),-1.75615 # DEPENDENCYPART_ARC
(25,18),-1.64136 # DEPENDENCYPART_ARC
(25,22),-1.42093 # DEPENDENCYPART_ARC
(25,23),-1.39602 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0459206 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0169941 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.188037 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.17838 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.167504 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0140947 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0169941 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0311239 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0459206 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.165906 # DEPENDENCYPART_SIBL
(0,1),(0,23),0.188037 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.0636776 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.00771071 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.21964 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.239885 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.210707 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.030572 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.00771071 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.0138805 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0210454 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.210366 # DEPENDENCYPART_SIBL
(0,2),(0,23),0.219643 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.402918 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.15551 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.26467 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.250329 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.116729 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0153587 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0022781 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0790455 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.249994 # DEPENDENCYPART_SIBL
(0,4),(0,23),0.15551 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.313031 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.256052 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.239613 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.162869 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0254557 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.00274038 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.00168399 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.239183 # DEPENDENCYPART_SIBL
(0,5),(0,23),0.0287555 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.218564 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.633013 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.377432 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.18346 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.156207 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.1261 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.632092 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.0419023 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.186428 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.357261 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.163796 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.136504 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0726699 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.607727 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.0199663 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.126503 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0782152 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0473126 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0554901 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.297346 # DEPENDENCYPART_SIBL
(0,9),(0,23),6.64618e-05 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.0414874 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.00227791 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0790452 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.249993 # DEPENDENCYPART_SIBL
(0,11),(0,23),0.155511 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.31303 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0442776 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.226397 # DEPENDENCYPART_SIBL
(0,12),(0,23),0.0938447 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.238715 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.210366 # DEPENDENCYPART_SIBL
(0,13),(0,23),0.219643 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.402918 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.0184369 # DEPENDENCYPART_SIBL
(0,16),(0,25),-0.121042 # DEPENDENCYPART_SIBL
(0,23),(0,25),-0.218542 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.025509 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00427006 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0170308 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.00208332 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.023922 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0144734 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.00206966 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0224847 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0137109 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0126558 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0651725 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0103484 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0126531 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.034611 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.03154 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.140231 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0187586 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0314423 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.12232 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0663409 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.123227 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.122066 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.065874 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.13882 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.119233 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.000727396 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.0101051 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.00206966 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0503091 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0965122 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0855616 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0850741 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.125839 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0486612 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0038656 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0850902 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0085966 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00875078 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00935769 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.023477 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0316914 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0555924 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.00935769 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0519549 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0546313 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00821795 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0692656 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.222278 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0547263 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.138009 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0522025 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0138808 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.130221 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.137759 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0517082 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0139111 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.145873 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.134897 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0219216 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0569973 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0065038 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0555924 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.00935801 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.00667987 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0263572 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0210863 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0307301 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00471808 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00295353 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.000345185 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.103954 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0392818 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0408913 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0758983 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.017155 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0165671 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0126907 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00988273 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.14758 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0106903 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.122582 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00727697 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0180298 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.032916 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0113864 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0130054 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0183924 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0120263 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0152738 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.119582 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0154665 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0138505 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0257983 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0107507 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0268394 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0253969 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0124778 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.00568191 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0926808 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00217666 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0365029 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00751299 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0322182 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0482715 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.00564157 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0149034 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0146622 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0856084 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.00452852 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0132459 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0215094 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.00515651 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0388609 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00355463 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.097825 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0747619 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.00687694 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0972456 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.00965052 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.00236234 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0698623 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0307149 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.00715909 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0081755 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0726495 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.00528923 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0928243 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.0132544 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0134967 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.00569099 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.00225583 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0155075 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.0229667 # DEPENDENCYPART_SIBL
(5,16),(5,20),0.0132562 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0134802 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0111902 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.000545997 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0529438 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.00872222 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0133059 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0431835 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0161242 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0125655 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0417035 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0130421 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0755667 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0121016 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.0678727 # DEPENDENCYPART_SIBL
(6,1),(6,23),0.0690772 # DEPENDENCYPART_SIBL
(6,1),(6,25),-0.0254245 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0168137 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0123781 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0149556 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0397765 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0078089 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.047725 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.00308816 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.024152 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0872055 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.00919681 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.110109 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.0200544 # DEPENDENCYPART_SIBL
(6,2),(6,22),0.107394 # DEPENDENCYPART_SIBL
(6,2),(6,23),0.10689 # DEPENDENCYPART_SIBL
(6,2),(6,25),-0.031749 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0438613 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0224176 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0305724 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0635846 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0605434 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0114863 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0536159 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0915841 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.062719 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0461797 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0355959 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.0439785 # DEPENDENCYPART_SIBL
(6,3),(6,23),0.0428209 # DEPENDENCYPART_SIBL
(6,3),(6,25),-0.0922569 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0474421 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00758539 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0298216 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.00826798 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0872669 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0223031 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0213525 # DEPENDENCYPART_SIBL
