# _root_ Το ζητούμενο δεν είναι μόνον ποιος θα επιτύχει τα περισσότερα , η Επιτροπή ή το Συμβούλιο η εμείς ως Κοινοβούλιο , όχι !
#goldHeads=2,4,4,21,4,11,8,4,10,8,8,13,17,17,16,17,11,17,18,19,0,21,21,
#predictedHeads=2,4,4,0,4,8,8,4,10,8,14,13,14,8,16,14,16,21,18,19,22,0,0,
(11,8),-1.02004 # DEPENDENCYPART_ARC
(11,10),-0.62014 # DEPENDENCYPART_ARC
(11,13),-0.69644 # DEPENDENCYPART_ARC
(11,14),-0.406125 # DEPENDENCYPART_ARC
(11,16),-1.15173 # DEPENDENCYPART_ARC
(11,19),-0.916725 # DEPENDENCYPART_ARC
(11,20),-1.37251 # DEPENDENCYPART_ARC
(11,21),-0.37967 # DEPENDENCYPART_ARC
(11,23),-0.506919 # DEPENDENCYPART_ARC
(13,5),-1.52203 # DEPENDENCYPART_ARC
(13,9),-1.809 # DEPENDENCYPART_ARC
(13,10),-1.33654 # DEPENDENCYPART_ARC
(13,11),-0.565854 # DEPENDENCYPART_ARC
(13,12),2.55079 # DEPENDENCYPART_ARC
(13,14),-0.100719 # DEPENDENCYPART_ARC
(13,15),-1.61498 # DEPENDENCYPART_ARC
(13,16),-1.54135 # DEPENDENCYPART_ARC
(13,19),-0.880239 # DEPENDENCYPART_ARC
(13,20),-2.08232 # DEPENDENCYPART_ARC
(14,2),-0.329948 # DEPENDENCYPART_ARC
(14,4),-0.78155 # DEPENDENCYPART_ARC
(14,5),-0.415031 # DEPENDENCYPART_ARC
(14,8),-0.23495 # DEPENDENCYPART_ARC
(14,9),-0.716635 # DEPENDENCYPART_ARC
(14,10),-0.367664 # DEPENDENCYPART_ARC
(14,11),0.615361 # DEPENDENCYPART_ARC
(14,12),-0.163639 # DEPENDENCYPART_ARC
(14,13),1.60041 # DEPENDENCYPART_ARC
(14,15),-0.0133861 # DEPENDENCYPART_ARC
(14,16),0.580974 # DEPENDENCYPART_ARC
(14,19),-0.480352 # DEPENDENCYPART_ARC
(14,20),-0.467133 # DEPENDENCYPART_ARC
(14,21),-0.182043 # DEPENDENCYPART_ARC
(14,23),-0.250625 # DEPENDENCYPART_ARC
(16,5),-1.37419 # DEPENDENCYPART_ARC
(16,9),-1.91442 # DEPENDENCYPART_ARC
(16,10),-1.46429 # DEPENDENCYPART_ARC
(16,12),-0.414301 # DEPENDENCYPART_ARC
(16,13),-1.23481 # DEPENDENCYPART_ARC
(16,14),-0.176947 # DEPENDENCYPART_ARC
(16,15),2.48679 # DEPENDENCYPART_ARC
(16,17),-0.771781 # DEPENDENCYPART_ARC
(16,19),-0.402369 # DEPENDENCYPART_ARC
(16,20),-0.754647 # DEPENDENCYPART_ARC
(16,21),-0.510769 # DEPENDENCYPART_ARC
(16,23),-0.65104 # DEPENDENCYPART_ARC
(17,19),-0.605611 # DEPENDENCYPART_ARC
(18,19),0.388594 # DEPENDENCYPART_ARC
(18,20),-0.672113 # DEPENDENCYPART_ARC
(19,4),-1.67337 # DEPENDENCYPART_ARC
(19,5),-0.784824 # DEPENDENCYPART_ARC
(19,8),-1.58808 # DEPENDENCYPART_ARC
(19,11),-0.784072 # DEPENDENCYPART_ARC
(19,13),-1.2199 # DEPENDENCYPART_ARC
(19,14),-0.616602 # DEPENDENCYPART_ARC
(19,16),-0.905082 # DEPENDENCYPART_ARC
(19,17),-0.672764 # DEPENDENCYPART_ARC
(19,20),0.776114 # DEPENDENCYPART_ARC
(19,21),-0.204011 # DEPENDENCYPART_ARC
(19,23),-0.238083 # DEPENDENCYPART_ARC
(20,4),-1.85873 # DEPENDENCYPART_ARC
(20,8),-2.24567 # DEPENDENCYPART_ARC
(20,12),-1.90964 # DEPENDENCYPART_ARC
(20,13),-1.56084 # DEPENDENCYPART_ARC
(20,14),-0.788293 # DEPENDENCYPART_ARC
(20,15),-0.248911 # DEPENDENCYPART_ARC
(20,16),-0.510658 # DEPENDENCYPART_ARC
(20,17),-0.128041 # DEPENDENCYPART_ARC
(20,18),-0.949173 # DEPENDENCYPART_ARC
(20,19),0.338744 # DEPENDENCYPART_ARC
(20,21),-0.336283 # DEPENDENCYPART_ARC
(20,23),-0.83554 # DEPENDENCYPART_ARC
(21,2),-1.69331 # DEPENDENCYPART_ARC
(21,4),-0.816459 # DEPENDENCYPART_ARC
(21,8),-1.0175 # DEPENDENCYPART_ARC
(21,11),-1.17517 # DEPENDENCYPART_ARC
(21,13),-1.31609 # DEPENDENCYPART_ARC
(21,14),-0.574174 # DEPENDENCYPART_ARC
(21,16),-1.2047 # DEPENDENCYPART_ARC
(21,18),-1.00879 # DEPENDENCYPART_ARC
(21,19),-0.676627 # DEPENDENCYPART_ARC
(21,20),-0.390466 # DEPENDENCYPART_ARC
(21,23),-0.451935 # DEPENDENCYPART_ARC
(22,21),0.104038 # DEPENDENCYPART_ARC
(22,23),0.302643 # DEPENDENCYPART_ARC
(23,2),-1.83006 # DEPENDENCYPART_ARC
(23,4),-1.16576 # DEPENDENCYPART_ARC
(23,8),-1.29296 # DEPENDENCYPART_ARC
(23,16),-1.41189 # DEPENDENCYPART_ARC
(23,18),-1.3839 # DEPENDENCYPART_ARC
(23,20),-1.18256 # DEPENDENCYPART_ARC
(23,21),-0.723803 # DEPENDENCYPART_ARC
(0,22),-0.915508 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.251589 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.020975 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.239213 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0258768 # DEPENDENCYPART_SIBL
(0,2),(0,11),0.00170684 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0960484 # DEPENDENCYPART_SIBL
(0,2),(0,21),0.00170684 # DEPENDENCYPART_SIBL
(0,2),(0,22),0.0102987 # DEPENDENCYPART_SIBL
(0,2),(0,23),0.0287849 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.140725 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.634504 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.183343 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0913201 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.333645 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0913201 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.16839 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0166135 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.185822 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.0099437 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.0372623 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.00434173 # DEPENDENCYPART_SIBL
(0,5),(0,21),0.0372623 # DEPENDENCYPART_SIBL
(0,5),(0,22),0.016137 # DEPENDENCYPART_SIBL
(0,5),(0,23),0.0517629 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.155948 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0488143 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.291004 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.0488143 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.141418 # DEPENDENCYPART_SIBL
(0,8),(0,23),0.0110412 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0792987 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0713714 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.0792987 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.0131604 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.0647916 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0384657 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.0210454 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.0135051 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.0172538 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.0624042 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.0561835 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.0264016 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.0135051 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.0172538 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.0214918 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0102436 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.013981 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0610831 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.059945 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0445291 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0468454 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.105688 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.11233 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0575833 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00160384 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0273904 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.00194903 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.115285 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0471193 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.015562 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0146598 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0701218 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0264354 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0186622 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00595841 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.000618349 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0806393 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.037545 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0147676 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0158446 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.00288644 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0104853 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0806393 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.0707698 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0767341 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0192889 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00994674 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0283169 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0272296 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0028831 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0158657 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0179138 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.00127513 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0134313 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0195947 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0028831 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.031431 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.116537 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0628019 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0735897 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.121449 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0128872 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.150331 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.00207878 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.111223 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.123897 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.120446 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0128872 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.00509896 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0171989 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0085923 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0508171 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0246769 # DEPENDENCYPART_SIBL
(4,5),(4,13),-3.9164e-05 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0138988 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.00216257 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0115471 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.00147509 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0246769 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.00724635 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0187832 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.075586 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.00298357 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0743856 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.062141 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0755143 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.00532839 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.07219 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.00298357 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.0145003 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.104596 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0725769 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0800138 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.119946 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0788759 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.00669091 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0780893 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.0725769 # DEPENDENCYPART_SIBL
(4,8),(4,23),0.0510609 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0197794 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0698581 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0760665 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0706722 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0320746 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.0682974 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.0197794 # DEPENDENCYPART_SIBL
(4,10),(4,23),-0.0112888 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.00409789 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.00277752 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.00859152 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0319556 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.0111767 # DEPENDENCYPART_SIBL
(4,11),(4,21),0.107668 # DEPENDENCYPART_SIBL
(4,11),(4,23),0.0556332 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.158238 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.288548 # DEPENDENCYPART_SIBL
(4,13),(4,19),0.0734466 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.271996 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.0564735 # DEPENDENCYPART_SIBL
(4,13),(4,23),-0.0724235 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0662565 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.0351272 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.064705 # DEPENDENCYPART_SIBL
(4,14),(4,21),0.0170746 # DEPENDENCYPART_SIBL
(4,14),(4,23),0.00497811 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.037276 # DEPENDENCYPART_SIBL
(4,16),(4,20),-0.299548 # DEPENDENCYPART_SIBL
(4,16),(4,21),-0.0589811 # DEPENDENCYPART_SIBL
(4,16),(4,23),-0.081568 # DEPENDENCYPART_SIBL
(4,19),(4,20),-0.019498 # DEPENDENCYPART_SIBL
(4,19),(4,21),0.0669996 # DEPENDENCYPART_SIBL
(4,19),(4,23),0.0299655 # DEPENDENCYPART_SIBL
(4,20),(4,21),-0.0839599 # DEPENDENCYPART_SIBL
(4,20),(4,23),-0.0947951 # DEPENDENCYPART_SIBL
(4,21),(4,23),0.0556332 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0739974 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00475858 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0266925 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.00944448 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.167849 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0393531 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0152911 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.14698 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.000675882 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.00162353 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0262907 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.00636236 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.148898 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0362155 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0142798 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.0354894 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.00856626 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.00320828 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.0347993 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.00837733 # DEPENDENCYPART_SIBL
(8,2),(8,19),0.013625 # DEPENDENCYPART_SIBL
(8,2),(8,20),-0.0288079 # DEPENDENCYPART_SIBL
(8,2),(8,21),-0.00856626 # DEPENDENCYPART_SIBL
(8,2),(8,23),-0.00933859 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0037658 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.133318 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.00258367 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.00627796 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.00884093 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.00805766 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.00831311 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.00213171 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0247185 # DEPENDENCYPART_SIBL
(8,4),(8,19),0.0163583 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.031316 # DEPENDENCYPART_SIBL
(8,4),(8,21),0.00805766 # DEPENDENCYPART_SIBL
(8,4),(8,23),0.00322485 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0656682 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.117917 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.00705978 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.00370002 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.019416 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.00619478 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.00230596 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0177254 # DEPENDENCYPART_SIBL
(8,5),(8,19),0.0331081 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.0287885 # DEPENDENCYPART_SIBL
(8,5),(8,21),0.019416 # DEPENDENCYPART_SIBL
(8,5),(8,23),0.00260729 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0508124 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0213365 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.00126266 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.00183892 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0193711 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0239608 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0506894 # DEPENDENCYPART_SIBL
(8,6),(8,19),0.0420746 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.0501867 # DEPENDENCYPART_SIBL
(8,6),(8,21),-0.00183892 # DEPENDENCYPART_SIBL
(8,6),(8,23),-0.0435122 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0374165 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.100263 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0125567 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0387628 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0180627 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.00797717 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.0531446 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.0236586 # DEPENDENCYPART_SIBL
(8,7),(8,21),0.0125567 # DEPENDENCYPART_SIBL
(8,7),(8,23),0.0356226 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0570756 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0170283 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0251012 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0331776 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0261844 # DEPENDENCYPART_SIBL
(8,9),(8,19),0.0157364 # DEPENDENCYPART_SIBL
(8,9),(8,20),-0.0250204 # DEPENDENCYPART_SIBL
(8,9),(8,21),-0.0170283 # DEPENDENCYPART_SIBL
(8,9),(8,23),-0.00679443 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.01385 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0440991 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0588036 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0450769 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.022398 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.0446996 # DEPENDENCYPART_SIBL
(8,10),(8,21),-0.01385 # DEPENDENCYPART_SIBL
(8,10),(8,23),-0.0161211 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0042616 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0358041 # DEPENDENCYPART_SIBL
(8,11),(8,16),4.55344e-05 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.00220324 # DEPENDENCYPART_SIBL
(8,11),(8,20),0.000633115 # DEPENDENCYPART_SIBL
(8,11),(8,21),0.0194693 # DEPENDENCYPART_SIBL
(8,11),(8,23),0.0021445 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0997428 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.224392 # DEPENDENCYPART_SIBL
(8,13),(8,19),0.0950165 # DEPENDENCYPART_SIBL
(8,13),(8,20),-0.209837 # DEPENDENCYPART_SIBL
(8,13),(8,21),-0.0215675 # DEPENDENCYPART_SIBL
(8,13),(8,23),-0.0217955 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.0657017 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.0434732 # DEPENDENCYPART_SIBL
(8,14),(8,20),-0.0661478 # DEPENDENCYPART_SIBL
(8,14),(8,21),0.00224358 # DEPENDENCYPART_SIBL
(8,14),(8,23),0.00630725 # DEPENDENCYPART_SIBL
(8,16),(8,19),0.0588454 # DEPENDENCYPART_SIBL
(8,16),(8,20),-0.23739 # DEPENDENCYPART_SIBL
(8,16),(8,21),-0.0240761 # DEPENDENCYPART_SIBL
(8,16),(8,23),-0.030941 # DEPENDENCYPART_SIBL
(8,19),(8,20),-0.00685663 # DEPENDENCYPART_SIBL
(8,19),(8,21),0.0452235 # DEPENDENCYPART_SIBL
(8,19),(8,23),0.025334 # DEPENDENCYPART_SIBL
(8,20),(8,21),-0.0488664 # DEPENDENCYPART_SIBL
(8,20),(8,23),-0.0439796 # DEPENDENCYPART_SIBL
(8,21),(8,23),0.0021445 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0204273 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0308792 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0479514 # DEPENDENCYPART_SIBL
