# _root_ Αποτελεί έναν από τους αγαπημένους προορισμούς των Κερκυραίων , καθώς συνδυάζει αστείρευτη φυσική ομορφιά με τη μαγεία της θάλασσας , ενώ απέχει ελάχιστα από την πόλη .
#goldHeads=21,1,2,6,6,3,8,6,10,1,10,14,14,11,11,17,15,19,17,21,0,21,22,22,26,24,0,
#predictedHeads=21,1,2,6,6,3,8,6,11,11,21,14,14,11,11,17,15,19,17,21,0,21,22,22,26,24,0,
(19,17),-1.67651 # DEPENDENCYPART_ARC
(19,18),2.1647 # DEPENDENCYPART_ARC
(19,20),-0.333195 # DEPENDENCYPART_ARC
(19,21),-0.589563 # DEPENDENCYPART_ARC
(19,22),-1.14635 # DEPENDENCYPART_ARC
(19,23),-1.11758 # DEPENDENCYPART_ARC
(20,1),-1.19851 # DEPENDENCYPART_ARC
(20,6),-1.42033 # DEPENDENCYPART_ARC
(20,12),-1.24665 # DEPENDENCYPART_ARC
(20,13),-1.17253 # DEPENDENCYPART_ARC
(20,14),-1.03972 # DEPENDENCYPART_ARC
(20,15),-0.656533 # DEPENDENCYPART_ARC
(20,17),-0.986152 # DEPENDENCYPART_ARC
(20,19),-0.539701 # DEPENDENCYPART_ARC
(20,21),-0.367496 # DEPENDENCYPART_ARC
(20,22),-1.05452 # DEPENDENCYPART_ARC
(20,23),-1.29179 # DEPENDENCYPART_ARC
(20,26),-1.70993 # DEPENDENCYPART_ARC
(21,1),0.447449 # DEPENDENCYPART_ARC
(21,3),-1.05788 # DEPENDENCYPART_ARC
(21,5),-1.28627 # DEPENDENCYPART_ARC
(21,6),-0.975673 # DEPENDENCYPART_ARC
(21,8),-0.834845 # DEPENDENCYPART_ARC
(21,9),-0.726056 # DEPENDENCYPART_ARC
(21,10),-0.281215 # DEPENDENCYPART_ARC
(21,11),0.730605 # DEPENDENCYPART_ARC
(21,12),-0.757438 # DEPENDENCYPART_ARC
(21,13),-0.780557 # DEPENDENCYPART_ARC
(21,14),-0.580606 # DEPENDENCYPART_ARC
(21,15),-0.287081 # DEPENDENCYPART_ARC
(21,16),-0.674771 # DEPENDENCYPART_ARC
(21,17),-0.286337 # DEPENDENCYPART_ARC
(21,18),-0.517399 # DEPENDENCYPART_ARC
(21,19),-0.00236418 # DEPENDENCYPART_ARC
(21,20),1.05955 # DEPENDENCYPART_ARC
(21,22),1.93451 # DEPENDENCYPART_ARC
(21,23),-0.382384 # DEPENDENCYPART_ARC
(21,24),-0.535636 # DEPENDENCYPART_ARC
(21,26),-0.838079 # DEPENDENCYPART_ARC
(21,27),-0.279135 # DEPENDENCYPART_ARC
(22,1),-1.48761 # DEPENDENCYPART_ARC
(22,3),-1.1713 # DEPENDENCYPART_ARC
(22,5),-1.63956 # DEPENDENCYPART_ARC
(22,6),-1.68631 # DEPENDENCYPART_ARC
(22,8),-2.48653 # DEPENDENCYPART_ARC
(22,9),-0.795122 # DEPENDENCYPART_ARC
(22,10),-0.601585 # DEPENDENCYPART_ARC
(22,11),-1.15039 # DEPENDENCYPART_ARC
(22,12),-1.22352 # DEPENDENCYPART_ARC
(22,13),-1.1051 # DEPENDENCYPART_ARC
(22,14),-1.15228 # DEPENDENCYPART_ARC
(22,15),-0.681507 # DEPENDENCYPART_ARC
(22,17),-0.787584 # DEPENDENCYPART_ARC
(22,18),-2.02079 # DEPENDENCYPART_ARC
(22,19),-1.48131 # DEPENDENCYPART_ARC
(22,20),0.171883 # DEPENDENCYPART_ARC
(22,21),0.0647385 # DEPENDENCYPART_ARC
(22,23),0.901764 # DEPENDENCYPART_ARC
(22,24),0.862333 # DEPENDENCYPART_ARC
(22,26),0.379731 # DEPENDENCYPART_ARC
(22,27),0.0473864 # DEPENDENCYPART_ARC
(23,1),-0.797785 # DEPENDENCYPART_ARC
(23,3),-0.874837 # DEPENDENCYPART_ARC
(23,17),-0.893755 # DEPENDENCYPART_ARC
(23,19),-0.846896 # DEPENDENCYPART_ARC
(23,20),-0.360861 # DEPENDENCYPART_ARC
(23,24),0.59638 # DEPENDENCYPART_ARC
(23,26),-0.91465 # DEPENDENCYPART_ARC
(23,27),-0.492075 # DEPENDENCYPART_ARC
(24,23),-0.447462 # DEPENDENCYPART_ARC
(24,25),-0.0563626 # DEPENDENCYPART_ARC
(24,26),1.3611 # DEPENDENCYPART_ARC
(24,27),-0.274764 # DEPENDENCYPART_ARC
(26,18),-1.36277 # DEPENDENCYPART_ARC
(26,23),-0.840736 # DEPENDENCYPART_ARC
(26,24),-0.781725 # DEPENDENCYPART_ARC
(26,25),2.20697 # DEPENDENCYPART_ARC
(26,27),-0.275802 # DEPENDENCYPART_ARC
(27,24),-1.22154 # DEPENDENCYPART_ARC
(27,26),-1.07125 # DEPENDENCYPART_ARC
(0,1),(0,9),-0.068561 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.605928 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.068561 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.311276 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.605928 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.121042 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.210366 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0210454 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.044797 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.210366 # DEPENDENCYPART_SIBL
(0,9),(0,27),-0.402918 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.068561 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.311276 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.605928 # DEPENDENCYPART_SIBL
(0,11),(0,27),-0.121042 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.044797 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.210366 # DEPENDENCYPART_SIBL
(0,20),(0,27),-0.402918 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.216661 # DEPENDENCYPART_SIBL
(0,21),(0,27),0.154953 # DEPENDENCYPART_SIBL
(0,22),(0,27),-0.120997 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0112057 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0593843 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0281137 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0281106 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.00509492 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0145971 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.00415489 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.00915391 # DEPENDENCYPART_SIBL
(1,2),(1,20),0.00509492 # DEPENDENCYPART_SIBL
(1,2),(1,21),0.00558883 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.0158155 # DEPENDENCYPART_SIBL
(1,2),(1,27),-0.0204985 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.116268 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0321259 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0321249 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.100141 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0096166 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0543904 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.119361 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.100141 # DEPENDENCYPART_SIBL
(1,3),(1,21),-0.0545373 # DEPENDENCYPART_SIBL
(1,3),(1,23),-0.05175 # DEPENDENCYPART_SIBL
(1,3),(1,27),-0.14391 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0343076 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0343066 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.00977009 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.00918108 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.00752358 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0503807 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.00977009 # DEPENDENCYPART_SIBL
(1,5),(1,21),-0.0143784 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.03017 # DEPENDENCYPART_SIBL
(1,5),(1,27),-0.0659319 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.225268 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0105392 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0547871 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0342829 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0126439 # DEPENDENCYPART_SIBL
(1,6),(1,20),-0.0105392 # DEPENDENCYPART_SIBL
(1,6),(1,21),-0.0661182 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.00453186 # DEPENDENCYPART_SIBL
(1,6),(1,27),-0.0702843 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.010236 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0548039 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0342661 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0126997 # DEPENDENCYPART_SIBL
(1,8),(1,20),-0.010236 # DEPENDENCYPART_SIBL
(1,8),(1,21),-0.0660227 # DEPENDENCYPART_SIBL
(1,8),(1,23),0.00454863 # DEPENDENCYPART_SIBL
(1,8),(1,27),-0.0701243 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.000616922 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.00588399 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.033281 # DEPENDENCYPART_SIBL
(1,9),(1,20),0.019737 # DEPENDENCYPART_SIBL
(1,9),(1,21),-0.0242994 # DEPENDENCYPART_SIBL
(1,9),(1,23),-0.0026725 # DEPENDENCYPART_SIBL
(1,9),(1,27),-0.109892 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.00777075 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.00484499 # DEPENDENCYPART_SIBL
(1,10),(1,20),-0.00904545 # DEPENDENCYPART_SIBL
(1,10),(1,21),-0.0161378 # DEPENDENCYPART_SIBL
(1,10),(1,23),-0.0469754 # DEPENDENCYPART_SIBL
(1,10),(1,27),-0.0342849 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.0123793 # DEPENDENCYPART_SIBL
(1,11),(1,20),0.0222813 # DEPENDENCYPART_SIBL
(1,11),(1,21),-0.0922275 # DEPENDENCYPART_SIBL
(1,11),(1,23),-0.0247667 # DEPENDENCYPART_SIBL
(1,11),(1,27),0.0191106 # DEPENDENCYPART_SIBL
(1,15),(1,20),-0.00796538 # DEPENDENCYPART_SIBL
(1,15),(1,21),-0.0102737 # DEPENDENCYPART_SIBL
(1,15),(1,23),-0.0249704 # DEPENDENCYPART_SIBL
(1,15),(1,27),-0.0703386 # DEPENDENCYPART_SIBL
(1,20),(1,21),-0.0242994 # DEPENDENCYPART_SIBL
(1,20),(1,23),-0.0026725 # DEPENDENCYPART_SIBL
(1,20),(1,27),-0.109892 # DEPENDENCYPART_SIBL
(1,21),(1,23),-0.0642008 # DEPENDENCYPART_SIBL
(1,21),(1,27),0.0514053 # DEPENDENCYPART_SIBL
(1,23),(1,27),-0.0320447 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0264233 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00753454 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0247235 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0486541 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0672479 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0645514 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0246234 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0012291 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0225863 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0320641 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0555724 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0488237 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0150783 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.027075 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0349041 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.150255 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.150255 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0277807 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0427992 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.189167 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.189167 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0502715 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0684558 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.525276 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0558693 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.181131 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0547098 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.180687 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0152859 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.030673 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00953153 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0085827 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0400642 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0434773 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.108497 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.00339096 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.118495 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0197902 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0353782 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.00509043 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0269853 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.00967496 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0950631 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0450452 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.00427425 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0318745 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0153698 # DEPENDENCYPART_SIBL
(6,1),(6,24),-0.0853835 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.134875 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.00555908 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0514514 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0647316 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0644831 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0446215 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0347079 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0592114 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.067418 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.00832727 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0203731 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.022682 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.070357 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0515992 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0341246 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0555549 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.059332 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0157242 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0186239 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0364612 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.052584 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.0094733 # DEPENDENCYPART_SIBL
(6,4),(6,24),-0.144582 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.048884 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0283405 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0183225 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.04296 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0127348 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0267767 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0257183 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.00614363 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.0420067 # DEPENDENCYPART_SIBL
(6,5),(6,24),-0.134477 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00725114 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0544538 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0018042 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0377777 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0307954 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.00726289 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0293008 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.0418186 # DEPENDENCYPART_SIBL
(6,7),(6,24),-0.0361576 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0432529 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0472195 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0049139 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0227333 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.130439 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0218148 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.074922 # DEPENDENCYPART_SIBL
(6,8),(6,24),0.0272764 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0429464 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0163925 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.00500257 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.0583269 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0169635 # DEPENDENCYPART_SIBL
(6,9),(6,21),-0.0102783 # DEPENDENCYPART_SIBL
(6,9),(6,24),-0.0245374 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.00239083 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0121005 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.0324599 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0138977 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.00242431 # DEPENDENCYPART_SIBL
(6,10),(6,24),-0.0262261 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.00528818 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.0183932 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.013523 # DEPENDENCYPART_SIBL
(6,11),(6,21),-0.0396194 # DEPENDENCYPART_SIBL
(6,11),(6,24),-0.00883526 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0321569 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.0185158 # DEPENDENCYPART_SIBL
(6,12),(6,21),-0.0431615 # DEPENDENCYPART_SIBL
(6,12),(6,24),0.000236892 # DEPENDENCYPART_SIBL
