# _root_ Τα τελευταία χρόνια , η δημιουργία Συνεδριακού Κέντρου , δυναμικότητας 1000 συνέδρων έδωσε σημαντική ώθηση στην τουριστική ανάπτυξη της περιοχής .
#goldHeads=3,3,13,13,6,13,8,6,13,8,12,10,0,15,13,13,18,16,20,18,0,
#predictedHeads=3,3,4,13,6,13,8,6,13,8,12,10,0,15,13,13,18,16,20,18,0,
(0,3),(0,4),0.000183501 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0276644 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0263191 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0276644 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.000183501 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0276652 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0147725 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0276652 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.236058 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0263213 # DEPENDENCYPART_SIBL
(0,3),(0,15),0.0275701 # DEPENDENCYPART_SIBL
(0,3),(0,20),0.0276652 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.221435 # DEPENDENCYPART_SIBL
(0,4),(0,6),0.219643 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.00771071 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.219528 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0210454 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.219643 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0277212 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.219643 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.188788 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.00869821 # DEPENDENCYPART_SIBL
(0,4),(0,15),0.219623 # DEPENDENCYPART_SIBL
(0,4),(0,20),0.21964 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.402918 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0254557 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.0286997 # DEPENDENCYPART_SIBL
(0,6),(0,9),0.00171674 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.0287005 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0139122 # DEPENDENCYPART_SIBL
(0,6),(0,12),0.0287005 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.235677 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0254579 # DEPENDENCYPART_SIBL
(0,6),(0,15),0.0286054 # DEPENDENCYPART_SIBL
(0,6),(0,20),0.0287005 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.21855 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.155509 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0790452 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.155511 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.039158 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.155511 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.249993 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0175839 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.155511 # DEPENDENCYPART_SIBL
(0,7),(0,20),0.155511 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.31303 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.00172869 # DEPENDENCYPART_SIBL
(0,8),(0,10),0.0276258 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0139124 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.0276258 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.235713 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0254582 # DEPENDENCYPART_SIBL
(0,8),(0,15),0.0275306 # DEPENDENCYPART_SIBL
(0,8),(0,20),0.0276258 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.218542 # DEPENDENCYPART_SIBL
(0,9),(0,10),0.219643 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0277212 # DEPENDENCYPART_SIBL
(0,9),(0,12),0.219643 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.188788 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.00869821 # DEPENDENCYPART_SIBL
(0,9),(0,15),0.219623 # DEPENDENCYPART_SIBL
(0,9),(0,20),0.21964 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.402918 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0139122 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.0287555 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.235677 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0254579 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.0286604 # DEPENDENCYPART_SIBL
(0,10),(0,20),0.0287555 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.218542 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.15488 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.17615 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.0164918 # DEPENDENCYPART_SIBL
(0,11),(0,15),0.154874 # DEPENDENCYPART_SIBL
(0,11),(0,20),0.15488 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.108761 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.235677 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0254579 # DEPENDENCYPART_SIBL
(0,12),(0,15),0.0286604 # DEPENDENCYPART_SIBL
(0,12),(0,20),0.0287555 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.218542 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.171375 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0276486 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.0275836 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.152853 # DEPENDENCYPART_SIBL
(0,14),(0,15),0.155901 # DEPENDENCYPART_SIBL
(0,14),(0,20),0.155901 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.313263 # DEPENDENCYPART_SIBL
(0,15),(0,20),0.028728 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.215909 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.2186 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0628243 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0014302 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0661862 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0661592 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0467504 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.10858 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.108579 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0576152 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0575016 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.108555 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0392079 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0209329 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0243222 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0243805 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0114229 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0243491 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0209329 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.110263 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0300113 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00743024 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0573488 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00831954 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0292359 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.013063 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.00743024 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0272232 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.014646 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00070937 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0604024 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.00500767 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.060063 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0222161 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0322155 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0511385 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0145946 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0275596 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0147068 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0456012 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00396382 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0310893 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0218167 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.125403 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0373664 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0424639 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0162772 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0325265 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0344642 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.00174072 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0108992 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0334947 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0463233 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0200663 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0322155 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0511385 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0123744 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0197114 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.121992 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.242672 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.124339 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0711933 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.122039 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0934258 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.253072 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.209182 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0228972 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.208973 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.022184 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.209046 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0258973 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0241449 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0692682 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0437946 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.222318 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0437946 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.058234 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0692623 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00859296 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0555924 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.00859254 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.00935743 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0294623 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.222293 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.044906 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0581618 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0692253 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.00321267 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0282583 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0668935 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0582346 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0692623 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0139054 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0302167 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0746594 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0511633 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.410758 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0189494 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.043762 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0145368 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0438378 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.119548 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0438378 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0449444 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0428681 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0452547 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0256589 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0259001 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.163763 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0329743 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0234945 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0054702 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.018813 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0226053 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.018813 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0232014 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0188101 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0350767 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.00349353 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.156258 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.00532061 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.00327713 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0149903 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.00334743 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0284514 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.00334743 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.00877929 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.00500514 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0208714 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.119574 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0256732 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0344104 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.191792 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0249685 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0344617 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0249685 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0112676 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0273796 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0139169 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0452571 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.054167 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0864214 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0542428 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.136206 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0542428 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.00184398 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0532731 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0607403 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0337458 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0395764 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0336296 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.00184441 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0336296 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.00829075 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0336443 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0421114 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0414988 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.1288 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0434194 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.1288 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.021348 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.12891 # DEPENDENCYPART_SIBL
